0.0268194+0.115524j 0.0351673-0.00894608j -0.157251+0.0324732j 0.00432224+0.0171819j 0.00987173+0.00190277j 0.0266319-0.010874j -0.0315564+0.0298584j 0.0848963-0.0959502j 0.0980394+0.106582j -3.54393e-05-0.00769492j -0.00644221-0.0111251j -0.0174389-0.0171401j -0.00535402+0.0121133j -0.0210884+0.00172243j 0.0138794-0.00699354j 0.0249505-0.00864226j 0.00860609-0.0200541j -0.00920651+0.0181695j -0.0187817+0.139088j 0.00349023+0.0262578j -0.0175702+0.0132362j -0.156625-0.0421368j 0.0924204-0.0189455j -0.0086306+0.111292j 
0.107937-0.00666992j -0.00477864-0.00923159j 0.00204839+0.0267619j -0.00527416+0.0111591j -0.0144952-0.00455472j 0.00353132-0.0305516j -0.0144406+0.0189227j 0.0242029-0.101569j -0.0774421-0.0477274j -0.000525907-0.0104879j -0.0162136-0.0222325j -0.0131799-0.0182625j -0.000685314-0.00675549j -0.00817332-0.00633484j -0.00193228+0.00182364j -0.00758963-0.0118296j 0.00291971+0.00315225j -0.00233622-0.0120659j 0.0380944+0.0863643j 0.0242424+0.0518737j -0.00606165-0.0176471j -0.00784359+0.024606j 0.0197224+0.0384575j -0.0210076-0.123509j 
-0.0475255+0.078112j -0.000688496-0.0129959j -0.0122259-0.00287507j 0.0132178-0.0226877j 0.000417661+0.0296139j 0.0368023-0.0722382j -0.0729178-0.0545207j 0.0306357-0.00791194j 0.00510241-0.0439688j -0.0118137-0.00905668j -0.00108776+0.0289862j 0.00349643+0.0315717j -0.0179328-0.0285724j 0.0126214+0.0356174j 0.00166308+0.00580503j -0.035946-0.0927751j 2.94986e-05+0.000374159j -0.018699-0.0071835j -0.0331416+0.0448695j -0.0179438+0.00584914j 0.0303062+0.02025j -0.0152931-0.0789677j -0.0158987-0.0724634j 0.0519025-0.0832344j 
-0.0048475+0.0140279j 0.020643+0.0171695j -0.00578583+0.00360317j 0.00494518-0.00312048j 0.00603816-0.0111346j 0.0478094+0.0616617j 0.0701248-0.00652647j 0.0346823-0.0424914j -0.0151702-0.0263473j 0.0216272+0.0271186j 0.0219821+0.0319191j 0.0123305+0.0374613j 0.0195103-0.0215002j 0.0025661+0.0392684j -0.00557473-0.0212404j 0.074904-0.0382153j -0.00842089-0.0101756j 0.0324485+0.031552j 0.0214686+0.0646708j -0.00541695-0.0254508j -0.0470057-0.0343713j 0.0398967-0.0250937j 0.066765-0.0125917j 0.0249182-0.0852237j 
-0.0246403-0.034158j -0.0123736+0.00650829j -0.0124535-0.00846816j -0.0121974+0.0810424j -0.0723945-0.0484392j -0.0278764+0.0516452j 0.0547865+0.0433075j 0.0500474+0.00430844j 0.0136292-0.0238215j -0.00913592-0.0353065j -0.0709469-0.0436697j -0.0605565-0.0376186j 0.0132847-0.0233231j -0.0607096-0.00140299j 0.000380366+0.00725944j -0.0142367-0.00374898j 0.0211039+0.000987681j -0.0176256-0.0544875j 0.0259413+0.0539725j 0.0769413+0.0562425j 0.0261457+0.00727301j 0.0257007+0.0407703j 0.0467202+0.0448783j -0.023623-0.0812169j 
-0.0457377+0.0581768j 0.00902446+0.0167441j 0.00758955+0.00511239j -0.0357451+0.0308511j -0.0239586-0.0387587j -0.0337545-0.0482222j -0.0364748+0.0208733j -0.0148821-0.00107033j -0.0131658+0.00604079j 0.00513034-0.0185108j 0.00808853-0.0271188j 0.0125891-0.0242186j -0.0682353-0.051861j 0.0999458+0.0626844j -0.0366131-0.0182778j 0.0400314+0.0603233j -0.0411925-0.0429078j -0.032638-0.0738765j -0.0223124+0.0610339j -0.0908931-0.0755632j -0.0314941-0.078031j -0.0344938+0.0143989j -0.0404339+0.0336692j 0.055792-0.0153672j 
0.0167496-0.0849886j 0.000620172-0.00422689j 0.0076289+0.00792783j 0.0467816+0.0770471j -0.111645+0.0356081j -0.0297562-0.0540062j -0.0436789-0.0268144j -0.00492506+0.0210588j 0.0126668-0.000973238j 0.0240245+0.017492j -0.0319322+0.060181j -0.0231355+0.0578729j -0.043719+0.00486346j 0.0011752+0.0336323j -0.0354788-0.0104889j 0.0124905+0.0396358j -0.00994983-0.0180879j -0.0657185+0.0328776j -0.116066-0.00700867j -0.0472714-0.0617451j 0.0492105-0.0405609j -0.00168734-0.0333638j -0.0413031-0.0101844j 0.139994+0.0669906j 
-0.00298376-0.0359621j -0.00352769-0.00245032j -0.0246498+0.00412205j 0.0100118+0.0123784j -0.0173615+0.00199698j 0.00561083+0.00506265j 0.0392923-0.0260986j -0.104045+0.00293132j -0.0181912+0.0872489j 0.0159888-0.0437448j 0.0841012+0.018394j 0.0787249+0.0104758j 0.0639043-0.0143406j -0.0204366+0.0780445j 0.0174991+0.0197617j 0.000190548+0.0189474j 0.0199229-0.0215831j 0.110027+0.0125769j -0.0369954+0.0635347j 0.0114867-0.0265558j 0.00921874-0.0519147j -0.0301081-0.0147088j -0.0217523+0.00581237j 0.0482566-0.0591158j 
-0.0521666-0.000119651j 0.00767876+0.00168301j -0.00823147+0.00188404j 0.0470419-0.00254743j -0.00200539+0.0527402j -0.0281909+0.040473j 0.0297657+0.0393191j -0.00454945-0.0523183j -0.0460845-0.000448878j 0.135621+0.0766826j 0.018848+0.00143063j 0.0227668+0.0251029j -0.0231244+0.0184324j -0.0248018-0.0403734j -0.0755063-0.0653332j -0.0392912+0.0590143j 0.00344356-0.00037804j 0.0432856+0.0601446j 0.0769611-0.0672295j 0.0225632-0.0400842j -0.0245556-0.0190759j -0.0210529+0.0240078j -0.0158869-0.000364749j -0.135459+0.0772289j 
0.00278402-0.036666j -0.0250553-0.0040228j -0.00326109+0.00257496j -0.0187053-0.0865397j 0.103836+0.00248692j 0.0390916+0.0250708j 0.00349588-0.00589782j 0.017814+0.00300889j 0.0110483-0.013055j 0.0467838+0.0590058j -0.020284-0.00554418j -0.0296302+0.0141553j -0.0104404-0.0521074j 0.012169+0.025054j -0.0349764-0.0634368j 0.111914-0.0130609j -0.0215863-0.0208419j 1.662e-05-0.0192181j 0.0160008-0.020285j -0.0236188-0.077551j -0.0646453-0.0143192j 0.0773265-0.0110578j 0.084532-0.019293j 0.0195457+0.04235j 
-0.0169094-0.0839426j 0.00756783-0.00748428j 0.000350425+0.00374204j 0.0135916-0.000124611j 0.00512819+0.0212474j -0.0453533+0.0263911j -0.0307055+0.0551879j 0.111483+0.0362828j 0.0455715-0.0768419j 0.140872-0.0673819j -0.0392547+0.00778411j -0.00196955+0.0314876j -0.0495624-0.0411499j -0.0502803+0.0615243j -0.1151+0.00404762j -0.0650605-0.0330027j 0.0104407-0.0177574j 0.0139615-0.0407131j -0.0339775+0.0102697j 0.00238481-0.0333135j 0.0435466+0.00489059j -0.0234941-0.0559387j -0.0324996-0.0595086j 0.0218632-0.0193727j 
0.0463453+0.057512j 0.0075016-0.00504731j 0.00867209-0.0168918j -0.012092-0.00561095j 0.0142971-0.00015341j -0.0365705-0.0205898j -0.0331368+0.0477678j 0.0233555-0.039463j -0.0364146-0.030492j 0.0566702+0.0174656j -0.0385901-0.0338006j -0.033884-0.0144914j 0.0314377-0.0787748j -0.0914219+0.0730997j -0.0201955-0.062736j -0.0310863+0.0753678j 0.0406289-0.043954j 0.0405784-0.0591773j -0.0345711+0.017213j 0.100324-0.0643518j 0.0665794-0.0527057j 0.0128241+0.0244765j 0.00850034+0.0278616j 0.00504177+0.0193658j 
0.0236486-0.0340846j -0.0123467+0.00839168j -0.0125185-0.00631988j 0.0140142+0.0251476j -0.0499302+0.00518794j 0.0535605-0.0425888j -0.0283834-0.0492795j 0.0722885-0.0490004j -0.01316-0.0802231j -0.0246924+0.0811136j 0.0445889-0.0427413j 0.0258566-0.0397074j -0.027501+0.00871448j 0.0791882-0.0593424j 0.0225578-0.0499442j -0.0194844+0.0561914j -0.0221065+0.00171219j -0.0169615+0.00476542j 0.000537731-0.00889595j -0.0613536+0.00253948j -0.0131827-0.0231569j -0.0605109+0.0380327j -0.0726577+0.0443855j -0.0124305+0.0365456j 
-0.00401345-0.011497j 0.00574723+0.00405295j -0.0207978+0.0166824j 0.0156431-0.0270326j 0.0343401+0.0434104j -0.0731693-0.00586685j -0.0459058+0.0629264j 0.00366177+0.0126411j -0.00497415-0.00045592j -0.023122-0.0854759j -0.0672881-0.0115257j -0.0425492-0.0235881j -0.0483011+0.0353428j 0.00244835-0.0230344j -0.0229823+0.0646481j -0.0318631+0.0299573j -0.0068503+0.0105001j -0.0748501-0.0369157j 0.00712449-0.0208745j -0.00113044+0.0389787j 0.0194821+0.0208493j -0.00988283+0.0364306j -0.0198168+0.0312304j -0.0226984+0.0276168j 
-0.0503328-0.0781641j 0.0118082-0.00312327j 0.000867666-0.0124624j -0.00795446-0.0436687j 0.0298281+0.00407807j 0.0716343-0.0564741j -0.0381224-0.0688025j 0.00145424-0.0305383j -0.0138671-0.0236688j -0.053842-0.0797512j 0.0159684-0.0741043j 0.013545-0.0812235j 0.0295673-0.0209575j 0.019387+0.00381289j 0.0340077+0.0416816j 0.0178473-0.00628701j -0.000616025+0.000465089j 0.0340857-0.0926671j -0.00269924+0.00781488j -0.01282+0.0359673j -0.0170178+0.0288574j -0.00511916+0.0329852j -0.00076009+0.0312136j 0.011467-0.00823365j 
-0.105768-0.00416741j 0.00251013-0.0263129j -0.0049286+0.00956451j -0.0778244+0.0497542j -0.0251431-0.100756j -0.0170768-0.0163028j 0.0048456+0.0342268j 0.0147519-0.00366519j -0.00507494-0.0100988j -0.0197575+0.126399j 0.0189014-0.035732j -0.00793107-0.0222241j 0.00427074-0.0174214j 0.0242544-0.0546153j 0.0367664-0.0852598j -0.00333833+0.014263j -0.00252854+0.00325426j -0.00986803+0.0159762j -0.00229955-0.00189455j -0.00708295+0.0046471j 0.00135867-0.00833675j -0.0127931+0.0172379j -0.0162356+0.0219339j -0.00135672+0.0111664j 
