0.110931-0.0812931j 0.0303618-0.150782j 0.147165+0.0453298j -0.00581709-0.0578165j -0.0458748-0.12919j -0.0431795-0.0423464j 0.180614-0.0971191j 0.00453526-0.0283874j -0.0912833-0.116203j 0.00224657+0.0217j -0.024751-0.0304448j 0.0496745+0.0476613j 0.0189618-0.0350819j -0.0443615-0.038306j -0.207591-0.0449515j -0.0241986-0.00560187j 0.0155986-0.00206118j 0.0405241-0.277967j 0.034563-0.0509995j 0.00645936+0.141467j -0.00196164+0.00469867j 0.263016-0.00874276j 0.101402-0.0880426j -0.0752983-0.138653j 
-0.00680541+0.0186946j 0.0895988-0.0615239j -0.0269892-0.104546j -0.0277296+0.145714j 0.0195005-0.0262823j -0.0160116+0.0371475j 0.0112922-0.0266402j -0.0670386+0.106648j 0.0201991-0.059048j 0.0394167+0.129572j 0.057357+0.0689555j 0.0890111-0.0479944j -0.0654523-0.0723554j 0.0786028+0.0504823j -0.00738884-0.0115003j -0.0238948-0.0338401j 0.0099466-0.0281438j 0.00320759+0.000502334j 0.123458-0.0459837j 0.049573-0.0145441j -0.00420631+0.0117949j -0.0339291+0.037412j 0.0304468-0.0239233j 0.00468721+0.0175937j 
0.0433667+0.0135567j -0.0584656-0.0543083j -0.0547902+0.0657754j -0.0276644-0.0179841j -0.0561086-0.0270016j 0.00200433-0.00986403j -0.0436105+0.032474j -0.0106271+0.00637687j 0.0197828-0.0531872j 0.00130497+0.00987869j -0.0338123-0.012592j 0.0265804-0.00145438j -0.0155289+0.0166174j -0.0320448+0.0169707j -0.0669562-0.000465105j 0.00131646+0.00738353j -0.00328929-0.00702966j 0.0250357+0.0862562j -0.00130359-0.0229759j -0.00391099+0.0453328j -0.012397+0.0119415j -0.0485649-0.0196771j -0.0112259-0.0804711j 0.0597587-0.0712237j 
-0.0533182+0.0453267j 0.0637738-0.0164125j -0.0238757-0.0621782j -0.0302588-0.019037j 0.0118-0.00740745j 0.0283426-0.0239695j -0.00767254-0.00802999j -0.00489998+0.0337941j 0.0105205+0.00199425j 0.0539665+0.00890618j -0.0426277+0.0211365j 0.0381926+0.0150486j 0.0142681+0.0596072j 0.00961705+0.0126614j -0.00390058-0.0444055j 0.00290926-0.00738303j 0.0240337-0.0467299j -0.0472361+0.025868j 0.0281665+0.00104181j -0.0628685-0.020838j 0.00136954+0.0564863j 0.0211093-0.0626802j -0.0120202+0.0180379j 0.0673806-0.0468373j 
0.00718226+0.0623248j 0.044833-0.0386492j -0.05504-0.0139915j -0.0141258+0.0176182j -0.0246206+0.0407999j -0.0135718-0.0080805j 0.0406608+0.0837485j 0.00717761+0.0209499j -0.0515015+0.0140231j -0.00590594-0.00511694j 0.012453+0.0169657j -0.0180983-0.0276972j 0.0197915-0.00973632j 0.00104388+0.0286073j 0.0396713+0.0529222j -0.00482436+0.00616067j -0.0103569+0.0265277j -0.0474305+0.0062043j 0.0338962-0.0138797j -0.109502+0.0328807j -0.0629718+0.00785446j 0.00207959+0.0575724j -0.013666+0.0117315j -0.0402864-0.0280438j 
0.0128073+0.0633199j -0.0222728-0.0226862j -0.0134092+0.0342297j -0.0336238+0.00514176j 0.0183455+0.0116128j 0.0293825-0.00486041j 0.0247535-0.0276187j 0.00456096+0.0432177j 0.00379659-0.000994192j 0.0149201+0.0148272j -0.0239113-0.000792476j 0.00791951-0.00420524j 0.0635458-0.00624053j 0.0244-0.0121498j 0.0175662-0.0366078j 0.0152222+0.00475905j -0.115098+4.53289e-05j 0.00824697-0.00706392j 0.00236386-0.0227782j 0.0364444-0.000172498j 0.082369+0.039169j 0.0212703-0.0179509j 0.00903419+0.0238316j -0.0250919+0.0306079j 
-0.0712017-0.0304257j -0.029243+0.0285593j 0.0240695+0.0183626j -0.0619674+0.0249057j 0.00415069+0.0108793j -0.0150613-0.0823787j -0.0263255+0.0115169j 0.0347792+0.029785j -0.0222979-0.0229325j -0.0133714-0.0390759j 0.0188267+0.0488934j -0.0132551-0.0429644j 0.0222896-3.16872e-05j 0.0257312+0.0065708j -0.0181225-0.00934644j 0.00840746+0.0109111j 0.0732455-0.072811j -0.0130479-0.0397806j -0.00424977-0.0113363j -0.0344891-0.0438731j 0.00720624-0.0235803j -0.029288-0.0176697j 0.020238+0.0593767j -0.0364991-0.0301261j 
0.0237349+0.0395274j -0.024496+0.0528837j 0.0509192+0.00745884j -0.00216589-0.0233741j -0.00668193-0.0216579j 0.0670282+0.0252342j -0.0245333-0.0178845j -0.0195682+0.0372051j 0.0136168-0.0152226j -0.0301171+0.0181677j -0.0484388+0.000754883j -0.00239494-0.0445291j -0.00189938-0.0217415j 0.00516585+0.0102123j 0.00112019+0.0301873j 0.0334451+0.0148182j -0.00333795+0.111523j -0.0136505+0.0208708j 0.0266369-0.0470912j -0.0442277+0.00950584j -0.0351138-0.0172655j -0.0059579+0.0428651j -0.0226384-0.0327188j 0.00758242-0.0178247j 
0.0634463-0.0226787j -0.0255552-0.00395291j -0.00749275+0.0261691j -0.0325078-0.031029j -0.00757437+0.0208102j 0.0624565-0.00340598j 0.0109437-0.00281698j -0.022184+0.0479551j -0.00382987-0.0150032j 0.064862-0.0221531j 0.0270747+0.0402604j 0.0235845+0.0491557j -0.0143143+0.0528263j 0.0490385-0.0620827j 0.0450635+0.0215805j -0.00852692-0.0727522j 0.0240646+0.0185056j 0.00296379-0.040272j 0.00191768+0.0715932j 0.0109355-0.00429786j 0.0200904+0.0191528j 0.0519261-0.024576j -0.0351216+0.0759353j -0.0186404+0.00736249j 
0.0175289+0.00650302j 0.0278423+0.00943121j 0.00101011-0.040071j 0.00859924-0.0131445j -0.0466797+0.0387234j 0.0250547+0.0424484j 0.0349823+0.0441967j -0.0267426+0.00552403j -0.0262245-0.0189388j 0.00552054-0.0421169j -0.0102394+0.0193465j 0.0434254-0.0270768j 0.0586742+0.0324143j 0.0228053-0.0408096j -0.000848025-0.0654098j -0.00160494+0.00264618j 0.00125422-0.0460797j -0.0659878-0.0210834j 0.0566609-0.0104941j -0.0463664-0.0558704j 0.0487061+0.00516639j -0.00441701-0.0770004j 0.0569263+0.0688605j 0.0202351-0.000749614j 
0.0548589+0.0389467j 0.00753371-0.0143087j -0.0132469+0.00775424j -0.0132348+0.0165576j 0.000323062-0.00316834j -0.0257735-0.0509367j -0.0269229+0.00261891j 0.0287207-0.0128445j -0.00703395-0.0101688j -0.0572126-0.0241296j -0.0409872-0.0120364j 0.0190926-0.0231367j -0.0323089+8.23433e-05j 0.104288-0.0585317j -0.0291995-0.0547628j 0.0821154+0.0142078j 0.0337742+0.0470987j -0.00790368+0.0247842j 0.0214495-0.0410247j 0.0396709+0.0233169j 0.0358786-0.00294834j 0.00750372-0.0450408j 0.0396247+0.0121938j 0.0175992+0.0277219j 
-0.0289855-0.015009j -0.0119172-0.0209324j -0.0120673+0.0136394j 0.00333689-0.00602502j -0.0327667-0.0206337j -0.0238191+0.0169844j -0.0657262+0.0258028j -0.0297404-0.0228454j -0.00694565-0.0453039j 0.0734523+0.000848457j -0.0199018+0.00512969j 0.0207965+0.0179907j 0.0530019-0.0169222j 0.016683+0.034046j 0.0851818-0.0196442j -0.0173593+0.00286041j -0.0978576+0.116056j -0.0518971+0.0400811j 0.0459259-0.0147448j -0.0749657+0.0755776j 0.0212237+0.0716363j 0.0746688+0.0024483j -0.0269655+0.0299665j -0.00415052+0.00848881j 
-0.0209013+0.00357499j -0.0622726-0.00265785j 0.0148139+0.0754137j -0.00731095+0.00142261j -0.0074765+0.00959835j -0.00204018+0.00367957j 0.0111226+0.0141527j -0.00385054+0.00627224j -0.00723736-0.00294277j 0.0221438+0.0571236j -0.0416481+0.0200856j -0.0595888-0.00235278j 0.0124427-0.0766432j 0.00116243+0.0827933j -0.0398526-0.0992573j 0.0445591+0.0538894j -0.013415-0.0446945j -0.0878011-0.0541152j -0.055866-0.0304597j -0.0708561-0.14169j 0.0288926-0.0361988j 0.0193303-0.0384031j 0.0512431+0.00457742j 0.0724252+0.0578898j 
-0.0227793-0.00263868j -0.0147289+0.0745983j 0.0616704-0.00216916j 0.00700385-0.00198143j -0.00328915-0.00573996j -0.0118535+0.0144562j 0.00333688+0.00372886j -0.00765136-0.00964823j 0.00727824+0.00177322j -0.072023+0.0586416j -0.0511561+0.00579771j -0.0197455-0.0371351j 0.0280056+0.0356553j 0.072938-0.14298j 0.0545861-0.0272677j 0.0879509-0.0548525j -0.0130041+0.0455123j -0.0428994+0.0524869j 0.0388376-0.096961j 0.000526459+0.0846278j 0.0142119+0.0750616j 0.0598861-0.0027052j 0.0423803+0.0197114j -0.0214901+0.0578206j 
0.0288721-0.0155676j -0.0123433-0.0133297j -0.0115298+0.0214322j -0.00602813+0.0448409j 0.0286378-0.0237149j -0.0666866-0.0246973j -0.0245739-0.016247j 0.0315529-0.0215423j 0.002901+0.00542649j -0.00412791-0.00819494j -0.0284259-0.0289219j 0.0741047-0.00392722j -0.0191231+0.0709546j -0.0749158-0.075341j 0.0463953+0.0155463j -0.052654-0.0403175j 0.0958185+0.113333j -0.0188815-0.00431401j 0.0859421+0.0184599j 0.0114072-0.0378862j -0.0520506-0.0173543j 0.0196064-0.0186709j -0.0190152-0.0056171j 0.0738098-0.00156038j 
-0.0536914+0.039751j -0.0129782-0.0089539j 0.00640942+0.0147604j -0.00696776+0.0100431j -0.0294755-0.0113056j -0.025331-0.00231016j -0.0243557+0.0508505j -0.000610508-0.00184949j -0.013383-0.0161047j 0.0182285-0.029359j 0.0402147-0.0135616j 0.0101094+0.045694j -0.0370311-0.00139512j 0.039475-0.0217584j 0.0200627+0.0412025j -0.00974813-0.0250136j -0.0295357+0.0467796j 0.0826968-0.0150241j -0.0268317+0.0587235j 0.10645+0.0544626j 0.0313308-0.000762621j 0.0186484+0.0222218j -0.0408734+0.0127155j -0.0560173+0.0237268j 
0.0185234-0.00673687j -0.00131934-0.0393253j -0.0271941+0.00980574j 0.0259281-0.0199805j -0.0280353-0.00569048j -0.0336522+0.0443811j -0.0253962+0.0432518j -0.0480034-0.0375624j -0.00897239-0.0134118j -0.0202072-0.00026193j -0.0557417+0.0703222j 0.00195614-0.0758265j 0.047847-0.00615256j 0.0445814-0.0558579j -0.0582449-0.00730532j 0.0669554-0.0216995j 0.00156386+0.0418148j 0.00243516+0.000472451j -0.00252375-0.0656409j -0.0231259-0.0398966j 0.0579799-0.0334282j -0.0448323-0.0253399j 0.00953614+0.0189615j -0.00765112-0.0422123j 
-0.0635277-0.0210498j -0.00730554-0.0271721j -0.0265309+0.00407435j -0.00360811+0.014546j 0.023855+0.0487425j 0.0109684+0.00180237j 0.0630615+0.00130197j 0.00848969+0.0199161j -0.0316453+0.0316377j -0.0185717-0.00771306j -0.037548-0.0743427j 0.0515923+0.0207482j -0.0187096+0.0189955j 0.0108463-0.00014278j 0.000532754-0.070828j 0.00373637+0.0400347j -0.0211569+0.02387j -0.00689017+0.0725746j 0.0466637-0.0231205j 0.0470874+0.0605871j 0.0153469+0.0499849j 0.0216855-0.0492333j 0.0261056-0.0410389j 0.0653487+0.0200089j 
-0.0225356+0.0406487j 0.0499868-0.0087365j -0.0252111-0.0514965j 0.0143466+0.0148836j 0.0195859+0.036332j -0.0245309+0.0186419j 0.0660176-0.0257073j 0.00640699-0.0222147j -0.000862091+0.0230692j 0.00879103+0.0174731j -0.0221996+0.0353653j -0.0058419-0.0424649j 0.0349817-0.0169532j -0.0432396-0.00880085j 0.026998+0.0488307j -0.0134702-0.0233684j 0.00556663+0.112359j 0.0331738-0.0177387j 0.000469866-0.0284478j 0.00410692-0.0125553j 0.00127193-0.0233655j -0.00234541+0.044921j -0.0493163+0.00107383j -0.0299736-0.0183577j 
0.0699546-0.033086j 0.0254689-0.0174875j -0.0292815-0.0301444j -0.0214267+0.0239877j -0.0349826+0.0301303j -0.0279891-0.0100704j -0.0127698+0.0817309j -0.00420732+0.0103827j -0.0609081-0.0229925j -0.0348128+0.0309204j 0.0203676-0.0596086j -0.0297956+0.0192965j -0.00715443-0.0240128j -0.0331307+0.0457941j -0.00341848+0.00874555j -0.0120047+0.040832j -0.0774903-0.0721494j 0.00842844-0.00939032j -0.0193335+0.00915688j 0.0271874-0.00428384j -0.0210473+0.00187382j -0.0110713+0.0426907j 0.018721-0.0483554j -0.0129596+0.0397975j 
-0.00945462+0.0625439j -0.0136968-0.0328503j -0.021467+0.0229067j 0.00214574+0.000151971j -0.00540864+0.044453j 0.0249016+0.0262738j 0.0295+0.00655254j -0.0179738+0.0127727j -0.0343132-0.00590228j -0.0260972-0.0305357j 0.00820894-0.0265713j 0.0206416+0.0179477j -0.0826777+0.0398648j 0.032433+0.00148345j 0.00300332+0.0224026j 0.00588075+0.00781771j 0.113408-0.00313669j 0.0133433-0.00432477j 0.018915+0.0376706j 0.0237876+0.0106369j -0.0652743-0.00418203j 0.00831834+0.00414073j -0.0227735-0.000142532j 0.0157311-0.0141281j 
0.00479337-0.0611973j 0.0532645-0.0144587j -0.0450878-0.0374322j 0.0529196+0.0124044j 0.00751484-0.020582j -0.0393249+0.0847824j 0.0143252-0.0098467j -0.0249899-0.0402163j 0.0153913+0.018065j 0.0407322-0.0301491j 0.0136237+0.011049j -0.00150318+0.0573182j -0.0638724-0.00725421j 0.110268+0.0323838j -0.0362187-0.0156305j 0.0478369+0.0058126j -0.00630306-0.024001j 0.00505146+0.00734796j -0.0391135+0.0532636j 0.000238527+0.0278369j 0.0201015+0.00997816j 0.0186718-0.0291501j -0.0128102+0.017539j 0.00646179-0.00562437j 
-0.0539478-0.0437139j 0.0224308-0.0633011j -0.0648167-0.0152103j -0.0108142+0.00186276j -0.0047345-0.0337735j 0.00655611-0.00914361j -0.0284949-0.0225824j 0.0120883+0.00667937j 0.0287572-0.0184401j -0.0671912-0.0469503j 0.0107571+0.0196103j -0.0236547-0.0619972j 0.000388745-0.0562552j 0.0605389-0.022339j -0.0284246+0.00353812j 0.0483624+0.0231459j 0.0254346+0.0459211j -0.00259173-0.0088559j 0.00179907-0.042891j -0.00983395+0.0131267j 0.0132225-0.060418j -0.0378151+0.0157689j 0.040897+0.0213037j -0.0533894+0.00888323j 
0.0422324-0.0150422j 0.0549356+0.0646403j 0.0571264-0.0544415j -0.0200741-0.0542752j -0.0105842-0.0063676j 0.044488+0.0312848j -0.00257523-0.0103694j -0.0548616+0.0266356j 0.027738-0.0179598j -0.0612669-0.0713422j 0.0101899-0.0810838j 0.0475365-0.0216348j -0.0113622-0.012905j 0.00483172+0.0434829j -2.55287e-05-0.0232977j -0.0242961+0.0875174j -0.00281999+0.00972631j -0.000692007+0.00714483j 0.0674893-0.00138621j 0.0293773+0.0174165j -0.0142008-0.018033j -0.0278854-0.00121882j 0.0342625-0.0124837j -0.00215696+0.00992869j 
