0.132567+0.0960084j -0.0955846+0.196543j 0.157123+0.044552j -0.222499+0.00232885j 0.084131+0.295798j 0.0662584+0.0184168j 0.226286-0.207377j -0.187549-0.117806j -0.0896208-0.0678037j -0.0359298-0.170325j -0.198612-0.218553j -0.247355+0.340408j 0.136122-0.165394j 0.0987808+0.0960359j 0.130924+0.0146068j -0.358864-0.00821935j 0.0939408+0.0493724j 0.276269+0.0708415j 0.0434066+0.187256j 0.0650404-0.305614j -0.234832-0.228301j 0.15178-0.190712j 
-0.0105483+0.0616222j 0.0763919+0.0195232j -0.0358217+0.013093j 0.0258982-0.0160362j 0.0152846-0.0142199j -0.0350575+0.0686594j 0.0269296-0.011492j -0.00525704+0.00420828j -0.0237776+0.043245j -0.0110525+0.00389715j -0.00107161-0.0882998j 0.0829844-0.104524j 0.0671833-0.0853065j -0.130141-0.0502597j -0.0560748+0.0162546j -0.0215689+0.154414j -0.0379792+0.0250123j 0.0228506+0.0031858j -0.00484682+0.0228881j -0.0330074+0.0589368j -0.0155078-0.108939j 0.107546+0.0295664j 
0.0580463-0.00131689j 0.0655474-0.0834645j 0.0459345+0.0582488j 0.0581583-0.0375386j -0.00157027+0.0223743j 0.0726807+0.0764643j 0.0192081+0.00472208j -0.0488786+0.0517001j 0.0894321+0.0294808j -0.028399+0.0103231j -0.00429323+0.0830667j -0.0208597+0.0368608j -0.124677+0.0186696j -0.00776558+0.00899366j -0.00471938-0.0232979j -0.046875-0.0111333j 0.109495-0.0114942j -0.0119094+0.119127j -0.0145895-0.0460255j 0.0918092-0.00439012j 0.0198592+0.00250014j -0.0688714-0.0383295j 
0.000621912+0.0458185j 0.0304586-0.000990182j -0.0316001-0.00152324j 0.0174139-0.00721822j -0.0465344+0.0250441j 0.138986+0.0383333j -0.0342725+0.0048307j -0.0559006+0.0220305j -0.0498702-0.0790011j 0.053869-0.050491j -0.036944-0.0112994j -0.0360726-0.00810572j -0.106298+0.0522125j -0.0691013+0.0270865j 0.0506095-0.118231j 0.0190601-0.0438446j -0.0514156-0.0831825j -0.00443118-0.0810517j 0.0144427+0.131605j 0.042445+0.0324655j -0.0462436+0.0204222j -0.0226795+0.03916j 
0.005274-0.0454918j -0.0233742-0.0435064j 0.054228-0.00570838j -0.0473412-0.103888j 0.0419939-0.0715818j 0.0287707+0.0703219j 0.0379101-0.0885245j 0.0873239+0.0254902j -0.0915828-0.0900168j 0.0667774+0.0558777j -0.00138847+0.0350184j 0.0543048+0.0309817j 0.0729262+0.00436405j -0.0290421+0.00454482j 0.0996238+0.0345585j 0.0121436-0.0844277j -0.0131894-0.146592j -0.0466684-0.037066j -0.039464+0.0381459j -0.0583766-0.0520843j -0.0114871+0.0338084j 0.0535111+0.0333261j 
0.0195219+0.000823402j -0.00846304-0.0601779j 0.0559973-0.0244833j -0.0268399+0.0295582j -0.0700028-0.0350601j 0.0493515+0.0144749j -0.0192027-0.0132748j -0.0444175+0.00232855j 0.0203587-0.0350243j -0.0407909-0.0253922j 0.0234832-0.030975j 0.0768543+0.00398509j -0.0132097+0.00194033j -0.0371923+0.000260804j -0.0216425-0.0121066j -0.0145775-0.0466484j 0.00685598+0.0228964j 0.0635518-0.0164984j -0.0287015-0.0109016j 0.024791+0.019208j -0.0210323+0.0639395j 0.0807253-0.00617576j 
-0.0309281+0.00861728j 0.0612395+0.0516766j -0.0150393+0.0722217j 0.0192802-0.0175595j 0.0249323-0.0323203j -0.0424536+0.0437725j 0.0365269-0.0585667j 0.0289719-0.0172836j -0.0197122-0.0076615j -0.0430767+0.0125628j 0.00381068+0.0233913j -0.0035871+0.0220017j 0.0250067+0.00896931j 0.00260736-0.0257631j -0.0169072-0.050296j 0.0336202-0.0273639j 0.0263272+0.00263389j 0.0399896+0.0359336j -0.0187865+0.0165664j -0.017691+0.0158244j 0.0333686+0.00217943j 0.0327631-0.0173012j 
-0.0473196-0.0134456j 0.003442-0.00675297j 0.0682017-0.02676j 0.0494781-0.00421145j -0.0482212-0.0123683j -0.00818559+0.065303j -0.000207924-0.121665j 0.0239897+0.000836754j -0.037643+0.0227458j -0.00285546+0.0352229j -0.0495657+0.0203136j -0.00539578-0.0338594j -0.00528371+0.0142162j -0.0203308-0.031666j -0.00885906+0.00290729j -0.0286857-0.0115566j -0.0173287+0.00855722j 0.017785-0.0200924j -0.0300231+0.00644683j 0.0328675-0.0432204j 0.0597798-0.0174415j -0.0220575-0.0565166j 
-0.0494197+0.0398657j 0.0772878+0.0267585j 0.0143807+0.0356069j -0.000961403-0.0224871j -0.0172751-0.00541744j 0.0307816+0.0270129j -0.0452328-0.0252753j -0.00353033-0.0126299j 0.0276541-0.039181j -0.0341237+0.0214803j 0.034696+0.0241241j -0.019455+0.00396024j 0.0235625-0.0452414j 0.0198568+0.00922471j -0.0258588+0.00796177j -0.00261591+0.0077566j 0.0114292-0.0382919j -0.0192133+0.0119854j 0.00936134+0.0548766j -0.0487521+0.0192097j -0.0102589-0.0108799j 0.00751505+0.0130804j 
0.0583135-0.0364172j -0.00332203+0.00581801j -0.0293025+0.0741462j 0.0156559+0.0171201j -0.00514678+0.0320762j -0.00953676-0.0113305j -0.00592689-0.00327531j 0.000511545+0.0031469j -0.0311869+0.0233126j -0.0126688+0.050705j 0.0331572-0.0290463j 0.011193+0.0132578j 0.0618087-0.0153482j 0.0175901+0.0315172j -0.0775188-0.0261104j 0.0161352-0.0559701j 0.0722523-0.0565335j 0.0381302-0.0362255j 0.032887+0.0185024j 0.000618737+0.0660615j 0.0341519-0.0268253j -0.0116527-0.0595935j 
-0.0228832+0.0696476j 0.0123332+0.00829455j -0.0479555-0.0215356j -0.0282829+0.0172162j -0.0868129-0.0548059j 0.0661502-0.000472297j 0.0113691-0.002693j -0.0315978+0.042263j -0.0341692-0.0114929j -0.0308155+0.0168939j -0.0263841-0.0339503j -8.48795e-05-0.0243167j -0.00229751+0.00480959j 0.0933863-0.0312233j 0.00190103-0.0273615j 0.037547+0.0556278j 0.00780482-0.0709684j -0.0164363+0.0419982j 0.0249793-0.0126197j 0.0270475+0.0173115j 0.0208496-0.0112572j 0.0241395-0.0160973j 
-0.0322956+0.0178292j -0.0131429-0.0191802j 0.0328786-0.0749505j 0.00822073+0.0238018j -0.0405228+0.0197131j 0.0159655-0.0138733j -0.00642349-0.00703193j -0.00844521+0.0194157j -0.00567599-0.0320172j -0.0283654+0.0259403j 0.0330611+0.0314389j -0.0397407+0.00451231j 0.0361396-0.0117412j 0.0153286+0.0306259j -0.00575437-0.0293774j 0.0235996+0.0167785j 0.0438548-0.0108956j -0.0178852+0.0206639j 0.0160548+0.0642915j -0.0676988+0.0237742j 0.0194792-0.00941175j 0.000245808-0.00779889j 
-0.00248496-0.0388855j -0.0499576-0.00246137j 0.00941398-0.0411976j 0.0160371-0.046724j 0.0215272-0.0244027j -0.00451968+0.0736395j -0.0394653-0.0708439j 0.0159228-0.0445064j 0.00716868+0.0622284j 0.038399-0.0265093j -0.00533986-0.0358733j 0.0126196-0.0061753j 0.0120531+0.0278479j 0.0272563+0.0358526j -0.0030337+0.00378809j -0.00409908+0.0268693j 0.0356091-0.020417j -0.0208397-0.0364416j 0.0204529-0.04406j 0.0272649-0.00568968j -0.0156965-0.0382778j -0.0405308+0.0126417j 
0.0186727+0.106245j 0.0289549-0.00566132j -0.055767-0.00699368j 0.00626805-0.00818791j 0.00636162+0.0138166j -0.00937619+0.00325596j -0.00816541-0.014938j 0.0156696-0.010213j 0.0554318+0.0325093j 0.0150594-0.0387494j -0.027233+0.0325104j 0.0144262-0.0342647j 0.0629863-0.0416475j -0.00488079-0.00289932j -0.0735221-0.0513195j 0.0133732-0.0634104j -0.00777035-0.0480926j 0.0172184-0.025132j -0.0233885+0.0172606j 0.020326-0.0229048j -0.0289464-0.000730632j -0.0339224+0.00132219j 
-0.0014797+0.000290604j -0.012984+0.00285036j -0.0115501-0.0170388j -0.0214814+0.0357823j 0.023144-0.0413385j -0.0528353-0.0285482j 0.105269+0.0318504j 0.00339689+0.0141396j -0.00574224+2.68829e-05j -0.00695017+0.0243851j 0.00788155+0.0301342j -0.016763-0.0425796j 0.0122605+0.0203949j -0.0353032+0.064029j 0.00489264+0.0138994j -0.0587607+0.0342064j 0.0474234+0.0319221j -0.0247473-0.0578182j -0.0140491+0.060702j -0.0369381-0.0402344j 0.0451592-0.0213977j -0.0325056-0.0369914j 
-0.0395375+0.0209099j 0.0669063-0.000279967j 0.0400628+0.0206799j 0.0167637+0.00181598j 0.0268763+0.00802129j -0.0360473-0.000178811j 0.0268387-0.00761147j 0.0169668-0.00178224j 0.00285202+0.0126432j 0.0282376-0.0119839j 0.0243921-0.0351723j 0.037837+0.0103796j -0.00639704-0.0121692j 0.0173666+0.0245005j -0.00971022-0.00636324j -0.00934767+0.00505488j 0.0154415-0.0266074j 0.00817417-0.0119606j 0.0362994-0.0113293j 0.0271896+0.0344882j -0.0286571-0.0105098j -0.00205641+0.013142j 
-0.0110017+0.0178243j 0.0141375+0.00241802j -0.00126092+0.000747468j -0.00151885+0.0136207j -0.105062+0.033782j 0.0524732-0.0289262j -0.0253344-0.0423344j 0.022216+0.0347366j -0.0310995+0.0377005j 0.045867+0.0184981j 0.0370891-0.0412786j 0.0162839+0.0590411j -0.0236694+0.0592172j -0.0460462+0.033338j 0.0586651+0.034434j -0.00526786+0.0136316j 0.0354409+0.0623491j 0.0122545-0.0216418j 0.0168891-0.0430366j -0.00657866+0.0306315j -0.00839348-0.0241743j -0.00639478+0.00165547j 
0.0565171-0.00775576j 0.0287553+0.00339814j -0.0165068+0.106755j 0.0157481+0.00855775j -0.00670303+0.0150423j -0.00823817-0.00151479j 0.00401828-0.0131449j 0.00543909+0.00680154j 0.0337144+0.000109526j 0.0283915-0.000554531j 0.0212679+0.0227638j -0.02285-0.0164345j -0.0183134-0.024476j -0.00730351+0.0497201j 0.0147853+0.0626171j -0.0726796+0.0523555j -0.00333205+0.00340186j -0.0632856-0.0387747j 0.0159486+0.0355634j -0.0280564-0.0313385j -0.0158721-0.0387886j -0.053941+0.0332055j 
0.012154+0.0461065j 0.0508685-0.00524182j -0.00311772+0.0372956j -0.0163402-0.0421533j 0.0396005-0.0722588j 0.00394715+0.0716304j -0.017188-0.0226492j -0.0170745-0.0447737j -0.0416083-0.0108196j -0.0132843+0.0391546j -0.021611-0.00365301j -0.0208953-0.0387252j -0.0231838+0.0357941j -0.0396869-0.0207765j 0.00311408+0.0268222j 0.00419074+0.00264261j -0.0265043+0.0388258j 0.015296-0.027246j -0.00994989-0.00455129j 0.00264944-0.0330929j 0.0368753+0.0225717j 0.00629399-0.0598473j 
-0.0329888-0.0707831j -0.00921187+0.0197313j 0.0316092+0.0202334j -0.00937138-0.022005j -0.00397171+0.0027005j 0.0160771+0.0185636j -0.0418075-0.0211354j 0.00671829-0.0268632j -0.00334867-0.00806267j -0.0215467-0.0063902j -0.0700811-0.0219178j 0.0114076-0.0687502j 0.017566+0.0210926j 0.0399919+0.00756773j 0.0226002-0.0161146j -0.00469636+0.0292956j 0.0111609-0.0274378j -0.0361081-0.0141315j -0.0401898-0.00292729j 0.0318626-0.0359218j 0.0315546+0.0263621j 0.00510593-0.0368848j 
-0.0460808+0.0238474j -0.0105898+0.00900874j -0.0250316-0.0681157j 0.0328842+0.042157j -0.0122113-0.000675381j -0.06628-0.000332851j 0.085729-0.0556466j 0.0298611+0.0164297j 0.0253941+0.0147294j 0.019954+0.0110378j -0.0262421+0.0175061j -0.0247676-0.0114059j -0.0187615-0.0440128j -0.00837236-0.0699266j -0.0375744+0.0579717j -0.00418394-0.0259541j -0.0936578-0.030307j -0.0044492-0.0061801j 0.000354774-0.0238852j 0.025754-0.0345123j -0.0310733-0.0168667j -0.0340172+0.0129916j 
-0.0307297-0.0731299j 0.00294668+0.00655206j 0.058061+0.0348304j -0.000108692+0.00494776j 0.00401558-0.00158782j 0.0087245-0.0132023j 0.00629092+0.030825j -0.014956+0.0182043j -0.0105627+0.0602086j 0.034639+0.0260994j -3.47212e-05+0.0674509j -0.0332383+0.0197738j 0.0372033+0.0342341j -0.0734431-0.0567445j -0.0181939-0.0545766j 0.0768971-0.0279294j -0.0183128+0.0317769j 0.0614108+0.0153538j -0.0116869+0.0133442j -0.0332585-0.0289103j -0.0142971-0.0514697j -0.0313474-0.0216992j 
0.0128189-0.0363332j -0.0768413+0.0284488j -0.0501267-0.0390776j 0.00244359-0.0127979j 0.0447935-0.0262569j -0.029776+0.0271383j 0.017223-0.00499551j 0.000754705-0.0220416j 0.00662682-0.0125876j -0.00857943+0.0112166j 0.0488032+0.0186537j -0.00845991+0.0560672j -0.0200092-0.00975724j -0.0115581-0.038311j 0.00271437+0.00707357j 0.0263728+0.00640778j -0.0194791+0.00894803j 0.0247514+0.0452841j 0.0196591+0.00250077j -0.0338599+0.0251386j -0.0341765-0.0203406j 0.027438+0.0382444j 
0.0668076+0.0245221j -0.00463959-0.00636861j -0.0467487+0.0132937j -0.0246251+0.00328616j -0.00197072-0.121866j 0.00835662+0.0648702j 0.048946-0.0139602j -0.0486422-0.00370709j -0.0205954+0.058007j 0.0606221+0.0153397j -0.0338701-0.0425752j 0.0294228+0.0053694j 0.021044+0.0202851j 0.0163366+0.00723327j 0.0282807-0.0128451j 0.0100193+0.00198215j 0.0189145-0.032442j -0.00512589-0.0160361j 0.00436155-0.0341418j 0.0490152+0.0193963j -0.00373871-0.0358338j -0.038072-0.0223868j 
0.0175667+0.0713688j 0.0598956-0.0535605j 0.0315043+0.00785501j 0.0286145+0.0161688j 0.0365859+0.0560409j -0.0426259-0.0428194j 0.0259094+0.032031j 0.0188487+0.0180271j -0.0328988-0.0176422j -0.0310216+0.00236733j -0.0187012-0.0157262j -0.0176856-0.0170508j -0.0378675+0.0370117j 0.0253807-0.00264481j 0.0348327+0.0251991j -0.01551+0.0503257j 0.00226104+0.0250359j -0.0256595+0.00874228j -0.00404936-0.0210064j 0.00326035-0.0232203j 0.0415315+0.0125165j 0.0188455-0.00762355j 
-0.0556147-0.0225062j -0.00616356+0.0594754j -0.0191088+0.00213056j -0.0445699-0.00307528j -0.0182783+0.0125219j 0.0489288-0.0145361j -0.0686997+0.0351984j -0.0269373-0.0287547j -0.0815488-0.00599681j 0.0229329+0.0643237j 0.023609-0.0198979j -0.0263218+0.011498j -0.0640802-0.0149419j 0.00722457-0.0228138j -0.0128841+0.047794j -0.0221118+0.0125891j -0.0370686-0.00101918j 0.0140981+0.00149828j 0.0759743-0.00499228j 0.0241004+0.0305071j 0.0406306-0.0253275j -0.0205336-0.0346291j 
