0.00488412+0.0491512j 0.050605+0.0334717j 0.0284758-0.0425172j -0.0826555+0.0823401j 0.011125+0.0356359j 0.0138444+0.0442492j -0.00616958+0.13197j -0.0296951+0.0812093j 0.0113918-0.0225437j 0.0260534-0.00526838j -0.049511-0.0359992j -0.0237497+0.0130784j -0.027125-0.0108415j 0.0427373+0.0114636j 0.00789583+0.0616423j -0.01079+0.0443474j -0.0145705+0.0244657j -0.0112353-0.00924768j 0.0469512-0.00633125j -0.00920632-0.0971262j -0.0113869+0.0156622j 0.0121764+0.0361706j -0.0337292+0.0731456j -0.0341769+0.045707j 0.0343667-0.0398737j -0.149443-0.0824941j -0.0394177-0.0217278j 0.0532588-0.0449016j 0.0440054-0.0162213j -0.00323705+0.0670444j 0.00715076+0.133078j 0.0122779+0.028332j 0.0607431+0.00755061j -0.0811835+0.0977297j 0.0350853+0.0463551j 0.0565793+0.0519532j -0.0920501-0.0585808j -0.0141189-0.0259318j 0.00310916-0.0603631j -0.00547378+0.092283j 0.0873664-0.0501492j 0.0784751+0.0445527j -0.113052-0.0769947j -0.00683263-0.0327717j -0.0114052+0.0264993j -0.096167-0.123376j -0.0583481-0.134362j -0.0228747+0.0450573j -0.0897442-0.0547467j -0.0542686-0.108089j 0.0265321-0.0231233j 0.0267097+0.0164291j 0.0309201+0.0254177j -0.0595096+0.00903588j 0.0039057+0.0354301j -0.00860491+0.0162046j -0.00859521-0.0255713j -0.00302897-0.041606j 0.0102024-0.014246j 0.00112541+0.0312507j -0.00473235-0.0146237j 0.0101392-0.0323618j -0.0599657+0.0105303j -0.0102714+0.0254369j -0.0231111-0.0181389j 0.0190396-0.00456855j -0.0111653-0.00470909j -0.00106169-0.00105209j 0.00125349-0.0660696j 0.0117071-0.00257729j -0.00797086+0.0494538j 0.0130265+0.00924444j -0.0201994+0.00563842j -0.0560898+0.0205649j -0.0301369-0.0312856j 0.0281426-0.0572079j 0.0706657+0.0651896j -0.0257087+0.0140956j -0.0133945+0.00996082j 0.174696+0.00145951j 0.0879626-0.0677343j 0.0102805+0.0887389j -0.0873044+0.0525815j 0.0925669+0.0239447j 0.0462589+0.142866j 0.00938253-0.0766294j -0.0410356-0.0240724j -0.0265486-0.0113024j 0.0540754-0.020956j -0.0944557-0.0288786j -0.0054281+0.117339j 0.0322574+0.0680868j -0.00342959+0.0256491j -0.150146+0.00275918j -0.0922329-0.170864j 0.166527+0.0134533j -0.153049-0.256598j -0.17054-0.0924582j 
0.022609-0.00794512j 0.0216761-0.024928j -0.0230592+0.00237489j 0.0670061-0.0107459j 0.0100487-0.00122529j -0.0221207-0.0193873j 0.0247101-0.021907j -0.000581751+0.00396552j 0.0116532-0.0103812j 0.00426677+0.0250633j 0.052169+0.0250525j 0.0105475-0.0115382j -0.0254112+0.00540307j -0.0114367-0.0093557j 0.0134136-0.0158819j 0.0330459-0.00949525j -0.0286411-0.0403932j -0.0253373-0.0051573j 0.0356835+0.0219826j 0.0291385+0.00276409j 0.0110606+0.024599j -0.00200069+0.0150179j -0.00294097-0.0168797j 0.00306925+0.0055573j 0.00232487+0.00591778j 0.0166168-0.00647391j 0.0325944-0.00658944j -0.0274447+0.0378708j 0.0343821+0.0215521j 0.0016121-0.0107925j -0.0179661+0.0179861j 0.0302563-0.00105827j 0.0201282-0.000992602j -0.00192772+0.000801962j -0.0165859-0.00171701j -0.0212378+0.0266223j -0.00535536+0.013259j -0.0353896+0.0244435j 0.0494026+0.00846017j 0.0281971-0.00194911j 0.0334336-0.0391933j 0.012775+0.00454234j 0.011635+0.0333382j -0.0401298-0.0287666j -0.00180965-0.0367966j -0.0078313+0.0157222j 0.0304895+0.0408397j 0.0394625-0.00936766j -0.0247514-0.0205797j 0.0290149-0.0115851j 0.016463+0.00395883j 0.0476398+0.0199772j -0.00874349-0.0244761j -0.0803616-0.00940388j 0.073846+0.0371991j -0.00111962+0.0133273j 0.0381277-0.0777628j -0.0211738-0.0617121j -0.0668656-0.00157052j -0.0639011-0.0217858j -0.00548717-0.0058986j -0.0865597-0.143553j 0.117737-0.124895j -0.13116+0.00354928j 0.0198285+0.133483j -0.10496-0.0231025j 0.0611491-0.0968429j 0.118058-0.0206659j -0.103295-0.0284667j 0.00145884+0.0382853j -0.0451681+0.306933j 0.0489302-0.0636922j 0.0290665-0.169083j -0.0153783+0.187087j -0.205675-0.0492515j 0.00239957-0.0516429j 0.0885059-0.000732879j 0.135879+0.0527466j -0.107522-0.167308j 0.0250923+0.0926239j 0.0600342+0.187678j 0.13252+0.0245271j 0.0557981-0.0877616j 0.118458+0.0245437j 0.234057+0.0633841j -0.0861588+0.0464911j -0.0100864-0.0585798j -0.0347589+0.0192855j -0.00510111+0.0226472j -0.00390346-0.0220721j 0.0474116+0.0112171j -0.00725289+0.0267481j -0.00389064-0.0535594j -0.023383-0.0019238j 0.0703007-0.0247241j 0.0572375+0.0108215j 0.00196894+0.0209821j -0.0500221-0.00720991j 
0.0106613+0.0135937j 0.0257802-0.0227154j -0.0352464+0.0106778j 0.019949-0.0210334j -0.00436638-0.0199957j 0.0307795-0.0124945j 0.00191064+0.0286658j -0.0477469+0.0293334j 0.0368262+0.00463614j -0.0105302+0.0332248j 0.011087-0.032239j -0.0145506-0.0180549j 0.0271866+0.0067571j -0.0119719-0.0484071j -0.0138528-0.00350463j 0.00128112+0.0202418j 0.0216341+0.0568006j -0.0338497+0.0180849j -0.00914186-0.0374295j -0.0193963-0.0230159j -0.0159927-0.0150094j -0.00196459+0.0592267j -0.022986-0.00382467j -0.0220618+0.0162276j 0.0086065+0.0105991j -0.00149475-0.0210218j 0.0142877-0.00162912j 0.0360385+0.00465031j 0.0151862-0.045173j -0.0116445+0.00932109j -0.00881598-0.00227777j 0.0138608+0.00137726j 0.00869358-0.0239125j 0.00265754+0.00363106j -0.00388709-0.0401125j -0.0042283-0.00298538j -0.0514514+0.0154323j -0.00193984+0.0583518j 0.0150016+0.004914j -0.00027779+0.021374j 0.0276848-0.0239009j -0.0047278+0.00563777j -0.0368323-0.0279502j 0.0278435-0.0374382j -0.0102197+0.00940475j -0.0111253+0.00374533j -0.0190267+0.0380113j 0.0160207+0.00167941j 0.0301149+0.00237115j 0.0233951-0.0446547j -0.0557884+0.0210746j -0.0611881+0.00811597j 0.0241485-0.0148777j 0.106342+0.069876j -0.0242634+0.0173143j 0.000725483-0.0170825j -0.164381-0.10424j 0.148714-0.0155589j 0.0598336+0.0448714j -0.0962782-0.253489j 0.105992+0.0450659j 0.0542549+0.00665446j 0.0755392+0.0888973j 0.00582495+0.00473423j 0.0516296+0.0356682j -0.0540698-0.249877j -0.141282-0.110737j 0.0928957+0.0769785j -0.0025179+0.0630726j -0.119853-0.179132j 0.0474348-0.0969939j -0.206731+0.0158818j 0.0323332+0.0992979j 0.153088-0.104104j 0.0622406-0.0978009j -0.0955185-0.0313071j -0.06586+0.119338j -0.0701444+0.0589916j -0.0985424+0.0457022j -0.12953+0.0916726j -0.0677548+0.0494572j 0.121463+0.0280562j 0.0694+0.0170997j -0.0620374+0.0602094j 0.104607-0.0324171j 0.0228618+0.0189967j -0.0569571-0.00964322j -0.0600094+0.0804808j 0.122471+0.0562915j -0.0820151-0.115893j 0.0379156-0.020358j -0.129252-0.0441612j 0.0593056+0.0106561j -0.0255523+0.00152961j 0.0510153+0.0559298j -0.0156463+0.0225134j 0.0129673-0.0159524j 0.0178533-0.00156182j 
0.0175883-0.0319013j -0.0234136+0.00738297j -0.00357023-0.0375493j 0.0372293+0.0177883j 0.0298938+0.0202143j -0.0653565-0.0281507j -0.000250509-0.0720373j 0.0565356-0.0286371j -0.0301371-0.0383172j 0.0319173-0.0417504j 0.00583007-0.0194959j 0.00499456+0.000731186j 0.0178233-0.0186029j -0.00547789+0.000395101j -0.00477977-0.0158156j -0.0350874-0.00998457j 0.0321406+0.0385917j -0.00781478-0.0154978j -0.0254105+0.00168158j 0.0327745-0.00498024j -0.00578778-0.0145495j 0.0037126+0.0110954j 0.0061851-0.0196309j 0.0390051-0.00610195j -0.00150624+0.0255816j 0.00543533+4.96088e-05j -0.0341262+0.0299485j 0.0150299-0.025494j -0.00362462+0.0170995j -0.0157306+0.0230381j 0.00873369-0.0368621j -0.025335-0.0147485j 0.00673197-0.0153823j -0.0301793-0.00807575j -0.0211183-0.0431868j -0.0275411+0.0176223j 0.0049619-0.0135615j -0.0102005-0.0392095j -0.0472913-0.00659327j 0.0196224+0.000396226j -0.00150391+0.0167612j -0.0072865-0.00383237j 0.0445085+0.0376456j -0.0611074-0.00145796j 0.00754056-0.0580093j -0.00601402+0.00993717j 0.0452487-0.0129164j -0.0237978-0.052684j -0.0471851-0.0538654j -0.023252-0.0444793j 0.0674593+0.00277493j 0.127552-0.0627655j -0.0783144+0.00484151j -0.107861-0.00351815j 0.139182+0.140764j -0.033785+0.0262084j 0.0389809-0.0797482j 0.0706899-0.211503j 0.228102-0.0843044j 0.0479079-0.0296405j 0.126417-0.0783047j 0.00815753-0.0690802j -0.0791554+0.0294383j 0.137393-0.0799444j 0.0667988+0.033893j 0.069469-0.136313j -0.219454+0.162565j 0.131759-0.0229959j -0.0027098-0.0452307j 0.0334128+0.106595j 0.0241799-0.117169j 0.121374-0.0844437j 0.0477692-0.0539535j 0.0682497+0.084979j -0.0485718-0.0323731j -0.0206837-0.0757065j 0.0524986+0.0909753j 0.024115-0.00235393j -0.148018-0.0471217j -0.0065758+0.0248825j -0.0241913+0.0940792j -0.113751+0.0503843j 0.0514712+0.173311j 0.0312684+0.0022937j 0.0329876-0.0542069j 0.0636004-0.0260974j 0.012537-0.0905264j 0.00422745+0.0083226j -0.0197071-0.0400614j 0.144245-0.0564961j 0.0541349-0.0405428j 0.0152765+0.0397598j -0.0381906+0.0271864j 0.0191926-0.00519768j -0.0295774-0.0584995j 0.00557994+0.0383745j -0.0153559+0.0238891j -0.0413981-0.0111998j 
-0.00769874+0.00270832j -0.0168233+0.0102881j 0.0131129-0.0236472j -0.0254944+0.00559328j 0.00156431-0.00237105j -0.00317315+0.011936j -0.0137436-0.00608899j 0.012497-0.0240517j -0.0143582-0.00365282j 0.00776978-0.0321385j -0.0304128-0.00948524j -0.00628567+0.0130726j 0.00578477+0.0049384j -0.0316575+0.044925j 0.00748229-0.0105107j -0.0351729+0.0187473j -0.0102054+0.0138299j -0.0122437+0.0369945j -0.0094777-0.00648828j 0.00597648-0.0389471j 0.0656705+0.00711033j 0.0315579+0.0138708j -0.00920404-0.0216683j 0.0192237-0.0171289j 0.0095189-0.0110446j 0.00546755+0.00198196j -0.00216418+0.0126855j -0.00534345+0.0228081j 0.00588805+0.00441588j 0.0335489-0.0185945j -2.92832e-05-0.0141187j -0.0191164-0.0299912j -0.00127531+0.0173591j 0.0070731-0.000425936j 0.00602712-0.00694457j 0.0180403+0.00280307j 0.0196501+0.0016327j 0.00574591-0.0459215j -0.0275128-0.00717827j -0.0172051+0.00314258j -0.0168829+0.0139586j -0.00830566+0.00674267j 0.0187947-0.0186549j 0.00693123+0.0198648j -0.0010855-0.00365406j -0.000268894+0.00198932j -0.00113084-0.0218862j -0.0238011+0.0248828j 0.00845085+0.015248j -0.0132236+0.00984502j -0.00167478-0.00972735j 0.00255809+0.0405322j -0.0206293-0.0457802j -0.000815276-0.00111478j -0.00881094+0.0357128j 0.0117816+0.123742j 0.0314949-0.0693542j -0.0408891-0.110939j -0.0049225+0.0963106j 0.0592049-0.049148j 0.106943+0.132138j 0.102652-0.0555187j -0.0417259-0.0454299j 0.029342+0.00760894j -0.194142-0.0321243j 0.028221+0.0577563j 0.15765+0.0427686j -0.0637243-0.144833j -0.0301892-0.0415846j 0.126797+0.0484486j 0.187123+0.0520322j -0.0205267-0.109737j -0.205262-0.0147617j 0.0485347-0.0429492j -0.0463365+0.258632j -0.0529728+0.0979301j -0.0380492-0.0586149j -0.0363702-0.034526j -0.110635+0.0498993j -0.0559039+0.217167j -0.0367474+0.0178123j -0.014467+0.15519j 0.00322664-0.0608555j 0.0834583+0.0555015j 0.0490792+0.0664798j 0.0296209-0.104021j 0.0434455-0.0109589j 0.0329016-0.024188j -0.072715+0.00745048j 0.00209314-0.0319833j -0.0298813-0.00991792j 0.0414104-0.0168457j -0.0346016-0.00153786j 0.0122507+0.0321599j -0.0598028-0.0114019j -0.0356204+0.00589259j -0.0136121-0.00729447j 0.021712-0.00322543j 
0.0185499-0.0268932j -0.0068181+0.0107568j -0.0404147+0.00882312j 0.0277469+0.017916j -0.0194219+0.00929343j -0.00749187-0.0285757j 0.0365858-0.0364279j 0.00551423-0.00245411j -0.0200184-0.0457023j -0.0291082-0.00668855j -0.0260279+0.0233587j 0.00476135+0.0583814j -0.0324965-0.0392705j -0.00252485+0.0352915j 0.0225503-0.00804052j 0.0447085+0.022606j -0.0144313-0.0281359j 0.021146+0.0446026j -0.0115702+0.041716j -0.0283237+0.0144789j -0.0320747-0.0266583j 0.00526511-0.0359279j -0.0244405-0.0014734j 0.00897166-0.0214405j -0.0247114-0.00999874j -0.00481433-0.0279409j 0.014237-0.0135935j 0.0384665-0.0118245j 0.011028-0.0109595j -0.0380149-0.0318519j 0.0221331+0.00664788j 0.0150751+0.00300432j 0.0163818-0.00408278j -0.0126769-0.0362737j 0.00538475+0.0126003j 0.0169498+0.00362082j -0.038926+0.000400777j -0.0142922-0.000563489j -0.0234104+0.00829559j 0.0226775+0.0299153j 0.00543411-0.02122j 0.0268576-0.00992887j -0.0366257+0.0350011j -0.0174918-0.0560456j -0.0169592-0.0279729j -0.00324407+0.0219477j 0.0100291+0.0113536j 0.0317873+0.0119199j 0.018613+0.0203003j -0.07195-0.036161j 0.0497941+0.00674103j -0.0546294+0.0045913j -0.0325456-0.0438369j 0.00322154-0.22461j -0.0611514-0.107097j 0.0459131+0.101929j 0.0340909+0.0178536j -0.13349-0.0203325j 0.108966-0.00984162j -0.0256637+0.132495j 0.145363-0.0269917j -0.135976-0.187837j -0.0995536-0.115873j -0.0617335-0.0593597j -0.010263+0.14718j -0.0739687+0.164607j -0.0521236-0.119291j -0.111905+0.00344174j 0.0069974-0.020293j -0.059226+0.105906j 0.126978-0.0298661j -0.0491868-0.0202675j 0.0733901+0.0108898j 0.102341+0.130717j 0.215988+0.200546j -0.00477315-0.0632459j 0.0526828+0.15482j 0.0376441+0.0338824j -0.0584893-0.00860508j -0.0525886+0.0416379j -0.0333641+0.10857j 0.0292665-0.0665314j 0.0251882-0.0289392j 0.102929+0.118253j 0.0183865+0.029987j -0.0917701-0.0694867j 0.0418874+0.0213357j 0.0845073+0.0352486j 0.0421657-0.0247527j -0.0930217+0.0192223j -0.024402+0.0409845j -0.0460292-0.0465992j -0.0166599+0.00121736j 0.0142945+0.0229748j 0.0812099-0.0264415j -0.0441421+0.0561401j 0.0455986+0.0212391j -0.0253041+0.00763418j 
-0.0210824+0.0321022j -0.0368298+0.0338816j -0.00601909-0.0444249j -0.087451+0.02654j -0.0274237-0.0485552j 0.0269866-0.00405347j -0.0348439+0.0717354j -0.0540748+0.0223398j 0.0217775-0.00945378j -0.0236307-0.00606481j -0.0545847+0.0333336j -0.00857705+0.0208071j 0.0339365-0.0237698j 0.0218544-0.0106647j 0.0337437+0.046035j -0.0141326+0.000319238j 0.00844394-0.00837291j 0.00845147-0.0181341j 0.0114758+0.00727744j -0.007589-0.0135723j -0.00892012-0.0253107j 0.0110283+0.0275209j 9.95153e-05+0.0113046j -0.00951637+0.0549037j 0.00848401-0.0066274j -0.00709173-0.00452872j -0.00688853+0.0116876j 0.0199983+0.0135845j 1.35457e-05+0.00855816j 0.00495388-0.0261747j 0.0496268-0.00562001j -0.0194716+0.0196904j 0.00490525-0.0200905j 0.0121918+0.0215318j 0.0231518+0.0121365j -0.0112669+0.00493357j 0.0169316-0.0153246j 0.023024-0.033288j -0.0139343-0.00416119j -0.0326246-0.00389691j -0.0170837+0.0405472j 0.00618041+0.0220334j -0.02335-0.0394072j 0.0751905-0.0169871j -0.02971+0.0269469j -0.00794622+0.0363545j -0.0225442+0.0399628j 0.0188528+0.0888838j 0.0939136+0.00353664j 0.00809095+0.0378881j -0.00242455+0.0774586j 0.0496234-0.00339166j -0.0561089-0.0134525j 0.029674+0.023104j -0.0268628-0.172969j 0.124983-0.0994539j 0.0303713+0.114342j 0.0830946+0.0390847j -0.0243032+0.0212745j 0.129042+0.112405j -0.0918917-0.0505798j -0.0548549-0.00786883j 0.0721329-0.086252j -0.0278489+0.0987007j 0.11481-0.0405753j 0.064803+0.0342942j -0.200656-0.0397374j 0.0660991-0.105186j -0.0600024+0.127989j -0.241857+0.0261828j 0.0165477+0.185284j 0.019859-0.0179354j -0.120744-0.0360192j -0.00404059+0.0650416j 0.0216446-0.116538j 0.159005-0.0221813j -0.209588-0.0754102j -0.00700834-0.0414211j -0.0827219+0.0709125j -0.138103+0.0293016j 0.0579907+0.128906j 0.0732686-0.06106j 0.0501362+0.185497j 0.043928-0.0372332j -0.00702482-0.0835794j 0.0200735+0.00953224j -0.0146342+0.00846628j -0.0335547-0.07575j 0.0220109-0.0289636j 0.0478878+0.00997917j -0.0118371+0.00300858j 0.00460699+0.0304788j 0.0500655-0.0493116j -0.0151939+0.0287112j -0.031114+0.0326926j -0.0947579-0.031855j 0.0224397-0.0194889j 0.0677697+0.0255387j 
-0.000266673-0.000933413j -0.0133997+0.0143527j -0.0181884-0.0049601j -0.0185338+0.00937434j -0.0291162-0.00368978j 0.0180534-0.0129005j 0.00953612-0.00728368j -0.0228992+0.0059762j -0.0241694-0.0269419j -0.0295437-0.00541801j -0.0361092-0.00188779j 0.014298+0.0330812j -0.0441802-0.0151111j -0.0406738-0.0018306j 0.0460926-0.00374815j -0.00256344-0.0113089j -0.00609516-0.00936789j -0.0174027+0.03272j 0.000547024+0.01583j 0.0125985-0.025695j -0.0491677+0.0356869j -0.0170407+0.0342589j -0.00918317-0.0199642j 0.015543-0.00607083j -0.0187619+0.00210063j 0.00576362-0.0323854j 0.0197437+0.0344878j 0.00276763-0.035004j 0.0106985-0.0463625j 0.0109504+0.00274253j 0.00160651-0.0175313j 0.0137073-0.0158558j -0.00234995-0.00390393j -0.00297837-0.016007j -0.0172933+0.00786261j -0.0089884+0.00832292j -0.0162774-0.000678709j 0.0104735-0.00441212j -0.0112827-0.00373731j -0.00523962+0.00328982j -0.00321348+0.00217243j 0.0158534-0.00298734j -0.0178805+0.00974013j 0.0177435-0.0299324j -0.017375+0.00269166j -0.00661883+0.0157325j -0.0127692+0.023199j 0.0139401+0.010611j 0.0671138-0.0228349j -0.0728643+0.0288218j 0.0277943+0.0223916j -0.105607+0.0272483j 0.0445207-0.0358004j 0.0234139-0.0979003j -0.0152978-0.0593386j -0.0684836+0.119416j 0.16128-0.070584j -0.0255279-0.0572194j 0.00265992-0.0450357j -0.0445907+0.151649j -0.104975+0.201301j -0.144616+0.108174j -0.00774611-0.00232249j -0.0421958-0.0818242j -0.0431132-0.1708j -0.10309+0.0356506j 0.197833+0.0347297j -0.0664837+0.0813046j -0.0474001-0.0305892j 0.184252-0.23789j -0.165725+0.150242j -0.0301169+0.08831j 0.00606282-0.0261106j 0.0952491-0.0755483j 0.0650027-0.119561j 0.00788817-0.0969807j -0.0287474+0.0901175j 0.00844199+0.0193128j -0.0702413-0.0786752j -0.118979-0.159131j 0.013246-0.0505378j -0.0473767-0.0855671j 0.119339+0.0701378j 0.115291+0.0289387j -0.0560717-0.000581092j 0.0166373+0.0218601j -0.0447413+0.00421401j 0.0253238-0.0736144j 0.0308672-0.012955j -0.0327749+0.00999421j 0.017301+0.0137j -0.0211106-0.0288384j -0.00447205-0.0263592j -0.0119853+0.0212672j 0.0310689+0.00177106j -0.0367216+0.00631943j 0.0237509+0.00483648j 0.00652296+0.00756793j 
0.0113589-0.0140263j -0.054203+0.0633905j -0.0627909-0.0576292j 0.0174034+0.0253207j 0.017649+0.0186558j -0.0444807-0.10952j 0.0667729-0.0543824j 0.0480042+0.0633457j 0.0360491-0.0244469j -0.0277644+0.00190292j 0.00397639-0.0634348j -0.0273041+0.00601114j -0.00170751-0.012205j 0.00364813-0.00048931j -0.0215515+0.0096948j 0.00947145-0.00598755j 0.00490381+0.0505077j -0.0121745+0.0448911j -0.0110752+0.0142235j -0.0153493-0.0245025j 0.00501827+0.00726034j 0.0181991+0.0117067j 0.000999132-0.0134543j -0.000476524+0.0100545j -0.0513629-0.0212823j 0.0112713+0.00124737j 0.0334416+0.0285183j -0.0286-0.012297j -0.0218306+0.0225443j -0.0282915-0.0105429j 0.00237114+0.0179954j -0.0174303+0.000755024j 0.0268454-0.0141013j 0.0133746-0.00791976j 0.00437197+0.0259097j -0.0325874+0.00341272j -0.0171034-0.0262966j 0.0320291-0.0266213j -0.0314568-0.0442599j 0.0206759+0.0219627j -0.00291026+0.0021799j 0.0429529-0.00423166j -0.0668735+0.0148833j -0.030791-0.0923054j 0.0201147-0.0628922j -0.025232+0.0744008j 0.0909842+0.0815941j 0.0633304-0.0855916j -0.0721579-0.181508j 0.0815833-0.108197j 0.110074+0.0552341j 0.0316679-0.151075j -0.0570119+0.103269j 0.0430678+0.0261849j 0.20927-0.0809637j -0.0906365-0.0276956j 0.0692279+0.0172433j -0.129756-0.0793983j -0.0029351+0.0118176j -0.0475823+0.158192j -0.0418947+0.0496821j -0.0914407+0.0640721j 0.109375-0.0286637j -0.079024-0.11909j -0.014287-0.0639391j 0.0347773-0.159932j -0.0842029-0.146366j -0.0347283-0.00928264j 0.16941+0.160986j 0.0651969-0.0771987j 0.0447031+0.05268j -0.0954644-0.00695527j -0.174248+0.149003j -0.018561-0.0657318j 0.0392693-0.0148462j -0.0357364+0.0708903j -0.0118057+0.0352252j 0.143704-0.0346408j -0.0597485-0.1319j 0.0305723-0.080775j 0.0367458-0.0814807j -0.0522431-0.0191821j -0.0682737+0.10886j -0.0449929-0.048492j 0.0959338-0.00426056j 0.0362203-0.030574j -0.0109128-0.0253867j 0.0468355+0.0141166j 0.0383783+0.0643782j -0.00390659-0.0136721j 0.0450654+0.0271571j -0.0487198+0.00742278j 0.0545298+0.0231211j 0.0310832-0.0502161j 0.0204207+0.037173j -0.0267108+0.0510569j 0.0529038+0.0259708j -0.0100225+0.0152807j 
0.0126251-0.0182858j 0.00575386-0.00199483j -0.0257561-0.0021181j 0.0526048-0.0293357j -0.00340777-0.0110769j -0.0388814-0.0296243j 0.0699966-0.0145513j 0.0380055+0.0219629j 0.0284654-5.21552e-06j 0.00811851+0.0204704j 0.0555576-0.0142832j -0.00840679-0.0246228j -0.0199758+0.0271292j 0.00925325-0.020579j -0.000379733-0.0156625j 0.0290719-0.0196287j 0.0218829+0.0127917j -0.0112185-0.0247848j 0.0086136+0.0152236j 0.00202338+0.0098139j 0.0286569+5.30902e-05j 0.0399672-0.0265281j 0.0282719-0.00315136j 0.0275164-0.0246606j 0.0301421-0.00065565j 0.014588-0.00546258j -0.0232817-0.0128076j 0.00110632+0.0137938j -0.0352292+0.000164984j -0.0204203-0.00113958j 0.0134178+0.00694582j 0.0227781-0.0351066j -0.00652719+0.00790126j 0.00985681-0.0337578j 0.00661053+0.00557214j 0.00204734-0.0183136j -0.0215813-0.00951759j 0.00299501+0.0339983j 0.0108762-0.0056223j 0.020844-0.0186753j 0.022704-0.0138085j 0.0314019-0.0169146j -0.0311347+0.0199829j -0.0192155-0.0295383j 0.0135826+0.0091924j -0.0245886+0.0217593j 0.040273+0.0504922j 0.121523-0.0136288j 0.00652213-0.118389j 0.0790383+0.0286852j 0.0505818+0.0518368j 0.0344055+0.0729005j -0.0910714-0.0229539j -0.157594+0.0224501j -0.0512267+0.116782j -0.0159504+0.0236574j 0.0804335-0.186582j 0.00184995-0.00444716j -0.0214736-0.057873j -0.00701871+0.0487497j 0.0134726-0.0109816j -0.00958764+0.157002j 0.127948+0.128354j -0.00750658+0.0729705j -0.0405997+0.0239334j 0.0485358-0.0729444j 0.137794-0.0240581j -0.191629-0.141007j -0.0366841+0.0716044j -0.0238362-0.00102058j -0.0479873-0.15188j 0.100932-0.0103866j 0.0408324+0.0118065j 0.0714697+0.102257j -0.0678041-0.116831j 0.110153+0.0223801j -0.00390565+0.0553047j 0.0228583-0.203881j 0.0151026+0.0904622j 0.0250716+0.112673j 0.0149366-0.0394223j -0.106186+0.0731148j 0.042442+0.139614j 0.0786858+0.0645179j 0.0664249+0.0455845j -0.0503755+0.0289297j 0.0187338+0.0147713j 0.0445713-0.0235176j -0.0127815+0.000462344j -0.0898701-0.0132707j 0.0598284+0.011941j -0.0739758+0.00505905j 0.0320983-0.0643719j -0.0378349+0.000352986j 0.0794948-0.000761235j 0.0408514+0.0260545j 0.0235847+0.0141349j -0.0384212-0.0158227j 
-0.0486543+0.01546j 0.0736363-0.0754092j 0.153566-0.0179285j 0.0524018-0.0535065j 0.031896-0.025273j -0.00421783+0.0222756j -0.0178204-0.027101j 0.0169093-0.055273j -0.0197248-0.0129862j 0.0384938-0.0245165j -0.0323978-0.0025881j -0.0109953+0.0520423j -0.000826646+0.00118747j -0.0253275+0.0440399j 0.0328308+0.0192863j -0.0262645-0.0221727j 0.0238978-0.00618102j 0.0391271+0.0264132j -0.0471298+0.0122889j 0.0260838+0.0132438j 0.0104079-0.0336357j -0.0185652+0.034753j -0.014696+0.0135567j 0.0114847+0.0139298j -0.0186254-0.00347341j 0.0151853-0.0279264j 0.00628721+0.0176049j -0.0339377+0.0113293j 0.0212579+0.0334824j -0.00580376+0.0196076j 0.00152132+0.0143316j -0.00368673-0.0378595j -0.0050212+0.00862326j -0.024677-0.0179116j -0.00145354-0.0397346j 0.00869761-0.0073567j -0.0102531+0.0242505j -0.0267616+0.0429655j 0.0686912+0.00910264j -0.00368433-0.0100486j 0.00347044-0.0228833j -0.0887617+0.0211144j 0.0421057+0.00281307j 0.0157572+0.00597826j 0.0634161+0.00248171j -0.0385509+0.010908j 0.0224802+0.000369889j -0.0574824-0.0397963j -0.10092+0.104899j -0.0473308-0.14726j 0.0796348-0.0369575j -0.119773-0.0213506j 0.0821957+0.00488188j 0.0704027+0.0152056j -0.042899-0.0305786j -0.150226+0.0217174j 0.127085+0.164408j -0.0335398-0.0388389j 0.0345626+0.251257j 0.0443208-0.00355886j -0.168152-0.022312j 0.0827243-0.12151j -0.0246389+0.111573j 0.0257538+0.0611987j -0.0558304+0.0191823j 0.121261-0.0324703j -0.0215835-0.0791489j -0.160897-0.0106296j -0.0760565-0.110755j -0.000148136+0.0957042j -0.0118174+0.0448071j 0.0319101+0.0104126j -0.174402-0.0168165j -0.06234-0.115011j 0.168365-0.111253j 0.0948953-0.15013j 0.0313481+0.0178082j 0.0668736-0.0434797j -0.0532681-0.0113837j -0.0191852+0.00722776j 0.067524+0.124844j -0.0715809+0.0464735j -0.0369112-0.0215644j -0.0150986+0.100223j 0.0922713+0.04855j 0.00828643-0.0665023j -0.0339899+0.0298171j 0.048895+0.0921564j 0.0462493+0.0327438j 0.02155+0.000495593j 0.0679015+0.0527667j -0.0302717-0.00538762j -0.0116674-0.0162015j -0.0142873+0.00100328j -0.0377985-0.0473701j 0.103771-0.00842058j -0.0593324-0.0393207j -0.0276117-0.0288551j 
