-0.0482602-0.0653324j -0.0100454-0.00756049j 0.093605+0.0729625j -0.0185757+0.171549j -0.0452659-0.0610594j 0.057338+0.0928895j 0.226654+0.00136905j -0.0994691+0.0148969j -0.0696996+0.043094j 0.0256032-0.0234674j -0.0356798+0.0735148j 0.0365374-0.0014487j 0.0713492+0.0522251j 0.152796+0.0239874j -0.179858+0.147998j 0.0109397-0.050375j -0.00236343-0.0176436j -0.0882625-0.00984879j 0.0868857-0.0385228j 0.0450609+0.0195536j -0.0384463+0.0493015j 0.00585369-0.121958j -0.0164239+0.0607622j -0.00473933-0.0444846j 0.0475047+0.0367387j 0.0401793+0.0777654j -0.0659186-0.00817425j -0.00518912-0.0203719j -0.0242408+0.071144j -0.12119-0.00929146j -0.0165226-0.00292213j 0.0529745-0.013043j -0.0477444+0.0103169j -0.00445144-0.035897j -0.00758037-0.00752506j -0.0369331+0.0433468j -0.00978989-0.0563296j 0.0134416-0.00805699j -0.0234557-0.118183j 0.010815+0.0061444j 0.00723241-0.00626047j -0.0250971-0.0260527j -0.0247781+0.0415505j -0.0155454-0.00961603j -0.0196698-0.0256165j 0.00880233+0.00681575j -0.00013802-0.013175j 0.0419098-0.0021543j 0.0267474+0.00831161j 0.0366372-0.0347594j -0.00188659+0.00302659j 0.010777+0.00914486j 0.0208782-0.00778888j 0.0262707-0.0124585j 0.0310827-0.0185668j 0.013631-0.0157836j -0.0155998-0.030379j 0.0326807+0.0298212j 0.0191629+0.0352133j 0.0229612-0.0542239j 0.0255564+0.0199544j 0.00684555-0.0250735j -0.0500547+0.0154133j -0.0195047-0.0244036j -0.0159995-0.0617879j -0.00278415+0.0417494j -0.0294694+0.0106055j 0.052376-0.0203815j -0.0209722+0.0552856j 0.0109805+0.018195j 0.00141893-0.0125006j 0.00928828+0.0162303j 0.0329835+0.0507635j 0.0127552+0.0808837j -0.00847369+0.0403145j 0.0226071-0.0264517j -0.027404-0.0502017j 0.0380848-0.00865354j -0.0131691-0.0147123j 0.00411796-0.0189998j 0.0672278+0.0174072j -0.0683051-0.00698336j 0.0136441-0.00438968j 0.0253515+0.00412994j -0.0308113-0.0205417j 0.0451126+0.0302706j 0.0132895+0.0225602j -0.010792-0.00571646j -0.0625978-0.0519441j 0.0406245+0.0437278j 0.084554-0.0564374j -0.00572732-0.0348701j -0.019424-0.00974692j -0.14184-0.119962j -0.0656469+0.0486452j 0.101665+0.180206j 0.0540438-0.0254744j 
-0.00138696+0.00498015j 0.00664186+0.00532057j -0.00602944+0.0129941j -0.0163577+0.0109736j 0.00502716-0.00176677j 0.0120687+0.00336626j -0.0025347-0.00080143j 0.0110691+0.00853664j 0.00220103-0.00203841j -0.00615524-0.00589029j -0.0233503-0.00724161j 0.00116021+0.0141356j 0.0229191-0.00339241j -0.0223146-0.0211133j -0.0140122-0.0113557j 0.00819321-0.00833886j 0.00760465-0.0141557j 0.00118703-0.00425832j -0.00901044-0.0107213j -0.00889769-0.0131468j -0.00219894-0.01176j -0.00910677-0.0111659j 0.00323137+0.00820392j -0.00100463-0.0134538j -0.009337+0.0218243j 0.00740583+0.0146816j -0.00967328+0.00994161j -0.00874586+0.010816j 0.00399794-0.00923169j 0.0103591-0.00834166j 0.0172537-0.00877787j -0.000384428-0.0130571j 0.0063143-0.00604155j 0.00317579+0.0173796j -0.00637888-0.0196234j -0.00790722-0.0238433j 0.0121216+0.00261748j -0.00833056+0.00417325j 0.0232654-0.0117811j 0.00111358+0.0172676j -0.000607614+0.0147036j -0.00343034-0.000196286j 0.0146186-0.00201125j 0.0217415+0.00493034j 0.0108274+0.00907467j -0.0102289+0.00978096j 0.0107858+0.00331843j 0.000568256+0.0070184j -0.0117665-0.0105169j -0.00106478+0.00744768j 0.014953+0.00587844j -0.0153702-0.0108869j -0.0088181+0.013383j 0.0230255-0.00239621j -0.0136748-0.0128009j -0.00675554+0.00584922j 0.000595295+0.00439263j -0.0184143+0.0256181j -0.00412014-0.00829532j 0.00568473+0.00542239j 0.00953232-0.01356j -0.00440065-0.0173417j -0.00986725-0.01395j 0.00409241+0.00636689j 0.00549878+0.00104846j -0.0152588-0.0109139j 0.0103591-0.00979038j 0.00151906+0.0173568j 0.0230457+0.00688645j 0.0215348+0.00557116j 0.0185645-0.00705484j -0.00505979+0.0131305j -0.0281623+0.0234868j 0.0178496+0.0128817j 0.0100585+0.0378508j -0.0135364-0.00564532j 0.00684327-0.0155326j -0.0136799+0.0125997j -0.0257905-0.00753508j -0.0127777+0.00313293j 0.018271+0.0329789j -0.0321307+0.0123148j -0.0178119-0.0068288j -0.007377-0.00770706j -0.0155436+0.0326583j 0.00928203-0.00756586j -0.000858021-0.0142267j 0.00295736-0.0302036j 0.00802804-0.00934302j -0.0151559-0.00139282j -0.00133124-0.00761847j -0.00224533-0.00644718j -0.0229722-0.00817804j 0.00198679-0.00884698j -0.0110663-0.0115947j -0.00834006+0.00222816j 0.0134808+0.0123243j 
-0.00131985-0.00214985j -0.0138764+0.0248901j -0.00217952-0.00526137j 0.00109929+0.00908838j 0.00706796+0.00256923j 0.0219288+0.00640753j 0.0097898+0.00296718j 0.0126971-0.00267982j 0.00389226+0.00795465j 0.0027419-0.0027171j 0.00113907+0.000408025j 0.00638858+0.00244585j -0.0107941-0.00892483j 0.00182401+1.1395e-05j 0.00195533+0.000771716j -2.0703e-05-0.0252249j 0.00407865+0.00347233j -0.0166901+0.0141807j -0.0369287+0.000928007j -0.00876141-0.00506468j -0.00588486+0.0114151j -0.012022-0.00499218j 0.0075637-0.0173445j -0.00153654+0.00121812j -0.0265109-0.0019315j 0.0124362+0.0134751j -0.016922+0.0157737j 0.00800268+0.0115708j 0.0106487-0.0264917j -0.000462384-0.0240456j -0.0126782-0.025887j 0.00714995+0.0254199j 0.00174775-0.00763345j 0.00270786+0.0015451j 0.00935055+0.00676589j 0.00301498+0.00757715j -0.00348621-0.0163611j -0.0261302+0.00414011j -0.00252276+0.0140428j 0.0105627+0.0366683j -0.0268231+0.0122223j -0.0112856+0.00423607j 0.0386057+0.00882354j 0.0162738-0.00037934j -0.00439917+0.0122474j -0.0217964+0.00621146j -0.0239479+0.0139777j -0.0351927-0.0377342j -0.0128151+0.0011284j -0.00410693+0.00112569j 0.0258624-0.0119372j -0.00919196+0.0111903j 0.00481525+0.0239021j -0.0027879-0.0242396j -0.0215848-0.00504936j -0.00132282-0.00632854j 0.0328035-0.0172609j -0.0405316+0.000446862j -0.0256898-0.00924598j 0.00442558+0.0450286j -0.0497594-0.0014123j -0.00311199-0.0298713j -0.0545267-0.0880229j 0.0259586+0.0244867j 0.00323113+0.00305623j 0.0219327+0.0160797j -0.0591299-0.0210727j 0.01351+0.0241954j -0.00683742-0.00203193j 0.0110246-0.0250221j -0.0497495+0.0258247j 0.000216977+0.0514517j -0.0187347+0.0337393j -0.0367266+0.00156845j -0.0272261+0.00313867j -0.0390636+0.000629085j 0.0283657+0.00705565j 0.0347214+0.023046j -0.0529039-0.0446386j -0.0044215+0.00306387j 0.0395266+0.0141494j 0.011445-0.00978726j 0.0295144+0.0128715j -0.00121435-0.024451j 0.00534344-0.027345j -0.00409828+0.0218099j 0.0197261+0.0164852j -0.00927544-0.00500327j 0.0234966+0.00781566j 0.0228988+0.0327513j -0.00897763-0.00204065j 0.0093482+0.00918983j -0.00077572-0.00927276j -0.0392867+0.0299483j 0.026887+0.0126252j 0.00217252+0.000270601j 0.00295525-0.0204423j 
0.0146547-0.0176157j 0.00851318-0.0110628j -0.0102966+0.0133402j -0.0193393+0.00960557j -0.00353587+0.00250319j 0.00341022+0.00769609j -0.000592388+0.0137449j 0.00216703-0.00690143j 0.00950468-0.00447796j 0.00641841-0.010048j 0.00128326-0.00112193j -0.00374493-0.000916353j 0.00301825+0.00672897j -0.00474299-0.0031594j -0.00147825+0.00473824j -0.00364123+0.00580295j -0.00542467+0.0204202j -0.0285464-0.010511j 0.0222603-0.0293743j 0.0149382-0.0117385j -0.0167956-0.00466402j 0.0113167-0.0357968j -0.0188702-0.00323881j 0.00247939-0.0103168j -0.00796989+0.0214355j 0.0150777-0.0288642j -0.00192433-0.014638j 0.0216112+0.0168376j -0.0117798+0.0129135j -0.0319937+0.0029809j 0.00199945-0.0160052j -0.0026925-0.0138359j -0.029657+0.0112126j -0.0249803+0.00410604j -0.0134667+0.00428926j -0.00183323-0.0257753j 0.0204741+0.0344658j 0.00192222-0.0029834j 0.00207829-0.0260145j -0.0295714+0.0151524j -0.00515387-0.0339973j -0.0293625-0.0347133j -0.0389323+0.0277237j 0.0287699+0.0149319j -0.0480832-0.0221916j -0.0270468-0.0274994j -0.0354795+0.0239928j 0.0178119-0.0961167j 0.0294251-0.0151539j 0.0557569-0.0189992j -0.0773922+0.028273j 0.0207667+0.010456j 0.0440541+0.019328j -0.0013444+0.0101828j -0.0399693+0.013452j -0.0324927+0.00074597j 0.0114561-0.00386527j 0.0222866-0.0282355j -0.00775645+0.00459936j 0.021805-0.0107368j 0.0233758+0.00397718j 0.0253515-0.024951j -0.0411585+0.048909j 0.0291997-0.00891013j 0.00525632+0.00271029j 0.0273788-0.0436095j 0.0366828+0.0436931j 0.04086-0.0155083j 0.0311788+0.0192661j 0.0339549+0.00500418j -0.0464225-0.0295791j 0.0106754-0.034981j 0.0596954+0.0147794j 0.00559029-0.0274471j -0.0238839+0.0215841j 0.0440119-0.00523564j -0.0104557-0.0156152j 0.0497489-0.0762453j 0.0419537+0.0863885j 0.0285458-0.00306988j -0.0377036-0.0200003j 0.0290689+0.00860692j -0.0297874-0.0203187j 0.0132265+0.00714563j 0.00231818-0.0489582j -0.0217803+0.024489j -0.0213445+0.042338j -0.0349718-0.0117164j -0.0911658+0.000821842j 0.0276726+0.0526733j 0.0321433+0.0557553j 0.0148499-0.00676808j -0.00556579-0.00500818j -0.0106318-0.0529404j -0.0539073+0.0253134j -0.0163652+0.00258211j -0.0051732+0.0153455j 
0.00441417+0.00119975j 0.0175932-0.0114867j -0.0135592+0.00561716j 0.00474403-0.000828642j -0.000297883+0.000347433j 0.0100164-0.000812634j 0.000916539-0.00349643j 0.00196078+0.00295291j -0.00510894-0.0198828j -0.00827294-0.00203562j -0.000328835-0.00373089j -0.00589728+0.0101777j -0.00918043-0.00879433j 0.00611086-0.00348313j -0.00502643+0.0187764j -0.0258723+0.00158221j 0.0056296-0.00109328j 0.025242-0.0114862j 0.0178683+0.00260002j 0.0093153+0.00181142j 0.00095971+0.00288934j -0.0136689-0.0139402j 0.00805694-0.0158301j 0.00103464-0.0205443j 0.0326448+0.0133099j -0.0413109+0.00314888j -0.00556118+0.0218469j -0.0191385-0.00170521j 0.00873512+0.0195775j 0.013224-0.0105332j 0.00941821-0.0123271j 0.000586443+0.002163j 0.00758792+0.0167127j 0.00106637-0.0183993j 0.00334326+0.0264491j -0.00454129+0.0143371j -0.0281839+0.00824749j -0.0166883+0.0330033j -0.0133419-0.0088628j 0.00155043-0.0260108j 0.0223922-0.00243795j -0.0320408-0.0318522j -0.0484894+0.0213087j -0.0115284+0.0107201j -0.00791625+0.0130121j -0.0114415-0.0130814j -0.0121846+0.0447927j -0.0155163-0.0152927j -0.00139399+0.00119671j -0.0173467-0.0269588j 0.0347782+0.00141664j 0.0245931-0.0249562j 0.002363-0.012068j -0.0402943-0.0529047j 0.010231+0.00240249j 0.0442386+0.0193866j -0.0220208-0.029415j -0.00394801-0.0112138j 0.0117947-0.0208548j -0.0100136-0.0333207j 0.0125471+0.021328j 0.00089631-0.0224286j 0.0230127-0.011202j 0.0164959+0.0197783j 0.00107522+0.0275048j -0.0393387+0.00455306j 0.0284947-0.00297368j -0.0470998-0.0225259j 0.0130163-0.0176587j -0.02014+0.00677383j -0.0395692+0.0149033j -0.0540377+0.0223448j 0.0151196-0.0146991j 0.0275815+0.00638136j 0.0071835-0.00107797j -0.0186259+0.00497264j -0.015482-0.0328244j -0.0629364+0.0180093j 0.065068-0.00140284j 0.035959+0.00538339j 0.00179589+0.00634385j -0.006157-0.000769184j -0.0140869+0.00783875j -0.00374993-0.06499j -0.0165942-0.00206662j -0.00852917-0.00568445j 0.00380787+0.0285852j -0.0240083+0.0101236j -0.0315257+0.0138064j -0.0241647+0.0139816j 0.00542885+0.0232235j 0.00304116+0.0191828j 0.0120188-0.0120356j 0.0102085-0.0173147j 0.000982909-0.0292299j 0.0101459+0.00336762j -0.000347095-0.0144578j 
-0.00933503+0.0127002j -0.00657658-0.00313962j -0.0226373-0.0190213j 0.0147275-0.00342618j 0.0139674-0.0170409j 0.0268191-0.00349595j 0.0193791-0.00438015j 0.0127521+0.00809619j -0.00147635+0.00618495j 0.00440246-0.00701507j -0.0283629-0.00443195j -0.00953265+0.0104214j 0.00231254+0.0119852j -0.0181688-0.0311395j -0.0200959-0.0131002j -0.0259277+0.00158369j -0.00333771-0.0166533j 0.00601675+0.00679242j -0.00386517+0.0237257j 0.00587234-0.00197639j -0.0234384+0.0180924j -0.0152367-0.00860577j 0.000319001+0.00835472j -0.00936439+0.00922601j 0.00402708-0.0157679j -0.0052641-0.00367813j -0.00345842-0.00900393j 0.00570802-0.0105504j 0.005645-0.014703j 0.00511505+0.0271081j -0.0169058+0.0135518j -0.00163312+0.00916572j -0.00560974-0.00533904j 0.00754162-0.00167543j -0.00952412-0.00546947j -0.000692887+0.0227563j -0.0156261-0.00427371j 0.0128621-0.0162949j -0.0145434+0.00130266j 0.0173045-0.0105561j -0.0062483+0.00986037j 0.00351381-0.00541395j 0.00117541+0.0022065j 0.0110526-0.0213947j -0.0106494-0.0148333j 0.0206792-0.00291963j -0.0223621-0.00672028j 0.00154548-0.0208191j -0.000148746+0.000137645j 0.0101476-0.0119115j -0.00240283-0.0128782j -0.0212148-0.0118202j -0.00512667-0.00855279j -0.0190285+0.0118252j 0.0106859-0.000323673j -0.00314963-0.00733191j -0.00595168-0.0176789j 0.012594-0.00893867j -0.00146147-0.0105802j 0.00434777+0.0142056j -0.0121143-0.0166945j -0.00636256+0.0231941j 0.018494-0.00288971j 0.0015915+0.0021774j 0.00246212-0.0210725j 0.0195573+0.00180231j -0.0015158-0.0100163j -0.0166692+0.0090774j -0.0275869+0.0126923j 0.00409094-0.0100336j 0.0216417+0.0115762j -0.0122102+0.00138329j -0.0171831-0.0101929j -0.00500662+0.0225803j -0.0116804-0.0197499j -0.0063346+0.00831524j -0.0139192+0.00262521j 0.002926+0.00471758j 0.0101181-0.0161767j 0.0188956-0.00580986j -0.010085-0.011684j -0.00502362-0.0149136j 0.0194758-0.0225101j -0.0011053-0.0186259j -0.0190064-0.021594j -0.00484505-0.0109341j -0.00980122-0.0135854j 3.37926e-05+0.0199686j -0.0264943+0.0154085j 0.0167817+0.0271526j 0.0123034+0.0120918j -0.00536001-0.0039777j 0.000675735+0.00158709j -0.00562818+0.00870396j 0.0123867+0.00696738j 0.00256426+0.0019469j 0.00173166-0.00552773j 
-0.0120697+0.00748384j 0.0112872-0.0071088j 0.0235916-0.0106042j 0.0230135-0.00838809j -0.00331447-0.00808057j -0.0083576-0.00309666j -0.00570738+0.00356974j -0.0112584+0.000948786j -0.00511861+0.003598j 0.0180139+0.00314964j 0.0128735+0.00396402j -0.00692369+0.0205688j 0.00449709-0.0102387j 0.0165417+0.00848124j 0.00268173+0.00889556j -0.0111117+0.00430689j -0.00244561-0.0216357j 0.0210954-0.00820891j 0.0112012+0.0300773j 0.00570396+0.00312429j -0.0206366+0.0217619j -0.029427-0.0327987j -0.00494224-0.00212426j 0.00834181+0.00145991j -0.0141012-0.0103087j -0.00335563-0.0215493j -0.00847287+0.00316461j 0.00711018-0.0119383j 0.00438236-0.0145323j 0.019095+0.0251863j -0.00156457+0.0130427j 0.00329886-0.00586253j -0.0255335+0.021221j 0.00506426+0.00745355j -0.00541344+0.0129962j 0.00613803+0.00711514j -0.0218967+0.00911521j 0.00283653-0.00897401j -0.00244088-0.00387342j 0.0111018-0.0160856j 0.0010279+0.0117119j -0.00375012-0.0154269j 0.00277686+0.00955816j 0.0120731-0.0170109j -0.0191879-0.0196393j 0.0163646-0.0217225j -0.0376448-0.00127006j -0.00141724-0.0549132j 0.010109+0.00344016j 0.0133454-0.0239081j -0.0038473-0.0258706j -0.0328915-0.0344433j -0.0119102-0.0302235j -0.0375696+0.000937976j -0.000750833-0.00490756j 0.0161271+0.00265372j 0.011349-0.0226242j 0.0071052-0.0129672j 0.00961562-0.0202748j 0.0113368+0.0252395j 0.00644047-0.0177767j 0.00458607+0.0101646j 0.00629012-0.0118487j 0.00458069+0.00774308j -0.0120013-0.00951501j 0.0162255-0.0146133j 0.0199681-0.0209238j -0.0436714+0.0154192j -0.0175951+0.00599901j 0.0106926-0.0156405j 0.0118166+0.00813266j -0.0263958+0.0196553j -0.00106537-0.00148516j -0.0133541+0.0352338j -0.0219286-0.0058553j -0.012404+0.016626j -0.00887756+0.0112682j 0.00314905+0.0111929j 0.0125951-0.0118342j 0.0324652-0.0140742j 0.0133717-0.00122036j -0.0170792+0.00528186j 0.0215451-0.0111424j -0.00354148-0.0617067j -0.0216986-0.0101834j -0.00922306-0.0218307j -0.0203926-0.0122337j -0.0187991-0.00231053j -0.0247253+0.0226941j 0.0148541+0.0169675j 0.0191227+0.0207179j 0.00582142+0.00106918j 0.00601424-0.00484111j -0.00586633+0.0122991j 0.00366637+0.00455072j -0.00786397-0.00770226j -0.00130787-0.00118643j 
-0.00175305+0.0064274j 0.0101174+0.0010853j -0.00575579-0.00127236j -2.55764e-05-0.00132672j -0.00513946+0.00250972j 0.00367559-0.00346311j 0.00583912-2.23553e-05j -0.00168062-0.00183041j 0.00552024+0.0130096j 0.00526152-0.00155478j 0.0101837-0.000372804j 0.0114683+0.00447283j 0.00402598+0.00583935j -0.0147277+0.0045154j -0.00631764-0.00897739j -0.0121421+0.0102729j 0.00188909-0.00369376j 0.00967486-0.00309113j 0.00813027-0.00226112j -0.000701332-0.00689644j 0.00127431+0.000123096j -0.0254082+0.0180617j -0.0108691-0.0064631j -0.000136789-0.00672163j -0.00540363-0.00377719j -0.00110054-0.00891211j 0.0216481+0.00862297j 0.0070265+0.0141133j -0.00684875+0.00823115j -0.00849499-0.0122015j 0.0232802-0.010183j 0.00411433-0.0106714j -0.00659204-0.0130073j 0.00318105+0.0136549j -0.00969007+0.00687749j 0.00449985+0.0104313j -0.00771528-0.00100313j -0.0155868+0.0245224j 0.0191923+0.0129594j 0.00945703-0.0077978j 0.00787452+0.00379693j -0.00685796-0.00373709j -0.0237323+0.00287447j -0.0166104-0.000368886j 0.00490735+0.0231122j -0.0156587+0.00177178j -0.00434828+0.0163432j -0.0122022+0.0202136j -0.00875971-0.00471812j -0.0396378-0.00391613j 0.0185385+0.0084883j -0.0134213-0.0109824j -0.0304942-0.0215534j 0.00570603-0.0167041j 0.0243301-0.0138558j -0.019545-0.000433053j -0.0134662+0.000767924j -0.0169753+0.0206437j 0.00211555+0.0043116j -0.00795522+0.0437593j 0.020327+0.000503914j -0.00731963-0.00631863j 0.026763-0.0355636j 0.0293428-0.00417123j 0.0115197-0.0190427j -0.0466129+0.00941057j -0.00244484+0.00404927j -0.0332489+0.00858612j 0.000961643+0.0323658j -0.0173175-0.018808j 0.00198043-0.00116751j 0.0401419-0.00760017j 0.013172+0.0329438j -0.0121975-0.034551j 0.010112-0.00234675j 0.0149181+0.00643803j -0.0254988+0.0158564j -0.0246243-0.0108314j 0.0474423-0.00468186j -0.012263+0.0198922j -0.00661888+0.0213838j -0.00581957-0.0135564j -0.0385968-0.00388829j 0.00325107-0.00669012j -0.00250342+0.00585857j -0.00962324+0.0150948j -0.0183701+0.00503883j 0.00998703-0.00612084j 0.00580642+0.0176991j -0.011235-0.00710036j -0.0129311-0.00317281j 0.00991983+0.00377996j 0.00478797-0.00763045j 0.000542633+0.00496439j 0.00537223-0.0246128j 0.000432271+0.00246478j 0.00117021-0.000684595j 
-0.0165866+0.0238971j 0.0178286-0.00485351j 0.000559169-0.00781134j 0.0227256-0.012752j 0.00275686+5.02469e-05j -0.00957137-0.00414619j 0.00510021-0.00604637j 0.00135113-0.00047042j 0.00966691+0.00900981j 0.00911396-0.0104116j -0.00190469-0.00660684j 0.0119341-0.00383088j -0.0148583-0.0124534j 0.017124+0.00940573j -0.00394354+0.0154678j -0.0107859-3.59656e-05j 0.00335403-0.0115971j 0.0339884+0.00275892j -0.00196427+0.0204472j 0.00272677-0.00402207j 0.000172802+0.0117539j -0.000426827+0.0071999j 0.0115498+0.00966271j -0.0244778+0.00299721j 0.0173273-0.00963023j -0.0124008+0.0251048j -0.015133-0.00941431j -0.00450738+0.00658971j 0.0261479-0.0183063j 0.00135545+0.00779731j 0.00695902+0.000757799j 0.0113314+0.016813j 0.0183748-0.00258565j -0.0162694-0.0157431j -0.00185253-0.00595037j -0.0236435+0.00387498j -0.0196749+0.00882303j 0.0107063+0.00352889j 0.0191479-0.0207727j 0.0156705-0.00671296j -0.00110265+0.0158101j -0.00388804-0.0107821j -0.0209032-0.014223j 0.0276457-0.0121832j -0.000712767+0.00383742j 0.0098593+0.0165743j -0.0110041+0.0134539j -0.00345334-0.0020091j -0.0121441-0.00870976j -5.25801e-06-0.00742529j 0.0130294+0.00241888j -0.0163425+0.00214501j 0.00147176-0.0108467j 0.0119003-0.0058139j 0.0203126+0.00218852j -0.0019203-0.0288111j -0.0481294-0.0416012j -0.020693-0.0122185j -0.0181073+0.00205101j -0.00386248+0.00596324j -0.0141106-0.0084026j 0.000757413-0.0103008j 0.0428511-0.00221809j 0.0417466+0.0231042j 0.0216907-0.00631296j 0.0185624+0.00324527j -0.0125265-0.00572064j 0.00803024-0.0124594j 0.0189934+0.0129854j -0.00270298+0.00484917j -0.00981004+0.00347436j -0.0121319-0.00215501j -0.0586858+0.0104906j 0.0403014-0.00502465j -0.0215544-0.02236j 0.0178215+0.00883376j -0.0262517-0.0164262j -0.0262299+0.00428651j 0.0544649+0.00937287j 0.0100933+0.016412j -0.0210018+0.00955038j 0.0162379-0.0102687j -0.0123086-0.0142657j 0.0168599-0.000750617j 0.00326163-0.0286964j -0.00239897-0.00100726j 0.0054164-0.00700742j -0.00399143-0.00739386j -0.0213458+0.0300752j -0.00496593+0.0224167j -0.013536+0.0084221j 0.000312075-7.28462e-06j -0.000293331-0.00568573j 0.00531136-0.00159881j 0.00300778-0.00481827j -0.00413044-7.02702e-05j -0.00587419+0.00303454j 
0.00983142+0.00481852j -0.00184046+0.00188764j -0.0154504+0.00344675j -0.0163842+0.00961987j 0.0084437+0.00508565j 0.00125963+0.00312494j 0.00290618-0.000683605j 0.000715663-0.0098374j -0.000649116-0.028259j -0.0141663-0.0167063j 0.00642877+0.0017807j -0.0116005+0.018916j 0.00601328-0.0185607j 0.0073217+0.00123608j 0.0166295+0.0332825j -0.00396314-0.00993192j 0.0223011+0.0138908j -0.00895522+0.00148939j -0.00351837-0.00434046j 0.00323071-0.00699713j 0.000128348+0.00113148j 0.00446046+0.00147417j -0.0158655+0.00450758j -0.00602695+0.00505764j -0.0126088-0.0114927j 0.0133157+0.00586633j 0.00310789-0.00992727j 0.0100159+0.0064513j -0.00240951+0.0030175j 0.00804041-0.00354401j 0.0059444+0.0153004j 0.00536865+0.00352913j -0.00405924+0.00972997j -0.00606151+0.00134268j 0.000775068-0.0127j -0.00423339-0.00522043j 0.00829078-0.0085994j 0.0112698-0.014756j 0.00894389-0.00421974j -0.00110642+0.000224489j -0.00599638-0.000426969j 0.005271+0.00289412j 0.0102697+0.000507067j 0.0069298-0.00464976j 0.00754327-0.010929j 0.0126832+0.000554552j 0.00716753-0.00902547j 0.00726571+0.00420546j 0.00659794+0.00099995j 0.00908513+0.00182586j -0.00247354-0.00233571j -0.00405703-0.0140612j -0.00131525-0.0026932j 0.0100776+0.0191274j 0.00946852+0.00130605j -0.0079893+0.000559542j 0.0101381+0.0109761j 0.00367792+0.00971859j 0.00954676-0.00705039j 0.00548219+0.00350423j 0.00549224-0.000293321j 0.00073376+0.00710506j -0.00179906+0.00888036j -0.0118164-0.0055746j -0.0106711-0.0166985j 0.0238246+0.00355992j 0.00926944-0.00678824j 0.00173845+0.0160913j 0.0074398+0.0079338j 0.0179368-0.00692813j 0.0323854-0.00954357j 0.00624617-0.00832252j -0.00741349-9.16849e-05j -0.00957826+0.020936j 0.000966564+0.00311101j -0.0192197+0.00963201j 0.00654785+0.0043119j 0.0157561+0.00341042j -0.0214593+0.00391419j -0.00418391+0.00764305j 0.00296906+0.00644584j -0.0140943+0.0060093j 0.00289657+0.0041827j 0.00802024+0.0113807j -0.011241+0.0109437j 0.0160304+0.00118062j -0.00737757-0.0220588j 0.00796892-0.00775516j 0.00737311-0.00294936j 0.00517141-0.00833428j 0.00409859-0.0102986j -0.00194633-0.0112562j -0.00729697+0.00592971j -0.00828525-0.00176489j -0.0103514+0.00595638j -0.00691126+0.00736826j 0.0067824+0.0073837j 
0.00720398-0.00601006j -0.00113047+0.00423615j -0.00556264+0.00808531j -0.00427753+0.00359171j 0.00949041+0.00930403j 0.00931323+0.00707143j 0.00406914-0.00340255j 0.00949714-0.00416291j 0.00493579+0.0123634j 0.00307706-0.00594113j 0.0152065+0.0039341j 0.00528485-0.000133046j -0.0037968-0.00223757j 0.00249734+0.00136543j 0.0105756+0.00834946j -0.000106637+0.0039915j -0.00333227+0.0134009j -0.013742+0.000901394j -0.0180975-0.00591787j -0.0147762-0.00340684j -0.00751803+0.0185673j -0.0112998-0.0205463j -0.00723579-0.0119632j 0.0138634-0.00692792j -0.00264641+0.0140448j -0.0153322-0.00187355j -0.00339921+0.0213636j 0.0174352+0.0106216j 0.00522093-0.0138664j 0.0168591+0.0153542j -0.0187567+0.00715691j 0.0229982-0.00240525j -0.0304089+0.000193714j 0.00963015-0.00246145j 0.0103349+0.00555693j 0.0085399-0.00845037j -0.0055864+0.00915294j -0.00729291+0.00251453j -0.0126189+0.00939543j -0.00720147+0.00385875j -0.00843663-0.00345885j -0.0189094-0.00966381j 0.0116352+0.0132356j 0.0139605+0.00720275j -0.0265465+0.00323196j -0.0154257-0.00826607j -0.0175145+0.00568223j -0.020552-0.0288944j -0.0166282-0.0164547j 0.00707736-0.0136629j 0.011103+0.0237292j 0.000131176+0.019037j -0.0200793+0.00756189j -0.0506071-0.0206017j -0.0527343+0.000487346j 0.00391745+0.0218094j 0.0138426+0.0244456j 0.066876+0.0320334j -0.0552803-0.00356947j -0.0196374+0.0179543j -0.00426894+0.00326075j 0.0339218+0.0256623j 0.0167747-0.0174705j 0.0146883+0.0135557j 0.00885863+0.0145545j -0.0622659-0.0223362j 0.0201801+0.0269207j -0.0216923+0.0125882j -0.0171646-0.0250576j -0.0275322-0.0251109j 0.0237443+0.0174513j 0.0249045+0.0330922j -0.00594389-0.015943j -0.0081592+0.0335746j -0.00314284-0.0041429j 0.0367343-0.0147764j -0.0269293+0.00329227j 0.0185931+0.00102455j -0.000266313-0.0165025j 0.0165411-0.00709013j 0.0332349+0.0214606j -0.0111434-0.00533907j 0.00186072-0.0136597j -0.00259154-0.0255975j 0.011072+0.0311973j -0.0108158-0.00221913j 0.00402873-0.00230505j -0.00444721-0.00771506j -0.00355492-0.00964713j 0.00722046-0.0144595j 0.0190212+0.00666535j -0.000424901+0.00562742j -0.00314924-0.00446977j -0.00891224+0.00732412j -0.00126616-0.0101351j -0.00918217+0.00415862j 0.0140827-0.00751159j 
