-0.410258-0j 0.499525-0j -0.29614-0j -0.0509611-0j -0.0594546-0j 0.108057-0j 0.0511883-0j -0.0214583-0j -0.0320287-0j -0.00462295-0j -0.0361803-0j -0.00522218-0j 0.0290672-0j -0.0298472-0j 0.00419549-0j 0.0767161-0j -0.00430808-0j 0.0209818-0j 0.011073-0j -0.00681309-0j 0.00302847-0j -0.000983384-0j -0.0237233-0j -0.00419372-0j -0.000349477-0j -0.0262569-0j -0.0046416-0j 0.0204249-0j -0.0003868-0j -0.0138386-0j -0.020973-0j 0.00361065-0j 0.023829-0j -0.00244634-0j -0.00370754-0j 0.000300887-0j 0.0423989-0j -0.000203862-0j -0.0141269-0j -0.000308961-0j 0.0444708-0j 0.00421242-0j 0.00749514-0j 0.00860036-0j 0.000351035-0j -0.0024973-0j 0.00786139-0j 0.000624595-0j -0.00228019-0j -0.000208109-0j 0.000655116-0j 0.00152034-0j 0.000126695-0j -0.000403085-0j -3.35904e-05-0j 
0.00301503-0j -0.011073-0j 0.00217636-0j -0.0358058-0j -0.0417734-0j -0.0239527-0j 0.108483-0j -0.0150768-0j 0.000235382-0j 0.152004-0j 0.000265892-0j 0.171707-0j -0.000644336-0j 0.00021935-0j -0.416096-0j 0.000177872-0j 0.141651-0j -0.000465106-0j 0.114865-0j 5.007e-05-0j -0.300354-0j 0.032334-0j 0.000174345-0j -0.00294655-0j 0.0352119-0j 0.000192964-0j -0.00326124-0j -0.00045276-0j 0.0389725-0j 0.000101701-0j 0.000154132-0j 0.00765199-0j -0.00052822-0j -0.00171882-0j -0.00260495-0j -0.0914428-0j 0.000799944-0j 0.0205403-0j 0.00010382-0j 0.0311297-0j 0.000103109-0j 0.00892732-0j -0.0135197-0j -0.000190645-0j -0.106683-0j -0.00175463-0j -0.00174261-0j 0.161563-0j 1.67573e-05-0j 0.0209682-0j 0.0208246-0j 0.00322204-0j -0.038504-0j -0.000283212-0j 0.00338443-0j 
-0.00430808-0j -0.00509613-0j -0.00284793-0j 0.0511618-0j -0.0579896-0j -0.108483-0j 0.051369-0j 0.10286-0j -0.00033633-0j -0.217194-0j 0.00036911-0j 0.238362-0j 0.000305232-0j 0.000313295-0j 0.197111-0j -0.000782654-0j 0.202318-0j 0.000201779-0j -0.505419-0j -0.000756718-0j 0.130304-0j -0.48867-0j -0.000249116-0j 0.00421024-0j -0.0503132-0j 0.000267871-0j -0.00452723-0j 0.00021448-0j 0.0541013-0j -0.000145317-0j 0.000220146-0j -0.00362487-0j -0.000243103-0j 0.00245597-0j -0.00372063-0j 0.0433179-0j 0.000445226-0j -0.0293494-0j -0.000135856-0j 0.0444623-0j -0.000466793-0j 0.00410862-0j -0.00752466-0j 0.000431209-0j -0.0490988-0j 0.00229607-0j 0.00788916-0j 0.0899211-0j -0.000438723-0j -0.0274385-0j -0.094277-0j -0.00728775-0j 0.0870901-0j 0.00741475-0j -0.0886078-0j 
-0.0123114-0j 0.0448362-0j -0.0103405-0j -0.00152928-0j 0.0052509-0j -0.00109257-0j -0.00745396-0j 0.00908185-0j 0.0924755-0j -0.000138729-0j -0.307439-0j 0.000461211-0j 0.085293-0j 0.411468-0j -0.000127954-0j -0.219645-0j -0.000617273-0j 0.0716391-0j 0.000329505-0j -0.367688-0j -0.000107471-0j 0.000551595-0j -0.000711907-0j 0.0121084-0j -1.04874e-05-0j 0.00231895-0j -0.0394416-0j -0.000622919-0j 3.41613e-05-0j -0.000415279-0j -0.00300507-0j 0.0105948-0j 0.00213884-0j 0.00706323-0j 0.0511113-0j -9.17646e-06-0j -0.000256941-0j -6.11764e-06-0j -0.000493278-0j -4.42688e-05-0j -0.00214692-0j -0.0363782-0j 0.00437015-0j 0.00369929-0j 3.15081e-05-0j 0.00838987-0j 0.0365157-0j -3.7851e-06-0j -0.00221679-0j -7.26667e-06-0j -3.16272e-05-0j -0.062919-0j 5.44957e-05-0j 0.0377041-0j -3.26564e-05-0j 
0.00177699-0j -0.00647155-0j 0.00149253-0j -0.0211032-0j 0.0724593-0j -0.0150768-0j -0.10286-0j 0.125324-0j 0.000138729-0j 0.0895878-0j -0.000461211-0j -0.297839-0j 0.000127954-0j 0.000617273-0j 0.0826296-0j -0.000329505-0j 0.398619-0j 0.000107471-0j -0.212786-0j -0.000551595-0j 0.0694021-0j -0.356207-0j 0.000102755-0j -0.00173664-0j 0.0207531-0j -0.000334711-0j 0.00565688-0j 8.99106e-05-0j -0.0676008-0j 5.99404e-05-0j 0.000433744-0j -0.00151956-0j -0.000308715-0j -0.00101304-0j -0.0073306-0j 0.018159-0j 3.70862e-05-0j 0.012106-0j 7.11986e-05-0j 0.0876021-0j 0.000309882-0j 0.00521751-0j -0.000626785-0j -0.000533947-0j -0.0623503-0j -0.00120331-0j -0.00523723-0j 0.00749021-0j 0.000319966-0j 0.0143798-0j 0.062586-0j 0.0090241-0j -0.10784-0j -0.00540767-0j 0.0646228-0j 
0.0212188-0j 0.0262569-0j 0.0153165-0j 0.00263573-0j 0.00307502-0j 0.00188306-0j 0.00269064-0j 0.00110983-0j -0.00671608-0j -0.000969382-0j 0.00187126-0j 0.000270094-0j 0.00152788-0j 0.00154371-0j 0.00022053-0j 0.00133689-0j 0.000222816-0j 0.00110288-0j 0.000192964-0j 0.000352376-0j 0.000159187-0j 5.08611e-05-0j -0.17882-0j 0.000216901-0j 1.80751e-05-0j 0.802412-0j -0.000973293-0j -0.156468-0j -8.11078e-05-0j -0.104312-0j -0.158089-0j 0.000189789-0j -0.182546-0j 0.000126526-0j 0.000191755-0j 1.58157e-05-0j -0.0645396-0j 1.05438e-05-0j -0.106485-0j 1.59796e-05-0j -0.112944-0j 0.00022142-0j 7.82839e-05-0j -0.0658842-0j 1.84517e-05-0j 0.000129162-0j 0.000136997-0j 6.52365e-06-0j -0.0171875-0j 1.07635e-05-0j 1.14164e-05-0j 7.99148e-05-0j 6.65956e-06-0j 2.08477e-05-0j 1.73731e-06-0j 
-0.00375098-0j -0.0046416-0j -0.0027076-0j 0.0220399-0j 0.0257133-0j 0.0157461-0j 0.0224991-0j 0.00928041-0j -0.11423-0j -0.0163833-0j 0.0318272-0j 0.00456478-0j 0.0259868-0j 0.0262561-0j 0.00372713-0j 0.0227384-0j 0.00376575-0j 0.0187582-0j 0.00326124-0j 0.00599335-0j 0.00269038-0j 0.000859591-0j -0.000216901-0j -0.174506-0j 0.000459822-0j 0.000973293-0j 0.783053-0j -0.000189789-0j -0.00206334-0j -0.000126526-0j -0.000191755-0j -0.152693-0j -0.00022142-0j -0.101795-0j -0.154275-0j 0.000402344-0j -7.82839e-05-0j 0.00026823-0j -0.000129162-0j 0.000406514-0j -0.000136997-0j -0.178141-0j -0.0629825-0j -7.99148e-05-0j 0.000469402-0j -0.103916-0j -0.110219-0j 0.000165959-0j -2.08477e-05-0j 0.000273818-0j 0.000290428-0j -0.0642946-0j 0.000169416-0j -0.0167728-0j 4.41963e-05-0j 
0.000312582-0j 0.0003868-0j 0.000225633-0j -0.00558764-0j -0.00651892-0j -0.00399201-0j -0.00570405-0j -0.0023528-0j -9.89371e-05-0j -0.195784-0j 2.75663e-05-0j 0.0545501-0j 2.25078e-05-0j 2.2741e-05-0j 0.0445399-0j 1.96943e-05-0j 0.0450015-0j 1.6247e-05-0j 0.0389725-0j 5.19099e-06-0j 0.0321506-0j 0.0102723-0j 1.80751e-05-0j -0.000459822-0j -0.16898-0j -8.11078e-05-0j 0.00206334-0j 1.58157e-05-0j 0.758258-0j 1.05438e-05-0j 1.59796e-05-0j -0.000402344-0j 1.84517e-05-0j -0.00026823-0j -0.000406514-0j -0.147858-0j 6.52365e-06-0j -0.0985717-0j 1.07635e-05-0j -0.14939-0j 1.14164e-05-0j -0.000469402-0j -0.000165959-0j 6.65956e-06-0j -0.172501-0j -0.000273818-0j -0.000290428-0j -0.0609881-0j 1.73731e-06-0j -0.100625-0j -0.106729-0j -0.000169416-0j -0.0622587-0j -4.41963e-05-0j -0.0162417-0j 
-0.0239691-0j -0.000422179-0j 0.0338649-0j 0.008986-0j -4.94427e-05-0j -0.00212714-0j 0.00295288-0j 0.00368969-0j -0.00187126-0j -0.000270094-0j 9.08075e-05-0j 1.31069e-05-0j -0.00172592-0j 0.00169417-0j -0.000249116-0j -2.14957e-05-0j 0.000244532-0j 0.00243848-0j -3.10264e-06-0j 0.00156388-0j 0.000351964-0j 0.000225726-0j 0.201999-0j -0.000245016-0j -2.0418e-05-0j 0.00318228-0j -3.85998e-06-0j -0.533445-0j -3.21665e-07-0j 0.117833-0j 0.52363-0j 0.000647047-0j 0.00293512-0j -0.000142926-0j -0.000635141-0j 5.39206e-05-0j 0.0729052-0j -1.19105e-05-0j -0.235438-0j -5.29284e-05-0j -0.123952-0j -3.56018e-06-0j -8.8431e-05-0j -0.219035-0j -2.96681e-07-0j 0.000285577-0j 0.000150349-0j -7.36925e-06-0j -0.0954186-0j 2.37981e-05-0j 1.25291e-05-0j 0.00026568-0j 2.214e-05-0j 0.000115739-0j 9.6449e-06-0j 
0.0390376-0j 0.023829-0j -0.0141269-0j -0.00243102-0j 0.00565733-0j 0.00515469-0j 0.00244185-0j -0.00102363-0j -0.00152788-0j -0.00022053-0j -0.00172592-0j -0.000249116-0j -0.00276586-0j 0.00284008-0j -0.000399217-0j 0.00365962-0j 0.00040993-0j 0.0010009-0j 0.00052822-0j -0.000325007-0j 0.000144468-0j -4.69108e-05-0j 0.164931-0j -0.000200055-0j -1.66712e-05-0j 0.182546-0j -0.00022142-0j -0.142-0j -1.84517e-05-0j -0.480029-0j 0.14581-0j 0.00017224-0j 0.330454-0j 0.000582255-0j -0.000176862-0j 1.43533e-05-0j -0.29477-0j 4.85213e-05-0j -0.195908-0j -1.47385e-05-0j -0.309174-0j -0.000400828-0j 0.000357543-0j -0.0597922-0j -3.34023e-05-0j 0.000237628-0j 0.000375015-0j 2.97953e-05-0j 0.0158526-0j 1.98023e-05-0j 3.12513e-05-0j 7.25255e-05-0j 6.04379e-06-0j -1.92285e-05-0j -1.60238e-06-0j 
0.00423718-0j 7.46315e-05-0j -0.00598652-0j 0.0751408-0j -0.000413439-0j -0.0177871-0j 0.0246919-0j 0.0308531-0j -0.0318272-0j -0.00456478-0j 0.00154449-0j 0.000221517-0j -0.0293552-0j 0.0288151-0j -0.00421024-0j -0.000365607-0j 0.00413277-0j 0.0414745-0j -5.24369e-05-0j 0.026599-0j 0.00594845-0j 0.00381494-0j 0.000245016-0j 0.197125-0j -0.000519424-0j 3.85998e-06-0j 0.00310551-0j -0.000647047-0j -8.18299e-06-0j 0.000142926-0j 0.000635141-0j -0.520575-0j 3.56018e-06-0j 0.11499-0j 0.510997-0j 0.00137171-0j 8.8431e-05-0j -0.000302998-0j -0.000285577-0j -0.00134647-0j -0.000150349-0j 0.0028643-0j 0.0711463-0j -0.00026568-0j -7.54743e-06-0j -0.229758-0j -0.120962-0j -0.00018747-0j -0.000115739-0j 0.000605412-0j 0.000318733-0j -0.21375-0j 0.000563231-0j -0.0931165-0j 0.000245362-0j 
-0.0394422-0j -0.0237719-0j 0.0130717-0j 0.00245621-0j 0.00555323-0j 0.0017548-0j -0.00250636-0j 0.00493818-0j 0.00154371-0j 0.000222816-0j -0.00169417-0j -0.000244532-0j -0.00284008-0j 0.00286834-0j -0.00040993-0j -0.00121037-0j 0.00041401-0j 0.000941239-0j -0.000174702-0j 0.00347324-0j 0.000135856-0j 0.000501319-0j -0.16664-0j 0.000202128-0j 1.6844e-05-0j 0.179187-0j -0.000217346-0j -0.14581-0j -1.81122e-05-0j 0.485004-0j 0.147262-0j 0.000176862-0j -0.329662-0j -0.000588289-0j -0.000178622-0j 1.47385e-05-0j -0.0601437-0j -4.90241e-05-0j 0.181274-0j -1.48852e-05-0j 0.105209-0j 0.000399867-0j 7.29519e-05-0j -0.29315-0j 3.33222e-05-0j -0.000219878-0j -0.000127614-0j 6.07932e-06-0j -0.293474-0j -1.83232e-05-0j -1.06345e-05-0j 0.000355579-0j 2.96316e-05-0j 0.000355972-0j 2.96644e-05-0j 
-0.000353099-0j -6.21929e-06-0j 0.000498876-0j -0.01905-0j 0.000104816-0j 0.00450945-0j -0.00625998-0j -0.007822-0j -2.75663e-05-0j -0.0545501-0j 1.33772e-06-0j 0.00264717-0j -2.54253e-05-0j 2.49574e-05-0j -0.0503132-0j -3.16661e-07-0j 0.0493875-0j 3.59221e-05-0j -0.000626631-0j 2.30381e-05-0j 0.0710852-0j 0.0455893-0j -2.0418e-05-0j 0.000519424-0j 0.190883-0j -3.21665e-07-0j 8.18299e-06-0j 5.39206e-05-0j 0.00300717-0j -1.19105e-05-0j -5.29284e-05-0j -0.00137171-0j -2.96681e-07-0j 0.000302998-0j 0.00134647-0j -0.504091-0j -7.36925e-06-0j 0.111349-0j 2.37981e-05-0j 0.494816-0j 1.25291e-05-0j 7.54743e-06-0j 0.00018747-0j 2.214e-05-0j 0.0027736-0j -0.000605412-0j -0.000318733-0j 0.0688934-0j 9.6449e-06-0j -0.222483-0j -0.117131-0j -0.000563231-0j -0.206982-0j -0.000245362-0j -0.090168-0j 
0.0171244-0j -0.000895182-0j -0.0241942-0j 0.00212714-0j 3.53236e-05-0j 0.00142297-0j 0.00626123-0j -0.00263604-0j 0.00133689-0j 0.000192964-0j 2.14957e-05-0j 3.10264e-06-0j -0.00365962-0j -0.00121037-0j -0.00052822-0j 1.43798e-05-0j -0.000174702-0j 0.0051705-0j 2.07554e-06-0j -0.00111729-0j 0.000746298-0j -0.000161266-0j -0.144315-0j 0.000175048-0j 1.45873e-05-0j -0.00227353-0j 2.7577e-06-0j 0.374775-0j 2.29808e-07-0j -0.0841837-0j 0.123952-0j -0.000454587-0j 0.00622357-0j 0.000102111-0j -0.000150349-0j -3.78823e-05-0j -0.662159-0j 8.50928e-06-0j 0.168205-0j -1.25291e-05-0j 0.0829191-0j -7.54893e-06-0j 0.000803172-0j -0.464438-0j -6.29078e-07-0j -0.000204026-0j -0.000100577-0j 6.6931e-05-0j 0.0681704-0j -1.70022e-05-0j -8.38145e-06-0j 0.000563344-0j 4.69453e-05-0j -8.26878e-05-0j -6.89065e-06-0j 
-0.00690094-0j -0.00421242-0j 0.0024973-0j -0.0203281-0j 0.0473065-0j 0.0431034-0j 0.0204188-0j -0.00855961-0j -0.0259868-0j -0.00372713-0j -0.0293552-0j -0.00421024-0j -0.0470427-0j 0.0483051-0j -0.00674706-0j 0.0622442-0j 0.00692812-0j 0.0170238-0j 0.00892732-0j -0.00552785-0j 0.00244162-0j -0.000792827-0j 0.000200055-0j 0.160952-0j -0.000424108-0j 0.00022142-0j 0.178141-0j -0.00017224-0j -0.000469402-0j -0.000582255-0j 0.000176862-0j -0.138574-0j 0.000400828-0j -0.468448-0j 0.142293-0j 0.000365142-0j -0.000357543-0j 0.00123436-0j -0.000237628-0j -0.00037494-0j -0.000375015-0j 0.322482-0j -0.287658-0j -7.25255e-05-0j -0.000849738-0j -0.191181-0j -0.301715-0j 0.000757978-0j 1.92285e-05-0j 0.000503761-0j 0.000795017-0j -0.0583497-0j 0.000153751-0j 0.0154701-0j -4.07637e-05-0j 
-0.0141269-0j -0.0336669-0j -0.0394832-0j -0.0017548-0j 0.00400711-0j 0.00372085-0j 0.00161423-0j -0.000859768-0j -0.00110288-0j -0.000159187-0j 0.00243848-0j 0.000351964-0j 0.0010009-0j -0.000941239-0j 0.000144468-0j -0.0051705-0j -0.000135856-0j 0.00279742-0j -0.000746298-0j 0.00303965-0j 0.000403773-0j 0.000438736-0j 0.119054-0j -0.000144407-0j -1.20339e-05-0j -0.25791-0j 0.000312834-0j -0.102501-0j 2.60695e-05-0j 0.069448-0j 0.0963907-0j 0.000124329-0j 0.234062-0j -8.42376e-05-0j -0.000116918-0j 1.03608e-05-0j -0.212776-0j -7.0198e-06-0j 0.274499-0j -9.74316e-06-0j -0.204385-0j -0.000283908-0j 0.000258088-0j -0.0502205-0j -2.3659e-05-0j -0.000332955-0j 0.000247911-0j 2.15074e-05-0j -0.506193-0j -2.77463e-05-0j 2.06592e-05-0j 6.09154e-05-0j 5.07629e-06-0j 0.000613991-0j 5.11659e-05-0j 
