-0.294042-0j -0.363858-0j -0.212251-0j 0.10756-0j -0.0428542-0j -0.0262427-0j -0.0374974-0j -0.0154669-0j -0.0232169-0j -0.00335106-0j 0.0767964-0j 0.0110846-0j -0.0214136-0j -0.0216355-0j -0.00309079-0j -0.0187369-0j -0.00312282-0j -0.00270444-0j -0.0154572-0j -0.00493864-0j -0.00223105-0j -0.000712831-0j 
0.00806984-0j -0.0389554-0j -0.0731757-0j -0.0474109-0j 0.215777-0j -0.033872-0j -0.504026-0j 0.370501-0j 0.000637175-0j -0.00874254-0j -0.00280783-0j 0.0385257-0j 0.000587687-0j 0.00618363-0j -0.00806352-0j -0.00200601-0j -0.0848442-0j 0.0275241-0j -0.00532903-0j 0.00662602-0j 0.0731184-0j -0.0909141-0j 
0.0244727-0j 0.0302834-0j 0.0176653-0j 0.00305717-0j 0.0035667-0j 0.00218415-0j 0.00312086-0j 0.00128729-0j -0.183803-0j 0.000278905-0j -0.207627-0j 0.000315056-0j -0.169527-0j -0.171284-0j 0.000257242-0j -0.148336-0j 0.000259908-0j 0.000225087-0j -0.122371-0j -0.0390981-0j 0.000185687-0j 5.9328e-05-0j 
-0.00353233-0j -0.00437104-0j -0.00254977-0j 0.0419467-0j 0.0489378-0j 0.0299682-0j 0.0428206-0j 0.0176626-0j -0.000278905-0j -0.178041-0j -0.000315056-0j -0.201119-0j -0.000257242-0j -0.000259908-0j -0.164213-0j -0.000225087-0j -0.165914-0j -0.143686-0j -0.000185687-0j -5.9328e-05-0j -0.118535-0j -0.0378725-0j 
-0.0270863-0j -0.000663397-0j 0.037943-0j -0.00338366-0j -7.81329e-05-0j -0.00241741-0j 0.00331743-0j 0.0041615-0j -0.796105-0j 0.00120802-0j 0.00454833-0j -6.9017e-06-0j 0.187632-0j -0.182072-0j -0.000284715-0j 0.00324948-0j 0.000276278-0j -4.93082e-06-0j -0.262837-0j -0.168812-0j 0.000398833-0j 0.000256158-0j 
0.00390958-0j 9.57531e-05-0j -0.00547659-0j -0.0464265-0j -0.00107204-0j -0.0331687-0j 0.0455177-0j 0.0570991-0j -0.00120802-0j -0.77115-0j 6.9017e-06-0j 0.00440576-0j 0.000284715-0j -0.000276278-0j 0.18175-0j 4.93082e-06-0j -0.176365-0j 0.00314763-0j -0.000398833-0j -0.000256158-0j -0.254598-0j -0.163521-0j 
-0.0214136-0j 0.0254817-0j -0.0154572-0j 0.00783307-0j -0.00312086-0j 0.00558679-0j 0.00262602-0j -0.00112638-0j 0.160827-0j -0.000244042-0j -0.531982-0j 0.000807237-0j -0.142647-0j 0.149873-0j 0.000216454-0j -0.379426-0j -0.00022742-0j 0.000575746-0j -0.102968-0j 0.0342108-0j 0.000156245-0j -5.1912e-05-0j 
0.069789-0j -0.0176653-0j -0.0103048-0j -0.00178335-0j 0.0101712-0j -0.00127409-0j -0.0018205-0j -0.000750918-0j 0.107218-0j -0.000162694-0j 0.121116-0j -0.000183783-0j -0.483441-0j -0.488451-0j 0.00073358-0j 0.0865293-0j 0.000741182-0j -0.000131301-0j 0.071383-0j 0.0228072-0j -0.000108318-0j -3.4608e-05-0j 
0.0216355-0j -0.0257128-0j 0.0137994-0j -0.00791425-0j -0.00302838-0j 0.00193093-0j -0.00275689-0j 0.0053352-0j -0.162494-0j 0.000246571-0j -0.516218-0j 0.000783317-0j -0.149873-0j 0.151308-0j 0.00022742-0j 0.125948-0j -0.000229596-0j -0.000191115-0j -0.095591-0j -0.359966-0j 0.000145051-0j 0.000546217-0j 
0.00309079-0j -0.00367797-0j 0.00223105-0j 0.107476-0j -0.0428206-0j 0.0766551-0j 0.036031-0j -0.0154548-0j 0.000244042-0j 0.155786-0j -0.000807237-0j -0.515306-0j -0.000216454-0j 0.00022742-0j -0.138175-0j -0.000575746-0j 0.145175-0j -0.367532-0j -0.000156245-0j 5.1912e-05-0j -0.0997403-0j 0.0331384-0j 
-0.0100732-0j 0.00254977-0j 0.00148737-0j -0.0244689-0j 0.139556-0j -0.0174814-0j -0.0249787-0j -0.0103032-0j 0.000162694-0j 0.103857-0j 0.000183783-0j 0.117319-0j -0.00073358-0j -0.000741182-0j -0.468287-0j 0.000131301-0j -0.473139-0j 0.0838169-0j 0.000108318-0j 3.4608e-05-0j 0.0691454-0j 0.0220923-0j 
-0.00312282-0j 0.00371133-0j -0.00199178-0j -0.10859-0j -0.0415517-0j 0.0264939-0j -0.0378267-0j 0.0732031-0j -0.000246571-0j -0.1574-0j -0.000783317-0j -0.500037-0j -0.00022742-0j 0.000229596-0j -0.145175-0j 0.000191115-0j 0.146565-0j 0.122-0j -0.000145051-0j -0.000546217-0j -0.0925946-0j -0.348682-0j 
-0.0485741-0j -0.000588404-0j -0.034996-0j 0.00312086-0j -0.000140116-0j -0.00651792-0j 0.00294241-0j -0.00383828-0j -0.187632-0j 0.000284715-0j -0.00419507-0j 6.36566e-06-0j -0.323576-0j -0.326511-0j 0.000490999-0j 0.00876141-0j 0.000495452-0j -1.32947e-05-0j -0.233126-0j 0.155701-0j 0.000353748-0j -0.000236263-0j 
0.00883267-0j -0.0533918-0j 0.00637576-0j 0.00110339-0j 0.00128729-0j 0.00971066-0j -0.00550229-0j 0.000464607-0j -0.0663378-0j 0.000100662-0j -0.0749366-0j 0.00011371-0j 0.298887-0j -0.0618195-0j -0.000453536-0j -0.659498-0j 9.38058e-05-0j 0.00100073-0j 0.215748-0j -0.0141112-0j -0.00032738-0j 2.14126e-05-0j 
0.0283349-0j 0.034996-0j -0.0402045-0j -0.0018205-0j -0.00801395-0j -0.00130063-0j -0.0016421-0j -0.000937961-0j 0.109452-0j -0.000166084-0j -0.239937-0j 0.000364083-0j -0.196281-0j -0.17523-0j 0.000297839-0j -0.171419-0j 0.000265897-0j 0.000260114-0j 0.278504-0j -0.292476-0j -0.000422605-0j 0.000443807-0j 
0.00701107-0j 8.49289e-05-0j 0.00505123-0j 0.0428206-0j -0.00192251-0j -0.089431-0j 0.0403722-0j -0.0526642-0j -0.000284715-0j -0.18175-0j -6.36566e-06-0j -0.00406357-0j -0.000490999-0j -0.000495452-0j -0.313433-0j 1.32947e-05-0j -0.316276-0j 0.00848677-0j -0.000353748-0j 0.000236263-0j -0.225818-0j 0.15082-0j 
-0.0154572-0j -0.0537013-0j -0.00985879-0j -0.00193093-0j 0.00216358-0j -0.00117195-0j -0.00575777-0j -0.00381165-0j 0.116091-0j -0.000176159-0j -0.125948-0j 0.000191115-0j -0.31301-0j -0.108099-0j 0.000474967-0j -0.076442-0j 0.000164032-0j 0.000115994-0j -0.199642-0j 0.257172-0j 0.00030294-0j -0.000390236-0j 
-0.00127489-0j 0.00770644-0j -0.000920261-0j 0.0151394-0j 0.0176626-0j 0.133238-0j -0.0754957-0j 0.00637477-0j -0.000100662-0j -0.0642584-0j -0.00011371-0j -0.0725876-0j 0.000453536-0j -9.38058e-05-0j 0.289518-0j -0.00100073-0j -0.0598817-0j -0.638825-0j 0.00032738-0j -2.14126e-05-0j 0.208985-0j -0.0136689-0j 
-0.00408979-0j -0.00505123-0j 0.00580302-0j -0.0249787-0j -0.109958-0j -0.0178456-0j -0.0225309-0j -0.0128695-0j 0.000166084-0j 0.106021-0j -0.000364083-0j -0.232416-0j -0.000297839-0j -0.000265897-0j -0.190128-0j -0.000260114-0j -0.169737-0j -0.166046-0j 0.000422605-0j -0.000443807-0j 0.269773-0j -0.283308-0j 
0.00223105-0j 0.00775111-0j 0.00142299-0j -0.0264939-0j 0.029686-0j -0.0160801-0j -0.0790011-0j -0.0522989-0j 0.000176159-0j 0.112452-0j -0.000191115-0j -0.122-0j -0.000474967-0j -0.000164032-0j -0.303199-0j -0.000115994-0j -0.104711-0j -0.0740459-0j -0.00030294-0j 0.000390236-0j -0.193384-0j 0.249111-0j 
0.00901668-0j 0.0313395-0j 0.00796386-0j 0.00112638-0j -0.00383828-0j -0.00235244-0j -0.00518375-0j -0.00652688-0j -0.0677199-0j 0.000102759-0j 0.223437-0j -0.000339046-0j 0.0600646-0j -0.295849-0j -9.11429e-05-0j -0.466649-0j 0.000448926-0j 0.000708099-0j 0.0530513-0j 0.267346-0j -8.05007e-05-0j -0.000405675-0j 
-0.00235222-0j 0.014208-0j 0.0733265-0j -0.000293843-0j 0.00167337-0j -0.000209932-0j -0.00541788-0j -0.00379786-0j 0.0176664-0j -2.68073e-05-0j -0.0974117-0j 0.000147814-0j 0.0162943-0j 0.297352-0j -2.47252e-05-0j -0.0695943-0j -0.000451207-0j 0.000105603-0j -0.507945-0j 0.525531-0j 0.000770764-0j -0.000797449-0j 
-0.00130145-0j -0.00452347-0j -0.00114948-0j 0.0154548-0j -0.0526642-0j -0.0322773-0j -0.0711251-0j -0.0895539-0j -0.000102759-0j -0.0655971-0j 0.000339046-0j 0.216433-0j 9.11429e-05-0j -0.000448926-0j 0.0581818-0j -0.000708099-0j -0.286575-0j -0.452021-0j 8.05007e-05-0j 0.000405675-0j 0.0513883-0j 0.258966-0j 
0.000339514-0j -0.00205075-0j -0.0105838-0j -0.00403176-0j 0.02296-0j -0.00288043-0j -0.0743376-0j -0.0521096-0j 2.68073e-05-0j 0.0171126-0j -0.000147814-0j -0.0943582-0j 2.47252e-05-0j 0.000451207-0j 0.0157835-0j -0.000105603-0j 0.288031-0j -0.0674127-0j -0.000770764-0j 0.000797449-0j -0.492023-0j 0.509058-0j 
