-0.143885-0j 0.986342-0j -0.0103606-0j -0.010468-0j 0.14297-0j 0.144452-0j -0.00686379-0j -0.00849351-0j 0.057395-0j -0.00495455-0j 0.014551-0j 0.0710226-0j 0.0414299-0j 0.0180059-0j 0.0105034-0j -0.0051156-0j -0.0059682-0j 0.0403302-0j -0.00365476-0j -0.000522109-0j -0.00522218-0j 0.0101891-0j 0.0470519-0j -0.00215404-0j 0.00120708-0j 0.0288133-0j -0.000609127-0j -0.000373013-0j 0.0411704-0j 0.0118873-0j -0.000532986-0j 0.00727946-0j 0.0169819-0j 0.00140826-0j 0.0104014-0j 0.000862379-0j -0.000219846-0j 0.00429035-0j 0.00123223-0j 0.000508267-0j -0.00406685-0j -0.00459399-0j 0.0310439-0j -0.000535854-0j -0.00375098-0j -0.00378985-0j 0.00739447-0j 0.0350679-0j -0.00328211-0j 0.00316841-0j -0.0027076-0j 0.00113599-0j -0.000605312-0j 0.0286328-0j -0.000865092-0j 8.66579e-05-0j 0.00835294-0j 0.0289295-0j -0.000494235-0j 0.0035791-0j 0.0250537-0j -0.000499357-0j 0.00682015-0j 0.0206682-0j 0.00128324-0j 0.00292232-0j -0.000432456-0j 0.00689083-0j 0.0066036-0j 9.78905e-05-0j -0.000356758-0j 0.00295261-0j 0.00596763-0j 0.00104776-0j 0.00255703-0j -0.000113986-0j 7.99272e-05-0j 0.00492305-0j 0.00105862-0j 0.00210944-0j 0.000916789-0j 8.07555e-05-0j 0.00157294-0j 0.000673977-0j 0.000756312-0j 6.99363e-05-0j 0.000241645-0j 5.76945e-05-0j 1.84337e-05-0j 
-0.00686379-0j 0.0470519-0j -0.000494235-0j -0.000499357-0j 0.00682015-0j 0.00689083-0j -0.0951851-0j 0.0590494-0j -0.00546135-0j 0.0344455-0j -0.00138458-0j 0.00338802-0j 0.00197635-0j 0.000858943-0j 0.00050105-0j -0.000244032-0j 0.000567897-0j -0.280387-0j -0.000174345-0j -2.49064e-05-0j -0.000249116-0j 0.000486055-0j 0.652502-0j -0.000102755-0j 5.75818e-05-0j -0.200318-0j 5.79607e-05-0j -1.7794e-05-0j -0.286229-0j -0.00113112-0j -2.54253e-05-0j 0.000347255-0j -0.118063-0j -0.000134001-0j 0.000496182-0j 4.11384e-05-0j -1.04874e-05-0j 0.000204664-0j 5.87814e-05-0j 2.42461e-05-0j -0.000194003-0j -0.000219149-0j 0.0014809-0j 0.00372542-0j 0.00035692-0j 0.000360619-0j -0.0514086-0j 0.00167286-0j -0.000156568-0j 0.000151144-0j -0.000129162-0j 5.41906e-05-0j 0.00420831-0j -0.00272452-0j -4.12678e-05-0j 4.13387e-06-0j -0.0580721-0j -0.00275275-0j -0.00685391-0j 0.000170735-0j 0.00119515-0j -0.00692494-0j 0.0945799-0j 0.000985945-0j 6.12148e-05-0j -0.00027807-0j 0.00300656-0j 0.09556-0j 0.000315014-0j 4.66971e-06-0j 0.00248029-0j -0.000280952-0j -0.0414887-0j -9.96981e-05-0j 0.000121979-0j 0.000792463-0j -7.60538e-06-0j -0.0342265-0j -0.000100731-0j 0.000100628-0j 4.37339e-05-0j -7.68419e-06-0j -0.0109355-0j 3.2151e-05-0j 3.60787e-05-0j 3.3362e-06-0j 1.15273e-05-0j 2.75222e-06-0j 8.79349e-07-0j 
0.0297273-0j -0.00843219-0j 0.00214055-0j 0.00198065-0j 0.000308961-0j 0.000285883-0j 0.00141809-0j -0.00343467-0j 0.000250686-0j 0.00396342-0j 2.08905e-05-0j -0.000607169-0j 0.00070064-0j -5.05974e-05-0j 5.83867e-05-0j -0.207034-0j 0.472766-0j 0.000176151-0j -0.147912-0j 0.00010787-0j -0.193555-0j 2.20189e-05-0j -0.000402244-0j -0.101437-0j 1.29748e-06-0j 0.000125849-0j -0.000246323-0j 7.70662e-05-0j 0.000164682-0j -5.02805e-05-0j 0.000100847-0j 1.57311e-05-0j 8.63057e-05-0j -2.96281e-06-0j 2.05853e-05-0j 9.26962e-07-0j 5.28512e-05-0j 1.07882e-05-0j 1.213e-06-0j 6.35701e-07-0j 0.00084023-0j -0.00185775-0j -0.0265606-0j 0.00011071-0j 0.000774971-0j 0.000717083-0j 1.59796e-05-0j 0.0587256-0j -0.00132724-0j 1.38388e-05-0j 0.00216596-0j 1.63091e-06-0j -0.00024478-0j -0.0244976-0j -0.00231576-0j 7.44407e-08-0j -3.5331e-05-0j -0.0226678-0j 0.000102111-0j -3.05976e-05-0j 0.0419556-0j 9.44839e-05-0j 1.47385e-05-0j -0.0684683-0j -3.60596e-06-0j 1.27639e-05-0j -0.00017488-0j 1.36376e-05-0j 0.0732037-0j -1.64589e-07-0j 0.00028539-0j 1.18105e-05-0j -2.52417e-05-0j 1.50424e-06-0j -2.18599e-05-0j -0.000305128-0j 6.86589e-08-0j 4.11926e-05-0j 1.39188e-06-0j 3.56738e-05-0j -2.57622e-06-0j 6.35303e-08-0j -4.40415e-05-0j -3.8141e-05-0j 4.2042e-06-0j -1.17588e-07-0j -4.49496e-06-0j 1.91895e-07-0j -2.05166e-07-0j 
-0.0042032-0j -0.000609127-0j 0.0585421-0j 0.0591488-0j -4.36846e-05-0j -4.41373e-05-0j 0.00039995-0j -0.000248115-0j -0.0136757-0j -0.000144733-0j 5.89182e-06-0j 0.00848392-0j 0.00494895-0j -3.65507e-06-0j -2.13213e-06-0j -0.000149438-0j 0.000347764-0j -2.49064e-05-0j -0.000106764-0j -0.282364-0j -0.000152552-0j 0.000602199-0j 5.79607e-05-0j -6.29243e-05-0j -1.83453e-07-0j -1.7794e-05-0j 0.657101-0j -0.20173-0j -2.54253e-05-0j -0.0014014-0j -0.288246-0j 0.000430231-0j -1.04874e-05-0j 4.26921e-07-0j 0.000614744-0j -1.31065e-07-0j -0.118896-0j 0.000253569-0j -1.87275e-07-0j -7.72469e-08-0j -0.000118802-0j -0.000134201-0j -1.91716e-05-0j 0.00302783-0j 0.000218568-0j 0.000220833-0j -2.25939e-06-0j -2.16566e-05-0j -9.58777e-05-0j -0.0362247-0j -7.90951e-05-0j 4.46041e-05-0j 0.00342029-0j 3.52712e-05-0j -2.52713e-05-0j -1.05253e-08-0j -2.55225e-06-0j 3.56368e-05-0j -0.0055705-0j -0.0409201-0j -1.54722e-05-0j -0.00562823-0j 4.15676e-06-0j -1.27639e-05-0j 5.03857e-05-0j 0.0666451-0j 0.00244358-0j 4.19983e-06-0j -4.07813e-06-0j -1.18896e-08-0j 0.00201585-0j 0.0673357-0j -1.82342e-06-0j -8.20613e-05-0j -0.0292348-0j 0.000644073-0j 1.93641e-08-0j -1.50424e-06-0j -8.29117e-05-0j -0.0241174-0j 3.59973e-05-0j 1.95648e-08-0j -4.80613e-07-0j -0.00770564-0j 2.96962e-05-0j -8.49434e-09-0j 9.48809e-06-0j -7.00747e-09-0j -2.23892e-09-0j 
0.00849351-0j -0.000828746-0j -0.000601774-0j -0.000600332-0j 0.00830413-0j 0.00828422-0j -0.0590494-0j 0.00102338-0j -0.00338802-0j 0.0834281-0j -0.000858943-0j 5.87175e-05-0j 0.00478678-0j 1.48863e-05-0j 0.00121356-0j 0.000301974-0j 5.01462e-06-0j 0.346962-0j -0.0006403-0j 3.08201e-05-0j 0.000294685-0j -0.000601463-0j 0.00576169-0j -0.000374219-0j -7.12538e-05-0j -0.735691-0j 5.11802e-07-0j -6.53503e-05-0j 0.338587-0j -9.98797e-06-0j 3.00762e-05-0j 0.00127533-0j -0.42997-0j -1.18325e-06-0j -0.000586946-0j 0.000151085-0j -3.81935e-05-0j 0.000745359-0j -6.9534e-05-0j 8.83008e-05-0j 0.000240066-0j 3.85998e-06-0j -0.00183252-0j -0.00460997-0j -0.000217868-0j -0.000217346-0j 0.0636149-0j -2.94648e-05-0j -8.18463e-06-0j -0.000187031-0j 0.000307816-0j -6.70574e-05-0j -7.41229e-05-0j 0.00166308-0j -0.000200631-0j -5.11541e-06-0j 0.00102285-0j 0.00165909-0j 0.00418371-0j -3.00724e-06-0j 6.24766e-05-0j 0.00417368-0j -0.0577327-0j -0.00234969-0j -1.0782e-06-0j 0.000169737-0j 0.000157169-0j -0.0575944-0j 0.0015315-0j -8.22497e-08-0j -0.00591097-0j 0.00016933-0j -0.00216884-0j 6.0857e-05-0j 6.3765e-06-0j 0.0038527-0j 4.64242e-06-0j 0.0815679-0j 6.07111e-05-0j -0.000239814-0j 2.28621e-06-0j 4.63129e-06-0j -0.053165-0j 0.000156308-0j -8.5982e-05-0j 1.74401e-07-0j 5.60421e-05-0j -6.55905e-06-0j 4.27511e-06-0j 
0.000857974-0j -0.0118873-0j -0.00594404-0j -0.00600564-0j 0.0398956-0j 0.040309-0j -8.16395e-05-0j 5.06462e-05-0j -0.132753-0j 2.95436e-05-0j -0.0164885-0j 0.0823552-0j 0.0480405-0j 0.0102289-0j 0.00596684-0j 3.0504e-05-0j -7.09871e-05-0j -0.000486055-0j 2.17931e-05-0j -0.000602199-0j 3.11395e-05-0j -0.273561-0j 0.00113112-0j 1.28444e-05-0j 0.001034-0j -0.000347255-0j 0.0014014-0j -0.000430231-0j -0.000496182-0j 0.636617-0j -0.000614744-0j -0.195442-0j -0.000204664-0j -0.00240626-0j -0.279261-0j 0.000738724-0j -0.000253569-0j -0.115189-0j 0.00105554-0j 0.000435388-0j 2.42503e-05-0j 2.73936e-05-0j -0.000374139-0j -0.000307429-0j -4.4615e-05-0j -4.50773e-05-0j 0.00206342-0j -0.000422635-0j 1.9571e-05-0j 0.00738612-0j 1.61452e-05-0j -0.0620905-0j -0.000347278-0j 0.000688329-0j 5.15848e-06-0j 9.92178e-05-0j 0.00233088-0j 0.000695462-0j 0.000565598-0j 0.00834351-0j -0.000301945-0j 0.000571459-0j -0.00379621-0j -0.000249092-0j -0.0701387-0j -0.0135888-0j -0.000248107-0j -0.00383555-0j -7.9586e-05-0j 0.000112078-0j -0.000204678-0j -0.0137296-0j 0.00166526-0j 0.114232-0j 0.00596089-0j -6.53956e-05-0j -0.000182538-0j 0.00137377-0j 0.115416-0j 0.00491748-0j -0.0501095-0j -0.00018443-0j 0.000438926-0j 0.00157116-0j -0.0413383-0j 8.00727e-05-0j -0.0132078-0j 6.60566e-05-0j 2.11054e-05-0j 
0.00520119-0j 1.07288e-05-0j 0.0712801-0j 0.0711093-0j -5.31898e-05-0j -5.30623e-05-0j 0.000248115-0j -4.30005e-06-0j -0.00848392-0j -0.000350549-0j 3.65507e-06-0j 0.000147034-0j 0.0119865-0j -6.33458e-08-0j -5.16408e-06-0j 0.00018492-0j 3.07081e-06-0j 3.08201e-05-0j -0.000392102-0j 0.349407-0j 0.000180457-0j -0.000745183-0j 5.11802e-07-0j -0.000229161-0j 2.27011e-07-0j -6.53503e-05-0j 0.00580231-0j -0.740877-0j 3.00762e-05-0j -1.23746e-05-0j 0.340974-0j 0.00158007-0j -3.81935e-05-0j 3.76978e-09-0j -0.000727197-0j -4.81351e-07-0j -0.433001-0j 0.000923462-0j 2.21532e-07-0j -2.81322e-07-0j 0.00014701-0j 2.36374e-06-0j 2.37236e-05-0j -0.00374674-0j -0.000133417-0j -0.000133097-0j 2.79585e-06-0j 3.81447e-07-0j -5.01204e-06-0j 0.0448258-0j 0.000188498-0j -5.51948e-05-0j -6.02432e-05-0j -2.153e-05-0j -0.000122861-0j 1.30244e-08-0j 4.4954e-08-0j -2.14784e-05-0j 0.0034003-0j 0.000720745-0j -8.08814e-07-0j 0.00339215-0j -2.53734e-06-0j 3.04187e-05-0j -8.87467e-07-0j -0.040681-0j 0.000127739-0j -2.53125e-06-0j -1.98266e-05-0j 2.09417e-10-0j -0.00480413-0j -0.0405835-0j -9.53197e-08-0j 5.00912e-05-0j -0.00152826-0j 0.00313128-0j -1.18201e-08-0j 3.58488e-06-0j 4.99711e-05-0j 0.0574762-0j 1.88177e-06-0j -1.17918e-08-0j -2.33658e-06-0j -0.0374624-0j -7.07715e-05-0j -4.44044e-10-0j 4.61281e-05-0j 1.67001e-08-0j -1.08849e-08-0j 
-0.00495455-0j -0.0664774-0j -0.000356758-0j -0.000330109-0j 0.00492305-0j 0.00455531-0j 0.0344455-0j -0.0834281-0j 0.00197635-0j 0.0962715-0j 0.00050105-0j -0.00478678-0j 0.00552368-0j -0.00121356-0j 0.00140038-0j -0.000176151-0j 0.000402244-0j -0.202394-0j -0.000125849-0j -1.79784e-05-0j -0.000164682-0j 0.000350853-0j 0.46217-0j -8.63057e-05-0j 4.15647e-05-0j -0.144597-0j 4.10539e-05-0j -1.28444e-05-0j -0.189217-0j -0.000801179-0j -1.68078e-05-0j 0.000250662-0j -0.0991634-0j -9.49137e-05-0j 0.00032801-0j 2.96953e-05-0j -8.80854e-06-0j 0.000171901-0j 3.88585e-05-0j 2.03647e-05-0j -0.000140038-0j 0.000309625-0j 0.00106897-0j 0.00268915-0j -0.000129162-0j -0.000119514-0j -0.0371087-0j -0.0023635-0j 0.000221207-0j 0.000109101-0j -0.000360994-0j 3.91168e-05-0j -0.00594572-0j 0.000985945-0j 0.00038596-0j 2.98399e-06-0j 0.0820474-0j 0.000912298-0j 0.00248029-0j -0.000241224-0j -0.00168857-0j 0.00229502-0j -0.0342265-0j 0.00275561-0j -8.64874e-05-0j 0.000100628-0j -0.00424783-0j -0.0316699-0j -0.00294619-0j -6.59761e-06-0j 0.00693214-0j 9.31111e-05-0j 0.0586175-0j 3.60787e-05-0j -0.000172339-0j -0.00741157-0j 2.75222e-06-0j -0.0956594-0j 3.33837e-05-0j 0.000281244-0j -6.17896e-05-0j 2.54664e-06-0j 0.102275-0j -0.000300695-0j 0.000100836-0j -4.71356e-06-0j -0.00010781-0j 7.69218e-06-0j -8.22417e-06-0j 
-5.05566e-05-0j 0.00140826-0j -3.64039e-06-0j -3.67811e-06-0j -0.0145087-0j -0.014659-0j 4.81065e-06-0j -2.98435e-06-0j -0.000163458-0j -1.74087e-06-0j -0.185765-0j 0.000101403-0j 5.91519e-05-0j 0.115242-0j 0.0672245-0j -1.79746e-06-0j 4.18296e-06-0j 5.75818e-05-0j -1.28417e-06-0j -1.83453e-07-0j -1.83491e-06-0j -0.001034-0j -0.000134001-0j -7.56862e-07-0j -0.264776-0j 4.11384e-05-0j 4.26921e-07-0j -1.31065e-07-0j 5.87814e-05-0j 0.00240626-0j -1.87275e-07-0j -0.000738724-0j 2.42461e-05-0j 0.616171-0j -0.00105554-0j -0.189165-0j -7.72469e-08-0j -0.000435388-0j -0.270292-0j -0.11149-0j -1.42896e-06-0j -1.61419e-06-0j 4.43233e-05-0j -1.88282e-07-0j 2.62896e-06-0j 2.65621e-06-0j -0.000750396-0j 5.00685e-05-0j -1.15323e-06-0j 4.52373e-06-0j -9.51366e-07-0j 0.0072706-0j -2.12688e-07-0j -8.15446e-05-0j -3.03966e-07-0j -0.079309-0j -0.000847662-0j -8.23897e-05-0j 3.46396e-07-0j 5.11009e-06-0j 3.57706e-05-0j 3.49986e-07-0j 0.00138056-0j 2.95093e-05-0j 0.00821301-0j -8.32261e-06-0j -1.51951e-07-0j 0.00139486-0j 9.42835e-06-0j -0.0895891-0j -1.25354e-07-0j -8.40886e-06-0j -0.000605599-0j -0.0133762-0j 3.65083e-06-0j -4.00511e-08-0j 0.14591-0j -0.000499594-0j -0.0135148-0j 3.01178e-06-0j 0.00586766-0j 0.147422-0j -0.000159623-0j 9.62277e-07-0j 0.00484057-0j -0.0640055-0j 0.00154659-0j -0.0528019-0j -0.0168704-0j 
-0.00303403-0j 0.000860607-0j 0.0422579-0j 0.0391014-0j -3.15332e-05-0j -2.91778e-05-0j -0.000144733-0j 0.000350549-0j 0.00494895-0j -0.000404515-0j -2.13213e-06-0j -0.0119865-0j 0.0138318-0j 5.16408e-06-0j -5.95907e-06-0j -0.00010787-0j 0.000246323-0j -1.79784e-05-0j -7.70662e-05-0j -0.203821-0j -0.000100847-0j 0.00043469-0j 4.10539e-05-0j -5.28512e-05-0j -1.32423e-07-0j -1.28444e-05-0j 0.465428-0j -0.145617-0j -1.68078e-05-0j -0.000992621-0j -0.190551-0j 0.000310558-0j -8.80854e-06-0j 3.0239e-07-0j 0.000406388-0j -9.46077e-08-0j -0.0998625-0j 0.000212977-0j -1.23801e-07-0j -6.4881e-08-0j -8.57557e-05-0j 0.000189606-0j -1.38388e-05-0j 0.0021856-0j -7.90951e-05-0j -7.3187e-05-0j -1.63091e-06-0j 3.05976e-05-0j 0.000135461-0j -0.0261484-0j -0.000221062-0j 3.21969e-05-0j -0.00483237-0j -1.27639e-05-0j 0.000236351-0j -7.59757e-09-0j 3.60596e-06-0j -1.18105e-05-0j 0.00201585-0j 0.0578141-0j 2.18599e-05-0j 0.00186527-0j -1.50424e-06-0j -3.56738e-05-0j -7.11876e-05-0j -0.0241174-0j -0.00345241-0j -1.39188e-06-0j 3.8141e-05-0j 1.67983e-08-0j 0.00563408-0j -0.0223159-0j 2.57622e-06-0j 2.96962e-05-0j 0.0413044-0j -0.00602374-0j -7.00747e-09-0j -4.2042e-06-0j 2.7478e-05-0j -0.0674057-0j -5.08588e-05-0j -6.48404e-09-0j 4.49496e-06-0j 0.0720675-0j 8.29978e-05-0j 1.20013e-08-0j -8.8738e-05-0j -1.95852e-08-0j 2.09397e-08-0j 
-0.00106169-0j 0.000209377-0j -0.00723739-0j -0.00722004-0j 0.0485763-0j 0.0484599-0j -5.06462e-05-0j 8.77745e-07-0j -0.0823552-0j 7.15556e-05-0j -0.0102289-0j 0.00142729-0j 0.116356-0j 0.000177276-0j 0.0144519-0j -3.77467e-05-0j -6.26827e-07-0j 0.000601463-0j 8.00375e-05-0j 0.000745183-0j -3.68356e-05-0j 0.338515-0j 9.98797e-06-0j 4.67773e-05-0j -0.00127951-0j -0.00127533-0j 1.23746e-05-0j -0.00158007-0j 0.000586946-0j 0.00562143-0j 0.000727197-0j -0.717782-0j -0.000745359-0j -2.12477e-05-0j 0.330344-0j 0.00271305-0j -0.000923462-0j -0.419502-0j -0.00124862-0j 0.00158562-0j -3.00082e-05-0j -4.82497e-07-0j 0.000462973-0j 0.000380424-0j 2.72335e-05-0j 2.71683e-05-0j -0.00255335-0j 7.44406e-06-0j 1.02308e-06-0j -0.00913986-0j -3.8477e-05-0j 0.0768331-0j 6.11676e-06-0j -0.000420165-0j 2.50789e-05-0j -0.000122776-0j -4.10549e-05-0j -0.000419158-0j -0.000345248-0j -0.000146958-0j -1.57843e-05-0j -0.00034442-0j 0.00231726-0j 0.000593631-0j 0.00123539-0j 0.00829475-0j -1.29699e-05-0j 0.0023117-0j -0.000386922-0j -1.97409e-06-0j 0.000487784-0j 0.00827486-0j 8.7052e-05-0j -0.0697288-0j 0.000311607-0j -0.000317932-0j 0.000111423-0j -0.00327394-0j -0.0695617-0j -0.0117193-0j -0.00261949-0j 0.000111156-0j 0.00213392-0j 0.00763848-0j 0.0985165-0j 4.18583e-06-0j -0.064212-0j -0.000157425-0j 0.000102608-0j 
0.000619319-0j 0.016795-0j -0.00429064-0j -0.00397014-0j 0.0287982-0j 0.026647-0j 2.95436e-05-0j -7.15556e-05-0j 0.0480405-0j 8.25713e-05-0j 0.00596684-0j -0.116356-0j 0.134268-0j -0.0144519-0j 0.0166767-0j 2.20189e-05-0j -5.02805e-05-0j -0.000350853-0j 1.57311e-05-0j -0.00043469-0j 2.05853e-05-0j -0.197467-0j 0.000801179-0j 1.07882e-05-0j 0.000746379-0j -0.000250662-0j 0.000992621-0j -0.000310558-0j -0.00032801-0j 0.450919-0j -0.000406388-0j -0.141077-0j -0.000171901-0j -0.00170437-0j -0.18461-0j 0.000533239-0j -0.000212977-0j -0.0967494-0j 0.000697784-0j 0.00036569-0j 1.75048e-05-0j -3.87032e-05-0j -0.000270068-0j -0.000221914-0j 1.61452e-05-0j 1.49392e-05-0j 0.00148945-0j 0.000597121-0j -2.76509e-05-0j 0.00533158-0j 4.51242e-05-0j -0.0448193-0j 0.000490652-0j -0.000249092-0j -4.8245e-05-0j 7.16192e-05-0j -0.00329319-0j -0.000230485-0j -0.000204678-0j -0.0117882-0j 0.000426604-0j -0.000189389-0j 0.00137377-0j -0.000696185-0j 0.0990957-0j 0.00491748-0j 0.000350539-0j 0.00127115-0j 0.000744334-0j -0.00015835-0j -0.000572053-0j 0.00455016-0j -0.00235277-0j -0.0413383-0j -0.00842186-0j 0.000611617-0j 6.60566e-05-0j 0.00383954-0j -0.0382504-0j 0.0137439-0j 0.0707974-0j 6.11224e-05-0j -0.00410509-0j -0.0146944-0j -0.115536-0j -0.000113131-0j 0.123527-0j 0.000184621-0j -0.00019739-0j 
6.25606e-05-0j -2.48043e-05-0j -4.43249e-06-0j -4.42186e-06-0j -0.0176656-0j -0.0176232-0j 2.98435e-06-0j -5.17216e-08-0j -0.000101403-0j -4.21645e-06-0j -0.115242-0j 1.75741e-06-0j 0.000143268-0j 0.00199725-0j 0.16282-0j 2.22425e-06-0j 3.69361e-08-0j -7.12538e-05-0j -4.71625e-06-0j 2.27011e-07-0j 2.17056e-06-0j 0.00127951-0j -1.18325e-06-0j -2.75638e-06-0j 0.327643-0j 0.000151085-0j 3.76978e-09-0j -4.81351e-07-0j -6.9534e-05-0j 2.12477e-05-0j 2.21532e-07-0j -0.00271305-0j 8.83008e-05-0j 0.00544088-0j 0.00124862-0j -0.694729-0j -2.81322e-07-0j -0.00158562-0j 0.319735-0j -0.406029-0j 1.76825e-06-0j 2.84314e-08-0j -5.48473e-05-0j 2.32988e-07-0j -1.60475e-06-0j -1.60091e-06-0j 0.000928567-0j -8.81879e-07-0j -6.02855e-08-0j -5.59782e-06-0j 2.26728e-06-0j -0.00899691-0j 3.74617e-09-0j 4.97758e-05-0j -1.47779e-06-0j 0.0981399-0j 1.49303e-05-0j 4.96565e-05-0j -2.11445e-07-0j -9.00064e-08-0j 1.86992e-06-0j -2.10938e-07-0j -0.000842708-0j -7.03259e-05-0j -0.00014466-0j 5.08023e-06-0j -7.94331e-09-0j -0.000840688-0j 4.58376e-05-0j 0.00157797-0j 2.9874e-07-0j 5.06805e-06-0j -3.16579e-05-0j 0.00816501-0j 1.90848e-07-0j -1.94715e-07-0j -0.0890655-0j 0.00119062-0j 0.00814544-0j -7.17761e-06-0j 0.000306734-0j -0.088852-0j -0.000776034-0j 4.67829e-06-0j -0.011536-0j -0.00334591-0j 0.00751901-0j 0.125836-0j -0.0820187-0j 
-3.64937e-05-0j -0.00198966-0j -2.62777e-06-0j -2.43148e-06-0j -0.0104729-0j -0.00969062-0j -1.74087e-06-0j 4.21645e-06-0j 5.91519e-05-0j -4.86556e-06-0j 0.0672245-0j -0.000143268-0j 0.000165323-0j -0.16282-0j 0.187885-0j -1.29748e-06-0j 2.96281e-06-0j 4.15647e-05-0j -9.26962e-07-0j -1.32423e-07-0j -1.213e-06-0j -0.000746379-0j -9.49137e-05-0j -6.35701e-07-0j -0.191125-0j 2.96953e-05-0j 3.0239e-07-0j -9.46077e-08-0j 3.88585e-05-0j 0.00170437-0j -1.23801e-07-0j -0.000533239-0j 2.03647e-05-0j 0.436437-0j -0.000697784-0j -0.136546-0j -6.4881e-08-0j -0.00036569-0j -0.178681-0j -0.0936421-0j -1.03148e-06-0j 2.28061e-06-0j 3.19942e-05-0j -1.35909e-07-0j -9.51366e-07-0j -8.80302e-07-0j -0.000541664-0j -7.07394e-05-0j 1.62934e-06-0j 3.2654e-06-0j -2.65897e-06-0j 0.0052482-0j 3.00496e-07-0j 2.95093e-05-0j 2.84286e-06-0j -0.0572483-0j 0.00119762-0j 2.7305e-05-0j -1.25354e-07-0j -7.21981e-06-0j -5.05386e-05-0j -1.1599e-07-0j -0.000499594-0j 8.24753e-05-0j -0.0116038-0j 3.01178e-06-0j 2.14685e-07-0j -0.000462276-0j -8.81793e-05-0j 0.126576-0j -3.5035e-07-0j 2.78681e-06-0j 0.000855622-0j 0.00484057-0j -5.15808e-06-0j 3.7458e-07-0j -0.0528019-0j -0.00139631-0j 0.004479-0j 8.4176e-06-0j -0.00829014-0j -0.0488577-0j 0.00149288-0j -8.99977e-06-0j 0.0135289-0j 0.0904304-0j -0.0144646-0j -0.147576-0j 0.157782-0j 
0.0317002-0j 0.00459399-0j 0.00228261-0j 0.00230626-0j 0.000329466-0j 0.000332881-0j 0.00151221-0j 0.00187126-0j 0.000267323-0j 0.00109157-0j 2.22769e-05-0j 0.000330796-0j 0.000192964-0j 2.75663e-05-0j 1.60803e-05-0j -0.00340155-0j 0.00131489-0j -0.000566925-0j 0.000805205-0j -0.000347169-0j 0.00115053-0j -7.08657e-05-0j 0.000219149-0j 0.000474571-0j -4.1758e-06-0j 0.000134201-0j 0.000134201-0j 8.21809e-05-0j 0.000191755-0j 2.73936e-05-0j 0.000117426-0j 1.67751e-05-0j 7.90951e-05-0j 1.61419e-06-0j 2.39694e-05-0j 9.88483e-07-0j 4.84357e-05-0j 9.88689e-06-0j 1.41241e-06-0j 5.8259e-07-0j -0.221006-0j 0.753475-0j 0.000144591-0j 0.000118058-0j -0.20384-0j -0.205953-0j 1.70402e-05-0j -0.000492953-0j -0.17836-0j 1.47572e-05-0j -0.14714-0j 1.73915e-06-0j -0.000402494-0j 0.00013336-0j -0.0470119-0j 7.93811e-08-0j -5.8095e-05-0j 0.000134742-0j 0.000108888-0j -5.03118e-05-0j 0.00011669-0j 0.000110017-0j 1.57167e-05-0j 9.62646e-05-0j -5.9293e-06-0j 1.3611e-05-0j 9.52772e-05-0j 1.58795e-05-0j 3.0757e-05-0j -2.70634e-07-0j 7.85997e-05-0j 1.37521e-05-0j 1.37521e-05-0j 1.60408e-06-0j 1.19097e-05-0j 2.5113e-05-0j 7.32157e-08-0j 1.13449e-05-0j 1.6207e-06-0j 9.82496e-06-0j 1.40357e-06-0j 7.39744e-08-0j 3.62475e-06-0j 3.13912e-06-0j 1.15788e-06-0j 6.40637e-08-0j 3.69949e-07-0j 5.28499e-08-0j 1.68858e-08-0j 
-0.0369836-0j -7.62885e-05-0j -0.00266305-0j 0.00261405-0j -0.000384377-0j 0.000377305-0j 0.00351913-0j -3.10744e-05-0j 0.0006221-0j 0.00249262-0j 5.18417e-05-0j -5.49324e-06-0j 0.000440636-0j -4.5777e-07-0j 3.67197e-05-0j -0.00131489-0j 4.35548e-05-0j -0.000219149-0j -0.000939406-0j -0.000134201-0j 0.00130408-0j -2.73936e-05-0j 7.25914e-06-0j 0.00162947-0j -1.61419e-06-0j -0.000156568-0j 4.44529e-06-0j -9.58777e-05-0j 0.000217346-0j 9.07392e-07-0j 0.000133097-0j -1.9571e-05-0j 0.000271579-0j 5.34686e-08-0j 2.71683e-05-0j -1.15323e-06-0j 0.000166308-0j 3.39474e-05-0j 1.60091e-06-0j 2.00037e-06-0j 0.25784-0j 0.00414576-0j -0.000168689-0j -0.000137734-0j -0.474366-0j 0.465638-0j -1.98802e-05-0j -2.71232e-06-0j 0.00296187-0j -1.72167e-05-0j -0.335996-0j -2.02901e-06-0j -2.2146e-06-0j 0.000310349-0j -0.215485-0j -9.26113e-08-0j -3.1965e-07-0j -0.000304638-0j 0.000253399-0j -2.76825e-07-0j -1.93777e-06-0j -0.000248736-0j 3.6575e-05-0j 0.000219822-0j -3.26241e-08-0j 3.16748e-05-0j -1.58219e-06-0j -3.5902e-05-0j 0.000140979-0j -1.48908e-09-0j 0.000179484-0j -3.1092e-05-0j -2.28369e-07-0j 3.73292e-06-0j -1.97773e-07-0j 0.000115109-0j 1.70384e-07-0j 2.59062e-05-0j -3.66423e-06-0j 2.24354e-05-0j -2.33078e-08-0j -1.67249e-07-0j 1.66145e-05-0j 1.43886e-05-0j 2.64404e-06-0j -1.06385e-09-0j 1.69571e-06-0j 1.20683e-07-0j 7.73983e-08-0j 
