-0.00600085-0j 0.143292-0j -0.00061246-0j -0.000125018-0j -7.36674e-06-0j -0.00541954-0j -0.000874575-0j 0.102309-0j 0.014767-0j -8.92609e-05-0j -1.05195e-05-0j -4.80147e-07-0j -0.0034961-0j -0.00353233-0j -0.000552782-0j -0.000558511-0j -0.000437013-0j 0.0837734-0j -0.000441542-0j -6.30774e-05-0j 0.0846416-0j -6.3731e-05-0j 0.0104353-0j -2.57512e-05-0j 0.0105434-0j 0.000869605-0j -6.43781e-06-0j -2.60181e-05-0j 0.000878617-0j -6.50452e-06-0j -5.36484e-07-0j -5.42043e-07-0j -1.99936e-08-0j -2.02008e-08-0j 
-0.103549-0j -0.0042388-0j 5.51927e-05-0j -0.00107097-0j -0.000126878-0j -0.000469057-0j -0.681659-0j -6.18037e-05-0j 0.000847995-0j 0.00036333-0j 0.000130277-0j 9.93824e-06-0j 0.000315056-0j -0.000318072-0j -0.0023428-0j 0.00236522-0j -0.007541-0j 2.62547e-05-0j 0.00761318-0j 0.103468-0j -2.6506e-05-0j -0.104459-0j -0.000308691-0j 2.32061e-06-0j 0.000311645-0j -7.82666e-05-0j -5.51495e-05-0j -2.34282e-06-0j 7.90157e-05-0j 5.56773e-05-0j -9.23992e-06-0j 9.32836e-06-0j -5.17428e-07-0j 5.22381e-07-0j 
-0.000437013-0j 0.0104353-0j 0.00852983-0j 0.00086602-0j -5.36484e-07-0j -0.000394679-0j -6.3691e-05-0j -0.708709-0j 0.00107541-0j 0.00124315-0j 7.28704e-05-0j -3.49668e-08-0j 0.000244839-0j -0.000257242-0j 3.87125e-05-0j -4.06736e-05-0j -0.00291116-0j -0.00586682-0j 0.00305864-0j 4.41744e-06-0j 0.00616403-0j -4.64122e-06-0j 0.0695145-0j -0.000518232-0j -0.073036-0j -6.09002e-05-0j -8.62217e-05-0j 0.000544485-0j 6.39853e-05-0j 9.05896e-05-0j -3.57379e-06-0j 3.75483e-06-0j 1.40019e-09-0j -1.47112e-09-0j 
0.000441542-0j -0.0105434-0j -0.00861823-0j -0.000874995-0j 5.42043e-07-0j -0.000382983-0j -6.18037e-05-0j -0.687708-0j 0.00104354-0j 0.00120632-0j 7.07111e-05-0j -3.39306e-08-0j 0.000257242-0j -0.000259705-0j 4.06736e-05-0j -4.10629e-05-0j -0.00305864-0j -0.00616403-0j 0.00308791-0j 4.64122e-06-0j 0.00622303-0j -4.68564e-06-0j 0.073036-0j -0.000544485-0j -0.073735-0j -6.39853e-05-0j -9.05896e-05-0j 0.000549696-0j 6.45978e-05-0j 9.14567e-05-0j -3.75483e-06-0j 3.79077e-06-0j 1.47112e-09-0j -1.4852e-09-0j 
6.30774e-05-0j 0.14318-0j 6.43781e-06-0j 0.00581189-0j 0.00211393-0j 5.6967e-05-0j -0.00087389-0j -0.00107541-0j -0.686494-0j -8.9191e-05-0j 0.00149875-0j 0.00023044-0j -3.53395e-05-0j 3.71297e-05-0j 0.000531165-0j -0.000558073-0j -4.41744e-06-0j 0.000846803-0j 4.64122e-06-0j -0.00281991-0j -0.000889701-0j 0.00296276-0j -0.0100272-0j -2.603e-07-0j 0.0105351-0j 0.119144-0j -0.000287805-0j 2.73486e-07-0j -0.12518-0j 0.000302385-0j -0.000148043-0j 0.000155543-0j -1.38704e-05-0j 1.45731e-05-0j 
5.46266e-05-0j -0.000428183-0j 0.100885-0j 0.0206892-0j -1.28166e-05-0j 4.93348e-05-0j -0.000374425-0j -0.00124315-0j -8.9191e-05-0j -0.691489-0j 0.00262047-0j -1.04529e-06-0j -3.06049e-05-0j 3.21553e-05-0j 0.000227582-0j -0.000239111-0j 0.000731616-0j -2.55041e-06-0j -0.000768678-0j 5.24904e-05-0j 2.67961e-06-0j -5.51495e-05-0j -0.00573467-0j -0.0123668-0j 0.00602518-0j 7.6029e-06-0j 0.0969394-0j 0.0129932-0j -7.98805e-06-0j -0.10185-0j -0.000171654-0j 0.000180349-0j 5.02635e-08-0j -5.28098e-08-0j 
-6.3731e-05-0j -0.144664-0j -6.50452e-06-0j -0.00587212-0j -0.00213584-0j 5.52789e-05-0j -0.000847995-0j -0.00104354-0j -0.666151-0j -8.65481e-05-0j 0.00145434-0j 0.000223612-0j -3.71297e-05-0j 3.74851e-05-0j 0.000558073-0j -0.000563415-0j -4.64122e-06-0j 0.000889701-0j 4.68564e-06-0j -0.00296276-0j -0.000898217-0j 0.00299112-0j -0.0105351-0j -2.73486e-07-0j 0.010636-0j 0.12518-0j -0.000302385-0j 2.76104e-07-0j -0.126378-0j 0.00030528-0j -0.000155543-0j 0.000157031-0j -1.45731e-05-0j 1.47126e-05-0j 
-5.51927e-05-0j 0.00043262-0j -0.10193-0j -0.0209036-0j 1.29495e-05-0j 4.78729e-05-0j -0.00036333-0j -0.00120632-0j -8.65481e-05-0j -0.670999-0j 0.00254282-0j -1.01432e-06-0j -3.21553e-05-0j 3.24631e-05-0j 0.000239111-0j -0.000241399-0j 0.000768678-0j -2.67961e-06-0j -0.000776036-0j 5.51495e-05-0j 2.70526e-06-0j -5.56773e-05-0j -0.00602518-0j -0.0129932-0j 0.00608285-0j 7.98805e-06-0j 0.10185-0j 0.0131176-0j -8.06451e-06-0j -0.102825-0j -0.000180349-0j 0.000182076-0j 5.28098e-08-0j -5.33153e-08-0j 
-6.43781e-06-0j 0.000153531-0j 0.000125656-0j 0.17292-0j 0.0203644-0j -5.81417e-06-0j 0.000134256-0j 7.28704e-05-0j -0.00149875-0j -0.00262047-0j -0.669543-0j 0.00335354-0j 3.60682e-06-0j -3.78954e-06-0j -8.16029e-05-0j 8.57368e-05-0j -4.28854e-05-0j 3.00569e-07-0j 4.5058e-05-0j 0.00088204-0j -3.15795e-07-0j -0.000926722-0j 0.00102275-0j -7.63428e-06-0j -0.00107456-0j -0.00390558-0j -0.0172161-0j 8.02102e-06-0j 0.00410343-0j 0.0180882-0j 0.135657-0j -0.14253-0j -0.00026999-0j 0.000283668-0j 
6.50452e-06-0j -0.000155123-0j -0.000126958-0j -0.174712-0j -0.0205754-0j -5.64188e-06-0j 0.000130277-0j 7.07111e-05-0j -0.00145434-0j -0.00254282-0j -0.649703-0j 0.00325417-0j 3.78954e-06-0j -3.82581e-06-0j -8.57368e-05-0j 8.65574e-05-0j -4.5058e-05-0j 3.15795e-07-0j 4.54892e-05-0j 0.000926722-0j -3.18817e-07-0j -0.000935592-0j 0.00107456-0j -8.02102e-06-0j -0.00108485-0j -0.00410343-0j -0.0180882-0j 8.09779e-06-0j 0.00414271-0j 0.0182614-0j 0.14253-0j -0.143894-0j -0.000283668-0j 0.000286383-0j 
2.93844e-07-0j -1.17122e-05-0j 2.99904e-08-0j 0.000279511-0j 0.220873-0j 2.65379e-07-0j -1.02417e-05-0j 3.49668e-08-0j 0.00023044-0j -1.04529e-06-0j -0.00335354-0j -0.647637-0j -1.64628e-07-0j 1.72968e-07-0j 6.2251e-06-0j -6.54045e-06-0j -2.05785e-08-0j -1.3719e-08-0j 2.1621e-08-0j -0.000135618-0j 1.4414e-08-0j 0.000142488-0j 8.20228e-07-0j -1.2126e-09-0j -8.6178e-07-0j 0.00186074-0j -1.38414e-05-0j 1.27403e-09-0j -0.001955-0j 1.45426e-05-0j -0.0154682-0j 0.0162518-0j 0.164372-0j -0.172699-0j 
-2.96889e-07-0j 1.18336e-05-0j -3.03011e-08-0j -0.000282408-0j -0.223161-0j 2.57515e-07-0j -9.93824e-06-0j 3.39306e-08-0j 0.000223612-0j -1.01432e-06-0j -0.00325417-0j -0.628446-0j -1.72968e-07-0j 1.74624e-07-0j 6.54045e-06-0j -6.60305e-06-0j -2.1621e-08-0j -1.4414e-08-0j 2.18279e-08-0j -0.000142488-0j 1.4552e-08-0j 0.000143852-0j 8.6178e-07-0j -1.27403e-09-0j -8.70028e-07-0j 0.001955-0j -1.45426e-05-0j 1.28622e-09-0j -0.00197371-0j 1.46818e-05-0j -0.0162518-0j 0.0164073-0j 0.172699-0j -0.174352-0j 
