-0.11963-0.118458j 0.217117+0.152546j -0.00258626+0.0285852j -0.00928026+0.0265424j -0.00822923+0.0476251j 0.001109-0.0136248j -0.00221839+0.00293841j 0.00324756-0.0116952j 0.00183132+0.0204092j -0.000991614-0.000443268j -0.000501491-0.0149076j -0.000366457+0.000928358j 0.00295057+0.0191652j 0.0257587+0.0330344j 0.0153237+0.0166857j 0.00481987-0.00128731j 0.000779373-0.00591217j 0.000190991+0.0060563j -0.00155166+0.0026309j -0.000128294+0.00363578j -0.00145685-0.00909178j 0.00361046+0.00716831j -0.00359614+0.00265361j -0.0004301-0.00264805j 0.00100255-0.00108609j -0.000448968-0.00626817j 0.00176648-0.00203683j -0.00323721-0.00213864j 0.00473599+0.0196309j 0.00168234-0.00259171j -0.000898246-0.000327501j -0.00779711+0.0126635j -0.0256533-0.0041024j -0.00413741-0.00157559j 0.0138911+0.00215805j -0.00266408+0.0024701j 
0.101085-0.151499j -0.0984978-0.154658j 0.00356863-0.0437993j 0.0160812+0.00400545j 0.0087568+0.0433823j -0.00429442-0.00342408j 0.0170509-0.0039122j -0.00526636+0.00313025j -0.0388146-0.000156237j 0.00184036-0.00940566j -0.0250692-0.00554847j -0.00313277-0.00850045j 0.0350139-0.00630279j -0.0173346-0.00896176j -0.00759227+0.00259798j -0.00202322-0.000549396j -0.00624514+0.000107258j 0.00122632-0.000507895j 0.00729287-0.00120697j -0.00162806-0.00437384j -0.0049344+0.00516126j 0.00878312+0.00585348j -0.00236597-0.00649244j 0.00939222-0.00409587j -0.00413442-0.00655562j -0.0143977+0.00233674j 0.00427169-0.00603396j -0.00815957-0.00133596j -0.00154696+0.00959694j -0.00478426-0.000103879j -0.00439528+0.00256983j 0.00248301+0.00383812j -0.0103094-0.00227218j 0.000679371+0.000493074j 0.00548802-0.00102294j -0.000861242+0.00134698j 
-0.132425+0.11331j -0.0282411+0.0271502j -0.0260491+0.00594072j 0.0198782-0.0226385j -0.0141358+0.0528948j 0.000842998-0.000785012j -0.00301153-0.00631619j 0.00285971-0.000952201j 0.00975611+0.00677035j 0.00204603+0.0020883j 0.0118159-0.011003j 0.00267976+0.000892943j -0.00717471+0.0173316j -0.0228137-0.028883j -0.0139026-0.00438331j -0.0020552-0.00122469j 0.00128667-0.000971282j -0.000710528+0.00368142j -0.000952668+0.00107749j -0.00425567+0.00615031j -0.00574515-0.0112147j -0.0107299-0.0182612j 0.00788341+0.0150779j 0.0107362+0.00288678j -0.0165569+0.0114267j 0.0169192+0.0118968j -0.0127569+0.00805323j -0.000548981+0.00998391j 0.00209379-0.00430609j 0.00257958+0.00114497j 0.00238095-0.000542318j -0.00688813+0.00329268j -0.0122509+0.0119264j 0.000780696+0.00288721j 0.00139425-0.00879055j 0.000410169+0.00136406j 
0.0685973+0.00089705j 0.157852+0.0949052j 0.0464371+0.00310037j -0.0207305-0.000965994j -0.0128339+0.0140247j 0.00296043+0.000584487j -0.00898333-0.00497521j 0.0131103+0.000180959j 0.00823014+0.0101174j 0.0144531-0.0189297j -0.00438282-0.000713847j 0.00780721-0.0234361j 0.00767729+0.00126991j -0.0128536-0.0256576j -0.00879785-0.00503908j -0.00459834+0.000600782j -0.00339001+0.012085j -0.00478935+0.00411242j 0.00251825-0.0197902j -0.00171372+0.0045231j 0.0119014-0.00895681j 0.00439016-0.00229357j -0.00473361+0.00676701j -0.0127706+0.0031385j -0.00235143+0.0019586j -0.000767028+0.000114155j -0.00937328+0.00609841j 0.00746304+0.000787387j -0.00300068-0.00163939j 0.0013286+7.21397e-05j 0.00283526-0.00326486j -0.00707357+0.00238491j -0.00827267+0.00147681j -0.00156844+0.0013701j 0.00279142-0.00341677j -1.07132e-06+0.00072487j 
0.0715793+0.241651j -0.138096-0.0191708j 0.00648993+0.00234893j -0.0176881+0.0582107j -0.000521734+0.000246445j 0.00432691-0.00183834j 0.000890557-0.00221936j 0.0065136+0.00499325j -0.0162264-0.00381094j 0.0144586-0.0203432j 0.00706904-0.00823626j 0.00843375-0.0251145j -0.00593475+0.0123337j -0.00232075+0.00112272j -0.00361853+0.00314926j -0.00185249+0.000470046j -0.00668807+0.00158149j -0.00206781+0.00127926j 0.00967069-0.00480442j 0.00375725+0.00156599j -0.000989979-0.00556559j 0.00786746-0.00873122j 0.0112979+0.00334947j -0.00577567+0.00845417j 0.00061406-0.00202961j -0.0140039+0.012372j -0.00718507+0.00337795j 0.0115598-0.00306281j -0.00707578-0.0115923j -0.00445399+0.0079232j 0.00304011-0.00231839j -0.00651319-0.00532104j -0.00381025+0.00766947j 0.000336066-0.000389553j -0.000512171-0.00433183j -0.000187823+0.0010211j 
-0.0882275+0.000770273j 0.106752-0.0555609j 0.0089914+0.0116581j -0.00949657-0.0153785j -0.0103338+0.00428127j -0.00145972-0.00578041j 0.0267175+0.0115793j -0.0112537-0.00969328j -0.0210802+0.0303862j 0.010617-0.00109188j 0.00295675+0.0140908j 0.00898359-0.0038025j -0.00582096-0.0180624j -0.00776164-0.00941525j -0.00550409-0.0028327j 0.00507191-0.00104745j 0.0096808-0.00995436j -0.00304082-0.0109954j -0.00686215+0.0138489j 0.00376813-0.00849535j 0.0195149+0.00729877j 0.00274405-0.0188709j -0.00662854-0.00394885j -0.0140459+0.00938335j 0.0130341-0.0288094j 0.0170099+0.019918j -0.0042664-0.0258896j 0.000462704-0.00987572j 0.0126704+0.00305175j 0.00627829+0.000698571j 0.00470924+0.00226556j -0.00193586+0.00214349j -0.00966678+0.00186554j -0.000594987+0.00259105j 0.00253352-0.00414683j 0.000300371+0.000253629j 
0.144228-0.0533656j 0.426811-0.26241j -0.00588626+0.0190687j 0.0144618-0.0143806j -0.0313549-0.0120362j -0.00314198+0.00207655j 0.00558926+0.00406246j -0.0112181+0.00736795j 0.00400307-0.0142916j -0.0059927-0.0178143j -0.0042668+0.00714536j -0.0121614-0.0166477j 0.00618724-0.0100326j -0.0103986-0.00328756j -0.00286351-0.00258582j -0.00226511-0.00147744j -0.00849675-0.000528273j -0.00186466-0.00107038j 0.0112033-0.000351454j -0.00325143+0.00369137j 0.00390249+0.00556229j -0.004541+0.0093949j -0.000514922-0.000638713j -0.00245668-0.0120899j -0.0017216+0.0152306j 0.00894789-0.0125178j -0.00120403+0.0111458j 0.0010984+0.00423341j 0.011074+0.0128407j -0.000397172-0.00570089j -0.000380788-0.00189712j 0.000329623+0.00719415j -0.0193921-0.00316012j -0.00148579+0.00206889j 0.00917409-0.00351j -0.000983373+0.000339733j 
0.0788843-0.126369j -0.051869+0.0586268j -0.00510098+0.00062976j 0.0458293+0.0178652j -0.00974875-0.00518747j 0.00520772-0.00611251j -0.00871228+0.0267739j 0.00753499-0.0161707j -0.00624816-0.0153051j -0.0217304-0.0138659j 0.0196349+0.0049656j -0.0249193-0.00905376j -0.0229513+0.00333908j 0.00882007+0.000204856j 0.00435302-0.000962133j 0.00162305+0.00194752j 0.00187958-0.00472025j 0.000292675-0.00749679j 0.00443514+0.00540024j -0.000436681+0.00331477j 0.0101667+0.0142767j 0.00605938+0.000704199j 0.00142876+0.00603586j -0.0215574-0.0187075j -0.00284408+0.000981663j -0.00144239+0.00289032j -0.0198542-0.0102377j 0.0172723+0.0125356j 0.0143912-0.000205405j -0.00295722+0.00153873j 0.0116271+0.00264426j 0.00789266-0.00411225j 0.00270506+0.00191055j 0.000705877-0.00160896j -0.00317746-0.000115486j 0.00115055-0.000233777j 
-0.0816366+0.174384j -0.00900403+0.0369113j -0.00790399+0.00795704j 0.0274898+0.0228704j 0.0121959+0.0143565j -0.00736074+0.0015707j 0.00624452-0.00934224j -0.00466754+0.0179954j -0.0144366-0.0210886j -0.00512074-0.00431808j 0.00821829+0.00450839j -0.00608565-0.0028669j -0.00589048-0.00113264j -0.00220375-0.00915152j 0.000436566-0.00204785j 0.000736072+0.00047858j 0.00873832+0.00140681j 0.00255851+0.000178934j -0.00806043+0.00862578j 0.00151713+0.00133595j -0.00137327+0.00265729j 0.000279086-0.00321933j 0.00502497+0.00604607j -0.00244089-0.00154399j -0.00210972+0.0020936j -0.000277939+0.00694721j -0.00551719-0.00067492j 0.00653894+0.00262729j -0.00248327+0.00279441j 0.000619557+0.000484787j 0.00320888+3.52807e-05j 0.000638978-0.00339779j 0.00614852-0.00530616j -0.000864352-0.000812814j -0.00240312+0.00217183j 0.00119751-6.36105e-05j 
0.0873682-0.00512197j 0.16785+0.290367j -0.00507316+0.0156474j 0.0424834+0.00746066j 0.0429959-0.0378872j -0.00769858-0.00387277j 0.0111575+0.0114375j -0.00962051+0.000489007j -0.017479-0.0152933j 0.0150174+0.00368361j 0.0194224-0.00232339j 0.0164427-0.00136943j -0.0111501+0.00944014j -0.0242393+0.0195683j 0.000566537+0.00954316j -0.00311704+0.00412744j -0.00593552+0.0105087j -0.00496996+0.00134662j 0.0067229-0.0188357j -0.00653603-0.00142794j 0.0111231-0.00885829j 0.0128614+0.00269409j -0.0102659-0.00210693j 0.00549907+0.00783429j -0.00636712-0.00682294j -0.0121062-0.00252199j 0.00481205-0.000622199j -0.015976-0.00279177j 0.0103787-0.00429443j -0.00881595+0.00371318j -0.00695978+0.00162243j 0.00374596-0.00189234j -0.0101267+0.0131943j -0.000567797-0.00198418j 0.0012589-0.00708969j 0.00131835+0.000437018j 
0.26276+0.289239j -0.110598-0.133263j -0.0550063+0.00291572j -0.000107016+0.00375578j -0.000123058+0.00417302j 0.00407206+0.000334666j 0.00814783+0.00169089j -0.010236-0.000722867j -0.0151079-0.000297629j -0.00116319-0.00184606j -0.000788372-0.00643892j -0.00135622-0.00189667j -0.00442441+0.00297682j 0.000424237+0.00976768j -0.00230479+0.00265632j 0.00205801-0.00197519j -0.00335675-0.013138j 0.00121387-0.00171942j 0.00296039+0.0166306j 0.00267008+0.000416846j -0.0126466-0.00413532j 0.0024892-0.00852772j 0.0136251+0.0058822j 0.00869025+0.00713133j -0.00122858+0.00148856j -0.00866936+0.0060945j 0.00135011+0.00131327j 0.000502377+0.00146164j 0.00628775-0.0105515j -0.00832254+0.00276697j -0.000668248+0.000882126j 0.00335583-0.00407553j -0.00593256+0.0108124j 0.00350902+0.0010107j 0.000656025-0.00557952j -0.00060697+0.000715568j 
-0.222375+0.158151j 0.108372-0.108549j 0.00361987-0.0632226j -0.0140683-0.0157283j -0.0150752-0.00891584j 0.00986517+0.00138546j -0.0165787+0.0226997j 0.0161729-0.0362142j 0.00929083+0.0134922j 0.00159179-0.00109922j -0.00122372-0.01257j 0.00183721-0.00159525j 0.0043968+0.00423617j 0.00203111+0.0101846j 0.00183856-0.000478203j -0.00202726+0.000899916j -0.0177414-0.00577077j 0.000482946-0.00966218j 0.0277112-0.0125441j -0.00179543-0.00582955j -0.00104226+0.0159719j 0.00255239-0.00344389j 0.000517247-0.0169103j 0.00169019-0.0065655j -0.00340788+0.0019483j -0.00174269+0.0108996j -0.00167919+0.00154753j -0.00283644-0.000945351j 0.00069277-0.0105266j 0.000605391+0.00591087j -0.000673728+0.00146569j -0.000773187-0.00575863j 0.00220712+0.00759528j -0.00053209+0.00180594j -0.0012644-0.00238031j -0.000443805-0.000261524j 
