-0.0121767-0.0110516j 0.0106648-0.006926j 0.00436242+0.00723163j -0.00068144+0.0114615j -0.00691939-0.0242769j -0.000186425+0.00581879j 0.000468976+0.014093j 0.00373762+0.0120706j 0.00159162+0.0184145j 0.000148199+0.0102219j -0.00414709+0.00204393j 0.00776283-0.0164279j 0.0113396-0.0208154j -0.000132272+0.0337742j -0.0355865+0.0260363j -0.00136765-0.0124753j -0.00392825+0.0121143j -0.00665881+0.00804221j -0.00184357+0.00470523j -0.00114763+0.000127045j -0.0168443+0.0107518j -0.0134823+0.00680214j -0.010139+0.00403374j -0.00939592+0.00376889j -0.0155043+0.00722504j -0.014508-0.000110607j 0.00487811-0.00379512j 0.0137971-0.00236268j -0.0163843+0.000713296j 0.00862425-0.00329204j 0.0115275-0.00140178j -0.00569466-0.000163297j -0.00487741-0.00037551j -0.00661303-0.008637j 0.0132495-0.00141053j -0.0184477+0.0059384j -0.0238244-0.0148822j 0.00421421-0.00551186j -0.00478792-0.00405315j 0.00444321-0.00737868j 0.0105205-0.00275053j -0.00209185+0.000364471j -0.00170142+0.00405287j -0.00244703+6.39184e-05j -0.000670541+0.00035896j 0.00615292+0.00303644j 0.00090869-0.0068916j -0.0043258-0.00607932j 0.000474675-0.00218392j -0.00291607-0.00381038j 0.00289424+0.00705076j 0.00835047-0.00290177j -0.00741925+0.00026897j -0.00470913-4.88052e-05j 0.00330734-0.0069338j -0.00140816-0.0034668j -0.00399644-0.000884431j -0.00369313-0.00851622j 0.00612871-0.00824687j 0.00290919-0.00197365j 0.00729644+0.000788894j 0.00171253+0.001026j -0.00149022-0.00550351j -0.00841202+0.000597605j 0.00915782-0.00643097j -0.00352807+0.00155694j 0.000161565+0.00317478j -0.000469624-0.00296465j 0.00826524-0.000990587j -0.00504775-0.00627082j -0.00753834-0.0034102j -0.00283869-0.00662806j -0.00345813+0.00176837j 0.00868795+0.00296653j 0.00584819-0.00468793j -0.00233918-0.00155825j 0.00258807-0.00512935j 0.00502591-0.00335286j 0.00249862+0.00198436j -0.00171948+0.00682339j -0.0106719-0.00652251j 0.00327135-0.00734638j 0.0076723+0.00498338j 0.00247704-0.00492113j 0.00390072+0.00171718j -0.00163756+0.00661813j -0.00360333-0.00131792j -0.000672644-0.00530119j 0.00103161+0.00827721j 0.00420998+0.00461452j -0.00428279+0.00576915j 0.0126888-0.00400493j -0.0122606-0.00687302j 0.000389545+0.00288167j 0.00502317-0.00379404j 0.00258117+0.00877737j -0.00755201+0.00396215j 
-0.00445681+0.0145177j -6.96891e-05-0.00273626j 0.000341899-0.0347442j 0.0168593+0.0244702j 0.0494645-0.0484831j 0.00291342+0.011256j -0.0012993-0.00843479j -0.0142705-0.000205393j -0.00892397+0.0185934j -0.000665644-0.00110133j -0.00116689+0.00285366j 0.0019038+0.00721402j 0.00174872-0.00629779j 0.00845061-0.00287631j 0.00308183+0.00200964j -0.0116384+0.00290958j -0.00640535+0.0165466j 0.00162722-0.00546147j 0.00122267-0.001469j 0.00351166+0.00169578j -0.00227561+0.0143859j 0.00207651+0.00234957j -0.00187438-0.0078119j 0.0014839+0.00995751j 0.0013821-0.00433063j 0.001997-0.00738095j -0.00251761+0.00206366j -0.000992327-0.00390747j -7.73063e-05+0.00332612j -0.00103382+0.00413926j -0.000489629+0.00864047j 0.00149635-0.000908621j 0.00152916-0.00053423j -0.00123135+0.0013601j 0.000565025+0.000523803j 0.00168477+0.00240113j 0.000796932-0.00098544j -0.00295138-0.00678537j -0.0058737+0.00116103j -0.00190758-8.40212e-06j -0.000302844-0.00157599j -0.00783207-0.00337824j -0.00631512-0.00818274j -0.00948339-0.00628469j 0.00656+0.00649931j -0.00286742+0.0014854j 0.00219131-0.000876092j -0.000737057+0.00650645j -0.000740572+0.00794464j 0.0129377-0.00733079j 0.00967172+0.0107755j 0.000179084-0.0111402j 0.00214705-0.00368221j -0.00195946-0.000336864j 0.00360588+0.00185039j 0.0121631-0.00298094j 0.00643887+0.00856095j -0.0120018+0.012565j -0.000592946-0.000696j 0.00449081+0.00234372j -0.00225014+0.000311563j -0.00456815+0.00837237j -0.00752533+0.00910127j 0.009291+0.00254635j 0.00558398+0.00162712j 0.00320653-0.0140475j -0.000226875+0.00470232j -0.00550139-0.00120949j 0.00896701+0.00333114j 0.00974767-0.00699591j -0.00356494-0.00537731j 0.00560611+0.00260616j 0.000618178+0.0111833j -0.00319278-0.00149046j -0.000224859+0.00091269j 9.58006e-05+0.00320513j 0.00418178+0.00271068j -0.00765821-0.00198947j 0.00274494+0.00190516j -0.00213795-0.00219614j -0.00196349-0.00289638j -0.00674344+0.00120133j -0.000450229-0.000144744j -0.00176416-0.00296344j 0.00399772-0.00114j 0.00116123+0.000311555j -6.76642e-05-0.00389338j 0.00180045+0.000861368j -0.0014995-0.000507757j -0.00302217-0.00314387j 0.00212436+0.00355778j -0.00162378+0.00162627j 0.000827775+0.00233735j -0.00385146-0.00117396j 0.0012835-0.00127795j -0.0016118-0.000328218j -0.00233144+0.00103467j 
0.00918666+0.0108308j -0.00731426+8.59874e-05j -0.00903572+0.0011086j 0.0147634-0.0102165j -0.0301197-0.0267757j 0.00408713+0.00442713j -0.00291862+0.0112202j 0.00662049+0.0158846j 0.0138958+0.00381666j -0.00177829-0.00242799j -0.000450869-0.0016807j 0.000837795+0.00396097j -0.00162761+0.00248166j -0.00071413-0.00883666j -0.00359139-0.000576582j 0.00478281-0.00058095j 0.00504722+0.00360289j 0.00088339+0.0148562j -0.0017052+0.0246451j 0.00386472+0.0327786j -0.00289897-0.00435472j 0.00162106+0.00668835j 0.0053665-0.00380735j 0.00446347-0.0427341j -0.000443813-0.019961j -0.00395161+0.0220779j 0.00568499-0.00939273j -0.000562954+0.0113999j -0.000308843-0.0100537j -0.000990292-0.00201767j -0.00217465+0.0031075j -0.00430644+0.00785334j -0.00179185+0.00858151j -0.00140116-0.0021738j -0.00104546+0.00442414j -0.00238253-0.00285475j -0.00123619+0.00403815j -0.000479231-0.00469857j 0.000917459+0.00666101j 0.00682974+0.00469967j 0.000907334+0.00429379j 0.000936042+0.00308249j -0.00217817-0.00259071j 0.00219218-0.00311137j -0.0088183+0.00312037j 0.000114751-0.00359955j 0.00139506+0.000929009j -0.00584852+0.000247392j -0.00866905-0.00360215j 0.00292354+0.00806055j -0.00502701+0.0124931j 0.00482465-0.00249631j 0.00172944+0.000324824j 0.00108778-0.00174508j -0.00367584-0.00301258j 0.00269781+0.00241473j -0.00581951-0.00133562j -0.00609343-0.00462115j 0.00346703+0.00219522j 0.00116334+0.00192288j 9.9931e-05-0.00580151j -0.00363132-0.00375463j -0.00394107-0.00515712j 0.0021931+0.00389123j 3.47011e-05+0.00327727j 0.00927291+0.00346275j -0.00414464-0.000497621j 0.000478227-0.00244373j -0.000547272+0.00717718j 0.00588393+0.00598542j 0.00468224+0.000507884j -0.00196631+0.00408117j -0.0068334-0.00197089j -0.000261106+0.00095359j 0.00034322+0.00277756j -0.00290914-0.000422455j -3.41037e-05+0.000479524j 0.00164803-0.00652498j -0.00025247+0.00115998j 0.00144911-0.00243888j 0.00175856-0.000991044j -0.00239328-0.00334273j -0.000953255+0.00162875j 0.00291245-0.000436144j 0.00314414+0.00212772j -0.00132784-0.00118801j 0.00284364-0.000697852j 0.00120296+0.00198895j -0.00211308+0.000708326j 0.0042956-0.000354296j -0.00057458+0.000355493j -0.000295575-0.00162882j -0.00173951+0.000746838j -0.00158785-0.00108337j -0.00357389+2.97278e-05j 0.00121807+0.00337354j 0.00330669-0.0011856j 
-0.00320571-0.00242643j -0.00100859-0.00325652j -0.011916-0.0173321j -0.00628894-0.0227251j -0.00444131+0.00384227j -0.00414313+0.00409984j -0.0147146-0.0285535j -0.00323541-0.0162929j -0.00742317-0.0103226j 0.0216713+0.00589929j 0.025778+0.00784463j 0.0177952-0.020422j -0.0156434-0.0230293j 0.0206278+0.0274324j -0.0172941-0.0285929j 0.00764664-0.0101189j 0.000864444-0.00838155j -0.0145975-0.0045795j 0.0140708+0.00871364j -0.000306304+0.00326869j -0.00213008-0.00076577j 0.0119798+0.0086778j -0.0123039-0.0116495j -0.00159594-0.0112921j 0.00109871-0.0005979j -0.00336901+0.000822952j 0.00397016-0.00853921j 0.00164084-0.000414015j 0.00132851+0.00462202j -0.00253174+0.0234251j 0.000378367+0.00489351j 0.00541714-0.0056252j 0.00742301-0.0346913j -0.00356825+0.017743j -0.0134201-0.0493851j 0.0147844+0.0425338j -0.00839707-0.0300481j -0.00202997+0.0145299j -0.00405678+0.00288728j -0.00222408-0.00163337j -0.00240866+0.00456642j 7.44664e-05-0.00139832j 0.00980417-0.00827063j -0.00449788+0.00627034j -0.00356312+0.00241492j -0.000513948-0.00142655j 0.000791213+0.00177702j -0.000857944-0.000669991j -0.00515633-0.00357752j -0.00281917-0.000922881j -0.00289425+0.00500555j -0.000963252+0.00131531j -0.000636725-0.0013504j -0.00203754-0.000382247j -0.00183024-0.00440663j -0.00398817-0.000244579j -0.00123588-0.000980071j -0.000542393+0.000315747j 0.00252129+0.00466991j 0.00171508+0.00280824j -0.000689837+0.00053104j 0.00148369-0.00219687j -0.00429766-0.000302968j -0.000946066+0.00371417j -0.000447944-0.00185967j 0.00314722-0.000970712j 0.00198563-0.00223536j -4.20463e-05-0.000738364j -0.00559361-0.00272299j -0.00299819-2.71762e-07j -0.000490981-0.00371571j -0.000751401-0.000346146j -0.00256214+0.00328578j 0.00475574+0.000204739j -0.000720121-0.00175818j 0.00451037+0.00484897j 0.00201385-0.00652103j -0.00628959+0.002416j 0.0028361+0.00688532j -0.00111417-0.00194279j -0.00764625-0.00739801j -0.00207917-0.00146692j 0.00301995+9.43103e-05j -0.00782271-0.000106043j -0.00798662-0.00516071j -0.00527461+0.00496074j -0.000590479+0.00223998j 0.00629144+0.00138668j -0.00349496-0.00380426j -0.0241338+0.0038202j 0.0224509-0.00606284j -0.00686772+0.00425203j 0.00444663+0.00359063j 0.0243695+0.00495276j 0.0168874+0.0170287j -0.0155514-0.0173154j -0.0260887+0.0086117j 
0.0056834+0.00674217j 0.00556721+0.00105003j 0.00705334-0.00880142j 0.00760232-0.010375j 0.00149793-0.00241715j -0.0194459+0.00559799j 0.00122683-0.000459684j 0.0170502-0.00495351j -0.00904342+0.00667319j 0.012509-0.00758353j -0.0103476-0.00341158j 0.017719+0.0024698j 0.0017341+0.00353901j 0.00267248+0.0193034j 0.020049+0.0168053j 0.00305121+1.07833e-05j -0.000977864+0.0176669j -0.00472397-0.00751569j -0.0113402+0.0127548j 0.0102614-0.00948552j -0.00569003-0.000812123j -0.0032083-0.00300224j 0.00577615+0.0142943j -0.00119866-0.00340338j 0.000372615-0.000423494j -0.00479207+0.0071438j -0.00829533-0.012328j 0.00200346+0.000673384j -0.00863302-0.0236207j 0.00310335-0.0026093j 0.00841679+0.0335161j 0.00460839+0.00835663j -0.0155767-0.00553788j 0.00756594+0.0132663j -0.0010713-0.020672j 0.00262027+0.0216495j 0.0201232+0.0276375j -0.00837713-0.000459666j -0.000893154-0.0130079j 0.00187455-0.00175485j -0.00250498-0.00166046j -0.00776838+0.00684657j 0.00377741+0.011178j 0.00113575-0.00838871j 0.00218259-0.00219129j 0.00144919-0.00103064j -0.00465142+0.00158309j -0.00310981+0.0065381j 0.00592663+0.000978713j 0.0044988+0.00231448j -0.00202469+0.00285684j -0.00396801-0.00249324j -0.000625892+0.00181603j -0.0034582+0.00225803j -0.00789232+0.00209932j -0.00267831+0.000367808j -0.00248893-7.75256e-05j 0.000824692+0.000364164j 0.00651142+0.00201972j 0.0011698-0.00163402j -0.00112059-0.00394937j 0.000788961-0.0068265j -0.000161936-0.00300632j 0.00103633-0.00429643j -0.000457968-0.0011071j 0.00386572+0.0050383j -0.00216279-0.00118992j 0.00283373+0.000166252j -0.00108335+0.000891185j -0.00401015-0.00231333j 0.001321-0.00121597j -0.000154194-0.00275432j -0.0002462+0.00604098j 0.00116186-0.00637426j -0.00228957-0.00285886j 0.00530523+0.000826395j -0.00514197+0.00223876j -0.000885688-0.00180354j -3.83346e-05-0.00262918j 0.00261707+0.00485104j -0.0109256+0.0051266j -0.00640803+0.00696508j -0.0052312-0.00303465j -0.00304338+0.00842356j 0.00471492+0.00845j 0.00594958+0.00337658j 0.00100374+2.56265e-05j -0.00491364+0.00210235j 0.0212266-0.00635508j 0.0154147-0.0100437j 0.0114195+0.000925656j 0.00812421+0.00376246j 0.00919985-0.00609635j -0.0128893+0.00419905j 0.0140787+0.00649114j -0.0299019+0.00280975j 0.0175238+0.0201094j 
0.00215094-0.00367335j -0.0151665+0.0286727j -0.0147905+0.0539891j -0.0195429+0.048616j -0.00147684-0.0233806j 0.0146147+0.0170036j -0.0138566+0.0625346j -0.0146217+0.0211191j -0.000880497+0.0335433j -0.00575292-0.0283091j 0.0152083-0.021664j -0.0184307+0.0392893j -0.0160693+0.0736825j 0.00135966-0.0375176j 0.00710515-0.0580105j 0.0106787-0.0418625j 0.00441174+0.0141826j 0.00520845+0.0349569j -0.00859373-0.014136j 0.00916397-0.00515843j 0.00371212+0.0106144j -0.026155-0.00646017j 0.00756454+0.0021927j -0.00524913+0.000959621j 0.0053532-0.00764804j -0.0200337+0.00687292j -0.0207292+0.00351142j 0.00934515-0.00343804j -0.0261523+0.0116293j 0.00889975+0.00363247j 0.00770762-0.0065065j -0.00793605+0.00431044j -0.00619037+0.00284317j 0.0394179-0.011789j -0.0298829-0.0037015j 0.00995647+0.00318457j 0.00965723-0.0301639j 0.00339771-0.00285847j 0.0084062-0.0193682j 0.00819524+0.00273318j 0.0097857-0.0144873j -0.0102042+0.0230188j -0.0148841+0.011467j 0.0189161-0.0210595j 0.00530757+0.00597838j 0.00894036-0.0112136j -0.00903039+0.00484862j -0.00585537+0.0124477j 0.00203483+0.00029522j 0.0076751+0.00311872j 0.00125344-0.00443115j -0.00583166+0.00734328j 0.00445296+0.0012102j -0.00437442+0.00626621j 0.00184657-0.0102899j 0.00403621+0.00492476j 0.00727396-0.00125786j 0.000757711+0.00562998j -0.00275204+0.0069316j 0.00182762-0.00623929j -0.00289944+0.00141198j 0.00228055+0.000188764j -0.00390062+0.0126443j 0.00397921-0.00298624j -0.00643862+0.00195036j 0.000697035-0.00199102j -0.000931664-0.00415634j 0.000545673+0.00331634j 0.000523835-0.00133292j -0.00568789+0.00408571j -0.000117638-0.000750133j -0.00492019+0.00220992j 0.00146022+0.00341404j 0.00980476+0.0015014j 0.00155846-0.00128936j -0.00453171+0.0015304j -0.0056236-0.0113567j 0.00604414-0.000189418j 0.00117265-0.000839481j -0.00102821-0.000910325j -0.00884025-0.00699922j 0.00127612-0.00512863j -0.000223172-0.000417325j -0.00305344-0.0062283j -0.00257664+0.00469484j 0.00121507+0.00523039j -0.00395622+0.00452492j -0.0034829+0.00757885j -0.00996676-0.0037726j -0.00858973+0.00600615j 0.0123423-0.00709491j -0.00357489-0.00339718j 0.012812-0.0124111j 0.0216101+0.000228876j 0.0413993-0.0105813j -0.00273294-0.0230569j 0.0237911-0.0229518j 
-0.0132957+0.0198164j -0.0132697+0.0266311j -0.00805737+0.0343603j 0.00377316+0.00789784j -0.00392853-0.0186465j -0.000618478-0.0013901j 0.0103843+0.000138819j -0.00295556+0.0132252j -0.00359522-0.00286218j -0.00664677+0.0266381j 0.00217545+0.0209877j -0.0144645+0.0436039j 0.0215801-0.0381098j -0.0735584+0.120358j -0.00978348-0.0574085j 0.0155032-0.0204962j -0.0285441+0.0549313j 0.000600314+0.0117881j -0.0113977+0.00243045j 0.00693281+0.0128735j 0.00348904+0.000256828j -0.0128833+0.00966644j 0.00450401-0.0123328j -0.00202645-0.00198533j 0.00235057+0.0158793j -0.00438055-0.0106756j -0.00668532+0.00350519j -0.00117794-0.00112053j -0.00225157-0.00648075j 0.00429357-0.00056052j -0.00812374-0.0114037j -0.0116144-0.00837084j -0.00142062-0.00435048j 0.00511046+0.0249562j 0.028451-0.0241819j -0.0314099+0.0311443j -0.00208298+0.00157831j 0.0137851-0.0133686j 0.0111655-0.0140691j -0.00227127+0.0116364j 0.0109401-0.00609551j 0.00322639-0.00425872j -0.0199106+0.013936j 0.00432261+0.00526835j 0.0054511-0.00343969j -0.00135438+0.00396323j 0.000252099-0.00373773j -0.00561844+0.00735653j 0.00766449-0.00278416j 0.00253794+0.00226903j 0.000613699-0.00348848j 0.0024632-0.00406354j -0.00250735+0.0051691j 0.000996548+0.00406997j -0.00799312+0.00714408j 0.00650883-0.00266366j -0.0043881+0.00487842j 0.00324487-0.00322845j 0.00307277-0.00584459j -0.0023254-0.00273451j 0.000832863-0.0044413j -0.00557132-0.00553617j 0.00257032-0.00714614j 0.000630828-0.00209097j -0.00150309-0.000711752j -0.000778066+0.000407233j -0.00116724+0.00433006j -0.00337702-0.00213168j 0.000536263-0.00660548j -0.000781312-0.00264458j -0.00504994+0.00740731j -0.00643548-0.00436672j 0.0126298+0.00106465j -0.00378435-0.0088939j -0.00387699-0.000410803j 0.00255793-0.00180418j -0.0104054+0.00330394j 0.00579636-0.000360195j -0.000691085+0.00100665j 0.00352278+0.0028267j -0.00600069+0.00818515j -0.00211453+0.0113393j -0.00920733+0.000126221j 0.00474353+0.00382116j -0.00206368+0.00175188j 0.0111834-0.00906921j 0.000876472-0.00467077j 0.00904265+0.0021966j 0.00399574+0.00256479j -0.00415769-0.00483373j -0.00970962+0.000857753j 0.0245118-0.0222211j -0.0119457-0.00257736j -0.0135691-0.00824404j -0.00382731+0.0104904j 0.0230011-0.0251388j 0.00216751+0.0231098j 
0.00473759+0.00326066j -0.0257659-0.0245108j -0.0265501-0.0242363j -0.0329747-0.0266024j 0.0218221+0.00849496j -0.00948082-0.00507134j -0.0491378-0.0322367j -0.0196463-0.00785439j -0.0248701-0.0181614j 0.0285751+0.0222342j 0.0299397+0.0125423j -0.0314228-0.0309191j -0.0704188-0.0567087j 0.036914+0.0194531j -0.026302+0.0172173j 0.0210825+0.03336j -0.0128055-0.00588468j -0.010735-0.00612132j 0.00787263-0.00269819j -0.0034091+0.000274889j -0.00603475+0.000139646j 0.0025291-0.0223899j -0.0048558+0.0153762j -0.00223428+0.00469822j 0.00191937-0.0060255j -0.00491906-0.0179006j -0.00508919-0.016342j 0.00344854+0.0172593j 0.00132753-0.0255334j 0.00688941+0.00936231j 0.00683348+0.00494071j -0.0146834+0.00592027j 0.0125582-0.0164519j 0.0115502+0.0321399j -0.0211203-0.0355696j -0.00277659+0.00431077j -0.0142413+0.00255487j -0.00490755-0.00824364j 0.00981949-0.00307897j 0.00270741-0.00135279j 0.00556887+0.000922761j -0.000806436-0.00816322j -0.00572145-0.00648039j -0.00301248+0.00309365j 0.00406784-0.00626181j 0.00625384+0.010844j 0.00450919-0.0037632j -0.00165157-0.0103949j 0.00945806+0.0128422j 0.00432514+0.00169259j 0.000849654-0.00817996j -0.00192077-0.0048594j -0.000317052+2.97566e-05j 0.00281268-0.00341386j 0.00413643+0.0053259j 0.000179478-0.00643441j -0.00290452+0.00138367j 0.00306871-0.00226936j 0.00228695-0.00357581j 0.000430639+0.00133657j 2.75503e-06-0.00243778j -0.00254424-0.000853637j -0.00237111-0.0082381j 0.00159644-0.00273996j -0.0064959+2.37029e-05j 0.00394051+0.00257022j 0.00146988+0.00491964j -0.00636499-0.00260899j -0.00230121-0.0067476j 0.00033257-0.00428534j 0.0042362+0.00489164j -0.0111447-0.00128505j 0.00228492-0.00566334j 0.00227683+0.00531996j 0.000535096+0.00172527j -0.0054361-0.00203803j -0.00142673+0.000560817j 0.00534041-0.00660553j -0.00610544+0.00804159j 0.00517665-0.00727531j -0.00137148+0.00322802j 5.20686e-05-0.0016513j 0.000187615-0.00014576j 0.00819779-0.0148369j -0.00346955-0.0122903j -0.0101034-0.0081126j -0.000932765+0.0037828j -0.00101633+0.00247684j -0.017904+0.000675141j -0.00174471+0.0115474j 0.00614505+0.00740908j 0.00284862-0.000285592j -0.00714893+0.00980204j 0.0243626-0.0157137j -0.0016866+0.0289237j 0.00791528+0.0147745j 0.0144089+0.00877476j 
0.0242889-0.0299844j -0.0173778-0.0225209j -0.000866915-0.0527781j -0.0123962-0.0276747j 0.0107513+0.0107338j -0.0094759+0.002854j -0.0138507-0.0345388j 0.0130132-0.0318711j -0.00388579-0.0144089j 0.0278901+0.00820757j 0.00328338+0.0281474j 0.012163-0.0204833j -0.0423237-0.0136338j -0.0417215-0.011655j 0.10441-0.0915229j 0.0538755-0.010908j 0.0252358-0.0545221j -0.0166648-0.0220212j 0.0170527+0.00844998j -0.00209077-0.010296j -0.0120098+0.00645217j 0.0204801-0.00866925j -0.0095787-0.00154281j 0.00268026-0.000302021j -0.00170173-0.00651612j 0.00387461-0.00227977j 0.00745768-0.0013328j 0.00212584+0.00835744j 0.0109245-0.010687j -0.00415204-0.0080552j 0.00476873-0.00352781j 0.00467481+0.000698845j 0.00711199+0.0212981j -0.00242653+0.0138706j 0.00931386-0.0237731j -0.0283329+0.00958696j 0.0187278-0.017892j -0.0201115+0.0163501j 0.0108924+0.00586556j 0.00822928-0.0117089j 0.00172343+0.00105472j -0.0141608-0.00613026j 0.00698525-0.00100475j -0.00348192+0.00323507j -0.00449103+0.00447657j 0.00805389+0.00185026j 0.000916689+0.000750416j -0.00260466-0.00435032j 0.00414395+0.000477309j 0.00076784-0.00160367j -0.00425314+0.00548008j -0.00070089-0.00383025j -0.00071128+0.00240265j -0.00250802-0.0031636j -0.00451256+0.00522211j -0.00651995-0.00373999j -0.00125748-0.00440358j -0.0011997-0.00487342j 0.00256311+0.00132229j 0.00405904+0.00250949j 0.00345824-0.00377388j 0.00782441-0.000120064j -0.000996462-0.000770408j 0.0039989-0.0023721j -0.00163334-0.00391894j -0.00123649+0.00401695j 0.00401066-0.00292605j -0.000729921+0.00170967j -0.00482457-0.00215488j -0.00140193-0.00205707j 0.000639614+0.00669823j 0.000647051+0.00223265j -0.00872415+0.00402911j 0.00296432-0.00340148j 0.00118553+0.00124007j 0.0064969+0.00818114j -0.00681239-0.00455108j -0.00132448+0.00354325j 0.00585679+0.00377856j -0.00365291+0.00130864j -0.0135736+0.00230714j -0.00475716+0.00072874j -0.00241815-0.00108555j -0.00581153+0.00435912j -0.0128557+0.00617669j 0.00561462-0.00510297j 0.00120956-0.00856694j 0.0158965-0.0132739j 0.00729431+0.000613037j 0.00318403-0.00138507j -0.00626916-0.0139899j 0.0161119+0.0084487j 0.0190109-0.0149842j -0.0105195+0.00724708j -0.0127272+0.0198267j 0.00568703-0.004492j 0.0100871-0.0100937j 
0.0317858+0.00430373j 0.047595+0.00940529j 0.0919516+0.0250725j 0.0740952+0.0249544j -0.016122-0.00909874j 0.00444362-0.00240358j 0.0798837+0.0309665j 0.0484413+0.0111619j 0.0443756+0.0111274j 9.30377e-05+0.0122832j -0.0242256-0.0145397j 0.10182+0.0171704j 0.0466486-0.0106295j -0.0044083-0.0178531j -0.0719518-0.0350537j -0.0544398+0.000372491j 0.0413554+0.00370559j 0.0400357-0.00374249j -0.0375459+0.00483664j 0.0115841-0.0121935j -0.0114762+0.000751454j -0.00364118+0.00794391j 0.0076734-0.000214081j 0.00426321+0.00768858j 0.00607358-0.0113795j -0.00163595+0.012207j -0.00347507+0.00757757j 0.00427173+0.00867828j 0.0114203+0.00105848j 0.00756386-0.00766109j 0.0260035-0.00195889j -0.00782471+0.0114987j 0.0105451+0.00924548j -0.0230615-0.00840117j -0.0316193-0.00698069j 0.0122161-0.0088995j -0.00414688-0.0136583j -0.0028769+0.0042804j -0.00698916-0.00439322j 0.0097365-0.00113139j -0.0156811+0.00216251j -0.00598924+0.000870436j 0.00135124+0.0130482j -0.00236067-0.00495037j -0.00570245+0.00278004j -0.00957256-0.00313691j -0.0110106+0.00318007j 0.00503638+0.00928429j -0.00424014+0.00237716j -3.36554e-05-0.000247104j -0.00246375-0.000149687j -0.00333935+0.0017004j 0.00150527+0.000283672j -0.00219343+0.00570335j -0.0114562+0.00233441j -0.000884399+0.00260024j 0.00338152-0.00613551j 7.19537e-05+0.00131406j 0.00460156+0.00148983j -0.00250091-0.00481069j -0.00744637+0.000233751j 0.00112748-0.0053012j 0.00409268+0.00421884j -0.00511043-0.00444507j 0.00155569-0.00310947j 0.000150463+0.00319796j -0.00252918-0.00429302j 0.00596814-0.00315283j -0.0030644-0.00107383j -0.00326315+5.91051e-05j -0.000589459+0.00579525j -0.004969-0.000594129j -0.00085973-0.000116041j -0.0035387+0.00728885j -0.000234036+0.00414414j 0.00168434-0.00562238j -0.00225834-0.00837929j -0.00592029-0.0102917j -0.00155133+0.00623958j 0.00287328-0.00649047j -0.00355254+0.00956686j 0.00360488-0.00572346j 0.00262913+0.0029314j 0.00327776-0.00500073j -0.00254745-0.00663473j -0.00824348+0.000782239j -0.00129611+0.00579792j 0.00765144+0.00558541j -0.0147834+0.011694j 0.0162602+0.00339747j 0.0177405-0.0160739j -0.00420713-0.0113854j -0.0124895-0.0119678j 0.00995828+0.0123484j -0.0152177+0.00605483j -0.0233505-0.00316533j 0.00568975-0.0040485j 
0.0411657+0.0344445j 0.0277828+0.0243515j 0.0315679+0.0600957j -0.00429241+0.0183717j -0.0242989-0.0133642j 0.0194268+0.0158078j -0.00440685+0.0100983j -0.00253569+0.0171879j 0.0093938+0.0172291j 0.00691293+0.0212831j 0.016825+0.0149827j 0.0162657+0.0386977j -0.0724599-0.0443552j 0.161472+0.0521839j 0.0473862-0.00401038j -0.018975+0.00276834j 0.0924541+0.0566802j 0.0279067+0.0181083j 0.00807563-0.000196523j -0.00162246+0.0048804j 0.013932-0.0107964j 0.00089324+0.0152086j -0.000621849-0.00486677j -0.00046479+0.00389421j 0.00623632+0.0158554j 0.00168205-0.00330903j 0.00328475+0.0102521j -0.00425171-0.00380588j 0.0029758+0.0021914j 0.00126742-0.00401758j -0.00698015-0.00155566j -0.00520527-0.00735003j 0.00797357+0.00941856j 0.0131342-0.00409072j -0.00642468-0.0221066j -0.00971023+0.0153853j 0.0343767-0.00796312j -0.00353783-0.0141925j -0.00957693-0.0105614j 0.0097244+0.00907868j -0.00617634-0.00528779j -0.00469076+0.0025748j 0.0034259+0.0150388j 0.00695697-0.000738259j -0.00235527-0.00769957j 0.000597776-0.00318426j -0.00757508-0.00901101j 0.00279003+0.00833636j -0.00199765-0.010618j -0.00308547-0.000174738j 0.00062971-0.00513115j -0.00480548-0.00181798j 0.0031086+0.00152208j 0.000697473+0.000989116j 0.00557943+0.000867785j -0.00567135+0.00167889j 0.00210597+0.00726037j 0.000260536-0.00120709j -0.000362794-0.00242026j -0.000220661-0.00381046j -0.00386616-0.00411778j -0.00351883-0.00435033j -0.00384337-0.00243283j -0.00310046-0.00520723j -0.00396891+0.00516746j 0.00107771-0.000359442j 0.00036877+0.00153204j -0.00234599+0.00348768j -0.000791268-0.00210518j 0.00141068-0.00419485j 0.00198799+0.000960228j 0.00209465+0.00673241j 0.000497897+0.00201805j 0.00328462-0.00291985j 0.000415867-0.00368623j -0.0050945+0.00741959j -0.000750449-0.00243611j -0.00267562-0.00101971j 0.00608885-0.000342952j -0.00225292+0.00301575j 0.00215442+0.0059332j -0.00480849+0.00842088j -0.00404588+0.00585675j -0.00459081-0.00488079j -0.00603612+0.00430314j 0.00385531-0.00836375j 0.0084074-0.00555661j 0.0043825+0.0112561j -0.00960023+0.00473949j -0.00547453+0.00630659j -0.0178274+0.00590063j -0.00940884-0.00332939j 0.0168418+0.0119572j -0.000760944+0.0106512j -0.006185-0.00371726j 0.00438367-0.0129741j 0.0259695+0.00248198j 
