-0.00467855+0.0270515j -0.0432802-0.0148168j -0.0162254-0.0281584j 0.0143804-0.0183524j -0.00674314-0.00937187j -0.00140115-0.0239637j -0.00961231-0.0178451j -0.000295934-0.0157813j -0.00569143+0.00304268j -0.00329434+0.00524055j 0.00301672-0.0048932j 0.0238005-0.00482914j 0.0240922+0.00234899j 0.0225983-0.0134359j -0.00372391+0.00924198j -0.0270541-0.0160474j 0.0138126+0.00126691j -0.00308174-0.00618896j 0.00303815-0.00557917j -0.00469882+0.00117436j -0.00175738+0.00201352j 0.00572941-0.00587643j -0.00383563+0.00302886j -0.000507579-0.000866777j 0.00171873-0.00402182j -0.00167136-0.00363649j -0.00195766-0.000298192j -0.000901577-0.000182672j -0.000363577+0.00193682j 0.000482014-0.00318176j 0.000425045-0.00183809j 0.000832658+0.000431903j 0.000526996-0.00231133j 0.00202651+0.00491648j -0.00271344+0.00362848j 0.0110523-0.0043816j -0.00896825+0.00991321j 0.00156762-0.000643316j -0.00192568+0.00940907j 0.00164413+0.00212183j -0.00034418-0.00832108j -0.00145798+0.00196759j -0.00111859+0.0068917j -0.000732221+0.00274189j 0.00200745-0.000547278j -0.00135344-0.00130046j -0.0038211+0.00317801j -0.00286931+0.00634554j -0.00194357+0.0020283j -0.00330836+5.79228e-05j -0.000868442-0.000173399j -0.00238732+0.00183907j 0.00578843-0.00361765j 0.000956307-0.00269894j 0.00195304-0.00217882j 0.00246318-0.00283127j 0.000711012+0.000943571j -0.00154361+0.00134525j -0.0011567-0.00118827j -0.00156575+0.000559326j -0.00229038+0.00121738j -0.000348625+0.00186895j -0.000507425-0.0014243j -0.00184855-0.000617476j 0.00350997+0.000651724j 0.00123856+0.0021503j -0.00132387+0.000792312j -0.000941341-0.00117171j 0.0014221-0.00233517j 0.000119299+0.00113934j -0.00314979+0.000374874j -0.00151462-0.000988725j 0.00169983-0.000300244j 0.00186802-0.00123004j -0.000350543-0.000979643j 0.00289149+0.000402932j -0.000621483+0.00152286j 0.000223095-0.000117604j -0.0013403+0.00303423j -0.00169703+0.000779675j 0.00192726-0.00273923j -0.00289034-0.00177455j -0.00352968+0.00208106j 7.63349e-05-0.00130383j 0.00431373+5.90361e-05j 0.000116032+0.00160747j -0.00326754+0.00373294j -0.00534854-0.00474779j -0.00278561+0.00222729j 0.00126295-0.00418236j -0.000859195+0.00163234j -0.00438861-0.0126792j -0.0287502-0.0245975j -0.00932859-0.000413461j 0.004005+0.00300545j 0.00689044-0.00781391j 0.00400683+0.0123749j 
-0.0138312-0.0650597j -0.0349679-0.0611525j -0.040544-0.0231443j -0.0599721-0.0426417j -0.0831156+0.0080918j -0.0956424+0.0958881j 0.0693448+0.0639219j -0.0194555-0.00854681j -0.0466916+0.0247155j -0.0307563+0.142287j -0.0445781-0.0985123j 0.0179894+0.0449978j 0.0321044-0.048236j -0.0443521+0.112688j 0.0657031+0.04366j -0.0617642+0.013384j 0.0563271+0.0733972j -0.0223413-0.00499849j 0.0118872+0.0146162j 0.00185312-0.0212747j 0.0131245-0.00446491j 0.00148139-0.0123211j 0.00994143+0.00387644j 0.00109258-0.00609403j -0.0102494-0.0108436j -0.000786648+0.00438805j 0.0143091+0.00451762j 0.0022695+0.00357293j -0.0163656-0.00379637j -0.00957324-0.0068817j -0.0192866+0.021316j -0.01205+0.0118546j -0.00755844-0.0147068j 0.0104302+0.00674493j -0.0199556-0.00516864j 0.00465157+0.015549j 0.0025968-0.00883394j 0.00384745-0.00143503j -0.0047201-0.00763643j -0.00210957+0.0146922j -0.0188463-0.00491184j 0.00204403-0.004563j 0.00709614-0.00411258j -0.00296547-0.00736958j 0.00291772+0.00662536j 0.0179949+0.00297961j 0.00145538+0.00124347j 0.00484746-0.0055203j 0.00702899-0.00900764j -0.00157874-0.000670148j 0.000173775-0.00490919j -0.00561875-0.000402264j -0.000539197+0.0102564j -0.00202609-0.00143624j 0.00643431+0.00434983j 0.0088144-0.00154131j 0.000280776+0.0042886j 0.00166168+0.00204929j 0.000227272-0.00150111j 0.00647427+0.00434169j 0.00122544+0.000886612j 0.00170405+0.00598903j 0.000504968-0.00346847j -0.00230416-0.0091694j 0.000285913+0.00341082j 0.007853+0.00199519j -0.00158957+0.00319413j -0.0015953+0.00084285j 0.000747255-0.00432184j 0.00534767+0.00393512j 0.00588512-0.00140849j -4.49452e-05-0.00074297j -0.00527786-0.00195284j 0.0024831-0.000891242j 0.00765703-0.0038246j -0.00420625-0.00644495j -0.000411189+0.00259365j -0.0089136+0.00438792j 0.00903206+0.00535441j -0.00603938+0.0232011j 0.0147322-0.00403588j 0.0161145+0.00702331j -0.0179212+0.00330741j -0.00294991-0.017483j 0.00290688+0.0120432j 0.00541532-0.00274331j 0.010829-0.0109195j -0.00268829-0.00651074j -0.00409929-0.00305799j 0.00357183+0.0110516j 0.00229999-0.00372633j 0.00554904-0.00550403j -0.0042459-0.00871587j 0.00364618-0.0155708j 0.0133027+0.00539593j -0.00794383+0.00931658j -0.003247+0.00704415j 
0.0616678+0.0691249j 0.0288214-0.0533642j 0.113097+0.0576481j 0.00676641+0.0741871j 0.0437032+0.0386002j 0.0237571+0.0241988j -0.0452779-0.0620926j -0.165481-0.0422177j 0.0235726-0.0264185j 0.00674862-0.0556355j -0.00978168-0.0144454j -0.0444396+0.114229j 0.0639471-0.10519j -0.222939+0.0366573j 0.0454066+0.237607j -0.0400163-0.0280577j -0.0834047+0.00537345j 0.0234678+0.0183652j -0.0171457-0.0287711j 0.0194773+0.00338112j 0.00804618+0.00462936j 0.00700863-0.00791636j 0.00485942+0.00548706j 0.00610112+0.00304383j 0.00116782-0.0161065j 0.00436193-0.00393116j -0.00589617-0.0071658j -0.000917051+0.00632291j 0.0202737+0.0138146j 0.00150515-0.000269888j -0.000205208-0.0247733j -0.0130328-0.00493043j 0.016455-0.00501088j -0.0339327+0.0073954j -0.010893-0.00873875j -0.0168311+0.0154643j 0.00349974+0.0174634j -0.00507137-6.37055e-05j -0.00981619+0.00164752j -0.0250619-0.00422711j 0.0105101-0.011883j 0.000355935-0.00452188j -0.00890417-0.00250413j 0.00676591+0.00800503j -0.00464973-0.000446587j -0.0123059-0.0107745j -0.00389795-0.00123359j -0.00516777-0.000781606j 0.0021404-0.00236762j 0.00626936-0.000161595j 0.00354721-0.000858694j 0.0038138+0.00355527j -0.00583568-0.000633848j 0.00326401-0.00232064j -0.0113583-0.00202379j -0.00223202-0.00683047j 0.000381804+0.00365606j 0.00939767+0.00230088j 0.00506374+0.000384495j -3.76855e-05-0.000202146j -0.00192733+0.00280801j -0.00423767-0.000488943j 0.00196586+0.000841307j 0.000961267-3.02922e-05j -0.00128834-0.00162467j -0.0040259+0.00800523j 0.00154994+0.00184235j -0.00177062-0.000223509j 0.00132171+0.000257262j 0.00347225-0.000614649j -0.000537573+0.00435792j 0.00687287-0.00573284j -0.000354765-0.00144274j 0.000125226-0.00219507j 0.00199236+0.00549992j -1.70584e-05-0.00304356j -0.00244251-0.000790702j -0.00136054-0.00373602j -0.00791412+0.00797631j -0.0155923-0.00853111j 0.00235026+0.00725897j -0.00108303-0.000503147j -0.00273806-0.00362117j 0.0105121-0.0015371j -0.013983+0.00510705j 0.00209795+0.00389649j 0.00319462+0.000805834j 0.0139662-0.00484045j 0.00602252-0.00144447j -0.00449641-0.00342111j 0.000333359+0.00601671j 0.00456714-0.00162716j -0.0115492-0.0167028j 0.0126366+0.000827587j -0.0146986+0.00919689j 0.00249337+0.00691152j 0.00683257+0.0108801j 
0.0115764-0.019926j -0.0483943-0.00328916j -0.0134557+0.0410929j -0.00994063+0.0148009j -0.0109088+0.00509402j -0.0267735+0.0325668j 0.0552925-0.0491577j 0.0475561-0.00609527j -0.14125+0.0772475j 0.0453403+0.0147289j -0.0556283-0.0980613j -0.0717818+0.091905j 0.119404+0.0831079j 0.142307-0.120916j 0.00271845-0.147248j -0.0407682-0.0229328j -0.0098026+0.000153078j 0.00316431+0.0137235j 0.00860441-0.00686572j -0.0059211-0.00520005j 0.00954537+0.00726894j 0.00878601-0.00623842j -0.00338794+0.00619575j 0.00149791+0.000285136j 0.000271826-0.00172129j -0.00416488-0.00133409j -0.00486307+0.0111318j -0.00413169+0.00913012j -0.00146874-0.00968939j -0.0116792+0.0022948j -0.0291748-0.000193775j -0.000862452-0.0016986j -0.00360464-0.0234925j -0.00431181+0.0246516j -0.0315295-0.00803427j 0.00974003+0.006719j 0.0203924+0.00687383j 0.00652272-0.00728558j -0.00150755+0.00821782j -0.00295461+0.00274632j -0.0074738-0.000605053j 0.00159078-0.00207271j 0.00363013+0.00596174j -0.00105736-0.00133174j -0.00440583+0.00510677j -0.000252016+0.0024603j -0.00912069-0.00442682j -0.00227825+0.00059684j 0.00150585-0.000195136j -0.00517647-0.00444857j 0.0027108-0.00207452j 0.000169658+0.00201605j -0.000786051+0.000538512j -0.00347212-0.00332518j 0.00419033+0.00101158j 0.00254916+0.000916459j 0.00174487+0.00116965j -0.00175215-0.000114324j -0.00284065+0.00048234j 0.00205751+0.000516474j 0.000635965+4.08865e-05j 0.000747866+0.000883981j 0.0052567-0.00696239j -0.00332877+0.00659226j 0.00477621-0.000779219j 0.00476016+0.00314555j -0.00317921-0.00122466j -0.000783109+0.000527082j -0.0017244+0.00392324j -0.00122467+0.00353565j -0.00729093+0.00435967j -0.00468528+0.00482126j 0.00254141-0.00275846j 0.000884539+0.00220683j 0.00167294+0.00822433j 0.00864506-0.00178466j -0.00461836+0.00347322j 0.00305742-0.00323095j -0.00970517+0.00616348j -0.00728453-0.0101614j 0.000444847+0.00875149j -0.00778134+0.00558672j -0.00253336-0.0146065j 0.00495496+0.00327589j -0.00465338+0.00153711j 0.000383809+0.00176131j 0.00651836+0.00150171j 0.00787699+0.00318249j -0.00462745+0.00078697j -0.0041747+0.00653674j 0.00094794+0.00219569j -0.000346219+0.00549542j 0.0112296+0.00630442j 0.0092579+0.00342219j 0.00494043+0.00554974j 0.00117523-0.00912913j -0.0120038-0.000336767j 
0.0123631-0.0109945j 0.00820895-0.0149484j 0.0655406+0.106964j 0.0749086-0.0220484j 0.00776766-0.00637631j -0.0379029-0.0595908j -0.0984736+0.0520715j -0.0786691-0.0268014j 0.148305-0.00127218j 0.00273426-0.122933j 0.06006+0.146547j 0.111909+0.0213109j 0.0937769-0.0922853j 0.143282+0.208017j 0.0861787-0.161682j 0.0204259-0.0113176j -0.039775-0.0288125j 0.0358424+0.0268047j -0.02558+0.0121681j -0.00428357-0.00550852j 0.00069709-0.00726446j 0.00234846+0.0221229j 0.00352718-0.0184056j 0.00067683-0.0021202j -0.00331219-0.00652736j -0.018023-0.0049278j -0.00596798-0.0120946j -0.010177+0.00356998j 0.0251788-0.00516261j 0.000662994+0.0154992j 0.0154114-0.0171088j -0.0152043+0.00573947j 0.0124374+0.0212107j 0.0196158+0.0191551j -7.71369e-05+0.00989328j -0.0101042+0.00577061j -0.0078113-0.0279364j 0.0133135+0.0106311j -0.00449843+0.00710094j -0.00497802+0.000370033j -0.00151978+0.00374527j 0.00186766+0.00400588j -0.00604784-0.00708269j 0.00232285-0.00179659j 0.000233563-0.00247245j -0.0134713+0.00098139j -0.0116502-0.00965889j -0.00297074-0.0021042j -0.00161354+0.00711295j -0.00409405+0.000841426j 0.00215803+0.00155204j 0.00102777-0.00584415j -0.00336097+0.00401001j -0.000537561+0.00299292j -0.00110111+0.00596299j -0.000927298+0.0107106j 0.00732221-0.00597884j 0.00117037-0.00788618j -0.00265477+0.00139535j -0.000724183-0.00064351j -0.000500467-0.00220434j -0.000633935-0.00114743j -0.00545725+0.00727283j -0.00412725+0.000705787j 0.000718425+0.00246292j 0.00127569-0.00743962j -0.00101799-0.00390852j -0.00604773+0.000493467j 0.00238461+0.00216606j 0.00096721-0.00667339j 0.00385871-0.0023674j 0.00280155-0.0127599j -0.000699496-0.00139607j 0.00401605-0.00607682j -0.00507156-0.00211955j -0.00841612+0.00336271j -0.0035581+0.00249767j -0.0122056-0.00439794j 0.00776877+0.00705778j -0.0121117-0.00695755j 0.00488045+0.00652141j -0.00730979+0.00113526j -0.00443938+0.00691567j 0.00916155+0.00477184j 0.00264774+0.00671105j 0.0042277-8.42127e-06j -0.00331514-0.0139898j -0.000841744+0.00396437j 0.00408235-0.000372316j 0.00205252-0.000958297j 0.00201514-0.0058353j -0.0363185+0.0006289j -0.00436128+0.00314923j 5.78081e-05-0.00745253j -0.00630501-0.00403981j 0.0197135+7.03885e-05j -0.00556945-0.0142138j 
0.0208509+0.01961j 0.024278+0.0169953j 0.0779821+0.0878979j 0.0112333+0.0169008j -0.0553779+0.0610884j 0.0556964-0.0546061j 0.0639879-0.0936989j -0.0951185-0.0206553j 0.0422514-0.197477j 0.0970395-0.144558j 0.103194-0.0396572j -0.219095-0.125523j -0.0178284+0.0695111j -0.0866589-0.00439024j 0.0574754+0.168129j 0.0202219+0.00471862j -0.0356697-0.0229764j 0.0343255+0.020332j -0.0215668-0.0216836j 0.00516516+0.0243351j 0.006698-0.00544435j -0.00617071-0.00325767j 0.00107901-0.0131521j -0.000892803-0.00632354j 0.00278352+0.0021155j 0.0180598-0.00563639j 0.0104758-0.0021012j -0.00380072+0.000552324j 0.0214157+0.0136651j 0.0051824+0.00192779j -0.0102367-0.0165661j 0.00754732-0.00995513j -0.00553012-0.0151675j 0.00169066+0.0113153j -0.020688+0.0295651j 0.00844196+0.0199939j 0.00847816-0.00713524j 0.0041867-0.00460863j -0.00915357+0.000615357j -0.00630217-0.00276988j 0.00310751+0.00155236j -0.000399862-0.0041281j 0.00101705-0.00457106j -0.00386912+0.00592401j 0.00066619+0.00147213j -0.00346014-0.00132235j -0.00801266-0.00363627j -0.00437227-0.00163734j -0.00253544-0.00360488j -0.00116264-5.51611e-05j 0.00337046+0.00544363j 0.00164685-0.00821121j 0.000343894+0.00114969j -0.000590973-0.00214166j -0.00200069-0.0112151j 0.00575626-0.00639659j 0.000520346+0.0043416j 0.00297227-0.00358843j -0.00373508-0.0111247j 0.00487634-0.0116574j -0.000340757-0.00890532j -0.00102743-0.00901398j -0.00404369+0.00206846j -0.00521431-0.00820114j -0.00511257-0.00640388j -0.00771296-1.1809e-06j 0.00252997-0.00193079j 0.00680024+0.00372819j 0.00046253-0.00192496j -4.61412e-05-0.0103821j 0.00519126+0.000983813j 0.00261988+0.00615574j 0.00289874+0.0086931j -0.000564917+0.00646898j 0.00256282+0.00410491j 0.00374933-0.0070762j 0.012098-0.00426086j -0.00370431-0.00403239j -0.000374354+0.00310077j -0.000570333+0.000512431j -0.00225462+0.00781084j -0.00960308-0.000403735j -0.00401457+0.0133847j -0.00139571+0.00952288j -0.00377451-0.0151389j 0.00238341+0.0106535j 0.00429082+0.0109625j 0.011137+0.000503934j 0.00153249+0.00052328j -0.00518592-0.00782779j 0.00453531+0.010958j 0.000656432-0.00471996j -0.0121206+0.00154792j 0.00678144+0.00692413j -0.00491594+0.00177785j 0.006864+0.00644208j 0.00374136-0.00128064j 
0.00278122+0.00298689j -0.0245328+0.00686078j -0.0583387+0.0162834j -0.121386+0.0887749j -0.0239985+0.126866j 0.0932191-0.0910428j 0.0072866-0.242008j 0.0234122+0.0816484j -0.0532277-0.0830288j 0.065072-0.0554019j 0.160058+0.13075j 0.0143162-0.0273972j 0.00718238+0.0439137j 0.0257817-0.070871j -0.0171198-0.0751087j -0.0376385-0.0116063j 0.000112538-0.0270231j -0.0220762+0.00149679j 0.0362513-0.0335835j -0.00664378+0.0400932j -0.00860703-0.00121747j -0.0113908-0.0219796j -0.00134134-0.00699124j -0.00250775-3.07634e-05j 0.00470059+0.0121077j 0.00983603-0.00252562j -0.00218395-0.0133467j 0.0145034+0.0049977j -0.0148375+0.00132698j 0.0040849-0.0198211j 0.0171473-0.0171644j -0.00643661-0.00386505j 0.0363126+0.0312591j -0.00397741-0.0109635j -0.014653-0.0131723j -0.0131252-0.00707601j 0.0289906+0.00927678j -0.00228834+0.00148754j -0.000129618+0.00416625j 0.000358986-0.00308691j -0.005881+0.00079668j 0.00421573+0.00459184j 0.00455421+0.0056335j -0.00771395-0.00325181j -0.00273741-0.00811622j 0.00730435+0.00111291j 0.00762146+0.00097076j 0.00385956+0.00241272j 0.00502887-0.00114807j 0.00989585+0.00282528j -0.00431983+0.00277335j -0.00166564-0.00651021j 0.00489661+0.000113082j -0.00471208-0.0035008j 0.00744737-0.00549335j -0.000523359-0.00877211j 0.00106894+0.00470857j -0.00228751-0.00235682j -0.00312986-0.0132707j 0.00289412-0.0105805j 0.00504306+0.00531811j 0.00272026+0.00403384j 0.00302657-0.00369042j -0.000765901+0.00334442j 0.00961004-0.000458814j -0.000894486-0.0066896j -0.00273072+0.000465891j -0.00602196+0.0097746j -0.00163113+0.00747625j 0.0114594-0.00563594j 0.00379183+0.00552033j -0.0125881-0.00301076j -0.0100959+0.00358484j -0.00998466+0.00158224j -0.00716262+0.0123652j -0.0018386+0.00764063j 0.00204024+0.0115882j -0.00289473-0.00367933j 0.00234646+0.00206724j 0.000945531+0.00564162j -0.011493+0.00340988j -0.000987297+0.000694842j -0.00125343-0.00196649j -0.00908511-0.00395216j 0.00996521+0.00275913j -0.0116701+0.00381272j -0.0131627-0.0060115j 0.0151758+0.000790062j 0.00275733+0.00123409j -0.00369999-0.00906106j -0.0104404-0.00265085j 0.00067343-0.00895629j 0.0170828-0.00760698j -0.00158118+7.97848e-05j -0.00261731-0.00623005j -0.00523562+0.00188357j -0.00690618+0.000770822j 
0.047153-0.0531787j 0.00864985-0.0088741j 0.026043-0.0677155j -0.0315389+0.0319237j -0.0376225-0.0813382j 0.0286753-0.155429j 0.0114038-0.0253168j -0.12164-0.105304j -0.0362584+0.165392j -0.0460243-0.0573603j -0.0655234+0.0930464j -0.0810888-0.0196545j -0.0148111-0.0825024j -0.0316753-0.0604144j -0.0623188-0.137676j -0.0275196+0.00458941j -0.0441942+0.0540731j 0.00926859-0.0339437j -0.0027329-0.010099j 0.0187177+0.0197754j 0.0154186+0.0191067j 0.0148857+0.00149275j -0.00878497+0.0073562j -0.00549208-0.00985402j 0.0154287-0.0105108j 0.0129323-0.00955296j -0.00542253+0.00756034j -0.00714003+0.0085513j 0.0124661-0.0254831j -0.0200495+0.0143055j -0.0198644-0.0199476j -0.0140679-0.0112044j 0.00130013-0.0225709j 0.010565-0.0277349j 0.0240978+0.00923325j -0.0109041-0.0101423j 0.00980161-0.00779205j 0.000537678+0.000974408j 0.0115929+0.00864703j -0.00777536+0.00710989j -0.0034835-0.00220845j 0.00421449+0.000253534j 0.00499587+0.00111653j -0.00464696+0.0075884j 0.00423483+0.000629363j 0.00271667+0.00367047j 0.000985215+0.00548471j 0.00107096+0.00897749j -0.0037375+0.00378425j -0.000810463-0.00202801j 0.00327149+0.0113064j 0.00383007+0.0028114j -0.0121661-0.0171911j 0.0033497+0.00324738j -0.00879743-0.0133475j 0.00210642-0.00782505j -0.00207476-0.00337229j 0.00589794-0.00618777j -0.000317469+0.00443965j 0.00116982+0.00152576j 0.00197487-0.00674551j -0.00497785+0.000144375j -0.00740504-0.00154537j -0.000812593+0.00320569j -0.0080969-0.00133265j -0.011829-0.00640814j -0.0061162-0.00143527j 0.000938298+0.00570632j -0.00112264+0.00784615j -0.0152393-0.0152959j -0.00323418-0.005072j 0.00204125-0.00267181j 0.00441957+0.00668906j -0.00659459-0.00237018j -0.0043653+0.00470038j -0.0056176-0.00714831j -0.00586928-0.00788524j -0.00587702+0.0112638j 0.0101072-0.00459908j -0.0246072+0.00551419j 0.00983359+0.00103585j 0.00760457+0.0112039j -0.00309647+0.0176452j 0.00895515+0.00705114j -0.00773172-0.0139888j 0.010635-0.000118218j -0.00453324+0.00315826j 0.00839478-0.00284889j 0.00306162-0.00622244j -0.00409996-0.00526527j 0.003301-0.00230293j -0.00548957+0.000871765j 0.0151881-0.0211532j 0.00578381+0.00105667j -0.00653926-0.00728217j -0.00521689-0.00582688j -0.00743771+0.00980733j 
-0.0510381+0.00670282j 0.021189+0.0177807j 0.0246151-0.0475348j 0.0295328-0.114258j -0.023593+0.0993642j 0.0135113+0.148639j -0.124416+0.0348791j 0.132198+0.0274711j -0.0584079+0.110497j -0.00748214-0.053999j 0.0511586+0.028965j -0.00808353-0.104182j -0.0393627+0.0966651j -0.115435-0.0252263j -0.196675+0.15828j 0.0071428+0.0140537j 0.0281032-0.0420387j -0.00196229-0.0120533j 0.00706863+0.0380597j -0.0160096-0.0139833j 0.00228638-0.0127706j -0.00692627-0.0107647j -0.00360085+0.00625515j 0.000141693+0.00115261j 0.00224601+0.01318j -0.0259068-0.00250295j 0.00418536-0.0118372j -0.0144493+0.0120772j -0.00658062-0.0196305j 0.00517228+0.0264654j -0.00729803+0.0141572j -0.00751403+0.0075948j 0.00101959+0.0170017j 0.00318272+0.016016j 0.0214874-0.0178976j -0.0270895-0.00856743j -0.00887033+0.00118195j -0.000953943+0.00128657j 0.00859533-0.00374465j 0.00542277-0.00428292j 0.000751965+0.00405887j -0.00716901+0.004262j 0.00304978-0.00445742j 0.0109508-0.00565601j -0.00348878-0.00474458j 0.00193172+0.0112591j 0.0059843+0.00799659j -0.00389869-0.000465516j 0.00838999+0.00115884j 0.0024179+0.0115703j -0.00297285-0.00658332j 0.0118691+0.00605366j -0.000770059+0.00897386j -0.00417005-0.00548364j -0.00133879+0.00869644j -0.00323683+0.00377831j -0.0109744-0.00249512j -0.000885505-0.000481741j -0.00500438+0.00870956j -0.00264396+0.00700143j 0.00181489+0.00231917j -0.00796858+0.00155716j 0.00629923+0.00438193j 0.00433657+0.00519624j -0.00227305+0.00214064j -0.00360487+0.000463057j -0.00256094-0.00353047j -0.00960993+0.00138619j 0.000792591+0.000201482j -0.00267316+0.00522599j 0.000624856+0.00185718j 0.000225454-0.0131379j -0.00171133-0.0114405j 0.00459654-0.0110634j -0.00920419-0.0013611j -0.0109252-0.00278783j -0.0160981-0.000283542j -0.00245095+0.00030092j 0.000848412+0.00140882j -0.00157966-0.00715903j 0.00649536-0.00770453j 0.0152184+0.00396334j 0.0123702-0.00762416j 0.00796378-0.00147853j -0.00635922+0.00284748j -0.00160489-0.00411801j 0.000766758+0.00851366j 0.00121177+0.0167544j 0.00381093+0.0086116j -0.00179043+0.00640049j -0.00368871-0.00430463j -0.0047588-0.00310564j -0.00628669-0.0223274j 0.00268052+0.000820231j -0.0098092-0.000459501j -0.00702233+0.00567407j 0.00777423+0.00317576j 
-0.0141667+0.0065024j 0.0264015+0.052553j 0.103488+0.0835659j 0.134492-0.0606143j -0.0127174-0.028986j 0.0229039+0.102205j 0.00470551-0.0437248j -0.0264876-0.0587018j -0.149334-0.0619313j 0.0695851-0.054954j -0.0572531+0.140348j 0.0311583+0.0881653j -0.0959184+0.00189146j -0.111971-0.0673664j 0.0610073+0.0955829j 0.0365738+0.0146384j 0.0503895-0.0094129j 0.0290837+0.0220967j -0.0544447+0.00331598j -0.0104658-0.011587j 0.00430153-0.00835225j 0.000965685-0.00664258j 0.00288582+0.00133212j 0.0147452+0.00117864j -0.0127935-0.005789j 0.00142868+0.0010484j -0.00342716-0.00029962j -0.00304162+0.00398189j -0.000604579-0.000201691j -0.0102948-0.0117264j 0.0040779+0.00277495j -0.0204994-0.0113971j -0.0190601-0.00669879j -0.00592598+0.00721912j 0.0183071-0.0209032j 0.0239462-0.0186887j 0.0228991+0.0138166j -0.0116466+0.00087544j 0.000890169+0.0137128j 0.0092812-0.00500746j 0.00327395+0.00511466j -0.00988087+0.0037945j -0.000914503+0.000820358j 0.0145811+0.00151891j 0.000311306+0.00140586j -0.0247971-0.00315466j -0.00516125-0.00591207j -0.00213142-0.000405334j -0.00509192+0.00517536j -0.00664906+0.00141425j -0.00337448-0.00257312j 0.009786+0.00276928j -0.000733687+0.00206328j 0.000151549-0.00457866j -0.00395144-0.00511473j -0.00842743+9.24307e-05j -0.00211602+0.00266854j 0.00706019+0.00264083j 0.00273648+0.00273983j -0.00149278+0.00314879j 0.00812418-0.000833421j 0.00264576+0.00237905j 0.001255+0.00693736j 0.00307653+0.00280405j -0.000266317+0.00590568j -0.000782859+0.00577406j -0.00136403+0.00372144j 0.00387566+0.00467348j -0.00366973+0.00848504j -0.00166388+0.00799314j 0.00212537+0.0120029j -0.0177865+0.00465525j -0.00426786+0.00146773j -0.0127068+0.0039285j 0.00308633+0.0106042j -0.000276551+0.00563086j 0.00677343+0.0105864j 0.0037606+0.0105238j 0.012299-0.0118967j -0.0065429+0.0180181j 0.00327813-0.0080806j 0.000967125-0.00192304j 0.00626002+0.0024279j -0.000412997-0.010906j -0.00149176+0.0014515j -0.00106348-0.00385659j -0.00129109-0.0102963j 0.0138711+0.00109947j 0.00146164+0.000565953j -0.00261059-0.00556942j 0.00679924-0.00291196j -0.00157119-0.0301768j 0.00435607+0.00816699j 0.00595895+0.00307012j -0.00605073-0.00245185j 0.00526693+0.00764576j 0.01374-0.00565275j 
-0.0279007+0.0019091j 0.0307342+0.0255148j -0.0993974+0.00376446j 0.0674755-0.0103559j -0.0751258-0.0928394j -0.08675-0.0142138j 0.0220647+0.0265805j -0.0552263+0.0161573j 0.0140782+0.0897399j -0.0636136-0.13819j -0.0910871+0.0127567j -0.0235692+0.0307909j 0.0987048+0.0668295j -0.0575123+0.0337664j -0.00697709+0.0202407j 0.0262441-0.00408967j 0.0328443-0.0203239j -0.0308126+0.00475988j -0.0144977+0.00188283j 0.0102891+0.00103691j -0.00164892+0.0105062j 0.0133842+0.00713077j 0.0196557-0.00706381j 0.0133468+0.00166064j 0.0156172+0.029767j -0.0115538-0.00585543j -0.000911275+0.0170454j -0.00446425+0.00803115j -0.00931922+0.0308464j -0.00945796+0.0117663j 0.0020062+0.00394853j 0.0386017+0.00198902j -0.00829695-0.00975221j -0.000486247+0.0160227j -0.0108043+0.000982495j -0.015212-0.0124636j 0.0107924-0.0167985j -0.00195649+0.0106289j 0.00971989-0.00367075j 0.0133377-0.00746314j 0.00107195+0.00206165j -0.000881549+0.00883266j 0.00910236-0.00130169j 0.00569899-0.00724385j -0.00296748-0.000184013j 0.00308352+0.00326567j 0.012511-0.00624334j 0.0140928+0.000358604j 0.00376659-0.0016695j 0.00153857-0.00080482j 0.00109538-0.000125714j -0.00605043+0.000897416j -0.00595707-0.000926705j 0.00380366-0.00449432j 0.00431116+0.00405742j 0.0044642+0.00251811j -0.00332673-0.00151244j -0.00105895+0.00216513j 0.00748-0.00246937j 0.00152061-0.00157617j 0.000387326+0.00509312j 0.00442726+0.00180921j -0.00500773+0.00126839j 0.00909435+0.00515202j 0.00328977-0.00261791j -3.02315e-05-0.007031j 0.00219337-0.00775288j -0.00970267+0.00588396j -0.00252179+0.00968487j 0.0125003-0.0117086j 0.00766641+0.00464776j -0.00668738-0.0111446j -0.0117367+0.00145782j -0.00334798-0.00163975j -0.0148874+0.00734301j -0.000796712-0.00788555j 0.000701779+0.00554774j -0.0105523+5.44438e-05j 0.00923377+0.00689146j -0.00659108+0.00580376j -0.00921051-0.00378661j -0.00853334+0.00313202j -0.0055517-0.000188022j 0.000365949+0.000190373j 0.00961209+0.000974978j 0.0023336+0.00778529j -3.85056e-06+0.0147997j -0.00770134-0.0068047j -0.00565835+0.0102021j -0.000357361+0.00218423j 0.00366482+0.0022582j -0.0173854-0.0130746j 0.00359421-0.0130186j -0.000928479+0.00165082j 0.00426847+0.00222586j -0.00114944+0.00424065j 0.00233248-0.00321185j 
