-0.0139511-0.0115488j -0.003357-0.00942212j 0.00645454+0.00238481j 0.0104239+0.0146841j 0.00574353+0.00620301j -0.00152721-0.00761539j 0.000683844+0.00906024j -0.00109089-0.00192727j 0.00250267+0.00359205j 0.00763892+0.00956385j -0.00115425-0.00707253j -0.000539064+0.00952694j 0.01109+0.0165947j 0.000965086+0.00970521j 0.00634736+0.00651887j -0.00524755-0.00887518j 0.000621341+0.00324014j -0.000567861-0.0101169j 0.00597243-0.000391408j -0.00466512-0.00721032j 0.00362139+0.00603984j -0.00494015-0.00320687j -0.00362876+0.00364602j -0.00878429+0.000325648j -0.00664829+0.000629809j -0.00575654+0.00750333j -0.0194317+0.00604415j 0.00523935-0.0161875j 0.0204004-0.00719888j 0.00533051+0.0130854j 0.0387175-0.0059442j -0.00382954+0.0393559j -0.00716876-0.0056288j -0.00849207+0.0143331j -0.00182243+0.00107515j 0.00511071-0.0021465j 0.00382473+0.00269931j -0.00367565+0.00618989j 0.00182024-0.00114941j 0.000425456+0.0031705j -0.00113634+0.00162207j -0.00593263+0.00125472j -0.00984166+0.00479981j 0.0127461-0.00784979j -0.00555706+0.00260438j -0.0050851+0.00285291j 0.00655609-0.00769605j -0.0094441+0.00196587j 0.00720246-0.00242444j 0.00800076-0.00717101j -0.00740265+0.00329202j -0.00530309+0.0013058j 0.00371587+9.56895e-05j 0.00908396+0.0019461j 0.00475454-0.00532285j 0.00595311-0.000710922j 0.00267238+0.00269914j -0.0134878-0.00436592j 0.0020365-0.000519906j -0.00365138-0.00150739j 0.00204818-0.0057677j -0.000848576+0.00898707j -0.0145989-0.0095135j 0.00367984-0.00468153j 0.00163963+0.00435765j -0.00470393+0.00312993j -0.00348225+0.000708784j 0.00701746-0.00173142j 0.000710442-0.0018199j -0.00832413-0.00443666j -0.0181717+0.0204188j -0.0348935-0.00935241j 
-4.22839e-05-0.00287751j -0.00116151-0.000333816j -0.00604814-0.00445598j -0.00277942-0.000970093j 0.00102363-0.00588969j 0.01409+0.01535j -0.00458948-0.00239915j 0.00129577+0.00223625j 0.000659778-0.00432178j -0.00163121-0.0035864j 0.00968719+0.00733331j -0.00165208+0.00901566j 0.00372228+0.0111488j 0.0129254-0.00294242j -0.00801352-0.000350185j 0.000115185+0.0196935j 0.0209851+0.00860254j -0.0173649-0.00906137j 0.0134487+0.0355725j 0.0138407+0.012381j -0.000775387+0.0201087j 0.00182779+0.0297774j -0.0122877-0.0154032j -0.0212824-0.00956237j -0.0170728-0.0143498j -0.0103507+0.0286533j 0.00827504-0.00549791j 0.0171606+0.00372377j -0.00864885-0.000501155j -0.00414655-0.0141824j 0.00385918+0.00493094j -0.00471516+0.00396481j 0.00496676+0.00450678j 0.000704127-0.00173784j 0.00206609-0.0063209j 0.00685646+0.011672j -0.00394711+0.00573998j -0.00273229-0.00323131j 0.000511864-0.00225242j -0.0020087+0.000700093j -0.0050114-0.00649346j 0.00434387-0.00121023j 0.00408755+0.00255201j -0.00191367-0.00189673j 0.00405777-0.00352121j 0.00071644-0.0105592j 0.0020939-0.00101757j 0.000458745+0.00632371j 0.00222355+0.0096238j 0.000389563-0.00172303j 0.000135609-0.00392714j -0.000958353-0.00155191j 0.000352166+0.00592214j -0.00388089+0.00943174j 0.00249906-0.00586285j -0.00076527+0.00514518j -0.00270708+0.00619092j -0.00571227-0.0144239j -0.00355918-0.00192471j -0.000599134+0.00998701j 0.000310059-0.0112148j 0.000739538+0.00284338j -0.00594647+0.0131988j -0.00465423+0.00928433j 0.00246057+0.00708577j -0.000919173+0.00862169j -0.00117022+0.00525314j -0.0028248+0.00680021j -0.000588751+0.000883615j -0.00271961+0.0069157j 0.00159749-0.000595454j -0.00181347-3.17751e-06j 
-0.00529772-0.00209163j 0.00635632+0.00211463j -0.000404861-0.00585647j 0.0113871+0.00830331j 0.00276789+0.00709521j 0.00714143-0.00236608j 0.00300839+0.0108293j -0.00381862+0.00606662j 0.00817168+0.0139332j 0.000224869+0.00931056j 0.00238355+0.00366902j -0.0117831-0.0136108j -0.00620064+0.00793127j 0.00508066-0.0029727j 0.00834167+0.0206803j -0.00565077-0.0017613j 0.0193789+0.00544187j -0.0100657-0.00943725j -0.0203847-0.0138897j -0.00354673-0.0185853j -0.00846728+0.0150025j -0.0039986-0.00508307j 0.0265192+0.0373262j -0.0120282+0.0187504j -0.00465681-0.0291997j -0.0108097-0.019565j -0.0105282+0.00725836j 0.0200084+0.00155151j 0.0108034+0.00430153j -0.0164777-0.00537565j -0.00510908-0.00166906j 0.00699275-0.00247437j -0.00424488+0.00209532j 0.00762978+0.0107223j 0.00333118+0.00225261j 0.00196235-0.00104249j 0.00453518+0.010261j -0.00200138-0.000744623j 0.00452195+0.0017993j 0.00530077+0.0030554j -0.0025499+0.00111708j -0.00291964-0.00887496j 0.000598125-0.00236103j -5.67823e-05+0.000523761j 0.00440296+0.00302356j -0.000764583-0.00743455j 0.00154228+0.0050981j -0.000802295+0.00919172j 0.00205328-0.000233506j -0.00119831+0.00338058j -0.00654254-0.026164j 0.00448542+0.000157315j -0.00470099-0.0144212j 0.00225254+0.00500953j 0.000348374-0.0140637j -0.00112459+0.00399242j -0.00830077+0.0122045j -0.00579596-0.00612385j -0.00232927+0.0125222j -0.00203734+0.0152995j 0.00219257+0.013766j -0.00947918+0.0211458j -0.011728+0.0203047j 0.00317888-0.0174764j -0.00154755+0.00162151j 0.00421773+0.00473715j 0.00613175-0.00210783j 0.0001627+0.00476088j -0.00417824+0.00339801j -0.00482688-0.000895391j 0.00496288-9.80954e-05j -0.00262134-0.00399592j 
0.0027403+0.000903479j -0.00741954-0.00416291j -0.00400451+0.00419546j -0.00137543-0.000402764j 0.0101029+0.00276735j -0.00418554+0.0066415j -0.0041481-0.0104985j 0.00347014-0.00496903j 0.00140358-0.00512844j 0.00529151-0.0100717j 0.00812177+0.000716532j -0.00471803-0.0101196j -0.00185517-0.0133304j 0.00589918+0.00690395j -0.00552496-0.00976918j -0.00146431-0.0036203j -0.0099108-0.00938105j 0.00799561+0.0179421j -0.0192063-0.00150438j -0.00956644-0.0280889j 0.00302723+0.0210983j -0.004121-0.0107992j 0.00541952+0.00347588j -0.0084682+0.0513843j -0.00219481+0.000939047j -0.00164529-0.00640981j 0.0144313-0.00454547j 0.0217782-0.00601401j -0.0222988-0.0142053j -0.000878006-0.0106331j 0.00979854+0.00827247j -0.00857956+0.0030887j 0.0033131-0.00187433j -0.00305567-0.00938744j 0.00522642+1.71249e-05j 0.00115965+0.00597531j -0.00369032-0.00800892j 0.00230986+0.00104226j -0.000406347-0.00275022j -0.0014583-0.00725634j -0.00164689+0.00270027j -0.00140538-0.00359288j -0.00175375-0.00384378j 6.52512e-05+0.0012189j 0.000351542+0.00318517j 0.00232597-0.000793818j 0.00209877+0.00224383j 0.000899678+0.00496027j -0.00227115-0.00459606j -0.00208016+0.00954512j 0.000502988-0.00149118j -0.000996346+0.00743478j 0.0015402-0.0062524j 0.00014675-0.00809569j 0.00135001+0.0106424j -0.00276846+0.0010602j -0.00119964-0.00278938j -0.00154919-0.0139442j -0.000577654+0.0186282j -0.00224905-0.00795364j 0.00686394-0.0214201j 0.000484879+0.00593142j 0.00421516+0.00688533j -0.000712014-0.00756656j 0.000485888-0.00851083j -0.00152242+0.00636966j 0.00290286-0.00228482j -0.00428502+0.0109938j 0.000331545-0.00217388j -0.00211635+0.00704568j -0.00261008-0.0055054j -0.00468862+0.0013232j 
-0.00123949-0.00409191j 0.00156386-0.00513752j -0.00850084-0.000611854j -0.0013041+0.00335051j 0.00363054+0.000854956j 0.000247584+0.011554j 0.00122214-0.00437377j 0.00429195-0.00283047j 0.00438363-0.00276719j -0.00130738-0.00303046j 0.00681732+0.00243001j -0.00637799-0.00615951j -0.00190155+0.00275182j 0.00829794+0.00706818j 0.0046193-0.0129882j 0.000282275+0.000435717j 0.0124448-0.00626566j 0.00718638-0.00402114j 6.00712e-05+0.00446624j -0.0191374-0.0141599j 0.00454084+0.0286542j 0.0075047-0.0027095j -0.00393811-0.0160761j 0.0430711+0.0120033j 0.00401831-0.00330758j 0.0145434+0.0150792j 0.00141364+0.00225359j -0.0427681-0.000874238j 0.00406416-0.00679483j 0.0132107-0.00317143j -0.00576013+0.00428941j 0.00198153+0.00214339j 0.0120782+0.00524427j 0.00312436-0.000647658j 7.37131e-06-0.00197219j 0.00238811+0.00886966j 0.00114745-0.00199647j 0.00696889+0.0052591j 0.00289776+0.00302794j -0.00157721-0.00314037j -0.00307775-0.00334098j 0.000301555-0.00077513j -0.00137022-0.00382013j -0.00515639-0.00327165j -0.00207675-0.00336822j 0.00611647+0.0045374j -0.00121706-0.00443412j -0.00223488+0.00399602j -0.00212152-0.00260681j -0.00535262-0.00383871j -0.0010263-0.00585735j -0.00324988-0.00501356j -0.0015994-0.000672808j -0.00136144+0.00317016j -0.000761196-0.0135949j 0.00208235+0.00821159j -0.0015921+0.00608838j 0.00863019+0.00863305j -0.000506424+0.000896266j 0.00338064+0.0122518j -0.00126275+0.0135626j -0.0012072+0.00262948j 0.00214284+0.00229815j 0.00190483+0.00640209j -0.00414634+0.0184408j 0.00426928-0.015417j -0.00150848+0.00846447j 0.00226833-0.0101946j 0.00560018-0.00980622j 0.00401143-0.00261577j -0.00179409+0.00489405j 0.00256775-0.00168659j 
-0.000772176-0.00278179j 0.00160674+0.00150933j 0.00094546-0.00547849j 0.00283798+0.00121285j 0.00453482-0.00440255j 0.00234906+0.00850152j -0.000256299+0.00103553j -0.00668703+0.00829273j 0.00519535-0.00219147j 0.00581327-0.00337709j 0.00532441-0.00906358j -0.00380703-0.0150046j -0.00326753-0.00308729j -0.00626856+0.0145917j -0.00350322+0.00601157j 0.00327244-0.0142513j 0.000696212+0.0228724j 0.000586185-0.0309579j -0.00931486+0.0137831j 0.0220823+0.00643039j -0.00551293-0.0266761j 0.0227096-0.0129392j 0.00528997-0.00360774j -0.00263135-0.0109384j 0.000132555-0.00194039j -0.00108414+0.00627302j 0.00483438-0.000777594j -0.00124164+0.0043266j -0.000605321+0.00626048j 8.39888e-05-0.00101849j -0.00309165-0.000349947j -0.000980933+0.000950154j -0.00089209+0.010976j 0.000843983+0.00219834j 0.000928119-0.00900284j 0.00449139+0.0115096j 0.00306211-0.00347326j -0.00102359+0.00581852j 0.00524977-0.00061295j -0.000491427-0.014106j -0.00181998+0.0146813j -0.00743762-0.00889389j -0.00720582-0.0118307j -0.00197219+0.00780005j 0.000722978+0.0189298j 0.00718771+0.0103081j 0.00432473+0.00731627j -0.00186938+0.00526856j -0.0109971-0.0321024j -0.00103945+0.0200937j -6.49541e-05-0.00324253j 0.00462488+0.0198545j 0.00403575-0.0126734j 0.00258632-0.0024563j -0.00469213+0.00306492j -0.00324555-0.0201014j 0.00689852-0.0171959j 0.00988878-0.0107762j 0.00182187+0.00829026j 0.00362915-0.00930061j 0.00278084-0.013251j -0.0119406+0.0132654j 0.00543593-0.000360458j 0.0131666-0.0183015j 0.0015845-0.00320224j 0.00392507-0.0042185j -0.00629781+0.00966454j -0.00455934+0.00527809j 0.000205838-0.00177579j -0.00390499+0.000271733j -0.00184979+0.00221319j -0.00081097+0.00014805j 
-0.00308402+0.00406522j -0.00612536-0.0030096j -0.00338638+0.000628804j -0.00132091-0.00360329j 0.00176276-0.00661014j 0.00881678+0.0116444j 0.00108836-0.00915786j -0.00484594+0.00704329j -0.00259259-0.00664719j 0.00725631-0.0136321j -0.00287336+0.00687597j -0.00420996-0.0035956j 0.0045087-0.0035897j 0.0100295-0.00168195j -0.0199519+0.00500756j 0.000670012+0.0019546j -0.0133821+0.00684947j -0.0204568+0.00828253j 0.0131054-0.000692499j 0.00140593-0.00701469j 0.0354012+0.0043705j 0.00532457-0.00941903j -0.0313579+0.000675699j -0.00864213-0.00727745j 0.008779-0.00924772j 0.0142302-0.00651415j -0.0243297+0.00268293j 0.0155644-0.00523776j -0.00280753+0.00480418j -0.0149984+0.00225451j 0.00841876-0.000464939j 0.00556713+0.00194969j -0.00162972-7.55087e-05j 0.00396109-0.0045506j 0.00201081-0.00348387j 0.00414683+0.00299402j 0.00256672-0.00177085j -0.00730332-0.00266924j 0.000281338+0.00417498j -0.0021871-0.00491257j 0.00662713+0.0143289j -0.00131763+0.0025438j -0.000532618+0.000596508j -0.00218243+0.00115837j 0.00322298+0.00669711j -0.00263303-0.00976596j 0.00309862+0.00772141j 0.0042282+0.00487975j -0.00386681-0.00933737j 0.00617018+0.0129341j 0.00109658-0.0118417j -0.00630928+0.000546178j -0.00037999-0.017212j 0.00444916-0.00149943j -0.00138024+7.40776e-05j 0.0042254-0.0032572j -0.0032935+0.00272502j -0.00321436+0.00804175j -0.00308343+0.0012663j 0.000322076+0.00127035j 0.002876+0.00771154j -0.00443461+0.0179866j 0.00298597-0.00169867j 0.00401793-0.0184833j 0.00585444+0.00584579j -0.00147721+0.0067498j 0.00122231+0.00240146j 0.00405123-0.00260467j -0.00608945+0.0155751j -0.00156949+0.00338597j 0.00149842-0.00365897j -0.00128618-0.00270354j 
0.000687391-0.001581j 0.00172837+0.00426915j -0.000413542-0.00482273j -0.00166204-0.00490661j -0.00442155-0.0124402j 0.00882633+0.00612918j -0.00572706-0.00175483j 0.00179492+0.0140392j -0.00874201-0.00421203j -0.0100851-0.0199441j -0.0138836-0.00351481j -0.0178189-0.00232783j -0.0130386+0.011771j 0.0186855+0.00318309j 0.00172856+0.00519675j -0.0242957-0.0156707j 0.00770436+0.00803709j -0.018062-0.000960394j 0.00138251+0.0154918j -0.00811411-0.0259141j -0.0287455-0.00423857j -0.0381768-0.030016j 4.69516e-05-0.00540027j 0.00720424-0.000730876j 0.00703183-0.00779192j -0.0101711-0.0088596j 0.0019357-0.000795311j -0.00211558+0.0043272j 0.00223947+0.00605999j 0.00273266+0.00676872j -0.00160368-0.00463426j -0.00294674-0.00260888j -0.000449915+0.00297822j 0.00148032-0.00188828j -0.00537047-0.00923145j 0.00330653+0.008965j -0.00167184-0.00223989j 0.00147732+0.00383699j 0.00404787+0.0134475j -0.00469923+0.000903649j 0.00531766+0.00108117j 0.00139399+0.00737481j -0.00165805+0.000397643j -0.00277365+0.00380811j -0.000796453-0.000140157j -0.00146143-0.00945491j 0.000278747-0.004227j 0.00421869+0.013972j -0.00168186-8.588e-05j -0.00104156-0.0113913j 0.00518883-0.0071265j -0.0019161-0.00733151j -0.00565455+0.00813175j 0.002306-0.0193576j 0.000542697+0.00230877j -0.000698376+0.0100686j -0.0067437+0.0190912j -0.00235686-0.0095689j -0.00301057+0.00703072j 0.00250965+0.0061609j -0.00125709-0.00133984j -0.00422589+0.0169889j -0.00352042+0.00173159j -0.00513144+0.00884169j 0.00221878-0.00718175j -0.000443218+0.00239146j -6.54323e-05+0.00267425j 0.00168515-0.00462641j 0.00036293-0.000587325j 0.00184227-0.000486859j -0.00126215+0.00247353j -0.000538765+0.0034919j 
0.0010225+0.00230469j -0.00311038-0.00240186j -0.000855638+0.00184567j -0.00115504-0.000450673j 0.00491756+0.00532421j -0.0130846-0.00170841j 0.00140256-0.0066253j 0.00463361-0.00562529j 0.00327776-0.000203553j 0.00357187-0.000601192j -0.00815873-0.00434442j -0.00701476-0.00898156j -0.00576417-0.010473j -0.00025241+0.00343252j -0.000645356-0.0180228j -0.00926218+0.00284042j -0.01135+0.0353077j 0.0142-0.013991j -0.0138083+0.00478506j -0.0261959+0.0158741j 0.0156764-0.0139946j -0.0176322+0.00650295j 0.00849402-0.00779798j 0.0303069-0.0149786j 0.00508592-0.0130991j -0.0177323+0.00180009j -0.00778754+0.00338466j -0.000291725-0.005376j -0.00377442-0.00732252j -0.00346814-0.00491803j 0.00497051+0.00479922j -0.00107461+0.00140363j -0.000274621-0.00614056j -0.00304295-0.00106533j 0.00583818+0.012118j -0.00837973-0.00758385j -0.00243471-0.00573353j 0.00213888-0.0019012j -0.00261746-0.000671192j 0.00100152+0.00293498j 0.0029665+0.00455545j 0.00049681-0.00300909j 0.000777575-0.00544896j 0.00714661+0.00222986j -0.000530683+0.00263487j -0.00147772+0.0100438j 0.00261474-0.0070949j 0.00194697-0.00748813j 0.00123858+0.00273153j -0.00440147-0.000261882j -0.00893184-0.0159397j -0.000547056-0.00376513j 0.00282296+0.00059447j 0.00572333-0.00550171j 0.00113456-0.0147056j -0.00686032+0.00448775j 0.000486579-0.00546036j -0.0029549-0.00853636j -0.00303109+0.0188132j 0.000889824+0.00999736j -0.00280556+0.00840755j -0.0011509+0.00764916j -0.00266256+0.013493j 0.00511468-0.00850629j 0.00334973-0.00156411j 0.00317106-0.00648372j 0.00712506-0.0202321j 0.000943519-0.00401868j -0.00033937+0.00185105j 0.00129773+0.000419956j 0.00202786-0.00350759j -0.00166203-0.000868122j 
0.000137491+0.00123757j 0.000940096-0.0019929j -0.00703641+0.0026141j 0.00040012+0.000884002j -0.000238037+0.00792679j -0.00284591-0.00857321j 0.0020028-0.00646574j 0.0128269-0.00343485j 0.00526858+0.00910783j -0.00365831-0.00939117j -0.0137526-0.00901143j -0.0128183-0.0214048j -2.8083e-05-0.00619141j -0.000232143+0.00278659j 0.000219207-0.0170933j -0.00889159-0.0160298j 0.0237722+0.0256252j -0.0148295+0.0043536j 0.0145688-0.0241828j 0.00897394-0.030886j -0.0231211-0.00881497j -0.000826661-0.010579j -0.00542587+0.0134744j -0.0165404+0.00588246j -0.00651256-0.00716073j 0.00647417-0.000269338j 0.00117659+0.00100215j 0.000705459-0.00220862j 0.000909006-0.00866454j -0.0002684-0.0021015j 0.000699226+0.00420099j 0.000615333+0.000918056j 0.00700323-0.00281486j 0.00152969-0.00313155j 0.00147384+0.00728117j -0.00307103-0.00467934j -0.00205999-0.00678808j 0.00744986+0.00238372j -0.00026487+0.00634509j 0.00191418+0.00719664j 0.0066214+0.00942201j 0.00271066+0.000414264j -0.000527277-0.00749378j 0.0015173+0.00430528j -0.00117029+0.00665991j -0.00391435-0.00994938j 0.00171451-0.0195835j -0.00108214-0.0234923j -0.000167806+0.0124666j -0.000681419+0.00341287j 0.00358943+0.0211835j -0.00358646-0.0088922j 0.00213377+0.0126473j 0.00124901+6.56636e-05j 0.00309043-0.00134206j -0.00489417-0.00741779j 0.00120142-0.0144534j -0.00662857+0.0357537j -0.000898551-0.00526778j 0.00344846-0.0234722j -0.00283226+0.0122265j 0.0029003-0.00755412j 0.00461292-0.0170244j -0.000654525-0.00430731j -0.00131495+0.00310847j -5.68829e-05+0.00203574j 0.00336478-0.00292371j 0.00114203-0.00153626j 0.00122111-0.00206389j 0.00106546+0.0021154j 0.00231711-0.00101466j -0.000567192-0.000140089j 
-0.00116031-0.000742633j -0.00251706-0.00417367j -0.00217741+0.00153941j -0.0017457+0.0041025j 0.00295256+0.00447556j -0.00907666+0.00539036j -0.000660049+0.000741286j 0.00364959-0.010615j -0.0164418-0.016666j 0.00725391+0.0164321j -0.00529424+0.00383992j -0.00157383+0.00957918j -0.0196852-0.0227728j 0.017198+0.0248032j 0.0071305+0.00773964j -0.000501101+0.0115327j 0.0226638+0.0145705j -0.017994-0.0172696j 0.00379759+0.00687243j 0.00844972+0.00792553j -0.0268275-0.00860718j -0.0138807-0.0217214j -0.00595399+0.00045288j -0.0102823+0.00776592j 0.00897988+0.00185441j 0.00391424+0.000507252j -0.00333898+0.00224499j -0.0025538-0.00251952j -0.0036356-0.00435422j -0.000515462-0.00411126j 0.00155554+0.00247538j 0.00100817+0.00224987j 0.00210199-0.00395388j -0.00203788+8.34618e-06j 0.000852401+0.00521876j -0.00368847-0.00574446j 0.000879085+0.00553704j -8.07963e-05-0.00756884j -0.00848309-0.0139683j -0.00194146-0.00146664j -0.00275196-0.00205206j 0.000895322-0.000492185j 0.00377408+0.0115728j 0.00691109-0.0088336j 0.00149814-0.00797537j 0.00394928+0.0253429j -0.00492646+0.00980524j -0.00335029-0.000347555j 0.00260904-0.00366599j 0.000841475-0.000899429j 0.00198194+0.00662125j -0.0037233+0.00542961j -0.00370329-0.0149014j -0.0029853+0.00729535j -0.000980486+0.0154624j 0.000762812+0.00930824j 0.0017678-0.0183298j -0.00109757-0.0132565j 0.00477484-0.00151582j -0.00134007+0.00550299j 0.00533021-0.00717714j 0.00684705-0.0157262j -0.000309444-0.00454945j -0.000657943-0.00364161j -0.00153526+0.00293493j -0.00409601+0.00488861j 0.00303973-0.00251202j 0.00229287-0.00329162j 0.000180502+0.00148162j 0.00211162+0.000475844j -0.000816292+5.1409e-05j 0.00123571-0.00156041j 
-0.000440983+0.00314565j -0.00214718+0.00249437j -0.00323242+0.000631162j 0.00188561-0.00361365j -0.00116915-0.00351633j 0.0127604-0.00728634j -0.00285679+0.00422545j 0.00927889+0.001737j -0.00707446-0.00899578j -0.00471766+0.000423691j 0.0113794-0.0121837j -0.0203674+0.0161922j -0.00410776-0.00420612j 0.0032697-0.000800011j 0.00669929+0.0152835j 0.0030361+0.000127217j 0.0171107-0.0118724j -0.00916752-0.00284513j 0.000143134+0.0182973j -0.0180714+0.00615688j 0.0195148-0.00960093j -0.00868035-0.0154864j 0.0129018+0.00447959j 0.0178052+8.36037e-06j -0.0301425+0.00796142j -0.00326215-0.00210004j 0.00597156+0.000114498j 0.00127037-0.00102836j 0.000105716+0.00278774j -0.00620659-0.00325029j 0.00815303+0.00111961j 0.000457731+0.00121927j -2.6319e-05-0.000328581j 0.0024369-0.000507587j 0.00141874-0.000811878j 0.00654379-0.000602603j -0.00230264+0.00637514j -0.000940038-0.00157297j -0.00258639-0.00946242j 0.000623694+0.0023413j -0.00632006-0.00605027j -0.00191945-0.0101866j 0.000124642-0.00586135j 0.00785265+0.0014919j 0.00576034+0.00615345j -0.00136088+0.00148659j 0.000757518-0.00562809j -0.00200807-0.0172308j 0.00259086+0.0140724j -0.00107508+0.00368107j -0.00341489+0.00566072j -2.74179e-05+0.00518165j 0.00254847+0.0088195j -0.00367579+0.0338991j 0.000196058-0.0211563j 0.00220357-0.022868j 0.00739281-0.0101046j 0.0024063+0.00342993j 0.00169417-0.0137337j -0.00289866-0.00341689j 0.000234+0.00671987j 0.00150552-0.00640588j -0.00420192+0.00691339j -0.00273967+0.00174493j 0.000881448+0.000443489j 0.00475905-0.010136j -0.00124308+0.000502668j -0.00250553+0.00916744j 0.0022632-0.000452135j -0.000839973+0.00620343j 0.0041475-0.00185034j -0.00125252-0.000529191j 
0.00175386+0.00312531j -0.00808935-0.00137489j 0.00761959+0.00538293j -0.00241397-0.00602997j 0.0163978-0.00427362j -0.0199068+0.00767494j -0.00631815-0.00636884j -0.0191127-0.0160697j 0.0119681-0.00555952j 0.00568571-0.00500379j -0.0156132+0.00257725j -0.016485+0.00579223j -0.00888407+0.00138694j -0.0055447+0.00764672j -0.0379942-0.00945203j -0.0055129-0.00420605j 0.0297421-0.00699199j 0.00358858-0.00272588j -0.0274022-0.00835371j -0.00786443+0.00307982j -0.0143816-0.00892336j 0.00939953-7.71046e-06j 0.00764119-0.00178811j 0.000800336-0.00324805j -0.00604334+0.010448j 0.00419564+0.00196771j 0.000370043-0.00158668j -0.00216314-0.00177515j -0.011305+0.00296537j -0.000531276+0.00198567j 0.00734263-0.00046391j -0.000957243+0.000109877j -0.00672724-0.00201564j -0.00563025-0.00841191j 0.00518308-0.0027414j -0.00287049+0.00806443j -0.00246795-0.00311253j -0.00601431-0.00798851j 0.00617122+0.0110719j -0.00414562+0.000291565j 0.0005602+0.000246524j -0.00179051+0.00446342j -0.000459775+0.00347541j -0.000992423+0.00261357j 0.000153247-0.00351511j -0.0036658-0.00902098j 0.00676309+0.00235567j 0.000128066+0.00922452j -0.00212604+0.00348107j -0.0033028-0.0112641j 0.00344525+0.00172483j -0.000253825-0.00278845j -0.00289176+0.00929308j -0.00236422-0.00570849j -0.00102781+0.000106267j 0.00255274+0.00938456j -0.00260527+0.00939872j 0.00224051-0.00218179j 0.00109765-0.00195804j -0.00135409+0.00831185j 0.00135527-0.000956378j -0.00240398+0.00715511j -0.0027234+0.000667447j -0.00592482+0.0105298j 0.000509718-0.00157537j -0.00316097-0.00544587j -0.005283+0.00591181j 0.00113363+0.00401951j -0.00316366+0.00272237j -0.000714267-0.00201652j -0.00332242-0.00399265j -0.0012312+0.000336935j 
-2.21401e-05+0.00117942j 0.00304113-0.0013803j -0.000626432+0.000501472j -0.00187229-0.00164851j -0.00678951-0.000745686j -0.000462777-0.00314001j 0.00140679+0.00158732j 0.0083801+0.00234826j 0.00961529-0.00106125j -0.0309284+0.00353468j -0.0041373+0.0182177j -0.0258566+0.0150176j 0.0204284+0.0123135j -0.0128288-0.0136245j -0.0113412+0.00199772j -0.0302826+0.0175314j 0.0161917-0.0121907j 0.000902723+0.014227j -0.0109774-0.00220178j -0.039034-0.00402634j -0.00729764+0.0285933j -0.018379+0.0201027j 0.0087102-0.00468688j 0.000142465-0.000915603j -0.00885923-0.00472256j -0.00805197+0.00516152j -0.00128324+0.00130156j 0.00202145+0.000510824j 0.00642997+0.000235503j 0.00162164+0.00176429j -0.00399628-0.000403196j 0.00243633-0.0015464j 0.00105694+0.00217433j 0.00177843+0.00343216j -0.000386527+0.000373456j -0.000838008-0.00623203j 0.000634112+0.00173929j 0.00124838+0.00226433j 0.000921846-0.00944132j -0.00341186-0.0082067j 0.00101595+0.00337126j -0.00401935+0.0017385j -0.00234484-0.00573565j 0.0040223+2.12505e-05j 0.000242378+0.00883407j 0.00376508+0.0210843j -0.00193938+0.00715016j -0.00051002+0.00232044j -0.00437287-0.0236515j -0.00217295+0.0122411j -0.00269916-0.00774316j 0.00236786+0.0125552j -0.000503142-0.00740705j 0.00219507-0.00103883j -0.00381289+0.0043156j -0.000234834-0.0111534j 0.00539622-0.0189376j 0.00498964-0.0108338j 0.00568427+0.00663036j 0.002028-0.00745042j 0.00372168-0.00707042j -0.000485165-0.000373874j -0.000168452-0.0016217j 0.00648346-0.0115157j 0.00103482-0.00620889j 0.000905498-0.00492892j 0.00153784-0.00320117j -0.000520058+0.000615419j -0.000750134+0.00371689j -0.000882631-0.000736693j 0.000468951+0.000743869j 0.0034531-2.80543e-05j 
