-0.0536891+0.216264j -0.216258-0.0508296j -0.139154-0.187445j 0.192628-0.133257j 0.00734746+0.133813j -0.147552-0.0230206j -0.0304001+0.107141j 0.0457919+0.000708841j -0.0233374-0.0051837j 0.0217026+0.00611216j 0.0293644-0.0741889j 0.0483961+0.12914j -0.159102-0.0495935j -0.123283+0.0829097j 0.0108224+0.109553j 0.0552892+0.166629j -0.00840827-0.0170618j -0.107981+0.0153266j 0.0767634+0.0273054j -0.016375-0.030614j -0.103459+0.0995667j -0.0271293-0.0432888j -0.0298675-0.118795j 0.0572947-0.0753352j 0.0521982-0.032175j 0.0411606-0.0735299j 0.0614529+0.029552j -0.0541195-0.0193735j 0.141427-0.0209964j 0.0197341+0.0676175j -0.0268454-0.0482695j -0.0587307+0.078989j 0.0398204-0.0093717j 0.0347012+0.0421077j 0.0343747-0.0695534j 0.120603+0.0182576j 0.131847+0.0165752j -0.0794394-0.0298877j -0.0351413-0.129232j -0.0383615+0.0317452j -0.0121912-0.00202011j 0.0571529+0.125761j -0.0214793+0.0218761j -0.00912472+0.0464811j 0.0851816-0.00414099j 0.0980575+0.0355785j 0.0118355-0.0147353j 0.0661953-0.00906951j 0.0430671-0.0525132j 0.00581453-0.100241j 0.0955308+0.0099476j 0.109349-0.0275487j 0.00988694+0.10561j 0.0653309-0.126082j 0.042568-0.0465647j -0.0187807-0.137253j -0.043357+0.0676479j 0.047946-0.0208669j -0.0818316+0.0137732j 0.04607+0.00549397j 0.0147938-0.00518617j -0.0419142-0.0404793j 0.073422-0.0484539j 0.066557-0.0684635j -0.0571272-0.0915912j -0.0646596-0.0359796j -0.116852-0.010471j -0.0286726-0.0242327j 0.0856066+0.0644959j 0.0106514-0.0796915j 0.016644+0.0547086j 0.077089-0.123762j 0.117557+0.023667j -0.235952+0.0925463j 0.0889128+0.235723j 0.133448+0.139897j 0.137375-0.132486j 
-0.00042428-0.000372992j 0.000157738-0.000120097j 0.000905673-0.000492483j 0.000480755+0.00181346j -0.000205035+0.00243971j -0.00470571-0.000768553j -0.00149151+0.00596076j 0.0034244+0.000856456j -0.00171764-0.00126809j -0.0010501+0.00535187j 0.00729616-0.00229384j 0.0090804+0.00231437j -0.00427637+0.00503685j 0.000729917+0.00105249j 0.00251779-0.000440059j -0.00957058-1.36182e-06j -0.00580711-0.0155407j 0.00975054-0.0071652j 0.0060491-0.00333661j 0.003344-0.0107556j -0.00475037-0.007158j 0.00172086+0.0048791j 0.00252826+0.0072942j -0.0027216+0.0047192j -0.00378488+0.00777662j -0.00303331+0.00223202j -0.00215252-0.00122765j 0.00192686+0.00373407j -0.00151215+0.0011407j 0.00078552-0.00513035j 0.00282523+0.000848477j -0.00693909+0.0069941j -0.00683881-0.00463755j 0.00192951-0.00420913j 0.000392972+0.00656057j -0.0115971+0.000841609j -0.00590381-0.0083019j 0.00541029+0.00366421j -0.000255944-0.0108317j 0.00645704-0.000988769j 0.00202861-0.00442436j 0.00850328+0.00269247j -0.00116429-0.00713472j 0.00207852-0.00331458j 0.0011505+0.00697754j -0.00175469-0.00124574j -0.000997049+0.00329498j -0.000737893+0.00178551j 0.00186516-0.00139699j -0.0089581-0.00381591j 0.00570807-0.00519914j 0.00893131+0.00517245j -0.00116376-0.00109004j -0.00333954+0.00346778j -0.00334471-0.00538212j 0.00720552+0.00313442j -0.00529653+0.00499697j 0.00809537-0.00515566j 0.00083012-0.00440696j -0.000954698+0.00605563j 0.00389307-0.00151345j 0.000346468-0.00314043j -0.00456937-0.00814947j -0.00458729+0.0111206j -0.00684697+0.00366391j 0.00456843+0.00372936j 0.00142758+0.00946867j -0.00784835-0.00264258j -0.00945094+0.00154973j -0.00167808-0.00450893j -0.00791598-0.0029892j -0.00631553-0.000656721j 0.00829593-0.00619607j -0.000948885-0.00373268j -0.00205157+0.00148235j 0.0016532-0.000473504j -0.000862648-0.00123078j 
0.000820941+0.000539088j -0.000193639+0.00135859j 0.000640992+0.00446579j -0.00348817+0.00229885j -0.00497063-0.00128076j 0.00100012-0.00445641j -0.00107244+0.00154642j 0.00185215+0.0026449j 0.010264-0.00341933j -0.00278826-0.00481076j -0.00104109-0.00628942j 0.00458419-0.00779002j 0.00349058+0.00803572j 0.00117793-0.00644708j 0.0152353-0.00227119j 0.00720904+0.00516274j 0.000622514-0.00616044j 0.00294325+0.0175061j -0.000359899-0.00377678j 0.0118389-0.0153857j -0.00849738+0.0011713j -0.00126099+0.00282736j 0.000695198-0.0052183j -0.00251496-0.000944501j 0.00790209-0.00459991j 0.00486842+0.00103507j -0.00657048-0.004026j 0.00240425+0.00173088j 0.0035024+0.0051158j 0.0126168-0.00513676j 0.00317466+0.00693739j -0.00550594+0.00931457j 0.00499219+0.000431744j 0.00996832+0.00200895j 0.0041805-0.000121379j -0.0112073+0.00560243j -0.00534847-0.00228419j 0.00747737+0.00262529j -0.00105587-0.00507467j 0.00274467-0.00596356j -0.00313922-0.00798082j 0.00308957+0.00602782j -0.00160887-0.00119898j 0.0060106+0.0012592j -0.00429608+0.0083097j 0.00734948-0.00910088j 0.00459819+0.0028673j 0.00348779+0.00374195j 0.00367949+0.00258608j -0.00631187-0.00365214j -0.0019239-0.00807418j 0.0083796+0.00589645j 0.00274321-0.00579784j -0.00171406+0.0138138j -1.67916e-05-0.00401434j 0.00395993+0.011861j -0.00179736+0.00736338j -0.0014552-0.00804997j 0.00839651-0.00444981j -0.0048144+0.00395595j -0.00406877-0.00473276j 0.0113488-0.00378264j -0.00421658-0.0061409j 0.00529682+0.00432835j -0.00216598-0.00348007j 0.00371161-0.00782778j 0.000805146-0.00378514j 0.00930551+0.00064819j -0.00748709-0.00365775j -0.00269832-0.00402058j -0.00654928+0.00636242j 0.00847881-0.00275293j 0.00804603+0.00446241j -0.00444204-0.00346496j -0.00131762+0.00528099j 0.0049858-0.000457833j -0.000282117-0.00433115j 
-0.00189321+0.000574336j -0.000496346-0.00174297j 0.00324737-0.00349516j 0.00329431+0.00428075j -0.00316262-0.00866791j 0.00741863-0.000881751j 0.000478396+0.000154996j 0.00167905+0.000286639j 0.00117267+0.00570804j 0.00635231+0.0061676j 0.00707452-0.00424984j -0.0032536-0.00059815j 0.000909228-0.00587961j 0.00427145-0.00659483j -0.00163516+0.000663289j -0.00576243+0.00688614j -0.00338234+0.00343865j 0.000964211+0.000229666j 0.00216998+0.00156202j -0.00279407-0.000257478j 0.000344744-0.00160821j -0.0103561+0.00165097j 0.000132047+0.00542288j -0.001966+0.00232294j -0.00412922-0.00248601j 0.0116694-0.00343127j -0.00748642-0.000839219j -0.00504106+0.00692644j -0.00421445+0.00228106j -0.00277911-0.000811389j -0.00167071-0.00813275j 0.00152309+0.00266811j 0.000911866+0.00211024j 0.00231131-0.000358723j -0.00132575-0.00434667j -0.0083046-0.00643713j 0.00161182-0.00483914j -0.00191905+0.000765675j 0.00151574+0.00594379j 6.81042e-05-0.00258722j -0.0049018+0.00106736j 0.0108238+0.00221613j -0.00587952+0.00732437j -0.00355347-0.00184623j 0.00248415-0.0031044j 0.0072742+0.000926543j -0.00626112-0.00289541j 0.00874714-0.00052613j -0.00220465-0.000853838j -0.00212294-0.00675917j -0.00299479-0.00504583j 0.00313666+0.00139468j 0.0016201-0.00422902j 9.31202e-05-0.000988753j 0.00429908-0.0041911j -0.00398775+0.00604595j 0.0111246+0.00950583j 0.000942951-0.00153757j 0.00459967-0.00600178j 0.00285256+0.0022274j -0.00337338+0.0103783j -0.00722967+0.0001752j -0.00376405-0.00173997j -0.000715595-0.00432718j -0.00417053-0.0020367j -0.00833737+0.00168702j 0.00203387+0.00923787j -0.00716139+0.00513264j 0.00403875+0.00354347j 0.00280815-0.00127447j 0.000460658+0.00088814j 0.0071165-0.00156791j 1.47503e-05+0.0059984j -0.000849432+0.00186033j 0.00194916+0.00120564j -0.000103834+0.000299907j 0.00030891+0.00029079j 
-8.14649e-05-9.44838e-05j 0.00023362+1.75849e-05j -0.000273422+0.000657021j -0.000301253+0.000180835j -0.00123629+0.00116171j -0.000891989-0.00131909j 0.000184655-0.0014625j -0.00219637-0.000999313j 0.000902394+0.00304542j 0.00607152-0.00186307j -0.00603118-0.00864507j 0.00393106-0.00797079j 0.00489773-0.000870155j 0.000496732+0.00300034j 0.000463606-0.000695167j 0.00626982-0.00297644j 0.0127651+0.0060999j 0.00109127+0.0154368j -0.00416006+0.0173959j 0.00318444+0.00115471j 0.0210674-0.000140847j -0.000108386+0.00640363j -0.000924153-0.00213383j -0.00131116-0.00421413j 0.00810301-0.0107635j 0.0135929-0.0060977j -0.00192225-0.00386611j -0.0027176+0.00846009j 0.00465895+0.000526345j -0.00681109-0.00306989j -0.00640698+0.00734829j 0.00296187-0.000865605j -0.000919728+0.00192934j 0.00340926+0.00806947j 0.00902926+0.00615008j -0.0049604+0.00135412j 0.00425148+0.00377891j -0.00439579-0.00420285j 0.00378119-0.00273352j -0.00843752+0.000939496j -0.00672789+0.00988892j 0.00804179-0.00405803j 0.00407074-0.00146083j 0.00588465+0.00400746j -0.00425386-0.00566188j 0.00155162-0.00122771j -0.00122048+0.00216962j 0.00992792+0.00277504j -0.00135979+0.00109823j -0.00377957-0.00952629j -0.000549992-0.00133818j 0.00432454+0.00539402j -0.0021829-0.00246291j 0.00381703+5.24797e-05j 0.00426812+0.000591001j 0.00770794+0.00696779j 0.00630728+0.000409315j -0.000687739+0.00756797j 0.00953843+0.000426851j -0.000935012-0.00482976j -0.0140222+0.00477934j -0.00208694-0.0121858j 0.00414574+0.00303233j 0.00850593-0.00240118j 0.0085662+0.00296325j 0.0042985-0.0130798j 0.00224758-0.00784716j 0.00534137+0.0113043j 0.00593599+0.00239609j 0.0033327+0.00360391j 0.0065917-0.00010787j 0.00150459-0.00604212j 0.00433051+0.000354836j 0.00143838-0.00194021j -0.00128583-0.00125534j 5.01321e-05+0.000518723j 0.000602247+9.29493e-05j 
0.000595-0.000333555j 0.00076874+0.000548961j -0.00207513+0.00192656j -0.00136757-0.0017767j -0.00415785+0.00747034j -0.00778539-0.00591074j -0.00212081-0.000853556j -0.0047185-0.000789846j -0.00530042+0.00286778j -0.00144805+0.0106137j 0.00332773+0.000288881j 0.000304172-0.00373964j 0.000662245-0.00192997j 0.000409675+0.00491486j -0.00553776-0.00161998j -0.00569913+0.00868331j -0.0141906-0.0121321j -0.0023091-0.0134349j 0.0109066-1.19246e-05j -0.000842802+0.00345945j 0.0104623-0.00525849j -0.00431968+0.00745635j 0.00499829+0.00577922j 0.00288467-0.00322254j -0.00350051+0.00853413j -0.000836478-0.00179933j 0.00353299-0.000277711j -0.00804958+0.0103791j -0.00386134+0.00162304j -0.0130538+0.000798714j -0.0016547-0.00388889j -0.00190452+0.00213179j -0.00522855-0.00287115j 0.000189861-0.00319441j -0.00291821+0.000406684j -0.011411-0.00296152j -0.00631767-0.00422255j -0.0032322-0.00132394j 0.00211774+0.00102807j -0.00358855+0.00360675j 0.00279668+0.00206345j 0.00659231-0.00174101j -0.00627168+0.0028177j 0.00343555-0.00485256j 0.00352841-0.00266008j -0.0016697+0.000792528j -0.00329113-0.00241465j -0.0010498-0.00449805j -0.00415978-9.47751e-05j -0.00184391-0.00548579j 0.0086725-0.00220131j 0.015696+0.00575106j 0.00232428+0.0110367j -0.00492318-0.00383209j -0.00202762+0.000498537j 0.00166283+0.00306101j 0.00671442+0.00284741j -0.000407608-0.00478629j -0.00385122-0.00988025j 0.00551428-0.0128683j 0.0127577-0.0105203j 0.000607607+0.00190725j 0.00293149+0.00121641j 0.00351579+0.00499089j 0.00162007+0.00306107j -0.00413026-0.00462649j 0.0010466+0.00909743j -0.00836132-0.00111453j -0.00310312+0.00408758j -0.00316093+0.00197777j 0.000153829+0.00151947j -0.00764909+0.00141592j -0.000644619-0.0096988j 0.00360542-0.00595434j -0.00528238-0.00397656j -0.000259426+0.00137154j 0.00177233+0.000251384j 
-0.000346803-0.00127527j 0.00116419-7.66038e-05j 0.00135084-4.04143e-05j -0.000313444+0.00239533j -0.00350297-0.00110608j -0.000882339-0.00255799j -0.00172844+0.00423694j 0.00231504+0.0019387j 0.00355998-0.00404004j -0.0152176-0.00391541j -0.00399964+0.0153839j -0.00633582-0.0123253j 0.0065867+0.00025665j 0.00918036+0.00114876j 0.00255413-0.00227747j 0.0113012+0.00468034j -0.00076579+0.00852229j -0.00746875+0.00487433j 0.00331512+0.000181523j 0.0041442+0.00369719j -0.00366204+0.00532949j -0.00562402+0.00233765j 0.000718436-0.00434095j 0.00246489-0.00633154j 0.000453564-0.00322098j 0.00283997-0.00413748j 0.00183209-0.000558723j 0.00258401-0.00163036j -0.000411566+0.00119615j -0.00086354+0.00140876j 0.00624813-0.00126957j -0.00237839-0.00197353j 0.00268032-0.00618525j 0.00746266-0.00138126j -0.00370395-0.00491191j 0.0088581+0.00249598j -0.000551244+0.00116305j -0.000214317+0.00300375j -0.000390479+0.00294887j -0.00582623-0.00052199j 0.00127598-0.005004j -0.00323672+0.00408008j -0.00495492+0.000737239j 0.00586804-0.00301295j 0.000245433+0.00125669j -0.00494156-0.00201691j 0.00422387-0.0109254j -0.00492671-0.0029572j -0.0043639+0.000871368j 0.00317254+0.00361407j -0.00264136+0.00123243j -0.00120296+0.00112588j 0.00662965+0.00924513j 0.00143887+0.00783604j -0.00412652+0.0081037j -0.00402141-0.00158124j 0.00674837-0.00614562j -0.0058987-0.00510128j -2.30274e-05-0.000692779j 0.00205829-0.0166234j 0.00520058-0.000734484j 0.0150973+0.00733641j 0.0101146+0.00639157j -0.00500822-0.00182214j 0.00742712-0.00598543j 0.00168916-0.00719714j -0.0103628-0.00147215j 0.00494018-0.00715608j -0.00348302-0.00483782j 0.00391374+0.000665785j 0.00119564-0.00346982j 0.00387233-0.00271448j 0.00152869+0.0057413j -0.00518743+0.00405484j 0.00393317+0.00597357j 0.000609019-0.00190474j -0.00209292-0.00033651j 
-0.000900512-0.00207503j 0.00226671-0.000521999j 0.00241611+0.00074514j -0.000910274+0.00457247j -0.00658393-0.00318325j 1.07898e-05-0.000429951j 0.00890733+0.00657422j 0.00667021-0.00544375j 0.0118604+0.000804717j -0.00264246-0.00740686j 0.00240497-0.00263641j 0.00120894+0.00378767j -0.00598879-0.00142081j -0.000643693-0.00267122j -0.011224+0.00419356j 0.00183175-0.00152438j 0.00386806+0.0110633j -0.00119312-0.0135867j -0.000372051+0.00784243j -0.00388704-0.00707352j -0.00431735-0.00682761j -0.00391093+0.00267808j -0.00118393+0.00568342j -0.00480988-0.00849533j -0.00261617+0.00390372j 0.00766734-0.00326781j -0.000688927-0.00594448j 0.000629285+0.00580063j -0.00494845-0.00391946j -0.00128957-0.000463749j 0.00154195-0.00652061j 0.000727866-0.00567692j -0.00319953-0.00688025j 0.000921138+0.00145381j 0.00104279-0.00543602j -0.000221879+0.00684304j -0.000981053+0.00826504j 0.00502426-0.000864686j -0.00226891+0.00249708j 0.00777077+0.00453075j -0.0108744+0.00641392j 0.00749013+0.00252629j -0.000637132+0.000578106j 0.00198819+0.000470126j -0.00490678-0.00985794j -0.00426132-0.00379885j 0.00449159-0.00183407j -0.0104432-0.00514893j -0.000201169+0.00532017j -0.00426218+0.000628918j 0.00389475+0.00332131j -0.00172434-0.00914846j -3.5909e-05-0.00302601j 0.00229396-0.00484581j -0.00192851-5.94328e-05j -0.00355848+0.00230129j -0.0121599+0.00208262j -0.00183915-0.0121378j -0.00110903+0.0125703j 0.0115175-0.00309372j -0.00768457+0.0146154j -0.00634097-0.0022797j 0.0109595+0.00621334j -0.00385962+0.00765314j -0.00195277-0.00725742j -0.00588153+0.00188303j 0.00608727+0.00810743j -0.00244265+0.00459466j -0.00177689-0.00184356j 1.39009e-05+0.00242235j 0.00102309+0.000576095j 0.00224923-0.00179278j 0.00138679+0.000914058j -0.00157728-7.74699e-05j 0.000459002+0.00239002j 0.000673998-0.000382518j -0.000345443-0.000250966j 
0.0011284+0.000393816j -2.69101e-05+0.000879873j -0.00465029+0.0039089j -0.00386684-0.0052485j 0.00303308+0.00390133j -0.0028912+0.00269804j 0.00394338-0.00359157j -0.00345602-0.00124899j 0.00404408+0.00102637j 0.00160169-0.00697909j -0.00335967-0.00614409j 0.0045617+0.00901155j -0.00314144+0.00296535j -0.0115903+0.00321592j 0.000771097+0.000158006j -0.000176517-0.00715487j 0.00474073-0.00461786j 0.00226707-0.00108553j -0.00719-4.52549e-05j -0.000477584-0.00418685j -0.0029658+0.00360402j 0.00386646-0.0102613j -0.0044586-0.00460952j -0.00255736-0.00165758j 0.00372319+0.000294416j -0.00868445+0.00604615j 0.00268762-0.000655119j 0.000708158-0.00459662j 0.00491742-0.00491295j 0.00762352-0.00412437j -0.000490898+0.00549694j 0.0016386-0.000482393j 0.00381695+0.00254578j -0.0022294+0.00264945j 0.00284226-0.00252412j 0.00361125+0.00413376j 0.00231459+0.00728472j 0.000829481-0.0034299j -0.00276351-0.0032027j 0.00435951+0.00181323j -0.00175972+0.00298168j -0.00966271+0.00145955j 0.00496088-0.00276919j -0.000285686+0.00393165j -0.00247748+0.00274049j 0.0016122-0.00531159j 0.00754748+0.00763671j -0.00490053+0.00291159j 0.00713432+0.00233761j 0.00105263+0.00331634j 0.00181103+0.00568819j -0.00198114-0.00288892j -0.00681207-0.00223625j 0.00167067-0.00362906j -0.000101497-0.00318696j -0.00048618-0.000560228j -0.0181377+0.00222926j 0.000790425-0.000664631j 0.000887928+0.00803108j 0.00270718+0.0107483j -0.00404955-0.00269538j -0.00284342-0.00538425j -0.00137706+0.000378996j 0.00603916+0.00219908j -0.00335805-0.00195171j 0.000980702-0.000473193j 0.000199021-0.00995915j 0.00830802-0.00355363j -0.00106028-0.0048329j -0.00700242+0.00162594j 0.00175389+0.00712909j -0.00165772+0.000328452j -0.00127309-0.00419684j 0.000113443-0.00357445j -0.00386811-0.000710345j 0.000523075+0.00149059j 0.00188878-0.000815134j 
-7.81684e-05+0.000829635j -0.000676364-0.000431261j 0.000863569-0.000715902j 0.000681471+9.89289e-05j -0.000675125-0.00740309j 0.00990683-0.00121251j -0.00197556-0.00791448j -0.00399088+0.00171285j 0.000401583+0.00609132j 0.0120341-8.64048e-05j 0.000817895-0.0073357j -0.00472663+0.00693973j 0.000855157-0.00392324j -0.00584961-0.00749845j 0.00507356-0.00140457j -0.00503412+0.00100344j -0.00109933-0.00283579j 0.00474554+0.0055286j -0.00282859-0.00357036j -0.00457992+0.00266567j -0.00204693+0.00157555j -0.00335487-0.00669216j -0.0038806-0.00128712j 0.000491181+0.00686575j -0.00241137-0.00342864j 7.18755e-05-0.000418687j -0.00781064+0.00324714j -0.00381709-0.000857783j 0.000707622+0.00120969j 0.00434171+0.000395076j -0.00298974-2.53024e-05j 0.0031293+0.0033403j 0.00986817+0.00702381j -0.000356063-0.000489972j -0.00120297-0.0063335j -0.00542721-0.00515947j 0.00279067-0.00409375j -0.00106984-0.00145128j 0.00132731+0.00580648j -0.000336142-0.00390649j -0.000429983+0.00142773j -0.00294875+0.000391503j -0.000309831+0.00714348j -0.00791153+0.00278455j -0.000498318-5.51474e-05j 0.00912968-0.00276368j -0.00325147+0.00350955j 0.0110322+0.000243405j 0.00262497-0.00252475j 0.00105598+0.000177647j -0.00453573-0.00126212j -0.00172079-5.37118e-05j -0.00319657-0.00750054j 0.000299136-0.00189164j 0.00317541-0.00721142j -0.00452973+0.00365022j 0.0091868+0.00740584j 0.00372115+0.00595807j 0.00375204-0.00955188j -0.000157347+0.0123885j -0.00105081+0.00471973j -0.00896559+0.00411503j -0.0114098-0.00176897j 0.00155137-0.0104086j -0.00421823-0.000598097j -0.00827839+0.00471631j 0.00189736-0.00253872j 0.00288896+0.00197792j 0.00768786-0.000842975j -0.00251942-0.00178396j 0.00181465+0.00623661j 0.00672703-0.000822758j -0.00225958+0.00394179j 0.00330107+0.000471381j 1.36549e-05-0.0041508j -0.00115703+0.0007609j 0.000989126+0.000807834j 
0.0015974+0.000290557j 0.000212327+0.0014662j -0.00207122+0.00425196j -0.00384074-0.00246483j -0.00180661+0.00320478j -0.00200606-0.00441962j -0.00363025-0.00423955j -0.00585837+0.0030566j -6.38281e-06+0.00257379j -0.00335161+0.00157639j -0.00216099+0.00447754j -0.00858992-0.0039361j 0.00669525-0.00226466j -0.00212777-0.000411615j 0.00455983-0.00563687j 0.00731281+0.00298154j -0.00592115-0.00358027j -0.00277477+0.0057782j 0.0019507-0.00420542j 0.00296116+0.00410124j 0.00410116+0.00454453j -0.0028075-0.00140724j -0.00206094-0.00722894j 0.00284216-0.00471343j 0.0021273-0.00133734j -0.00483134-0.00149227j 0.000114111-0.000192504j -0.00381564+0.000747855j 0.00375796+0.000879421j 0.000274505+0.00213239j 0.000525281+0.00280049j -0.000550553+0.00365192j 0.00672865+0.000809321j 0.00373107-0.00267314j -0.00296775-0.0066058j -0.00132597-0.00066032j -0.00224173+0.00138983j -0.00124125-0.00148754j 0.000703633+0.00384724j -0.00662936+0.00193558j 0.00161711-0.00169252j -0.00781067+0.00278246j -0.00290032+0.00633252j 0.00136976-0.00184846j 0.000364114+0.000583235j 0.00245995-0.00498743j 0.00171926-0.00317319j 2.2831e-05-0.00112177j -0.0003417+0.00160723j 0.00318887+0.00143633j 0.00182789+0.00090242j 0.00778987+0.00241204j 0.0047309+0.00534006j 0.00134005+0.00311008j -0.000102838+0.00218346j -0.00462864+0.00295566j 0.00502295-0.00210642j -0.0039203+0.00129533j -0.000946568-0.0083612j -0.00324098-0.00776048j 0.0054627-0.014064j 0.0100464+0.000758992j 0.00185026+0.00146202j 0.00498419-0.00395528j 0.00346046-0.00534351j -0.00554686-0.00856768j -0.00530834-0.00388661j 0.00523536-0.00581357j -0.000464535-0.00162849j -0.00308966+0.0023436j 0.00271483+0.00597738j 0.00148163-0.000156921j -0.0022907-0.00180958j 0.000276566-0.00311748j -0.0031353-0.000910043j 0.00142809+0.000783584j 0.00132213-0.00158578j 
-0.00309204+0.00122585j -0.00156835-0.00297667j -0.0039002-0.00412957j 0.00178789-0.00315757j 0.00372235-0.00239417j -0.00379539+0.00161825j -0.00419503+0.00427629j -0.00361002+0.00514046j -0.00499992+0.0132511j -0.0031898+0.00141059j 0.00481101+0.00742744j 0.00544392-0.000591298j 0.00833784-0.000352734j 0.000231303+0.00935436j 0.00538937-0.0100535j -0.00622241-0.00412113j -0.00459563-0.00114296j 0.00258429+0.00378472j -0.00442086+0.000884849j 0.00058469+0.0106962j 0.00517236+0.00263312j 0.00483067-0.00802765j -0.00142717-0.00836421j -0.00334371+0.00841739j 0.00146006+0.00723725j -0.01158+0.00124871j -0.00378837-0.00023915j 0.00752266-4.89142e-06j 0.00980176-0.00245025j -0.00239682-0.00169482j -0.00560416+0.00413508j -0.00677125+0.0115543j 0.00388488+0.00108697j -0.00144329-0.00369102j -2.4368e-06+0.00349786j 0.00665486-0.00309389j -0.00365243-0.002393j -0.0102666+0.0023597j 0.000524906-0.0110312j -0.00709534-0.00206164j -0.000109262+0.000245795j -0.0123891-0.0050512j 0.00201348+0.000693711j -0.00779228-0.00737288j 0.0037387+0.00501183j -0.00512521-0.00273848j -0.000636247+0.00495441j 0.00332284+0.0069311j -0.00119495-0.00501423j -0.00662295+0.00418821j -0.00156152+0.0035769j 0.00262736+0.00253968j -0.0015872+0.00410015j 0.00386911+0.00389562j -0.00564134+0.00181718j -0.00830882-0.00663749j 0.00515754-0.0013999j 0.0100259+0.0142746j 0.00353506-0.00652966j -0.00748105+0.00330996j -0.000404646-0.00841861j 0.0066547+0.000511057j -0.00357857+0.00131184j -0.0020077+5.94019e-05j 0.00121272+0.00269453j 0.00636322+0.000514964j -0.00294963+0.000182942j -0.00404176+0.00193611j 0.00282726-0.000467823j 0.00185394-0.000737109j -0.000247931-0.00496554j -0.00378539+0.000367174j 0.000832892-0.00136421j 0.000671502+0.000861556j 0.000173068+2.0121e-05j -0.000177991+0.000248227j -0.00023997+0.000238711j 
0.00201095+0.000839999j -0.00074116+0.00169574j 0.00177637+0.00162614j -0.000826172+0.000589825j -0.00169717+0.00101716j 0.00199732-0.00403679j -0.00458351-0.00350095j -0.00126415+0.000907751j -0.00414931-0.00347077j 0.00504124+0.00318544j -0.00328042+0.000608536j -0.0103039-0.00282645j 0.000539622-0.00232113j 0.000542935-0.00749651j 0.00142111+0.00256782j 0.00684018+0.00541661j -0.00383825-0.000667368j -0.000278386+0.00534526j 0.00404365-0.00481119j 0.00123659-0.000607046j 0.00200956+0.000465762j -0.00296749+0.00638696j -0.00114596+0.00204449j 0.00722237-0.00495079j 4.27404e-05-0.00510841j 0.00503277-0.0021191j 0.00138155+0.00171082j -0.00667454+0.000137279j -0.00362055+0.00529543j 0.000205852+0.00520283j 0.0021966+0.00115087j 0.00321683-0.00315518j 0.000254225-0.000310982j 0.00240367-0.00235048j -0.00161344-0.00171564j -0.00692138-0.000885819j 0.00049339-0.00273911j 0.00570534-0.00133746j 0.0027289+0.00846236j -0.00315664+0.00197109j 0.0036763-0.00348632j 0.00579051+0.00336242j -0.00259811+0.00418284j 0.00219707+0.0027489j 0.000436432-0.00291541j 0.0041582+0.00236308j -0.00380351-0.00429626j 0.00513066-0.00513978j -0.00158687-0.000558601j 0.00663247-0.00374205j -0.000960222-0.00458153j 0.00295853+0.00174058j 0.00582775-7.3915e-05j -0.00195366+0.000644369j 0.00448772+0.000377971j 0.00436292+0.00327139j 0.00900031-0.0042348j -0.00433282-0.00172089j -0.00547947-0.00588375j -0.00238838-0.00364122j 0.00264128-0.00492628j 0.00210555+0.00126928j -0.00169723-0.000812442j 4.68455e-06-0.00552132j 0.00212554-0.00137704j -0.00553852-0.00105613j -0.00126054-0.000503731j 0.00138644-0.00253357j 0.00149303+0.00128484j -0.000454697-0.00156191j -0.000279285+0.00268437j 0.00299546+0.000207277j -0.00102274+0.0018542j 0.000868325+0.000236433j 0.000357396-0.0017013j -0.000404045+0.000160968j 0.000338424+0.000122192j 
