0.176391+0.0867161j 0.0868013-0.178j 0.218462+0.124588j -0.138556+0.249813j 0.183665+0.117803j -0.00334472+0.15219j -0.0542586+0.0986883j -0.118462+0.161882j 0.0976538-0.0807969j 0.0592635+0.0487647j 0.123161-0.0366077j -0.0788506-0.0592977j -0.0249518+0.00950684j -0.0730326-0.0118534j 0.156496-0.00795325j -0.0925962+0.0197005j -0.0243526-0.00930085j 0.0540323+0.0485634j -0.0404265+0.0969776j 0.117413-0.00903821j -0.0169538-0.00397189j -0.103957-0.118196j -0.102193-0.0422535j 0.0765677-0.0307415j -0.144547-0.145062j 0.00481381+0.185239j 0.0538452-0.244261j 0.224185-0.0087306j -0.0388152-0.323949j 0.321505-0.0393722j 0.176952-0.125641j 0.122422+0.176257j -0.0684774-0.108857j -0.113154+0.0713024j 0.0541404+0.050535j -0.00954257+0.069788j -0.0400313+0.0472921j -0.0628528+0.0168582j 0.039197-0.00525355j 0.0251531+0.0114049j -0.0398378-0.00434697j -0.0264007-0.0376464j -0.0133693-0.0225775j 0.0109275-0.0116934j -0.00798488-0.0118867j 0.00524763+0.00883154j -0.0116055-0.025438j 0.0230418+0.0067361j -0.00415636-0.00696922j 0.00788261+0.00583071j -0.000244882+0.000652955j 0.0158015-0.0310549j 0.00362249-0.00474271j -0.00744836-0.00329844j 0.012452+0.0198082j 0.00391004-0.0131366j -0.00400864+0.0141554j 0.00776486-0.00768972j 7.90174e-05+0.00409775j -0.000548415-0.00044931j 0.0179744-0.00305372j -0.0103583-0.0203775j 0.0106498+0.00678515j 0.00977266-0.0197423j -0.00783282+0.0094113j 0.000907478-0.0143587j -0.0207013+0.0127855j 0.0177985+0.0151363j -0.0115148+0.0321155j 0.0297558+0.00917713j -0.00253363+0.042248j -0.0419932-0.00230574j 
0.00138667-0.00291249j -0.0028661-0.000497178j 0.00420017+0.00240792j -0.00120109+0.0010339j -0.00230685+0.000563312j 0.00172777+0.00310633j -0.00160392-0.000674891j -0.000920037-0.00264651j -0.00146497-0.000770031j -0.00311053-3.63694e-05j -0.000111059-0.00130715j 0.00182489-0.00158819j -0.00086873-0.00218267j 0.00137804+8.81161e-05j 0.0001268-0.00119286j 0.000859424+0.00097072j 0.00205082-0.000188614j 0.00160566+0.000786698j 8.51159e-05+0.000451686j -0.000349448-0.000219326j -0.00217371+0.00019482j 0.000906946-0.000458722j -0.00273383+0.00012663j 0.00180337+0.000518668j 0.00129159-0.000375283j 0.000952944+0.000635489j 0.00282135-0.000677767j 0.000164694+0.00194247j 0.00157178+0.00161535j -0.000404332+0.0017527j -0.00189426-0.000196804j 0.000961083-0.00265887j -0.00400196+0.00390565j 0.0043922+0.00209373j -0.00267729+0.00383856j -0.000912789-0.000184659j 0.00447205+0.0044431j -0.00339327-0.000161806j 0.00424786+0.000876977j -0.00140999+0.00200436j 0.00213717+0.00487481j 0.00198894-0.000111063j -0.00201141-0.00216823j 0.000118839+0.00128377j -6.27832e-05-0.0013066j 0.00362323+0.00138199j 0.000863472-0.000236479j 0.00232973-0.00411306j -0.000245591-0.000857129j -0.000385934+0.00301677j 0.00445204-0.000912852j 0.00347514+0.000322813j 0.00222046-0.00023439j 0.000556421-0.00231263j -0.00351341-0.00479931j 0.000448499+0.00201375j -0.000970613+0.00480766j -0.00246921-0.00126272j 0.00166409-0.00116253j 0.000259305-0.00266811j 0.00199898-0.000945125j -0.000181829+0.00236972j -0.000315772-0.00103632j 0.0012367-0.00166418j -0.00100494-0.00137286j -0.0033674+0.00230877j -0.00226188+0.00121114j -0.00109373-0.00273926j 0.00224781-0.00202465j 0.000917562+0.000665415j -0.00353815+0.00340345j -0.00418436-0.00329561j 
0.00137965-0.00250957j -0.00333328-0.00227836j -0.0014389+0.00611563j -0.00214467-0.000706898j -0.000652386-0.00326267j -0.00378012+0.00147773j -0.000399736-0.00152319j 0.00376133-0.00149072j -5.81139e-05-0.00138355j -0.000490389-0.00518372j 0.00347447+0.000307351j 0.00198639+0.00340732j 0.0030675+8.99894e-07j -0.000710267+0.00307255j 0.00121777+0.000149991j -0.00169597+0.00138617j -0.00111129+0.0039323j -0.00041561+0.00213881j 4.8228e-05+0.00102678j 0.00189828-0.000964929j -0.000283258-0.0033264j 0.00175546+0.00108547j 0.000807146-0.00317118j 0.000558687+0.00227193j -0.00148043+0.00136854j -0.00128108+0.000414845j 0.000434776+0.000892164j -0.000811069-0.000623055j -0.00062802-0.00105365j -0.000778593+0.00218035j -0.00188224-0.000723776j 0.00237874-0.000181881j -0.0030783-0.00227411j -0.00108382+0.00265324j -0.00543461-0.00167932j -0.000456478-0.0012161j -0.00520914+0.00350918j 0.00360001-0.00361571j -0.00081062+0.00326454j -0.00342817-0.000377979j -0.00474213+0.00147541j 0.00173554+0.00253871j 0.00181913-0.000226936j -0.00286609+0.000495753j -0.000411042+0.00126892j -0.000982376+0.00223184j -0.00079861+0.000295716j 0.00424832+0.00145647j 0.000893135-0.00128753j -0.00173334+0.000115017j 0.00222846+0.00604202j -0.00229128+0.00282042j 0.00219155+0.00199996j 0.00203033+0.00172549j 0.00235779-0.00404211j -0.00241761+0.000176233j -0.00545934-3.42134e-05j 0.000293299-0.00526495j -0.000175357+0.00312916j 0.00283128-0.00407099j 0.00183432+0.0011092j -0.00199356+0.00321242j 0.00467702-0.00188508j 0.00196603+0.00156734j -0.00263723+0.00219672j -0.00108392-0.000770055j 0.00106461-0.00199249j 0.00680663-0.00189418j 0.00253356+0.00169046j -0.0025384+0.00147362j -0.0018367-0.000435804j -9.94085e-05-0.00247672j 
0.00212356-0.001586j -0.00101426-0.00193468j -0.00135618+0.000886219j 0.00125977+3.18731e-05j 0.00125839-0.00100761j 1.50368e-06+0.000146883j 0.000349142+0.000304508j 0.000318391+0.000725151j 0.000583927-0.000262468j 0.00242754-0.000276458j 0.000953406-2.23756e-05j -0.00129804+0.000238592j 6.04932e-05+0.000525244j -0.00060627-0.000418026j 0.000825015+0.00103512j 0.000372566+0.000118332j 7.38853e-05-0.00034439j 8.87697e-05+0.000469926j -0.00081695+0.000971058j 0.00136948+0.000616022j -4.16859e-05+0.000409722j 0.000546772+0.000490603j -0.000304716+0.00193746j -0.000317174+0.00092476j -0.000566943-0.0016134j -0.000433363-0.000407487j 0.0001014-0.0010685j 0.000749821+0.00248442j 0.00293284+0.000657447j -0.00120242+0.000214666j -0.000344006-0.000678991j 0.000441908+4.10367e-05j 0.000243506-0.000881194j 7.02159e-06-0.00134749j -0.00500385-0.000494505j -0.00176897-0.00209677j 0.00140215-0.0022954j 0.00351253+0.00443847j -3.54762e-05-0.000817623j 0.00118916-0.00331473j 0.00189787+0.00257224j -0.00351585+0.00772072j -0.00470124+0.00381755j -0.000944907-0.00174517j -0.00531365-0.00393878j 0.00146327-0.000824622j -0.00174893-0.00461947j 0.00109852+0.00164712j 0.00109044-0.00158553j 0.0015734+0.00191818j -0.00394018-0.0012893j 0.000839068-0.0025345j 0.00455984+0.000566849j -0.00382053-0.000168185j 0.00267939-0.000770309j 0.00218016+0.00252351j -0.00121666-0.00190824j 0.00197142+0.00135734j 0.000868357-0.00280287j 0.00419355-0.00116818j -0.000876135+0.00198638j -0.000820143-0.000779354j 0.00309888+0.00279382j -0.000477539-0.00112113j 0.000250376-0.00589792j -0.0021913+0.00122083j 0.00245929-0.000416162j 0.00191641+0.00179623j -0.00110947+0.000460772j -0.00260958-0.000668619j -0.0021552+0.00466945j -0.00482469-0.00315781j 
-0.0014191+0.00419087j 0.00475324+0.00104404j 0.00145068+0.000546744j 0.00119912-0.00280432j -0.0022665-6.89544e-06j 0.000984627-0.00101534j 0.000619034-0.0012147j 0.00257589-0.000903446j -0.000447429+0.000359383j -0.00365526-0.00181904j -0.00126198+0.000405422j 0.00207176+0.0012656j 0.000229116+0.00322604j -0.00325723+0.000102255j 0.00124318-0.000234607j 0.000507447+0.0011158j -0.00210501+0.00255508j 0.000555053-0.00160249j 0.0017771+0.00252497j -0.000907665-0.00457792j 0.0026547-0.00157116j 0.00160146-0.000322569j 0.00274918-0.00296783j 0.000755846-0.00144299j -0.00211736+0.00204304j 9.86961e-05-0.000300142j -0.000195148+0.000377519j -0.00126657-0.00346776j -0.00198635-0.00205576j 0.00290242-0.00095213j 0.00139489+0.00106442j 4.99199e-05+0.00161251j -0.000240617-8.6154e-05j -0.00144281-0.00215663j 0.000106539+0.00959402j -0.0018538+0.00266564j 6.32897e-06+0.000273539j 0.00195639-0.0010843j 0.00111523-0.00158891j -0.00184162-0.000540627j 0.00309687-0.000943676j 0.00581109+0.000873863j 0.00390783+0.00396994j 0.00200192-0.000868325j -0.0050755+0.00414272j -0.00312942+0.000166605j -0.00578294-0.000690569j -0.00282554-0.00125436j -0.00141249+0.00166705j 0.00175428-0.00657719j -0.00411751+0.00200214j 0.00174167-0.00173505j -0.00337886-0.00540198j -0.000897321+0.00733639j 0.00200423-0.00152652j 0.00202591-0.00218304j -0.00110836-0.00112278j 0.00381325-0.00303163j -0.00519125-0.00294381j -0.00211885-0.00061531j 0.000589194+0.00147564j -0.000192811-0.000331395j 0.000463531-0.00291456j 0.00171856+0.000990316j -0.00138244-0.00249895j 0.000112453-0.00357679j -0.000657009-0.000363698j -0.00212188-0.00512543j 0.000394839-0.00338886j 0.000624211+0.00328845j 0.00454714-0.000534672j 0.000411026+0.00522088j 
-0.00343994+0.00119933j 0.000883445+0.00300739j 0.000397002+0.00333948j 0.00143985-0.000846246j -0.00370479-0.00244829j -0.000519429-0.001543j 0.000674192+0.000724798j 0.00122293+0.00378686j -8.45532e-05-0.000357274j 1.91782e-05-0.00459871j -0.00119621-0.00363321j -0.00150602+0.00413306j -0.00326468+0.00310965j -0.00333988-0.00565513j -0.00132272+0.0023066j -0.00160631-0.000782564j -0.00394824-0.0012085j 0.000532816-0.000735872j -0.00302646+0.0019226j 0.0021329-0.000617834j 0.0028068-0.00158701j 0.000409453+0.00343781j 0.00330049+0.00228451j 0.000555428+0.000721855j 0.000152072+0.000612417j 7.87693e-05+0.000728767j -0.0017362+0.00281726j 0.00387675-0.000763312j -0.00110729-0.00273597j -0.000506369+0.00207349j -0.00076428+0.00245938j -0.00167199+6.27113e-05j -0.00179732+0.00153215j 0.00268103+0.00139837j -0.00521996+0.00116546j -0.00246648+0.000636046j -0.000738073-0.000555155j 0.00509104+0.000148775j -0.00262706-8.96862e-05j 0.001406-0.000963917j 0.00210469+0.00359391j -0.000585338+0.00636607j -0.000817589+0.00537684j 0.0043217-0.0029444j -0.00222095-0.000620703j -0.000838669-0.00165856j -0.00441471-0.00171393j 0.00209868-0.000244654j -0.00013926-0.000582075j 0.00332516-0.0028672j -0.00394144-0.00264102j 0.0037831-0.00176013j 0.00175995-0.00433474j -0.00686994+0.000514076j 0.0019801+0.0012088j 0.00688817+0.00187412j -0.00140566-0.004188j 0.00410713+0.0040088j 0.000506256-0.00656375j 0.000418826+0.000389643j 0.000385026+0.000467766j 0.00180769-0.00239837j 0.00235076-0.00171277j -0.00119742+0.000438746j 0.0021987-0.00295161j 0.00448947+0.00161016j -0.00267102-0.00434065j 0.0104953-0.00263844j 0.00214063+0.00330598j -0.00445702+0.00313768j 0.000647217-0.0061155j 0.00447891+0.000516164j 
-0.00370273+0.0022946j 0.000309184+0.00466037j 0.00722997-0.000456958j 0.000771448+0.00145517j -0.00563653+0.00116912j 0.00321903+0.00305872j -0.000419341+0.00209302j -0.00293783-0.00112196j -0.000866338+0.000343981j -0.00628683+0.000321644j -0.00313101-0.00560057j 0.00344149-0.00293755j -0.00355241-0.00110632j 0.00327208-0.00458446j -0.000531979-0.000654905j 0.00254573-0.00053427j 0.00412168-0.00306762j 0.00523568-0.0015866j -0.0015121+0.0005321j -0.00354933-0.00269339j -0.00213923+0.00254108j -0.000611936-0.00113317j -0.00357322-0.000151589j 0.00101298-0.00134121j 0.00457255+0.000771817j 0.00355138+0.00309389j -0.000116509+0.00307906j -0.0010967-0.00226064j -0.00159126+0.00148137j 0.00406275+0.000857495j 0.00206161+0.00168227j -1.72776e-05-0.000479561j -0.00116228+0.00305566j 0.000973546+0.00139768j -0.0037495+0.00221537j -0.000622991+0.00127655j -0.000280478+5.24065e-05j 0.0028106-0.00168448j 0.000252276-0.000551728j 0.00136841-0.000373882j -0.000296715+0.000974488j 0.000930055+0.0014396j 0.000446978+0.00172571j 0.00194269+0.00166839j -5.11244e-05+0.000710497j 0.00208077-0.00187234j -0.00267031-0.00100858j 0.000425909-0.00024955j -0.00124993+0.00127136j 0.00120478-0.000190646j -0.00218429-0.00304006j 0.00231457-0.000208217j 0.00106041-0.00364143j -0.00281974-0.00165256j -0.0012793+0.000730275j 0.00511136-0.000705664j 0.00165092+7.36239e-05j 0.00173222+0.00190912j 0.00283469-0.00400801j -0.00106685+0.000543955j 0.00137533-0.00141139j 0.00170096-0.00103934j -0.00209557-0.00263123j -0.00215931+0.00105084j 0.00319325+0.00139322j 0.00265995-0.00100832j -0.00322491-0.000364397j 0.00219298-0.00527076j -0.00030079-0.00132365j -0.000598247+0.00613532j 0.00136592-0.003212j 0.00282767+0.00171861j 
-0.00530522+0.000998341j 0.00116247+0.00560296j -0.00287218+0.00248692j 0.00139499-0.00120391j -0.000998813-0.00277825j 0.000297215-0.000677571j -0.000569324-0.000177866j -0.00286979+0.00214736j 0.00109879-0.0012847j -0.000656766-0.00279956j 0.000269501+0.000690772j -0.00109887-0.000446031j -0.000718416+0.000944123j -0.00176037-0.00176399j -0.00323472+0.00287398j 0.00445512+0.00203352j -0.000707164+0.00262845j -0.00197584-0.0021445j 0.00171935-0.00331727j -0.00202475-0.000380537j -0.000351764-0.000764827j -0.00290991-0.0014306j -0.0016909+0.00177306j -0.00211602-0.000889815j -0.00100102+0.0033976j -0.000555621-0.00272375j -0.00469937+0.000151652j -0.000588904-0.00237258j 0.00103088-0.00346147j 0.00342633+0.000523136j -0.00148587+0.00184005j -0.00203998-0.000409239j -0.00303317-0.0019794j 0.000457572+0.00221914j -0.00686174-0.00410759j -0.00253727-0.000220301j -0.00663495-0.00358285j 0.00460126-0.00195817j -0.00104129-0.00301018j 0.0038796-0.000268899j -0.00335928-0.000946253j -0.00194633-0.000142894j 0.000313167+0.00515681j 0.00035843+0.000591633j -0.00152622+0.00247786j -0.00137265-0.000994012j -0.00318461+0.000754198j -0.0110712-0.00137682j -0.000450315+0.00434593j 0.00203175-0.00950136j 0.00466978-0.00126654j -0.00267528+0.00947442j -0.00810041+6.03472e-06j 0.00248693+0.00727622j 0.00302839+0.0022695j -0.00351095+0.00254541j 0.00169727+0.00169074j -0.00199968-0.00158955j -0.00490245+0.00183136j -0.00844041+0.00664049j -0.00017389-0.00304664j 1.86294e-05+0.00336222j -0.00289371-0.00280273j 0.00210692+0.00545885j 0.0110204+0.00507178j -0.00022477+0.000352739j 0.00322718-0.00553788j 0.00201653+0.00745258j -2.06189e-05+0.00081146j -0.0011898-0.0045252j -0.00038792-0.00765786j 0.0077974-0.00160436j 
-0.000641383+0.000136467j 0.00112911+0.00113433j -0.000640377-0.000347693j 0.000559393-5.54801e-05j 0.00249773-0.000921327j 0.00180484+0.00160112j 0.000419501-0.000266325j -0.00156062-0.00115884j -9.93546e-05+0.000503651j 0.00110257-6.8247e-05j 0.000484052+0.00266446j -0.00078073-0.00134656j -0.00190731-0.000593685j 0.00164848+0.000901708j -0.000434777-0.000853137j 0.0013354+5.4809e-05j 5.09515e-05-0.000436507j 0.0012473-0.000446637j -0.00096976-0.00145489j -0.000214746-0.000639266j 0.000762291+0.00299725j -0.00131889+0.000321395j 0.000218821-0.000373219j -0.000940812-0.00133421j 0.000385394-0.00108301j 0.001044-0.000775459j -0.000422975-0.00105773j -0.00137754-0.000174089j 0.00136575-0.00083418j 0.0012935-0.000990414j 0.000111962+3.38188e-05j -0.000442857+0.000122871j 0.000700358-0.000334807j 0.000287648-0.00250296j -0.00412391+0.00114108j 0.0042132-0.00222413j 0.00200784+0.00394424j 0.00123493-0.0012061j 0.00217157-0.00157165j -0.00473085-0.00341737j -0.00254622-0.00198053j 0.00387331+0.000783941j 0.00124919+0.00336168j -0.00169114+0.00270331j 0.00122643+0.00464773j 0.00140585-0.00272767j -0.00471364-0.00652643j -0.00169301+0.000123286j -0.00104985+0.00114948j 0.00643604-0.000335335j -0.00358064+0.00272157j -0.000213624-0.00423301j 0.00266921-0.0036429j -0.00283644+0.00173161j -0.00291605-0.000928493j 0.00469886+0.00340955j 1.61524e-05+0.000645704j 0.00177088-0.00449639j -0.00375202-0.00379326j 0.000969264-0.00256543j 0.00213809-0.00158387j -0.00166586+0.00114509j -0.00297834+0.00316987j -0.00147994+0.00162322j -0.0036107+0.000148138j -7.6199e-05-0.00246288j -0.00485448+0.00193536j -0.000437082+0.00149385j 0.00158693-0.00256797j -4.57897e-05-0.00133884j 0.000292535+0.000406796j -0.000569715+0.000469123j 
0.00405484+9.51838e-05j -0.000422449-0.00460125j -0.000361338-0.00146984j -0.000979407-0.00142208j 0.000660503-0.000396991j 0.00117114-0.00108046j -2.16354e-05+1.37192e-05j 0.00198904+0.000391393j -1.84512e-05-0.000159527j 0.000409503+0.00064942j 0.00223963+0.000643038j 0.000281272-0.000480099j 0.00114862+0.000417195j 0.00170164+0.000690743j 0.00225238-0.000378774j -0.00139915-0.00160974j 0.000860526-0.00159622j 0.00144663+0.00125251j -0.000890164+0.00296598j 0.000587477+8.75015e-05j 0.00064967+0.000676266j 0.00230502+0.00028573j 0.000605883-0.00114951j 0.000876049+0.00175326j -0.000714642-0.00260845j -0.000318748-7.52203e-05j 0.00247799-0.00088163j -0.000409024+0.00150648j -0.00119578+0.00172767j -0.00250354-0.00123924j 0.000513812-0.00122034j 0.001573+0.000150306j 0.00215798-0.00176177j -0.0028833+0.000199637j 0.00328018+0.0056681j -0.00377162-0.00179996j 0.00356289-0.00157057j 0.000279081+0.000517067j -0.00325413+0.00160805j -0.000738321+0.00184965j 0.0039354+0.00504257j -0.000680449+0.00385509j 7.82954e-05+0.000251323j 0.00146922-0.00238903j 7.43661e-05-0.0053595j -0.00228537-0.000858051j -0.00195966-0.000306752j 0.00939026+0.00171622j 0.00100084-0.00513315j 6.72134e-05+0.00152019j -0.00254938+0.00112505j 0.00162469-0.00637126j 0.00518265-0.000997906j -0.00430543-0.00204943j 4.01952e-07-0.000417445j 0.00511761-0.00364596j -0.00188538-0.00369115j 0.000264771+0.00278957j 0.000698135-0.00109381j 0.00590511-0.00452704j -0.00133726+0.0016117j 1.16312e-06-0.00148671j 0.00551075+0.00359276j 0.00226727-0.0028021j -0.00717523-0.00413468j -0.000520313+0.00143032j -0.000922329+0.00300804j 0.00263679-0.00126063j 0.00161349+0.000970889j 0.000624603+0.000576114j 0.000838534+0.00431037j -0.00448931+0.00103456j 
-0.000555551-0.000484253j -0.000234414+0.000782978j 0.00131763-0.00120759j 0.000742752-0.000128529j -0.00243096-0.00196827j 0.00272859+0.00118905j -0.000409397+0.00344843j -0.00117044+0.00253491j -0.00180855-0.00309253j -0.0030243+0.000375669j 0.00427784+0.00167666j -0.00310716-0.00268284j 0.000843807+0.00108529j 0.00247061-0.000370084j 0.00141326+0.00196894j 0.00427089-0.00454364j 0.000759713-0.00215596j 7.49303e-05-0.00158681j -0.000407154+0.00154885j -0.0013522+0.00205198j 0.00269031+0.00664596j -0.00140998-0.000831571j -0.00357599+0.00418087j 0.000331977+0.00252347j -0.000513252-0.00214962j -0.00466574-0.000814255j -0.00175197+0.00212594j 0.000358074+0.0013851j 0.000659424-0.000642656j 0.000533355-0.000757834j -0.000457997-1.89296e-05j -0.00106156-0.00124419j 0.00204276+0.00146787j 0.000815395-0.00214758j -0.000934902-0.0012677j 0.00137075-0.00430965j 0.00414232+9.90109e-05j -0.00160296+0.00197728j 0.00129532-0.0031938j -0.000138178+0.0014176j -0.00328552+0.00121743j -0.00449114-0.00436007j -0.00238687-0.00227846j 0.00463297+0.00382617j 0.00508396+0.000635375j -0.000437306-0.00667508j -0.00154283-0.00154004j 0.00049031+0.000890241j 0.00273804+0.0016219j 0.00506394+0.00426177j 0.00025249-0.00232339j -2.1928e-05-0.0017946j 0.00230822-0.00119113j -0.000482579-0.00618201j -0.00772719+0.00470962j 0.000463347-0.00150276j 0.0060425+0.00113329j -0.00549655-0.00154145j 0.00101087-0.00161724j 0.00116986-0.00106956j -9.2255e-05-0.00528685j 0.000601751+0.0038448j -0.00154754+0.00772205j 0.000443941+0.00216591j 0.00282513-3.25243e-05j -0.00396023-0.00139142j -0.00220604+0.00526515j -0.000461611+0.00619356j -0.00222451-0.00131922j -0.000439562-0.00208968j 0.000589261+0.000300843j 5.16124e-05+0.000515493j 
-0.0011383+0.000658773j 0.00057989+0.00047334j -0.00131642-0.00152572j 0.00324254-0.000585517j 0.00388796-0.00145218j -0.000711175+0.0026679j -0.000541834+0.00230511j 0.000274969+0.00209442j 0.00209429-0.00155693j 0.00110609-0.00562239j -0.000325696+0.00619511j -2.08581e-06-0.000711552j -0.00195847+0.00313156j -0.0013192+0.00105761j -0.000719265+0.00292054j -0.000331835+0.00220239j -0.00464117-0.00032169j 0.000950091+0.000676502j -0.00472538+0.00337188j 0.00300809-0.00107667j -0.00107796+0.00476197j 0.00236543+0.00239739j 0.00359228-0.00212786j -0.000896765+0.00169545j -0.000253071-0.00380915j -0.00189599-0.00326811j -0.000930447+0.000132444j 0.00335505-0.002372j -0.000638844-0.00126391j -0.000758453+0.00123099j 1.99996e-05+0.000274249j -0.000397529+0.000981455j 0.00310927-0.00140294j 3.60758e-05-0.00249077j -0.00164316-0.00660014j 0.00645979-0.000876163j -0.00179018+0.00280721j 0.0045369+0.00199445j 0.00108475-0.000175412j 0.00114033-0.00655281j -0.00534577-0.00577685j -0.000479583+0.000885774j 0.00111502+0.00256552j -0.00398368+0.00274128j -0.00195017+0.00615175j 0.00189955-0.00257703j -0.000903841-0.00849777j -0.00107721+0.00222461j -0.00148351+0.000895493j 0.0036321+0.00316046j -0.00489563+0.000837549j 0.00219596-0.00444287j 0.00334559+0.000690186j -0.000976786+0.00124589j -0.00284203-0.00315822j 0.00146684+0.00167897j -0.000422631-0.000476798j 0.0062293-0.00435077j -0.000460281-0.00368694j 0.00365596-0.00110551j 0.00306341+0.0016849j -0.00503339+0.00055438j -0.00364726+0.0034645j -0.00233323+0.00149949j -0.00249205-0.00242419j 0.00169366-0.00445334j -0.0048394-0.00217735j -0.001432+0.00220029j 0.00423815+0.00136428j 0.000163897-0.00190676j -9.81044e-05-0.00138691j 0.00125083+2.79829e-05j 
-0.00021695+0.00156595j 0.00206376+0.00166361j -0.00378445-0.00355634j -0.00240038+0.000640129j 0.0053357+0.00122147j 0.00584498-9.97752e-05j 0.00124556-0.000774043j -0.00175356-0.00394684j -0.0011306+0.00439926j 0.00210059+0.00228834j 0.00161078+0.00106982j -0.00383713-0.00684848j -0.00336692-0.00182701j 0.00561977-0.00240539j -1.09605e-05-0.00671599j 0.00133393-0.00449033j 0.00324061-0.00458647j 0.00223652-0.00451747j 6.84544e-05-0.00359112j -0.00338433-0.00134645j 0.0039774+0.00677883j -0.00507609-0.000787058j 0.000505865-0.00099496j -0.000302473+0.000768193j 0.000297181-0.00353203j 0.00342932-0.0019196j 0.000863467-0.00217732j -0.00709383+0.00248153j 0.00378975-9.59791e-05j 0.00148082-0.00486028j 0.000736739-0.00306356j 0.00135522-0.000383379j 0.00139047-0.00399279j -0.00279636+0.00308939j 0.00265876-0.00107012j 0.00188877-0.00213501j -0.000780378+0.00264704j -0.00175637-0.000638201j -0.000357897+0.00284421j -0.00399428+0.0013752j 0.00415635+0.000900504j 0.000568984+0.00340009j 0.00307725+0.0011653j -0.00104794+0.00310972j 0.000761941-0.00125564j -0.00234133+0.00277706j 0.00116327-0.00111228j -0.000491088+0.00100686j -0.00303901+0.000629808j -0.00226517-0.00190194j 0.00597166-0.002166j -0.000574206+0.00313878j 0.00453318+0.00150211j 0.0027969+0.00185652j 0.00411084-0.00138483j -0.00187112+0.0103461j -0.00308193-0.0028199j -0.00190024-0.000505283j -0.000639202+0.00578969j -0.00150671+0.0018565j -0.00147954+0.00534993j -0.000905427+0.00403744j 0.00302601+0.0031611j -0.00118886-0.0040103j -0.0027111+0.00248525j 0.00171235+0.00139095j 0.00130725-0.00206547j 0.000552613+0.00357465j -0.00227331-0.00193797j -0.00243455-0.00105725j 0.00234686+0.000794629j -0.000867185+0.000981779j 
0.00122707-0.00174318j 0.000120328-0.000229242j -0.00428835+0.00116028j -0.00219132+0.00143596j 0.00600754-0.000514382j 0.000478789-0.00153415j -0.000626864-0.00207133j -0.00167193-0.00226749j -0.000550441+0.00082792j 0.00451615+0.00278734j 0.00226118+0.00436462j -0.00257263-0.00109702j 0.00415129-0.000876238j -0.00063849+0.00828879j 0.00275768-0.000531904j 0.00562356+0.000493691j 0.00371896+0.00536469j -0.00440108-0.000851222j 0.0061076-0.00609257j 0.000118958+0.00102356j -0.00280759+0.00192644j -0.00255118-0.00460382j -0.00111917+0.00179322j -0.0020936-0.000564764j -0.00410906+0.000862573j -0.0012052-0.00632451j -0.00288833-0.00613633j -0.00386895+0.00417662j 0.00402162-0.00154104j -0.000252231-0.00392949j 0.000244421+0.000721886j -0.00242362+0.000563329j 0.000184902-0.00142525j 0.00339675+0.00162012j -0.00147173+0.000127572j -0.00339806-0.00219247j 0.00151558-0.0027658j 0.000353397+0.00173469j 0.00197989-0.000433349j 0.00112235+0.00211941j 0.00197065-0.000532903j 0.00233768+0.00181228j -0.000197048+0.000819504j 0.00218754-0.00202368j -0.00175416-0.00358221j -0.000807823+0.002051j -0.00317914-0.000307789j 0.00119561-0.000851033j 0.00010365+0.00201745j -0.000745763-0.00116018j -0.00275577-0.00101018j 0.00151558+0.000226856j -0.000952817-0.00332556j -0.000297445+0.00120985j 0.002199-0.000965622j 0.00626645-0.00241565j -0.00245524-0.0022096j 0.00165626+0.00149115j -0.000669859+0.00115125j 0.0028382+0.00193852j 0.00170202+0.00135778j 0.00108285+0.000524802j 0.00401453+0.000323299j -0.00104118+0.000196357j -0.000531553-9.30279e-05j 0.000137488+0.00128309j 0.001196+0.000827519j 0.00437535+0.00254129j -0.000497785+0.00127098j 0.000532899-0.00225121j -0.000430397-0.00126679j 0.00075926-0.00132008j 
