0.0873195-0.291501j 0.292114+0.084278j -0.000602652+0.15413j -0.16463-0.00955712j -0.00864978+0.120175j 0.0561529+0.0726299j 0.120086+0.0434731j 0.11349-0.108588j 0.087098+0.0749677j -0.0375065-0.0236518j -0.114566+0.0149707j 0.0578033+0.0489669j 0.056033-0.191053j 0.0332759+0.0971823j 0.0570302+0.0747126j -0.00172363+0.0747712j -0.155934+0.0542869j 0.016793+0.0884355j -0.0646325+0.0278741j 0.156868+0.00322597j -0.126023+0.039471j -0.108967+0.0530354j 0.054691-0.0343535j 0.0675377+0.0627821j -0.0247587-0.0316951j 0.100761-0.0450345j 0.046793+0.00940523j 0.0381407+0.151827j -0.0129436-0.0377145j -0.0177954-0.0140075j -0.0994817-0.0907131j -0.0356739-0.0302441j -0.0262622-0.0295267j -0.0530649+0.0289681j -0.0525174-0.11792j -0.161435-0.0673295j -0.100783-0.0628099j 0.0520134-0.00646195j -0.00400054+0.16377j -0.0662985-0.0437224j 0.0135248-0.0876171j -0.0383354+0.0231149j 0.0908301-0.119087j 0.0788554-0.157656j -0.0190722-0.0152227j -0.0946675-0.0359027j 0.0248646+0.0298676j -0.0647664+0.0421478j -0.109864+0.0500441j 0.0731788+0.0927146j 0.0133339-0.0255848j 0.0261412+0.0739744j -0.144045+0.166088j 0.152863+0.135093j 0.285114-0.00202367j -0.00447172-0.284595j 
0.00216174+0.00450102j -0.00419796+0.00195147j -0.00238303-0.00130019j 0.0013028-0.0025422j 0.000935527+0.00115869j 0.000518525-0.00110236j -0.000125337-0.00218513j -0.00159053+0.000961065j -0.00138134-0.000678184j -0.00058426+0.00156527j 0.00218601-0.000288379j -0.00161618+0.00177973j 0.00208758+0.00171406j 0.00140311-0.00226559j 0.000889963-0.000387731j -0.00114142-0.00230115j -0.0009323-0.00139523j -0.00137575-0.000956097j 0.000476012-0.00226456j 0.000852518+0.00116172j 0.000891941-0.00257373j 0.00362031-0.00141044j 0.00161708+0.00127966j -0.000341407-0.00109212j 0.00017874+0.00010656j 1.66161e-06-0.00227442j 4.21099e-05+0.000720706j -0.00278166-0.000313335j -0.000933277-0.00275513j -0.00093113+0.000528657j -0.000175649+0.00019102j -0.000148096-7.20046e-05j 0.000655755-5.54813e-05j -0.000600823+0.000102771j 0.00226624-0.000269505j 0.00338204+0.000894522j 0.000712978+0.000916884j -0.000211545-0.00219506j 0.00302184+0.000100371j 0.000657069+0.00104547j -0.00112862-1.05978e-05j 0.000969776-0.000367793j -0.00107568+0.00222626j -0.00152518+0.000910808j 0.000639916+0.000792647j 0.00131537+0.00153784j -0.00127291+0.00023913j -0.0012614+0.00099725j 0.00201002+0.00199594j 0.000300276-0.00289432j -0.00101726+5.59987e-05j 0.00157122+0.000739895j 0.00177092-0.000204654j -0.00027103-0.00160341j -0.00288831-0.00352181j -0.00369378+0.00305994j 
-0.00131808-0.0018891j 0.00182435-0.000861274j 0.00182453+0.00114463j -0.00115451+0.00279811j -0.000831812+0.00159902j -0.000255865-0.000766327j -0.00270538+0.00290981j -0.000581402+0.00290384j -0.00107688-0.000228141j -0.00154539-0.00162112j 0.00016331+0.000683664j 0.00455253+0.000162992j 0.00314904-0.00169342j 0.00162189+0.000300907j 0.00236397-0.000342848j -0.00171865+0.00068344j -0.00119155+0.00262266j -0.000378843-0.000937139j -0.00113119-0.0026903j -0.000858471+0.000466305j -0.00111262-0.00296798j -0.00250784-0.000150288j 0.0011764+0.00146694j -0.00226177-0.00139827j 0.000737757-0.000820598j -0.00248183-0.000311789j -0.000107099+0.00171204j -0.00258737-0.000189493j -0.00146996+0.00254067j -0.000736235+0.00230918j 0.00153219+0.000634683j -0.00108869-0.000788477j 0.00135578-0.00353465j 0.00071509+4.5193e-05j -0.00227995+0.000365905j -0.0010118-0.000767901j -0.00136386+0.00296642j -0.000238325-0.000828827j -0.00178518+0.000238192j -0.000735301-0.00202598j -0.00291066-8.61837e-05j 0.000145415+0.00218382j -0.00139405+0.000460752j 7.17123e-05-0.00064323j 0.000799577+0.00064752j -0.000376593-0.0023748j -0.00185588+0.00132617j 8.57054e-05+0.000881472j 0.000664856+0.000408674j -0.000302715+0.00148795j 2.86858e-05+0.0023425j -0.00156351+0.0025479j -0.000115244-0.000848996j 0.000263844-0.00194348j -9.48177e-05+0.000561213j 0.000118307-0.000238158j 
-0.00362915-0.00264385j 0.00238888-0.00314503j -0.000398769+0.00132268j -0.000905115-0.00024643j -0.00286405-0.00143511j -0.00128444+0.0010829j -0.000800787+0.00316548j 0.00152046+0.000275178j 0.00164602-0.000323406j -0.00101742-0.00334439j -0.00244642+0.0016354j 0.0033102+0.000370029j 0.000871306-0.0021954j 0.00240815+0.00338673j 0.000994746+0.00194979j -0.00100622+0.00323081j 0.000246153+0.000757506j 0.00126633-0.000416789j -0.000749158-0.00100545j 0.00138675-0.00148424j -0.000619698+0.000432772j -0.00189549+0.00299447j 0.000707425+0.00228057j 0.00012823-0.000912696j 0.00130061-0.000663968j 6.72603e-05+0.000957365j -0.00144819+0.00161298j 0.000364748+0.00164887j 0.00333718+0.00152179j -0.000617497+0.000510969j 0.0014414-0.00191204j -0.00122958-0.00106504j 3.51387e-05-0.000210646j 0.00186574+0.000494469j -0.00325011-0.000538191j -0.00207639+0.000568789j -0.00139746+0.000510469j 0.00162373+0.00145779j -0.00191095+0.00146251j -0.00116656-0.00169659j -0.000704676+0.000180265j 0.000823672-0.00119631j -0.000682872-0.000961065j 0.00206024-0.000812194j -0.000604232-0.00103429j -0.00121291-0.000458525j -0.000989153-0.000197514j 0.000515025+0.00139086j -0.000683149-0.000858316j -0.00167391+0.000458485j 0.00107538+0.00098622j -0.00283993+0.000734654j -0.00256697-0.00185952j 0.000234949+0.00101231j 0.00643787+0.000808953j 0.000351435-0.0067012j 
0.00212006+0.00283282j -0.0025975+0.000832059j -0.00380401-0.000240569j 0.000684082-0.00515567j 0.00428789-0.00290254j -0.00157775+0.000331073j 0.00432525-0.00697931j -0.000853583-0.00304676j -0.000871001-0.000588663j 0.00347106+0.00468118j 0.00229719-0.00241659j -0.00877499+0.00144602j -0.0046296+0.00430424j -0.00263335-0.00353337j -0.0031196-0.00136257j 0.00150344-0.00478089j -0.000490468-0.003765j -0.00174114+0.00165784j 0.00186347+0.00293638j 0.0021288+0.000296034j -0.000113811+0.00208902j 0.00626979-0.00202897j -0.00193105-0.00145256j 0.00320092+0.00135455j -0.00188952+0.00157963j 0.00208614-0.00284563j 0.00133921-0.00372978j 0.000633433+0.00119842j -0.00394348-0.00561544j 0.00135783-0.00336807j -0.00248181+0.00296421j 0.00418418+0.00119007j 0.00104609+0.00303102j -0.00124608-0.00113041j 0.00205865-0.00482606j 0.0047321+0.00138896j 0.00102538-0.00251698j -0.000136418-0.000869164j 0.00509133-0.00441349j 0.00433815+0.00174994j 0.00297504-0.00162064j 0.000745218-0.00450864j 0.00493742+0.0013441j -0.00244137-0.000195725j -0.00227056-0.00186101j 0.000567772+0.00174644j 0.00291251-0.00195006j -0.00184323-0.00199218j 9.37418e-05+8.47846e-05j 0.00136179-0.000458385j -0.00147687-0.00430296j 0.00947108-0.00163435j 0.00250014+0.000239433j -0.00548053+0.000273228j -0.00168476-0.00117583j 0.00022276+0.00292374j 
0.0026223-0.00255132j 0.0034673+0.00238177j 0.00187653+0.0017745j -0.000116971+0.00223421j 0.00567833+0.00440612j -0.000943802-0.00230436j 0.00349453-0.000822084j -0.00191418+0.00107765j -0.00267134+5.42221e-06j -0.00224175+0.00368393j 0.00382675-0.00352652j 0.00107476-0.00121815j 0.00432968-0.000330646j 0.000961211-0.00466609j 0.00288076-0.00469427j -0.00189271-0.00317429j -0.00372092+0.00349199j -0.00335249-0.00157735j -0.000307025-0.004837j 0.0020244+0.00333444j -0.00428763-0.00565273j 0.00253237+0.000193103j 0.00199747+0.00348013j -0.00136113+0.00238804j -0.000423247+0.000629192j -0.0063621-0.00528446j 0.00191259+0.000243681j -0.0071613+0.00379652j -0.00867417+0.0024578j -0.00067028+0.00250881j 0.00276843+0.00642326j 0.00160809-0.00362004j 0.00024088-0.00527561j -0.00204048+0.00213831j -0.000733949-0.00240824j -0.000368374-0.000990149j -0.00306878+0.00625376j -0.00366354-0.00383629j 0.00106842-0.00168497j 0.000982346-0.00194704j -0.00761211-0.000243179j 0.00211178+0.00250348j -0.000920706+0.00425048j -0.00231332-0.00114841j -0.000305204+0.000544187j 0.000896164-0.00403353j 0.000497684+0.0010084j -0.00040535-0.0015581j 0.00591613+0.00204793j -0.00101679+0.00358004j 0.00519886-0.00280732j 0.00225288+0.00806259j -0.00116092+0.00426147j 0.000846585-0.00399566j -0.00210117+0.00220506j 0.0016525+0.00355066j 
0.000160092+0.00471997j -0.00484585+0.000197045j -5.73237e-05+0.000858234j -0.000206144-0.000740422j -0.00220253-0.00305902j 0.000858899+0.00108249j -0.00334057-0.00329616j -0.00220236+0.0047174j 0.000640749+0.000260217j 0.00104708+0.000441852j -0.00147595+0.00082541j -0.00111906-0.000331404j 0.00380725+0.000905245j 0.00317131-0.00292996j -0.00148145-0.00115442j -0.00169199+0.00198148j 0.0015507-0.00165416j -0.00216299-0.00272176j -0.00280606-0.000308253j -0.000623642-0.0035727j -0.000607986+0.000556242j 0.00575543-0.000877052j 0.00298326-0.00147077j -0.00615943-0.00081622j -0.000255494-0.00128235j -0.000638865-0.00360052j -0.00073239-0.00124065j -0.00382672+0.000392901j -0.000553803-0.00251709j -0.0014936-0.00169796j -0.00168795-0.000481428j 0.000575986-0.000840955j 0.00188644-0.00829868j 0.00213298-0.00167268j -0.00353115-0.0013822j 0.00571357+0.00159535j -0.000647451+0.00470917j -0.000174055-0.00385908j 0.00355553-0.000969342j -0.00119343-0.00123449j -0.00543366+0.00644268j 0.00175915-0.00109462j -0.00238887+0.00776795j 0.000990928+0.00223218j 0.00146692+0.00137482j 0.00132681+0.000248496j -0.0062348+0.000648702j 0.000795151+0.00223329j 0.00441232-0.00636021j -0.000164505-0.000115271j -0.00208754-0.00333991j 0.000770549+0.00119375j 0.00163629-0.000727561j -0.00243165-0.00254272j -0.00323037-0.00237608j -0.00221727+0.00340697j 
3.45789e-05+0.000947045j -0.0011905-0.000402942j -0.00106599-0.000213916j 2.14426e-05-0.00247222j -0.00066449-0.00228164j 0.00101422+0.00147069j 0.000794643-0.00348391j 0.000179328-0.00169353j 0.000536783-0.00116495j 0.00235598-0.0001976j -0.0016582+0.000974864j -0.00479672+0.00129662j -0.00344405+0.00190907j -0.00138893-0.000611409j -0.00267405+0.00141528j 0.00124029+0.00126262j -0.000265843-0.00366401j 0.000402393-2.53642e-05j 0.00205024+0.00243269j -0.000579747-0.00108107j -0.000625244+0.00195462j 0.00169421-0.00185561j -0.00248838-0.00298902j -0.000665346-0.000860339j -0.00138938+0.000359421j 0.0030441-0.00105525j -0.000242591-0.00293371j 0.000834076+0.000765151j 0.000573406-0.00509165j 0.0010272-0.00448919j -0.00439664-0.00028957j 0.00106004+0.00218683j 0.00155321+0.00130399j 0.00190326+0.000166206j 8.85814e-05-0.00518776j 0.00359007+0.00183981j 0.000833187-0.00314049j 0.00130241-0.000747654j 0.00422244-0.00298043j -0.000517607+0.000120335j 0.00312554+0.0016107j -0.0012372-0.00471648j 0.00345577+0.000968737j 0.000804361-0.001348j -0.000346092+0.00100783j -0.00100978+0.00307369j -0.00106555-0.0031911j 0.00011125+0.0015656j -0.00221704-0.00305509j 0.00154615+0.000175282j -0.00242297-0.00364033j 0.00401291-0.00593181j 0.00168125+0.000205673j -0.00279176+0.00202372j 0.000128393-0.000244645j 0.000920945-2.04448e-05j 
0.000420383+7.60746e-05j -3.58591e-05+0.000189544j 0.000637268-0.00083208j -0.000446117+0.000166291j -0.000904894+0.00129433j 4.90244e-05+0.0023378j 0.00169616+0.000786014j 0.000876834-0.00100722j -0.000712459-0.000738806j 0.000156931+0.00174878j -0.00154944+0.000504019j 0.000303177-0.00399511j -0.00284569+0.00105239j -2.44814e-05-5.98118e-05j -0.000909785+0.00204959j -0.00161887+0.00187115j 0.00206162-0.00181261j 0.000765281+0.00162725j -0.000595139+0.00208303j 0.000391169-0.0012377j 0.0005363-0.00283885j -0.00248707-0.00427705j -0.00163436-0.00259906j 0.000341099-0.00250199j -0.00164586-0.00139026j -3.46893e-05-0.00240325j -0.00203483+0.000503875j -0.000760845-0.00351334j 0.000479483-0.000237674j 0.000482756-0.00182748j -0.00384829-0.000920709j 0.000509972-0.000731686j -0.000562784+0.00141744j -0.00313614+0.0018103j 0.00368031-0.00104159j 0.00270478-0.00168611j 0.00165178-0.0035249j 0.0022081+0.00124472j 0.00231075+0.00133124j 0.000400836-0.00122895j 0.00218928-3.34154e-05j 0.000159744-2.21439e-05j 0.00170553-0.00235528j -0.000505995+0.00086756j -0.00103624+0.00161715j 0.000158719+0.00362491j 0.00177887-0.00293669j -3.06667e-06+0.00271036j -0.0016505-0.000424095j 0.00104178-0.00124231j -0.000290469-0.000954367j 0.000490403-0.00521677j 0.00133909+0.000655085j -0.000101224+0.00142351j -0.0007567-0.000250117j 0.000274749+0.000553838j 
0.00088209-0.000687304j 0.000756139+0.000577311j 0.000303406+0.000126636j -0.00131913-0.000239047j -0.000790469+0.00107915j -1.79782e-05+0.00190972j 0.000682692-0.000720507j -0.00142035-0.00037916j -0.000139274-0.00177598j 0.000906713+0.00147399j -0.00128153+0.00102505j -0.00189249-0.00143575j -0.000379808+0.0010579j 0.00010446-0.000725603j -0.00123188+0.00139005j -0.000117616-0.000956354j 0.000645425-0.000284926j -0.000482858+0.000269558j 0.000601615+0.000866919j -0.000895939+0.00102395j -4.95123e-05+6.11958e-05j 0.000671217-0.00234432j -0.000971529-0.00152959j 0.000646797-0.000190676j -4.14212e-05+3.35005e-05j -0.000614421-0.000692678j -0.000694906-0.00131319j -0.000643573-0.000732984j -0.000275483+0.000941175j 0.000766343-0.0005522j -0.000708082+0.000671815j 0.0012277-0.000464733j 0.000302243-0.0010454j -0.000822793+0.000332997j -0.000575955-0.00136874j -0.000408557+0.00114584j -0.000472344+0.000233844j -0.000369917+0.000943058j 0.000790487-0.000385533j 0.000689586-0.00139594j -0.000816697-0.000115385j 0.000263319+7.59089e-05j 0.00173514+0.000867898j 0.000211749-0.000911834j -0.000952795+0.00130338j -0.000153074-0.00103378j -0.00028706-0.00155594j -0.00091496+0.000375011j 3.01208e-05-0.000251691j 0.000516914+0.00164583j -0.000447492-0.00142695j 0.00235055+0.00034672j 0.000950354+0.000367186j -0.000426984-0.000700298j -0.000532992+0.00030466j 0.000698734+0.00070125j 
-0.000611952-0.00321785j 0.00344722-0.000609391j -0.00138703+0.00010734j -0.00103029-0.00108909j -3.62171e-05+0.00134457j -0.00171429-0.000278864j 0.00193896+0.00266534j -0.000206638-0.00272463j 0.000169405-0.00115028j -0.000252203+0.000600924j -0.00038541-0.000801115j 0.00102382-0.00147435j -0.00143302-0.000961852j -0.00138183+0.00194316j 0.000461828+0.00199489j 0.000866481-0.000531543j -1.67338e-05-1.38043e-05j 0.00025251+0.00241663j 0.00108484+0.000431696j -0.000811296+0.00263763j 0.00147811+8.04387e-05j -0.00388169-0.000649349j -0.00153209+0.00111777j 0.00455347-0.00166389j -0.000393897-0.000191106j 0.000811361+0.00320601j 0.000207329+0.00161695j 0.00313003-0.0009915j 0.00564548+0.000684566j 0.00257376-1.83458e-05j -0.000114891-0.0032641j -0.00205523-0.000117549j -0.00114489+0.00602217j -0.00153246+0.00140715j 0.0032076+0.00228935j -0.00345154+0.000697681j -0.00040573-0.00421026j 0.00324875+0.00400141j -0.00156879+0.00270461j -0.00139865+0.000120455j 0.00375151-0.00325357j -0.00167179+0.000285039j 0.00183069-0.00642231j 6.27103e-05-0.000799797j -0.000592811-0.000380349j 0.000324799+0.00182535j 0.00429158-0.000949461j 0.0029273-0.000882712j -0.00484272+0.00381413j -0.00232632-0.00111491j 0.00109173+0.00366732j -0.00610678-0.00117499j 0.000331927+1.90525e-05j 0.00353877+0.00150203j 0.00213352+0.000319239j -0.000184447-0.0025966j 
-0.000206428+0.00309825j -0.00341044-7.87183e-05j -0.000291816-0.00283006j 0.00232905-0.00039207j -5.74518e-05-0.00352265j -0.00049073-0.00166852j -0.00223151-0.000150078j 0.000916607-0.00112988j -3.5602e-06+0.00264924j 0.000857691-0.00170483j 0.00111043-0.000666565j -0.000710863+0.00375187j -0.000205189-0.000193144j -0.00198163+0.000255291j -0.000189566-0.0021656j 0.00298152-0.00216604j -0.00217729+0.000137119j 0.00134459-0.00284961j 0.00188355+0.000358332j -0.000138658-0.00100508j 0.00348951+0.00580787j 0.00373316+0.00245884j 0.00136387-0.000281802j -0.00077387+0.00109166j 0.00202832+0.00231824j 0.00371322+0.000984176j 0.00311812-0.00126468j 0.00271192+0.000394496j -0.000192918-0.00403934j -0.000353558+0.000522356j 0.000293657-0.00188769j 0.000558296+0.00245062j 0.00189568+0.000140635j 0.00455529-0.00250456j -0.00154942-2.46516e-06j -1.61583e-06-0.000808125j -0.00104737-0.00121188j -0.00169977-0.00109289j -0.000468534-0.00085835j 0.000604293+0.00460297j 0.00154946-0.000924835j -0.00182817-0.000347598j -0.000393683+0.00271771j 0.00195997+0.00134852j 0.00148354-0.00216704j 7.35821e-05-0.00135981j -0.00308987+0.00250612j -0.000932503+0.000837856j -0.00022821-0.00185772j 0.000480256-0.00173504j -0.00325489+0.000994006j 0.00134711-0.0037856j 0.00182939-0.000342371j -0.000317934-0.000114286j -0.00242409-0.000255803j 8.59019e-05+0.00188226j 
-0.00225512-0.00084044j 0.00116223-0.00148806j -0.000990895-0.000221624j -0.00053086-0.000548086j -0.00403794+0.00403056j 0.000378914-0.000217312j -0.00281427+0.00511208j -0.00148901+0.00403865j -0.00111345-0.00368092j -0.00252311-0.00301681j -0.00160549+0.00429245j 0.00349932-0.00113992j 0.00529837-0.00323692j 0.00441743+0.000259882j 0.00232398+0.00280293j -0.00303+0.00223229j 0.00113234+0.0030838j -0.00261892+0.00221221j -0.00225691-0.00283908j -0.00429726+0.00236159j 0.00217383-0.00238426j -0.00654543-0.00104674j 0.000492551+0.000252932j -0.00243216-0.0041842j 0.00281314-0.000414581j -0.00250845+0.00222977j -0.00189197-0.00267589j -0.00527509+0.00191995j 0.00509322+0.00174995j 0.00143127-0.000212257j -0.00210869-0.00317992j -0.00539352-0.00109618j 0.00119243-0.0072j 0.00314395+0.000200383j -0.00617833+0.000611924j 0.000648242+0.00411856j -0.00324195+0.00616264j 0.0010669+0.000211568j 0.000790816-0.000890356j -0.00472928-0.000900918j -0.00473399+0.00546485j 0.00156061-0.00045253j 0.00139498+0.00335939j -0.00127446-0.00263151j 0.00469926-0.000365681j -0.00221794-0.00041074j -0.00586409+0.0038739j 0.00490516+0.00204801j -0.00118371-0.00431882j -0.00220524+0.000746553j 0.000122458+0.00240513j -0.00795814+0.00100165j -0.00161925+0.000735741j 0.00323526+0.000336201j 0.0013045-0.000925855j -0.0020223-0.00191759j 
0.000218071-0.00140677j 0.00177685-0.00022422j -0.00220369+0.00201739j -0.00145292-0.00191739j 0.00119884+0.00411919j 0.000189403+0.00176092j 0.00335679-0.000608237j -0.00140615+0.000582373j -0.00126143-0.0049519j 0.000678299+0.000966294j -0.00291902+0.000530019j -0.000700433-0.00511936j -0.000554996-0.00042732j 0.000536531-0.00184808j 4.99112e-05+0.00423225j -0.00370959+0.00558718j -0.000962669-0.00271906j -0.00390017+0.00343492j -0.00117683-0.00206759j -0.00271617+0.00437152j -0.00491907-0.00549544j -0.00516584-0.00589195j -0.00379451+0.00144038j -0.000262262-0.0039446j -0.000266317-0.00237981j -0.00394149-0.00167271j -0.0045103-0.000570822j -0.00219697-0.00020174j -0.000341899+0.00224591j 0.00165067-0.00122888j -0.00110247+0.00342648j -0.000335397-0.00160229j 7.98549e-05-0.000363437j -0.00393148+0.00318291j 0.00237961-0.0026782j 0.0036116+0.00181314j 0.00139222+0.00315017j 0.00322476+0.000307209j 0.0044773-0.000873139j -0.00277476-0.00409157j -0.000783057+0.00260817j 2.26295e-05-0.00195012j 0.0011295-0.0012849j -0.00416895-0.00486951j -0.00146828+0.000795962j -0.00376438+0.0026412j 0.00518925-0.00558407j 0.00315375+0.00232493j -0.000776468+0.000214153j 0.000708905+0.000860518j 0.00287483-0.00404103j -0.00211067+0.000571515j -0.000738938+0.00128472j -0.000270818+0.000571507j 0.00195136-0.000540117j -0.000553554-0.00122587j 
-0.00116006-0.0015521j 0.00210778-0.00175139j -0.00522885+0.00109624j 0.000445453-0.00446674j 0.00636414+0.00125285j -0.00462531-0.00482513j 0.00187458-2.86035e-05j 9.60942e-05-0.00177786j -0.00162199-0.000157875j -0.000149901+0.00120021j 0.00508576-0.00193528j -0.00276389+0.00453344j 0.00121805+0.00102867j 0.00043557-0.00195372j 0.00173741-0.0040563j -0.000543838-0.00956416j -0.00166181+0.00563506j -0.00482248+0.0056577j -0.00149904-0.00325963j 0.00342721+0.00212118j 0.00180531-0.000417109j 0.000640694+0.0026884j 0.00171303+0.00615306j 0.00840917-0.00134855j 0.000182666+0.00218035j -0.00413197+0.00127327j 0.00406742-0.00123226j -0.000921023+0.00449624j -0.00244567+0.00238191j 0.00262841+0.00285453j 0.00568404+0.00141699j -0.000214735-0.00371572j 0.00358972+0.000941398j -0.00140833-0.00124518j -0.00467561-0.00103351j -0.00343315+0.00388716j -0.00442353+0.00265891j 0.00121065+0.00188997j -0.00103706-0.00362771j 0.0056092-0.00135182j -0.00328258-0.00627997j 0.00376216-0.00355867j 0.00501608-0.00061077j -0.00607645-0.00198774j -0.00311615-0.00491368j 6.74133e-05-0.00527187j 0.00491391+0.00115258j 0.0015764-0.00585322j 8.93706e-05+0.00569491j -0.0033257+0.00202697j 0.00199563+0.00234074j 0.00290147+0.0103349j -0.00356988-0.00325257j -0.00481541+9.03189e-05j 0.00372155-0.000764593j -0.00109621-0.00237638j 
-0.000345683+0.0013952j -0.00172157-9.50052e-05j 0.00013501-8.58558e-05j 0.000200846+0.000193776j -0.000543125-0.00347386j -8.44128e-05-0.000745093j -0.00231758+0.00011698j 0.00150505+0.00125479j -0.0016441+0.00209924j -0.000715871-0.00241999j 0.000220041+0.00151825j -0.00280959+0.00137237j -0.000527569+0.00229073j 0.00177325+0.0027524j 0.00183191-0.00123706j 0.00344962-0.00449656j 0.00457932+0.00363052j -0.00075968+0.00293611j -0.00621755+0.00171611j 0.00250307-0.00522224j 0.00556683-0.00162965j -0.00206449+0.00162108j -0.000368601-0.00221905j 0.00155805+0.00183669j -0.0023666-0.00288517j 0.00141984+0.000134535j -0.00092541+0.00057702j -0.000607713-0.00407219j -0.000294471-0.00126541j 0.000905384-0.000656767j -0.00168482-0.0035828j -0.0028303-0.00126368j 0.000591631-0.00162868j 4.20695e-05-0.000185844j -0.00315004+0.0014819j 0.000624558+0.00083833j 0.00220503-0.00318576j 0.00213575+0.00305893j -0.000410768+0.001807j 0.00145062+0.000678601j 0.0017337-0.0020114j 0.00343225-0.00120092j 0.00314595-0.000359122j -0.000514333+0.00386517j 0.00143656+0.000779932j 0.00195968+0.00280821j -0.00532718-0.00015177j 0.00344488-0.00102021j -0.00342839-0.000802423j -0.00143056-6.44702e-05j -0.00237304+0.0032335j -0.000344019-0.00207017j 0.00107737-0.0012138j -0.00016216+0.000365339j -0.00189829-0.000497243j -0.000384531+0.00129712j 
-0.000226613+0.000388601j -0.000605003+0.000320318j 0.00287101-0.000616294j 0.000349297+0.00285308j -0.00336616-0.000158949j 0.00172096+0.00207447j -0.00221873+0.00185836j 0.000348538+0.00317944j 0.00102673+0.000256174j -0.00107536-0.00113793j -0.0024594+0.002065j 0.00210919-0.00222681j 0.00221833-0.00125976j 0.00244387+0.00150866j 0.00116308+0.00150936j -0.00043949+0.00309484j 0.00262522+0.001432j 0.00042506-0.00172652j -0.00274506-3.14708e-06j -0.000305857-0.00255057j -0.00102398-0.00169469j -0.00158816-0.000694762j 0.000877503-0.00195735j -0.00350113+0.000812148j -4.86142e-05-0.00237038j -0.00162207-0.000619924j -0.00228497+0.00185173j -0.00243441-0.00290286j 0.00174989+0.00225744j -0.000809616+0.000431071j -0.000647427-0.00134708j -0.00262718-0.00140203j -0.0014287-0.00285896j 3.22797e-05+0.00140742j -1.18618e-05+0.001912j -6.25098e-05-0.000466464j 0.00182036+0.00109601j 0.00040279+0.0010165j -0.000222674+0.00359575j -0.00322293-0.00117151j -0.0024173+0.00295151j 0.00221742+0.00273153j -0.00276768+0.00140388j 0.00194172+0.00268155j 0.00177155+0.00354672j 0.00144313+0.00115125j -0.00475748-0.000642189j 0.00136515+0.000273733j 0.00172842-0.00261228j -0.00075312+0.000689232j 0.000714134+0.000564855j -0.00332367+0.000147996j -0.000107615+0.000698261j 0.00287228-0.000853341j -0.000924434+5.44962e-06j -0.000427861+0.00037904j 
0.000291983-0.00273664j 0.00308345+0.00028468j 0.00259197-6.48022e-05j 0.000877429+0.0028348j 0.00092766+0.000249461j -0.00165774+0.00115273j 0.00281418+0.00110374j 0.000201347-0.000654591j 0.00305295+0.00282607j -1.58019e-05+0.00388133j -0.00254423-0.00464075j 0.00168075-0.00554396j -0.000109207+0.000209401j 0.00189402+0.00321411j 0.00296871-0.000918242j -0.000574352+0.000894448j 0.000903745+0.000339225j 0.00256326-0.00200881j -0.000353908-0.000933061j 0.00423061+0.00045685j -0.00685636-0.00269741j -1.41999e-05+0.00258857j 0.0052095+0.0040912j 0.00503356+0.000569026j -0.00195975-0.00131501j -0.00149497+0.00423749j 0.00440533+0.0111392j 0.00366594-0.00677824j 0.007254+0.00635322j 0.0012066+0.00656739j 0.0077354-0.00448315j -0.00113718-0.00119538j -0.000172856+0.0175886j -0.00647229+0.00532736j 0.0202792+0.00607698j -0.0108052-0.00349242j 0.00295047-0.00890035j 0.00226852+0.00521961j -0.00580868+0.0131865j -0.000468686-0.00126094j 0.00145374-0.0101967j 0.00243322+0.0104236j -0.015902-0.0080938j 0.00321495+0.00637346j -0.00515353+0.00282375j 0.00756196+0.00019012j 0.013038-0.00797194j -0.0024456-0.00574444j 0.00700934+0.0103551j -0.00622648-0.00255516j 0.00983154+0.00522104j -0.00648843+0.00641601j 0.000123364-0.00154582j 0.00463217-0.00270734j 0.00141177-0.00044683j -0.00178375-0.00120962j 
0.00103396-0.00177247j 0.00191438+0.000682147j 0.00300211+0.00147758j -0.00197773+0.00135786j -0.0032996+0.00291596j 0.0014162+0.00345975j 0.000512343-0.00148006j -0.00121242+0.00150231j 0.00475286-0.00192792j -0.00217303+0.004932j 0.00114218+0.00614785j -0.00155501-0.00014037j -0.00195478+0.00200938j 0.00117704-0.00168511j -0.00442207-0.00227713j 0.000672458-0.00346349j 0.00679674+0.00286455j 0.00179107-0.00172732j 0.00417461+0.00163983j 0.00928771-0.00194932j -0.00413423-0.000175482j 0.00267767-0.001696j 0.00308717-0.0059716j -0.000284956+0.00570749j -0.00331401+0.00103093j -0.00557179-0.00497394j 0.000233237+0.00281286j -0.00521299+0.00647222j -0.0035999+0.0010084j -0.00408204-0.00549807j 4.31609e-05+0.00316422j 0.0058398-0.00387745j -0.00446051-0.00184899j -0.0039524+0.0012319j 0.0012883-0.00594548j 0.00308432-0.00155074j -0.00221154+0.000965807j -0.00463333-0.00285158j 0.000832844-0.00381882j 0.00106656-0.0063202j -0.00511908+0.00957965j 0.00181674+0.00148762j 0.00221338+0.00732937j 0.000834576+0.00201498j -0.00434358+0.00648594j 0.00362867+0.00348822j -0.00639982+0.000344666j -0.00568045+0.00019359j 0.00323704-0.00478306j 0.000828929+0.00411747j 0.0014787-0.00655038j 0.00630273+0.00271946j -0.00122637+0.00139612j -0.00235093-0.000863009j 0.00195516+0.00125288j 0.00182414-0.000965585j 
