-0.0839282+0.0897145j -0.192361+0.273044j 0.00737372+0.000265016j -0.033671-0.0149865j -8.73234e-05+0.00545812j -0.0229427+0.0333201j 0.0128674+0.0160451j 0.0233559-0.00301094j -0.0035773+0.0059757j -0.0247195+0.0099093j -0.00655985+0.00256616j 0.00278566-0.0112024j 0.00520031-0.0044158j -0.00165858-0.00998623j 0.00302206+0.0088407j -0.00803298+0.00539246j -0.0125581+0.00431988j 0.0109626-0.00100859j 0.00431392+0.000787536j 0.00379745-0.000237166j 0.0024644-0.00780662j -0.00390985+0.000875991j 0.00348172-0.00639969j 0.0133264-0.00650797j 0.0013404-0.00183741j 0.00441842-3.35742e-05j -0.00256863+0.00151991j 0.00134388-0.00189424j -0.00482878-0.00149706j -6.38283e-05+0.00232855j -0.00231761+0.000702676j -0.0109483+0.00567252j 0.00205253+0.00167404j 0.00159024+0.00133929j -0.00806291+0.00391467j 0.00828813-0.00335371j 0.0142758-0.0069674j -0.00862684-0.000170477j -0.00567039+0.00589628j 0.0118047-0.00262964j 
-0.00881161-0.00120872j -0.0259508+0.00133514j 0.00513063-0.00250721j 0.00341714+0.000435924j 0.00150998+0.00230354j 0.0134157+0.000827023j 0.0124267+0.00119553j 0.0152479-0.00502988j 0.00701358+0.010072j -0.0151664-0.00257316j -0.0142826-0.0118127j 0.000603243+0.00683879j 0.00609228-0.00149364j 0.00372403-0.010608j -0.00140233-0.0021415j -0.00265852-0.00608911j -0.000281649-0.0120829j 0.00166615+0.00186154j 3.75038e-05-0.00394653j 0.0121743-0.00367232j 3.34569e-05+0.0064421j 0.00286559-0.00855292j 0.0112811-0.00496181j 0.00685759-0.00195315j 0.00206756-0.00229245j -0.0325641-0.00036076j 3.23776e-05+0.000191514j 0.00794887+0.000362835j 0.00425675-0.001954j -0.00172108-0.00323359j 0.000742499+0.00440098j 0.00952775+0.000897819j 0.00147153-0.0011143j -0.00282577+0.000776309j 0.00490967+0.00592068j -0.00876227-0.00077647j -0.00440712-0.00151454j 0.00131231+0.00203222j 0.00461167-9.01776e-05j -0.000614083-0.00153252j 
0.010087-0.0236088j 0.0107783-0.0584983j -0.000548071+0.00158367j 0.00532231-0.000375411j 0.00212332-0.00100936j 0.00203907-0.0106616j 0.00524083+0.0101856j 0.00895288-0.007779j -0.00854887+0.00361249j -0.00582145-0.00328627j -0.00856145-0.0114128j 0.00573584-0.00653491j 0.00571448+0.0123088j 0.00884115-0.00506577j -0.00494359-0.00170835j 0.00352986-0.015293j 0.00328952-0.00774679j -0.00478945+0.0108153j 0.00281019-0.000861627j -0.0106084-0.00328374j -0.00121931+0.00841988j 0.000490706+0.000377315j -0.0112063+0.00104665j -0.00931842-0.00509303j 0.000510732-9.52444e-05j 0.0116339-0.00861642j 0.0062547+0.0137748j -0.00473666-0.000150037j 0.00701464+0.00224085j 0.0104417+0.00658497j -0.0033094-1.13744e-05j -0.00225506+0.000320025j 0.00149143-0.00425104j 0.00314602-0.00714989j -0.00637457+0.00642944j 0.00272294-0.0118454j -0.00265479-0.00348854j -0.0093244+0.00294546j 0.00518494+0.003468j 0.00334326-0.00138535j 
0.0243799+0.0455979j 0.0804013+0.174541j -0.00674143+0.00576833j -0.00881859-0.0400537j 0.0105002-6.55685e-05j 0.00921218-0.000366602j 0.00479214-0.00898163j -0.000828228+1.59198e-05j 0.00744313+0.00768428j -0.00374145+0.00108258j 0.00355818-0.0050151j 0.0122602+0.0113807j 0.0110268-0.00193838j 0.0157089+0.0106504j 0.00491865-0.00283858j 0.0037449+0.00879926j 0.0079276+0.0114152j 0.000429136-0.0035577j -0.00159372-0.00728582j -0.002751+0.000933324j -0.00832446+2.55503e-05j 0.000777527+0.00441352j -0.000666318+0.00384517j -0.0052858-0.00576629j -0.00303576-0.00127871j 0.00305242-0.00220988j -0.00737345-0.0137464j -0.00230045-0.00228956j 0.00578767-0.00814973j 0.00364414+0.00792847j 0.00341117-0.0023007j 0.00176341-0.0075258j 0.000196522-0.00462156j -0.00183291-0.00579932j 0.00400356-0.000295086j -0.000359826-0.00437833j -0.00458865+2.59786e-05j -0.000819372+0.00441132j 0.00233365-0.00126093j -0.00126665-0.00271232j 
-0.00255872+0.0279386j 0.0191122+0.103961j -0.000498893+0.00219795j -0.0223338-0.0200434j 0.0014745-0.000132493j -0.00439006+0.0041418j -0.000899988-0.00141523j 5.3748e-05+0.0028102j 0.00219792-0.00142226j -0.000501187+0.00210391j 0.00533144+0.00264532j 0.0156054-0.00655008j -0.00275116-0.00636699j 0.00187555+0.00469143j -0.000978588-0.00158004j 0.0115624+0.00276094j 0.00213921+0.00895258j -0.00550778-0.000264391j 0.00450716+0.001552j -0.00829168+0.00935779j 0.00292663-0.00089832j -0.00254984+0.00486749j -0.0145513+0.0120238j -0.0064316+0.0080183j 0.000317528+0.00213988j 0.0110191-0.00991638j 0.0167659-0.012439j -0.00339901+0.0040161j 0.00018199+0.00636022j 0.00322999-0.00693645j 0.000778628+0.000133572j 0.00723855+0.0058169j -0.00477685-0.00434338j 0.000176602-0.00119218j 0.00451462+0.00224367j -0.0028883+0.000770311j -0.0066138+0.000292008j -0.00294062+0.00492836j 0.00486545-0.00308322j -0.00053325-0.00254443j 
-0.0147755-0.00193477j -0.0296752-0.00583908j 0.00622534+0.00309524j -0.0158151+0.00915824j -0.00499294+0.00174979j -0.0202+0.0246654j -0.00233557+0.0119991j -0.00509275+0.017256j -0.00976895+0.00853605j 0.00577597-0.0125755j 0.0134911-0.00359791j -0.00697229+0.0177861j -0.00296814+0.000470931j -0.00409761+0.0094043j 0.00161537-0.00389049j 0.00712787+0.000742309j 0.0047388+0.00284009j 3.34705e-05-0.00249333j 0.0067521-0.00375203j 0.00249798-0.00628673j -0.00443028+0.00167697j 0.0038731-0.0104374j 0.0029293+0.000349364j 0.00569555-0.00565077j -0.000239587-0.00630336j -0.00551322-0.000143749j -9.38973e-05+0.00571355j 0.00187418-1.03152e-05j 0.0168906+0.00834703j 0.00111238-0.000750534j -0.00391145+0.00932653j 0.00481373-0.00197374j 0.00553332+0.00355048j 0.00264702-0.00481424j -0.00474027+0.0050152j -0.00163901+0.000639277j -0.00202086-0.000587389j -0.00666421+0.00445196j 0.00455678-0.00208351j 0.00181946-0.0027211j 
-0.00609392-0.0552385j -0.0461784-0.136249j -0.00473577-4.30298e-05j 0.0184923-0.00550496j 0.00610888+0.000288894j -0.0180655-0.00918851j 0.00812092-0.00275413j -0.0142927-0.00382285j 0.00100228+0.00715462j -0.00516474+8.45826e-05j -0.010987+0.0251589j -0.00156541+0.0146065j 0.0173977+0.00280918j -0.00289595+0.0126604j 0.00236706+0.00845072j -0.0191867+0.00946466j -0.0158038+0.00765908j 0.0108078-0.00146622j 0.00203934-0.000883841j 0.0024322+0.0090125j 0.00227265-0.00249594j 0.00374091+0.00262982j -0.00052775+0.00948222j 0.00104954+0.00804612j 0.00521626+0.00107605j 0.00254039-0.00990196j -0.0101786-0.00146695j -0.00216811+0.00334149j 0.00156764+0.00200921j 0.00609451-0.00432518j -0.00881629-0.00187163j -0.00725124-0.00165524j -0.00351963+0.000981539j 0.00333536-0.00306707j -0.00784998-0.00336333j -0.000420324-0.00199292j 0.00227794+0.00579019j -0.00859214+0.000303457j 0.00317098-0.00124212j 0.00437918+0.000424509j 
-0.0475699-0.0262228j -0.172582-0.0965534j 0.00774843-0.00697084j 0.0341308+0.0223469j -0.00551786+0.00738553j 0.00760261+0.00519096j 0.00182567+0.0107028j 0.0193768+0.00662195j 0.00360558-0.00642104j -0.0144925-0.00537367j 0.00220453+0.00991378j 0.0202496+0.00855071j -0.00327439+0.00987368j 0.00167884+0.0211961j 0.00376259+0.00125811j -0.00485685+0.00587949j -0.00316493+0.00712893j 0.00694325-0.0017204j -0.00423901-0.00201969j 0.00386076+0.00693137j -0.00696792-0.004621j -0.0104165-0.00167242j 0.00457632+0.00733598j 7.66266e-05+0.00593418j -0.00568532-0.00328185j 0.00335156-0.0102983j -0.00229166-0.00451377j -0.00168979+0.00360617j 0.00289257-0.0131329j 0.00566951-0.00224732j 0.00302853+0.00774356j -0.0138818-0.00298073j 0.0116943-0.00568195j -0.00286058+0.00161001j -0.00623683+0.00199835j -0.000150335+0.00592298j 0.00495876-0.000747406j -0.00194735-0.00596134j -0.0010731+0.00162762j 0.00215157+0.00227869j 
-0.0805088+0.0167197j -0.269958+0.0769445j 0.0122824-0.00494366j 0.0308644-0.0109594j -0.025669+0.00164106j -0.0216398-0.0184237j 0.0134331+0.0106661j 0.00562791-0.0313183j -0.0122767+0.00364715j -0.00424558+0.00821168j 0.0066073-0.00370711j 0.00783771+0.00878116j -0.00914976-0.00850935j -0.00454085+0.00625555j -0.00334192-0.00146813j 0.00399841+0.00482097j -0.00316995+0.00555982j -0.00255662-0.00726481j 0.00541917-0.000754934j 0.00861451-0.00719836j 0.00321556+0.00443622j 0.000395663+0.00410306j 0.00644634-0.00336079j 0.0103794-0.00287744j 0.00214987+0.00229893j -0.00078554+0.00061727j -0.00246329+0.00195415j 0.00232143+0.000619824j -0.000287111+0.00501897j -0.00197006-0.00774021j -0.00234714-0.000470982j -0.00726792+0.00697513j -0.00923423-0.00185783j -0.000121925-0.000452205j -0.00847238+0.00570707j 0.00348108-0.00129687j 0.00683556-9.31165e-05j -0.00623606+0.00826917j 0.000669485-0.00424141j 0.00280791-0.0034027j 
0.0153661+0.0640287j 0.0510408+0.204555j 0.00177857-0.0209356j 0.000177466-0.0164245j 0.00288378+0.0342498j -0.0211944+0.0179593j 0.00873537-0.00263997j -0.0207275-0.00619149j 0.00217157+0.00137968j -0.0017002+0.0030742j -0.0130853+0.00478546j 0.0156299-0.00823869j -0.00756475+0.021433j 0.00496252+0.0144676j -0.00278005+0.000898467j 0.000860175-0.00447935j 0.00201931-0.00197801j -0.000532099-5.42696e-05j -0.00395164-0.000420665j 0.0015666-0.00710304j -0.00132432+0.00249174j 0.00193081-0.00393348j 0.000848517-0.00475329j -0.00168075-0.000491173j -0.000201269-0.00111832j -0.0082012-0.00215617j -0.0101353-8.95647e-05j 0.000291773+0.00181435j -6.39874e-05-0.000172873j 0.00327595-0.00642548j -0.00260797+0.00564597j -0.00130314+0.0078672j 0.00288861+0.00114471j 0.000859518+0.00812089j 0.000653402+0.00547699j -0.00612251+0.00829655j -0.00413646-0.00484237j 0.000798392-0.00405516j 0.00169591+9.77925e-05j -0.0010029+0.00119854j 
0.0904989-0.096331j 0.275046-0.196415j 0.0139306-0.00866714j -0.0181073-0.0354007j -0.00782922+0.0165195j 0.0313009-0.0123358j 0.0159028+0.00885627j 0.00871625+0.00752666j -0.00517084+0.0108461j 0.00988316-0.0173867j 0.00612294+0.00593395j -0.00964763-0.00552083j -0.0093315-0.00304923j -0.0105928+0.000388832j 0.00359002+0.00148277j 0.00342286-0.000321759j 0.00458645+0.00110394j -0.000642132+0.00661181j 0.00220091-0.0022295j -0.00379212+0.00738343j -0.00204541-0.00256669j -0.00073048+0.00352312j -0.00507685+0.00415666j -0.006251+0.00700855j -0.00124211+0.000597523j -0.000572648+0.00483526j 0.000731649+0.00324009j -0.000587536-0.0017316j -0.00126959-0.000111076j 0.00214907+0.00142677j 0.00249309-0.00537049j 0.00468497-0.00738101j -0.000147822-0.000752562j -0.00287217-3.67259e-05j 0.00448359-0.0049959j -0.00124319-0.00466916j -0.0045219+0.00614597j 0.00572894-0.00755586j 0.000375218+0.00191166j -0.00366083+0.00583483j 
0.0956171+0.0902824j 0.193262+0.270278j 0.0102887+0.0136637j 0.0347153-0.0160039j -0.0181164-0.00727755j 0.0118685+0.0297023j -0.0106263+0.0176175j -0.0058202+0.00892719j -0.0112742-0.00699287j 0.0173214+0.00894175j -0.006883+0.00540327j 0.00548096-0.00883355j 0.00037167-0.00900169j -0.00297204-0.0105078j -0.00177092+0.0025133j 0.00176206+0.00295658j -0.0012586+0.00345404j -0.00693671-0.000593619j 0.00235943+0.00312434j -0.0067128-0.00410975j 0.00179395-0.00171383j -0.00406317-0.00161671j -0.00474883-0.00572788j -0.00690279-0.0056989j -0.00105704-0.00137795j -0.0047477-2.7775e-05j -0.00293344+0.000335428j 0.00157141-0.000501495j -0.000569206+0.000234012j -0.000558846+0.00203893j 0.00517839+0.00282112j 0.00726482+0.00467024j 0.00178045-0.000710932j 0.000483356-0.00160621j 0.00456423+0.00394142j 0.0041473+6.05143e-05j -0.00679097-0.00488506j 0.00683213+0.00366613j -0.00113619+0.0011165j -0.0056799-0.00300221j 
