0.00148532+0.0143885j -0.00252911-0.0164658j 0.00291973-0.0208722j 0.0231827+0.0560076j 0.0099261+0.0204855j -0.00391998+0.00857455j -0.0171694-0.0110532j -0.017006-0.0140841j -0.0065468+0.0102307j 0.00104589-0.00431782j 0.01022+0.0084416j -0.00676605-0.00105515j -0.011462-0.00968152j 0.00213638+0.010861j -0.00251148+0.00344436j 0.00215334+0.00583566j -0.00793508+0.00262965j -0.000973422+0.00023896j 0.0104929+0.0110217j -0.00144035-0.0118507j 0.00630039+0.00316215j -0.00586209+0.00388443j -0.00506901+0.00238914j -0.00168795-0.00440693j 0.00596695+0.00276407j 0.000763109-0.00374452j -0.0039174-0.0108785j -0.00307994-0.00177767j 0.00291743+0.00179825j 0.00227695-0.00546436j 0.00567011+0.00179336j -0.00329982+0.00368415j 0.00523408+0.00856538j -0.00302484-0.0117756j 0.0138849+0.000365004j -0.00245099-0.0159219j 
-0.00210095+0.00427905j 0.00272752+0.00156813j -0.00493844+0.0114554j 0.00443457+0.0145341j 0.00520457-0.00817544j -0.0134729-0.0174849j -0.00804905-0.021511j -0.0048626-0.00542399j 0.00300643+0.00527907j 0.00665679+0.00871906j -0.0114267+0.00105276j 0.0111347+0.00988744j -0.00103423-0.00998786j 0.00223413-8.84387e-05j -0.0041687-0.00368444j -0.00611146-0.0104276j 0.0134122+0.0113756j -0.000497046-0.00235169j -0.00653485+0.000354485j -0.000865103-0.00380254j -0.00454393-0.00149186j 0.00521331+0.0108182j 0.00506339-0.000463242j 0.000365462+0.00498905j 0.00339447-0.000356372j -0.00261455-0.00395996j 0.00251356-0.00168918j 0.00292525-0.00204491j -0.00527907-0.0103029j 0.000543114-0.00774257j -0.00339096+0.0050449j -0.00335504+0.0126311j 0.000195125-0.00738803j -0.00106902-0.00601055j -0.00615729-0.0123882j -0.00175273-0.00584813j 
0.00267151-0.00377449j -0.0133834-0.00298997j 0.00275932+0.02555j 0.03146-0.00611633j 0.0135954-0.0035709j 0.0120158-0.010258j 0.00711728-0.000773871j -0.00181193-0.00527901j -0.00692715-0.00309787j -0.00489125-0.00109292j -0.00143334-0.00122184j -0.00845771-0.0073084j -0.0108253-0.00549469j -0.00180631+0.000809063j 0.0123561+0.00205577j -0.0125948-0.00799873j 0.000530571-0.00103784j -0.00765932-0.000718052j -0.00250665-0.00166636j -0.00369389+0.00427682j -0.00416366+0.00722162j -0.000349852-0.00485995j -0.00698053-0.00814237j -0.0102702-0.003399j -0.00503028-0.00390381j 0.000422876-0.00358049j -0.00296531+0.0014442j 0.0054658-0.000781985j 0.00322304+0.00631755j -0.00237479-0.00215579j -0.000198125+0.0075953j -0.000761637+0.000747742j 0.00277491-0.00234692j 3.11538e-05+0.00490006j -0.00194493+0.0106793j 0.000162388+0.00327633j 
0.000157776+0.0148407j 0.00543513-0.0138839j -0.0060729-0.00954364j -0.00605623+0.00827378j -0.00778317-0.0155164j 0.00634673+0.0144652j 0.00333436-0.007099j 0.000529627+0.0105753j 0.000238461+0.0153842j 0.00717815+0.01175j 0.0102028-0.00145333j -0.0101381+0.0173333j 0.0098649-0.00279122j -0.0141646-0.000375348j -0.015417-0.00813205j -0.00492237-0.00540599j -0.0117845+0.000943921j -0.00511287-0.00371143j 0.0131585+0.00455211j 0.00151302+0.00552297j -0.00384419+0.000553291j 0.00239946-0.00397602j 0.00138381+0.000904969j -0.00584739-0.000301533j -0.00168905-0.000458058j 0.00166504-0.00806636j -0.00364803-0.0093105j -0.00584395+0.00219094j -0.00161025+0.00538069j -0.00824865-0.00292755j -0.0109396+0.00761304j 0.00195462-0.00407608j -0.001136-0.00355918j 0.0003451-0.0127431j -0.00718844-0.00398177j -0.0029789-0.00620551j 
0.0058189+0.00652917j -0.00375925-0.0146103j 0.0136223+0.00670647j 0.017613+0.0144386j -0.00763163-0.0103873j -0.000609252+0.0192655j 0.00420081+0.00275578j 0.00916205+0.0134386j 0.0108396+0.00574618j -0.000904104+0.00393766j -0.0130073+0.00558022j -0.00241807+0.00272091j -0.0119476+0.00549061j 0.01299-0.000928276j 0.00299184-0.00149062j -0.00980451-0.000149946j 0.00517569-0.00964269j 0.0014817-0.00347773j -0.00721295+0.0103939j 0.00101009-0.00115883j 0.00502635-0.00364297j -0.000286309+0.00241295j -0.00419488-0.0101385j 0.00539618-0.00403956j 0.00542763-0.00310352j -0.00252091-0.00107388j 0.00649671-0.000102817j 0.00143336+0.00969681j -0.00314413-0.00498264j 0.00826183+0.00148872j 0.00580509+0.00542009j 0.00205371+0.00365262j -0.000731817-0.00626132j 0.00490826+0.00282996j 0.0055374+0.00278537j 0.00289885-0.000802575j 
-0.00960689-0.0110558j -0.00570633+0.0140344j 0.0432325+0.001703j 0.011478-0.022717j -0.0109125+0.000777815j 0.00650247-0.0126649j 0.0122403-0.00669071j 0.00704613-0.00385564j -0.00192956-0.00103394j -0.00385739-0.00259703j -0.00403846-0.000520249j 0.000300994+0.00458918j -0.000473831-0.00250551j -0.00358164+0.00648454j -0.0178418-0.00216855j -0.00957634+0.00893854j 0.0025378+0.010706j -0.00102393+0.00566254j 0.00206368-0.00390098j 0.00170235-0.000559723j -0.00367885+0.00121535j 0.00501523+0.00284099j -0.00264073+0.00906934j 0.000223218+0.00761551j 0.00103658+0.00380666j 0.00632648+0.00262027j 0.00211823-0.00254807j 0.00307534-0.00695331j -0.00537614-0.00354651j 0.000142861+0.000918848j -0.00374217-0.00337791j 0.00276189+0.000820928j -0.002087+0.00227735j 0.0057322-0.00471627j 0.000835519-0.00267751j 0.00424837-0.00125394j 
0.00527406-0.00782152j -0.00242009-0.000115639j 0.00318198+0.0225135j 0.00626758+0.00698087j -0.00917511-0.0020317j -0.0106405+0.0220256j -0.00824962+0.0136546j 0.00391393-0.00479996j -0.00272182-0.0133094j -0.00219917-0.00254195j -0.00484107+0.000822594j 0.00498577+0.00246717j 0.00461658-0.00170635j -0.00525709-0.00661965j 0.000221114-0.0164589j -0.000992349-0.00357049j 0.00778912+0.00916427j -0.00034395+0.000729718j -0.00108846-0.00636236j -0.00629825+0.00386473j -0.0103705-0.00125234j 0.00129307+0.00199396j 0.00219281+0.01067j -0.00264016+0.00586393j -0.00959649+0.0123221j 0.00556049+0.00485683j -0.00659494-0.00444597j -0.00114505-0.000885959j 0.00901475-0.00491856j -0.00997643+0.00580042j -0.00193602-0.0034111j 0.00743248-0.00894264j -0.000638713+0.00356468j 0.00203896-0.0119097j 0.00407567-0.00191678j 0.00354228-0.00555791j 
-0.00302649+0.00433235j -0.00258142-0.00239945j 0.0112485-0.017931j -0.00535958-0.0025606j -0.00762399+0.00126195j 0.00928023-2.44919e-05j 0.00827455-0.00646947j 0.00304032-0.00597019j -0.00635225-0.00775731j -0.00326676+0.000497431j -0.00354357+0.00540722j 0.00212877+0.00234762j -0.000563868+0.00747342j 0.000321496-0.0161365j -0.00628604+0.00534044j -0.00103205-0.00517437j 0.00346161+0.00344463j 0.00117126-0.00788031j 0.00424096-0.000319288j -0.00687578-0.00441935j -0.00774534-0.0164479j -0.00144499+0.00437665j 0.00381071-0.000477539j 0.000982942-0.00802505j 0.00546565-0.00658192j 0.00733505+0.0053883j -0.00640007-0.0106765j -0.00161383+0.00193094j -0.00248996+0.00391966j 0.00618808-0.00486545j 4.63336e-05-0.00455118j -0.00407553-0.000219924j 0.00337983+0.00458767j -0.00539353-0.00846428j 0.00756815-0.00251851j -0.000860958-0.00518484j 
0.00232931+0.00927398j 0.00213554-0.00623153j 0.00383901-0.0307806j -0.00853414+0.0314953j -0.0143315+0.0152116j -0.0127777+0.00100604j -0.0039981-0.0110007j 0.0167018+0.00541057j 0.0133259+0.00640941j 0.00203211-0.00185891j -0.0100688+0.00175962j 0.00516302+0.000580177j 0.00193894+0.00179619j 0.00193249+0.00575043j 0.00311888+0.00911362j -0.00703427+0.00332071j -0.000228445+0.000565801j -0.00511097+0.00129811j 0.000434264-0.00383244j -0.00466396+0.00112137j -0.0160435+0.00759147j 0.00278604+0.00438306j -0.00676592-0.000576142j -0.00524486-0.000970004j -0.0124174-0.0104158j 0.0102095-0.00727207j -0.0068322+0.00634737j 0.00228665+0.00210663j 0.0106177+0.00412027j -0.000319803-0.0114648j -0.00633403-0.0021329j 0.00472082+0.0111885j 0.00740113-0.00221041j 0.00328608+0.00997684j 0.00758078-0.00611642j 0.00457691+0.00112302j 
-0.00117413-0.00697971j 0.00388559+0.00208226j 0.00357859+0.00717733j 0.00031616+0.000428241j -0.00606215+0.0124688j -0.000205297+0.00670823j 0.000276082+0.00463121j 0.00134285-0.00389483j -0.00600847-0.00880814j -0.000478214+0.00676703j -0.00270659+0.00549149j 0.00856441-0.0126812j 0.00565194-0.00588668j -0.00309936-0.00848413j 0.00255044+0.00910019j 0.00543199-0.0156528j 0.00546088-0.00881652j 0.00285014-0.0104975j -0.00806196+0.00297473j -0.00228371+0.00240228j -0.00488694-0.000953107j 0.00184995-0.000423629j 0.00885657-0.0096968j 0.00651515-0.0131439j 0.00752645-0.0073232j 0.00545945-0.00529691j 0.00173112+0.000976207j 0.00051916+0.00255474j -0.00679643+0.000626758j 0.0105112-0.00638374j -0.00224657-3.52681e-05j -0.00547075-0.00180054j 0.00393559-0.00453567j -0.00415589+0.00053269j 0.00030548-0.00627833j -0.000667632-0.00208726j 
-0.00589057-0.0014226j -0.00317376-0.00852856j 0.0087733-0.0168191j -0.00115888+0.0174322j -0.00259129+0.022445j 0.00943914+0.0122014j 0.00214325-0.000833288j 0.0045519-0.00290664j 0.00165763+0.00827569j -0.00221761+0.00627376j 0.00100952+0.00602453j 0.00473459+0.00589011j 0.00582591+0.00146992j 0.000153+0.00776965j -0.00447913+0.00107707j 0.00528271+0.0065352j 0.00193975-0.00702758j 0.00588241+0.00238427j -0.00935169+0.00234077j 0.00939613+0.00177461j 0.0124028+0.0119712j 0.00216277-0.00114058j 0.0034083+0.00386502j 0.00972847-0.00143186j 0.00546418+0.000618206j -0.00392574-0.0122429j 0.0103372+0.0125818j -0.000396975+0.000876621j -0.00720424-0.0079014j 0.00629974-0.00286587j 0.00330261-0.000482539j 0.00052558-0.00151814j -0.00227476-0.00751235j 0.0034901+0.0066449j 0.000677572-0.0138432j -6.48221e-05-0.00081782j 
-0.0105127-0.00912937j 0.00407849+0.00955958j 0.0122666+0.0125088j -0.0089616-0.00991325j 0.00965424+0.00412782j 0.00470383+0.00210667j 0.0045715+0.00932223j -0.0136325+0.00046188j -0.018257+0.00718565j 0.000216549+0.00699429j 0.0046182+0.00147511j -0.0045014-0.00701415j 0.00197744-0.00322436j -0.0165362+0.00685821j -0.0010812-0.00200243j -0.0104657+0.000794186j 0.00400858-0.00643998j -0.00641946-0.00216378j -0.00462445+0.000869839j 0.00120542+0.00999611j -0.0089737+0.00677338j 0.0016231-0.000880746j 0.00197057-0.00375736j -0.00707737-0.00239207j -0.00160338+0.00366309j 0.00414601-0.00670678j -0.00473501+0.0031742j -0.00153721+0.00380578j 0.00211632-0.000975872j -0.00465649+0.00173429j -0.00494577-0.00283939j -0.00362667-0.00756889j 0.000804978-0.00205126j -0.00490899-0.00133192j -0.00135741-0.00828897j -0.00302975-0.00231503j 
0.00991175+0.00562846j -0.0067563-0.0232519j -0.0280312-0.0255566j 0.038658+0.0233494j 0.00674085+0.0173797j 0.00353498+0.0078513j 0.000122044-0.00791683j 0.00467882-0.0197591j -0.0077808-0.0122809j -0.000329917-0.0119545j -0.004304+0.00668133j -0.00551268+0.00455248j 0.00767762+0.00531111j -0.00749511-0.0148551j 0.00517816-0.0015646j -0.0123757-0.00111817j -0.000262535+0.0112796j -0.00460579-0.000641593j -0.00333435-0.00954108j 0.00295362-0.00161435j -0.000463201-0.00407582j -0.000342998+0.000807521j -0.000966542+0.00327438j -0.00617509-0.000840275j -0.0006057+0.00158583j -0.00660651+0.000905369j 0.00422711+0.00325205j 0.00504962+0.00104425j -0.00214899-0.00566709j -0.00303066-0.00123514j -0.000773884+0.00115615j -0.000781354+0.000212555j -0.00344382-0.00102887j 0.00201427+0.00252385j -0.00937084-0.00374742j -0.00169223+0.00305754j 
0.0149823-0.00626824j -0.0321598-0.00334131j -0.0254139+0.0173662j 0.0164537-0.0240221j -0.00204426+0.0049826j 0.00663801+0.00404365j -0.0156131-0.00405035j -0.0102113+0.000787427j -0.00365837+0.0121299j -0.0135621+0.00702099j 0.0051103+0.00367215j 0.0107634+0.013918j 0.00664699-0.00103942j -0.0162875+0.00584902j 0.000908667+0.00546353j -0.00232961+0.00945206j 0.0103557-0.00234446j 0.00243925+0.00055336j -0.01047+0.000196435j -0.00188207-0.00118774j 0.000341507-0.00165804j -0.00099531-0.000728581j 0.00135274-0.00228341j 0.00586566-0.0028372j -3.78333e-05-0.0101729j 0.00124041-0.00105696j 0.00390777+0.000768924j -0.00443137+0.00190118j -0.00463735+0.00667746j 0.00289729-0.00400971j 0.0104047+0.00278301j 0.00712367+0.00198785j -0.000400893-0.00427932j 0.00415738+0.00427183j 0.00848964+0.00542315j 0.0042885+0.0025963j 
-0.0391497-0.00513599j 0.000191114-0.0211608j 0.0425789+0.014383j -0.0605506-0.0169513j 0.00989466+0.00729495j 0.00192108+0.00786368j 0.00127948+0.00400596j -0.00508935-0.0124034j -0.0117184-0.00815518j 0.006687-0.00179556j 0.00199955+0.00300644j 0.00936057+0.0141308j -0.0036478+0.00197997j 0.00556452-0.00589198j 1.23265e-05+0.000223617j 0.00998656+0.00148013j 0.0021243+0.00439793j 0.00168394+0.00173032j 0.00262848-0.00423027j 0.00275113-0.00202717j 0.00395841+0.00126183j -0.000722903+0.00163003j -0.00269269+0.000332024j -0.00125918+0.000731274j -0.00304117-0.0038786j -0.00209022-0.000126612j -0.00374569+0.000490747j -0.00106115+0.00231684j 0.00134311+0.000709721j -0.00471171-0.00487614j 0.00345674+0.00429854j -0.00501388+0.00297084j -0.0012988-0.000821836j -0.00575628+0.00238649j 0.000182492+0.000894128j -0.000776814+0.00213854j 
-0.00696919+0.0404146j -0.0197987+0.00165212j 0.0151018-0.0414131j -0.0169937+0.0587992j 0.00918549-0.0120768j 0.00826603-0.00162168j 0.00402215-0.00173061j -0.0137346+0.00544931j -0.00845144+0.0126002j -0.00188266-0.00397327j 0.00429094-0.00133512j 0.0143459-0.0102599j 0.00193102+0.00103145j -0.00583657-0.00460052j -0.000722397+0.00193678j 0.00280333-0.0105447j 0.00570316-0.0030604j 0.002345-0.00276608j -0.00466405-0.000997027j -0.00219178-0.00225738j 0.00179617-0.00325569j 0.00280588-4.44613e-05j 0.00277431+0.00161062j 0.00134683+0.000670752j -0.00349075+0.00380169j -0.000369005-4.12044e-06j 0.00104387+0.00182361j 0.0009228+0.00148203j -0.000548155-0.00121335j -0.00621166+0.00463562j 0.00230338-0.00133848j 0.0032965+0.00378884j -0.000963011+0.000177838j 0.00242061+0.0023621j -0.00155145-0.00130669j 0.00169932-0.0013007j 
