0.00674733-0.00642097j -0.00454247-0.00573949j -0.00717917-0.00319195j -0.00426328+0.0141463j 0.00704236-0.00201101j -0.0130408-0.00417669j 0.00138973+0.00805384j -0.0032999-0.0063478j -0.00700234-0.000842697j 0.00629784+0.00128312j -0.00219003-0.00767925j -0.000304633-4.14261e-05j -0.00146502+0.00129789j -0.00292166-0.000873824j -0.00119201+0.000989936j 0.00237236+0.000730733j -0.00385148+0.000973133j 2.98991e-05+0.00199906j 0.00101354+0.0043075j 0.0041496+0.00169896j 0.00451812-0.0200306j 0.0185717+0.00687017j 
0.00142007+0.00364573j 0.00088427-0.000338756j 0.0037278-0.00129801j 0.00774915+0.00296814j -0.00998137+0.000521581j 0.00229167-0.00011528j 0.00224426-0.00119143j 0.00572517+0.000278186j -0.0094002-0.000594371j 0.00818371-0.00471181j -0.00276058-0.00607705j 0.011125+0.00456964j 0.00338673+0.00596619j -0.00600036-0.00256969j -0.0131224-0.00533639j -0.00178042-0.00364545j -0.00276963+0.00140882j 0.00201266+0.00230186j -0.00788997-0.00362598j 0.00318296+0.00745725j 0.00188378+0.00430498j -0.00247753+0.00229769j 
-0.011966+0.000527012j -0.0024415-0.00238416j 0.00465922-0.00438055j -0.00498677-0.00297627j -0.00849691+0.00699113j 0.00434471+0.001098j 0.00416706-0.00464043j -0.0157187-0.00137729j -0.00805496-0.000223052j 0.00784862-0.00132169j -0.00153202-0.00328452j -0.00119442-0.010767j -0.00697425+0.000618236j 1.5933e-05-0.00147065j -0.0102024+0.000537266j -0.00451458+0.0018751j 0.00469218+0.00237537j -0.0124931-0.00706926j -0.00161132+0.00343891j -0.00417871+0.00154167j -0.00583521-0.000897344j -0.00425829+0.00418151j 
0.000156605+0.00423349j 0.00519033-0.000639506j 0.00533562+0.000851933j 0.00232778-0.00373581j -0.00706044+0.000592562j -0.00349426-0.00142042j 0.00569752+0.00557621j -0.0021965+0.00765698j -0.00252733+0.00189719j -0.000264727-0.00778197j -0.00635669-0.00288275j 0.0101383+0.00529272j -0.0031287+0.00390261j 5.08929e-05+0.0013587j -0.00620878+0.00884331j -0.00342788-0.00670914j 0.00138913-0.00350633j -0.000188063+0.00153822j 0.00193569-0.00416381j 0.00501397+0.00383719j 0.0010668+0.00270439j -0.00260005+0.00178352j 
0.00237309+0.00271599j 0.00014951+0.00709689j -0.00110022+0.00339481j 0.000653549-0.0033953j -0.000351816+0.00100044j 0.000862907-0.00314046j -0.0118319-0.00236285j -0.00621782+0.000911472j -0.00101929+0.0103631j 0.0126223-0.00448291j -0.00706992-0.000640521j -0.00783652+0.00310925j 0.00037705-0.0101829j -0.00482726+0.00630077j -0.0156275+0.00490586j 0.00791281+0.00516165j 0.00947208+0.00161368j -0.00890637+0.00280124j 0.000668083+0.00226911j 0.00431587-0.00126022j 0.00366115+0.00389033j 0.00156162-0.00274369j 
0.00126916+0.00601699j 0.00620389+0.00647331j 0.00222336-0.00412061j 0.00314916+0.00524657j 0.00251713+0.00880866j 0.00046527+0.00147213j -0.00680129-0.00299076j 0.00451745+0.0135448j 0.0073253+0.00605777j -0.0129659+0.00115992j -0.00666252+0.0091307j 0.0153989-0.00498678j -0.006023+0.00548702j 0.00360649-3.67363e-05j 0.0126537+0.00639243j -0.00219174+0.00799142j -0.001049-0.00466138j 0.00638633+0.0124666j -0.00441512+0.00228043j 0.00583059-0.0053585j 0.00199468-0.00416285j 0.00420835-0.0039243j 
0.00159016-0.00353001j 0.00158482+0.00355123j -0.00322787+0.00439703j 0.00116239+0.00787558j -0.00386221+0.00342498j -0.00165346+0.00105781j 0.0112055-0.00958724j 0.0044365-0.00710158j -0.000894764-0.00327407j 0.002937+0.012453j 0.00504541-0.00684043j -0.00162348+0.00221405j 0.0059825-0.00267288j 0.00407305-0.0055768j -0.00138811-0.0123179j -0.0108568+0.00470123j -0.00626985+0.00232148j -0.00547053-0.00265298j -0.00503714+0.0048346j -0.00498122+0.000705411j 0.00234485-0.00207594j -0.00211338-0.00140409j 
0.00776234-0.00121254j 0.00365749-0.00361827j -0.00473085+0.00176902j 0.00432613-0.00909279j 0.00294295+0.0037581j -0.00525198+0.00415115j 0.0079164+0.000668221j 0.00456251-0.000267119j 9.89762e-06+0.0116233j 0.00296102-0.00862895j -0.00402601+0.00909686j -0.00958118-0.00563687j 0.0115246-0.00543849j -0.00266835+0.0103408j -0.00924899+0.013286j -0.00411396+2.74819e-05j 0.000994426-0.00626883j -0.00458754+0.000711001j 0.00895641-0.000384391j 0.00852331-0.00535727j 9.37307e-05-0.00094053j 0.00355329-0.00253597j 
-0.00378693-0.00424459j -0.00491721+0.00707207j -0.00281173+0.0091433j -0.00409765+0.00377442j -0.000963636-0.00604898j -0.000421792-0.00188887j 0.00476511+0.00293319j -0.00817127+0.00158701j -0.00140119+0.00403944j 0.00325628-0.0147093j 0.0012422-0.00272869j -0.0114847+0.0210943j 0.00287983-0.0103152j 0.0033778+0.00553423j -0.0115999+0.0102603j 0.00414702-0.0123164j 0.00748133-0.0066756j -0.00924834+0.00629862j 0.00648136-0.00372234j -0.000956188+0.00385651j 0.0051206+0.00234217j -0.00158423+0.000687468j 
-0.00179934-0.00203649j 0.00429079-0.00702565j 0.00495301-0.00230351j 0.00175842-0.00680322j -0.000321769-0.00736489j 0.000710754+6.32544e-05j -0.00722197+0.0172919j -0.00201019+0.000847912j 0.00166578-0.00591703j 0.00449538-0.00138355j 0.00130429+0.0056061j 0.00325068-0.00345474j -0.00934661+0.00440828j -0.00222886+9.51524e-05j -0.000842634-0.000240963j 0.0105617-0.00417812j 0.0031215-0.00269785j 0.00689609-0.00434309j 0.00461486-0.00111729j -0.00209547-0.00167619j -0.0033998-0.00379179j -0.00318602+0.000860353j 
0.00221947-0.00402788j -0.00354134+0.000402885j -0.00471826+0.00591407j 0.00608105-0.00352498j -0.00432094+0.0054779j 0.00182472-0.00557119j 0.000648067+0.000937681j -0.0123745+0.00569126j -0.00203692-0.00453877j 0.00203936+0.00626927j -1.22971e-06-0.00973445j 0.000102863-0.00701578j -0.00142941+0.00660847j 0.0018043-0.00456891j -0.0129272-0.00560915j -0.000518585+0.00104179j 0.00184221+0.00558934j -0.00426233-0.00512725j 0.00582269+0.00351991j 0.00478917+0.0060442j 0.00360793+0.000549829j 0.00206473+0.00412775j 
0.000346819-0.00417061j 0.000464967+0.00198671j 0.000655691+0.00716585j 0.00158221-0.00580254j -0.0067348+0.00685472j 0.00874132-0.0072094j 0.000969488+0.00171486j -0.0048195+0.0118128j 0.01795-0.00612174j -0.0172022+0.00578384j 0.0140663-0.00465556j 0.0103884-0.00341943j -0.0173907+0.00548156j 0.0179445-0.00584091j 0.0109384+0.00658911j -0.000330721-0.00194806j -0.0113567-0.000683407j 0.00933409+0.00157976j -0.00464534-0.00378786j -0.00370561-0.00611123j -0.000820706-0.00190889j -0.00275422-0.00309799j 
-0.00170481-0.00307119j -0.000307361-0.00165625j 0.00187208+0.000722983j -0.00263958+0.00301756j -0.000876056-0.00338805j -0.0019065+0.00447517j 0.00523149-0.00105574j 0.00117859-0.00442752j -9.67513e-05+0.000581682j -0.00123924-0.00592775j 0.000663489+0.00220738j 0.000247734+0.0096061j 5.5799e-05-0.00528866j 0.00150008+0.00167809j 0.00278081+0.00420222j -0.00360328-0.00280314j -0.00140871-0.00390811j -0.00153094+0.00292853j -9.27684e-05-0.00261291j -0.00210336+2.46933e-05j 0.000761283-0.00208358j -0.00122989+0.0010618j 
0.00234494-0.000145358j 0.0089226-0.00495731j 0.00058435+0.00152558j 0.00824003-0.00162797j -0.00582266+0.00680558j -0.00634715+0.00725361j 0.0173317-0.00717739j 0.00210819-0.0041913j -0.00243325+0.00282966j 0.000943778+0.000795269j -0.00167533-0.00055974j 0.0031828-0.00355974j 0.00342623-0.000306647j 0.00149405+0.000849532j -0.00392662+0.00160081j -0.0194224+0.00296693j -0.00854929-0.00307558j -0.0050697-0.00148835j 0.00334582+0.00199124j 0.00194334+0.00067007j -0.00511708-0.00348599j -0.00128575-0.00151385j 
0.000717838+0.0108413j -0.00195382+0.00889544j -0.00617691-0.00664461j -0.00561136-0.00280427j 0.00398589+0.0129053j 0.0045846-0.0111044j -0.00130361+0.00173536j 0.00571605+0.0141168j -0.000352779+0.00115415j -0.00164134+0.0122874j 0.00251715-0.00270087j -0.00595797-0.0245795j 0.00708961+0.0181541j -0.00160157-0.00139221j 0.00218067-0.00758264j 0.00691012+0.00339535j 0.00176524+0.00727779j -0.000302585-0.00551332j -0.00458694+0.00642792j 0.00137205-0.00439431j -0.00370731+0.00794816j 0.0042042-0.00734178j 
-0.00114858-0.0020162j 0.000126748-0.00114845j -0.00061452+0.00137914j 0.00665007+0.00741077j 0.00502355-0.000698679j 0.00394154+0.00777718j -0.00846066-0.0157721j -0.00539575-0.00882589j 0.00205059+0.00423059j 0.00151057-0.00420984j -0.000952079+0.00245713j 0.00521374+0.00821802j -0.00274346-0.0117877j -0.000364442-0.000340305j -0.000168415-0.000920075j 0.00293191+0.0124728j -0.00215243+0.00197551j 0.00105002+0.0112693j 0.00285954+0.00286572j -0.00044134+0.0032155j -0.000379004-0.00317644j 0.000964253+0.0012252j 
0.000998322+0.00604277j -0.00322495-0.00181828j -0.00740182-0.00797876j 0.00719144+0.00571812j -0.0150139-0.0035555j 0.00604+0.00725396j 0.00728698+0.00360821j -0.0138577-0.00815614j -0.00264991+0.00979334j -0.00851213-0.00594512j 0.00654148+0.0060211j 0.0139283-0.000617501j -0.0075372-0.00244362j 0.0023285+0.0116105j -0.00171601-0.00599997j -0.00908535-0.000739672j -0.00538833-0.00539394j -0.00071903-0.00235591j -0.00173614+0.00189685j 0.00369115+0.00440771j -0.00378825-0.000381797j 0.00497415+0.00158542j 
-0.00220517+0.000332551j -0.00831939+0.00258479j 0.00113554-0.00375941j -0.0113564+0.0030005j 0.000989808+0.00560011j 0.00133349+0.00362992j 0.00198742-0.0153766j 0.00263148-0.00233517j -0.00429321+0.00493583j -0.00176444+0.00136976j -0.00437537-0.000486303j -0.00220888+0.00192024j 0.00693474-0.00359354j -0.00116906+0.000275491j 0.00539605+0.000790901j -0.00630407+0.0106011j 0.000498909+0.00535543j -0.00832249+0.00238283j -0.00919668-0.00190944j 0.00108797-0.00243961j 0.00362706+0.00396972j 0.00272115+0.00075264j 
0.00513959+0.000831143j -0.00409789-0.0071328j -0.00359463-0.00398934j -0.00541551-0.00314768j 0.00173936-0.00721936j 0.00187321+0.00188608j -0.00303169+0.00642759j -0.0005664-0.00453824j -0.000108761+0.00117007j 0.000997977-0.00792282j 0.00204894+0.00431187j -0.00994698+0.00180015j 0.00283216-0.000352498j -0.000958287+0.00743043j -0.000695305-0.000515104j 0.00577514-0.00513523j 0.00387869+7.51801e-05j -0.000458594-0.00286821j 0.00181471-0.00464829j -0.000986178+0.000310704j 0.00124975+0.00879782j -0.00387448+0.000609789j 
0.00121516+0.0035993j -0.00488673-0.00258618j -0.00504624-0.00439941j 0.00754365+0.000701624j -0.00350889-0.00818511j 0.00982155+0.00198166j -0.01107+0.00398089j -0.011487-0.004171j 0.001469+0.00434105j -0.00662082-0.00614744j 0.00504167+0.00602589j 0.00936733-0.00118756j -0.00764863-0.00370468j 0.000314096+0.006661j -0.00139923-0.0040526j 0.00854004-0.0016936j 0.00067045-0.00111039j 0.00892764+0.000406673j 0.00124464-0.00178042j 0.0034036+0.00356456j -0.00115724+0.00235213j 0.0018633+0.0026335j 
0.0100249+0.00741763j 0.00139617-0.0028978j -0.00829565-0.00957021j -0.00837173+0.00966678j 0.000545734-0.00474419j -0.00248386+0.0063853j 0.00471021-0.00220328j 0.00414843-0.0123682j -0.000945309+0.0113746j 0.00162469-0.00554744j -0.00164631+0.00937413j -0.00719358+0.00314229j 0.0107068-0.00874382j 9.87772e-05+0.0124561j 0.0011571-0.00477845j -0.00192808+0.000469455j 0.00538602-0.00392526j -0.00745047-3.89931e-05j -0.00282753+0.00321406j -0.00191091-0.000994505j 0.00655954+0.00879967j -0.00510922-0.000298379j 
-0.0108525+0.00165335j -0.00588567-0.00487048j 0.0119964-0.0104058j -0.0128599-0.00394879j 0.00172496-0.00579677j -0.000811554+0.00872201j -0.00271875-0.0018647j 0.00347449-0.00582543j -0.0109355-0.00154336j 0.00327366-0.00692876j -0.00792139+0.0065583j 0.00423268+0.00371967j 0.000471145+3.4041e-05j -0.0115483+0.000675161j 0.00945131+0.00157764j 0.00137556+0.00236707j 0.00384736+0.00305884j -0.00104719-0.00302849j -0.00491513-0.00567489j -0.00102113+0.00083666j -0.0049911+0.00344012j 0.000889212+0.00367828j 
0.00619416-0.00600482j -0.0176838-0.00530609j -0.00854178-0.00221978j -0.00640952+0.00144208j -0.00763032+0.000687915j 0.0113014+0.00117398j 6.03455e-06-0.000590239j -0.009745+0.00132983j 0.0038082+0.00257456j -0.00905031-0.00330536j 0.00875195+0.00169332j 0.00165937+0.00217734j -0.00344289+0.00130297j 0.00774389+0.00354826j 0.000503675-0.000397245j 0.00307522+0.00485338j -0.00241206+0.00129645j -0.00306034+0.00189989j -0.00572269-0.00617517j 0.00321011-0.000160236j 0.00949735+0.00352369j 0.00459879+0.00736505j 
-0.0119317-0.00582568j -0.0135413+0.0110875j 0.00577606+0.000767223j -0.0102652-0.00049821j 0.00136085+0.00218526j 0.00308525-0.00740362j -0.0054731-0.00108052j 0.00341557+0.00457202j -0.00640566-0.00436855j -0.00290377+0.00547859j -0.00161023-0.00524054j 0.00160055-3.17838e-05j 0.00268099+0.00157446j -0.00490015-0.00694066j 0.00482907+0.00218163j 0.00391243-0.000698396j 0.00342523+0.0057059j 0.000943293-0.00237595j -0.0116475-0.00215714j 0.0013835-0.00357225j 0.00384612-0.00571232j 0.00891332+0.00204702j 
-0.00928988+0.00970025j 0.0053241+0.0148301j -0.00077395-0.00585108j -0.00236962+0.0110789j 0.0014862-0.000361773j -0.00170365-0.00251686j 0.000114465+0.00354023j 0.00114294-0.00143026j -0.00555462+0.0053211j 0.000877203+0.00124251j -0.00216414+0.00303591j 0.000959468-0.002144j 0.00319081-0.00109007j -0.00421659+0.00418501j 0.0016166-0.0058945j 0.00103559-0.00529089j 0.00692935-0.00330751j -0.00208396-0.000246718j -0.00301836+0.0105961j -0.0034627-0.000313817j -0.00395542-0.00191391j 0.00123402-0.00691721j 
