-0.0045186-0.00213987j 0.00803021-0.00580554j -0.00849404+0.00693711j -0.0245899+0.0057608j -0.00947925+0.00331939j 0.0131487+0.0016312j -0.00197808+0.000842142j 0.0211562+0.00273761j 0.00140327+0.00272627j 0.00965976-0.00373216j -0.0102954-0.00291075j 0.0176621+0.00432048j -0.00925416-0.00783124j 0.0178739+0.00723481j 0.00723372-0.0112755j 
-0.00239064-0.00228334j -0.00189117-0.00446512j 0.00602423+0.00848978j 0.0013413-0.00346922j -0.0110223-0.0113554j 0.00526665+0.0113726j -0.00476723+0.00892038j 0.000253178+0.00281888j -0.01036-0.0216998j -0.00502888-0.00866221j 0.00322393-0.00194475j 0.00354684+0.0024535j -0.00520353+0.00763837j -0.000250358-0.00070108j -0.00590855+0.00021534j 
0.00843816+0.00673089j -0.0156662-0.00217571j 0.0067243+0.00263663j -0.0115431-0.00339106j -0.00609694-0.000859771j -0.00462061-0.000991936j 0.00908924-0.000363905j 0.00439021+0.00131338j -0.0117896-0.00474241j -0.000631998+0.00262292j -0.00682982-0.00146819j -0.00703759-0.00671209j 0.00230902+0.00265172j 0.00286532+0.00782164j -0.000864413+0.00177309j 
0.0122822+0.00138242j -0.00653153-0.000186547j -0.00462296-0.00238908j -0.000540666-0.00464039j 0.00580207-0.00120829j -0.0158588+0.00656258j -0.00158408-0.011318j 0.00283764-0.00305464j 0.00890284+0.00158963j 0.00894971-0.00604099j -0.00399973+0.00592274j 0.000308266-0.00816821j -0.0071329-0.00744059j 0.00168627+0.00549627j -0.00440011-0.0038546j 
0.000992248-0.00358979j -0.00643759-0.00248337j 0.00886499+0.010132j -0.000905112+0.00443099j 0.00251513+0.00233713j -0.0114623-0.0133715j 0.00164055+0.0103029j 0.00531169-0.0026774j -0.000351625-0.00185978j 0.00521448+0.0191116j -0.000555557-0.00927887j -0.00234708+0.00510162j -0.00110302-0.00385468j 0.000887245+0.00531283j -0.00119829+0.00197454j 
-0.00464944+0.00077551j -0.000529685+0.0019802j 0.0019058-0.00330694j -0.00989694+0.00165152j -0.0120724+0.00596171j 0.0200366+0.0013102j 0.00478039-0.000329855j -0.00238446+0.00293825j -0.0187992+0.00549231j -0.0124712-0.00255891j 0.000724473+0.00147935j -0.00587334-0.000966487j 0.0117491+0.00757532j 0.000617197+0.000946158j 0.00864626+0.00558185j 
-0.00116206+0.00200089j -0.00224083-0.00240611j 0.00249463+0.00113132j -0.00134709+7.69923e-05j 0.000384282+0.000390157j -0.00253288-0.00322178j 0.00405373+0.000768731j 0.000613197-0.000107857j -0.000896581-0.000189208j 0.00233245+0.00339579j -0.00259899-0.0018748j -0.000204313-0.000200112j 0.00145848-0.000910183j -0.00025875+0.00260994j 0.00171352+0.000531648j 
0.0121788-0.00302361j -0.00152507-2.8958e-05j -0.0135184+0.00860887j -0.00923254-0.000335541j 0.00111669+0.00269512j 0.00913776-0.00648801j -0.0147611-0.00168278j 0.00424112+0.00423496j 0.00670987+0.00225562j -0.0182269+0.00337393j 0.00985235+0.00182839j -0.0117237-0.00380794j -0.00024274-0.00233791j -8.04421e-05+0.00153405j -0.00458656-0.00286003j 
0.00100832-0.00308214j -0.00196892+0.00321695j 0.0011137-0.0029146j -0.00109632-0.00849879j -0.00142642-0.00829632j -0.00315246+0.018534j 0.000739246+0.00184429j -0.0037548-0.00285212j -0.00123115-0.0104941j 0.00465192-0.0128117j -0.00203947+0.00193757j -0.000407516-0.00693924j -0.00747027+0.00979766j 0.00148191-0.0013795j -0.00443907+0.00572821j 
-0.00760444+0.00372275j -0.0024857+0.0019346j 0.0116625-0.00519949j 0.00317445+0.00641092j -0.000436744+0.00286388j -0.00472701-0.00218927j 0.0110422+0.00137419j -0.000631415-0.00122809j -0.00638155+0.00474165j 0.0113671+0.00263599j -0.00733391-0.00285566j 0.00493746+0.00658783j 0.00282178-0.00196234j 0.00508417-0.00041053j 0.00601263-0.00322666j 
0.00617445-0.00323766j -0.0131515+0.0129951j 0.0104109-0.0027313j -0.007297+0.00765133j -0.00278969+0.00143257j -0.00713982+0.00748813j -0.000809227-0.000890182j 0.000749623-0.00373747j -0.00950221+0.00175614j 0.00886671+0.000395204j -0.00228126+0.00235906j -0.00832799+0.00281952j -0.00451626+0.00235863j 0.0155494+0.00142691j 0.00330215-0.000615257j 
0.00253271+0.0129143j -0.00068372+0.00594555j -0.00384339-0.017707j 0.0050151-0.00245769j 0.000282446+0.00388566j 0.00364662+0.00491462j 0.00226438-0.0127382j -0.00461059+0.00364806j -0.00186925+0.0124636j 0.000240957-0.0141937j -0.00175999+0.00871408j 0.00380283-0.00548169j 0.00184363-0.000946486j 0.00341955-0.0062644j 0.00246904-0.00857434j 
0.0095367-0.013719j 0.00278403+0.0188149j -0.00139179+0.00097729j -0.00376979+0.0120494j 0.00209533+0.00101261j 0.00174454+0.0031845j -0.00619237+0.00567359j 0.00254739-0.00248632j 0.00246547+0.00352265j -0.00364569+0.00241723j 0.00437059-0.00031252j -0.0117591+0.00994377j -0.000832283+0.00633322j 0.00676593-0.0127687j -0.00659825-0.000174865j 
0.0119831+0.00999235j -0.0136569+0.000113761j -0.00358379-3.34274e-05j -0.00902623-0.0051378j -0.000152931+5.25851e-05j -0.00251181-0.00255941j -0.00511535-0.00524085j 0.0019683+0.00373561j -0.000620387-1.32306e-05j -0.00427666-0.000248792j 0.00138718+0.0032192j -0.00832779-0.0100173j -0.00369445-0.000671423j 0.00644767+0.00529442j -0.000600441-0.00402111j 
