-0.0972451-0j 0.0144885-0j -0.20074-0j -0.0249328-0j -0.000123449-0j 0.673713-0j 0.680695-0j 0.00119703-0j 0.00120944-0j 0.172734-0j 0.00148306-0j 0.00149843-0j -0.020548-0j -0.00257287-0j -0.00254648-0j -0.00574037-0j 0.000855257-0j -7.51236e-05-0j -7.59021e-05-0j 0.00104084-0j 0.100762-0j -0.00463892-0j 0.13959-0j -0.00334855-0j 0.000691152-0j -0.0166053-0j 0.0004989-0j -0.000276021-0j -0.0119863-0j 0.000841128-0j 0.000607158-0j -6.74637e-05-0j -0.000161012-0j -5.45189e-05-0j -0.000223059-0j -3.93538e-05-0j 
-0.00119703-0j -0.0083461-0j 0.0572132-0j -0.000150757-0j -0.010364-0j -0.00816-0j 0.00837897-0j -0.0489243-0j 0.0502372-0j -0.00102769-0j 0.000840613-0j -0.00086317-0j -0.00576247-0j -1.0317e-05-0j 1.00473e-05-0j -0.0101329-0j -0.07065-0j -4.25807e-05-0j 4.37233e-05-0j 0.000291894-0j 0.000609257-0j 0.00832212-0j 0.000844035-0j 0.00600723-0j 0.0580246-0j 0.0047327-0j 0.0418844-0j 8.14809e-07-0j 0.00341624-0j -0.000239731-0j -0.000173047-0j -3.8239e-05-0j -4.83054e-07-0j 3.14055e-05-0j -6.692e-07-0j 2.26697e-05-0j 
0.00120944-0j 0.00843259-0j 0.0561605-0j -0.000147983-0j -0.0101733-0j -0.00837897-0j 0.00846237-0j -0.0502372-0j 0.0507372-0j 0.00102522-0j 0.00086317-0j -0.000871762-0j 0.00574866-0j -1.04197e-05-0j 1.0317e-05-0j 0.0101086-0j 0.0704806-0j -4.37233e-05-0j 4.41585e-05-0j -0.000291194-0j -0.000563747-0j -0.00840837-0j -0.000852782-0j -0.00555851-0j -0.0586259-0j -0.00478174-0j -0.0387557-0j -8.12856e-07-0j -0.00316106-0j 0.000242216-0j 0.000160121-0j 3.81473e-05-0j 4.46972e-07-0j -3.1731e-05-0j 6.76135e-07-0j -2.09764e-05-0j 
0.000936916-0j 0.00649114-0j 1.33897e-05-0j 1.11581e-06-0j 7.57436e-05-0j 6.74637e-05-0j -6.62223e-05-0j 0.000539709-0j -0.000529779-0j 8.0345e-08-0j 0.000330503-0j -0.000324422-0j 6.8175e-07-0j -3.90219e-06-0j 3.97533e-06-0j 7.87217e-07-0j 5.454e-06-0j 0.00323826-0j -0.00317867-0j 6.67976e-06-0j -6.44483e-06-0j 4.46941e-05-0j 4.56157e-06-0j -6.31461e-05-0j 0.00030965-0j 3.87062e-05-0j -0.000437489-0j 3.66723e-09-0j -5.46862e-05-0j 0.000379242-0j -0.000535813-0j -0.01021-0j -2.94165e-07-0j -0.579668-0j 2.08206e-07-0j 0.818986-0j 
-0.00495133-0j 0.00148306-0j -0.020548-0j -0.00126948-0j -6.28555e-06-0j -0.0678559-0j 0.0696767-0j -5.99704e-05-0j 6.15797e-05-0j -0.0173976-0j 0.00711139-0j -0.00730223-0j -0.0985289-0j -0.000131-0j 0.000127577-0j 0.000287588-0j -8.61408e-05-0j 3.76363e-06-0j -3.86463e-06-0j -5.21455e-05-0j 0.0103141-0j -0.000236195-0j 0.0142886-0j -0.000170495-0j 7.07472e-05-0j 0.0809215-0j 5.1068e-05-0j 1.38284e-05-0j 0.0584122-0j 4.28269e-05-0j 3.09141e-05-0j 3.37988e-06-0j -8.1981e-06-0j -2.77588e-06-0j -1.13573e-05-0j -2.00374e-06-0j 
0.00254648-0j -6.14749e-05-0j 0.00171239-0j -0.0202266-0j 5.23796e-07-0j 0.017359-0j -0.0178248-0j 1.00473e-05-0j -1.0317e-05-0j -0.137882-0j 6.1917e-06-0j -6.35785e-06-0j -0.00017247-0j 0.04744-0j -0.0462002-0j -0.000147907-0j 3.57065e-06-0j -3.13636e-07-0j 3.22052e-07-0j 8.73636e-06-0j 0.0817423-0j 0.000121476-0j 0.113242-0j 8.76857e-05-0j -2.93256e-06-0j 0.000141649-0j -2.11683e-06-0j -0.0156322-0j 0.000102248-0j -7.17514e-06-0j -5.17929e-06-0j -2.81657e-07-0j 0.00926747-0j 2.31324e-07-0j 0.0128387-0j 1.66978e-07-0j 
-0.0143048-0j -7.22877e-06-0j 0.000150757-0j 0.0554015-0j 0.000863667-0j 0.00101351-0j -0.00104071-0j 0.0124035-0j -0.0127363-0j -0.00392526-0j 3.62156e-07-0j -3.71874e-07-0j -7.55279e-06-0j 0.0117249-0j -0.0114185-0j -0.12109-0j -6.11917e-05-0j 3.54839e-06-0j -3.64361e-06-0j -7.40019e-05-0j 0.00232706-0j 0.0994511-0j 0.0032238-0j 0.0717876-0j 5.02565e-05-0j 6.20308e-06-0j 3.62771e-05-0j -0.00186965-0j 4.47762e-06-0j 6.07775e-05-0j 4.38715e-05-0j 3.18658e-06-0j 0.00110841-0j -2.61713e-06-0j 0.00153554-0j -1.88914e-06-0j 
0.014453-0j 7.30368e-06-0j 0.000147983-0j 0.0543822-0j 0.000847776-0j 0.00104071-0j -0.00105106-0j 0.0127363-0j -0.0128631-0j 0.00391585-0j 3.71874e-07-0j -3.75576e-07-0j 7.53469e-06-0j 0.0118416-0j -0.0117249-0j 0.1208-0j 6.1045e-05-0j 3.64361e-06-0j -3.67987e-06-0j 7.38245e-05-0j -0.00215324-0j -0.100482-0j -0.00325721-0j -0.0664253-0j -5.07773e-05-0j -6.26736e-06-0j -3.35673e-05-0j 0.00186517-0j -4.14316e-06-0j -6.14074e-05-0j -4.05945e-05-0j -3.17894e-06-0j -0.00102561-0j 2.64425e-06-0j -0.00155145-0j 1.74803e-06-0j 
-0.00257287-0j 6.21119e-05-0j 0.00168088-0j -0.0198544-0j 5.14159e-07-0j 0.0178248-0j -0.0180022-0j 1.0317e-05-0j -1.04197e-05-0j 0.137551-0j 6.35785e-06-0j -6.42113e-06-0j 0.000172057-0j 0.0479122-0j -0.04744-0j 0.000147553-0j -3.56209e-06-0j -3.22052e-07-0j 3.25258e-07-0j -8.71542e-06-0j -0.0756364-0j -0.000122734-0j -0.114415-0j -8.11359e-05-0j 2.96295e-06-0j -0.000143117-0j 1.95871e-06-0j 0.0155948-0j -9.46102e-05-0j 7.2495e-06-0j 4.79242e-06-0j 2.80981e-07-0j -0.00857522-0j -2.33721e-07-0j -0.0129718-0j -1.54505e-07-0j 
0.00500264-0j -0.00149843-0j -0.0201699-0j -0.00124612-0j -6.1699e-06-0j -0.0696767-0j 0.0703703-0j -6.15797e-05-0j 6.21927e-05-0j 0.0173559-0j 0.00730223-0j -0.00737491-0j 0.0982928-0j -0.000132304-0j 0.000131-0j -0.000286899-0j 8.59344e-05-0j 3.86463e-06-0j -3.9031e-06-0j 5.20205e-05-0j -0.00954364-0j 0.000238643-0j -0.0144367-0j 0.000157759-0j -7.14803e-05-0j -0.0817601-0j -4.72534e-05-0j -1.37953e-05-0j -0.054049-0j -4.32707e-05-0j -2.86049e-05-0j -3.37178e-06-0j 7.58573e-06-0j 2.80465e-06-0j 1.1475e-05-0j 1.85407e-06-0j 
0.0485129-0j 7.51236e-05-0j -0.00104084-0j 0.0124383-0j 6.15856e-05-0j -0.00343719-0j 0.00352943-0j 0.000587588-0j -0.000603355-0j -0.000881265-0j -3.76363e-06-0j 3.86463e-06-0j 5.21455e-05-0j 0.00128353-0j -0.00124999-0j -0.00281778-0j -4.3634e-06-0j 0.0072235-0j -0.00741734-0j -0.100082-0j 0.000522452-0j 0.00231423-0j 0.00072378-0j 0.0016705-0j 3.58365e-06-0j -4.28269e-05-0j 2.58681e-06-0j -0.000135491-0j -3.09141e-05-0j 0.0821972-0j 0.0593331-0j -3.31159e-05-0j 8.03247e-05-0j 2.7198e-05-0j 0.000111278-0j 1.96325e-05-0j 
-0.0490157-0j -7.59021e-05-0j -0.00102169-0j 0.0122094-0j 6.04525e-05-0j -0.00352943-0j 0.00356456-0j 0.000603355-0j -0.000609361-0j 0.000879153-0j -3.86463e-06-0j 3.9031e-06-0j -5.20205e-05-0j 0.00129631-0j -0.00128353-0j 0.00281102-0j 4.35295e-06-0j 0.00741734-0j -0.00749117-0j 0.0998423-0j -0.000483427-0j -0.00233821-0j -0.000731281-0j -0.00154572-0j -3.62079e-06-0j 4.32707e-05-0j -2.39359e-06-0j 0.000135166-0j 2.86049e-05-0j -0.083049-0j -0.0549011-0j 3.30365e-05-0j -7.43247e-05-0j -2.74798e-05-0j -0.000112431-0j -1.81661e-05-0j 
-7.51236e-05-0j 0.0500766-0j 0.0072571-0j -6.28555e-06-0j -0.000426678-0j -0.000512107-0j 0.000525849-0j 4.25807e-05-0j -4.37233e-05-0j -4.28478e-05-0j -0.00504368-0j 0.00517902-0j -0.000730929-0j -3.22052e-07-0j 3.13636e-07-0j 4.3634e-06-0j -0.0029086-0j -0.0500459-0j 0.0513889-0j -0.00725265-0j 2.5402e-05-0j -3.58365e-06-0j 3.51907e-05-0j -2.58681e-06-0j 0.00238882-0j 0.00060031-0j 0.00172434-0j 2.03268e-08-0j 0.000433326-0j 0.00595657-0j 0.00429968-0j 0.000229434-0j -1.20506e-08-0j -0.000188433-0j -1.66943e-08-0j -0.000136018-0j 
7.59021e-05-0j -0.0505956-0j 0.00712357-0j -6.1699e-06-0j -0.000418827-0j -0.000525849-0j 0.000531083-0j 4.37233e-05-0j -4.41585e-05-0j 4.2745e-05-0j -0.00517902-0j 0.00523057-0j 0.000729177-0j -3.25258e-07-0j 3.22052e-07-0j -4.35295e-06-0j 0.00290163-0j -0.0513889-0j 0.0519004-0j 0.00723526-0j -2.35046e-05-0j 3.62079e-06-0j -3.55554e-05-0j 2.39359e-06-0j -0.00241358-0j -0.000606531-0j -0.00159554-0j -2.02781e-08-0j -0.000400958-0j -0.0060183-0j -0.00397851-0j -0.000228884-0j 1.11505e-08-0j 0.000190386-0j 1.68673e-08-0j 0.000125858-0j 
0.00908484-0j -0.00065835-0j 0.00451304-0j 0.00114416-0j -0.000539709-0j -0.00064367-0j 0.000660943-0j -0.00254775-0j 0.00261612-0j -8.1065e-05-0j 3.29828e-05-0j -3.38679e-05-0j -0.0002261-0j 7.83002e-05-0j -7.6254e-05-0j -0.000527675-0j 3.8239e-05-0j 0.000323165-0j -0.000331836-0j -0.00221532-0j 4.80589e-05-0j 0.000433378-0j 6.65784e-05-0j 0.000312828-0j -3.14055e-05-0j 0.000185695-0j -2.26697e-05-0j -6.18397e-06-0j 0.000134042-0j 0.00181943-0j 0.00131334-0j -0.0715839-0j 3.66612e-06-0j 0.0587916-0j 5.07887e-06-0j 0.042438-0j 
-0.00917898-0j 0.000665172-0j 0.00443-0j 0.00112311-0j -0.000529779-0j -0.000660943-0j 0.000667522-0j -0.00261612-0j 0.00264216-0j 8.08707e-05-0j 3.38679e-05-0j -3.4205e-05-0j 0.000225558-0j 7.90796e-05-0j -7.83002e-05-0j 0.00052641-0j -3.81473e-05-0j 0.000331836-0j -0.000335139-0j 0.00221001-0j -4.4469e-05-0j -0.000437869-0j -6.72684e-05-0j -0.000289461-0j 3.1731e-05-0j -0.00018762-0j 2.09764e-05-0j 6.16915e-06-0j -0.000124029-0j -0.00183829-0j -0.00121523-0j 0.0714123-0j -3.39228e-06-0j -0.0594008-0j -5.1315e-06-0j -0.039268-0j 
-5.00824e-05-0j -0.000346981-0j -5.02844e-05-0j -4.19037e-06-0j 0.0831965-0j 3.54839e-06-0j -3.64361e-06-0j -0.00830267-0j 0.00852546-0j 2.96892e-07-0j 1.73835e-05-0j -1.785e-05-0j 2.51921e-06-0j -2.14702e-07-0j 2.09091e-07-0j -0.000850806-0j -0.00589456-0j 0.000170323-0j -0.000174893-0j 2.46831e-05-0j -1.7601e-07-0j 0.000698764-0j -2.43836e-07-0j 0.000504395-0j 0.00484118-0j -2.06902e-06-0j 0.00349455-0j 1.35512e-08-0j -1.4935e-06-0j -2.02722e-05-0j -1.46332e-05-0j 0.000152956-0j -8.03374e-09-0j -0.000125622-0j -1.11296e-08-0j -9.06788e-05-0j 
5.06014e-05-0j 0.000350577-0j -4.93592e-05-0j -4.11327e-06-0j 0.0816657-0j 3.64361e-06-0j -3.67987e-06-0j -0.00852546-0j 0.00861032-0j -2.9618e-07-0j 1.785e-05-0j -1.80276e-05-0j -2.51317e-06-0j -2.16839e-07-0j 2.14702e-07-0j 0.000848767-0j 0.00588043-0j 0.000174893-0j -0.000176634-0j -2.4624e-05-0j 1.62863e-07-0j -0.000706005-0j 2.46363e-07-0j -0.000466718-0j -0.00489135-0j 2.09046e-06-0j -0.00323352-0j -1.35187e-08-0j 1.38194e-06-0j 2.04823e-05-0j 1.35402e-05-0j -0.000152589-0j 7.43365e-09-0j 0.000126924-0j 1.12449e-08-0j 8.39054e-05-0j 
-0.000238577-0j -2.38118e-08-0j 9.96647e-07-0j 0.0038288-0j -1.95207e-08-0j 1.69034e-05-0j -1.7357e-05-0j -5.62638e-07-0j 5.77736e-07-0j -0.000271275-0j 1.19296e-09-0j -1.22497e-09-0j -4.99313e-08-0j -0.028083-0j 0.0273491-0j 1.38573e-05-0j 1.38306e-09-0j 1.16885e-08-0j -1.20022e-08-0j -4.89224e-07-0j 0.000160823-0j -1.13809e-05-0j 0.000222797-0j -8.21519e-06-0j -1.13591e-09-0j 4.10084e-08-0j -8.1994e-10-0j -0.167068-0j 2.96014e-08-0j 4.01798e-07-0j 2.90033e-07-0j 1.04967e-08-0j 0.099045-0j -8.62092e-09-0j 0.137212-0j -6.22291e-09-0j 
-4.47257e-06-0j 0.00900609-0j -0.00126801-0j 3.63565e-07-0j 2.46796e-05-0j 9.3602e-05-0j -9.45336e-05-0j -2.57642e-06-0j 2.60206e-06-0j -7.60869e-06-0j -0.0885438-0j 0.0894251-0j 0.0124665-0j 1.9166e-08-0j -1.89771e-08-0j 2.565e-07-0j -0.000516495-0j -1.54585e-05-0j 1.56124e-05-0j 2.17647e-06-0j 4.18385e-06-0j -2.13357e-07-0j 6.32892e-06-0j -1.41044e-07-0j 0.000429621-0j -0.0103696-0j 0.000284009-0j 1.1949e-09-0j -0.00685504-0j -1.81039e-06-0j -1.19679e-06-0j 1.34871e-05-0j -6.57048e-10-0j -1.12186e-05-0j -9.93918e-10-0j -7.41626e-06-0j 
0.000241049-0j 2.40586e-08-0j 9.78309e-07-0j 0.00375836-0j -1.91616e-08-0j 1.7357e-05-0j -1.75298e-05-0j -5.77736e-07-0j 5.83486e-07-0j 0.000270625-0j 1.22497e-09-0j -1.23716e-09-0j 4.98116e-08-0j -0.0283626-0j 0.028083-0j -1.38241e-05-0j -1.37975e-09-0j 1.20022e-08-0j -1.21217e-08-0j 4.88052e-07-0j -0.00014881-0j 1.14989e-05-0j -0.000225106-0j 7.60154e-06-0j 1.14768e-09-0j -4.14333e-08-0j 7.58693e-10-0j 0.166667-0j -2.73903e-08-0j -4.05962e-07-0j -2.68369e-07-0j -1.04716e-08-0j -0.0916467-0j 8.71026e-09-0j -0.138634-0j 5.75808e-09-0j 
4.4267e-06-0j -0.00891372-0j -0.00129178-0j 3.7038e-07-0j 2.51422e-05-0j 9.11558e-05-0j -9.3602e-05-0j -2.50909e-06-0j 2.57642e-06-0j 7.62697e-06-0j -0.0862299-0j 0.0885438-0j -0.0124964-0j 1.89771e-08-0j -1.84812e-08-0j -2.57116e-07-0j 0.000517736-0j -1.50545e-05-0j 1.54585e-05-0j -2.1817e-06-0j -4.5216e-06-0j 2.11169e-07-0j -6.264e-06-0j 1.5243e-07-0j -0.000425215-0j 0.0102633-0j -0.000306936-0j -1.19777e-09-0j 0.00740842-0j 1.79182e-06-0j 1.29341e-06-0j -1.35195e-05-0j 7.10089e-10-0j 1.11035e-05-0j 9.83723e-10-0j 8.01495e-06-0j 
0.000600989-0j 0.00416377-0j 0.000603413-0j 5.02844e-05-0j 0.00341342-0j -4.25807e-05-0j 4.37233e-05-0j -0.000340645-0j 0.000349786-0j -3.5627e-06-0j -0.000208602-0j 0.0002142-0j -3.02306e-05-0j 2.57642e-06-0j -2.50909e-06-0j -3.49072e-05-0j -0.000241844-0j -0.00204387-0j 0.00209872-0j -0.000296198-0j 2.11213e-06-0j 2.86692e-05-0j 2.92604e-06-0j 2.06945e-05-0j 0.000198626-0j 2.48282e-05-0j 0.000143376-0j -1.62614e-07-0j 1.7922e-05-0j 0.000243266-0j 0.000175599-0j -0.00183547-0j 9.64049e-08-0j 0.00150747-0j 1.33555e-07-0j 0.00108815-0j 
-0.000607217-0j -0.00420692-0j 0.000592311-0j 4.93592e-05-0j 0.00335061-0j -4.37233e-05-0j 4.41585e-05-0j -0.000349786-0j 0.000353268-0j 3.55417e-06-0j -0.0002142-0j 0.000216332-0j 3.01581e-05-0j 2.60206e-06-0j -2.57642e-06-0j 3.48236e-05-0j 0.000241265-0j -0.00209872-0j 0.00211961-0j 0.000295488-0j -1.95436e-06-0j -2.89663e-05-0j -2.95636e-06-0j -1.91487e-05-0j -0.000200684-0j -2.50855e-05-0j -0.000132666-0j 1.62225e-07-0j -1.65833e-05-0j -0.000245787-0j -0.000162482-0j 0.00183107-0j -8.92038e-08-0j -0.00152309-0j -1.34939e-07-0j -0.00100686-0j 
