-0.14492-0j 0.695261-0j 0.702466-0j 0.143998-0j -0.0104351-0j 0.0839991-0j -0.00843285-0j 0.116368-0j -0.00608715-0j 0.0578079-0j 0.0505819-0j 0.0146556-0j 0.0495496-0j 0.0353999-0j 0.0128237-0j 0.020864-0j -0.00691317-0j -0.00604903-0j 0.012562-0j -0.00592558-0j -0.00423344-0j 0.00897471-0j 0.0052895-0j -0.0024951-0j 
8.96883e-07-0j 0.00120866-0j 0.00120576-0j -0.000253258-0j -6.35451e-08-0j -0.0206461-0j 3.66657e-06-0j 0.0146131-0j -5.18033e-06-0j -1.45374e-06-0j -8.54293e-05-0j -0.00165213-0j -8.75423e-05-0j 0.000185623-0j -0.0970881-0j 0.000108486-0j 4.27844e-08-0j 2.51423e-06-0j -0.0994894-0j 2.57642e-06-0j -5.463e-06-0j 0.210956-0j 0.123292-0j -3.19281e-06-0j 
-0.00122091-0j -0.00604845-0j -0.00559665-0j -0.0567721-0j 0.00845847-0j 0.0655119-0j -0.0034923-0j 0.0234398-0j -0.00976061-0j -0.0947061-0j 0.0387735-0j -0.0117629-0j 0.0414738-0j 0.0296303-0j 0.00481584-0j 0.0203202-0j -5.82416e-05-0j 2.38447e-05-0j 0.00515123-0j 2.55053e-05-0j 1.82218e-05-0j 0.00368022-0j 0.00252385-0j 1.24963e-05-0j 
7.45655e-05-0j -0.000522792-0j -0.000521538-0j -7.62541e-07-0j 0.00102189-0j -6.21639e-05-0j -0.0589633-0j 4.39989e-05-0j 0.0833064-0j -0.000121627-0j -0.00714746-0j 5.23999e-08-0j -0.00732424-0j 0.0155302-0j 3.0793e-06-0j 0.00907652-0j 3.55703e-06-0j 0.000209029-0j 3.15546e-06-0j 0.0002142-0j -0.000454185-0j -6.69078e-06-0j -3.91038e-06-0j -0.000265445-0j 
-0.00691317-0j 0.0331663-0j 0.03351-0j 0.00686921-0j -0.000497791-0j 0.00400704-0j 0.000802417-0j -0.0110729-0j -0.000290378-0j -0.00550063-0j 0.00241293-0j -0.00139454-0j 0.00236368-0j 0.0016887-0j 0.000611733-0j 0.000995282-0j -0.0958699-0j 0.0420546-0j 0.000599249-0j 0.0411964-0j 0.0294321-0j 0.000428124-0j 0.000252327-0j 0.0173466-0j 
0.000864146-0j -0.00837923-0j -0.00846606-0j 0.0401826-0j -0.0059868-0j 0.0234398-0j 0.00965047-0j -0.0647726-0j -0.0034923-0j -0.133708-0j 0.0586528-0j -0.0166071-0j 0.0574558-0j 0.0410484-0j 0.00728494-0j 0.0241931-0j -8.22268e-05-0j 3.60699e-05-0j 0.00713627-0j 3.53338e-05-0j 2.52437e-05-0j 0.00509839-0j 0.00300488-0j 1.48781e-05-0j 
0.00976729-0j 0.0239407-0j 0.0221524-0j -0.00970519-0j 0.000703305-0j 0.0111993-0j -0.000290378-0j 0.00400704-0j -0.000811575-0j -0.00389613-0j 0.00159511-0j -0.000987759-0j 0.0017062-0j 0.00121897-0j 0.000404398-0j 0.000835954-0j -0.0679051-0j 0.027801-0j 0.000432561-0j 0.0297371-0j 0.0212452-0j 0.000309036-0j 0.000211934-0j 0.0145698-0j 
-0.000730589-0j 0.00512229-0j 0.00511001-0j 7.47135e-06-0j 5.1763e-05-0j 0.00060908-0j -0.00298674-0j -0.000431099-0j 0.00421983-0j -6.16095e-06-0j -0.00036205-0j -5.13413e-07-0j -0.000371004-0j 0.000786672-0j -3.01708e-05-0j 0.000459765-0j -3.48516e-05-0j -0.00204806-0j -3.0917e-05-0j -0.00209872-0j 0.00445009-0j 6.5556e-05-0j 3.83137e-05-0j 0.00260082-0j 
-0.00423344-0j -0.000429367-0j -0.000433816-0j -4.39989e-05-0j 0.0589633-0j -2.5666e-05-0j -0.0950463-0j 7.09243e-05-0j 0.0343952-0j -0.0137741-0j 0.00604219-0j 5.93421e-06-0j 0.00591888-0j 0.00422865-0j -2.60312e-06-0j 0.00249228-0j 0.000402827-0j -0.000176706-0j -2.54999e-06-0j -0.000173099-0j -0.000123668-0j -1.8218e-06-0j -1.07373e-06-0j -7.28873e-05-0j 
0.00598122-0j -0.000309933-0j -0.000286782-0j 6.21639e-05-0j -0.0833064-0j -7.17338e-05-0j 0.0343952-0j -2.5666e-05-0j 0.0961311-0j -0.00975626-0j 0.0039943-0j 4.20323e-06-0j 0.00427248-0j 0.0030524-0j -1.72084e-06-0j 0.00209331-0j 0.000285325-0j -0.000116815-0j -1.84068e-06-0j -0.00012495-0j -8.92684e-05-0j -1.31505e-06-0j -9.01846e-07-0j -6.12194e-05-0j 
7.19429e-05-0j 0.000716544-0j 0.000663021-0j 0.0206461-0j 5.18033e-06-0j -0.0238245-0j -2.13883e-06-0j -0.00852428-0j -5.97782e-06-0j -0.000116611-0j 4.77415e-05-0j -0.132525-0j 5.10664e-05-0j 3.64836e-05-0j 0.0542569-0j 2.50201e-05-0j 3.43192e-06-0j -1.40506e-06-0j 0.0580355-0j -1.50291e-06-0j -1.07373e-06-0j 0.0414626-0j 0.0284346-0j -7.36354e-07-0j 
0.041479-0j 0.00420692-0j 0.00425052-0j 0.000431099-0j 0.00298674-0j 0.000251475-0j -0.0048145-0j -0.000694914-0j 0.00174227-0j -0.000697717-0j 0.000306063-0j -5.81431e-05-0j 0.000299817-0j 0.0002142-0j 2.55053e-05-0j 0.000126245-0j -0.00394689-0j 0.00173135-0j 2.49847e-05-0j 0.00169602-0j 0.0012117-0j 1.785e-05-0j 1.05204e-05-0j 0.000714147-0j 
-5.09203e-05-0j 0.000992666-0j 0.00100295-0j -0.0146131-0j -3.66657e-06-0j -0.00852428-0j 5.91036e-06-0j 0.0235556-0j -2.13883e-06-0j -0.000164634-0j 7.22187e-05-0j -0.187102-0j 7.07449e-05-0j 5.05426e-05-0j 0.0820746-0j 2.97887e-05-0j 4.84526e-06-0j -2.12544e-06-0j 0.0803996-0j -2.08206e-06-0j -1.4875e-06-0j 0.0574403-0j 0.033854-0j -8.76698e-07-0j 
-0.0586038-0j 0.00303672-0j 0.00280988-0j -0.00060908-0j -0.00421983-0j 0.000702845-0j 0.00174227-0j 0.000251475-0j 0.00486945-0j -0.000494197-0j 0.000202329-0j -4.11831e-05-0j 0.000216419-0j 0.000154617-0j 1.68607e-05-0j 0.000106035-0j -0.0027956-0j 0.00114454-0j 1.80349e-05-0j 0.00122425-0j 0.000874648-0j 1.28848e-05-0j 8.83625e-06-0j 0.000599825-0j 
