-0.0517316-0.0710783j -0.0861842-0.109856j 0.0289355-0.158916j 0.0170727+0.0119164j -0.0434588+0.0719695j -0.00787721+0.0525101j -0.0117774+0.000866906j 0.0952403-0.059189j -0.0248816+0.0436302j 0.0208596-0.00351324j 0.0115298+0.00509688j 0.00363704+0.0101988j 0.0445913+0.00997141j -0.0283797+0.0070413j -0.0164887-0.000663089j -0.0334414+0.018377j -0.033076+0.00873588j -0.00420144+0.0180072j -0.0253175+0.00549774j -0.0347309+0.019744j -0.0362125+0.00526807j -0.00382179-0.0212257j 0.0293542+0.0133383j 0.00295972+0.0258554j 0.0217168+0.018999j -0.00215929-0.019545j 0.0654738+0.0616869j 0.0492095-0.0107367j -0.0312963-0.0121391j 0.0116197+0.0334229j 0.0154148-0.0113624j -0.00212468-0.0703516j 0.0117815+0.0604594j 0.0540901-0.12159j 0.0672908+0.0690629j 0.0323649+0.0108549j -0.0476038-0.075275j 0.193768-0.00820475j -0.0422271-0.0868637j 0.0113966-0.0287028j 0.0780109+0.0248877j 0.0680544+0.0584614j 0.045495+0.103965j 0.0412943-0.0407621j 0.0059808+0.038999j -0.0270112-0.0531898j 0.031146-0.0349154j -0.00276803-0.0457761j 0.0729146-0.0256873j 0.00584356+0.0316341j 0.0416798-0.00387374j -0.0533045+0.0148983j -0.0112247-0.0151791j -0.0457183+0.0164891j -0.0187215-0.0214836j 0.0482571+0.00787236j 0.0220284+0.0163491j 0.0474514-0.0104719j -0.0225536-0.000379372j -0.00309661+0.0101519j 0.0231602-0.00512435j 0.00322208+0.0152934j -0.0308501-0.0302278j -0.00805159-0.00495816j -0.0220596-0.027738j -0.00174577+0.0048341j -0.030062-0.0303377j -0.0530252-0.00923774j 0.0165638+0.00561614j -0.0596761+0.0252318j -0.0132565+0.00303187j -0.00212941+0.016386j 0.0347768+0.0416185j 0.02142+0.0348065j 0.00914793+0.0334045j -0.0296167-0.0329546j -0.0162354-0.00406668j 0.0411204-0.00135682j -0.0112476+0.0152699j -0.0477722-0.0188911j 0.0763903+0.0478643j -0.000105462+0.0217936j -0.0533367+0.00194398j -0.0469022-0.0346563j -0.0605399-0.0811459j -0.00227281+0.0665186j 0.100865+0.163452j 0.168004-0.0841327j -0.0629236+0.122026j -0.110274+0.0121257j 0.0455325-0.13643j 0.0541684+0.0896657j -0.176394-0.0429339j -0.0148515-0.000455001j 0.062655-0.0116151j 0.143296+0.0599421j 0.0604308+0.0141111j -0.119442-0.143859j 
-0.0289877+0.0119189j 0.0253331-0.00905671j -0.0181879+0.025418j 0.0141321-0.00957788j -0.0160887+0.0511816j -0.0286069+0.00396386j 0.0243999-0.0176061j 0.0694779-0.0323002j -0.0250776+0.0773115j -0.00820221+0.0719043j 0.0115923-0.0487664j -0.145505+0.0120962j -0.0309986-0.042831j 0.0340939-0.0453075j 0.0441589+0.0914666j -0.0504339+0.0433142j -0.141315+0.0435395j -0.108684-0.00697626j 0.00368194-0.156446j 0.0077561-0.0171777j 0.0281949-0.125105j 0.0728999+0.0468454j 0.0441201+0.128914j -0.215829-0.113674j -0.0284936-0.012172j 0.0348535+0.233643j 0.0232815-0.0899933j 0.10433-0.0411475j -0.0142663-0.172518j 0.0888315-0.149602j -0.0942407-0.0608556j 0.123341-0.136504j -0.131043-0.145901j 0.0170568+0.0763522j -0.165123-0.0312262j 0.0471616+0.0263522j 0.0747465+0.0993539j -0.0516005+0.0728337j 0.0360972+0.0264863j 0.0727512-0.166497j 0.0115748+0.0537444j 0.00627923+0.0539046j 0.0277024-0.0101803j -0.000670997+0.0394382j -0.0517651+0.0155576j -0.0275458+0.0344723j 0.0244704-0.0321971j 0.0247228-0.035368j -0.0173279+0.0182631j -0.0636406+0.0132768j 0.00835134-0.00694867j -0.00050076-0.0108276j 0.0352027+0.0282198j 0.0369712+0.000273758j -0.00152587-0.0304214j 1.96844e-05-0.00807971j -0.0146371+0.00872321j 0.00997366+0.0164683j -0.0168577-0.0223964j -0.0142284+0.00232293j -0.0117542+0.00960522j 0.0104511-0.014819j -0.0148314+0.00480694j -0.0127956-0.0435588j -0.0146117-0.00981167j 0.0266327-0.0226004j 0.0147213-0.000617882j -0.0118708+0.0167651j -0.00715771-0.00395098j 0.0160961-0.0245754j 0.0132539+0.002068j -0.0224825-0.0192712j -0.013139+0.0389573j -0.0158817+0.0090638j -0.00917579-0.00118787j 0.010979+0.038875j -0.0120356+0.00226377j 0.0140047+0.0329122j -0.00379184-0.00665406j -0.0338496+0.0272712j -0.0120246-0.0053205j -0.00197673-0.00746778j 0.00619356+0.0139442j -0.0280477-0.0210501j 0.0354849-0.00145044j -0.0021742-0.00856828j -0.0151959-0.00726894j -0.0103662-0.00263832j -0.00212664-0.0107277j -0.00473422-0.00274191j 0.0168344+0.000610487j -0.00435919-0.0235616j 0.017504-0.0265973j -0.0145697-0.00624571j -4.49576e-05+0.0316917j 0.0134431-0.00778477j -0.0116193+0.00577931j 0.0111127-0.0185175j 
0.0116299+0.00117465j 0.0176196-0.0229896j 0.0159734-0.0223528j 0.0164062-0.00498414j 0.0185976+0.0219902j 0.00829518-0.0168389j -0.0107069+0.0183286j -0.0503437-0.0794868j -0.104549-0.0659102j 0.0013132-0.0141753j -0.0321173-0.0331964j -0.102996+0.0745145j -0.0730258+0.0793986j -0.0219371-0.039737j -0.00643336-0.0137787j 0.0905877+0.0340239j -0.00563813-0.00935381j -0.0439513-0.0132142j -0.163513+0.049011j -0.0158155+0.0242666j 0.06103+0.14854j 0.0260581+0.145438j -0.0280411-0.182841j -0.028968+0.181803j 0.217254-0.103522j 0.0496372+0.0197865j 0.0856148-0.0768939j -0.0833262+0.252334j 0.123155-0.183447j 0.0253829-0.0418916j -0.0495622+0.0409095j -0.214719-0.165985j 0.113823-0.00580799j -0.161996+0.193363j 0.0683412+0.174284j -0.0744245-0.0136331j -0.0107631-0.12113j -0.0500278-0.0400632j -0.0450756-0.0575445j -0.000976142+0.038271j -0.0399176+0.0581732j 0.00712375+0.000752624j 0.0193705-0.00729849j -0.00345325+0.0166025j -0.0197948+0.0207774j 0.022784-0.0359719j 0.00177622+0.00630895j 0.0196972+0.0162108j -0.00420685+0.00785338j 0.0198701+0.0175202j 0.0308768+0.0186667j -0.00611386-0.0273462j -0.00871167+0.00810583j 0.00770236+0.0149223j -0.0453508+0.0208938j 0.0107959-0.00385601j 0.012673-0.000385478j -0.00356844-0.00318753j 0.0128443+0.00312751j 0.00451087-0.0163996j 0.000807611-0.00505608j 0.0280324+0.00201689j -0.0098684+0.0217713j 0.00729252+0.0168598j -0.0183153-0.00943259j -0.00912253+0.0364592j -0.0123918-0.0090481j 0.0305191-0.0176303j 0.0134631+0.0228327j -0.00529586+0.0259395j 0.028323+4.24778e-05j 0.00119602+0.0106644j 0.0209389-0.0412016j -0.00196568-0.00611607j -0.00222833+0.0359164j 0.00831175+0.000236051j -0.00820329-0.0141548j -0.0069428+0.0116485j 8.41395e-05-0.0222916j -0.00454567+8.34176e-05j -0.00386591-0.0182198j 0.00179591+0.00493356j 0.00239197-0.00332024j 0.0158505-0.0141009j -0.0177721-0.00269482j 0.0105125-0.000677873j 0.0157972+0.0139928j -0.00578415+0.0159715j 0.0173517-0.00576529j 0.00444037-0.00342197j -0.00386721-0.00993761j 0.0148975+0.01259j -0.000670372+0.0158942j 0.013759-0.00488653j -0.00703292+0.00063573j 0.0184543+0.0158302j -0.00666095+0.00537556j -0.00977749-0.0173519j 
-0.0253719+0.00865503j 0.0144756-0.00334453j -0.0200014+0.0745099j -0.0416578+0.0161969j -0.0893173-0.0405129j 0.0430676+0.0428928j 0.0311959+0.0484566j 0.0320816+0.0355498j -0.00110315+0.0523904j -0.128332-0.0676846j -0.0351211-0.0672803j 0.109602+0.0482111j 0.0495098+0.0513217j 0.00418639+0.0545997j 0.0509223+0.108836j 0.0939299+0.135034j -0.091037+0.0197102j 0.0970008-0.0312517j 0.10064-0.0255297j -0.171009-0.163532j -0.269175+0.0119505j 0.0207341+0.166596j 0.0516372+0.0125208j -0.119965+0.0446121j -0.0022278+0.13536j 0.157788+0.0965401j 0.165733-0.0179161j 0.207185+0.140113j 0.0263602+0.00614354j -0.116114-0.0308708j -0.0497161+0.0449676j 0.053137-0.134444j 0.0542039-0.0498848j 0.0977403+0.0658712j 0.0504371+0.00146346j 0.0854617-0.0364562j -0.0837074+0.037662j 0.119186+0.0621662j -0.0960766+0.0766954j -0.0228686-0.0419454j 0.0198988-0.0135994j -0.0216811+0.0780166j -0.0549503-0.0613617j -0.0203364-0.0371094j 0.0112531+0.00400445j -0.0361814-0.00426516j 0.0395506-0.000369962j -0.0355566-0.0256743j -0.000801001-0.0323529j -0.0350855-0.00580076j -0.000314767+0.021479j 0.020093+0.0361835j 0.00736324+0.00614635j 0.0114447+0.0156277j 0.0232606-0.0011856j -0.0173607-0.0180349j 0.00368644-0.0219992j -0.020969-0.018567j -0.00439555-0.0160103j 0.0127169+0.00589018j 0.00954643-0.0173654j -0.00941367-0.0196384j 0.011292+0.01138j -0.0101124+0.00847525j 0.00099537+0.0252883j -0.00638779+0.00776575j 0.0404866+0.0256468j -0.00995191-0.00814028j 0.0224916+0.0109696j 0.00822098+0.00944447j -0.0139705+0.00997446j -0.0217589-0.0271702j 0.00237414-0.0198163j -0.0368128-0.0112635j 0.00256816+0.000696983j 0.000169232+0.0254259j 0.00273977-0.00574707j 0.0063698-0.0104506j -0.00869112+0.00537204j -0.00172868-0.000641215j 0.00994349-0.00693987j 0.00673523+0.000338112j -0.00698039+0.011345j -0.00201949-0.0174194j -0.00251592+0.00805908j -0.00779476-0.015384j 0.0129445-0.0226908j 0.0196579+0.00340649j 0.00607026-0.0139685j -0.0118004-0.00215884j 0.00328325-0.00541983j 0.0113647-0.011228j -0.000342012-0.0103031j -0.0279849-0.0102482j 0.00930225+0.00643905j -0.012804-0.0379756j -0.0030125-0.0207482j 0.0146901+0.00575038j 
0.000580085-0.0063795j -0.00833712+0.0467482j 0.0544539-0.0865432j 0.00992596-0.0533257j 0.090256+0.0188468j 0.0325301-0.0544851j -0.0881453-0.0442533j -0.0653825-0.080498j 0.102023-0.0709385j -0.0158092+0.073513j 0.00820082+0.00472412j 0.0469228+0.0340112j -0.102475+0.050646j 0.092527+0.0254779j -0.043277+0.032753j 0.158413-0.0214666j -0.034862+0.0476361j 0.0226626+0.165995j -0.0917471-0.0867728j 0.258031-0.0111615j 0.0506785+0.129797j 0.0253897+0.0050507j -0.117796+0.0355345j -0.10946-0.133708j -0.0124965+0.0194934j 0.149204+0.151986j 0.0591795-0.105665j 0.178894-0.245326j -0.0382496+0.05125j -0.040977+0.0254129j 0.0592137+0.0862084j 0.121942-0.0150582j 0.0390938+0.0246353j 0.0692764+0.0491453j 0.0919829-0.213423j -0.0500903-0.0742269j -0.086071+0.112227j 0.0171082-0.1025j 0.101735-0.146532j 0.0393824+0.0150114j 0.0224884+0.0378594j 0.0484975-0.0673356j 0.0444226+0.0543174j 0.0320717+0.0647427j -0.0525025-0.0213955j 0.0864023-0.031848j -0.0171408+0.0528421j 0.0129538+0.0375143j 0.0158703+0.0255345j 0.00762633+0.0319478j -0.0107816-0.0066128j 0.0130691-0.0155526j -0.00627037-0.024251j -0.0316672-0.0211597j -0.0286134+0.00898824j 0.0241234+0.00370017j -0.0237234+0.0257663j 0.00729481+0.0125292j -0.00681912+0.00092816j -0.00215314+0.0426327j 0.0331782+0.00134284j -0.00212616+0.000596356j 0.00246686-0.00120025j 0.00381844-0.0060214j -0.013887-0.0417693j -0.00269094-0.0141124j -0.00504117-0.0236903j 0.0368182-0.00776556j 0.0162682+0.0474504j 0.0146999-0.00160163j 0.0256272-0.00360364j 0.00612291-0.00740522j -0.00250447+0.00713214j 0.0133569+0.0230393j -0.0165821+0.0341417j -0.0200167-0.0171754j -0.00847927-0.000468752j -0.0216767+0.014655j -0.0107277+0.0010237j 0.0248725-0.0157339j -0.0124564+0.00202799j -0.00600547-0.000824129j -0.0073755-0.0129669j -0.00525001+0.0153124j -0.0110122+0.0117187j -0.00504195+0.00375055j -0.0129862-0.00792216j 0.00787087+0.00971968j -0.0184076-0.00767046j 0.0241164+0.0080316j -0.0114627+0.0312581j -0.014225+0.00584906j 0.00894419+0.012545j 0.0300321+0.000254978j -0.0179064-0.00283737j -0.00766687+0.0457214j 0.00845253+0.0170591j 0.0159757+0.0106769j 
-0.0239514+0.00425693j -0.0106993-0.00556271j 0.000830028-0.0494707j 0.00754627+0.00217408j -0.0166921-0.0375813j 0.0254743-0.022927j 0.0307572-0.0292878j 0.0458204+0.0550732j 0.0470874+0.00464026j 0.0756161-0.0576853j -0.0765832-0.0517089j -0.0419575-0.00876019j -0.0583707+0.0161108j -0.0483884-0.0892954j 0.0650275-0.084315j -0.116755+0.0294061j 0.0263136-0.139495j -0.184124-0.0533255j 0.00162962+0.124904j -0.0249809+0.033838j 0.214418+0.17679j -0.214796-0.0149639j 0.200979+0.0267604j 0.166812-0.118379j -0.175691+0.00310795j 0.143757+0.0173616j -0.0707873+0.191766j -0.079773-0.0464422j -0.130349+0.169921j -0.133668-0.0215201j -0.0721081-0.0557497j 0.103561+0.136764j 0.0115008-0.0167445j 0.0739257-0.00271616j -0.0355271-0.0293592j -0.0956948-0.096036j 0.0943081-0.00785656j 0.000924363-0.0277346j -0.0345344-0.02629j -0.0143249+0.0571001j -0.022672+0.0217272j 0.00703238+0.00820979j -0.031559+0.0499465j -0.0509327+0.0201738j -0.0224+0.0292473j -0.0534945-0.00516572j -0.00684154+0.0182455j -0.000200632-0.012335j 0.0160932-0.0191358j -0.00852992-0.0177199j -0.00338243+0.0018402j -0.0334587+0.0178559j -0.0082875-0.00258147j 0.009093+0.0249387j -0.00962898+0.00243394j 0.000350712+0.00120073j 0.00427426-0.000346327j 0.0262654-0.00308404j 0.00409386-0.00530824j 0.00660129-0.0575446j -0.0172466-0.00961065j 0.0480078+0.00506379j -0.030175-0.0178408j -0.000663009+0.01224j -0.00749949-0.016992j -0.0275813+0.0192473j -0.00755577+0.0122508j -0.00584916+0.0034086j -0.00208362-0.00510968j -0.0106523+0.00575276j -0.0158389-0.00531931j 0.00431423+0.00327017j -0.0011076-0.00207465j -0.000816219+0.0253754j 7.04068e-05-0.00500696j -0.000314126-0.00575438j -0.00872659-0.00773468j -0.00237653-0.00607706j 0.00677212-0.00332982j -0.0206189-0.0170082j -0.0118647-0.015241j -0.00324076+0.000613709j -0.000520665-0.00823304j 0.0093865-0.0086314j -0.0145388+0.00191524j -0.0137847+0.0051555j -0.0145261-0.000266978j 0.00744791+0.00352593j -0.0180423-0.00855618j -0.00430999+0.00592279j 0.00493119+0.00660204j -0.00105438+0.00605609j -0.00769629-0.00629901j 0.00659198+0.00146298j -0.00289884+0.00558887j -0.00125368+0.0179651j 0.01016-0.00851796j 0.00342908-0.0132264j 
0.0288414-0.0120417j -0.00758079-0.0208194j -0.0217516+0.0278539j -0.00808635+0.0209064j -0.0341957+0.0484628j -0.0263744+0.0188306j 0.00711782+0.0205308j 0.00492241-0.059747j -0.0673188-0.0994695j 0.0580148-0.024077j 0.0168798+0.159009j -0.154241+0.0486318j 0.030988+0.0305833j 0.0937736+0.0477869j 0.0369004+0.0454394j -0.0751085-0.00203299j -0.0168437+0.0148978j -0.062058+0.0253884j -0.292096-0.0243754j 0.0707757+0.12257j 0.0224684-0.147654j 0.0984458-0.254011j -0.0808645-0.015538j -0.0216126+0.0016322j -0.0748442-0.00218302j -0.125581-0.0451701j 0.00835407-0.0367296j -0.110839+0.0860914j 0.0166175-0.188832j 0.196986-0.0814184j 0.0460241+0.0567689j 0.0271885-0.0416714j -0.0131427+0.0262212j -0.116647+0.0362147j -0.0638815+0.00170248j 0.0204551-0.00540885j 0.0533533-0.00852763j -0.103409+0.0139734j -0.0189323+0.0307401j -0.0185075-0.000438848j -0.00732407-0.0142357j -0.00709471-0.00494182j 0.00112097-0.0207169j 0.0201813-0.0328637j 0.0301897-0.0137989j -0.00477708+0.0122778j 0.0153132-0.0320305j -0.0124828+0.0110214j -0.00508338+0.00162471j 0.00850908+0.0192428j -0.00284131+0.0186024j -0.00744733-0.00386509j 0.0149906+0.0115367j 0.0169384-0.0365159j -0.0225696+0.000459226j 0.00384375-0.0215019j 0.00061208+0.0148348j 0.0167344+0.00740922j -0.00155111-0.00376083j 0.0128758+0.0132002j -0.000999995+0.0110741j -0.0068071+0.0137632j -0.0005171-0.00166051j -0.00189462-0.00747785j -0.0182464-0.00763501j 0.0188247-0.0152783j 0.0171207+0.0224489j -0.00968808+0.0272123j -0.0044415+0.0196334j 0.000994076-0.00615217j 0.0272932-0.00761098j 0.031713+0.00238043j 0.000891089-0.0116341j -0.0264057-0.00203979j -0.00623822+0.013454j -0.021423+0.00257513j -0.00703243-0.00270908j -0.00913738+0.0151644j 0.000877194+0.00593577j -0.000760121+0.00363047j 0.00721067+0.00873165j -0.00308195+0.00175729j 0.00117187+0.0061667j 0.00268526+0.000749699j 0.00706622-0.000343372j 0.00838118-0.000212509j 0.00161986+0.0122609j -0.00188639-0.0152956j 0.00904064+0.0169545j -0.00130861-0.00528195j 0.00774672-0.0177505j 0.00433042+0.0066235j -0.000591444+0.000891951j -0.0120565+0.00294256j 0.0163525-0.0064257j 0.0120986-0.0103389j -0.000353273+0.0105215j -0.0246326+0.000240782j 
-0.00168458-0.0539472j -0.00825238-0.00351973j -0.066507+0.07144j -0.0237274-0.0210879j -0.0539558-0.0668394j 0.0213773+0.0759978j -0.0834318+0.040247j 0.0447921-0.0456806j -0.0945647-0.0204945j 0.0258688+0.0588246j -0.026566+0.0355943j -0.0912498-0.0829202j -0.0214813-0.0315752j 0.0147723-0.164795j 0.00120024-0.131303j -0.0269875-0.0459821j -0.0306898-0.083502j -0.15712-0.0765082j -0.00716466-0.0622135j 0.0155062+0.0710583j -0.0262024+0.280515j -0.217515-0.0248483j 0.0840539+0.0134485j -0.0831513-0.086858j 0.0684848+0.147228j -0.110783+0.186728j 0.0579145+0.000341566j -0.0491064-0.0910062j 0.014921-0.0495826j -0.0229415-0.00816466j -0.0667826+0.0150122j -0.0325317-0.0492225j 0.0299177-0.105535j -0.12423-0.0849819j -0.0435489-0.017923j -0.0238981-0.00292065j -0.00179477-0.0837815j 0.0637895-0.0245515j -0.0899795+0.0282621j -0.0332638-0.0291821j -0.0542768-0.0324546j -0.0262276+0.0851322j 0.0248882-0.0167171j 0.0200187-0.0634755j -0.00304411-0.0470348j -0.0171744-0.00266082j 0.0295415-0.0051604j -0.0340399-0.012782j 0.0610087-0.00231006j -0.04487+0.0304401j 0.0230941+0.0070273j -0.0163727-0.00565911j 0.031715-0.00375074j -0.00219565+0.0152738j 0.0124864+0.0133224j -0.00566091+0.0255018j -0.0129988-0.038823j -0.00294539-0.0306985j -0.00918982-0.0261905j -0.0251461-0.0180011j 0.00208171+0.00469127j 0.0313979+0.028396j -0.00891134+0.0140924j -0.0220728+0.0181965j 0.00870377-0.0123058j -0.0171508+0.0326869j -0.012922-0.00963356j 0.00522224-0.0135128j 0.00237708+0.017619j 0.00226082-0.0109865j -0.0259768-0.0115255j -0.00579945+0.0306435j -0.00223325-0.00461275j 0.0126561-0.00328718j 0.000113914+0.0046617j 0.0224863+0.000395287j -0.00227329-0.0150096j 0.00381648+0.00788716j -0.0140832+0.0147039j -0.00799352+0.00844458j 0.0046884+0.0177288j 0.00273521+0.00288177j -0.00484709-0.00485558j -0.00524716+0.00430553j 0.0200999+0.00663128j -0.00327903-0.0108015j -0.00326314-0.00181268j 0.000593745+0.00561879j -0.015157+0.00469047j -0.00555061-0.00438852j 0.0124998-0.00995294j -0.0243009+0.00383772j -0.00704792-0.0183027j -0.0141948+0.0210976j 0.0311266+0.00319966j -0.0197933-0.0214361j 0.0230903+0.0216776j 0.000910061+0.00912586j 
0.000921163-0.0250722j -0.000671765+0.00664261j -0.0792862+0.0237823j -0.0286759-0.0771268j 0.00292955-0.100818j -0.0416261-0.0965404j -0.00400965-0.0608854j -0.0638257-0.027858j -0.011891+0.0194968j -0.0694786-0.000596427j 0.26395-0.0952004j 0.138777+0.0410541j -0.207971+0.0358445j -0.0492419-0.200624j -0.0630366+0.0530022j -0.0877035-0.158357j 0.0863136-0.0161435j 0.0237693-0.164026j 0.123224-0.0567926j -0.16942+0.00537877j 0.0406946+0.0474563j -0.0112569+0.250446j -0.0701035+0.147343j -0.0545077-0.0163411j 0.0226571-0.0992424j -0.170927-0.145035j 0.138575+0.219052j 0.0630927-0.0850905j 0.149823-0.0618024j -0.0320487-0.0204175j 0.0235669+0.0858994j -0.101023-0.0088138j -0.101892-0.00360561j -0.0358336-0.103986j 0.0510812+0.00569878j 0.06796-0.0938206j -0.0450947-0.102333j -0.0279848+0.0484311j -0.065168+0.0351276j -0.0327477-0.01467j -0.00335975+0.0297282j 0.00942162+0.0801444j 0.0210586-0.0164649j 0.0992079+0.0177989j -0.0151684+0.0415266j 0.0526669-0.0218719j 0.0321994-0.00324061j 0.00717385+0.0561185j 0.00592152+0.0338123j -0.0155178-0.0149788j 0.00329151-0.0190471j 0.0225282-0.0155911j -0.0104073-0.043126j -0.0808298+0.0138705j 0.0481674+0.0336699j 0.000498281+0.0439637j -0.00421521-0.00488639j -0.0272697+0.00772577j 0.00126126+0.0214886j -0.0477852-0.0404098j -0.00095349+0.0392942j 0.0343893+0.0448253j -0.0286208-0.00890766j 0.0241106-0.0436779j 0.00102792+0.0102654j -0.00159788-0.00871459j -0.00544067-0.0107664j -0.0173789+0.0113787j 0.00196396+0.00430718j -0.00262431+0.0123865j -0.0133685+0.00152474j 0.00226776-0.00293104j -0.00245578+0.0129154j -0.0076164+0.02459j -0.0112159-0.0238886j 0.0113895+0.00322574j 0.00143748-0.00163299j 0.0135742-0.0250923j 0.00522282+0.0102823j 0.0112229-0.00512552j -0.00903579-0.00838202j -0.0055205+0.00206221j 0.00639106-0.0121263j 0.0153347-0.0106716j -0.0047066+0.00353982j 0.0069781-0.00648552j 0.00167241-0.00132582j -0.0292081+0.0197734j 0.00193438-0.00805606j -0.00383212-5.30463e-05j -0.0232909-0.00368598j -0.0162688-0.0141215j 0.00874957+0.00890457j -0.0107115+0.0337899j 0.0191713+0.0012869j -0.0212999-0.0153361j 0.00831996+0.0273885j 0.00534222+0.023934j 
0.0390472-0.00046639j 0.00393506-0.00906847j -0.0396917+0.014945j -0.00547053-0.0336852j 0.0064264-0.062411j -0.0344148+0.00401629j -0.098705-0.0057621j -0.0510561-0.0780087j 0.170847-0.0470113j 0.10643+0.0497493j -0.1697+0.111097j 0.11031+0.0330505j -0.135829-0.03031j -0.00193411-0.153647j 0.0898648+0.00499452j 0.0345254+0.0258554j -0.133006+0.0143729j -0.171867+0.0757154j 0.104562-0.0531571j 0.0830501+0.0719625j -0.0627376-0.16482j 0.044248-0.0715139j -0.110797-0.0367458j -0.000878215-0.0518349j -0.061913+0.056835j -0.0567033+0.0459348j 0.00268281+0.0988588j 0.0803456+0.018602j -0.101171-0.0380483j -0.0521844-0.0320703j -0.0622194+0.0926494j 0.0510114-0.0272593j -0.161591+0.0765931j 0.0583692-0.154572j -0.0242763+0.0356867j -0.0593539+0.090907j 0.0111267-0.123151j -0.00921645+0.0387239j 0.0306674+0.00599448j -0.0345198+0.0127195j -0.00411165-0.00718899j 0.0213627+0.00246315j 0.0119558-0.0193229j 0.0774345-0.0227685j 0.0481411-0.000973655j 0.070505-0.0057584j 0.00577805+0.0166509j -0.00585948+0.0160914j 0.0319077+0.0258242j 0.00386928+0.0188023j -0.0300451-0.00892628j -0.0109939-0.0230683j -0.0785039-0.0395001j 0.0180349-0.0303904j -0.0219361+0.0302703j -0.0018519+0.00241449j -0.0162575+0.0182999j -0.0334082-0.00548483j -0.0363678+0.00342738j -0.00714059+0.0308591j -0.000867893+0.0207006j 0.0227816+0.0228467j 0.0166782-0.00475851j -0.000183089+0.0023084j 0.00184164-0.00688219j 0.0191424-0.0119674j -0.0127628+0.00967646j -0.0042531+0.0143272j 0.0255651+0.0210678j -0.000102413+0.0120142j -0.0113686+0.0108249j 0.00311994+0.00106666j -0.0103031-0.0125569j -0.0229065-0.00143723j 0.0145548+0.00717349j -0.00510936+0.00406401j -0.00951133-0.00921021j 0.000302303+0.00237111j 0.00600891+0.0111192j -0.00975018-0.0100644j 0.00559911-0.0120213j 0.00873675+0.00658206j 0.0115462+0.000818304j 0.0153491-0.0124173j 0.0026386+0.00587436j 0.00190651+0.000180055j 0.00088988+0.00219126j -0.0149885-0.0132243j 0.0107468+0.00351963j 0.000810398-0.000120609j -0.0116141-0.0123509j 0.00790717-0.000524141j -0.00251952+0.0153624j -0.00277637+0.00976175j 0.00335326-0.0115989j 0.00528329-0.00493541j -0.0094795+0.0123613j -0.0178482+0.0125604j 
0.0142172+0.0315814j 0.0212047-0.0117203j 0.0075343-0.0308935j 0.0477365+0.00431458j 0.0478094+0.0474545j -0.0580689-0.0474685j 0.056492-0.0158j -0.0687158-0.00604098j -0.0192553-0.137649j 0.0280748+0.0848507j -0.100087+0.171407j -0.0311318-0.146047j -0.0614638-0.0194683j -0.0344261-0.183791j 0.0161444-0.183615j 0.014456-0.0216147j -0.137625-0.00357151j -0.100215+0.0545059j 0.098093-0.0825453j 0.104153+0.111727j -0.0162832+0.0204072j -0.0315547-0.0924801j -0.016397-0.185505j 0.0855449-0.0659009j 0.0717154-0.0391503j -0.0822751+0.0285866j -0.0466887+0.0240305j 0.00959883-0.0865975j -0.0169642+0.0547224j -0.0860514+0.0549091j -0.129335-0.0370994j -0.088826-0.00498852j 0.0504638-0.0395956j -0.0714674-0.0355358j 0.081265+0.0638731j -0.0482996+0.0426157j 0.0410528-0.0374851j -0.115382-0.0259615j 0.0399442+0.0105523j 0.0320141+0.0125522j 0.00356559+0.00810788j -0.00986201-0.0577985j 0.0191928-0.000989109j 0.00975416+0.0339353j 0.00504961+0.0255745j 0.0154925+0.0161667j -0.0155325-0.00624115j 0.0529035+0.00837554j -0.0461405+0.00679894j 0.0391019-0.018717j 0.015965-0.00316662j 0.00344235-0.0576416j -0.0426462+0.0778046j 0.0399975-0.003157j -0.0350449+0.022709j -0.00070547+0.0309444j 0.019718-0.0168759j -0.0125753-0.000753138j 0.000296545+0.0137406j -0.0543001-0.00569444j -0.00413806+0.0270591j -0.0239056-0.00705698j 0.00403564+0.0450593j -0.00780735-0.00451652j 0.00513645+0.0384715j 0.00781561+0.015856j 0.0165652-0.0112565j 0.0107916-0.0010433j 0.0053981-0.00532425j -0.00189395+0.00668384j -0.00381913+0.00388953j 0.00238633-0.0117236j 0.00365169-0.00521617j -0.00431919+0.00529863j 0.0179913+0.000440271j 0.00326135-0.00908765j 0.00580856+0.00584579j -0.00161187-0.00166942j -0.00608715-0.0106496j -0.00101152-0.00105938j -0.000943074-0.00396667j 0.00321655+0.0105185j 0.00280016-0.00760053j -0.000364574-0.00263151j 0.00358799-0.0096845j 0.00554245+0.00630175j 0.00620415+0.0070503j -0.0128157-0.00632663j 0.0212295-0.00565656j 0.000717756+0.00191335j -0.00783402-0.0017019j 0.0199951-0.0083069j 0.011755+0.0157122j 0.00932952-0.0119997j -0.0251037+0.00594244j 0.0294223+0.00768789j -0.0281954-0.00617168j -0.00663844-0.0151547j 
