0.000107513-0.0167233j 0.0356143+0.00494892j -0.0532444-0.045246j 0.00732007-0.000917865j 0.00170784-0.00720311j 0.032777-0.0149111j 0.0696813-0.0873574j 0.131801-0.00777374j 0.00139642+0.0136245j 0.0161915-0.00681803j -0.0461048+0.042844j 0.0290696-0.00386158j -0.0128094+0.0323755j -0.00105043-0.00149834j -0.0205986-0.0314062j 0.0108185+0.00393023j 0.0187062+0.0299173j 0.020579-0.0118118j -0.00303242-0.001801j -0.0201627+0.00398313j 0.0135693-0.00732186j 0.00170755+0.0048337j -0.0180256-0.00929854j -0.0111448+0.0151332j -0.000646415+0.0104574j -0.0194587-0.00508376j -0.000998435-0.00637708j -0.00631588-0.00168314j 0.0146854+0.00730153j -0.0155084+0.00759955j -0.0383261-0.0119634j 0.0144137-0.0260364j 0.0172939+0.0195852j 0.0134579+0.00458514j 
0.0668575+0.0226953j 0.0694438-0.00433417j -0.108901+0.00969528j -0.0715578+0.041963j -0.0921824+0.0267795j -0.0618476-0.0184447j -0.307269+0.177745j -0.00739112-0.0218384j 0.0793718+0.00104063j -0.0348097+0.0188473j 0.0162401+0.00865735j -0.0532508+0.042828j 0.046685-0.0318959j -0.01024-0.00906971j 0.0138732+0.0423735j 0.00081204+0.0475706j 0.00799443+0.0286685j -0.0417193-0.0541387j -0.00323723-0.0318376j 0.0187555-0.0185964j -0.0217936-0.002193j 0.01313-0.0011368j 0.00843104-0.0108868j 0.014291+0.00998729j 0.00872078+0.00281307j -0.0107214-0.0276713j 0.0129618-0.00900513j 0.00727787-0.0196008j -0.0138201+0.00902514j 0.0547796-0.0177754j 0.037407-0.00281101j -0.0392945-0.0209152j -0.0363473-0.0155128j 0.00538304+0.0215428j 
0.0653772-0.0151773j 0.00317751-0.0708946j -0.0236926+0.137903j 0.0803844+0.010907j -0.113541+0.00917993j -0.213188-0.153811j 0.0400384+0.085394j 0.01107-0.152442j -0.0654116-0.00984578j 0.0246406+0.031859j 0.0301285-0.0224418j -0.0501197+0.00444638j 0.0232091-0.0616023j 0.00452951+1.86259e-05j -0.0118571+0.000903656j 0.00687415+0.0108907j 0.00455642-0.0190384j -0.0133364+0.00632325j -0.00814358-0.0130152j -0.00234412-0.0847024j -0.00207046+0.00699921j 0.0116109-0.0375335j 0.00233772+0.0292062j 0.0220566-0.0138235j 0.0100963-0.0343018j 0.00614462-0.0210626j 0.0378202+0.0272453j -0.00459969-0.00494157j 0.00611237+0.000360244j -0.0198844-0.0188252j 0.00736201+0.00728002j -0.00574335+0.0202272j -0.00883103+0.036054j -0.0168093-0.0544833j 
0.0444434-0.0225781j -0.0165677+0.0497396j 0.00432647-0.134318j 0.0528173-0.00261684j -0.0950315+0.109249j -0.329116+0.195786j 0.235727+0.0348525j 0.0842343+0.185987j -0.0787152+0.0566053j 0.00937463-0.0254031j 0.0164593-0.0584897j -0.0133327+0.0837017j -0.00212053-0.00101592j 0.00600771+0.0378499j 0.0383313+0.0151437j 0.0335928-0.00271355j -0.0115369+0.0268975j 0.00792616-0.0585641j -0.00188363+0.0254353j -0.0173389+0.0183409j 0.000113081+0.00735797j -0.00520295+0.0465487j -0.00157725-0.0108209j 0.0536069-0.00228974j 0.0127929+0.00602303j 0.00260567-0.0189252j 0.0353034+0.01005j -0.0198006+0.0374457j 0.0393226-0.000959955j -0.0398266-0.00040452j -0.0228258-0.0270632j -0.0171728-0.0272137j 0.0247953-0.0200959j -0.00210097+0.0317464j 
-4.01756e-05+0.0112149j 0.00241595+0.0550844j -0.00190142-0.0838035j -0.00728973-0.0360253j 0.0315995+0.00400806j -0.16997+0.18195j -0.230044-0.418483j -0.140369-0.0894235j 0.0177863+0.126693j 0.00105029-0.00617529j 0.0357348+0.0124873j -0.0148405-0.0286587j 0.0137832+0.0644538j -0.00543441-0.0167235j 0.00967463-0.0702132j 0.00306262-0.00048497j -0.00980181+0.0295428j -0.00951035-0.00323983j -0.00125249+0.00158937j 0.00973574+0.0204203j -0.00459504+0.0070324j -0.0133674+0.0371201j 0.00340405-0.0138203j 0.0371074+0.0256699j -0.0126626-0.0131683j 0.0143232+0.0292651j -0.0233184-0.000527967j -0.0157715+0.0151657j -0.0192088-0.00446387j 0.0156384+0.0236634j 0.0598524+0.011956j 0.00713994-0.00894468j -0.0305124-0.0283704j -0.00705998+0.0316883j 
-0.123666+0.0258851j 0.00370923-0.0218016j -0.0943086+0.0882626j -0.000546788+0.0301341j 0.321138-0.233973j -0.175657+0.0718624j -0.116291+0.162935j 0.0497589-0.00411513j -0.0164165-0.00286935j -0.0258389+0.0580141j 0.0171813-0.00335849j 0.0885954-0.0931892j -0.012995+0.0417256j 0.00217147+0.0744465j -0.00892467+0.0125466j -0.0307225-0.010342j 0.0280182-0.0380377j 0.0149032-0.0117508j 0.0126528-0.00142485j -0.00654703-0.0100489j 0.00858565+0.0294731j 0.0112615-0.0304804j -0.00574239+0.00291104j 0.0163219-0.0109424j -0.0288025+0.0107936j 0.0283243+0.0093901j -0.00887727+0.0183008j 0.0343073+0.0125051j -0.00804903+0.00751696j 0.0126889-0.00291562j -0.0197642+0.0032068j 0.0177484+0.0083864j 0.0104198+0.0117013j 0.0133702-0.00550769j 
-0.02379+0.0340338j -0.001537+0.0591282j -0.0110065-0.21801j 0.00410048+0.0494944j 0.043042+0.00115865j 0.0262112-0.550122j -0.0393745-0.111057j 0.0160573+0.179092j 0.0115292-0.0155749j -0.00576764-0.0205276j -0.000563388+0.0368315j 0.0131891-0.0176749j -0.00396564+0.0690975j -0.00463856+0.0341361j -0.0119445+0.0349228j 0.0122163+0.0145936j -0.00340346+0.0401803j -0.022795-0.0394701j 0.0346221+0.0588865j -0.0101481-0.0237938j 0.0167682-0.106531j -0.00655316-0.00555929j -0.00161695+0.00135757j -0.0157488+0.00780877j -0.0228246+0.0148857j -0.00733986+0.00921611j 0.0257846+0.00913924j 0.0266111+0.0237828j -0.00162238+0.0278869j 0.00321644-0.00169945j -0.00342826-0.00927095j -0.00697754-0.0309963j 0.000998663-0.0197626j 0.0137332+0.0212591j 
0.0369005+0.0180773j -0.0299296+0.0302556j 0.122303+0.044496j -0.00723144-0.102772j -0.112743-0.103277j -0.315089-0.19957j 0.112724+0.0560819j -0.185175-0.148741j -0.0733674-0.0452622j 0.0190983-0.0379686j 0.0428193+0.115673j -0.0442021-0.0636849j -0.00819158+0.0442651j -0.00491054-0.0364423j 0.021823-0.0312706j 0.0205319+0.0153477j -0.0198702+0.011617j -0.008265-0.028067j -0.0158558-0.0308554j -0.0352496+0.00590554j 0.00125571-0.00899907j -0.0224441-0.0146454j 0.0124184-0.0124978j 0.0438257-0.0203497j -0.0150228-0.000382422j -0.0117482+0.0100876j 0.0420628+0.0264595j -0.012786+0.00749178j -0.021754-0.0197218j -0.0517821-0.00640973j 0.0396681+0.00576524j -0.0056625-0.016453j -0.0101914-0.0240615j -0.0537269+0.00580182j 
-0.0491315-0.0149886j 0.0832355-0.073773j 0.0123781-0.0195812j -0.261135+0.348107j 0.0268936+0.129529j -0.197442-0.0321109j 0.0403388-0.0834358j -0.0054804+0.00726583j 0.0145047-0.128536j -0.084132+0.16671j 0.0358256-0.0189042j 0.00391276+0.0154307j 0.026677-0.0400933j 0.00913609+0.00147484j -0.0230604-0.0056613j 0.00620976+0.003923j 0.00127308+0.0236305j -0.0216728+0.0135726j 0.0133977+0.0319043j -0.0187064-0.00222514j -0.00342569-0.0107737j -0.0212804-0.0227571j 0.0081837-0.00595656j 0.0267254-0.0094309j -0.000953139-0.00265396j 0.0184107+0.00450355j 0.0144794+0.0144457j 0.0179184+0.00909041j -0.00512845-0.00317747j 0.00458582-0.00782086j -0.00115634+0.000686014j -0.00245199+0.0129412j -0.00346481+0.0100393j -0.00150282-0.00190115j 
-0.0108557-0.0528763j -0.0196025-0.0220462j -0.207901-0.0263319j 0.194586-0.0679107j 0.187613+0.153458j -0.281642-0.0637434j -0.176822-0.055858j 0.172534+0.103323j -0.0321437-0.022429j 0.0246627-0.0833951j 0.0268503+0.0156492j 0.0392518+0.0518851j 0.00849708-0.0382518j 0.00503303-0.0357669j 0.0120581-0.00933771j -0.000372348-0.00409596j 0.0217774-0.0299793j -0.0106389+0.0274081j 0.0334174+0.0776745j 0.00137948-0.00576723j 0.0114003+0.00421171j 0.031562+0.00111725j -0.011688+2.04945e-05j 0.0327085-0.00620316j -0.00894272-0.0145708j 0.0232496-0.00712127j 0.0236733+0.0110501j 0.0336704+0.0130548j 0.0309759+0.000455771j 0.0228125+0.00983275j -0.022364-0.00537431j -0.00355592+0.0220911j 0.00496979+0.0230171j 0.0302732-0.00350399j 
-0.056016-0.19178j -0.0253346-0.0903948j 0.0495588+0.0207501j -0.110524-0.0138898j 0.143957+0.433747j 0.0849155-0.0389601j 0.0321135-0.0261376j -0.0788752-0.123008j 0.00885189+0.0146444j -0.00738057-0.0161413j -0.000407325+0.0479432j 0.0485472+0.171482j -0.0243167-0.114255j 0.000777397+0.0373974j -0.0241489-0.0258937j 0.00182831-0.0420802j -0.0171984-0.000148728j 0.00880737+0.0216139j 0.0125115+0.0288748j -0.00129748-0.0131447j 0.00843472-0.00283599j -0.0251859-0.0086665j 0.00439347-0.0280317j -0.0128645-0.0106765j -0.013675+0.004077j 0.0124728+0.0346311j -0.0219074-0.0106355j 0.0219392+0.0358983j -0.00625574+0.00332484j -0.0020994-0.000449427j -0.00309392-0.0107752j 0.035857+0.0519195j 0.0201604+0.0352057j -0.0152539+0.000496734j 
0.0230749+0.0981499j -0.156611-0.0688575j 0.0806746+0.00259124j 0.422332+0.315687j 0.15786+0.0568216j 0.0541985+0.03339j -0.0148876-0.0220554j -0.0831666-0.0499624j -0.0921441-0.0868939j 0.132683+0.126792j -0.00136992+0.0306828j 0.0107985-0.0287477j -0.0801132-0.05193j -3.5321e-05-0.036294j 0.0188416+0.0266705j -0.000438218+0.0394319j -0.0108085+0.0368357j -0.000868699-0.0596502j -0.00410582-0.0158311j -0.0256609-0.0145482j 0.0271337-0.0107238j 0.04578+0.0234645j 0.00489605-0.000438789j -0.00950991+0.00515018j -0.0283154+5.96126e-05j -0.0287906-0.0195578j -0.0110053-0.00497522j -0.00589452-0.00855112j 0.0102892+0.0221835j -0.0478627-0.0238717j 0.00827639-0.00155307j 0.0220108-0.0195807j 0.0210758-0.0126043j -0.0374838-0.00974024j 
0.104711+0.0276686j 0.0719286-0.144547j -0.0326101+0.00894428j 0.00271847+0.313697j -0.270131-0.0351178j 0.0147238+0.050909j -0.00682444-0.0849444j 0.104026+0.040368j 0.00983389-0.0465969j -0.0174542+0.0755764j 0.000784878+0.0255112j -0.0942522-0.0726487j 0.0548139-0.0510241j -0.000224046-0.00634245j 0.0130963+0.060471j 0.0229057-0.0522135j -0.0126016+0.0053282j -0.0280571+0.033457j -0.00686628+0.0381979j 0.0145246-0.0393154j -0.0234031+0.0104599j 0.0175506+0.0137677j -0.00516718-0.00181738j 0.0118781-0.00686459j 0.0312827-0.00365323j -0.0176785-0.00470006j 0.0169288+0.00614045j -0.0253011-0.00527084j 0.0126013+0.0104119j 0.0204052-0.00749102j -0.00281566+0.00758625j -0.0417183+0.0168138j -0.0318501+0.015569j 0.0155237-0.0145227j 
0.130218-0.178661j -0.0431413+0.0677769j -0.0266415+0.0690042j 0.279377-0.0991218j -0.181899+0.107383j 0.0371145-0.0297074j -0.0454201-0.0250488j 0.0486547-0.00909823j -0.0351348+0.00665311j 0.0900031-0.0131161j -0.00927633-0.0147175j -0.0703463+0.0332573j 0.00692955+0.0237113j -0.000903457+0.0952362j 0.0382057-0.0726608j 0.0204572-0.0529095j -0.0129521-0.0243269j -0.0101001+0.0393982j -0.0117694+0.02193j 0.0134378+0.00645534j -0.00372487+0.00129254j 0.0307244-0.0203794j 0.00189937-0.014358j 0.00377471-0.00925071j 0.0231161+0.00569508j -0.0299994+0.0388251j 0.0160863+0.00596205j -0.0241879+0.0253119j 0.0191571-0.0194225j -0.000413832+0.0112159j 0.00733247-0.000367905j -0.0260855+0.0281011j -0.0167247+0.0141946j -0.00404666+0.0119592j 
