0.0297227+0.00158682j 0.0734146-0.0107824j -0.0652532+0.00554913j -0.0285512-0.00155803j -0.028237-0.0016691j -0.00519429+0.00160412j 0.0119833-0.00148776j 0.00348481-0.00109428j 0.0322922-0.000977264j -0.0237966+0.00305505j 0.0673213-0.000363377j -0.00786622+0.00191945j -0.241806-0.00296216j -0.0720802+0.00552982j -0.000577997-0.00231624j -0.0678351+0.00289227j 0.090019-0.0050925j -0.00481253-0.00650723j 0.0325217-0.00080481j 0.00332596+0.00158174j 0.0375491-0.000167202j -0.00804149+0.00102638j -0.0186991+0.000959702j -0.000833639+0.00683142j 0.0159872+0.00494283j 0.00279008-0.00275368j 0.0701822-0.00267308j 0.0191116+0.000530232j -0.00124571+0.00207579j -0.00853827-0.000701202j 0.001038-0.00243629j 0.000381016+0.00132746j 0.017372+0.00358535j 0.0302928-0.000504283j -0.0030439-0.00683109j 0.0202201+0.00564966j -0.0529375+0.00292307j 0.0459466-0.00390481j 0.0666183-0.00642543j -0.0652008-0.00159989j 0.0637867+0.0025187j -0.0306288-1.16741e-06j 0.0880726-0.00849659j 0.0881451+0.000894675j 0.0863349-0.0110662j -0.254268-0.0111485j 0.0123617-0.0426827j -0.017347-0.00117344j 0.0237184-0.0114277j 0.0175517+0.00834412j 0.00782172-0.00615922j 0.00628696+0.00239708j -0.0226919-0.00308807j -0.0607118-0.0159619j 0.0452941+0.00448498j -0.0390111-0.00486531j -0.017184-0.0114j -0.00301413+0.00543826j -0.0477163-0.0239988j 0.0932911+0.00202151j 0.0449778-0.0200523j 0.00148643-0.0227997j 0.00862585-0.0306325j 0.080907+0.0589938j 0.0297088+0.00352873j -0.0350327-0.000637188j -0.27111+0.0229731j -0.329654-0.118207j 0.273607-0.0725475j 
0.124586+0.0063762j -0.0203012-0.0239031j -0.0994601-0.0158715j 0.0757394-0.0143326j 0.280663+0.00545416j 0.125412+0.0267917j -0.159071+0.00480076j -0.00447692+0.012681j 0.0389982-0.00327184j -0.0301066-0.0113013j 0.0866743-0.00610186j -0.117757+0.00789301j -0.118306+0.0102729j -0.0460699-0.00383536j -0.0457286-0.00559545j 0.133492-0.0167799j 0.0359821+0.016176j 0.0234099-0.00388491j 0.00295812-0.00457958j -0.0259463-0.00155503j 0.0126507-0.00579994j 0.0198874+0.00399745j 0.131123+0.00453957j -0.0228965+0.00166852j -0.0682218+0.004694j 0.0673136-0.00491274j 0.102327-0.00138796j 0.0317673-0.000373719j -0.0601103+0.000492781j 0.0748835-0.00174781j -0.0138443+0.00146108j -0.07556+0.00517252j -0.00127314+0.00142687j 0.0754334+0.00318891j 0.0203515-0.00590969j 0.249644+0.000384272j -0.0972328-0.0104601j 0.229725-0.00967655j -0.255423+0.00357762j 0.23082+0.00640573j -0.227655-0.0152186j -0.0279433+0.0243238j -0.0697304-0.0247421j 0.177957-0.00570599j -0.176613+0.00235228j 0.0130228-0.0105155j 0.0413739-0.0103775j -0.0232643-0.00200138j 0.037101-0.00675791j -0.0195396+0.00418723j 0.0251145-0.0086973j 0.0321252+0.00127692j -0.0270509+0.000144635j -0.0639659-0.00168352j -0.000812698-0.00140098j -0.00446872-0.00306059j -0.0109263-0.0118752j -0.0241782-0.0017189j -0.0337191-0.0130027j 0.039748+0.021431j -0.0302827+0.0136793j -0.223705-0.0191525j 0.0316327-0.00718023j 0.00359234-0.00539843j 0.00101564+0.000979747j 0.00864346-0.0139066j 0.0261562+0.0165117j -0.00437766-0.00210441j -0.00771566-0.00595012j 
-0.0725049-0.00135346j 0.0251798+0.00852546j -0.181435-0.00326009j -0.117513-0.00929336j -0.118589+0.00316915j 0.0244291+0.00153662j -0.0883417-0.00289579j 0.0568629+0.000177512j 0.192456+0.0018333j 0.0334253+0.0011852j 0.0330217+0.00331769j -0.0738758-0.000965417j -0.205715-0.00699084j 0.276379+0.00305954j -0.0787568-0.00960302j -0.173199+0.0026385j 0.101691+0.00163028j -0.109998+0.00586763j -0.0013496-9.24557e-05j 0.102924-0.00115036j 0.014374-0.0067801j -0.0361096-0.000747994j -0.0406147+0.00536856j 0.128062-0.00837499j -0.00678108+0.000582802j -0.0540376-0.00851014j -0.00069116+0.00428256j 0.150004-0.00461581j 0.0929622-0.00189119j -0.0734776+0.00116904j -0.122614+0.0032305j 0.17543+0.004932j -0.173351-0.00156693j -0.111504+0.00759564j -0.0036764-0.0067748j 0.253037-0.00382515j 0.00645319-0.00151732j -0.14228-0.00590296j 0.14618+0.0122208j 0.125942+0.00492491j -0.199919+0.0067071j 0.0300548+0.00046479j 0.128948+0.00774756j -0.118101+0.000926216j 0.0394851-0.00806138j -0.0378852-0.00271137j 0.107557+0.0163722j 0.059751-0.00441516j 0.0407959+0.00294862j -0.0243191+0.00531352j 0.00551092+0.0041659j -0.0065937+0.000249502j 0.0029295+0.00175826j -0.0457058+0.00634439j 0.00137626-0.00206346j -0.0478019+0.00130038j 0.0758392+0.0118461j -0.00314752-0.00432417j 0.0544805+0.0126744j 0.0352559-0.0112778j 0.12728+0.0107538j -0.000745072-0.000137345j 0.00365396+0.0220806j -0.171628-0.0218521j -0.00576854-0.00153882j 0.0443109+0.0239624j 0.0387721+0.000228842j 0.0162279+0.00166628j 0.00159547+0.000870107j 
-0.0240877-0.00498148j 0.0357229+0.00516021j -0.00933202-0.0039033j -0.0487285-0.00343111j -0.0268954+0.00209026j 0.0605264+0.0124676j 0.0839178-0.000246593j 0.165829+0.0021037j 0.0949848+0.00135899j -0.0737124-0.00365454j 0.139655+0.00734214j -0.00450782+0.00471356j -0.057537-0.00153378j -0.0349484-0.0017863j 0.0266695-0.0100312j 0.00722318+0.00058542j 0.0346953+0.000527529j -0.0769101-0.0129578j -0.0186028-0.00629777j 0.0850157+0.0162205j 0.0390241-0.00217994j 0.0178425+3.63708e-05j 0.0704757+0.00434138j -0.109949-0.00294734j 0.209413+0.00446391j -0.120792-0.00258859j -0.0455258+0.00124907j 0.102015+0.0162141j -0.0301709-0.00262736j 0.0555893+0.000192103j 0.170937-0.00665858j -0.37791+0.00523442j 0.128703-0.00329507j -0.040603-0.0130957j 0.014343-0.00200367j 0.0600586+0.0056011j 0.177184+0.0124699j 0.183465+0.0143891j 0.0744182-0.00651793j 0.191202-0.00762392j 0.250353+0.0142958j 0.263146-0.00962079j -0.0939284-0.00470244j -0.0587513-0.00679788j 0.0452528+0.00872866j 0.018597-0.0224693j 0.0290866-0.0134775j -0.0650616+0.00067433j 0.0484837-0.00705447j 0.0433169-0.000595493j -0.0210673-0.0163752j -0.0304132-0.00388476j 0.00640256+0.00722786j 0.0633384+0.00902246j 0.0864832+0.00390336j -0.0236053+9.57657e-05j 0.00891352-0.00622275j -0.0288344+0.0125295j 0.0359038+0.00797733j -0.115153-0.0201649j 0.0633226+0.00819839j -0.0611925-0.00339069j -0.0331551+0.023814j -0.0124907-0.0192919j 0.00364226-0.00241091j -0.0212076-0.0532065j 0.0327034-0.00268037j -0.00360508-0.0771939j -0.0170392+0.0218095j 
0.0831528-0.0170619j 0.0458813-0.0137681j 0.0859216-0.0603049j 0.0847832-0.0317934j -0.103489-0.00921439j 0.0405438+0.0984125j 0.0979471-0.00439623j 0.0384423+0.0435708j -0.0156697-0.00878105j -0.0465639-0.033944j -0.138755+0.00740787j -0.113149+0.0292085j -0.0659807+0.0214873j -0.130707-0.00844714j 0.0283437-0.0172045j 0.0415522-0.0252182j 0.0305339-0.0167686j 0.089527-0.0589661j -0.0475914-0.017861j -0.0423485+0.0346536j -0.00756471+0.020062j 0.037231-0.00949947j -0.0917646+0.0234077j -0.00122264-0.00125698j -0.0186089+0.0260036j 0.0637098-0.0139752j 0.0200166+0.00744962j -0.11945+0.0242988j 0.013828+0.00641158j -0.0303235+0.000425997j -0.0775247-0.0238848j 0.066642-0.00160409j -0.0886458-0.019158j 0.00510512-0.0126944j 0.057163-0.0150413j 0.31983-0.00358105j 0.0357381+0.0312802j -0.263445-0.000614998j -0.0181644+0.00589383j -0.0868619+0.0164939j 0.106307-0.0200467j -0.0499257+0.00040772j 0.105549-0.0202667j -0.00263759-0.00444423j -0.132061-0.0417137j 0.020913-0.0883907j 0.0191106-0.00334397j 0.0172521-0.01733j -0.0290226-0.0305056j -0.00909161+0.0192676j 0.026431-0.0144328j -0.0139544+0.00323643j -0.0218575-0.000636423j -0.0708453-0.0191655j 0.155536+0.0109599j -0.10525-0.0141151j 0.0931818+0.00884453j -0.0479331-0.000458008j 0.0193615-0.00801407j -0.11377+0.0141321j -0.0645094+0.0307822j -0.0170668-0.00902865j -0.0811499+0.0209432j 0.0686905+0.0382822j -0.000891042+0.0118715j 0.0247728+0.0151652j 0.0264004-0.0741696j -0.0114246-0.180513j -0.0487764+0.0937005j 
-0.0585547-0.0374774j -0.0197905-0.00501142j -0.0887812-0.110822j -0.067511-0.0687169j 0.0143016-0.00447515j 0.066862+0.165472j 0.00820159-0.00874971j -0.0295997+0.0713736j 0.0264726-0.0153705j 0.0127245-0.05838j 0.0218036+0.00736439j 0.054237+0.0486809j 0.0590973+0.0392957j 0.0901693-0.0151516j -0.0330357-0.0462811j -0.0729341-0.0468545j 0.0226023-0.00454188j -0.0693033-0.073662j 0.0529114-0.00519174j 0.0526617+0.0449131j 0.0253786+0.0323875j -0.0333877+0.00116114j -0.00989383+0.0287607j 0.0972377-0.0045386j -0.0462201+0.0317874j -0.00655486-0.0174266j 0.125659+0.0171429j -0.036624+0.0231394j 0.0275474+0.00739849j -0.158289-0.0012372j 0.0369789-0.0292903j -0.0405456-0.0129679j -0.0581505-0.0141709j -0.0999038-0.0109054j -0.353118+0.00605258j -0.411626-0.0124451j 0.182417+0.0299408j -0.00599992-0.0197827j -0.324365+0.0100108j -0.0640953+0.0209176j -0.0983857-0.0435166j 0.0733365+0.0110783j -0.109562-0.0329619j -0.0415502-0.026778j 0.0110739-0.0332229j 0.0325332-0.0931857j 0.0100234+0.0610471j 0.0199097-0.00830315j -0.022409-0.0176247j -0.00197388+0.00941493j -0.030353+0.000279305j 0.000469085+0.00871526j -0.0107728-0.00827871j -0.0161724-0.0191392j 0.0110794+0.00480483j -0.0464865-0.0254184j -0.0279387+0.00883916j 0.0335111-0.00123176j -0.0693924-0.0133776j -0.0108356+0.0530952j -0.000930595+0.0590733j 0.0275994+0.00523748j 0.000355664+0.0353531j -0.0126514+0.0255961j 0.00106112+0.00628874j -0.0154545+0.0301084j -0.00318409-0.0902077j -0.0163765-0.0488796j -0.00391813+0.0790689j 
-0.00220603-0.0518086j -0.00201454-0.00889949j 0.0137751-0.147017j -0.0504942-0.0892026j 0.0494899-0.00106985j -0.0707728+0.217287j -0.13089-0.0131788j -0.0479444+0.0952216j -0.00669108-0.0178795j 0.0447425-0.0829902j 0.0290826+0.015543j -0.0337545+0.0573456j -0.019644+0.0515741j 0.0472814-0.0314917j 0.0368706-0.0623167j -0.0203361-0.0669434j -0.0239193-0.00465875j -0.0301642-0.0831408j -0.0146487-0.0145282j 0.00507117+0.0677523j -0.0362308+0.0493876j -0.0430084-0.00308183j -0.00139385+0.0291815j -0.00576636-0.00168235j 0.0823803+0.0436803j -0.0513201-0.0146125j -0.131624+0.0247103j 0.0589361+0.030032j 0.0105385+0.00923878j 0.165063+0.000490757j 0.0403133-0.0415335j 0.125507-0.00746187j 0.230186-0.0366703j -0.0312597-0.0226257j 0.189047+0.00789055j 0.000553452-0.0172358j -0.151676+0.0620728j 0.147818-0.00836536j 0.29969+0.0220906j 0.0980552+0.0341657j 0.0167528-0.0407812j -0.091528+0.00790166j 0.0451884-0.065124j 0.00109089-0.0230696j 0.0703692-0.0436827j -0.035238-0.123701j -0.0451452+0.0672234j -0.0152122-0.0229319j 0.0120627-0.0159322j 0.00186061+0.0115435j 0.00930209-0.0139082j 0.0142912+0.00934065j 0.0266566-0.00762404j 0.0361533-0.0314607j -0.0827059+0.00171963j 0.0846064-0.0403777j -0.0237678+0.0116218j 0.0384499+0.0152608j 0.028155-0.0025523j 0.0712133+0.0686435j -0.012098+0.0773934j 0.00138122+0.0190455j 0.0186511+0.0242013j 0.0124856+0.0758609j 0.00687704+0.0208722j -0.00203475-0.0232077j 0.00131702-0.119681j -0.0138979-0.0345335j -0.0261139+0.0701511j 
-0.0621688-0.0173396j -0.000420421+0.0111045j 0.0399184-0.0487628j -0.0128896-0.0308736j 0.0221164+0.000490925j -0.0100975+0.0701973j 0.110235-0.00377998j 0.031942+0.0303725j -0.00795656-0.00681862j 0.00786749-0.0256809j 0.0307031+0.00585205j 0.110807+0.0202429j 0.0113902+0.02002j 0.0776604-0.0112011j 0.0113547-0.0267984j -0.0300772-0.0201517j -0.0436897-0.00143819j -0.0298822-0.026377j -0.0176634-0.00285746j 0.0467773+0.0232948j 0.0150398+0.017326j 0.0919414-0.000718381j -0.0052776+0.00921102j -0.0187755-0.00277344j 0.00998776+0.0111444j -0.0394867+0.00106232j -0.0905164+0.0123922j 0.0588713+0.0102155j -0.37912-0.000785106j -0.218977-0.000386957j -0.220179-0.013487j -0.125544-0.000768705j -0.336169-0.0143338j 0.5491-0.00986118j 0.132103+0.00700091j 0.0681633-0.011002j -0.099585+0.0148995j 0.00344283-3.7745e-05j -0.0909089+0.0137588j -0.0185251+0.0124594j 0.0667664-0.0029771j 0.0556939+0.0132239j 0.0290075-0.0154165j -0.0268051-0.00978648j 0.0543246-0.00995061j -0.0306339-0.030064j -0.0250674+0.0386865j -0.0174711+0.00109542j 0.0130198+0.00106548j -0.0085765+0.00121735j -0.0316006+0.0109509j 0.000356098+0.00534474j -0.00554311-0.00642299j 0.0322377+0.00269561j -0.0369985+0.00227851j 0.0264825-0.00203537j -0.00407807+0.0216873j -0.0605501-0.0218258j 0.00746024-0.00308053j 0.0230629+0.0224527j 0.0301957+0.0224426j 0.0274591+0.0198242j 0.00672372+0.024399j -0.00546176+0.000818778j -0.0348826+0.00345239j -0.00379871-0.0397217j -0.0118006-0.033392j -0.00108086+0.0227773j 0.0113411+0.0275659j 
-0.0580624-0.0176452j -0.0254513+0.00782781j 0.0794414-0.0362825j 0.02539-0.0299396j -0.0589626-0.00420729j -0.213816+0.0628219j 0.035024+0.00187557j -0.0208475+0.0287516j 0.0625468-0.00542942j -0.0327319-0.0228395j 0.0135322+0.00408899j 0.118625+0.0170936j 0.054681+0.0203608j 0.131615-0.0112589j 0.0238944-0.0273551j 0.0641778-0.0103278j 0.00118126-0.00409632j 0.0453766-0.025119j 0.0826318+0.00410018j -0.075911+0.0186673j -0.0131542+0.0109564j 0.00704853-0.00134991j -0.0158447+0.0124625j -0.0535479-0.00623506j -0.0634362+0.00251465j 0.0284865+0.0028654j 0.0458887+0.0170845j 0.06442-0.00160412j 0.0645276-0.00352738j -0.107716+0.00208224j 0.161656-0.00514473j -0.260701-0.00323671j -0.23153-0.0124395j -0.268018-0.00777069j -0.0633833+0.00421342j 0.406502-0.011619j 0.00862734-0.000515642j -0.0909851-0.0049543j -0.023489+0.0145593j -0.0818753+0.0141609j -0.0277277-0.00741883j 0.0816653+0.0141851j -0.0992492+0.00430991j 0.125021-0.0134167j -0.0392684-0.00910048j 0.0400777+0.00159971j -0.0427919+0.0552751j 0.0329886-0.0125j -0.0195168+0.0111083j 0.0408344-0.0105663j -0.0370684-0.00799802j -0.0281234+0.00205984j -0.0123137-0.00347342j 0.0205661-0.0107143j -0.0680893+0.00669637j 0.0504434-0.0073262j -0.0634569+0.00120347j -0.0347718+0.0178188j -0.0163206+0.0198867j -0.0205292+0.0194227j 0.0466222+0.0463578j 0.0432731+0.00807037j 0.0357722+0.0200382j -0.00515939-0.00167387j 0.00372666+0.000674784j 0.0016532-0.00843713j -0.00650283-0.00493754j -0.0264369+0.0922429j 0.0480958-0.0213794j 
-0.0128899+0.00168607j 0.017705+0.00616685j 0.0690633+0.0143509j -0.0499016+0.00913641j -0.0210511+0.00266186j 0.0786302-0.018368j 0.0676489+0.000978975j 0.058559-0.00895505j 0.0282142+0.00444454j 0.0473432+0.0116655j 0.0732411+0.00131457j 0.0448361-0.0045063j -0.0218818-0.00601577j -0.103888+0.00326704j 0.0107147-0.000293721j 0.00182598+0.00955344j -0.0552705-0.00814081j -0.0275995+0.00706102j -0.0695259+0.00541681j 0.0638303+0.0109924j -0.00826144-0.0061455j -0.0170146-0.00298438j 0.113323+0.00543696j -0.11125-0.00908139j -0.000636121-0.0124346j -0.0518474-0.00695108j -0.0309147-0.00770104j 0.102676-0.000325465j 0.121197+0.00172732j -0.11656-0.00102665j -0.0970064-0.00448993j 0.0386522-0.00020412j 0.0262658+0.00205706j 0.20456-0.00480511j 0.12922+0.00373044j 0.100441+0.0033546j 0.138602+0.00274419j 0.0385183-0.00584969j -0.00429543-0.0104288j 0.0811447-0.00497167j -0.00606337+0.00106751j 0.0236855-0.00974377j -0.0531577+0.000779254j -0.0183649-0.00980577j 0.00853952+0.00875972j 0.076704-0.00633208j -0.0639024+0.0213519j -0.0226819-0.00470995j -0.0120039+0.00762979j 0.0125998-0.00454602j -0.029271-0.00734809j -0.015943-0.00323502j 0.0120211+0.00532311j 0.0248684-0.000828699j -0.0635974-0.00536431j 0.025815-0.00339058j -0.0387696-0.00860984j -0.0295006+0.00357971j 0.0167972-0.00275997j -0.0533347+0.00534611j -0.019727+0.00156402j -0.00768928+0.0114388j -0.00679327+0.00788981j 0.0419015-0.0051994j -0.000698782+0.00118522j -0.0114318+0.158089j 0.0209275-0.046952j -0.012835+0.0193182j 0.0181304+0.0144576j 
0.0269393+0.00442738j 0.00981569-0.00472749j 0.0582416+0.0165274j -0.0151587+0.0095218j -0.0479095+0.000379857j 0.161848-0.0194942j 0.0722031+0.000329805j 0.0299856-0.0088122j 0.00113026+0.00202604j 0.0732835+0.0110449j -0.0356527-0.00104707j 0.00443989-0.00595553j -0.0261519-0.00642572j -0.14025+0.00308958j -0.011265+0.00478349j -0.0310878+0.00446293j -0.0556417-0.00609562j -0.0198464+0.0032737j 0.0741978-0.000127651j 0.0419732-0.00169161j 0.0158945-0.00871643j 0.0655088+0.00535168j 0.003794-0.000303919j 0.0626246+0.000376282j -0.0373025-0.0035916j -0.0472788-0.00080718j -0.0515607-0.00608747j 0.180493+0.00432034j -0.000661789-0.000997694j 0.0743575+0.00282763j 0.013558+0.00611123j 0.259113+0.00133128j -0.107956+0.00159472j 0.216745-0.00243015j 0.049241-0.00590282j -0.107337+0.00232488j 0.214317+0.00345547j -0.0180919-0.00194241j -0.0737943-0.00859661j 0.0325354+4.57666e-05j -0.10736+0.00112132j -0.0263736-0.00220391j 0.0109087-0.00781161j -0.0905379+0.00339694j -0.039872+0.000349164j 0.0794011-0.012224j -0.0556755-0.0131212j 0.00443604-0.0145427j -0.0429877-0.00427426j -0.0150385-0.000159133j -0.0125435-0.0308987j 0.022202+0.00713278j -0.0102066-0.00893934j -0.0299023-0.0203192j -0.037851-0.000632078j -0.0117838-0.00992744j -0.00143839-0.025864j -0.00498608+0.0246348j 0.0190896+0.0157209j -0.0605145+0.000143688j -0.0618551+0.011514j 0.0293116-0.00835729j -0.0178701-0.00989339j 0.0293024+0.0274324j 7.86182e-05+0.00400487j 0.00693541-0.0835688j 0.0275316-0.000293397j -0.00203498-0.0327865j 0.0130217+0.00662672j 
-0.0118791-0.00080276j -0.00360391+0.00813017j 0.0422857+0.0131369j -0.0441161+0.00578183j -0.0779149-0.000885099j 0.0414647-0.0138824j 0.0567327+0.00266552j -0.00624489-0.00838232j 0.0222976+0.00162343j 0.0466754+0.0105644j -0.0278654+0.00265894j 0.0471809+0.00144863j -0.0143564-0.00719152j -0.129392+0.00233225j 0.00548974-0.0052796j 0.0205771+0.0112769j -0.0265653-0.0144797j -0.022604-0.000232463j 0.0612835-0.000130797j -0.0334771+0.00722044j -0.0174987-0.0144337j -0.0935364+0.000524118j -0.0130311+0.00293953j -0.0324989-0.00937901j 0.0113019-0.0124276j -0.0323388-0.00177609j -0.18338-0.0119573j 0.130563+0.00301001j -0.0588217-0.00760947j 0.313399+0.000450545j -0.162521+0.00256955j 0.107391+0.000190733j 0.0178911-0.00612794j -0.167312-0.00812236j -0.0360731-0.00365136j 0.162812-0.00123416j 0.308805+0.00569751j -0.0538649+0.00221813j -0.0302847-0.0124535j 0.0813568+0.00401932j -0.145143+0.00252877j 0.0281622-0.0060952j -0.116645-0.00533687j -0.0471382-0.012843j -0.0862975+0.0058412j 0.149094-0.0192821j -0.0913972+0.0118828j -0.00608539+0.0121113j -0.0835148-0.00109315j -0.0123711+0.00767599j -0.0270184+0.0309224j 0.0370644+0.00546474j 0.023695-0.00885989j -0.0174878-0.00248515j -0.0407061-0.00272237j 0.0255653+0.00584784j -0.0380045+0.0130308j -0.00397663-0.0290462j 0.035336-0.0191363j -0.0696123+0.0275947j -0.0674923-0.00185011j 0.0449812+0.0137409j -0.00854958+0.0220119j 0.0427404-0.00778601j 0.00835627+0.0006993j 0.00201985-0.0242168j 0.0219218-0.0312976j -0.0319603+0.0131086j 0.0376858+0.027109j 
0.0740446+0.00423247j 0.0174771-0.0168002j 0.0872767+0.0164572j 0.0362948+0.00825558j -0.0109424+0.00327685j 0.108716-0.0125348j -0.0328836+0.00344656j 0.0100451-0.0084739j 0.0684863+0.00304365j 0.0148307+0.00585593j 0.0361881-0.000844119j -0.063528-0.00749753j -0.0695869-0.00797796j -0.0899361+0.00106424j -0.00062199+0.00455912j 0.03454+0.00106504j -0.0516671-0.00363265j 0.0312769+0.00335551j 0.0323363-0.00203052j -0.0190708+0.00527471j -0.0930842-0.0165822j -0.0698519+9.2731e-05j 0.0779523-0.000744513j -0.026048+0.00290256j 0.150986+0.0010674j 0.0775302-0.00267869j 0.0676585-0.00340073j 0.0980505+0.00343855j 0.110703-0.0030279j -0.696106+0.000787069j 0.318317+0.000473073j 0.134253+0.00267499j 0.0411787-0.00123125j -0.0506334-0.00174783j 0.127304-0.0115979j -0.0182062+0.00615164j 0.10516+0.00904471j 0.0150193-0.00218835j 0.0931425-0.00544114j 0.0091329-0.00220265j -0.053718+0.000692189j -0.0530983-0.00438571j 0.0326764-0.0241381j 0.0297681+0.00822407j -0.020505-0.00445744j 0.0585072-0.0204j -0.025452-0.0427032j 0.0232317+0.00275358j 0.0150953-0.0154847j 0.0618744+0.00819174j -0.0200134+0.00812529j -0.0724508+0.00524985j -0.0562355-0.00592366j -0.00457558-0.011564j -0.0708428-0.000437715j -0.00221123-0.00412438j 0.00615487-0.000824947j 0.0114338-0.0113705j -0.0291003-0.0283658j -0.048241+0.0101078j 0.0184257-0.0144018j -0.0310956-0.0026478j 0.00159886-0.0237168j 0.0249798+0.0466038j 0.00196093+0.00585616j 0.00753179-0.0372195j 0.035745-0.00185638j -0.000256594-0.0467289j -0.0083894-0.0223265j 
-0.0332888-0.00351203j -0.0121891+0.00939028j 0.0287022-0.0103113j 0.0238274-0.0034809j -0.0344186-0.00295331j 0.0258743+0.00699793j 0.0541536-0.00365024j 0.0890726+0.00352347j -0.0267206-0.00138957j 0.0451409-0.000277487j 0.0338568+0.00172568j 0.077584+0.00512479j 0.0484656+0.00220014j -0.00503372-0.00062668j 0.0280611-0.000235587j -0.0513837+0.00588075j -0.0364153-0.00683704j -0.037187-0.00184003j -0.0208557-0.00334657j 0.0813001+0.00419596j 0.0548907+0.00699105j 0.393165+0.000626061j 0.117168+0.000665139j 0.0257824+0.00307365j -0.0855759-0.00357137j 0.0220574+0.00458637j 0.238371-0.0028513j 0.195778+0.00445356j 0.532509-0.000932502j 0.26311-0.00127136j 0.274582-0.0027346j 0.102054+0.000845732j -0.196688-0.00184794j 0.205976-0.00255122j -0.0679751+0.00128754j 0.0416339-0.00307723j -0.0941161+0.00985249j 0.00732775+0.00458415j -0.002084+0.00282327j -0.0428082+0.000572475j 0.102768+0.000545767j -0.0590095-0.000152372j 0.0091148-0.00798891j 0.12805-0.00468386j 0.051852-0.000501693j -0.0141919-0.0121551j 0.000773224+0.0164406j 0.000556344+0.00325558j 0.0195789-0.000390872j 0.0123526-0.00263667j 0.020964+0.0122952j -0.0129871+0.00373187j 0.0167173-0.00527973j 0.0222029+0.00742159j 0.000412754-0.000868347j 0.0200255+0.00403491j -0.0261382+0.0196764j 0.0123868-0.0211733j -0.00569356-0.00590839j -0.00175544+0.00947657j 0.0240927-0.00158004j 0.0040591+0.0173684j 0.000732396+0.0151318j 0.0140607-0.0057345j 0.0250348+0.00192911j -0.000476516-0.0118644j -0.00729828-0.0282966j -0.00625621+0.0125455j -0.0267303+0.0298538j 
-0.045955+0.0106128j -0.0542205+0.0265991j -0.0954377+0.0332295j 0.0867793+0.0387638j 0.0465276-0.00209654j 0.00669578-0.0829221j -0.0619308-0.0015907j 0.0586725-0.0348861j 0.00819988+0.0102847j -0.0349489+0.0412731j -0.00783148-0.00020423j 0.0678768-0.00731629j 0.0889244-0.0289838j -0.0392575+0.0127323j 0.0418597+0.0369067j -0.0123617+0.046095j 0.00357498-0.0244519j -0.102061+0.0421057j -0.188246+0.00987457j 0.0723183-0.00178256j 0.0046815-0.025956j -0.0784622-0.0121128j 0.0841878-0.0162303j 0.184696-0.0121901j 0.227129-0.0271706j -0.178234+0.00399644j -0.0172722-0.0500904j 0.0631757+0.00221839j -0.0628837+0.00256427j -0.149694+0.00266727j -0.235797+0.0152206j 0.0393343+0.00882129j -0.00967979+0.00140561j -0.0501756-0.000770206j -0.27296+0.00024351j 0.0800058+0.00452146j -0.154808+0.0073254j -0.0294834+0.0139052j 0.0776572-0.0371684j 0.007247-0.0188148j 0.0913925+0.0140657j -0.244556-0.0295782j -0.115976-0.0142087j 0.348889-0.0142616j 0.0765231+0.0173223j 0.120855-0.012661j -0.0103321+0.0227785j 0.0203554-0.00186141j 0.0030993+0.0163863j -0.0192386+9.61939e-05j -0.0305358+0.00840751j -0.00732366+0.000716683j 0.00534817-0.000438731j -0.0212837+0.00421171j 0.00696006-0.0078716j 0.0480821+0.00287298j -0.0178763+0.00277026j 0.0326107+0.00789304j -0.0177783+0.0122627j 0.0126329+0.0111749j 0.00443726-0.0034016j 0.0118462+0.0277131j 0.0351827+0.0267709j 0.0508777-0.00673728j 0.00723366+0.00321287j -0.00903186-0.0225211j -0.0456066-0.0797811j -0.0493831+0.0243371j -0.0758077+0.0913515j 
