0.0724518+0.053947j 0.034186+0.0322616j 0.0212108-0.0269369j -0.0402328-0.000572017j -0.113303-0.127223j -0.0150178+0.025063j -0.0205246+0.0807821j 0.0304693+0.0408601j 0.0586621-0.0333803j 0.0119364-0.10095j -0.0283079-0.0298737j -0.0131738+0.0101971j 0.0291314+0.0227932j -0.0341944-0.0171934j -0.037396+0.0241058j -0.0259459+0.00857277j -0.0479917-0.0246544j -0.0232822-0.0383627j 0.0131644-0.0154084j -0.0267859+0.0063838j 0.00464793-0.0198028j 0.00762405+0.00546553j 0.0370974-0.0150161j 0.0124397-0.013125j -0.0721899+0.0191136j 0.0816101+0.0505548j 0.156469+0.0774118j -0.0352317-0.110011j -0.0215361-0.137849j 0.115271+0.125743j 0.112399-0.0573532j -0.0286972-0.000473589j 0.078556-0.00459637j -0.0361526-0.0258564j 0.0346487+0.0106632j -0.0248141+0.00773883j 0.0447325-0.00905443j -0.0274599-0.0225649j 0.0128194+0.0716852j -0.00610189-0.0277687j -0.033028+0.0529173j 0.0160277+0.00905265j -0.0259276-0.0290013j 0.0301669+0.071374j -0.0148356+0.0544698j 0.0617928-0.0310706j -0.107731+0.0149338j 0.15315-0.0260356j -0.179793-0.167505j -0.0530832+0.0228881j -0.00979177-0.182419j -0.233059+0.0545893j 
0.00885122+0.0137124j -0.0432294+0.0517052j 0.00581227-0.0557247j -0.00747728-0.0913401j -0.0111891-0.0854451j -0.00758181-0.059881j -0.000622613+0.0332536j -0.0084552+0.039828j -0.0210149+0.00527458j -0.0176938+0.0619263j 0.00358419-0.038657j 0.0229662+0.0183798j 0.0646541-0.0398893j 0.0178967-0.0325066j -0.086263+0.0446134j -0.00938971-0.0447454j 0.1184-0.0713611j 0.0539279-0.00518372j 0.0480549+0.0277144j 0.00969423-0.0752527j -0.075113-0.050501j 0.0576347+0.0277454j -0.0410113-0.00299665j -0.0118848-0.0421928j 0.0917851+0.0398848j 0.0180975+0.0886207j 0.0950461+0.128135j 0.0302132-0.0689191j -0.167306-0.0145117j 0.091029+0.06637j -0.116549-0.0606535j 0.0542588+0.00833226j -0.0362616-0.0083991j -0.00374097-0.00242267j 0.0382989+0.00555834j 0.0153086-0.0199447j 0.0266189-0.0476283j 0.0101722-0.0795939j 0.0313046+0.0128333j 0.0173177+0.0224521j -0.00627717+0.0389519j -0.141777-0.0172251j -0.0606983-0.0250672j 0.0519569+0.103706j 0.0643119-0.0214384j -0.0589698-0.0027741j 0.0792846-0.0700111j 0.0428446-0.00613211j -0.0178415+0.0231514j 0.102176+0.175074j -0.110557+0.0120595j 0.0328364-0.0718275j 
-0.0601609+0.0473075j 0.0220562-0.0353808j -0.0123562-0.0633819j 0.0270271-0.0731304j -0.0424131-0.0195853j 0.0171386-0.0123058j 0.0295356-0.0178935j 0.0164227-0.0634189j 0.0195733-0.0268276j 0.0704572+0.0160116j -0.0636442-0.0433064j -0.0504663+0.00470607j -0.051004-0.0367274j 0.0487814-0.0516813j 0.0036245+0.0154645j -0.0213383+0.0178027j -0.0201517-0.0167382j -0.0483571-0.0717187j -0.0124907+0.05676j -0.072323-0.0646388j -0.00338561-0.0378168j -0.0742757-0.0431316j 0.00180345+0.0124483j -0.0405002-0.0529912j 0.15822+0.00161191j 0.1663+0.0421443j 0.0557681+0.0450673j 0.0780446-0.0943358j 0.0919657-0.0970827j 0.0909305+0.0255933j 0.164833+0.0358656j 0.00586871-0.0336674j -0.00959589+0.0412928j -0.0321664-0.0127935j 0.0202142+0.0396868j 0.0252733+0.0401746j -0.0730538-0.0337873j -0.0595631+0.061041j -0.0384024+0.00661777j -0.0629896-0.0403736j 0.0566153+0.00783401j -0.0384758+0.0692952j -0.119041-0.00742826j 0.0767308+0.0694743j 0.00830812+0.0539906j -0.0865137+0.185997j 0.0255601+0.00218694j 0.0974505-0.108696j -0.0497354+0.0329578j 0.107343-0.0234925j -0.0407177-0.0875847j -0.00724229+0.12375j 
0.017206+0.00730513j -0.0271242+0.0447167j -0.0224006-0.0253039j 0.0930503+0.110197j 0.0490946-0.0504089j -0.00262942-0.0364625j -0.0044666+0.00244152j -0.0112177-0.0157354j -0.00568374-0.0536683j 0.0154731+0.0461838j -0.00687943-0.0266757j 0.0094566+0.0251616j 0.0861346+0.0385511j 0.110399+0.00916859j -0.0486402-0.00416312j -0.105798-0.0295223j 0.025245-0.0811749j 0.0807401-0.101237j -0.0316707-0.058748j -0.0782097-0.0212646j 0.00690618+0.0489919j -0.0314188+0.00423144j -0.0678531+0.0625068j -0.0441361-0.0373942j 0.00355993+0.0983877j -0.100792-0.0285364j -0.158088-0.0563676j -0.0271272+0.0442077j -0.101182+0.0550642j 0.0619457-0.0162727j -0.0161877-0.0146683j 0.0557412-0.0612928j 0.0111438-0.0590416j 0.00914746-0.0295735j 0.0267525+0.0391192j -0.0459758+0.0460649j 0.101606+0.0197869j 0.0399451+0.0198569j -0.139222-0.0680937j -0.0249041+0.02993j -0.0499176-0.0219186j 0.0926352+0.0248289j 0.0584508+0.0837767j 0.047703-0.0574091j -0.0317031-0.0386191j -0.0588686-0.0711007j 0.0238809+0.0314168j -0.024914-0.0303406j -0.03983-0.0776353j 0.00141491-0.00606529j 0.106532-0.0729284j 0.0328551+0.2066j 
0.0251881-0.0083305j 0.0572961-0.0305955j 0.0980129+0.00579919j -0.116045+0.0360406j -0.11923-0.00306854j 0.000873907+0.000308778j -0.0211466+0.00431196j 0.0719924-0.0308916j -0.0276076+0.0091076j 0.0855941-0.0825539j -0.00238348+0.014553j 0.0343693+0.0729552j 0.053839+0.075898j 0.0205915+0.0087196j -0.00162105-0.117577j -0.0350232-0.0179077j -0.0508417+0.0221625j -0.0336978+0.125211j 0.0840858+0.0607482j -0.0954805+0.0733307j -0.000853757-0.0810031j 0.0245589-0.0614081j -0.0155189+0.0460985j 0.0529407-0.00934269j -0.212124-0.0970445j -0.0911454+0.0406543j 0.0729949-0.0607289j -0.0351797+0.0244788j 0.014994-0.0495897j 0.168642-0.0939833j -0.0356959+0.0526682j -0.0461748+0.00453271j 0.0366079+0.00712537j -0.011609-0.0152143j 0.0364292-0.0194072j 0.0578114-0.0905404j 0.0160312+0.0875823j -0.0471994+0.100371j -0.00458049+0.0782201j 0.0297602+0.0675652j 0.0135922-0.0187233j 0.0759722+0.044332j -0.0542074-0.053338j -0.0378479+0.0627262j 0.0113397+0.0481206j 0.00106903+0.0291951j -0.0455586+0.00571622j -0.0891466+0.0816454j -0.0324327-0.0621123j -0.117041+0.0166837j 0.112022+0.158244j -0.047875+0.119719j 
-0.0572471-0.0554805j 0.125483-0.0375609j -0.00562973-0.0980654j 0.00500766-0.0154786j -0.103868+0.0295118j 0.0590157+0.0376847j 0.00834954-0.0439746j -0.0240255+0.00998475j 0.0404521+0.0977028j -0.00818149+0.00759367j 0.000516984+0.01564j 0.110112-0.00961328j -0.0348279+0.1861j 0.0986312+0.00734269j -0.0430175-0.0577903j -0.047539+0.0548009j -0.0163633-0.00902233j 0.0159218-0.0380494j 0.0169009-0.0170624j -0.0128659-0.0249775j 0.0485479-0.0108171j 0.0130435-0.0863264j 0.0761571-0.023444j -0.0720209-0.0384022j -0.0605815-0.13365j 0.0596296-0.0781766j 0.00766324+0.082804j -0.0918438-0.0363176j 0.0823973-0.0454754j 0.0178389-0.0287633j 0.0777778-0.0791028j 0.0379716-0.0553967j -0.0334866+0.0335064j -0.040912-0.00106468j 0.0113214+0.121059j -0.0282826-0.00522526j -0.10332-0.0571608j -0.0288705-0.0124932j -0.0527607+0.0317622j 0.058539+0.0968993j 0.00877241+0.0499351j 0.0167668+0.237189j 0.0530543+0.00172752j 0.0319467-0.104123j 0.021458-0.0733975j -0.0122042-0.0975366j 0.00110186-0.0362881j 0.00101621+0.0602286j -0.00875671-0.000226222j 0.113614+0.0811409j 0.16433-0.0942939j 0.0952653+0.0702241j 
-0.0679708-0.00226979j -0.0545576+0.042687j -0.0652726-0.0404998j -0.142158+0.000969648j 0.0123326+0.0192559j 0.000298247-0.0381403j 0.0712216-0.011188j -0.0554778-0.103147j 0.00852115+0.102679j 0.0132676-0.0612808j -0.00402472+0.0662595j -0.127076+0.0618291j 0.082288-0.0091759j 0.0265624-0.000350419j 0.00467433+0.0100558j -0.0236428+0.0821385j 0.0280737-0.0290583j 0.106941-0.063909j 0.0114077-0.044345j -0.0226844+0.0480174j 0.0105756+0.101922j 0.0430484-0.0679066j -0.0410784-0.0807849j 0.0403691-0.0964988j 0.125558-0.0879368j -0.039619+0.0381952j -0.0672713-0.0323808j 0.0577877-0.0704978j 0.0551553-0.0689615j 0.147062+0.0330356j 0.0014777+0.061482j -0.00673538-0.0514044j 0.00104606+0.0611j 0.0258379-0.0161924j -0.0492195-0.00866924j -0.00769599-0.0516619j 0.0911415+0.0184115j -0.0166642-0.0326975j -0.0608908+0.0900882j -0.00912474-0.00525472j 0.15457-0.0380942j 0.0768569+0.0424237j -0.10258-0.0517715j -0.00941253+0.0577119j -0.0104025+0.024654j -0.0635148+0.108375j 0.0108208+0.0714004j -0.0483261-0.0604166j 0.118909-0.0537156j 0.0316345+0.0308368j 0.114791-0.0315724j 0.0432393+0.161338j 
-0.0293357-0.0582078j -0.00780702-0.016788j -0.000399969+0.0126994j 0.0347467+0.0392237j -0.0489137+0.0554371j 0.103918+0.0149832j 0.0281491-0.0588405j 0.0163435+0.0244341j 0.0991823-0.0660846j -0.0130685-0.106026j -0.00379032+0.0709145j 0.0280211+0.0346117j 0.0628261+0.000636008j 0.0978737+0.00787319j 0.0313192+0.113281j 0.00190626+0.0662778j -0.0243418+0.101528j -0.0269551+0.0097153j 0.00912378-0.0168662j 0.12618+0.0206592j 0.064951-0.0274773j -0.105879-0.0400409j -0.0497794+0.121618j -0.0165004+0.0296782j -0.0511435-0.036685j -0.042788-0.156027j -0.0148823-0.109869j 0.0273141+0.0226513j 0.0599235-0.0288469j -0.0052501-0.042425j 0.0790204+0.0857643j 0.0423286+0.0147238j 0.0216255-0.0304967j -0.00619872+0.0212317j 0.0790974-0.0286759j 0.0840472+0.0234362j -0.0943403-0.0775962j -0.078246+0.00610834j 0.0592569-0.043282j 0.0597003+0.120362j -0.0708898+0.0168933j -0.0113233-0.01708j 0.00361494+0.00679313j -0.0328296+0.0992835j -0.0356519-0.00704077j 0.0645635+0.0414557j 0.0262267+0.0254402j 0.104579+0.0185144j -0.0462151+0.0247069j -0.094744-0.0037007j 0.00509034-0.0378411j -0.123885-0.0273241j 
0.0342423+0.0337584j -0.0101497+0.0127822j 0.0667529+0.0269046j -0.114476-0.0125238j -0.00260112-0.00546485j 0.00407449-0.0150415j 0.0823286-0.084011j 0.0607201-0.0574758j 0.0383206-0.0586637j 0.0461023+0.0217739j 0.0164865+0.00156422j 0.0537693-0.0553496j -0.0669246+0.0181081j 0.0689111-0.0163584j -0.0437442-0.0343052j 0.0434462-0.0172403j -0.0354132-0.0782979j 0.11215-0.00209287j -0.118829+0.0328195j 0.0350251-0.01896j -0.0803511-0.0428022j -0.143388-0.109862j -0.124168+0.0229396j 0.0625579-0.046781j -0.0467841-0.0707252j -0.0325583+0.0817421j 0.0329285+0.0212794j -0.0699004+0.0456844j -0.0465558+0.0561887j 0.00706122+0.101302j 0.00633522+0.00920238j 0.0599354-0.0127339j 0.00522018+0.039464j -0.0791213+0.0798504j -0.00733386-0.0327022j -0.0220223-0.00592453j 0.0184466-0.00756007j -0.00218146-0.0946962j 0.0864483+0.023898j 0.0286337+0.104525j 0.214738+0.166621j -0.0337317-0.196823j -0.0826033-0.0936278j -0.133909+0.130447j 0.144413-0.0211504j 0.116658+0.212722j -0.16414+0.0626527j 0.0799309-0.0396232j -0.0155403-0.0619466j -0.0315483-0.0319154j -0.0215419-0.00331161j -0.0185836+0.0433906j 
-0.050916+0.0191679j 0.0343646-0.0097786j 0.00697642+0.0179201j -0.0798923+0.104868j -0.135329+0.0649862j -0.0118145-0.0632708j -0.0557338+0.00445386j 0.0847301+0.0130124j 0.0864846-0.0581199j 0.000246483-0.0308642j -0.147665-0.00635997j -0.0333097+0.048625j 0.0854262+0.0350366j 0.0583216-0.0400274j -0.0153955+0.0124258j -0.0375047-0.0254378j -0.13341-0.0571018j -0.105356+0.0678081j -0.0591456-0.0614906j -0.0534526+0.0931114j 0.0276578-0.0170243j 0.0615002+0.0245595j 0.0703079-0.014356j 0.0605937-0.0120898j -0.0235746-0.0132139j 0.044696+0.0510077j 0.0474249+0.0169968j -0.0128751+0.0662324j 0.0929565+0.054299j 0.0423681-0.120112j 0.0453984-0.0698582j 0.0550031+0.00735766j -0.00546063-0.121204j -0.0291393-0.0510509j -0.00583967-0.0522265j -0.0885642-0.0596998j 0.0147677+0.00717043j 0.0292778-0.0728287j -0.0615388+0.0679682j -0.159482-0.0105157j 0.154277+0.125851j -0.0283109-0.10924j 0.170582+0.0564908j -0.0813217-0.106682j 0.0725926-0.0625844j -0.111947+0.12842j -0.137087+0.0207839j -0.00821142+0.0063715j 0.06484+0.046619j 0.0195836+0.0265474j 0.0550824-0.0151183j 0.0119724+0.0829686j 
-0.0993829+0.00576196j 0.0467807+0.0538781j -0.0975066-0.0284043j 0.00637729+0.0640941j -0.07264+0.0400353j 0.0302562-0.0152383j -0.0143245-0.024818j 0.131107+0.0480112j 0.0621143+0.0884974j -0.0560386+0.0835441j -0.0738338-0.025875j 0.0391644+0.0326771j 0.0161475-0.0706078j 0.0287606-0.0367392j 0.047663-0.000874034j -0.0146049-0.0260284j -0.00462131+0.0749049j 0.058197+0.00915837j 0.0970876-0.00266987j 0.0238841-0.035534j -0.00869914+0.00695274j 0.0719366-0.0496269j 0.0492786+0.0141326j -0.0670535-0.00461j 0.0952282+0.110017j 0.0455864+0.0604813j 0.0507211+0.0239382j -0.104332-0.00101819j -0.0623846+0.0134996j 0.0255958-0.0403756j -0.0559878+0.0112175j -0.012797+0.0361262j 0.0451809-0.0328142j -0.0602926+0.0767362j 0.0623583+0.0074313j -0.00833401+0.0289142j 0.0169603+0.0519676j 0.0827537+0.156091j 0.0716059-0.014211j 0.100937+0.0744752j -0.00823017+0.00940786j -0.0876636-0.0976917j 0.00392108+0.0054417j 0.166608+0.0879814j -0.0977433-0.0182052j -0.0533763+0.0970016j -0.0485555-0.0848109j -0.015806+0.152601j 0.0221468-0.127783j -0.00373332+0.00307318j 0.03088-0.0508755j -0.0233637-0.0394818j 
0.07908-0.0206859j -0.111575-0.077151j -0.0522157-0.0273773j 0.0458485-0.0304838j 0.206387+0.0347144j 0.0525163+0.0503022j 0.0648456+0.078201j -0.0815486-0.0668602j -0.0564822+0.00387066j -0.0404306-0.00334343j 0.136147+0.00153306j -0.0334083+0.0371997j -0.15951+0.0672739j 0.141719+0.000794502j 0.177137+0.0198263j -0.00535528-0.0170419j -0.0232374-0.00871911j 0.0137068-0.0123278j -0.0670071-0.00805651j 0.0869573+0.00397165j -0.026434+0.0597966j -0.140631+0.00141222j -0.011208+0.0316815j -0.077829+0.0569946j 0.0965735-0.0672665j 0.00218637+0.0553785j 0.0657222-0.036961j -0.0128918+0.0540042j 0.0174786-0.034312j 0.0714562+0.00764216j -0.03696-0.10503j 0.01911+0.0046052j 0.0517228+0.0654692j 0.0170259-0.019137j 0.00260795-0.0417817j 0.13539+0.0464613j -0.0174546+0.0372567j -0.0720944+0.0263738j -0.0013542+0.037425j 0.00156508-0.033897j 0.0243975+0.0668558j 0.00602447-0.0311081j -0.0130091+0.0345459j 0.0326221+0.0161208j 0.0324524+0.0883349j -0.100125-0.114236j -0.00108291+0.0265607j -0.0269269-0.036849j 0.105796-0.0341797j 0.0194501-0.0332543j 0.0814315-0.0512838j -0.00771569+0.133917j 
0.0102178+0.0309091j -0.00762338+0.0393009j 0.0308278+0.0683831j -0.034684+0.084779j 0.0783927-0.142557j 0.0539869+0.0274393j 0.00922803-0.0606722j -0.0212757-0.0729274j -0.0736287-0.00647679j -0.0565867+0.0451024j -0.114646+0.0238681j -0.0343978+0.0378335j 0.0722573-0.0340387j 0.0477691+0.017431j -0.0170939-0.0772761j 0.0182801+0.0480459j 0.119293-0.00806994j -0.00355293+0.0661814j 0.0553781-0.0901013j -0.0549703+0.136864j 0.0598474-0.00994783j -0.109055-0.0427403j -0.0350296+0.0628318j 0.087494+0.0796582j 0.0879559-0.0668572j -0.228247+0.0719574j -0.00729218-0.0211459j 0.0923442+0.0728315j 0.0992356-0.0563591j 0.0187423+0.00309489j 0.101086+0.0295298j 0.0636509+0.0933613j -0.052567+0.0384651j 0.104563-0.0441839j 0.0409018+0.0554479j -0.0667536-0.0806269j -0.0283984+0.109211j 0.0736008-0.19054j 0.02319+0.166833j 0.0790232+0.154567j 0.0383269-0.0215557j -0.0553115-0.061085j 0.056568+0.19881j 0.0760093-0.0603548j -0.031594+0.0499378j 0.0485979-0.0540445j 0.0800991+0.120869j 0.0562978-0.0280636j 0.0675768-0.0156329j 0.0173127-0.025768j 0.02795+0.086733j -0.0185045+0.0257773j 
0.0443114+0.0309047j 0.0822007-0.0638197j 0.165659-0.0229582j -0.0750178+0.0560687j -0.180914+0.0539379j -0.115029-0.0818458j 0.0202038+0.0735144j -0.0429351-0.0104256j 0.0296512-0.0474485j 0.0107879+0.0201649j 0.0308696+0.0352542j 0.0960726-0.0866708j 0.104649-0.00773178j -0.0708226-0.0198187j 0.121186-0.0458457j -0.125286+0.0770016j -0.0506719+0.00263509j -0.011628+0.103334j 0.0228476-0.00290539j 0.0932501-0.0800793j -0.0433079+0.0402727j 0.0326752-0.0162046j -0.104389+0.018977j -0.0152976+0.000163804j 0.0247334-0.0693018j -0.0399759-0.0573801j -0.027239-0.0444204j 0.100619+0.037114j -0.0592941+0.12095j -0.0130605+0.0603581j -0.0144871+0.116743j 0.009347-0.0919001j -0.174955+0.0812233j -0.0914809+0.105319j -0.0313539-0.000975524j -0.0729233-0.0956184j -0.0319083+0.012j -0.0353484-0.0751531j -0.0428291+0.100719j -0.0314515+0.182112j -0.022925-0.12329j -0.0481764+0.105641j 0.0936281+0.0638372j -0.0111223-0.0352668j 0.0164336+0.166242j -0.0375221-0.093837j 0.0457194-0.0690537j 0.0112926-0.00645762j -0.0884567-0.0228248j 0.0662971-0.000957216j 0.00157969-0.0348469j 0.0204188-0.0234459j 
-0.0140396+0.0264984j -0.0673254+0.0113135j -0.0592549-0.0256647j -0.177706+0.0398915j 0.0412447+0.024093j 0.0933351+0.0606675j 0.0548778-0.0706024j -0.0134462-0.0063443j 0.0193296+0.0784781j -0.00245751+0.0484699j 0.0879784+0.0782658j -0.0301031-0.0301572j -0.0101009-0.0426536j 0.0535085-0.0568789j -0.0077397+0.148289j 0.0414038+0.0506173j 0.0670291+0.122328j -0.0412365+0.00817894j 0.0696489-0.135474j 0.0156405-0.0381418j 0.108028+0.00887018j 0.0528958+0.0405811j 0.0196533-0.0398086j -0.0829746+0.0141037j 0.0400832+0.0954954j 0.0831112-0.00991178j 0.0575215+0.0682272j -0.0230216-0.149439j 0.0591124+0.0167997j -0.0714243+0.0345786j -0.00518756-0.0521217j 0.0104274+0.0702342j 0.0113728-0.0288239j -0.07043+0.133637j -0.0586592-0.0584039j -0.032325-0.0286808j 0.0779414+0.0188173j -0.0369938-0.0418863j 0.0905374-0.00364058j -0.112888+0.0366705j -0.00795981-0.054962j -0.00926642-0.00886705j -0.0157654-0.0293325j 0.00402388-0.0768796j -0.00939154+0.0773753j -0.0580188+0.0979587j -0.0327789+0.0632093j 0.077393+0.0136737j 0.0418321-0.0534006j -0.0398897-0.0286548j -0.0156359+0.0384324j 0.0484536+0.0284141j 
0.0540827-0.0324107j -0.0120342-0.0206749j 0.0934132+0.00708596j -0.0614607+0.0746804j 0.0594386+0.0483087j -0.0373625+0.00632964j 0.118819+0.0791589j -0.126595+0.129159j -0.0787436+0.055202j -0.00049479+0.0141865j -0.0325427-0.106679j -0.000692365-0.00472346j -0.115603-0.0129534j 0.0167396-0.0659258j -0.0167511+0.0815871j 0.0576329+0.056408j 0.0114056-0.0752059j 0.0247098-0.0541491j 0.0401334-0.078925j -0.065238-0.0372204j -0.00734591-0.0268223j 0.0483453+0.040896j -0.0368997+0.209437j 0.0298682-0.0319901j 0.0318957+0.129669j 0.0736648-0.0820261j 0.0953809+0.0309532j -0.0846468-0.026226j 0.0444218+0.00187953j -0.0652944-0.0259775j 0.150004+0.0284679j -0.00333475+0.0942584j 0.0150374+0.075556j -0.0172302+0.030725j -0.109563-0.100892j 0.0353148-0.110753j 0.0133978-0.0303069j -0.0938875-0.085531j -0.229878-0.073505j -0.0781544+0.100199j -0.0403682+0.154499j 0.0763593-0.112581j 0.0324935+0.0349004j -0.0510633+0.107268j 0.0906715-0.0507465j 0.0521817+0.0105065j 0.00645132-0.0725177j -0.0174203-0.0540947j 0.0138441+0.0591368j 0.0222523+0.00741199j 0.0234252+0.0401755j 0.00794142-0.0368638j 
0.0183951-0.0130987j 0.0339911-0.0401421j 0.0551476-0.0431141j 0.106426-0.00787823j 0.0185207+0.027461j 0.0357981+0.00995098j -0.0239944+0.0122073j 0.0122388-0.011226j -0.0610109+0.0139245j 0.0213746+0.0426652j -0.0852998+0.0830114j 0.136781+0.0699551j -0.102854+0.0520432j -0.0649486-0.104743j 0.123077-0.0304804j -0.0525563+0.0102112j 0.0330907+0.0371645j -0.0663853-0.00580597j 0.19756-0.0594647j -0.0762586+0.0536524j -0.146742+0.0933813j -0.0996569-0.0470886j -0.0942251+0.0981732j 0.0480267-0.0132836j -0.0568713+0.0668669j 0.0308556-0.110858j 0.180894-0.113289j 0.119352+0.0395418j -0.00484749-0.0165194j 0.0324813+0.0711346j -0.00300071-0.034957j 0.042374-0.107845j -0.0390423-0.00124747j 0.0670949-0.0956124j -0.085834+0.110027j 0.0713066+0.0210482j 0.0462554+0.0481559j -0.0326621+0.0527362j 0.0533262-0.0504627j -0.0429233-0.0573234j -0.0256408-0.00192079j 0.0455235+0.0653989j -0.0288647-0.0646542j -0.0560676+0.0839824j 0.00147162-0.0187422j -0.0912813+0.0604556j 0.0766982-0.0610592j 0.0134516-0.0533329j -0.0410774+0.0229767j 0.0222393+0.0417826j -0.00835273-0.0237692j 0.0220063-0.0276334j 
-0.000926754+0.0206249j -0.00599874-0.018824j -0.127986-0.11391j -0.0135574+0.0299206j 0.0564587+0.038541j -0.014906+0.0204205j 0.0571391-0.032031j 0.00525139+0.037028j 0.0749821-0.0672059j 0.158596+0.0674488j -0.011124+0.0276144j 0.0527345+0.00604089j -0.0433781+0.0620582j 0.190348+0.0595008j 0.0306326+0.095578j 0.053767-0.0249718j 0.00930105-0.0608018j -0.0590345+0.0359634j -0.0828051-0.0245384j 0.0458117-0.10566j 0.0448205-0.00656309j 0.079034+0.0856493j -0.0702271-0.0118909j 0.0183722+0.0490344j -0.0983648-0.00674698j 0.0497998+0.02272j -0.0481016-0.0415471j -0.0492489-0.000778888j -0.0126288+0.0486089j 0.00490294+0.0156369j -0.0591519-0.0132322j 0.0716974+0.0820366j 0.107378+0.00785979j -0.0338794+0.0193749j -0.0222795+0.139642j 0.122221-0.0398912j 0.0522536+0.150599j -0.074775-0.127594j 0.0771097+0.0730163j -0.0596047+0.178675j -0.0976656-0.0955231j -0.0447839+0.0445404j 0.102612+0.0893551j -0.0321817-0.0958745j -0.0210599-0.0335239j 0.0393827-0.0230127j -0.0015938+0.0301819j -0.0123021+0.0142493j -0.0591233-0.0194793j 0.0135136-0.00159027j -0.045207+0.0915242j 0.0605568-0.0899064j 
-0.00812727-0.0129485j 0.0350551-0.0591901j -0.0702626-0.0648125j 0.092698-0.0160248j -0.0310537+0.041303j 0.0627854+0.0439617j 0.075371+0.079929j 0.092858-0.0123177j -0.0269172-0.0863991j 0.0626534+0.113253j 0.0611601-0.0595175j 0.0730363+0.103357j -0.0644356-0.0329179j -0.124474+0.0332974j 0.0503387-0.0190026j -0.0726749-0.0447006j 0.0367947+0.0302527j -0.0164322+0.00736711j 0.0689367+0.0126938j -0.0733847+0.201968j 0.0274768-0.0166712j -0.0574987+0.0522662j -0.171719+0.0523153j -0.0909318+2.43362e-05j 0.0398003-0.0207356j 0.0636135+0.104464j -0.025417+0.0374244j -0.0194243+0.0121494j -0.0709347-0.0369691j 0.0756224-0.0498483j -0.00378433-0.0134165j 0.0027661-0.0030959j 0.0652589+0.0524892j 0.00962045+0.0284233j -0.063424-0.231117j 0.00594343+0.101782j -0.0448071-0.0816054j 0.0201087+0.0373423j -0.040591+0.156435j 0.0150309-0.0467906j 0.0118055+0.0662524j 0.0384419-0.0188758j 0.00130415+0.0789608j -0.0408552-0.0157085j -0.0361425-0.0105078j -0.071305-0.0489398j -0.0171121-0.0153959j 0.0659142+0.0538166j -0.00678081-0.0461111j -0.0227023-0.00876087j 0.0177108-0.0228366j -0.0858575+0.0745929j 
-0.0363137+0.00368305j 0.123347-0.102242j -0.0678699-0.0547496j 0.131108-0.104058j -0.0462765+0.0414485j -0.0244436-0.0398401j -0.00184608-0.00406857j -0.0128544-0.0235391j 0.213395+0.0378845j -0.0442973-0.00401264j -0.0642321-0.0310812j 0.00451958-0.11079j -0.0471772-0.00478671j 0.0928834+0.0494739j -0.006977+0.0582158j -0.00880187+0.0762935j -0.100857-0.0473416j -0.0523445+0.0796046j -0.131312-0.043072j -0.0717615+0.0540794j -0.0349984-0.0541733j -0.0837395-0.0960679j 0.0479501-0.0621024j 0.0221205+0.0841658j 0.0910688-0.0636303j -0.0350781-0.0283134j -0.0113899-0.0613111j -0.0162393-0.0505869j -0.0782459-0.00741602j -0.0163338+0.0477582j 0.0083497-0.0376544j 0.0523301-0.0555141j 0.0733895-0.0225713j -0.0502466-0.0163362j 0.0691517-0.0161831j -0.0022433-0.1136j -0.0312672+0.110875j 0.055233-0.064763j -0.0978251+0.0448542j 0.126029+0.0623656j -0.0212564+0.147761j -0.0239711+0.0656695j -0.141197+0.0389199j -0.00645799+0.0214587j -0.0508494-0.0979649j 0.00895955+0.0827731j 0.0704845-0.0459214j 0.0477898+0.0314825j -0.0417795+0.0307077j -0.00221605+0.0477853j 0.0208092+0.00249037j -0.00238166-0.0536411j 
-0.0677656-0.0169414j 0.103645+0.0457915j -0.095397+0.0397967j 0.0688914+0.0267571j 0.0242803-0.0468415j -0.00957681+0.00490341j -0.0784072-0.0829265j 0.104485+0.040597j -0.0645022-0.0889726j 0.0186523+0.0859947j 0.0423572-0.0213172j 0.0829755-0.0150253j -0.0538534+0.00819965j 0.0256933+0.0638464j 0.0802667+0.100904j -0.0612532+0.0742244j -0.0156003+0.0310935j -0.00719348+0.0342035j 0.00525725-0.00782811j 0.0418879+0.0415131j -0.161421-0.0297242j 0.136465+0.102645j 0.0246731-0.0437108j -0.024209-0.0134652j -0.0547283+0.00190209j -0.101205-0.0486405j 0.0172941+0.0622721j -0.053483+0.0347159j -0.037949+0.148437j -0.0600132+0.0923486j 0.0605812-0.0256476j 0.00892123-0.105826j 0.0581665-0.0249755j -0.0707432-0.0652697j -0.0671616-0.0181157j 0.00061019+0.0468107j -0.0264287+0.105346j -0.0424829-0.0457838j -0.113373+0.0494966j -0.0418561+0.00288983j 0.00277147+0.00679487j 0.0184207-0.164473j -0.0514147+0.0952545j -0.138884-0.0822438j -0.178059-0.0518617j -0.0422712+0.00377703j 0.00178207-0.0395701j -0.0324059+0.019876j -0.0904634+0.00454206j -0.0108732+0.00797927j -0.0275397-0.0252318j 0.0392116+0.0399237j 
