-0.139949-0.328373j 0.336238-0.143993j 0.0997308-0.184966j -0.270369-0.0907103j 0.120194+0.163077j -0.0285575+0.139371j 0.0259613+0.0428823j -0.0162137+0.137816j -0.0271632-0.16097j 0.04204-0.050718j 0.0960727+0.0535804j -0.0100198+0.0076132j -0.0175324+0.0713299j 0.144858-0.164677j 0.0150414-0.0622663j 0.0266654+0.0116667j -0.116438+0.135482j -0.177181+0.0223081j -0.257736-0.116148j 0.0528891-0.205677j 0.263026+0.215253j 0.213566-0.260686j 
0.00674476-0.00675668j 0.00702042+0.00727312j 0.0129218+0.00714896j 0.00552388-0.0163692j 0.00400357+0.015473j -0.0173648+0.015623j -0.00854243+0.0170109j -0.0271227-0.00791577j 0.00843428+0.0191425j -0.0136335+0.0159799j 0.0111258+0.00233442j -0.00646022-0.00426709j -0.00722711-0.0156314j -0.0265598+0.00798959j -0.016236-0.011598j -0.00431765-0.0200116j -0.00106523+0.0252401j -0.0212594+0.00791982j -0.00492438+0.0131975j -0.0189035-0.00461454j 0.0049409-0.00975508j -0.00943683-0.00463817j 
0.00512767+0.0101532j -0.00980732+0.00103218j 0.00320277-0.0165458j -0.0136142-0.00370892j -0.00207785-0.00422291j -0.0175323-0.000264285j 0.00775046-0.00406626j -0.00610966-0.00167587j -0.00974934-0.000565171j -0.000725964+0.0170391j -0.00463537-0.00255581j -0.00248531+2.27189e-06j 0.0135198-0.0126254j 0.00240198+0.00574903j -0.0118877+0.000227055j 0.00799294+0.00400616j 0.021496+0.0144151j -0.00361262-0.00858512j -0.0164805-7.8818e-05j 0.0122446-0.0243447j -0.0119661-0.000606364j -0.0017914+0.0101537j 
0.0102333-0.00524951j 0.00795696+0.0119216j 0.0121446+0.0159152j 0.0115952-0.00772052j 0.00670829-0.0039361j 0.0187057-0.00828829j -0.0132218+0.0105352j -0.00788347+0.00689375j 0.00327555+0.00343742j -0.00496336-0.00739403j -0.000204354-0.00257568j 0.00114526+0.0173145j -0.00955273-0.0121209j -0.0220439+0.0122232j -0.00141485+0.00158261j 0.000792758-0.00844162j 0.0116943+0.0223381j -0.000122143+0.0197809j 0.00586175+0.00815261j -0.00278333+0.016655j 0.00929336+0.00021118j 0.00204504-0.0092766j 
0.0161126+0.00876582j -0.00950278+0.0126656j 0.00819386-0.0175863j -0.00813218-0.00696308j 0.00415549-0.0124523j -0.00713799-0.00120226j -0.00255308+0.00310132j -0.00534662+0.00225168j -0.00757632+0.00819859j 0.00577817+0.00658893j -0.00106112-0.00319818j -0.000409506+0.0118409j -0.00321256-0.0202499j -0.00739002+0.00888148j -0.0109304+0.00307756j 0.0119312+0.00115864j 0.0276062+0.0121898j 0.000122347+0.00524881j -0.00643593+0.00532886j 0.00188483-0.00968649j -0.00603559+0.000299544j -0.0010777+0.00498875j 
-0.000253006+0.00413803j -0.00542157-0.00217713j 0.00822081-0.0117487j -5.36335e-05-0.00896908j 0.00331492-0.00878846j -0.010073-0.00183466j 0.000373084+0.00149875j 0.00275125-0.00426644j -0.00562803+0.00159325j 0.00390789+0.00272323j 0.00356133-0.00126595j -0.000120504-2.25267e-05j -0.000942742-0.00421499j 0.000303675-0.00279359j -0.000967571-0.00435474j 0.00280267+0.00333548j -0.000147412+0.000179077j -0.00250704+0.00141749j 0.000887202-0.00726953j 0.000670209+0.000832525j -0.000785101-0.00157592j -0.0028337+0.000337468j 
-0.00573748-0.000441917j -0.00115271-0.00629197j 0.00279271-0.0067621j -0.00106361-0.00928918j -0.00105335-0.00188806j -0.0137671+0.00257501j -0.00107769+0.00289281j 0.00236643-0.00711873j -0.00188619+0.00329562j 0.00350844+0.0053422j -0.00237861-0.0041888j 6.88409e-05-0.00144519j 0.000973247-0.00302488j 0.00342623-0.00604833j -0.00389234-0.00354859j 0.00191112+0.00457993j -0.000875867-0.000761095j 0.000810697+0.000223907j -0.00405444-0.00529294j 0.00219278+0.0016406j 0.000693816-0.00010967j -0.00149238-0.00052556j 
0.00549677-0.00015624j 0.000119827+0.00692864j -0.00466457+0.00762285j 0.00167533-0.000130988j -0.00248449+0.00834788j -0.00370255-0.000742502j -0.00525907+0.00479571j 0.00146333-0.00132815j 0.00462466+0.0101502j -0.0125886+0.00823555j -0.0137064-0.00810123j -0.00305232-0.00499098j -0.00377691-0.00166323j 0.00210319-0.00733776j -0.00696138-0.00749587j -0.00356521-0.00402766j 0.00562325-0.00732139j 0.00686701-0.00402583j -0.00245427+0.00755564j 0.00246621+0.00421862j 0.00101354-0.00811833j -0.00862895-0.00037677j 
0.00386514+0.00731643j -0.00697563+0.00200971j 0.0077664-0.00808848j -0.00132263+0.000244805j 0.0062704-0.0111133j 0.00303012+0.000258708j 0.00632137-0.00104351j -0.00598725+0.000121782j -0.00808626-0.00932899j 0.00886027-0.0102281j 0.00987463+0.015395j 0.00509081-0.00196024j -0.00347292-0.00520318j -0.00992821+0.0051905j 0.0128594+0.00401299j 0.00391172-0.00426011j -0.00466725+0.000272546j -0.00927746+0.00208393j 0.00738243-0.00108872j -0.00670478-0.00565453j -0.0010548+0.00264496j 0.00328581+0.000663883j 
-0.00205475-0.00303223j 0.0022727-0.00271167j -0.00621108-0.00846942j -0.00946773+0.00274013j -0.00130598+0.0115338j -0.0155-0.000191861j -0.00608741+0.00654469j 0.00022252-0.00163478j 0.00015123-0.0123964j 0.0124064-0.00467095j 0.0120975+0.00599377j 0.016638+0.00626697j 0.0129753-0.00399244j 0.0083766+0.00901623j 0.0116056+0.0150891j 0.00278949+0.0103004j -0.00576986+0.0152321j 0.0010032+0.00863052j -0.00801243-0.00589706j -0.00628276-0.00241037j 0.00345902+0.00280986j 0.00316908-0.00410721j 
-0.0058732+0.00048494j -0.00229592-0.00563758j 0.00148796-0.00478143j -0.00178775-0.00825877j 0.00324118+0.00235968j -0.0131219+0.00579597j -0.00630838+0.00695683j 0.00230987-0.00840498j 0.00179368+0.00605268j 0.00729817+0.00595997j -0.00714267-0.00533793j -0.00061073+0.00179645j -0.000401625-0.00683665j 0.00241094-0.0102136j -0.0070319-0.000376397j 0.0037624+0.00762214j 0.00147787-0.00183131j 0.00477436+0.00112311j -0.00437359-0.0013036j 0.00224196+0.00523082j 0.000922138+0.00320141j 0.0016052-0.00018407j 
0.00393172+3.68745e-05j -0.00139074+0.00448767j -0.00537796-0.00840609j 0.000861757-0.000943339j 0.00371486-0.00653002j -0.00277741-0.00223913j -0.00238465+0.0129155j -0.000689556+0.00225138j 0.00353198+0.00500667j -0.00700966-0.0140227j 0.00768225-0.00872711j 0.00502019+0.00526947j -0.00793225+0.00171146j 0.00211189+0.00178942j 0.00175004-0.00260716j 0.0135322+0.00211873j -0.00426013+0.00280343j 0.00794198-0.00406713j -0.00433764-0.00124051j -0.00284401+0.00213386j 0.000396348+0.000321711j -0.000128969+5.52738e-05j 
0.00512821+0.00730328j -0.00700742+0.00471716j 0.00434053-0.00391341j 0.00220781+0.00638239j 0.0126343+0.00205092j 0.0110486-0.0043289j -0.00852309+0.00241488j -0.00476582+0.00535887j 0.00313767+0.0173966j -0.0122111-0.000781779j 0.00126397-0.00181733j -0.018512-0.00395499j -0.0141992+0.00203961j -0.006424-0.00447258j -0.0114023-0.0141608j -0.00560534+5.12146e-05j -0.0016263-0.0160389j 0.00530139-0.00763665j 0.00696318+0.00332837j 0.002571-0.00158442j -0.00381149-0.00155626j -0.00198254+0.0040001j 
0.00141347-0.00201121j 0.0028094-0.00062936j 0.00567637+0.00337382j 0.0128696+0.00326803j 0.0171168-0.00323504j -0.00487279-0.00971021j 0.00289323+0.00919543j 0.00535066+0.00614985j 0.00272712-0.00526418j -0.00833387+0.00306629j 0.00490009-0.00511518j 0.00287298+0.00239463j 0.00346035-0.00275326j 0.00911851+1.11379e-05j 0.00437501+0.000871742j 0.0105259+0.00280267j 0.00189875+0.00115801j -0.00155475-0.0144468j 0.00720629+0.00543274j -0.00807976-0.00210218j 0.00157662+0.000934724j 0.000590736-0.00305909j 
-0.00130438-0.00181543j 0.00264234-0.000262479j -0.00454278+0.00670837j 0.000951207+0.00914988j 0.011093+0.018888j -0.00265952-0.00193823j -0.0125358+0.0138696j -0.00130923+0.00161193j 0.0102942+0.00167947j -0.00107877-0.00239833j 0.00149798-0.00194432j 0.00293704+0.00589323j 0.00375564-0.00269403j 0.0060198+0.000690013j -0.000773966+0.00670673j 0.00354453+0.0120475j -0.000785355+0.00349139j 0.0125938-0.00446093j -0.00501491+0.00563319j 0.000469072-0.000932147j 0.00172938+0.00117675j 0.00156753-0.00181841j 
-0.00718811-0.00204644j 0.0026424-0.00751134j -0.0104472-0.00671596j -0.00476726+0.000116712j 0.00551865-0.0141289j 0.00499054-0.0125359j -0.00604875-0.000190036j -0.0189527+0.0176622j -0.00203531-0.00369632j -0.0145119+0.00553427j -0.0311187-0.00243803j -0.0298896+0.000771288j -0.00729669-0.0111409j -0.00996983-0.00117872j -0.0082368-0.00799168j -0.0075874+0.000681259j -0.00696893-0.0138658j -0.00577743-0.00922509j -0.000907844-0.000344206j 0.00785511-0.00603302j 0.00271825+0.00694717j 0.00667093-0.00171102j 
-0.00485532-0.00049283j 0.000116013-0.00455559j -0.0117571+0.00423849j -0.00102347-0.00275042j -0.00512873-0.00174655j -0.0116627-0.000273361j -0.00173001+0.00633321j -0.0159972+0.0170107j -0.015232-0.0125669j -0.00735137-0.0128637j -0.004105+0.000577082j 0.000656216-0.00553939j -0.00371835-0.0210277j 0.0103696+0.01561j 0.0239698-0.0065044j 0.00393921+0.00394996j -0.00240157+0.0116166j 0.00430209+0.00411304j -0.00313667+0.000191094j -0.00818212+0.00967383j -0.00339655-0.00282223j -0.00246675+0.0028284j 
-0.00109664-0.00129693j 0.00134536-0.000484037j -0.00112142+0.00448731j 0.00060916-0.00139997j -0.00188662+0.00190333j -0.00177998+0.00233305j 0.000164101+0.000100143j 0.00167811-0.00290991j 0.00119325-0.0011646j 0.00204042+0.00360535j -0.00563172-0.00159715j 0.00211427+0.000384643j 0.00259493-0.00183641j 0.000789247-0.00295481j -0.0007806+0.00226232j 0.000305037-0.000441543j 0.00311262+0.00124559j 0.000222557+0.000666255j -0.00153925+0.00113799j 0.0021373+0.00210702j 0.000632225-0.000633172j -0.000714357-0.000399114j 
0.0024587+0.0033261j -0.00562007+0.00342195j -0.00713491-0.0107266j -0.0046518-0.00187302j 0.0120052-0.00302051j -0.0129254+0.00813362j -0.00377106+0.0204977j 1.83513e-05-0.0039445j 0.00929186+0.00629758j 0.00574114-0.00441136j -0.00546356-0.00398157j 0.00123616+0.00801019j -0.00750787-0.00491453j 0.0013901-0.00949994j -0.00576086+0.00461035j 0.0185501+0.012813j -0.00501614-0.003098j 0.0128225-0.0104673j -0.00431059+0.00305594j 0.0012611+0.00405726j 0.00193697+0.000218629j -0.00113647-0.000363493j 
0.000172345-0.00204047j 0.00293075+0.0021262j -0.00585002+0.0144984j -0.00362132-0.000368567j -0.00631082+0.0125347j -0.00714768+0.00695052j 0.000625957-0.000196812j 0.00606596-0.0102997j 0.00422201-0.00489762j 0.0050137+0.0153789j -0.0213937-0.00163993j 0.00881997-0.00174869j 0.0131521-0.00587635j 0.00221374-0.00933423j -0.00282775+0.0100974j -0.00108046-0.00146731j 0.0125279+0.00548649j 0.00447703+0.000748154j -0.00296272+0.00995401j 0.00628265+0.00855984j 0.00317087-0.000238431j 4.44762e-06-0.00253071j 
-0.00118034+9.22586e-08j 0.000300183-0.00177647j -0.00408211-0.00488947j -0.000210617+0.00893289j 0.0165456+0.00740852j -0.00306262-0.00725632j -0.0101536+0.0156081j -0.00637486+0.0112709j 0.00585083+0.000912337j -0.0071209-0.00764355j 0.0060543+0.000233295j -0.00474718+0.00583882j -0.00371494-0.00298845j 0.00512117+0.00470826j 0.00124752+0.00047175j 0.00632437+0.0124088j -0.00836421-0.000522628j 0.00846125-0.00980236j -0.00179259+0.0025933j -0.00384346-0.00545304j 0.00119147+0.00363199j 0.00373079-0.00156598j 
0.00963232+0.00570097j -0.00545556+0.0104765j 0.0102791+0.00390651j 0.00641729+0.00185431j 0.0112718+0.0086343j 0.00539904+0.00482441j -0.0033492+0.00618783j 0.0108033-0.0193793j 0.0137622+0.012329j 0.00737071+0.00237536j 0.00577111-0.00659522j 0.00926305+0.00153702j 0.00277583+0.00541047j -0.00477728-0.011529j -0.0101962+0.0066102j 0.00619987+0.00157881j 0.0102406-0.00352169j 0.0112853-0.00330374j 0.00537908+0.00700477j 0.00393814+0.00595217j -0.00183216-0.00538545j -0.0057712+0.00214285j 
0.00174875+6.57274e-05j -0.000975892+0.00386887j -0.00995028-0.00682051j -0.0108874-0.000492416j -0.0144653+0.00566853j 0.00439449+0.00178051j -0.00824965-0.00379069j -0.00595572-0.00487407j 0.00256223+0.00820831j 0.000352668-0.00759086j -0.000442013-0.00531859j -0.00177676+9.31161e-05j 8.66596e-05+0.00580318j -0.00568793+0.00409561j -0.00643493-0.000424296j -0.00774561+0.00204706j -0.00269128+0.00181565j 0.00973729+0.0121979j -0.0114411-0.00404443j 0.00538966+0.00142377j -0.000517808+0.000405914j 0.000690714+0.00169766j 
0.00117366-0.00249267j 0.00249235-0.000711772j 0.00507672-0.00192808j 0.00836148+0.000580803j 0.00286381+0.00213478j 0.00106561-0.0129501j -0.00568789-0.00587593j 0.00379331+0.00212149j 0.000175686+0.000637312j -0.00575023+0.00383925j 0.00760037-0.011507j -0.000722216+0.000216307j 0.00873168+0.00112638j 0.00700847+0.00361109j -0.00122551-0.000764654j -0.00524715+0.000837572j 0.00403813-0.000229612j -0.00313758+0.00278092j 0.000151745+0.00012723j -0.00995708-0.00431491j -0.00156741+0.00351253j 0.00290953+0.000105671j 
0.00563159+0.00280863j -0.0020172+0.00570132j 0.00905835+0.00439025j 0.0029829-0.000643051j -0.00652672+0.00243365j 0.00939005+0.00142798j 0.00503478-0.0120226j 0.00720505-0.0126451j 0.000904159+0.00576206j 0.00338108+0.00338793j 0.0052856-0.000739317j 0.00464139-0.00617369j 0.00576302+0.00934354j -0.00502792-0.0018088j -0.00474786+0.00092083j -0.00596563-0.00607807j 0.00834116-0.00222016j 0.00212569+0.00432773j 0.00508633+0.00409589j 0.000679276+0.00177839j -0.00223699-0.002384j -0.00200438+0.00192806j 
0.00908552+0.00257285j -0.00257406+0.00700625j 0.00543535-0.00972937j 0.00600904+0.00738154j 0.0105749-0.00298949j 0.00607529-0.00778717j 0.00312523-0.000100058j 0.00552784+0.00199267j 0.00380296+0.00514575j -0.00813939-0.00504018j 0.0245117-0.00636674j 0.000911425-0.000152127j 0.00171065+0.0132938j 0.00269054+0.00406656j -0.00287393-0.00282564j 0.00328532-3.72799e-05j -0.00350383+0.00101196j -0.00134142-0.00600753j 0.00366794-0.000213764j -0.00967477-0.00799049j -0.00132745+0.00433663j 0.00429311-7.10697e-06j 
0.011057+0.00603059j -0.00758498+0.0103675j 0.00699834-0.014464j 0.00173657-0.00474369j 0.00406153-0.00954299j 0.00446483-0.00212032j -0.00115026-0.000401709j 0.0042317-0.00895641j 0.00390044+0.00986176j 0.00253638-0.0053853j 0.0103192-0.00845716j 0.00113446+0.00071592j -0.00366324+0.00597261j -0.00619155-0.00334043j -0.00590254-0.00151788j 0.00297949-0.00076358j -0.000193321-0.00556776j 0.00312179+0.00308678j 0.00440166-0.00234895j -0.00417907+0.00383696j -0.00221162-0.00378307j -0.00472774+0.00248629j 
0.00880227+0.000337817j 0.00319433+0.00808169j 0.00492539+0.0179197j 0.0113601+0.0128769j 0.00472742+0.0108813j 0.0149283-0.0112263j 0.00170737-0.00734562j 0.00337211+0.00413583j 0.00491989-0.00409976j -0.0105023+0.00669508j 0.00287986-0.00275397j 0.00226573-0.00219793j 0.011679+0.00410199j 0.00283417+0.00643385j 0.00128098+0.00438078j -0.006163-0.00584608j 0.012354+0.0017111j -0.00145188-0.00600224j 0.00519885+0.010377j -0.0016165-0.0080534j -0.00424114-0.0061537j -0.00467209+0.00239581j 
-0.00581161-0.00557474j 0.00775014-0.005647j 0.000764923+0.0171512j 0.00608611+0.00319694j -0.00100777+0.00839057j 0.00288131-0.00525982j -0.00121581-0.00391829j -0.00114598+0.00534913j -0.000548192-0.00817045j -0.00354036+0.00757633j -0.0107227+0.00200747j -0.000869528-0.000734383j 0.00721846-0.00564685j 0.00425928+0.00286642j 0.00429944+0.00324153j -0.00553717-0.00152976j 0.00644445+0.000998803j -0.00245356-0.00208923j 0.001937+0.00575605j 0.00101153-0.00125888j 0.000394119-0.00164731j -0.000823612-0.00116453j 
-0.0102402-0.00273087j 0.00214318-0.00994431j 0.00182961+0.00192612j 0.00102361-0.00446244j -9.20993e-05+0.000275626j -0.00520988+0.00375555j -0.00147885+0.0027415j -0.000165212-0.000601724j -0.00240345-0.000149216j 0.00457203-0.000627487j -0.00137118+0.00351673j -0.000883774+0.00084025j -0.00355824-0.00252868j 0.00153768-0.00275j 0.0012327-0.00186705j 0.000721834+0.00331864j -0.00426274-0.000901128j -0.000581851+0.00149981j -0.000919472-0.00314197j 0.000791243+0.00212667j 0.00207079+0.0044122j 0.00404834-0.00173263j 
