-0.00835095+0.00204102j 0.0111986-0.00250786j 0.00269541+0.0171356j -0.0107929+0.0092422j 0.00986346-0.00350886j 0.00787487-0.00318762j 0.00227791-0.0148333j 0.0139838+0.0103128j -0.00895793+0.0131839j 0.00090739-0.0120116j 0.00473386+0.00332439j -0.00346567-0.000396645j -0.0107988+0.00553846j -8.92388e-05-0.00336279j 0.0104466-0.00276798j 0.0013002+0.000645957j -0.00279633-0.00102801j 0.00898724+0.00441048j -0.000805003+0.00658548j 0.0041978+0.00146595j -0.00553408+0.00402776j 0.00427032-0.00217091j -0.00396342-0.00529033j 0.00274175+0.00279711j -0.00276123+0.000961516j 0.00404191+0.00488101j -0.00428856-0.00480244j -0.000869562+0.0035266j 0.00153706-0.000760784j -0.00254072+0.010366j 0.00141321-0.00152439j 0.00457354-0.00775331j 0.000764045-0.00014644j -0.000915936+0.00879723j 0.00363458-0.00381307j -0.0104083+0.0103948j 0.0103931+0.00505355j 0.0114787+0.00827365j 0.0112169-0.00905147j -0.00963115-0.00960785j 
-0.000865567+0.000455407j -0.000446082-0.0077015j 0.000498034+0.0107048j -0.0145786-0.00129356j -0.00781355-0.00597682j -0.00359635+0.018562j 0.00676264+0.00309083j 0.00876156+0.00284451j 0.00441706+0.0106116j -0.00782866+0.00154488j 0.00194382-0.00842149j -0.0023599+0.00400584j -0.00464715+0.0129251j -0.0107331-0.00249547j 0.00814804-0.0104201j 0.0104745+0.00730068j -0.0130824+0.000304856j -0.000609603-0.00102108j -0.0220439-0.0061481j -0.010724-0.00306591j -0.00168058-0.0259044j -0.00601766+0.0106795j 0.0177363+0.0129972j -0.00255163-0.00504321j 0.000636161+0.000811945j -0.00498078+0.0087941j -0.00614603+0.00407998j -0.000198412-0.00864518j -0.00471107+0.00145623j 0.00616378-0.0286016j -0.00717137+0.00886735j 0.0124464+0.00556377j -0.00251558+0.00580977j 0.00485457-0.0110449j 0.00882044+0.00489126j 0.00913064-0.00155236j -0.00901255+0.00344436j -0.00140187-0.0046118j -0.00543473+0.00346252j 0.00304946+0.00569446j 
0.00548687-0.000532456j 0.000825854-0.00320291j -0.00465394+0.00117593j -0.00550809+9.49221e-05j -0.00736952+0.00546406j 0.000930565+0.0128871j -0.00402578+0.0115569j -0.00412462-0.0035693j 0.0101396-0.000854786j -0.0159426+0.00241717j 0.0126773-0.00864961j -0.0118843-0.00426517j 0.000105739+0.0166243j 0.00973367-0.0167434j 0.0125578-0.00373672j 0.00104712-0.00549273j 0.00117007+0.00280075j -0.00229458+0.00186557j 0.00807605+0.00231789j 0.00720049+0.0139385j -0.00239985+0.00634447j 0.000714734-0.00766623j -0.00965627-0.0150136j 0.000396438+0.000355474j -0.00620883+0.000787788j 0.00201773-0.00726179j 0.0190134-0.0118594j -0.00102449+0.00375875j 0.00260482-0.000120708j -0.00786988+0.0178126j 0.00178098-0.00882974j -0.00647865+0.00471642j -0.00513428-0.00443949j -0.00487795+0.00272525j -0.0048036+0.00370084j -0.0134861-0.00741948j -0.00234726+0.00194016j -0.00441725+1.8531e-05j -0.00282685+0.00353605j 0.00433332+0.00144438j 
-0.0219327+0.00408286j -0.0157666-0.00425493j -0.00604168+0.010738j -0.00666887-0.0113969j 0.00193018+0.00608344j -0.00136567+0.00279276j -0.00498099+0.00204004j -0.00654419-0.00652225j 0.0112179-0.000942674j 0.00270886+0.00422473j 4.9011e-05-0.00551253j 0.00387427-0.00671861j -0.000171435+0.00214663j 0.00173706+0.00227149j -0.00130165-0.00168029j -0.00160015+0.00289279j 0.000226118-0.00125804j 0.00645926+0.000873277j -0.00396737+0.00449002j -0.000225968-0.00833944j 0.00298625+0.00226802j 0.00418597+0.00139633j -0.00532514+0.00882311j 0.00437372-0.00282548j -0.00165692-0.000310806j 0.00363231+0.00159733j -0.0195677+0.00776178j 0.000989164+0.000274548j -0.000303679+0.000885963j 0.00071279+0.00230326j 0.000755039-2.81393e-05j 2.57795e-05-0.0167853j 0.00202188+0.00195731j 0.00853907+0.0027596j 0.000568459-0.00832654j 0.00394494+0.0144888j 0.0169788-0.000597238j 0.00973333-0.00551271j 0.00446488-0.0100534j -0.0063399-0.00644162j 
0.00774863-0.000457505j 0.00154881-0.00685211j 0.00269539+0.00655111j -0.00420162+0.000833847j -0.00442889-0.00387381j -0.00195808+0.00459483j 0.0010355+0.000463576j -0.00240385+0.00286334j -0.0079242-0.00242808j -0.00139204-0.00856412j -0.00137356+0.0126545j 0.00114459+0.0110028j 0.00148511-0.0136598j -0.00373774+0.00358456j -0.0080603+0.00241573j -0.0115309-0.00576591j 0.00474762-0.00719021j 0.0212592-0.00279776j -0.0113291+0.0191028j -0.0154538-0.0102518j -0.00316567+0.00535203j 0.00679695+0.00820475j 0.0100696+0.0157903j 0.00785231+0.000138423j -0.00271189-0.00374679j -0.0155059+0.0057387j -0.00549546+0.0140772j -0.000648956-0.00164779j -0.000401466-0.00389434j -0.00589291-0.0048018j 0.0011039-0.00206862j -0.00344073+0.00443419j -0.00541495-0.00166084j -0.000935073-0.000235996j -0.00212754+0.00291344j -0.00323834-0.00371194j -0.007813+0.00223995j 0.0012784-0.000575381j -0.00419746+0.00188239j 0.00198203+0.00552577j 
-0.000202137-0.000373024j -0.00070535+0.00967743j -0.00627192-0.0114321j 0.0126946-0.00346041j 0.0111174+0.00979611j 0.00224963-0.0172656j -0.0123514-0.000580375j -0.00540921+0.00224781j -0.00604826+0.00271699j -0.00934568-0.00666569j 0.000871105+0.0100069j 0.0024271+0.00649499j 9.72683e-05-0.00105218j -0.00491119+0.00726907j -0.00109922-0.00682561j 0.00388646+0.00196596j -0.00614267-0.000602005j -0.00206893-0.000332143j -0.0104845-0.00171525j -0.0123571+0.00616541j -0.00796515-0.0117582j 0.000782606-0.00985372j -0.00492782+0.0106007j 0.014548-0.0107486j -0.0128751-0.0129266j -0.0029436+0.00223642j -0.000193257+0.00130439j 0.0056338-0.00199131j 0.0100686+0.0233437j 0.00862481-0.00431392j 0.00563069-0.017439j 0.0106359-0.000310533j -0.00206112-0.0158275j 0.0103101-0.00505957j -0.0123411-0.00224662j -0.0036788+0.000608012j 0.00170396-0.00326498j -0.00261672+0.00524746j 0.00493654-0.000353593j -0.00199702-0.00566034j 
0.0137651-0.00252848j -0.000189498-0.00586358j -0.00440085+0.00718963j -0.00613088+0.00213436j -0.00112238+0.0105465j 0.00755198+0.0080921j -0.00484175+0.00734818j -0.00172152-0.00565487j 0.0132305+0.00332851j -0.0123196+0.00538169j -0.00410766+0.00856714j 0.0117576+0.00930255j -0.000650433+0.00093661j -0.00694069+0.0200504j -0.00904821-0.00151115j 0.00176028+0.00072815j 0.00262618+0.00302088j -0.00984462+0.00418876j 0.00517785-0.0105386j 0.0132291+0.00406734j 0.00720009+0.000691704j -0.00507876-0.00133669j -0.00872512-0.0118003j -0.000555098+0.00226255j 0.00207205+0.00502646j 0.00706688-0.00808441j 0.00845766-0.0110587j -0.000153653+0.003303j -0.00580321-0.00336998j -0.000765796+0.0116633j 0.00234884-0.000947441j -0.00459871+0.00219984j -0.00282012+0.00349778j -0.00032269+0.00472237j -0.00141644-0.00107326j -0.00755833+0.000450518j 0.000309715+0.00366241j -0.00212092-0.000860949j -6.86304e-05+0.00636332j 0.00715605+0.000212946j 
-0.0122602+0.0049831j -0.00985152-0.00606112j -0.00187334+0.00770656j -0.00271018-0.00272312j 0.00125438+0.0089348j 0.00383214+0.000570442j -0.00493905+0.00279675j -0.00973016+0.000980352j 5.58746e-06-0.00490923j -0.00521059-0.00603438j 0.00273545-0.00750427j -0.0121465-0.00130317j 0.00201512+0.0100346j 0.000167374-0.014155j 0.00908545-0.00611349j 0.00460481-0.00332599j -0.00476916-0.000653104j 0.0103209-0.00514338j -0.00357293+0.00800197j -0.0076404-0.00592838j -0.00313061-0.00695781j 0.00671313+0.00931946j 0.0118392+0.00388465j -0.00486074+0.00493982j 0.00804719+0.00290608j -0.00614113+0.00560385j -0.00276614+0.00702491j -0.00330899-0.00136874j -0.00835525-0.00364079j -0.00152913-0.00673305j -3.78065e-05+0.0124883j -0.000622477+0.00578377j 0.00640438+0.00722466j -0.00333649-0.0012081j 0.00933679+1.24517e-05j 0.0063441-0.00450339j -0.00223531-0.00121196j -0.00486369-0.00237002j -0.00320023+0.000979279j 0.000505781+0.00225488j 
0.0107447-0.00821795j 0.00850589+0.00368613j -0.00057773-0.0198434j 0.000913931+0.00526196j -0.0225211-0.00377059j -0.0013447+0.0197454j 0.0130879+0.00983873j -0.000152675+0.00327785j -0.00782356-0.00352402j -0.0134394+0.000399267j 0.0106003+0.0121992j -0.000512099+0.0106439j -0.00144067-0.00764855j 0.00390845-0.000248158j -0.00531403+0.00215526j 0.0044442-0.0082147j 0.00108024-0.00225139j 0.00382522+0.00148361j 0.00649279-0.00566539j 0.00703117-0.00139159j -0.00443905+0.000278584j 0.000381271-0.00157705j -0.00936591-0.00425479j -0.0111372+0.0046672j 0.00789021+0.00451908j 0.00804284-0.00513196j -0.000685386-0.00668636j 0.000684358+0.00154818j 0.00506601+0.00213835j 0.00735966+0.00635177j -0.00361253+0.00528884j -0.00197052-0.00366936j 0.012075+0.00270077j -0.00492767+0.000382044j 0.00251439+0.00144085j 0.00564277+0.00392742j 0.00688791-0.00877393j -0.00572054+0.00844416j 0.0136243-0.00633659j -0.0062382-0.0120509j 
-0.00691178-0.00256378j 0.00559797+0.00359212j -0.0035737-0.00970826j 0.00496907+0.00507536j -0.0037885+0.0044389j 0.00617925+0.00207651j 0.00219093-0.00254374j 0.0107843+0.00164754j -0.00195545+0.0130729j -0.0162501+0.00514587j 0.0119422-0.00367469j -0.00140395+0.00884939j -0.00309639+0.00943312j -0.0041526-0.0065689j 0.00735569-0.00760053j 0.00202298-0.00381753j -0.00235008+0.000606541j -0.00139747+0.0102916j -0.0109385-0.00807159j 0.00796554+0.00462288j -0.00482696-0.00578365j -0.00668329+0.0033794j -0.00629179-0.00286813j 0.0010194+0.00342449j -0.00263267-0.000493294j 0.00643339-0.00679155j -0.00216993-0.00886006j -0.000957806-0.00175417j 0.000737062-0.00108701j -0.00344806-0.00734035j 0.00148459+0.00310404j 0.00477478-0.00602319j -0.00175498-0.00348336j 0.00113846-0.000575805j 0.00358418-0.00422788j 0.00112511-0.00240135j 4.7783e-06+0.00292038j 0.00565634-0.00119436j -0.00417873-0.00335286j -0.00290212+0.00224269j 
0.00521954-0.00757219j 0.00930346+0.0256454j 0.00399913+0.00194093j -0.0174134+0.0112379j 0.00526465+0.0022908j 0.0073289+0.00614506j -0.0117687+0.000497621j 0.00801304-0.00520137j 0.0167944+0.0105901j -0.0132598+0.000445119j 0.00106118+6.69264e-05j -0.000152032+0.00264405j -0.00451695+0.0169353j -0.00503721+0.0066141j 0.00568941-0.00837117j 0.00185537+0.00484014j -0.0024847-0.000706523j 0.00307061+0.00352136j -0.00126173-0.00220885j 0.00396017-0.000823406j 0.00944441-0.00378462j -0.00309683-0.00157172j -0.00427685+0.000338228j 0.00767802-0.00205076j -0.00304002+0.00330749j 0.00423318-0.00186237j 0.000139581-0.00156977j 0.00200658+0.00198402j -0.00904104-0.00440451j 0.00448578+0.00896719j 0.000473234-0.00351005j -0.00423716+0.000277664j -0.00691378+0.0028033j 0.00990697+0.00567393j -0.000953063-0.00345319j -0.00413088+0.0115453j 0.0058078+0.004307j 0.0118688-0.00717146j -0.00720248-0.00459112j -0.00294942+0.00329738j 
-0.00999557-0.000973856j 0.0190303-0.00290742j 0.0123176-0.0144721j 0.0170257+0.0180908j -0.00180829-0.0147551j 0.000736638-0.00876279j 0.0103585-0.000206863j 0.0117574+0.00535273j -0.0122381-0.0010085j -0.00315933+0.00604884j 0.00878186-0.000473789j -0.00419528+0.00715767j 0.00696188-0.00289447j 0.00305268-0.0114569j 0.00262932-0.00125219j -0.00632551-0.00316134j 0.00418499-0.00335874j 0.00117305+0.00689069j -0.00610793-0.002677j 0.0028507+0.0040617j -0.00275432-0.00207811j -0.00593508+0.00467147j -0.00196922-0.00262579j 0.00192003-0.000780014j -0.00330573-0.00186756j 0.00272624-0.00356187j -0.000195312-0.00536919j -0.000556267-0.00274972j -0.00240693+0.000583499j -0.00469599-0.01061j -0.000717655+0.001509j 0.00666935-0.00180254j -0.00294375-3.72937e-05j 0.00195765-0.00512791j 0.00173102-0.00235802j 0.00559569-0.00303593j -0.00141188+0.00487486j 0.00290799-0.00932628j -0.00925671+0.00518306j 0.00341415+0.00709866j 
