-0.0478535-0j -0.00486871-0j -0.00491916-0j -0.00280213-0j -0.000404453-0j -0.00346746-0j -0.00202269-0j -0.000500485-0j -0.00029195-0j -0.00197519-0j -0.000349168-0j -0.00230439-0j -2.90973e-05-0j -0.00141115-0j -0.00201634-0j -0.000407363-0j -0.000249458-0j -0.000831699-0j -3.39469e-05-0j -0.000356442-0j -2.07881e-05-0j -0.000147025-0j -2.97035e-05-0j -1.22521e-05-0j -0.00152518-0j -0.000254196-0j -0.00172287-0j -0.000155663-0j -3.17745e-05-0j -0.00140672-0j -1.87233e-06-0j -0.0014213-0j -0.000287145-0j -0.00123088-0j -0.00017584-0j -0.000234453-0j -0.00101542-0j -3.58932e-05-0j -0.000143573-0j -0.000236883-0j -2.11502e-06-0j -0.000324433-0j -2.93066e-05-0j -0.00014506-0j -0.000205147-0j -0.000125626-0j -1.72691e-06-0j -0.000169237-0j -2.96103e-05-0j -2.56433e-05-0j -0.000103636-0j -1.74481e-06-0j -5.40721e-05-0j -2.11547e-05-0j -3.31123e-05-0j -1.51105e-06-0j -6.75901e-06-0j -1.24655e-06-0j -3.98279e-07-0j 
9.65291e-05-0j -0.000935967-0j -0.000945666-0j -0.000540398-0j 0.00362683-0j -0.000668709-0j -0.00039008-0j 0.00448797-0j 0.00261798-0j 3.98432e-06-0j 0.00641744-0j 4.64837e-06-0j 0.000799609-0j 2.84653e-06-0j 4.06732e-06-0j 0.00748702-0j 0.00458484-0j 1.67768e-06-0j 0.000932877-0j 0.00655114-0j 0.000571268-0j 0.00270221-0j 0.000816267-0j 0.000336693-0j 3.07656e-06-0j -4.8867e-05-0j 3.47534e-06-0j -6.03539e-05-0j -0.0272408-0j 2.8376e-06-0j 0.000103629-0j 2.86701e-06-0j -5.52012e-05-0j 2.4829e-06-0j -6.8177e-05-0j -4.50716e-05-0j 2.04829e-06-0j -0.0307717-0j -5.56663e-05-0j -4.55387e-05-0j 0.000117061-0j 6.54439e-07-0j -0.025125-0j -5.62432e-05-0j -3.94376e-05-0j -4.8708e-05-0j 9.55801e-05-0j -3.25344e-05-0j -0.0253854-0j -0.0219844-0j -4.01821e-05-0j 9.65706e-05-0j -1.03949e-05-0j -0.0181362-0j -1.28384e-05-0j 8.36326e-05-0j -0.0057946-0j 6.89934e-05-0j 2.20437e-05-0j 
-0.000610503-0j -6.21138e-05-0j -6.27575e-05-0j 0.00341778-0j -5.15991e-06-0j 0.00422929-0j 0.00246708-0j -6.38507e-06-0j -3.72462e-06-0j 0.00363782-0j 0.000425882-0j 0.00424412-0j -3.71217e-07-0j 0.00259898-0j 0.00371361-0j 0.000496863-0j 0.000304265-0j 0.00153179-0j -4.33086e-07-0j 0.000434755-0j -2.6521e-07-0j 0.000179327-0j -3.7895e-07-0j -1.56309e-07-0j 0.00376369-0j 0.000468168-0j 0.00425154-0j 0.000381712-0j 3.87556e-05-0j 0.00347137-0j -2.38868e-08-0j 0.00350734-0j 0.000528852-0j 0.00303745-0j 0.000431189-0j 0.000431805-0j 0.00250577-0j 4.37791e-05-0j 0.000352065-0j 0.00043628-0j -2.6983e-08-0j 0.000800605-0j 3.57455e-05-0j 0.000355713-0j 0.00037783-0j 0.000308057-0j -2.20315e-08-0j 0.000311694-0j 3.61159e-05-0j 3.12773e-05-0j 0.000254134-0j -2.22598e-08-0j 9.95876e-05-0j 2.58025e-05-0j 8.1197e-05-0j -1.92776e-08-0j 8.24401e-06-0j -1.59032e-08-0j -5.08114e-09-0j 
-5.68803e-06-0j 0.000110883-0j 0.000112033-0j -3.33071e-07-0j -0.00131908-0j -4.12154e-07-0j -2.40423e-07-0j -0.00163227-0j -0.000952159-0j -2.34778e-07-0j 7.9522e-06-0j -2.73908e-07-0j 0.00898011-0j -1.67734e-07-0j -2.39669e-07-0j 9.27757e-06-0j 5.68133e-06-0j -9.88585e-08-0j 0.0104768-0j 8.11787e-06-0j 0.0064157-0j 3.34845e-06-0j 0.00916719-0j 0.00378127-0j -1.81288e-07-0j 5.78925e-06-0j -2.04786e-07-0j -1.85026e-08-0j -0.000103629-0j -1.67207e-07-0j -0.0263639-0j -1.6894e-07-0j 6.53965e-06-0j -1.46306e-07-0j -2.09009e-08-0j 5.3396e-06-0j -1.20697e-07-0j -0.000117061-0j -1.70655e-08-0j 5.39494e-06-0j -0.0297812-0j -3.85632e-08-0j -9.55801e-05-0j -1.72424e-08-0j 4.67215e-06-0j -1.49323e-08-0j -0.0243162-0j 3.85433e-06-0j -9.65706e-05-0j -8.36326e-05-0j -1.23186e-08-0j -0.0245682-0j 1.23148e-06-0j -6.89934e-05-0j -3.93584e-09-0j -0.0212767-0j -2.20437e-05-0j -0.0175524-0j -0.00560808-0j 
-0.000234983-0j -2.39076e-05-0j -2.41554e-05-0j -1.37598e-05-0j -1.98605e-06-0j -1.70268e-05-0j -9.93233e-06-0j -2.45761e-06-0j -1.43361e-06-0j 0.00421999-0j -1.71458e-06-0j 0.00492332-0j -1.42881e-07-0j 0.00301491-0j 0.00430791-0j -2.00034e-06-0j -1.22495e-06-0j 0.00177692-0j -1.66695e-07-0j -1.7503e-06-0j -1.02079e-07-0j -7.21961e-07-0j -1.45858e-07-0j -6.01634e-08-0j -7.48933e-06-0j 0.00054309-0j -8.4601e-06-0j -7.64377e-07-0j -1.56028e-07-0j -6.90764e-06-0j -9.19402e-09-0j -6.97923e-06-0j 0.000613485-0j -6.04419e-06-0j -8.63455e-07-0j 0.000500909-0j -4.9862e-06-0j -1.76252e-07-0j -7.05008e-07-0j 0.000506099-0j -1.03858e-08-0j -1.59311e-06-0j -1.43909e-07-0j -7.12314e-07-0j 0.000438295-0j -6.16882e-07-0j -8.47993e-09-0j 0.000361575-0j -1.45401e-07-0j -1.25921e-07-0j -5.08902e-07-0j -8.56781e-09-0j 0.000115525-0j -1.03879e-07-0j -1.62597e-07-0j -7.41994e-09-0j -3.31899e-08-0j -6.12114e-09-0j -1.95573e-09-0j 
8.81186e-05-0j -0.000854417-0j -0.000863271-0j 5.15991e-06-0j 0.00331083-0j 6.38507e-06-0j 3.72462e-06-0j 0.00409694-0j 0.00238988-0j -0.000525074-0j -6.1276e-05-0j -0.000612587-0j 0.000729939-0j -0.000375131-0j -0.000536013-0j -7.14887e-05-0j -4.37777e-05-0j -0.000221094-0j 0.000851596-0j -6.25526e-05-0j 0.000521494-0j -2.58016e-05-0j 0.000745146-0j 0.000307357-0j -0.000543242-0j 0.00643996-0j -0.000613657-0j 2.86641e-07-0j 0.000260104-0j -0.000501049-0j 9.45998e-05-0j -0.000506242-0j 0.00727471-0j -0.000438418-0j 3.23796e-07-0j 0.00593977-0j -0.000361676-0j 0.000293819-0j 2.64378e-07-0j 0.00600133-0j 0.000106862-0j -0.000115557-0j 0.000239902-0j 2.67118e-07-0j 0.0051973-0j 2.31331e-07-0j 8.72523e-05-0j 0.00428755-0j 0.000242389-0j 0.000209915-0j 1.90838e-07-0j 8.81565e-05-0j 0.00136989-0j 0.000173171-0j 6.09737e-08-0j 7.63458e-05-0j 5.53289e-05-0j 6.29821e-05-0j 2.01231e-05-0j 
7.63129e-05-0j -0.000366091-0j -0.000369885-0j -0.000858914-0j -6.14688e-05-0j -0.00106285-0j -0.000619997-0j -7.60638e-05-0j -4.43705e-05-0j 3.14988e-06-0j 0.00504645-0j 3.67486e-06-0j -6.65652e-06-0j 2.25038e-06-0j 3.2155e-06-0j 0.00588753-0j 0.00360536-0j 1.32633e-06-0j -7.76594e-06-0j 0.00515159-0j -4.75565e-06-0j 0.00212492-0j -6.7952e-06-0j -2.80288e-06-0j -0.000470462-0j -1.91137e-05-0j -0.000531443-0j 0.00453772-0j 0.000928202-0j -0.000433921-0j -5.72101e-07-0j -0.000438418-0j -2.15912e-05-0j -0.000379681-0j 0.0051259-0j -1.76292e-05-0j -0.000313221-0j 0.00104852-0j 0.00418528-0j -1.78119e-05-0j -6.46256e-07-0j -0.000100076-0j 0.000856109-0j 0.00422865-0j -1.54255e-05-0j 0.00366212-0j -5.27666e-07-0j -1.27254e-05-0j 0.000864981-0j 0.000749096-0j 0.00302109-0j -5.33134e-07-0j -4.06583e-06-0j 0.000617972-0j 0.000965254-0j -4.61708e-07-0j 0.000197445-0j -3.80889e-07-0j -1.21696e-07-0j 
7.19485e-05-0j -0.000345154-0j -0.000348731-0j -0.000402789-0j -5.79533e-05-0j -0.000498426-0j -0.000290749-0j -7.17136e-05-0j -4.18329e-05-0j -0.000860412-0j 0.00236654-0j -0.00100381-0j -6.27583e-06-0j -0.000614708-0j -0.000878338-0j 0.00276097-0j 0.00169074-0j -0.000362296-0j -7.3218e-06-0j 0.00241585-0j -4.48367e-06-0j 0.000996486-0j -6.40658e-06-0j -2.64258e-06-0j 2.29313e-06-0j 0.00522105-0j 2.59037e-06-0j -4.49852e-05-0j 0.000435282-0j 2.11502e-06-0j -5.39382e-07-0j 2.13694e-06-0j 0.0058978-0j 1.85065e-06-0j -5.08162e-05-0j 0.00481554-0j 1.52671e-06-0j 0.000491703-0j -4.14912e-05-0j 0.00486544-0j -6.09296e-07-0j 4.8779e-07-0j 0.000401474-0j -4.19212e-05-0j 0.00421359-0j -3.63048e-05-0j -4.97488e-07-0j 0.00347604-0j 0.000405635-0j 0.00035129-0j -2.99499e-05-0j -5.02644e-07-0j 0.00111061-0j 0.000289799-0j -9.56915e-06-0j -4.35302e-07-0j 9.25923e-05-0j -3.59106e-07-0j -1.14736e-07-0j 
-8.99356e-06-0j 0.000131263-0j 0.000132623-0j 5.03486e-05-0j -0.00103554-0j 6.23033e-05-0j 3.63436e-05-0j -0.00128141-0j -0.000747491-0j -3.71217e-07-0j -0.000900002-0j -4.33086e-07-0j 0.00343716-0j -2.6521e-07-0j -3.7895e-07-0j -0.00105-0j -0.000642992-0j -1.56309e-07-0j 0.00401002-0j -0.000918752-0j 0.00245563-0j -0.000378966-0j 0.00350877-0j 0.00144729-0j 5.54444e-05-0j 6.85326e-06-0j 6.26312e-05-0j 5.62315e-06-0j 0.00777783-0j 5.11381e-05-0j 0.000913653-0j 5.16681e-05-0j 7.74158e-06-0j 4.47459e-05-0j 6.35202e-06-0j 6.32098e-06-0j 3.69134e-05-0j 0.00878599-0j 5.1864e-06-0j 6.38648e-06-0j 0.00103208-0j 1.1794e-05-0j 0.00717373-0j 5.24015e-06-0j 5.53085e-06-0j 4.5381e-06-0j 0.000842691-0j 4.56272e-06-0j 0.00724807-0j 0.00627702-0j 3.74374e-06-0j 0.000851424-0j 1.45781e-06-0j 0.00517827-0j 1.19614e-06-0j 0.000737354-0j 0.00165448-0j 0.000608286-0j 0.00019435-0j 
3.59743e-05-0j 3.66009e-06-0j 3.69802e-06-0j -0.000608397-0j 3.04051e-07-0j -0.000752853-0j -0.000439164-0j 3.76244e-07-0j 2.19476e-07-0j -0.000214361-0j -7.58111e-05-0j -0.000250087-0j 2.18742e-08-0j -0.000153147-0j -0.000218827-0j -8.84462e-05-0j -5.4162e-05-0j -9.02613e-05-0j 2.55198e-08-0j -7.73905e-05-0j 1.56276e-08-0j -3.19219e-05-0j 2.23299e-08-0j 9.2106e-09-0j 1.14657e-06-0j -2.7587e-05-0j 1.29518e-06-0j 0.0064849-0j -6.89886e-06-0j 1.05751e-06-0j 1.40754e-09-0j 1.06847e-06-0j -3.11629e-05-0j 9.25323e-07-0j 0.00732547-0j -2.54444e-05-0j 7.63353e-07-0j -7.7931e-06-0j 0.00598122-0j -2.57081e-05-0j 1.58999e-09-0j 2.43895e-07-0j -6.36304e-06-0j 0.00604321-0j -2.22638e-05-0j 0.00523357-0j 1.29822e-09-0j -1.83667e-05-0j -6.42898e-06-0j -5.56766e-06-0j 0.00431747-0j 1.31167e-09-0j -5.86826e-06-0j -4.59308e-06-0j 0.00137945-0j 1.13594e-09-0j -1.46751e-06-0j 9.37104e-10-0j 2.99409e-10-0j 
-5.99571e-06-0j 8.75086e-05-0j 8.84154e-05-0j -3.51088e-07-0j -0.000690359-0j -4.34449e-07-0j -2.53428e-07-0j -0.000854276-0j -0.000498327-0j 7.1701e-05-0j 6.27583e-06-0j 8.36512e-05-0j 0.00229144-0j 5.12257e-05-0j 7.31948e-05-0j 7.3218e-06-0j 4.48367e-06-0j 3.01913e-05-0j 0.00267335-0j 6.40658e-06-0j 0.00163709-0j 2.64258e-06-0j 0.00233918-0j 0.000964863-0j -1.91094e-07-0j -0.00132372-0j -2.15864e-07-0j -1.95035e-08-0j -5.42358e-05-0j -1.76252e-07-0j 0.000609102-0j -1.78079e-07-0j -0.0014953-0j -1.54221e-07-0j -2.20315e-08-0j -0.00122091-0j -1.27225e-07-0j -6.12659e-05-0j -1.79887e-08-0j -0.00123356-0j 0.000688054-0j -4.06492e-08-0j -5.00234e-05-0j -1.81751e-08-0j -0.00106829-0j -1.57401e-08-0j 0.000561794-0j -0.000881296-0j -5.05418e-05-0j -4.37705e-05-0j -1.29849e-08-0j 0.000567616-0j -0.000281578-0j -3.61088e-05-0j -4.14874e-09-0j 0.00049157-0j -1.15369e-05-0j 0.000405524-0j 0.000129567-0j 
4.10498e-07-0j -1.00133e-05-0j -1.01171e-05-0j 2.40373e-08-0j 0.000159215-0j 2.97447e-08-0j 1.73511e-08-0j 0.000197018-0j 0.000114927-0j 1.69436e-08-0j -7.18125e-07-0j 1.97676e-08-0j -0.00163739-0j 1.21051e-08-0j 1.72966e-08-0j -8.37812e-07-0j -5.13053e-07-0j 7.1345e-09-0j -0.00191029-0j -7.33086e-07-0j -0.00116981-0j -3.02382e-07-0j -0.0016715-0j -0.000689459-0j -2.53068e-06-0j -5.22799e-07-0j -2.85871e-06-0j 1.33531e-09-0j 1.25082e-05-0j -2.33413e-06-0j 0.0099347-0j -2.35831e-06-0j -5.90564e-07-0j -2.04236e-06-0j 1.50839e-09-0j -4.82194e-07-0j -1.68486e-06-0j 1.41295e-05-0j 1.2316e-09-0j -4.87191e-07-0j 0.0112224-0j -5.38321e-07-0j 1.15367e-05-0j 1.24436e-09-0j -4.2192e-07-0j 1.07765e-09-0j 0.00916308-0j -3.48066e-07-0j 1.16562e-05-0j 1.00946e-05-0j 8.89015e-10-0j 0.00925804-0j -1.11209e-07-0j 8.32762e-06-0j 2.84045e-10-0j 0.0080177-0j 2.66071e-06-0j 0.00661426-0j 0.00211329-0j 
