-0.00297364-0.00578606j 0.00159613+0.021801j -0.00471604+0.0155088j 0.00133991-0.000329878j 0.000848555+0.00267921j 0.000250239+0.0416463j -0.00625828+0.0182632j 0.000294623+0.0287374j 0.00498343+0.0157877j 0.0167502+0.040327j 0.016577-2.84703e-05j 0.00810737-0.0545537j 0.0483897-0.0310566j -0.0560391+0.0694288j 0.0148019+0.0543737j -0.0183377+0.00559979j -0.00594823+0.0129007j -0.00109166+0.0042225j 0.0233942-0.00924733j 0.0157973-0.01262j 0.0165295-0.0107181j 0.0211409-5.1072e-05j 0.0190811-0.00167218j 0.0121325-0.00433716j -0.00952662-0.00584601j -0.014506+0.0154509j 0.00464503-0.00619717j 0.0222721-0.00440695j -0.0123676+0.0070561j 0.0155362-0.00661043j -0.0284797+0.000350946j 0.0064363-0.00398119j 0.0334874+0.00927124j 0.0264262+0.00559575j 0.0340988+0.0189394j -0.0197759-0.0142647j 0.0246815+0.0086558j -0.00403444+0.000460781j 0.00879277+0.00785272j -0.0106398+0.00153669j -0.00373093+0.00167941j 0.00871322+0.00382267j -0.00472304-0.0114889j -0.00384533-0.000526861j 0.00373583-0.0074372j 0.00489079-0.00501822j 0.0044495+0.00307842j 0.0106295+0.00111184j -0.00250207-0.011846j 0.00143896-0.00626031j -0.00268502+0.000860657j -0.0102428-0.00497532j -0.00611155+0.0140264j 0.00461013+0.00236112j 0.00900191-0.00824219j 0.0108072+0.00845327j 0.00171258+0.00372905j 0.0035412-0.00598442j 0.000888343-0.00301686j -0.00975649+0.00137231j -0.012064+0.00536271j 0.0132181+0.00493457j 0.000238567-0.00440823j -0.00791475-0.00266095j 0.0117599-0.0103901j -0.00253235+0.00333313j -0.00289562+0.00660875j 0.00645974+0.00984871j -0.0115889+0.0108899j 0.000265692+0.0020245j 0.00599183-0.000382765j 0.00447702+0.00385513j -0.0170331-0.000854013j -0.00525493+0.00990828j 0.0079254+0.0128386j -0.00677325-0.00144322j 0.00219981-0.000127263j 0.00674775-0.000299938j 0.00019186-0.0059842j 0.00341363-0.00314191j 0.00647799+0.0183558j 0.00584427-0.00921287j -0.00182954-0.00116202j -0.00577326-0.00231085j 0.0213617+0.00809672j 0.00291302+0.00601578j 0.00434577+0.00631222j -0.00194399+0.0018572j 0.00716461-0.0080676j 0.00888063+0.00653443j 0.0136559+0.0132691j -0.0110607+0.0177942j -0.00458414-0.000330924j -0.0159559-0.00328918j -0.00992445+0.0190328j 
-0.00706646-0.0222368j 0.0249528+0.0287213j 0.00925413+0.00624329j 0.00983016-0.0378764j 0.0147472-0.00849057j 0.0228974+0.0534974j 0.0323661-0.0590837j 0.105657-0.0350451j 0.403715-0.133125j 0.0819498+0.444015j -0.0366035+0.153959j -0.0160663-0.0818429j -0.00742299-0.104427j -0.0432875-0.0214998j -0.0086782-0.0696325j 0.0083759-0.0161857j 0.0202518+0.0341939j 0.00535838+0.0109984j -0.00656939+0.0111335j -0.00375264-0.0170175j -0.0107656-0.00720684j 0.00703494+0.0337193j 0.00153406+0.02969j 0.00751274+0.0121078j -0.0111085-0.0553655j -0.026375+0.0212964j 0.0197921-0.0230912j 0.043776+0.0498341j -0.00506239-0.0572057j 0.064837+0.00609592j -0.0598944+0.0251459j 0.0206014-0.0521241j -0.0201081-0.00303831j 0.00696099+0.0233568j 0.00604179+0.000439908j -0.00172177+0.0135785j 0.00358341-0.00710291j -0.00499507+0.00738927j -0.00604331+0.00900043j 0.00852492-0.00224155j 0.0013582+0.000791142j 0.00196352+0.00215285j 0.00207705-0.00709067j 0.0094116-0.00246878j -0.000126015-0.00377611j -0.0104313+0.00365669j 0.000352707+6.4956e-05j 0.00151839-0.00205014j 0.000262207-0.00690429j 0.00142943+0.000238882j -0.00531408+0.00712063j -0.00890977-0.0032722j 0.00953522-0.00382312j -0.00313564+0.00110218j -0.00526769-0.0168811j -0.0077289+0.0208855j 0.0189138+0.00399055j -0.0198217-0.000128218j 0.00482724+0.00296456j -0.0125174+0.0075857j 0.00754488-0.00120116j -0.0130276-0.00432672j 0.00623387+0.0103604j -0.010787+0.00482093j 0.000843428+0.0137183j -0.00419454-0.000896817j 0.0177822+0.00321747j -0.00318988-0.0121085j -0.0184805-0.0292176j 0.0019337-0.00479229j 0.00452318+0.000319844j -0.0162555+0.0312047j -0.0151256+0.000446413j 0.00343579+0.0142183j 0.021591-0.0134973j -0.013568-0.0215137j -0.0191808+0.00576262j -0.00232751+0.00192456j 0.0184312+0.00613811j -0.0127916+0.0174397j -0.00989453+0.00172878j -0.0137023+0.00731212j 0.00457444+0.00644615j -0.00746078+0.00717503j -0.00693139+0.00256011j 0.000388788+0.000200099j 0.0178083+0.0123476j -0.0182497-0.0161067j 0.00167069-0.00212265j 0.00228143-0.00592761j -0.000285751-0.00193672j 0.00597712+0.00545138j -0.000238309+0.00168253j 0.00268587-0.00188779j -0.00617729-0.000596606j 
-0.000421147-0.0280547j 0.00430783+0.0271426j 0.0312123-0.019073j -0.08953+0.0431026j -0.0133007+0.0308967j -0.0520736+0.0302176j -0.184273+0.0682138j -0.275011+0.191845j -0.237062+0.248411j 0.118026+0.358595j -0.0922414-0.0688842j -0.0956328+0.0413729j -0.0579276-0.0337655j 0.0198002-0.0591388j -0.0580584-0.0288909j 0.00463782-0.0187155j 0.0116185+0.029737j 0.00168206-0.00577996j -0.0030352-0.0206588j -0.0183575-0.0405268j -0.0123867-0.00993944j -0.0161486-0.00181859j -0.0142329+0.00187089j -0.00979117-0.013402j -0.0071419-0.0398037j 0.0763571+0.057364j 0.0174199-0.0246475j -0.0439103-0.00385706j 0.0721651-0.0346573j -0.028123-0.0375937j 0.0218385+0.0260193j -0.00867933-0.0281647j -0.00222965+0.0136511j -0.00553482+0.00100557j -0.00605678-0.00388304j 0.000208046+0.00142645j 0.000407599-0.0117555j -0.00294696+0.00660916j 0.00119995+0.00850484j 0.00349091+0.00439492j -0.00968022+0.0017511j -0.00779769+0.00183458j 0.0071117+0.00846504j -0.0215383-0.00285491j 0.0191878-0.00225355j 0.00166072+0.00595959j 0.00689452+0.00104025j -0.00765999+0.00193146j 0.0063815-0.000434867j 0.00136379-0.0032164j -0.00933493+0.0087733j -0.00242084+0.00878394j -0.00281185-0.00542322j -0.0109458+0.00421896j -0.000205364+0.00694332j 0.00241729-0.00600376j 0.0026566-0.00923712j 0.00719406+0.0113591j 0.0134499-0.000749287j -0.000890719-0.00468033j -0.0134145+0.016489j 0.0200634+0.0063008j 0.00305398+0.0110756j 0.0200723+0.0100336j -0.0029255-0.00342403j 0.00707076+0.0145012j 0.006804-0.0192105j -0.0184219+0.0216246j 0.00560923+0.005271j -0.014252-0.00589627j 0.00471577+0.0108518j 0.0153846-0.00151815j 0.020941+0.0219317j -0.0101197+0.0149783j 0.00481792+0.00461324j -0.000830556-0.00184528j 2.70006e-05-0.0137191j 0.00255215-0.000100393j 0.0122936+0.00290643j 0.000427333+0.00730014j -0.0212307+0.017523j 0.00569176-0.0239717j 0.00818761-0.00180208j -0.00916616-0.000338734j -0.0019309+0.00399154j -0.00121002-0.00366171j 0.00704439+0.00325195j -0.0125285-0.0120148j -0.00810818+0.00507854j -0.000970156-0.0027198j 0.00133214+0.00146362j -0.00249323+0.00610345j -0.00551581-0.00296727j -0.0021334-0.0025307j -0.011217-0.000731652j 
0.00709746+0.0399905j 0.0245843+0.0241835j 0.0120118+0.044774j -0.0181187-0.0351191j 0.00628551-0.0337093j -0.00166462+0.0452686j -0.00720084-0.047778j -0.0102181-0.119306j 0.288733+0.563774j -0.0713599-0.126013j -0.0299766+0.000571905j -0.0509046-0.0912174j 0.0137744+0.0287082j -0.0253026-0.0344936j 0.00470672+0.0100134j 0.0178763+0.0411241j 0.00426538+0.0195394j 0.00922406+0.0322026j -0.00411874+0.0157396j -0.00182678+0.00860648j -0.00177506-0.00216002j -0.00156939+0.0115694j 0.00328232+0.0296854j 0.00555164-0.00411343j -0.00212936+0.0599223j -0.00243688-0.00812055j 0.0182933-0.080912j 0.0279278-0.0632231j -0.00412901+0.00846203j 0.0426258-0.0412156j -0.0169994+0.0281003j -0.00732043+0.000301675j -0.00309445-0.00144997j -0.00192884+0.00502711j 0.000760105-0.00939853j 0.00023235-0.00356654j 0.00121106-0.00552539j -0.00274634+0.0100725j -0.00147083-0.00867787j 0.00768974-0.00594813j 0.00176882-0.00146661j -0.000559439-0.00123377j 0.00297801-0.0117893j 0.000978462+0.00649663j -0.00155956-0.00412313j 0.00322775+0.00149095j 0.0024192-0.00189509j 0.000208068+0.000780763j 0.00264303-0.00305815j 0.000561682-0.00406355j -0.00184347+0.00441577j 0.00196295+0.00392707j -0.0115399+0.00065351j 0.00167127+0.00338889j -0.0139821-0.0058857j 0.0193044-0.00520444j 0.00951354+0.00119911j -0.0110698+0.0100946j 0.00601679-0.00654841j 0.00555833+0.0117452j -0.00735659-0.0125446j -0.013357+0.00966197j -0.00540207-0.00617993j -0.00405605+0.0138321j 0.0197375+0.00384117j -0.00641786+0.00678104j 0.0193577-0.0172917j -0.0227111-0.0112866j -0.0199849+0.0148624j -0.00475113-0.0174477j 0.0178153-0.00766081j 0.0142118+0.0158175j -0.00499597+0.025294j 0.00116939-0.033648j -0.0189241+0.0071205j -0.0172876+0.00939209j 0.00392346+0.0252828j -0.0140035-0.0212466j -0.0142592-0.0108901j 0.00178844+0.0108575j -0.00127323-0.00227773j 0.0240601+0.0195344j -0.00592739-0.00103844j 0.0179021+0.0110166j 0.00190757-0.000296865j -0.000771016+0.00905273j 0.00445003+0.000299839j -0.00719414-0.00510584j -0.00279095-0.00115274j -0.000421901+0.000367066j 0.00153948-0.0024293j -0.00188066+0.00190843j -0.00917986-0.00454224j 0.00591104-0.000388549j -0.00202728-0.00179929j 
0.0413909-0.0122272j -0.00796921+0.0211218j 0.00537089+0.0308055j -0.00021784-0.0970937j 0.00147443-0.04299j 0.0411591-0.0982663j 0.179634-0.446039j -0.394368-0.135188j -0.051735-0.0761746j 0.0242826-0.0074404j 0.00257476-0.0377678j -0.0344742-0.0969742j 0.0317928-0.0657821j 0.0203582+0.00573755j 0.0134089-0.0531579j 0.0192994-0.00385249j -0.00357785+0.0184582j 0.00968433+0.0245968j 0.009808+0.0485099j 0.00724924+0.053769j 0.00960434+0.0166205j 0.0014971+0.0520824j -0.0139274+0.00987147j -0.0300888-0.00616809j -0.0492909-0.0172663j -0.0014853-0.0787579j -0.014267-0.0492178j 0.021693+0.0270329j 0.0634018-0.0103803j -0.016688+0.00841366j -0.00900097-0.0138776j -0.0220506+0.00159065j 0.00845534+0.00300875j 0.00584572+0.0227428j 0.000864435+0.00540399j 0.000103314+0.0112998j -0.00218112-0.000751876j -0.00695247+0.00617082j 0.00861401+0.00320791j 0.00404174-0.00225802j 0.00963057+0.00388402j -0.00211544+0.00292592j 0.0117078-0.00942687j 0.00175456+0.0133985j -0.000915062-0.00804358j 0.00641692-0.00357238j 0.00961463-0.000143481j 0.00193776+0.0046147j 0.022584-0.00949711j 0.00313553-0.0116794j 0.00782363-0.00894407j 0.016982+0.0126451j -0.016778-0.00856973j 0.0167694-0.00689084j -0.000891975-0.0200912j -0.00500702-0.0113335j -0.0238315+0.00695124j -0.0101472+0.000415144j -0.00763508-0.0281191j -0.0234568-0.0112148j 2.1051e-05+0.0160561j -0.00259787-0.00389627j -0.00708138-0.00781543j 0.0254608-0.00679872j -0.00270236+0.0178714j -0.0107549-0.00644456j 0.00241597-0.00313799j 0.0188029+0.00199325j 0.00711119+0.00391174j -0.00238839-0.0108388j 0.0224281+0.00229138j 0.00339699-0.0177489j 0.0118964-0.0205666j 0.00489722-0.00810191j 0.0021838+0.00316142j 0.00523305-0.00338574j -0.0033665+0.0032551j 0.00493254-0.00740269j -0.00381839+0.00313039j -0.0128723-0.007322j 0.015668+0.0106468j -0.00684163-0.00142484j -0.00495895-0.0089028j 0.00961917+0.00826081j -0.000308749+0.00141551j -0.000898793+0.00916406j -0.00263461+0.000221594j 0.000933307-0.0017169j -0.0006459+0.00110353j 0.00283819-0.00293214j 0.00335106-0.000981263j -0.00294504+0.00229461j -0.00887055-0.00414598j -0.000752038+0.000492171j 0.000588504+0.0010478j 
-0.0444264+0.0095693j -0.0349822+0.0238282j -0.0468045+0.0211519j 0.0394418+0.01484j 0.0717333-0.0841092j -0.153609+0.146075j 0.211101-0.137906j -0.0196077+0.527396j 0.118799+0.0275741j 0.130664-0.142013j -0.0145381+0.0570074j 0.0829589+0.0155132j -0.0101092-0.00221484j 0.033836-0.0386606j 0.00303895+0.00833918j -0.0207411+0.0041273j -0.00502165+0.015627j -0.000755935+0.00247735j 0.00314739-0.0175566j 0.00193119-0.022557j -0.020288-0.045401j 0.0350431+0.0284022j 0.0284501-0.0299674j -0.018223-0.0588787j -0.0188698-0.0464885j -0.0133917+0.0385585j -0.0444331-0.00740885j 0.0144289+0.00406262j -0.00926228+0.0519736j 0.0105722-0.00537175j -0.0208327-0.00182211j 0.0114476-0.00866405j -0.000312003-0.00435997j -0.00381044+0.00166643j -0.0037326-0.00470575j -0.00209858-0.00372026j 0.00158007-0.00818192j 0.0106962+0.00281025j 0.00105323-0.00184556j -0.0145764-0.000662407j -0.00568384-0.000617032j 0.00777904-0.00341516j -0.0141687+0.00255971j 0.00184649-0.00127429j -0.0190237+0.00382775j 0.00640888+0.0180761j -0.000239096-0.00203686j 0.00514077-0.00540522j -0.00194216-0.00414474j -0.000342561-0.00326897j 0.0186662-0.0105785j -0.0229959+0.00794465j 0.00134898-0.017133j 0.00831862-0.00579352j -0.00648005-0.0082378j 0.00721155+0.0070393j -0.0140621+0.000351379j -0.00975591-0.00531964j 0.00402703-0.00125143j -0.00819034-0.0255775j -0.012321+0.00996802j -0.0141327+0.0181156j -0.00644711-0.0115709j 0.0177428+0.0138626j -0.0143592+0.0105224j -0.0263792-0.0110088j 0.00910819+0.0111049j 0.00570541-0.00206857j -0.00664991+0.0266817j 0.0033299-0.0063757j -0.00209056+0.0193395j 0.0175361-0.00178339j -0.00583959+0.000429014j -0.00597222+0.00614382j -0.0103816-0.00665965j 0.0133565+0.00577819j 0.00326991+0.00270592j 0.0192409-0.00357334j -0.00528606+0.0041685j -0.00134416+0.00775397j -0.0090504-0.0139321j 0.00686715+0.0037586j 0.00545706+0.00294024j -0.00520164-0.0091668j -0.000342327-4.91979e-05j 0.00189124-0.00415292j 0.00349732+0.00416631j 4.38086e-05+0.000898751j 0.000808283-0.00180902j -0.000691093+0.00221327j 0.00032933-0.00344919j 0.00405925-0.00180362j 0.0114438+0.00527236j -0.00672659-0.00115927j 0.00240092+0.00172135j 
0.0678848-0.077619j 0.0214624-0.0352457j 0.0657452-0.0637704j 0.0541987-0.0417221j -0.0553967+0.14433j 0.29039-0.379311j 0.182608-0.0497424j 0.164517+0.211982j -0.0596975+0.175727j -0.0447964+0.113343j 0.0720121-0.0119926j 0.033194+0.037196j 0.0647976-0.0417362j -0.0621586+0.0552115j 0.0524705-0.0167968j 0.0161363-0.064807j 0.00255813-0.0200875j -0.0201626-0.0374236j -0.00889822+0.00978816j 0.0112379+0.0322094j 0.0409304+0.0612591j -0.0267937-0.0498537j -0.0438301-0.0707364j -0.0216208-0.0454687j 0.00706494-0.0186427j -0.0787065-0.00188126j -0.0106291+0.00638897j 0.0254341+0.00480159j -0.00764188+0.00952611j 0.00444308-0.0183702j -0.00492329+0.00584132j 0.0182654+0.0060929j -0.0154088+0.00438319j 0.00856875+0.00144668j 0.00902345+0.0145082j 0.00141512+0.00851874j -0.00213251+0.00819299j -0.0164469-0.0107192j 0.00335369+0.0190848j 0.0122856+0.00745513j 0.0209282+0.0050644j -0.00198132+0.00818192j 0.0121804+0.00575212j 0.0216688-0.00735066j 0.0093536+0.00607127j -0.00875596-0.0248044j -0.00284151+0.00251366j -0.00828174+0.00307763j 0.0117801-0.00297723j 0.0161436+0.00450894j -0.0067346-0.0208468j 0.0147274-0.00224213j 0.0217493+0.00503996j 0.0116426-0.0178275j -0.00955227-0.00264322j 0.00293145+0.00417712j 0.00222055-0.0161416j -0.03526+0.00757568j -0.0160719-0.00709754j 0.00184259+0.00183826j -0.0121645-0.0128324j 0.00597811+0.0053857j -0.00403806+0.00573079j -0.00483553+0.013999j 0.0100339+0.00527715j 0.00436602+0.00912267j 0.00164444-0.00850538j -0.000144173+0.00862063j 0.00395421-0.00161012j -0.00280375-0.0227368j 0.00141254-0.0107555j 0.0122796-0.00726532j 0.00356259+0.00772395j -0.0087634-0.00424345j 0.000837568-0.00534377j -0.0168126+0.00629744j 0.0201875-0.00479763j -0.000259446+0.0076163j -0.00246335+0.00905231j -0.00191561+0.00261799j -0.00327212-0.0121282j -0.000786292+0.00927771j 0.00388872+0.00797159j 0.0011362-0.00570795j 0.000995356-0.000366047j 0.00180623-0.0102317j -0.00748582+0.003777j 0.00506434-0.00258812j 0.00411806-0.00273061j 0.00301126-0.00518978j -0.00536768+0.00085657j -0.000314545-0.0026594j 0.00646332+0.00219202j 0.00782049+0.00363952j 0.00799088-0.000459919j 
-0.00778806-0.0104745j 0.0349867+0.0107847j 0.0305815-0.00445844j -0.0568047-0.00378307j -0.0796856+0.101991j 0.0726393+0.107405j -0.396624-0.408699j 0.250938+0.132641j -0.0466424-0.0359319j -0.113002-0.0642979j -0.00014969-0.0197214j -0.0704298-0.0366726j -0.0407008-0.020889j -0.0337709-0.0154125j -0.0363376-0.0227645j 0.00713945-0.00504428j 0.0172727+0.0147047j 0.00649715+0.00494092j -0.0055996+0.00741872j -0.00801602-0.0118978j -0.00168202+0.00649304j -0.0247088+0.0492436j -0.00579757+0.0143908j 0.0200453-0.038836j 0.0409233-0.0397091j 0.0279331-0.0392976j 0.0573327-0.03437j -0.0346436+0.0127475j -0.0171671+0.0112899j 0.00811163+0.00264259j 0.0176055-0.0092288j 0.00529918+0.000178587j -0.000746325+0.0014065j -0.000874583+0.00762641j 1.12938e-06+0.00023427j 0.00127238+0.00505975j -0.00132425-0.00276661j -0.00224892+0.00299824j -0.00701653+0.00332354j 0.00985863-0.00032031j -0.00574018+0.0015225j -0.00336236+0.00270721j 0.00526575-0.00110637j -0.00851277-0.000484433j 0.0169144-0.0117033j -0.0173718-0.00295396j -0.00109008+0.00629846j -0.00405756+0.00399002j 0.0107023+0.00972298j 0.00375643+0.00139655j 0.0162039+0.022285j -0.000888966-0.00209878j 0.0161937+0.000293599j 0.0159235+0.0125544j 0.0286086+0.00233259j 0.00536313-0.000760038j 0.00367135-0.0182071j 0.000968269-0.0104754j 0.0218624-0.0125882j 0.0354142-0.00778805j -0.0255395-0.00921595j -0.0142821-0.00940048j 0.0158278-0.00773134j -0.00567433+0.0350136j -0.0170748-0.0117753j 0.0119323-0.0296386j -0.00803669+0.00304688j 0.000937656+0.0163631j -0.0184648-0.00251147j 0.00893597-0.00136078j -0.00630109+0.0136288j 0.00740655+0.0118545j 0.0131627-0.000591431j 0.000326615-0.00478213j 0.000195968-0.0113418j 0.000879369+0.0132551j -0.00195292+0.00264261j 0.00791119+0.019476j -0.00231078-0.00711884j -0.0026546-0.00853862j 0.00292346+0.00414958j -0.00197065-0.00391764j 0.00224902+0.00259935j 0.00297048+0.00554534j 0.00011177+0.00222186j -0.0022612+0.00224049j -0.00157848-0.00122888j -6.40502e-05+0.000651846j 0.000599652+0.00256774j -0.000178898-0.00342608j 0.00076757+0.0011285j 0.00123702+0.00457944j -0.00786506-0.0014324j 0.00460805-0.00172307j -0.00972361-0.00175512j 
-0.0688584+0.0128875j -0.035835-0.034592j -0.0454123-0.052334j -0.0472798+0.0701523j 0.153724-0.306223j -0.272603-0.439989j -0.170539-0.0809452j 0.0856911-0.0157224j 0.0637165+0.0173969j 0.0265453+0.0410712j -0.032346-0.0107969j 0.0281322-4.35742e-05j -0.0519378-0.00334605j 0.0545762+0.0444876j -0.0350216+0.00752216j -0.0409837-0.00432022j -0.00427931-0.0267907j 0.00625035-0.0312311j 0.0162355-0.00428139j -0.00157622+0.0858433j -0.0259235-0.0106061j 0.0122206-0.0386037j 0.0427518-0.0523822j 0.0180657-0.023604j 0.0147466+0.00426537j 0.0592784-0.018796j -0.0121428-0.0135424j -0.0320334+0.0122421j -0.030483+0.00394937j 0.00333802+0.000106778j 0.00885113-0.000789949j -0.00754808+0.00290521j 0.0104029-0.000514743j -0.00809152-0.00232695j -0.00364171+0.00660214j 0.00252643-0.00103989j 0.000700761+0.0108j 0.014892-0.00898214j -0.00514284-0.00282754j -0.0127958+0.0032675j -0.0189536+0.00251337j 0.00118702+0.000186277j -0.00476293+0.0125122j -0.0130555+0.0177931j -0.0205167+0.0159431j 0.0370309+0.00879161j 0.00368042-0.000831747j 0.00110141-0.00722981j 0.014792+0.016107j 0.00449881-0.000845306j 0.021514-0.00656453j -0.0188252+0.010029j -0.00496121+0.00151961j 0.0173215+0.0220078j 0.0140656-0.0123302j -0.011618+0.000631719j -0.00144772-0.00834563j 0.0104064-0.0379839j 0.0180397+0.00309791j -0.00635865-0.0093357j 0.0297695-0.00776339j 0.00066964-0.0164416j 0.00100456-0.00667695j -0.0165251-0.0195916j -0.00634572+0.00528599j 0.00427854+0.00702656j 0.00506027+0.00222852j -0.000374985+0.0116366j -0.000760229+0.00567571j 0.0172326-0.00158919j 0.0023396+0.00632909j 0.0083803+0.00231518j -0.000236243+0.00633888j 0.00259472-0.00316781j -4.86544e-05-0.00195808j -0.00119999-0.00680182j 0.00914511+0.0139626j 0.00316027+0.00818389j -0.00481567-0.00138887j -0.000748192-0.012933j 0.00320397-0.00106822j 0.00115222+0.00548849j 0.000327751-0.00272256j -0.00371618-0.00227903j -0.00128601-0.000918132j 0.000853318+0.00319359j 0.00306581-0.00364687j 0.0105115+0.0120933j -0.00430236-0.00230784j -0.00155086+0.00361069j 0.000927104+0.00410882j 0.00142893-0.00386462j 0.00308959+0.00298225j -0.0111492-0.000860889j -0.00274743+0.00178322j 
-0.0218413-0.0456048j -0.060081-0.0312817j -0.0358653-0.0737211j 0.00160441+0.106839j -0.0435355+0.517939j -0.33443-0.0690656j 0.0337139-0.084467j -0.0132755-0.0875964j 0.0992613+0.0238328j 0.117571-0.0238482j -0.021048-0.0187948j 0.0325147+0.0647472j -0.00770535-0.0309846j 0.0674663+0.0438662j 0.000778669-0.0180697j -0.0322768-0.0439709j -0.0118991-0.0189949j -0.00820244-0.0350016j 0.0132953-0.020929j -0.0173826-0.0526402j 0.0126564+0.112199j 0.0248623-0.0447827j 0.0397687-0.00269788j 0.0152465+0.00721792j -0.00631592+0.00476416j 0.0343194-0.0287905j -0.0186886+0.0175758j -0.010924-0.00907375j -0.0130677-0.00280105j 0.00246965-0.00439407j 0.00382378+0.00496082j -0.00725537+0.0172168j 0.0112374-0.00490419j -0.0031173-0.00249666j -0.00432694+0.0118641j 0.00156146+0.00446273j 0.00154677+0.00745058j 0.00735596-0.00855621j 0.00548399+0.00839106j -0.017175+0.00659325j -0.00692593+0.00172269j 0.000513588-0.000105418j -0.00651733+0.013904j -0.00959636-0.0135877j 0.0111214-0.000914892j 0.0129457-0.00664637j -0.0116839+0.00679221j -0.00876453+0.0017148j -0.016257+0.0164416j -0.0204871+0.0178819j 0.0218633-0.00101434j 0.0122897+0.00982523j -0.0217504+0.0132715j 0.00843662-0.0156305j 0.00296419+0.0154648j 0.0264065-0.000400807j 0.0245242+0.0091957j -0.0166244-0.00691755j -0.00306489-0.0256845j 0.00601899+0.00973201j -0.0115002-0.00121729j 0.00454552+0.0320289j -0.0112127-0.00563565j 0.00488487+0.0143255j -7.33722e-05+0.00707128j -0.0181512+0.0071195j 0.00272487+0.00190445j -0.00759889-0.0113709j 0.0122171-0.00327825j 0.0084016-0.00255476j 0.0020908-0.00493488j -0.00397812-0.000818759j -0.00752769+0.00781805j 0.00496375-0.00259521j 0.00150583+0.0074141j -0.00598943-0.0173942j 0.00666881+0.0114585j -0.00529448-0.00303524j -0.00274001-0.00061654j -0.00135597-0.00523365j 0.000256605-0.00111518j 0.00216649+0.00468543j -0.00269745+0.00172781j -0.00569963-0.00444216j -0.000516044+0.000491604j 0.00278547-0.00572409j 0.00329159-0.00166217j 0.00770563+0.00811953j -0.00797726-0.00403455j 0.00030974+0.00102881j 5.42114e-05+0.00236671j -0.00223169-0.00511361j 0.00809645+0.00340752j -0.0121905+0.000773376j 0.00367507+0.0030948j 
0.0445527-0.0460965j 0.0458903-0.0709358j 0.121591-0.300091j -0.153452+0.392724j -0.0546932-0.155342j -0.00146015+0.145112j 0.192912-0.150278j 0.090537-0.120606j -0.0703729+0.0542961j 0.0131474+0.0398885j -0.00755733+0.0496382j -0.0201826+0.0658141j 0.0343944+0.00800125j -0.0536826+0.0549374j 0.0106118+0.0327144j 0.00605708-0.0257857j 0.00701247-0.0464549j -0.0311715-0.132423j -0.0135878-0.0999133j -0.0212137-0.0517519j -0.0131136-0.0554101j -0.0360598-0.00634796j -0.00959494+0.0214656j 0.00046023+0.0049513j -0.0105232+0.00639232j -0.0231824-0.000275483j -0.019022-0.0404533j -0.00320541-0.00896904j -0.00539161-0.0181048j 0.00480488-0.0138306j -0.00560657+0.0136269j 0.00521668+0.00685097j -0.0021335-0.00597643j 0.00121981-0.0147403j 0.00321743+0.00956504j 0.00227899-0.00481238j -0.00342396+0.0132466j -0.0108653-0.0113954j -0.00491181+0.00392025j 0.0139884+0.0181473j -0.00589442-0.000936133j -0.0215403+0.00252857j 0.0154748+0.0365735j -0.0276568-0.0139633j 0.00359414+0.0077866j -0.0186416+0.0149719j 0.0157601+0.00226628j -0.0119707-0.00913162j 0.0182894-0.0100192j -0.000667111-0.00663601j 0.000901518-0.000818446j -0.00339913-0.0227206j -0.0106927+0.00554832j 0.000397853-0.0191271j 0.00861744-0.0166225j -0.0256749-0.0081581j -0.0120375-0.00122685j -0.000387111-0.00904495j -0.0280481-0.00075707j 0.00454095-0.00221941j -0.00681911+0.0268117j -0.00918506-0.00390468j 0.00642121-0.00560907j 0.00241228+0.000113369j -0.0009733-0.0155273j -0.016574-0.00897017j -0.00554528-0.00653372j -0.00842054-0.00429649j 0.00289798+0.0068758j -0.00614856+0.00287542j -0.00506652+3.40234e-05j 0.00379817-0.00152208j -0.000713986+0.0131185j -0.00512539+0.00855476j -0.00495146-0.00917112j -0.00148835-0.00299516j 0.00414854-0.0135958j 0.00121049+0.00212285j 0.00794143+0.00550248j 0.00596551+0.00685943j -0.0127826-0.00680535j -0.0015442-0.00886388j 0.00537308-0.00206778j -0.00951433+0.00113181j -0.00196529+0.00339427j -0.000320134-0.00692703j -0.00536538-3.27289e-06j -0.00513437-0.00247732j -0.000104111-0.00176003j 0.00061483-0.00192909j -0.00586809+0.00463006j -0.00312704-0.00314677j 0.0016403-0.00315736j 0.00809844+0.00328323j 0.00256576-0.00210641j 
