-0.00118869-0.173618j -0.138492-0.00870818j -0.0175433-0.12243j 0.0268357-0.174666j -0.0852542+0.073162j -0.0312997-0.22922j 0.158777-0.132989j -0.280506-0.0250505j 0.0373963+0.254952j 0.0718091+0.0845576j 0.210168+0.203047j -0.0832595-0.0275526j 0.118977-0.1306j -0.081285+0.163571j 0.172618-0.229596j -0.000781908+0.170072j -0.110855-0.0630234j -0.0609706+0.216867j -0.260842-0.0183949j -0.0844194-0.198736j -0.0428853+0.0474419j -0.078025-0.0490283j -0.0328243-0.016198j -0.0601006-0.0116924j 0.049798-0.00161082j -0.0147227+0.0128179j -0.128089-0.0288446j 0.264974+0.0376348j 0.206698-0.0564622j 0.0112686-0.00940197j -0.101802-0.00860482j -0.0162408-0.0403311j 0.00405337-0.0228118j -0.0594843-0.0586989j -0.0384487-0.0360192j 0.0410674-0.0725035j 0.0926399-0.0312583j 0.0580739+0.0219204j 0.0209649-0.00673131j -0.0330766-0.00676719j 0.0140658-0.00390539j -0.0303658+0.0282223j 0.0165916-0.0118744j 0.00374281-0.0131699j -0.00160607+0.0278677j 0.0259021+0.00976353j -0.0163228+0.00457927j -0.00221765-0.018407j 0.0138778+0.022294j -0.00212138-0.0317457j 0.00576892+0.000355666j 0.00718106+0.0168165j 0.00465774+0.0329789j -0.0161681+0.0241331j 0.00723625+0.00597291j 0.000297128-0.017544j -0.000210027+0.0268691j -0.0349752-0.0131121j 0.00893471+0.00536466j 0.0116913-0.00767104j 0.0180461-0.0020795j 0.00907127+0.0131716j -0.00154904+0.0158883j 0.0106831-0.0148194j -0.00215463-0.00151104j -0.00171178+0.0182337j -0.0152671-0.00242635j -0.0131254-0.00759076j 0.00236647+0.00346494j 0.00796798+0.00859199j -0.00753833-3.69582e-05j 0.00143167+0.0148065j -0.0260095+0.0208879j 0.0253433-0.00553093j -0.00827061-0.00880526j 0.0253423+0.00501707j -0.00724401+0.00165115j -0.0110057+0.00653294j 0.00880079+0.00665j 0.0117845+0.0114042j -0.0089784+0.0131236j -0.0110971-0.0204596j 0.00159685+0.00720826j -0.0118093+0.00306037j 0.00580033+0.0101123j -0.0231039-0.0207609j 0.00941654+0.0122563j -0.00375899-0.0092773j -0.00156619+0.00456136j -0.00465687+0.0205737j 0.0316198-0.00311199j -0.00590799+0.0133825j 0.00101109+0.0103172j -0.0262872-0.0285455j 0.0276008-0.0235645j 
-0.00724501+0.00287811j -0.000453274+0.00774642j -0.0110282+0.025789j 0.00444347+0.00295287j 0.00713832-0.00585222j 0.000922595+0.00162873j 0.00830937+0.0112573j -0.00016946+0.00839853j -0.0108633+0.0166943j 0.00326827+0.0100028j 0.000908653+0.00799061j -0.0153449-0.00230539j -0.0044172+0.0136435j 0.0141105-0.0066034j -0.00261266-0.0164161j -0.00260355-6.21717e-05j 0.00681148+0.00100751j -0.0078773-0.0107457j -0.00256461+0.017181j 0.00545291-0.00666238j 0.000566821-0.00223245j -0.00189496-0.000133121j -0.000691149-0.00146836j -0.00067669-0.00513288j -0.00997418+0.00113222j -0.0031595+0.00115648j 0.00520032+0.00170184j -0.00364771+0.0109508j -0.000753004-0.00287477j 0.00971847-0.00169807j 0.000415693+0.00225545j -0.00323738-0.000750927j -0.00130857-0.00423649j 0.00259321+0.00212581j -0.0103574-0.00271396j -0.00710789+0.00566105j 0.000240909-0.00540305j -0.00507828+0.00357119j -0.00346526-0.00309244j -0.00149185-0.0100605j 0.00609036+0.00702521j -0.000338765-0.00325997j 0.00221985-0.000815321j 0.0148619-0.0191894j -0.00273225+0.00220757j 0.00429861-0.000717563j 0.000461929+0.0145421j 0.00895893-0.00617612j -0.00373648+0.00270014j -0.0164061+0.00521642j 0.0167907+0.00024194j 0.00652106-0.000166245j -0.0121857+0.000421764j -0.00582395+0.00426273j -0.013832+0.00659446j -0.00489715+0.00492903j -0.00912653+0.000346843j -0.00092973+0.00451602j -0.00360114-0.000750743j 0.00455602-0.000178805j 0.00139602+0.00715411j 0.00790644-0.0127344j -0.00323764-0.0107339j -0.00658117-0.005589j 0.0146957-0.0026049j 0.00336212+0.00175035j 0.0158258-0.0121984j -0.0092352-0.00154214j -0.0054767+0.00370512j -0.020955+0.00844667j 0.0128046-0.00480497j 0.0149601-0.000528957j 0.00619462+0.00620472j 0.00895852+0.00294581j -0.0129792-0.00325278j -0.00043685+0.0101806j -0.00904309-0.0204427j -0.0018546+0.0124731j 0.000806714-0.0177128j -0.00238752-0.0232461j -1.52394e-05+0.00863535j 0.00217218+0.00261167j 0.00422807+0.00415685j -0.00345841+0.00349595j 0.00915632-0.018346j -0.00560592-0.00188707j 0.00532005+0.00138385j 0.000151441+0.00735795j -0.00629081+0.00913186j -0.0042659-0.00822863j -0.0053148-0.00648614j -0.00145005+0.00539658j 0.00674593-0.00492498j -0.00138752-0.00266447j -0.0019638-0.0017199j 
0.0047938+0.00552176j 0.00351278-0.00998515j -0.0113708+0.0174752j -0.00294415-0.0152702j 0.000393172-0.0192427j 0.00658947+0.00682783j -0.00943799-0.00250609j -0.0184715+0.00945622j -0.00590813+0.0116675j 0.0132038+0.0100138j -0.010579-0.00606621j -0.0135392+0.00509915j -0.0100875-0.00414223j 0.0114661-0.00806176j -0.00483036-0.00127441j -0.00812655-0.00284451j 0.008833+0.00549043j -0.0032611+0.00494083j 0.00506654-0.000348594j -0.00609626+0.00265974j -0.00668197-0.00760118j -0.00297023+0.0177118j 0.000408886+0.0029973j -0.00791916-0.00306532j 0.00646843-0.00168049j 0.0097557-0.00628628j -0.00252214-0.0126179j -0.00486589+0.00495439j 0.000630328+0.00393509j -0.015271+0.000438342j 0.00932175-0.00119172j 0.00420841-0.00369724j -0.000555237+0.00412522j -0.00300003-0.00321931j 0.008376+0.00284294j 0.00706761-0.00680215j 0.00254195+0.00915031j 0.00796481+0.00120657j -0.000759498+0.00775258j 0.00629747+0.0126376j 0.00689642+0.0018468j -0.00610522-0.000501086j -0.00419019+0.00237984j -0.0172884+0.0124573j 0.0056764-0.000560451j -0.00639611-0.011041j -0.00048415-0.0183566j -0.00921869+0.00739512j -0.00209249-0.0081714j 0.0129636-0.0132482j -0.0240931-0.0146349j -0.00435761+0.00126047j 0.0119626+0.00460441j 0.00657864-0.00105623j 0.00985952-0.00682135j -0.00181391-0.00290491j 0.00692258+0.00355774j -0.000113288-0.0039298j 0.00181462+0.00200001j -0.00159831-0.00269236j -0.00186368-0.0107816j 0.00198987+0.0131089j -0.00170886+0.0164808j 0.000724142+0.00820384j -0.0046132+0.00154987j -0.00413916-0.00764155j -0.00832516+0.0170369j 0.00108822+0.0016198j 0.0116656-0.00376066j 0.0259615-0.0127966j -0.0105651+0.0109635j -0.0189243+0.00855727j -0.00081005-0.00156818j -0.00830779+0.00112901j 0.0125441+0.00894672j 0.00545617-0.00601054j 0.0108031+0.0202225j -0.000565635-0.011654j -0.000769074+0.0186001j 0.00514636+0.0247955j 0.00162495-0.0118258j -0.00333707+0.00304503j -0.00895448+0.000840876j 0.000939775-0.0085608j -0.00952316+0.0199908j -0.000904352+0.00246217j -0.00399861-0.000655455j -0.000547558-0.00542493j -0.000205219-0.00904792j 0.000363729+0.00603017j -0.0015392+0.00341316j 0.00850515-0.00367044j -0.00592537-0.00206704j 0.0045957+0.000979215j 0.00280334+0.00508628j 
0.0125311+0.008284j 0.00660015-0.0089662j -0.00238088-0.00151255j -0.00420956+0.00550384j -0.00825975+0.00742289j -0.00348486+0.0106594j 0.000128561-0.00881346j 0.00607273-0.00416581j 0.00210795+0.000501983j -0.00746564+0.0014981j 0.00229181+0.00204877j 0.00555587+0.00535695j -0.00838456+0.00218614j -0.0065166+0.000952916j -0.00129957-0.00923901j -0.00731052-0.00969181j 0.00333956+0.00646224j -0.00119754+0.00123674j -0.00386884-0.00273039j -0.00929582-0.0116201j -0.0153113-0.00803768j -0.00806275+0.0086056j -0.0154783+0.00258787j 0.00302755-0.0099955j 0.00134165-0.000194907j 0.00307051+0.00998497j -0.000862724+0.00810489j -0.000539113-0.000578217j 0.00099387+0.000136753j -0.00454401-0.0077291j 0.00764694-0.00704104j 0.0150893+0.00363205j 0.00797002-0.00112098j 0.00393335-0.000976517j -0.00237721-0.00153754j -0.00985216-0.00487492j 0.00961237+0.0135166j -0.00119243-0.00112822j -0.0490319-0.0191908j 0.00602235+0.0252467j 0.0295693+0.0336004j -0.0115011-0.00875524j 0.00101362+0.00562195j -0.0125841-0.00757767j 0.00367714+0.010792j -0.024171-0.0215765j -0.000835263-0.0143641j -0.000365681+0.0152426j -0.0141233-0.0188198j 0.00610817-0.0128516j -0.0343732-0.0291601j 0.00329581+0.00850461j 0.0163254+0.00896838j 0.00673782+0.00569818j -0.00523999-0.018321j 0.00346111+0.0183172j 0.0147094+0.0189672j 0.000458668+0.0114843j 0.000320219-0.00781459j 0.00545574-0.00233875j -0.022499+0.010123j 0.00924638-0.0180013j -0.0173615+0.00653833j -0.0311676+0.00439001j 0.0396924-0.00864335j 0.0236352-0.00807767j 0.014273+0.00896151j -0.0373389+0.00284386j 0.0175321-0.0123057j 0.00191045-0.00773077j 0.00624931-0.00140069j -0.0189198+0.0101288j 0.00923812+0.00673049j 0.0257772-0.00527993j 0.0106356+0.0251673j -0.0250566+0.0168905j 0.00912869+0.0233866j -0.0176372-0.0162006j 0.0184026+0.00860507j 0.00744977+0.0364893j 0.0200682-0.0229817j -0.00351747+0.0204951j -0.0262022+0.0354126j -0.0313966-0.0279778j -0.0149567+0.0266436j -0.0119908-0.0212795j 0.010374-0.018842j 0.000486671+0.00335745j -0.00692793+0.00837945j -0.0109164+0.000222288j -0.00862355+0.00343947j 0.00716284+0.00665552j -0.0105698-0.0074064j 0.0101728+0.00558141j -0.00543608+0.00203482j 
0.000481235-0.000251335j -0.00143305+0.000562004j 0.0137404+0.014306j -0.0199768-0.0283454j -0.00614043+0.00185347j -0.00200564-0.0087996j 7.26819e-05-0.0194029j 0.00778252+0.00289005j -0.00353216-0.0152994j 0.00774276-0.0183755j -0.000553302+0.00106647j -0.0195195-0.00454653j -0.00263814-0.00134751j 0.0159776+0.0153268j -0.00549523+0.0147762j -0.00588169-0.00884639j 0.00160994-0.0124516j -0.00890351+0.0015509j 0.00136332-0.00981301j 0.0137841+0.0154049j -0.00410395+0.0127251j -0.00124306-0.00524212j -0.00255047+0.00288907j 0.000648321+0.00481462j -0.00492557+0.00223663j -0.00339532+0.00607552j -0.00217988-0.00131802j 0.00581987+0.00685214j 0.00652796+0.00532229j 0.0070854-0.000865468j -0.00121615-0.0025406j 0.00259876+0.00532887j 0.00210183-0.000121316j 0.00335351+0.00218712j -0.00560296-0.00326251j -0.00234145+0.00252205j -0.00499543-0.00246622j -0.00255913-0.00155139j -0.00598336-0.00842183j -0.00380404-0.00229767j -0.00387021+0.00599746j 0.00120177+0.00188489j 0.00139497-0.00193189j 0.00445785-0.00283031j -0.00189428-0.000591651j -0.000743909+0.00404743j 0.00172308+0.00306366j 0.00703328-0.00419467j 0.00365704+0.00436545j -0.00491361+0.00591266j 0.00415642+0.00292528j 0.00236041+0.000750943j -0.00202085-0.00153125j 0.000393448-0.000261378j -0.00203994-0.00188404j 0.00421856+0.00259812j 0.00244292+0.00196991j 0.00053872+0.00375613j -0.000810615-0.00297149j 0.00127964+0.00246644j -0.0022812+0.00822698j -0.00459272-0.00715986j -0.00219992-0.00636376j -0.00156438-0.0037967j 0.00512263-0.00212491j 0.00501395+0.00520126j 0.00400823-0.00513579j -0.00486633+0.00139746j -0.0029757+0.000657005j -0.0104812+0.00624242j 0.0073022-0.0053721j 0.00625064-0.00180048j 0.000724589-0.000603974j 0.00798914-0.00367481j -0.00600848+0.000952119j -0.0059576+0.00423713j -0.00101401-0.00265057j -0.00385388-0.00043943j 0.00388966-0.00587853j -0.00237864-0.0034387j 0.00211902+0.00201217j 0.00101717+0.00048413j 0.00123827+0.00476621j -0.00330019-0.000239397j -0.000246724-0.00425165j 0.000252753-0.00369609j 0.00300226-0.00317427j 0.00103769+0.00239555j 0.000393075+0.00615612j -0.000797334-0.00246885j 0.000919821-0.00103628j -0.00398412+0.00171961j 0.00139733+0.00109873j -0.00124055+0.000509169j -0.0017244-0.00281148j 
-0.00167802+9.46708e-06j -0.00170923+0.00625868j 0.00429834+0.0159291j -0.0101078+0.00176669j -0.00631715+0.0148625j 0.00775313-0.0104399j 0.00544987+0.000395151j 0.012979+0.000483511j -0.00489747+0.00170004j -0.00455947+0.00844546j 0.00395034-0.000424011j 0.00157981-0.00379964j -0.0119248-0.0104669j 0.000463039-0.00951216j -0.00674029-0.000802772j -0.0147364-0.0123496j 0.00946638+0.00261847j -0.00597152-0.00280674j -0.0104854+0.00253109j -0.00680925-0.00869538j 0.00907872-8.56585e-05j -0.00695113-0.00126643j -0.0036068+0.000248329j 0.00978221+0.00661207j -0.00200893+0.0029341j -0.0106191-0.00862428j -0.00775551+0.00452149j 0.00836639+0.000309416j -0.0163457+0.006879j 0.00386309+0.00313474j 0.0126596-0.0019379j -0.00293017-0.0110972j 0.00326749-0.00270342j 0.00523459+0.00280394j 0.00295038-0.00273505j -0.00903255+0.00483425j 0.0149313+0.000593423j -0.00705082-0.00549782j 0.00774531+0.014614j 0.00133329-0.00535198j -0.00782265-0.014933j 0.00339141-0.00102399j -0.00176225-0.00589904j -0.0030308+0.00275682j -0.00683863-0.0139033j 0.00970256+0.000311933j 0.0103057+0.017799j -0.00887319-0.00558812j 0.00398402-0.016016j 0.0102327-0.00377979j -0.00691658+0.00694121j -0.0115865+0.00627394j -0.00474738+5.42425e-05j -0.0108449+0.0181685j 0.000956816-0.00183149j -0.000249298+0.00277099j -0.00261244-0.007818j 0.00963497+0.0100041j 0.0044755-0.00323925j -0.00972476-0.00332129j -0.0146679-0.00185543j -0.0134169+0.00128243j -0.000559351+0.00341617j 0.0161574-0.00326149j -0.00447038+0.00449223j -0.00361043+0.00249414j -0.0101477+0.00619366j 0.00414151-0.00707397j -0.00301038-0.00259135j 0.00314146-0.00309014j -0.0086299-0.000411419j -0.00537232-0.000857169j -0.0018077+0.00684395j -0.00547-0.00300548j 0.00435774+0.000679577j 0.00119545-0.00143262j 0.000494849+0.00559411j 0.00365381+0.00111019j 0.000761689-0.0060035j 0.00470838-0.00245397j 0.00842011+0.00127279j -0.00504318-0.00926403j 0.00664057-0.000503909j 0.00307222+0.00387107j 0.0018502-0.00117622j 0.0057808+0.00517014j 0.00410074+0.0012737j -0.00119067-0.00343413j 0.00348761-0.00443041j -4.8176e-06-0.00438316j 0.00360455+0.0124055j -0.0187552+0.00613017j -0.0108791-0.00930712j -0.0021373-0.00363163j -0.000359235-0.00721752j 
-0.00355446-0.000286836j -0.00546744+0.00618458j 5.54059e-05+0.00489801j -0.000456463+0.00987668j -0.0126493-0.00782651j -0.0108938+0.000765494j 0.00455613+0.00918306j 0.00933926+0.00033424j -0.00332103+0.00730553j -0.00486138+0.00148619j 0.000938643+0.00223954j -0.00246573+0.00415187j -0.00620724+0.00840077j -0.00502715+0.0063716j -0.0014728-0.00990937j -0.00766312+0.00408034j 0.00506697-0.00303898j -0.00084605+0.000727795j -0.00140442-0.00166049j -0.00218924+0.00741538j 0.0038614-0.00342594j -0.0199653-0.00203554j 0.00718344+0.00987037j -0.00139141+0.00217164j -0.0149463-0.00432667j -0.0173444+0.00160954j 0.0127353-0.00401849j 0.00779752-0.00111492j 0.00499001+0.00327462j -0.0138549-0.00790196j -0.0174527+0.0114884j -0.00177971-0.0116028j 0.0055591-0.00372457j 0.00376982+0.00206916j 0.00238004-0.00918711j 0.00624373+0.00418769j -0.0163625-0.00706641j -0.010031-0.00240746j 0.0171594+0.00990653j -0.0079391-0.0216544j -0.0268411-0.0120689j 0.0111302+0.00264037j 0.000282329+0.000962484j 0.028196+0.00256116j -0.00930941-0.0107778j 0.0104575+0.0196861j -0.00486693+0.0252341j 0.00260155-0.0122845j 0.0212414+0.0115644j 0.012487+0.011889j 0.00831299+0.0331418j 0.00889431-0.0061004j 0.000311543-0.0179051j 0.0115958-0.0123248j -0.00692371+0.0101788j 0.00128224-0.0192285j 0.00531991-0.0170154j 0.00415745+0.000977174j -0.0018868-0.00441775j -0.00650013+0.0161159j 0.00987508+0.016575j 0.00046834-0.0173967j -0.00370688-0.0160421j 0.00733259-0.0114188j -0.00757771+0.00572835j -0.00500877+0.0197506j 0.000534029-0.0260118j 0.00664717-0.000620992j -0.0183407+0.0124105j -0.0271216+0.0205075j 0.00540005-0.00433795j 0.0292305-0.0155704j -0.00890528+0.00175209j -0.0139329+0.00353201j -0.0203652-0.0125443j -0.000544705-0.00539624j -0.0166973-0.0187043j 0.00989273+0.0151608j -0.0131128-0.0134252j -0.00760002-0.0252937j -0.00648825+0.0144978j -0.00200273-0.0149498j 0.00336309-0.0141579j 0.00160866+0.0102008j 0.0214088-0.0202869j 0.000989556+0.00298149j 0.00587449-0.00407807j 0.00182697+0.000979631j 0.00858592+0.00148997j -0.000679315-0.00275728j 0.00223832-0.000787878j -0.00506641+0.00390187j 0.0035283+0.00355185j -0.00515461+0.00674291j -0.00838959-0.00437988j 
-0.00347098-0.00634908j -0.0034806+0.00371131j 0.00596146-0.00062386j -0.00234622-0.00663786j 0.00497359+0.00439337j 0.00413303+0.00640269j -0.00285689-0.00856803j 0.00408712-0.00324392j -0.00171748-0.0125804j 0.00389757-0.0138672j -0.00256652+0.01195j -0.00516744+0.00346995j -0.00264984+0.00613805j -0.00773709+0.00553579j -0.00153749+0.00114304j -0.00174267-0.00567434j 0.00111256+6.347e-05j 0.00166982-0.00396126j 0.0031421+0.00178264j 0.000900496-0.00961033j 0.00470711-0.00408899j -0.0156279-0.00359026j -0.00995818+0.00698482j 0.000620269-0.00252666j 0.0112399+0.00975639j -0.0151776+0.00859773j 0.003661-0.00224668j 0.00451498+0.00299493j -0.00946176-0.0120639j -0.00614278+0.00108854j -0.0104451+0.00200412j 0.00326009+0.00185226j -0.00666127+0.00055212j 0.00324422-0.00101882j 0.0105282-0.00384841j 0.00631677+0.00227085j -0.00129261-0.00308164j 0.0127369+0.000822567j 0.0238578+0.0144985j 0.0131216-0.0132025j 0.00953445-0.00890139j -0.00234666+0.00126192j -0.00139259-0.0087787j 0.00832279-0.0146859j 0.00141786+0.00505822j 0.0116992+0.0103312j 0.00413786+0.00705916j -0.0170385+0.00233304j -0.00107198+0.00571211j 0.00874723-0.00443996j -0.0024509+0.0175008j -0.0082523-0.00972115j -0.00666975-0.00472672j -0.00594418-0.00185453j 0.00032799+0.0122487j -0.0101985-0.0003166j -0.0112858-0.00511235j -0.000737671-0.000969128j 0.00506635+0.00421192j -0.0127958-0.00133373j 0.00346034-0.0129036j 0.0274393+0.0140201j 0.00263709-0.00698044j 0.00187005-0.00273911j -0.00803067+0.00416529j -0.0147085+0.00324884j -0.0030779-0.0108611j 0.00232769+0.00139824j -0.00153646+0.00385477j -0.00164135+0.00171805j -0.00645924+0.00528998j 0.00497991-0.00178549j 0.000436995+0.00316273j -0.0156451+0.0111236j -0.00338481-0.00767581j 0.01549-0.000380058j -0.0009515-0.0136551j 0.0107495+0.0127583j -0.0166315-0.0122251j -0.00275847-0.023544j -0.00593311+0.0114575j 0.00445112-0.00734058j -0.00119743-0.024304j 0.00570863+0.00749872j 0.0137941-0.00804691j -0.000166789+0.0107841j -1.08516e-05+0.00201359j -0.00224542-0.00201033j -0.0061455-0.00770542j -0.000541631+0.00469026j -0.00244591+0.00158647j 0.00497638-0.0009384j -0.000879493-0.0038574j -0.005097-0.00101624j 0.00190283-0.00253844j 
-0.00501563-0.00752j -0.0143628+0.00614548j -0.00235831-0.000324475j 0.00952072-0.00239016j -0.00670503+0.00436506j -0.0037243-0.0066702j -0.00478525+0.0014707j 0.00282944-0.00562783j -0.00694442-0.000511609j 0.00180824+0.00169643j -0.00512154-0.00123023j -0.00107454-0.00159947j 0.00265377+0.00277269j 0.00262561-0.00665002j -0.000772632+0.00815375j 0.00379427+0.00448559j -0.0111913+0.00505637j 0.00424702-9.60644e-05j 0.00467172+0.00432764j 0.00233741-0.000273436j -0.0140728+0.0110865j -0.0143676+0.00120681j 0.00175092+0.011526j -0.000532276+0.0161637j 0.00837593-0.00223444j -0.00455534+0.00494952j -0.0024545+0.000390232j -0.00568912-0.000747672j 0.00406409+0.000150429j -0.000550364-0.006508j -0.00466852+0.00333216j -0.0100144-0.00892332j 0.00296624-0.0032315j 0.00176017-0.000402594j 0.0060603-0.00517279j 0.000909801-0.00111316j -0.0143301+0.00677277j 0.0094425+0.000251752j 0.0239813+0.00558417j -0.0124914-0.00371023j 0.00574262-0.000667234j 0.00066632-0.00152605j -0.00585334-0.00122225j -0.0127214-0.00412422j -0.00293014+0.00204552j 0.0057735+0.0118603j 0.011536+0.000141347j -0.00038935+0.00288416j 0.00425349-0.00262454j 0.00322738-0.00222952j 0.0148812+0.002057j -0.00617277-0.00416081j -0.00183065-0.0132103j -0.00432948+0.00662404j 0.00542107-0.00726062j 0.013145+0.00759096j 0.00987845-0.00510078j 0.000299756+0.00944205j -0.0100552-0.00486308j -0.00106998+0.00975575j -0.00201096-0.00800987j -0.00446305+0.0343523j 0.00623231+0.0228641j 0.0135058+0.00440443j -0.0245217+0.00373862j -0.0192779+0.00165048j -0.00379238+0.00041226j 0.00588708+0.00740072j -0.00998311+0.00525896j 0.0114324-0.00614576j 0.000428763+0.00363841j -0.000695513+0.00435452j 0.00203441+0.00702933j -0.00213425+0.00224023j 0.0112703-0.00297844j 0.0162621-0.00491553j 0.00393001+0.00366045j 0.00578164+0.00515444j -4.20376e-05-0.00253985j 0.0077784-0.00705259j 0.00427286+0.00989346j 0.00176554-0.00409606j 0.0117362-0.00873132j 0.00976502-0.00065189j 0.00150009-0.0057188j 0.00313612+0.0201087j 0.00175493+0.0315966j -0.00407562+0.00378527j -0.0106044+0.0133748j 0.00259466-0.0113888j -0.00250449+0.0124404j -0.0165592-0.000558819j -0.00309597-0.0251235j -0.00114906-0.0153351j 0.0119983-0.00673113j 
-0.000112944+0.00471507j -0.000339431+0.00435952j -0.0028048-0.00133734j 0.00206172+0.00114838j -0.0249146+0.00466766j 0.00130074+0.0139102j -0.000656968+0.00322241j -0.00304022-0.00347233j -0.000368951+0.00554153j -0.00917265-9.60219e-06j 0.00120634+0.00390007j 0.00342474+0.00318946j 0.000895808+0.00995312j 0.00532365+0.00603045j -0.00173912-0.00713806j 0.000343423+0.000930032j -0.00157504+0.000974646j 0.000620278+0.00446856j -0.00290654-0.00360087j 0.0045945+0.00219499j -0.00628347+0.011157j -0.00631101+0.00783183j -0.0228438+0.00944526j 0.0113071-0.00317366j -0.000517075+0.00438275j 0.0107817+0.00975381j -0.00209991+0.00177831j 0.00781935-0.0023314j -0.00286883+0.00356516j -0.0116548-0.00842021j 0.0174865+0.00280797j -0.000663356+0.000207574j 0.00428665+0.00133313j -0.00395562-0.00518675j -0.0047302-0.00271041j -0.000874731-0.00363132j -0.000612099-0.000913355j 0.0190599+0.00123368j 0.00151056+0.0113512j 0.00835454+0.00743724j 0.0120605+0.00933498j -0.00282475-0.0017976j 0.000332541+0.000534551j -0.0042027-0.00578939j -0.00212406+0.00389896j -0.0150412-0.00625675j 0.00259886-0.0110442j 0.00448221+0.00624495j -0.000407845+0.0120651j -0.000192513+0.0103085j 0.00203124-0.0119236j -0.00205738+0.00576899j -0.00516807+0.00253588j -0.000335129-0.00496497j 0.00219966-0.0208467j -0.0109135+0.00798338j -0.0195935+0.00631323j -0.00226144+0.00188669j 0.019599-0.00224567j -0.00919438-0.0112428j -0.0191381-0.00212837j -0.00665462-0.0120322j -0.000274901-0.00458075j 0.0062675-0.000447421j 0.00476891+0.00195924j 0.00818341-0.00746284j -0.00502471+0.0150283j 0.00502506-0.0111581j 0.0080816-0.00935633j 0.00411184-0.0110703j -0.00628177+0.00191116j -0.00637068+0.00872503j 0.000137389+0.0037429j -0.00285929+0.000105577j 0.006428+0.00819297j -0.00146128+0.00652495j 0.00740231+0.00195154j -0.00225122+0.00102861j 0.0044365-0.00438862j 0.00193047+0.00367401j 0.00447535-0.00436971j -0.0053791+0.000199497j 0.00428958-0.00264624j 0.00545667+0.000542319j -0.00743056+0.00220937j 0.000115361+0.000508342j 0.00172214-0.0030527j 0.000236085-0.00412224j -0.00167336-0.00889661j -0.00553834+0.00172091j -0.00397244+0.000205144j 0.000786182+0.00350443j -0.000805902-0.0015891j -0.00291919+0.00109364j 0.0032423-0.00335393j 
0.00386418-0.000974486j -0.00451632-0.00296998j 0.00550399+0.00644642j -0.00315931+0.00533528j 0.00804017+0.0059959j -0.00631199+0.0041692j -0.00062055+0.00187709j 0.00346063-0.0010608j -0.00119967+0.0022732j -0.00140164+0.00408112j 0.0027506+0.000532172j -0.00120051-0.00210421j 0.00515974+0.00125359j 0.00101864+6.39366e-05j 7.24264e-05-0.00346712j -0.000588179-0.00236557j 0.00613473-0.000438589j -0.00716964+0.000452745j 0.00341446+0.00102544j 0.00443299-0.000835964j 0.0120698+0.00749868j 0.000971665+0.0093761j 0.00711126-0.000449489j -0.0132792-2.08382e-05j -0.00246831+0.00267211j -0.00474333+0.00148105j 0.0042767+0.00103032j 0.0037167-0.00478364j -0.00836523+0.00769433j 0.000213239+0.00243229j -0.0155302-0.00389891j -0.00176991+0.00764407j 0.00255234+0.00189644j 0.000419753-0.00227254j -0.00902641-0.00445393j -0.00122394-0.00980156j -0.00955142-0.00293661j -0.0273281-0.00805106j 0.0190122-0.00432934j -0.0172674+0.00443495j 0.0117095-0.00757844j -0.00416569+0.00937099j -0.00145937+0.00598444j -0.00824345+0.0291016j 0.00572195-0.00532301j 0.0034563-0.0126411j 0.00401753-0.0149681j -0.0021137+0.011121j -0.00437256+0.0207817j -0.00348188+0.0039258j 0.000839812-0.00983152j 0.0082043-0.0134842j 0.00126982+0.0104385j 0.00176424-0.00552508j -0.00997777+0.0186306j -0.00358518+0.00279532j 0.00586428+0.00328552j -0.000647189-0.00230711j -0.0131213-4.50001e-05j 0.0175161+0.000548739j 0.021649-0.0221046j 0.00468339+0.0169461j 0.0207787+0.00890179j -0.00426088+0.00161712j -0.0217301-0.00353645j -0.0147241-0.0118493j -0.0029455+0.013055j 0.0103151-0.00306032j 0.0112205-0.00394337j 0.0273224+0.000444337j -0.00388184+0.0147105j -0.0137919+0.00033892j 0.00229409-0.0045715j -0.00971689+0.0045654j 0.00408033-0.00981094j 0.0134637-0.0127082j -0.00566906-0.00234786j 0.0123363+0.00515113j -0.0128674+0.00170603j -0.000226868+0.00457972j -0.00867456-0.000547663j 0.00478671+0.00459265j 0.0052028-0.00859352j 0.0202023+0.00223999j 0.013796+0.0314872j -0.00543059+0.0066082j -0.00728739+0.0226659j 0.00107331+0.00281238j -0.00192738+0.00496362j 0.00621425-0.0144912j -0.0107232-0.00906525j 0.00335474+0.0016183j 0.0108471-0.00257564j 0.0168179-0.0153213j 0.0187623+0.0107814j 
