0.01404+0.00649158j -0.00870361-0.00266786j -0.0043057-0.010362j 0.0115546+0.00106869j -0.00971695-0.00718281j -0.00438956-0.00415738j -0.00204001+0.0215284j 0.00633688+0.013952j -0.00369279-0.00835043j -0.00657816-0.00915478j -0.00881617-0.00797981j -0.00987537+0.0162971j -0.00633005-0.00402591j 0.00238753+0.00596667j -0.00194146-0.00448598j 0.00259767+0.00801412j -0.000881475+0.00073057j -0.00241001+0.00582873j 0.00460298-0.0121859j 0.00359611-0.0071225j -0.00395044-0.00345309j 0.0018178+0.0047529j 0.0100521-0.017647j -0.012706-0.00341876j 0.00186776+0.00800311j 0.00383382+0.00266727j 0.0120173+0.0054417j -0.00192395-0.00798002j -0.00123039-0.0131429j -0.00609108+0.00387614j 0.00267443-0.00253389j -0.00727545+0.00847638j 0.00927038-0.0246822j -0.0213807+0.00194865j 0.00427988+0.00439886j -0.00466101+0.0110853j 0.00566445-0.0150262j 0.013884+0.0125035j 0.0180439-0.00345555j 0.00817676-0.0215441j 
0.00754218+0.00322848j -0.00925704-0.00597304j -0.0190113-0.00422787j 0.0099832-0.0306777j 0.00329779-0.00584405j -0.00862499+0.0124621j -0.00508379+0.00273862j 0.0194873-0.00437568j 0.00780304-0.00540947j -0.00365087-0.0140281j -0.00471759-0.000281348j 0.011083-0.00229434j 0.00413008-0.008544j 0.00248636-0.00750242j 0.00671211-0.00743718j -0.00484926-0.0026162j 0.00490684+0.0109832j -0.00113578-0.0136619j 0.0108709-0.00942177j 0.000492433+0.0137858j -0.00260406-0.00402809j -0.00991904+0.0139945j -0.0168529+0.0134922j -0.00114494+0.0109617j -0.013103-0.00401912j -0.00754393+0.0100207j 0.0100847+0.0169024j 0.0104922+0.0149895j -0.00184551+0.00917791j -0.000545024-0.00501801j 0.00213743+0.00563035j -0.0108268-0.00708927j 0.00714684+0.00915749j 0.0154458+0.00641908j 0.000329208-0.0076588j -0.0112673+0.00539851j -0.0153054+0.0211766j -0.023141-0.00630426j -0.0126411+0.0192967j 0.0084099+0.00575312j 
-0.00137441-0.0143217j 0.0103975-0.00148437j 0.0210165+0.0167443j -0.00893647+0.0138368j 0.0167741-0.00561372j -0.0034394+0.0114447j -0.0172649-0.00227737j -0.0116114-0.0076057j -0.00611518+0.000863305j 0.00301528-0.00703263j -0.000703283-0.01086j -0.00775179+0.0144612j 0.00145251+0.00906882j -0.00906942+0.0113914j -0.00570377-0.0127442j 0.00970629+0.00280527j -0.00736067-0.0114118j -0.00256213+0.00336821j -0.00858564+0.000703679j -0.00157031-0.00693695j -0.0019162+0.0196089j -0.00405453-0.000128522j 0.0069558-0.00868777j -0.00277684+0.0130613j 0.00790869+0.0146981j 0.014803-0.00751151j -0.0111084+0.0116376j -0.00323054+0.000800137j -0.0159874+0.00971616j 0.00275499+0.012622j 0.0101853+0.0101592j -0.0270084+0.00120524j -0.0100166-0.0110994j -0.00908011+0.0146817j -0.00177953+0.0141128j -0.016308+0.0145825j -0.000917382+0.00610737j 0.0017738-0.00123832j -0.00217343-0.00245274j -0.000376836-0.0050098j 
-0.00161953-0.000343702j -0.00356065+0.0146323j -0.00293305+0.00450992j -0.0106912+0.00253275j -0.00838107-0.00148349j -0.0047072-0.0130922j -0.00218772+0.00829314j -0.00150119+0.00971171j -0.00901615+0.000228577j 0.00302923-0.0165717j -0.000224065+0.00410778j -0.003485-0.00464156j -0.000945768+0.0162363j 0.00193784-0.00037912j -0.00555287+0.0119496j -0.00164339-0.0129924j 0.0196355+0.0223205j -0.0130138-0.0167702j 0.00262548-0.00464922j -0.00827641+0.00372646j -0.00299215-0.000285104j 0.00983076-0.00809395j 0.00207661-0.00139237j -0.000524831+0.00586766j 0.00897234-0.010611j 0.00614753+0.0166496j -0.00161233-0.000333508j -0.0062331+0.0049988j -0.0165245-0.00386627j -0.000974755-0.00454838j 0.00132775-0.0135329j 0.0170496+0.00665239j 0.00495636-0.00663829j -0.0105371+0.00105528j 0.00218157-0.0200741j 0.000892621+0.00952724j -0.0140232-0.00266703j -0.00103906-0.0105091j -0.00273438+0.0256777j 0.0193224+0.00120018j 
0.000835019+0.00416359j -0.00464166+0.0325528j 0.00412319+0.000411531j 0.00144699+0.00331639j 0.00926997+0.00278089j 0.00100413+0.00596402j -0.0055401+0.00120062j -0.00428719-0.0103142j 0.00357358-0.00144668j -0.00254799-0.0265328j -0.00545069+0.0298404j -0.00103336-0.0171j -0.00724446+0.0187474j 0.00347732-0.020839j -0.0195291-0.0081061j -0.00609694+0.000321834j 0.0353107-0.00275958j 0.0125701-0.0069119j 0.0205954+0.00232515j -0.0139478-0.00832112j 0.0198648+0.00734496j 0.00128828+0.00466734j -0.0158718-0.00175642j 0.0117876-0.0116073j 0.0101378-0.00816052j -0.000874202-0.0013885j -0.00167285+0.0118545j 0.00614935-0.00389416j 0.0110019+0.000903315j -0.00923137+0.00916758j -0.00414528+0.00371264j -0.00596672+0.000751957j 0.00832531-0.00215169j -0.00586773+0.00839709j 0.00241744+0.00230038j 0.00578354-0.0113773j 0.00103859-0.0146666j 0.00948186+0.00843717j 0.00866351-0.0136101j -0.00652271-0.00554696j 
-0.00519571-0.00366397j -0.00264056-0.00814137j -0.0042737+0.00203254j 0.00578585+0.0145137j 0.00435484-0.0153854j 0.00639735+0.0113206j -0.0132079+0.000657274j 0.00676988-0.00669882j -0.0188382+0.00327518j 0.00273042+0.028302j 0.00265497-0.0103415j -0.00264396+0.00858247j 0.000622438+0.00693306j -0.00536843-0.00891213j 0.0116057+0.00151578j -0.00607704+0.00691707j -0.0210551+0.00212779j -0.012146+0.0167424j -0.00469064+0.00689397j -0.000881051-0.00573785j 0.0174405+0.00369846j 0.00279968+0.00795839j -0.000117261-0.0018723j 0.0157172-0.0126463j 0.0130245-0.0249219j -0.00174643+0.0073899j 0.00753288+0.00326669j -0.00438265-0.00340364j -0.0034621+0.00996236j -0.0107757+0.00898377j -0.00925488-0.0139877j 0.0123006+0.00175393j 0.0128202+0.00216066j -0.00374466+0.00777951j -0.00247768-0.0129092j 0.0156042-0.0167087j -0.00472778-0.0142522j 0.0112544+0.00329354j -0.00287684+0.00420615j -0.00696417+0.0081887j 
-0.0025+0.000883746j -0.0074746-0.00178212j -0.00249049-0.00174395j 0.00640981-0.00472701j 0.00469486+0.00906042j 0.0105723-0.00270757j -0.00109861-0.0120248j 0.0094632-0.00346487j 0.00502227-0.00597277j -0.00228135+0.00945951j 0.00475587-0.00522986j 0.00764337+0.00609637j -0.00237322-0.0122901j 0.00224439-0.0045808j 0.00294695+0.0085299j -0.00789171-0.00670328j -0.01318-0.00129644j 0.000332214+0.0110527j 0.00333674-0.00358513j 0.00511537-0.00281537j 0.0366154+0.0239475j 0.0235599+0.0335039j -0.00306659-0.00647504j 0.0319217-0.0194517j 0.0245293-0.0428621j -0.0151158+0.0365586j 0.02764+0.00561766j 0.0177348-0.0115176j 0.0125608+0.0120199j -0.0317451+0.0270481j -0.0113455-0.00897588j 0.0192679-0.0109082j 0.0268975-0.00386232j -0.0315318+0.0181413j -0.00787584-0.0296592j 0.0177565-0.036j -0.0274265-0.0347233j 0.00516592+0.00529813j 0.0134684-0.00339804j 0.00378463-0.0112672j 
0.00955674+0.00998004j 0.00671261+0.0395761j -0.00244344-0.00770679j 0.00417863+0.00254625j -0.00267241-0.00568434j -0.00594616-0.000808875j 0.00220215+0.00380916j -0.00259447+0.0130012j 0.0037441+0.00651999j 0.00318936+0.0155366j -0.000704114-0.0122114j -0.00159092+0.0101875j 0.000344598-0.0214171j 0.00458973+0.0194859j 0.00730443-0.00614044j 0.00468373+0.0135639j -0.0263972-0.0139443j 0.000921857+0.00278508j -0.020258+0.00820012j 0.0176875-0.00670444j -0.00826994+9.59435e-05j 0.00282467+0.014585j 0.00574821+0.00339562j 0.00407112+0.0154208j -0.0138835+0.00166994j -0.00723042+0.010634j 0.00874995-0.00822988j 0.00537723-0.00326356j 0.000883414+0.0188257j 0.00216348+0.00313915j -0.00877017-0.00151142j -0.00143883-0.00456381j 0.00176092+0.00710108j 0.00905274+0.00695304j 0.00226952+0.00507559j 0.00115035-0.012411j -0.00329176-0.00501401j 0.00207626-0.00160419j -0.00779789+0.00389218j -0.00838231+0.00784117j 
-0.00130056-0.00675059j -0.00761549+0.0181193j 0.00278449+0.010807j -0.0191038-0.0138716j 0.00211831-0.00540338j -0.00566534+0.00417361j 0.00479986-0.00850824j 0.000990989-0.00773639j 0.00407497+0.00270937j 0.00670003+0.0318363j 0.00424378-0.0294395j 0.00752381+0.000845568j 0.00932478-0.00877244j -0.0137226-0.00575317j 0.020574+0.00232376j -0.000264229-0.00983596j -0.0287395+0.0123738j -0.00870097+0.0141479j 0.00396278-0.00500118j 0.00373742+0.00551112j -0.00560926-0.00355785j -0.0126571-0.0164131j 0.00608736+0.00983084j -0.009647-0.00335043j 0.00274259+0.00932676j 0.0112509-0.0119217j -0.00166839+0.00930223j -0.000118808+0.00542563j 0.00382248-0.0132307j 0.00564188-0.0118396j 0.00920611+0.00306665j -0.00344857+0.00729549j -0.00525631-0.00694802j 0.0030235-0.0107178j 0.00670824-0.00145514j -0.00895435+0.0189042j 0.00158998+0.0107372j -0.00816294+0.00268235j 0.00715576-0.00443088j 0.00828373-0.00978988j 
-0.0011733-0.00100787j -0.0151032+0.00323396j 0.00437104+0.00253992j 0.00568605-0.0049143j 0.00358961+0.00045189j -0.00423578+0.0025562j 0.00911087-0.00602865j 0.00256287-0.00246249j -0.00372195-0.0021541j 0.00328935+0.00484849j 0.00263251-0.00343444j 0.00630173-0.00250189j -0.00634731-0.00168767j 0.000712045-0.00555111j 0.0118431+0.00318514j -0.0141812-0.00536489j -0.00436179-0.00511817j 0.0183115+0.00144275j 0.000917774-0.00602195j -0.0122882-0.0111646j 0.0107544+0.00815285j -0.00690909-0.0029944j -0.00969961-0.000980774j 0.00487524-0.00557813j 0.00754415+0.00574036j 0.0037387-0.0127062j -0.00129183+0.0101668j 0.00970156-0.0119279j -0.00691663+0.00172724j 0.00659852+0.00716085j 0.000882176+0.0174401j -0.00437286+0.0051386j -0.00877873+0.00508969j 0.00369095+0.0167845j -4.69111e-05+0.00998095j 0.00522767+0.00542005j 0.00205318-0.000354802j 0.0168535-0.0134391j 0.00394507-0.00103891j 0.003478-0.00361061j 
0.00580124+0.00156385j -0.00621265-0.00263058j -0.0143681+0.00169894j 0.0141478+0.00445462j 0.00808533-0.00187335j 0.00448091+0.0179426j -0.0131625+0.00963013j -0.00210929-0.000736855j 0.00625212-0.0071902j -0.00115183-0.00812519j 0.00149949+0.0197624j -0.00278327-0.00314664j -0.0115956-0.0240698j 0.00752498+0.00999852j -0.0106544+0.000725518j -0.00515931+0.0043103j 0.0014912-0.0136651j 0.0127669-0.0069483j -0.0110966+0.00700855j 0.0130796-0.00906078j -0.0188954-0.00824032j -0.000200783+0.000201501j 0.000358409+0.0119878j -0.00409022+0.0100642j -0.0170308+0.00751923j -0.005685+0.00258157j -0.00406696-0.0184097j 0.0115574+9.09152e-05j 0.00834263+0.00750091j 0.0140788-0.00422444j -0.00814709+0.00154549j 0.0147956-0.00433261j -0.00634415+0.00907023j 0.00837217-0.00845994j 0.00460713+0.0105619j 0.00242524-0.0095199j 0.0047924-0.00327646j 0.0018113-0.0141246j 0.00698002-0.00152097j 0.00621666-0.00362914j 
-0.00762985+4.66083e-05j -0.00922902-0.000444815j 0.00840402-0.00161955j -0.000532159-0.0146825j 0.00796995-0.0132261j 0.00246217+0.014148j -0.00464457-0.00603087j -0.00661893-0.00974392j 0.00247417-0.00192616j -0.000973465-0.00439604j 0.000743601-0.00332143j 0.0102565+0.00763148j 0.00566627+0.0049932j -0.000828171+0.00686366j 0.00181522-0.00587865j 0.00636579+0.00172411j 0.00140313+0.00199573j -0.00214923+0.00194322j -0.00666874-0.00586391j -0.00506147-0.00218288j -0.0217534-0.0124976j -0.0130114-0.0187214j 0.00206479+0.00294117j -0.0153888+0.00320038j -0.0112914+0.0133948j 0.00615838-0.00918312j -0.0149254-0.00756166j -0.0070119+0.00530651j -0.00663663-0.0164462j 0.00714985-0.0158997j -0.0125043-0.00308042j 0.0120176+0.000889652j -0.00172022-0.00438794j 0.00492641-0.0113901j 0.00788689+0.00334816j 0.00440779+0.00267116j 0.0107831-0.0040802j 0.00845544-0.00168294j -0.00381536-0.00802349j -0.00365954-0.000784469j 
-0.00466124-0.00739807j -0.0261722-0.000118741j 0.0055184+0.00629171j -0.0128236+0.00162013j -0.00456545-0.00652381j -0.00579922-0.00405434j 0.000871221-0.00297064j 0.00821491-0.00250644j -0.0120482+0.0125665j -0.000749436-0.00664512j -0.00144729-0.00773435j 0.000811528+0.00102209j 0.0071766+0.0146037j -0.00328153+0.000131214j 0.00328058-0.0154432j 0.00453593+0.0125227j 0.000651901-0.00585508j -0.0018198-0.00609552j 0.00501201+0.000302602j -0.0033928-0.00142007j 0.00157425+0.000543905j -0.00773888-0.00290112j -0.00224122+0.00246116j -0.000366194-0.0009868j 0.000585715+0.00559253j 0.00343188-0.0112408j -0.00848818+0.00323401j -0.00632852+0.00544997j -0.00153663+0.0025251j 0.000714453-0.00164937j -0.0022843+0.00485111j -0.006056+6.22674e-05j -0.00339242-0.00222299j 0.0095909-0.00227692j 0.00235326+0.00735566j 0.00132298-0.00518539j 0.00658691-0.00226406j 0.00222832-0.0021558j -0.00343912-0.006411j -0.010028+0.0019497j 
0.0060502-0.00925279j 0.0253075+0.00391673j 0.0146519+0.0157659j 0.00307246-0.0038804j -0.00222172-0.0106599j 2.96954e-05+0.0111356j -0.00183571+0.007038j 0.00343678-0.0132637j -0.0198352-0.00284809j -0.00257607+0.00140469j -0.00738907-0.0114667j 0.000142847+0.00386965j -0.000189804+0.00326784j -0.00524787+0.000957757j 0.0123842+0.00238835j -0.00635309-0.0103412j 0.000548685+0.0109501j 0.00382057+0.00367034j 0.00674916-0.0163894j -0.00797244+0.0120252j 0.00245992-0.00481026j -0.0158015-0.00927441j -0.000745162-0.00117421j -0.00255166-0.00678186j -0.00051538-0.00425452j 0.00398563-0.00756595j 0.00197957+0.0121212j 0.00360527-0.00788432j -0.00129015-0.0076219j 2.59514e-05-0.0105417j -0.00711225+0.00264631j 0.01168-0.000944024j 0.00335272+0.00103417j -0.00152772+0.000805951j 0.00395492-0.00782887j 0.00489385+0.00624327j -0.00343479-0.0010022j 0.00356542-0.00658747j 0.00593879+0.00375172j 0.00849236-0.00378588j 
0.0124114-0.00907554j 0.00249508+0.000650825j -0.0141292+0.0130548j -0.00651689-0.00614004j -0.0133037-0.00656066j -0.00321253+0.00452256j -0.00242505+0.00911696j 0.0247457-0.00769017j -0.00510922+0.0052156j -0.00335146-0.0050833j -0.00402257-0.00552146j 0.00727113-0.00653471j 0.00695783-0.0051805j -0.00589974-0.00956132j -0.000106768-0.00945215j -0.00265184+0.0027489j -0.0012514+0.000984194j 0.00211417-0.00227537j 0.0112536+0.00409225j 0.00536913+0.0108413j 4.79023e-05-0.00193074j -0.00596366+0.00115727j -0.00760119+0.0103023j -0.00312921-0.00429474j 0.00270078-0.00286917j 0.00157384-0.00385596j 0.00146963+0.00474652j -0.00316201+0.00966764j 0.00182826-5.45398e-05j -0.00547667-0.000988414j 8.21121e-05-0.00190767j -0.00387288+0.00101993j -7.22048e-05-0.00747458j 0.00670076-0.00697513j 0.00234585-0.000195008j 0.000227622-0.00652507j 0.000939966-0.00290451j -0.000889745+0.00350306j -0.00201578-0.00659984j -0.00653806+0.00496327j 
