-0.0497303+0.0393012j 0.0822727+0.00248549j 0.0018674-0.00655005j 0.0712573+0.041344j 0.0208385+0.0589857j 0.0512543-0.0322825j 0.0854201+0.0161991j 0.0258882+0.0228264j 0.0627236+0.0479869j 0.0283543+0.0184286j -0.0376514-0.0782792j 0.018164-0.0570169j -0.0306768+0.0123488j 0.0456671+0.0225007j 0.00681701-0.0299278j 0.0471759+0.0191564j -0.0254542+0.0304848j 0.0301651+0.0250622j 0.00214903-0.0343295j 0.0143968+0.00359334j 0.0381985+0.0188189j -0.0191003-0.010641j -0.0206618-0.00466677j -0.0185886+0.00883986j 0.00847719-0.00928613j -0.014936+0.0162293j 0.0102799-0.0043869j -0.031773-0.0448213j -0.00208432+0.0274837j 0.034343+0.0355731j -0.0112101+0.0332842j 0.00297652+0.0281296j 0.00914793-0.0550297j -0.0327325+0.018842j 
-0.015604-0.0829099j -0.0236982+0.00735101j -0.0585835+0.0520054j 0.0110506-0.022905j 0.0806366+0.0254567j -0.0507419-0.0662125j 0.0151116-0.0377771j -0.0177347+0.0686785j -0.0180532-0.0113466j 0.053259-0.0469952j 0.0275151-0.0309097j 0.0816079+0.0152623j -0.0578585-0.0234183j 0.00831795+0.0357764j -0.0118319-0.0422848j 0.00753104-0.0216359j -0.0189942-0.00975042j -0.00147553-0.00276881j -0.0244288-0.0170803j -0.0105409+0.0341181j 0.0113908-0.0240528j 0.00481463+0.0076689j 0.0186771-0.0528427j -0.010155-0.0177109j -0.00257696-0.0205305j 0.0272166+0.00614823j 0.0131321+0.0100323j -0.0208353+0.0190107j -0.0198715+0.0239884j -0.0294903+0.0257706j 0.0093862-0.00276958j -0.0411062-0.0259854j -0.0222702+0.0279575j 0.049405-0.0100778j 
-0.0662885-0.00882548j -0.104762-0.0176176j 0.0148513+0.0243296j 0.0727846-0.0662151j -0.0508371+0.0770392j 0.0648493+0.00451444j -0.0648122+0.00206338j -0.049304-0.0708909j 0.0131477+0.00202409j 0.00321049-0.0590399j -0.0537494+0.010388j 0.0696088-0.0482321j -0.0410219-0.0140898j -0.0135599+0.00233263j 0.0408537-0.00222788j -0.0333494-0.0212286j 0.011583-0.0298602j -0.0294031-0.038871j -0.025283-0.0249142j -0.00747887-0.0222802j 0.0254033-0.00571984j -0.0144022-0.0196041j -0.00430525-0.000767858j -0.00808977+0.0141551j 0.00524561+0.00902658j 0.00654719-0.00514663j -0.000461459+0.0243572j 0.0226112-0.00266935j -0.00399205+0.0255594j 0.0299062-0.0337601j 0.00262094-0.0327322j -0.023018+0.0277078j -0.0300802-0.0125603j -0.0610084+0.0129766j 
0.038423-0.073313j 0.0572712-0.128756j -0.0339509+0.0263758j 0.0577777+0.117703j -0.0823007-0.082745j -0.0192548+0.0501864j 0.00240017-0.063728j 0.0606775-0.0460869j 0.00784968+0.0117302j 0.0435416+0.0208634j 0.00114824-0.0547857j 0.0418259+0.0611722j -0.00936128-0.0119633j -0.0174375-0.000199708j -0.012803+0.0288375j -0.00997063-0.0461193j -0.00849102+0.00358112j 0.0366744-0.0315762j -0.000906528-0.0129572j 0.0131427-0.00530521j 0.00667253+0.023195j 0.0125923-0.000440855j -0.0091792-0.00384796j -0.0122158-0.00230814j -0.0142993-0.0150722j -0.00345448+0.0084648j -0.0156537+0.0260422j -0.00442208-0.000543131j -0.024881-0.0132666j 0.00702942+0.0166989j 0.0215376-0.012708j -0.00834003-0.0336269j 0.00683575-0.0294895j -0.0355518-0.0204827j 
-0.0743912-0.0252999j 0.0268475+0.0436904j -0.0951195-0.138132j -0.0309208-0.0435231j 0.00274878-0.0774829j 0.0663148+0.0173625j 0.0297014+0.0254196j 0.0689125+0.033816j -0.0622449+0.0281229j 0.0180432-0.0896705j -0.0110278+0.0460776j -0.0186634+0.0504593j -0.0352669-0.0190885j 0.0107956+0.0153353j 0.0378449-0.00146801j 0.0237035+0.0144694j -0.00808594-0.0114478j 0.0263317+0.0220142j 0.0229283+0.00226509j 0.014953-0.0216223j -0.0297395-0.00602316j -0.0096819-0.0576432j 0.00649214-0.00587697j -0.00316193-0.00439265j -0.0114384-0.00936781j 0.0030003-0.015103j 0.00146863-0.0549109j 0.0375767+0.0109667j -0.00886703-0.00658607j 0.0318788-0.0456247j 0.0321515-0.0234555j 0.0153851-0.0134175j -0.0205796+0.0153684j 0.0107366-0.0162171j 
-0.00995693+0.099053j 0.0660166+0.0704207j -0.103103+0.0227878j -0.113126-0.010281j 0.0214745-0.0109728j 0.00537575-0.0259805j 0.0220618-0.0353628j 0.0454506-0.0499835j 0.015107+0.0436268j -0.0423243-0.00702859j 0.0314291-0.00685389j 0.0380958+0.0350737j 0.0120528-0.0375845j -0.0152222-0.0550074j 0.0144117-0.039233j 0.0383004-0.0404344j 0.0243897-0.0481352j -0.0045267-0.012573j -0.0128175-0.041448j 0.00773718+0.0170232j 0.00448693+0.0107466j -0.0343106+0.0143979j 0.00720412-0.0133501j -0.00184713-0.00214818j 0.0304767-0.0008364j 0.0044374-0.0237336j -0.0628808+0.013126j 0.0165755-0.000505867j 0.0282251+0.03406j -0.000538748-0.0202205j -0.00116181+0.0262822j 0.00686117+0.0370889j 0.0302487-0.0114269j -0.043032-0.0552701j 
0.0614394-0.0583481j -0.0299099+0.0360349j 0.169519-0.0693302j 0.0261428-0.0151125j 0.103825+0.0128732j -0.0134045+0.0625855j -0.0182944-0.0144107j 0.00747016+0.0103337j -0.0114445-0.0286766j 0.0722397+0.0147192j -0.0299529-0.0320858j -0.00211569+0.0161009j -0.0104181-0.0443955j -0.00310154-0.026827j 0.00428843+0.0154081j 0.0339173-0.0196332j 0.0588455-0.0543364j -0.0138487+0.0289706j -0.00812918-0.0344614j -0.0214462+0.00264932j 0.0132715-0.0209371j 0.0283118-0.00386756j 0.00571931-0.00717439j -0.00438467+0.000848752j 0.0652444+0.00650762j 0.0121626+0.010124j -0.00676789+0.0048252j 0.0142737+0.00964513j 0.00746135-0.0176582j 0.0502832+0.00727017j 0.0194899+0.00697029j 0.012047+0.0599569j 0.00438684-0.00531359j -0.0195995-0.0486654j 
-0.0527533-0.0561858j -0.0534151-0.0109617j 0.00911772-0.0683041j 0.057251-0.0422805j -0.0202833-0.00258862j -0.00986297-0.0399337j 0.047085-0.0109922j 0.0467525-0.000122694j 0.00166988+0.0371395j -0.052255+0.00397324j 0.0488284+0.0105783j -0.00768133+0.0354842j 0.0154724+0.0704684j 0.0482447-0.0236535j 0.00928633+0.0340727j -0.00204585-0.0157666j 0.0446078-0.00674604j 0.0129771-0.0302429j -0.0099455-0.0334809j -0.080228+0.0294371j 0.0201361+0.00504143j -0.00709124+0.00158742j -0.00708901+0.0117264j -0.00179978+0.0158945j 0.0398233+0.0109013j 0.0298883+0.0410009j -0.0169948+0.00612213j -0.0330157-0.0297482j -0.074171+0.0109107j -0.00187759+0.0115435j -0.0725977-0.0367321j -0.0330456+0.0228481j 0.0251758+0.0261341j -0.00216835-0.0180722j 
0.0157149-0.00344694j 0.0148127+0.0852769j 0.0533084-0.0943377j -0.0483129-0.0387152j 0.0985691-0.0182173j 0.00524402-0.039266j -0.0150718+0.0251297j -0.0536183-0.00203348j 0.0169085-0.00545625j -0.0391346+0.000498886j 2.8551e-05+0.0213394j -0.00199285-0.0510209j -0.0217762+0.0360962j -0.0173512+0.00611125j -0.021007+0.0187686j -0.0219864-0.0432787j -0.0547222-0.0223423j 0.0529604+0.000378254j -0.0239315+0.0111875j -0.00738036+0.026664j -0.0160559+0.00672549j 0.00867433-0.00338822j -0.0140835-0.00152884j -0.00186277+0.00117969j -0.00419325-0.0602423j 0.00358506+0.00953148j -0.000131679+0.021015j -0.0182199-0.023848j -0.0397582-0.0261796j -0.0176088-0.00900663j -0.00508528-0.0197718j 0.044077-0.0418961j 0.0141278-0.00799668j -0.0312764+0.0150587j 
-0.0167417-0.0273345j -0.0030753-0.00112107j -0.00523244-0.0446669j 0.0122571-0.00850584j -0.00136508-0.0217031j 0.0134972-0.0117567j -0.0172897-0.0207542j -0.00651306-0.053532j 0.021789+0.0159214j -0.0198397-0.00867339j -0.00255753-0.00837093j 0.0454991-0.00780237j 0.0122506+0.0253751j 0.00834445-0.0126862j -0.0206903-0.00470882j 0.0262239+0.00857772j -0.0131956-0.0305971j 0.0178644+0.058354j -0.00808954+0.0158594j -0.0219464+0.0412184j -0.0255636-0.0205034j 0.0123986+0.00580275j 0.00302955-0.000510743j 0.0120436-0.0041723j 0.0355717-0.0352768j 0.0100895+0.00527271j 0.00718467-0.0182025j -0.0161313-0.0110816j -0.00368608-0.0239861j -0.013039-0.00225751j -0.0184781+0.018439j 0.057276+0.0107235j 0.0246069+0.02355j 0.0292425-0.00205921j 
0.0429069+0.068272j 0.0590505-0.0107696j -0.0471835+0.0997645j -0.055187+0.0549018j -0.0139767+0.00288387j 0.0240106-0.0385082j 0.00714137-0.00434182j 0.00822361-0.0346137j 0.0100977+0.032445j -0.0496021-0.0257549j 0.0160247+0.0175849j 0.0269157-0.00075178j -0.046917+0.00834071j 0.0101138+0.0238082j -0.0210574+0.0273337j 0.00208239-0.00728265j 0.0199316-0.0062538j 0.00696723+0.0255476j 0.000578789-0.00955773j -0.0385736-0.0309654j 0.00650673-0.0101538j 0.0278689-0.00561171j -0.00813565-0.00157116j -0.00784857+0.00425536j 0.0292565+0.0105781j -0.00986912+0.0313087j 0.0176786+0.00315948j 0.00877352-0.0183545j -0.0171819-0.0563676j 0.0184425+0.00702034j 0.0172009-0.0425448j 0.00303903+0.00984011j -0.0175539+0.0120694j -0.00100599+0.00100823j 
0.0260892+0.0257748j 0.0204202-0.00812177j -0.00417504+0.0485432j -0.0173065+0.026121j -0.00268852+0.00724493j 0.044238-0.0127436j 0.00790042+0.0175729j 0.017851+0.000661706j -0.0214462+0.0214402j -0.0154956-0.0540411j -0.0043577+0.0332095j 0.00315797+0.00725288j -0.0128822+0.0105219j -0.00479749+0.00130646j -0.0641625-0.0200057j 0.0115845-0.022298j 0.00899909+0.0208625j -0.00566559+0.00611117j -0.00206792-0.0137345j -0.0238102-0.0277663j 0.0154472+0.0183988j -0.0042214+0.0594416j -0.00963524-0.00702918j -0.00491049-0.00191914j 0.0154425+0.0291531j -0.0364837+0.019555j -0.0258355+0.0382886j -0.00502114-0.0340387j 0.0287456-0.0423666j -0.0470081+0.0301384j 0.0026784-0.00825997j -0.00779882+0.00227037j 0.0137546+0.00317696j -0.00273931-0.00170022j 
0.0211728+0.0317991j -0.0242055+0.009878j 0.0426771+0.0586122j -0.00146751-0.00807235j 0.0137708+0.0539012j -0.00403902-0.00702306j 0.0429491+0.0363156j 0.0268246+0.0772322j -0.0377774-0.00178983j -0.000665475-0.0086282j 0.0190074+0.0319976j -0.0669603+0.0206739j -0.0113887-0.00073079j 0.00667644+0.00668456j -0.00813844+0.0051969j 0.00844208+0.00147852j 0.0101423+0.00462161j 0.00321766+0.00935222j 0.0071473-0.00404758j -0.00953659-0.0136468j 0.000201124-1.41094e-05j 0.00578575-0.000573188j -0.0010898-0.00140932j -0.00277501-0.000693013j 0.00689283+0.00970322j -0.00599765+0.00849731j 0.000817125-0.00462713j 0.00527741-0.00429325j -0.0012347-0.0180229j 0.003482+0.00415428j 0.00796896-0.0107821j -0.00275673+0.00158793j -0.00343504+0.00603411j 0.00722475-0.00603153j 
0.0111895-0.0543313j 0.00295345-0.00770183j 0.0388532-0.0629977j 0.0235093+0.0079564j 0.0207756-0.0345806j 0.0668162+0.0206798j -0.0201967+0.0314962j -0.000922588+0.00813909j -0.0366358+0.000510076j 0.0266534-0.0773482j -0.0427904+0.0361602j 0.00440175-0.00744925j 0.00729034+0.00587906j -0.00436562-0.00592865j -0.00331549-0.00170413j -0.00840614-0.0118028j -0.00384922+0.00410798j 0.000999219-0.0187624j -0.00549551-0.00419092j 0.000867936+0.00512184j 0.0065171+0.00906415j -0.00690226+0.0103714j -0.00261422+0.000682383j -0.00101931+0.0014733j -0.00604372-0.00059347j -0.000233636-4.91183e-05j -0.00968578+0.014662j -0.00748348-0.00405209j -0.0033743+0.00991372j -0.0107543+0.00477709j -0.00906432+0.0014591j -0.00837304-0.0055004j 0.00662916-0.00693546j -0.0117306+0.00103587j 
0.00327371+0.00712025j -0.0179408-0.0258388j 0.0059598+0.0487257j 0.0208359+0.00858285j -0.0257559+0.0267071j 0.00250163-0.00760681j -0.0048741-0.0333832j 0.0147996-0.0540439j 0.0215873+0.0218811j -0.0179092+0.0012038j 0.00841499-0.0177246j 0.0446452+0.0120393j 0.00324735-0.00184897j -0.0137483+0.0026849j 0.00926438+0.00284114j 0.00438804+0.00893049j -0.0470464-0.0308137j 0.029297+0.0426985j -0.00587316+0.0331627j 0.0256678+0.0377984j -0.0369186-0.0200205j 0.0153103-0.0290217j 0.00477363-0.00110125j 0.00981803-0.00740558j -0.0041526-0.0599411j 0.0153662-0.0176542j 0.0234659-0.0277424j -0.00259978+0.0138443j -0.0056323-0.00578924j 0.00998012-0.0221883j 0.0113017+0.022119j 0.063843-0.0199516j 0.00456616+0.00108332j 0.0126109+0.00998097j 
-0.0152177-0.00125025j 0.0556619+0.053554j -0.0511955-0.0966003j -0.0599839-0.0114727j 0.0409326-0.0685748j -0.0278743-0.000387488j -0.0150652+0.0175763j -0.0490708+0.0261804j 0.0109853-0.0324267j 0.00824201+0.0359764j -0.00703537-0.00534983j -0.024841-0.0380292j -0.000657602-0.000688066j -0.0177607-0.0123688j 0.00318018-0.0103392j -0.0163313-0.0423561j -0.0188998+0.00643069j 0.0169807-0.055606j -0.00886937-0.0170712j 0.0175976-0.00278628j 0.00963541+0.0317226j -0.0289873+0.0103232j -0.00723299-0.00406066j -0.00832257+0.00162264j -0.0279853-0.00519729j -0.00627076-0.0102815j -0.0380686+0.0303329j -0.000273614-0.00889502j -0.00675264+0.0253337j -0.0204882-0.00655853j -0.0021653-0.00719225j -0.0205646-0.0270947j 0.010774-0.0236164j -0.0463105-0.00817027j 
0.000804619+0.0217263j -0.0125382-0.00874543j -0.00242982+0.0467378j 0.00346647+0.000505819j -0.0159769+0.0285456j -0.0450733-0.00752888j 0.00288131-0.0075594j -0.0205753+0.00904548j 0.0215124-0.0159559j -0.00606+0.0537761j 0.0164848-0.0208108j -0.0141506-0.0122132j 0.0287555+0.00273289j 0.0261938-0.0237545j 0.0572698-0.0110351j 0.0182802+0.0181381j 0.0147099-0.00127096j 0.00491223-0.0247257j 0.0163158-0.0110407j 0.0070639+0.0184754j -0.011062+0.00562437j -0.0362383-0.0356472j 0.0117032+0.00338024j 0.00344498+0.00118381j -0.0128763+0.00564288j 0.0254542-0.0201952j -0.022879-0.0426368j 0.00789558+0.0163891j -0.0188249+0.0578785j 0.0130929-0.0302255j -0.0256913+0.00661936j -0.0216266+0.00495104j 0.00844439+0.0133092j 0.0121131-0.026j 
-0.0985382-0.0153415j -0.0480448+0.0383629j -0.0574515-0.0922685j 0.01201-0.0855154j -0.0167366-0.00274347j -0.00218421+0.0500293j 0.000654469-0.0222063j 0.0394058+0.00040475j -0.0163376-0.00486957j 0.0531578-0.0017385j -0.0140115-0.0243226j 0.00565673+0.0399812j 0.0318836+0.0142011j -0.0137672-0.00757087j -0.0426276-0.0412804j -0.0047883+0.0212217j -0.0174376+0.00740044j -0.0409857+0.0269512j -0.0179709+0.0239453j 0.000974627+0.0206029j 0.00421535-0.0104178j -0.00361225+0.0597693j 0.00163897+0.00170798j 0.0146728-0.00244652j 0.00899938+0.00351434j -0.0156077-0.0067478j 0.00801904+0.0266318j -0.0228006-0.0105377j 0.0533552+0.000807056j -0.0519674+0.021394j -0.0233978+0.0443308j 0.0219934+0.0190667j 0.0155609+0.00542635j 0.022315+0.0362154j 
0.0203277-0.00248513j 0.0594284+0.0407267j -0.0118006-0.0666233j -0.0540654+0.0118983j 0.0518071-0.0582332j -0.00838582-0.0365576j 0.0487748-0.00999575j 0.0503464+0.00363951j -0.00210131+0.036833j -0.0477839+0.00146151j 0.0478431+0.0113177j -0.010182+0.0391175j 0.00242811-0.018223j -0.0246892+0.0261773j 0.0340158+0.0238345j -0.0724103+0.036849j -0.00148678-0.0106893j -0.0733975-0.0105019j -0.0318737+0.0290135j 0.0177459+0.00615352j 0.0302258-0.0420276j 0.0395609-0.0122943j 0.00179647+0.0151637j 0.0072543+0.0127064j -0.00634021-0.00167895j 0.0200145-0.00513329j 0.0801085+0.0273353j -0.00939654+0.0336908j 0.01276+0.0306931j 0.0454472+0.00686063j -0.000631243+0.0154614j -0.0100926+0.0343213j -0.0476859-0.0246314j -0.0161102+0.0691083j 
-0.102631+0.0171019j 0.0270378+0.0131902j -0.174554-0.0621717j -0.034055-0.0338076j -0.0644069-0.0579734j -0.00287997-0.0143793j -0.030361+0.0330639j -0.0731799+0.0163552j 0.0118998-0.0308583j -0.00585085+0.011327j -0.0195494+0.0128936j -0.0147423-0.0632496j 0.0184507-0.0469715j -0.00284329-0.00583633j -0.0118133+0.0599244j 0.0181773-0.00717231j 0.0495678-0.00740951j 0.00818844+0.0181327j 0.0140551-0.0101352j 0.0049108+0.00509822j 0.0119183-0.0109546j 0.0645115-0.00742577j 0.00408859+0.000826181j -0.0065728-0.00656499j 0.029232+0.00327666j 0.0135369+0.0211577j 0.0217523+0.00187701j -0.00850613+0.0326831j -0.0143303-0.0295279j 0.0577204+0.0524591j 0.0340165+0.0195306j -0.00450684+0.015197j 0.00324882-0.024139j 0.010059-0.043922j 
