-0.42171-0.198301j -0.0404726+0.220709j -0.0367071-0.0153385j -0.018818+0.0663103j 0.105842-0.00318747j 0.073887-0.0749362j -0.000265107+0.000347434j -0.00720097-0.00628869j 0.00970134+0.0118713j -0.00533299+0.015937j 0.00556515+0.0469231j 0.0487411+0.0253205j -0.0437709+0.0392864j 0.0166514-0.0437136j 0.0431836-0.0121479j -0.00423448-0.00191592j -0.00464306-0.00631626j 0.00151223-0.00204738j 0.00275087+0.00630315j -0.00710313+0.0112867j -0.00592845+0.00545532j 0.000950081-0.00962985j 0.00332046-0.00655443j -0.00652996-0.00553907j -0.00938765-0.00212973j 0.00399333+0.0286917j -0.000399222-0.0216355j -0.0134128+0.00980334j 0.00217087+0.00141488j -0.00294379+0.00190448j 0.000252066+0.00509229j -0.00527369-0.00698787j 0.0135108-0.0219492j -0.0152005+0.00928964j -0.00882744+0.0123322j -0.0166193+0.0180398j -0.014952-0.002613j -0.0267635+0.00547076j 0.0127711+8.5121e-05j 0.0099137+0.00959501j 
-0.00212406-0.0683307j 0.000737138+0.0429947j 0.0549882-0.0442484j -0.00052505+0.0114204j -0.0193516+0.0927468j 0.0565718+0.0431457j 0.0280403-0.0273673j 0.0222475-0.000556393j 0.0709709+0.00242156j 0.000800843-0.0600147j -1.98015e-05-0.0550231j 0.0300364-0.043138j 0.0715392-0.00201312j -0.0213572+0.00219689j -0.027838-0.0268244j 0.0112372-8.97056e-05j 0.0211125+0.0088683j -0.00594473-0.00576233j -0.00757564-0.0261051j -0.0356147-0.0124536j -0.0316763-0.0254923j 0.0201077+0.0268687j 0.0271789+0.0536475j -0.016288+0.00437599j -0.0173991-0.0215412j -0.00119064+0.0553976j -0.0335051-0.00327194j -3.84163e-05-0.0878883j -0.0169569+0.000104042j -2.2201e-05-0.0259542j 0.0175869-0.0217352j -0.0153665-0.0062712j 0.0268026-0.0510608j 0.0197717-0.0277573j -0.0308985+0.0229206j 0.0345555-0.0151388j 0.00762904-0.0258084j -0.00408864+0.00419478j -0.0207289+0.00898945j -0.0115278-0.000158713j 
-0.108992+0.012775j 0.0214905+0.0167588j 0.00123419-0.00056785j -0.0620204-0.0409424j -0.0264141+0.0525761j 0.0188044+0.0764817j -0.00237046+0.00495505j 9.42048e-05+0.0176249j -0.00727345-0.0289096j 0.0255384+0.0331934j 0.0603164-0.0171053j 0.0151091-0.0750347j 0.0515709+0.0567814j -0.0679216+0.00178154j -0.0290688-0.0479319j 0.0039127-0.0118328j 0.0262715-0.0155273j -0.0262947-0.00553491j -0.0423069-0.0109213j 0.0105337+0.0400026j -0.014269+0.0231327j -0.0135149-0.0236203j -0.000103427-0.0236364j 0.00369224+0.0301047j -0.0158671+0.0228062j -0.0138559+0.0287261j 0.0361066-0.0230414j -0.0357093+0.0440224j -0.0312219-0.0264627j -0.0116083+0.0108047j 0.00881093-0.000878538j -0.00306708+0.0239553j 0.0143593-0.00820813j -0.0554179-0.00815276j -0.0252702-0.0158051j -0.0442013+0.00809955j -0.0234851+0.0468422j -0.0298698-0.0426363j 0.0481824-0.0255192j 0.025332+0.0143885j 
0.271604-0.0998421j 0.168283-0.0548401j -0.00614051-0.0289941j -0.00749957-0.00452495j 0.0269054+0.0344029j 0.0308181+0.000587524j 0.00385787-0.0173646j 0.0239398-0.00447922j 0.0107041-0.03508j -0.0172837+0.0685678j -0.0155221+0.0533236j 0.0775534-0.00319391j -0.0620345+0.0687351j 0.00678034-0.0324762j 0.0454663-0.0102016j 0.0154704-0.0300213j 0.0420569-0.0146307j 0.0356182-0.0118792j -0.0529537+0.0105427j -0.0219253-0.016857j 0.0431586+0.0160584j 0.0424831+0.0231448j -0.0392751-0.00276371j 0.0285373+0.020735j 0.0146485+0.0220655j -0.0144724-0.0665519j -0.0221425-0.0305647j -0.0163387-0.020536j -0.0252222+0.0214335j -0.00743014-0.00360753j -0.00761794-0.0290885j 0.0138326+0.0232783j -0.0344803+0.00308366j -0.0110504-0.0132515j -0.000479928+0.010444j 0.0103128-0.0357355j 0.0265739+0.00890315j 0.01312-0.0104008j -0.0189537-0.00775215j -0.00891507-0.0119032j 
0.00876988-0.0626139j -0.0138494+0.093222j -0.0402773-0.0378646j -0.0167605-0.0497991j 0.0390506+0.0289466j 0.0120514+0.00703679j 0.0286293+0.00593764j 0.0312924+0.0348113j 0.0103343+0.00104843j -0.00333007+0.00807782j -0.0122842-0.0582378j -0.00485796+0.00604377j 0.00598761-0.0113667j -0.0145427+0.0456109j -0.0272295+0.0176196j -0.023839-0.00052624j -0.0144813-0.0248745j -0.0387532-0.0274959j 0.0113549+0.0160029j -0.00370104+0.0592585j -0.021136-0.0130729j 0.0179871-0.0323936j 0.0538472+0.0424422j -0.00910603+0.0149949j -0.015602+0.0179214j 0.00438425+0.0316367j -0.0357844+0.072902j -0.052927+0.000498398j 0.0105473+0.0265373j -0.0166354-0.0011703j -0.00291177-0.0188426j -0.0194995+0.0118003j -0.0451172+0.0051245j -0.015041-0.00905166j 0.0151481+0.0116328j 0.00556293-0.0245294j -0.019845-0.019008j 0.021361+0.00690444j 0.00158605+0.0254523j -0.00741866+0.00702031j 
0.0664486-0.0293715j -0.00414934+0.0538931j -0.0771088-0.0346835j -0.0544154-0.0764596j 0.0617146+0.0277004j 0.015957+0.0178228j -0.0202312+0.00212404j 0.0100199-0.0172621j -0.0701632-0.0242953j 0.0582581+0.0444255j 0.0150835+0.00541567j -0.0455983-0.0529895j 0.0381954+0.024334j -0.0131427+0.0361419j -0.0192043-0.00087778j -0.000254884+0.00956072j -0.0239565+0.0201881j 0.0364042+0.0026928j 0.0351348+0.00852704j 0.0177255-0.0292839j 0.0588025+0.000124149j 0.038921+0.00215275j 0.00375071-0.0259796j 0.0244558-0.00218682j 0.0503335+0.0188994j 0.00860845-0.0292527j 0.00208478-0.0286533j 0.0160773+0.00673476j 0.0701955+0.0419066j 0.00187182+0.00619079j -0.0333998-0.0293127j 0.00942718+0.0194854j 0.00629768+0.0272226j 0.0133511+0.0485469j 0.00903377+0.0417342j 0.00605082-0.00954183j -0.0194394-0.0228576j 0.000898941+0.0229734j -0.0020444+0.0211936j -0.00362719+0.00620687j 
-0.255957-0.0034469j 0.038237+0.0806466j 0.0154275-0.0418855j 0.0402544-0.0107715j 0.00324917+0.0301185j 0.00436813-0.0082773j -0.00981156+0.00635432j 0.0268511+0.0126597j -0.0608641-0.0435103j -0.0370454+0.0594668j -0.078685-0.0146448j -0.0759549+0.0401497j -0.0661409-0.074928j 0.0313867+0.078524j -0.0183632+0.0845409j -0.00503605-0.0186158j 0.0230636-0.0159966j -0.00442151-0.0384507j -0.0269788+0.0124591j 0.00712894+0.0122959j 0.0478185-0.0132358j -0.000740139+0.00523821j -0.0678776+0.039752j 0.0134053+0.0244495j 0.0154398+0.0281207j -0.0657582-0.0517549j -0.0297645-0.00323981j 0.0346609+0.0241986j -0.0344663+0.00105881j 0.00683403+0.00656881j 0.0217156-0.00855043j 0.00434143+0.0215163j -0.0275266+0.0446625j -0.00883414+0.000680848j -0.00569279-0.0380059j 0.0160855-0.00187906j 0.0342896+0.0361937j 0.0261718-0.0192392j -0.00678117-0.0300905j -0.000386119-0.0211701j 
0.0788461-0.17852j 0.123002-0.0522732j -0.0154478+0.0156882j -0.0430286+0.0822847j 0.0719251-0.00474823j 0.0745496-0.0463408j 0.0212378-0.0190667j 0.0445135-0.0127498j -0.00120031+0.00630932j 0.0399099-0.0173276j -0.0351067-0.0443403j -0.0204153-0.018045j 0.0457849-0.0117839j 0.0187724+0.0502504j -0.0208563+0.0205293j 0.00350682-0.00916607j 0.0158546-0.0221449j -0.0196917+0.0250603j -0.0324612+0.0133355j 0.00053496-0.0308552j -0.032401-0.0329714j -0.0249597-0.0315155j 0.00329822-0.0260556j 0.040927-0.0414382j 0.0255602-0.0587408j 0.0152442+0.00806807j -0.0045307+0.0126657j -0.00539463-0.00121005j -0.00590586-0.0470072j 0.00388472+0.00540492j -0.0528774+0.0354455j 0.0647679-0.0192277j 0.0159581-0.0153682j 0.0274364-0.00684512j 0.0352456+0.00334818j -0.0351327-0.00701652j 0.0366652+0.0239526j -0.0162978-0.010646j -0.013983-0.0257547j 0.00150711-0.0119098j 
-0.190348+0.252805j 0.0310968+0.128337j -0.00529578+0.0624567j -0.137415-0.0380856j -0.0591796+0.0327217j 0.0149979+0.126099j 0.00375055-0.0284003j -0.000688679-0.0423055j 0.0440263+0.0274804j -0.00422372-0.0676117j -0.0373101+0.0206614j 0.0198816+0.0224929j 0.00628302-0.023537j 0.0523268-0.0328716j 0.0284302+0.00409048j 0.0087683-0.00823j 0.00983986-0.0168225j 0.0076371+0.0413583j -0.0295054+0.0216108j 0.0050182-0.0423871j -0.00619821+0.00394076j 0.00885254+0.0185384j 0.0179892-0.0159369j 0.0417571-0.0161338j 0.0251641-0.0167607j 0.0137935-0.0148146j 0.0206382+0.00230167j -0.0033958-0.0277258j -0.013083+0.0190759j -0.000246542-0.0030903j -0.0316527-0.0105146j 0.0420817-0.0032248j 0.00630756+0.00661082j 0.00505054-0.00653434j -0.00257878+0.0147833j -0.0102079-0.0315248j 0.0447873-0.0149321j -0.0112343-0.0169101j -0.0357979-0.00202666j -0.0183719-0.00850173j 
-0.0507146-0.297505j -0.0583702-0.000971647j -0.0608401+0.0117068j 0.0515699-0.10017j -0.0207983-0.0910564j -0.126751-0.0200543j 0.0347734-0.0317722j 0.0537616-0.0472146j 0.0138923+0.059558j 0.0944757-0.047094j -0.0314509-0.00936532j 0.0273319-0.001303j 0.055467+0.0395453j 0.0622622+0.011239j 0.0263264+0.00187303j 0.010389-0.0248193j 0.0225437-0.0264838j 0.0310379+0.0216615j -0.0475499+0.023594j -0.0248289-0.00472002j -0.00362332+0.0452924j 0.0239509+0.012018j -0.000263673-0.0398811j 0.0152536-0.00107078j -0.0163857+0.00569068j 0.0366222-0.0148947j 0.00606832-0.0382405j -0.0543751-0.00524931j -0.0306426+0.020946j -0.0148872-0.000972794j -0.0133303-0.00699273j 0.0102551-0.00339965j -0.0205477-0.0414902j -0.0336334-0.0112096j -0.0037585+0.0290335j -0.0241124-0.0100181j 0.00823364-0.00591929j -0.0320915+0.000527316j -0.00731638-0.000720086j 0.001602+0.00423893j 
0.277555+0.41875j -0.206995+0.0676432j -0.0578188+0.0665679j -0.0551561+0.0412005j 0.0505483-0.0829469j 0.00112997-0.0450405j 0.0160021-0.0280653j 0.0475987+0.00161918j 0.0192806-0.0473517j -0.0160864+0.0348027j -0.0417394-0.0186105j 0.02694-0.0304658j -0.00433383+0.0120654j -0.00444515+0.0277136j -0.0084859+0.0109849j 0.00363529-0.0107665j 0.0216365-0.00763431j -0.00587711-0.013842j -0.0228824-0.0039929j -0.011155+0.00241515j 0.000265923-0.0121011j 0.00294858-0.00337458j -0.0156889+0.0136707j 0.00563617+0.0053458j 0.000527556-0.00452723j -0.0251492-0.00178531j -0.00980871-0.00482945j -0.00265004-0.00815919j -0.0173889-0.0146127j -0.00064302-0.00200047j 0.0018984+0.000157257j 0.00680954+0.004568j 0.00391422-0.00113621j -0.00334839-0.0139218j -0.00484626-0.0101932j -0.00384648-0.00803306j 0.00931475+0.0139584j 0.00166077-0.0168276j 0.00186126-0.0102454j 0.000600259-0.00279824j 
-0.404689+0.226724j -0.0531434-0.217888j -0.0774238-0.0713629j -0.0219111-0.0635403j 0.0977389+0.0435406j 0.0369902-0.0179835j 0.0437798+0.0105867j 0.0230443+0.0421607j 0.0448229+0.0366891j -0.00631568-0.0135641j 0.00425208-0.0472042j 0.0412824+0.0359339j -0.0100361+0.012861j -0.00731238+0.00787504j -0.000678469+7.90193e-05j 0.00982902-0.0100829j 0.0134046-0.000341355j 0.026171+0.00454647j -0.0155912+0.00199689j -0.0176601-0.0170024j 0.00867655+0.0118045j 0.0153398+0.0087344j -0.0134177-0.0208468j 0.00624012-0.00583658j 0.000240111-0.00527187j 0.00312537-0.0278923j 0.00562504-0.0204591j -0.0134616-0.010496j -0.00255519+0.000849883j -0.0029996-0.00203621j -0.00910836+0.00194609j 0.00734149-0.00417655j -0.00303432-0.00653904j -0.0010932-0.0100379j 0.0054508+0.00496371j -0.00740498-0.0110904j 0.0030022-0.00581563j -0.00136547-0.00296882j -0.00451809+0.0058138j -0.00410735+0.00194308j 
