-0.0350519+5.20765e-05j 0.0139486+0.0117019j -0.0440186+0.00265193j 0.00987675+0.000781908j 0.00435661-0.00062787j 0.0425876-0.0102654j -0.0214032-0.0214016j 0.020447+0.039598j -0.0562341-0.0246245j -0.0170381-0.006708j 0.0467338-0.000835899j 0.0248613-0.0016366j 0.0181745-0.00631996j -0.0557695+0.0248097j -0.020634+0.0413105j 0.0206838-0.0219129j 0.0427583+0.0082084j -0.00502203-3.32152e-05j 0.00813042-8.62136e-05j -0.0449452-0.0005806j 0.0155366-0.012397j 0.0339499+0.000153272j 
-0.038112+0.00630036j 0.00212841+0.0199005j -0.0305947-3.98979e-05j 0.0123238-0.018862j 0.00524745+0.0141588j 0.0202055+0.0337775j -0.00795074-0.0136216j 0.0311774+0.0686158j -0.0218633+0.0351103j 0.00872261+0.0351099j -0.0155753+0.118501j -0.00107802+0.0052759j 0.0179005-0.0325735j 0.010906+0.0413673j 0.0471935-0.0559342j -0.0107728+0.0108327j -0.0282666+0.0268824j 0.00882991-0.0121833j -0.00638058-0.0204424j 0.0298659+0.00826524j -0.0086091+0.0178003j -0.0347576-0.0163622j 
-0.0233098+0.0247705j -0.019723+0.0541283j 0.032727-0.0082744j 0.00790732-0.0342784j -0.0127653+0.0151297j -0.0629674-0.00254836j 0.0166195+0.00306091j -0.051694+0.0625263j -0.00357465-0.04363j -0.0307983-0.0429586j -0.0369798+0.000169128j -0.115988-0.000262879j 0.0316996-0.0425807j -0.00523697+0.0392362j 0.0490441+0.0626311j -0.0152728+0.00457165j -0.0642913+0.00259011j 0.0123311+0.0154417j 0.00907002+0.0358977j 0.0321616+0.00708363j -0.0178838-0.0519388j 0.0248616+0.02808j 
-0.00943645-0.00756698j -0.00866546+0.0455884j 0.0274803+0.0260338j -0.014676+0.0351332j -0.00857174-0.0602111j -0.0024641+0.0187651j 0.0799793-0.0264023j 0.0185724-0.00604942j 0.000354988+0.0183025j 0.0141976-0.0186269j -0.00144032-0.0421534j -0.000450381-0.0262301j 0.0136253+0.0181005j -0.000331806+0.0173448j 0.0180304+0.00504868j 0.0809757+0.0241858j 0.00251534+0.0172398j -0.00681631+0.06026j 0.0148782+0.0354483j -0.0279263+0.0247971j 0.00916021+0.0465678j -0.0103596+0.00563901j 
-0.00911349+0.00602842j -0.000774627+0.015779j 0.0152401-0.00303967j 0.010131+0.00138726j 0.0166114+0.0135806j -0.0117669-0.0040801j 0.0131222+0.0165216j -0.019081+0.0193394j -0.0057197-0.00914807j -0.00195582-0.0115955j -0.00900998+5.61491e-06j -0.0389954-0.000113747j 0.00246224-0.011614j -0.00622347+0.00802682j 0.0181458+0.0193683j -0.0125321+0.0175299j -0.0120972+0.003972j -0.0163037+0.0140194j 0.01052-0.00116809j 0.0147794+0.00287694j -6.14296e-05-0.0153235j 0.00924758+0.00697674j 
-0.00080162+0.00967909j -0.0120203+0.00522037j 0.0030433-0.0151073j 0.0122874-0.0372211j -0.013152-0.0659938j -0.034371-0.00303273j 0.0407844-0.0463987j -0.0014611+0.0191198j 0.0176214-0.00249784j -0.0143068-0.0281662j -0.0158738-0.00826748j -0.0167613+0.0153425j 0.0176104+0.00951635j 0.00162165+0.0215321j 0.0115038-0.00185397j 0.0576822+0.000861729j -0.0182153-0.0145376j 0.0555817+0.0427071j -0.0340288+0.011181j -0.000972291-0.0124251j -0.0138172-0.0140904j -0.00233632+0.00328738j 
0.003901+0.0125888j 0.012253-0.0268087j -0.0191261-0.0357852j 0.0298082-0.0460288j -0.000978267-0.0479678j -0.0104379-0.00918243j 0.00518446-0.0512889j 0.0109937+0.0192396j 0.0101412+0.00321874j -0.019485-0.0110055j -0.00827725+0.0189411j 0.00840594+0.0427185j 0.00297311+0.00819787j 0.000979763+0.0113391j 0.000901794-0.0269352j 0.0365451-0.0140074j 0.00612372-0.0184803j 0.0659072+0.0252432j -0.0382184-0.0266178j 0.00758949-0.0270951j -0.00968065-0.0266675j 0.00212389-0.00981237j 
0.00170433-0.0434163j -0.00674298+0.0110371j -0.0104304-0.0574747j 0.00361859+0.0155042j 0.024335+0.01842j -0.00920458+0.0535938j 0.027877+0.00142065j -0.0541224+0.0552361j -0.0289609-0.0533777j -0.0241157+0.00537742j -0.0590443+0.0329937j 0.00167746+0.0532413j 0.00355385+0.0172011j -0.0441948-0.0334393j 0.0214083+0.00930123j -0.0038085+0.0352108j -0.0141855+0.0318354j -0.01327+0.00130916j 0.0217438-0.0106066j -0.00594857-0.0295532j -0.0211681+0.00627841j 0.0239825-0.00850518j 
-0.00398266-0.0454333j -0.0283291-0.00551496j 0.00822089-0.0162746j 0.0151133+0.0229719j -0.0515887-0.00455173j -0.00133393+0.00963825j -0.00237055-0.0359116j -0.06343-0.0298925j 0.0308613-0.0245554j 0.00562979-0.00894427j -0.0652083-0.00687011j 0.016632-0.0481186j 0.0384319+0.0329012j -0.0251029-0.0302576j -0.0279551+0.0109903j 0.0146533-0.0397075j -0.0119811-0.0236624j 0.0243389-0.00766931j 0.00129413+0.0110377j -0.00739073+0.0211785j 0.0317332+0.0132992j -0.0169981+0.00919633j 
0.00170866+0.0235719j -0.0108889-0.0213894j 0.00906833+0.0396639j 0.00835621-0.00842715j 0.0476784-0.0134332j -0.00343182-0.0533423j 0.0142828+0.0556157j 0.0185061-0.0288955j 0.012888+0.0395415j 0.0330842-0.00527567j 0.0488092-0.0311636j -0.00560596-0.0329489j -0.0193497+0.00289631j 0.0110518+0.0161101j -0.0102408+0.00760958j -0.0169826+0.0402794j 0.00994016-0.0299026j -0.0381139+0.0253644j -0.0288884-0.0132208j 0.00788387+0.00442611j 0.00134215-0.0144307j -0.0140324-0.00167886j 
-0.00773508-0.0497689j -0.0301169-0.00729625j 0.0230004-0.021817j 0.0371051+0.0393316j 0.0174027+0.000367824j -0.00305193-0.00297469j 0.0419809+0.0136964j -0.0842486-0.016017j 0.02139-0.020457j 0.0234125-0.0156586j -0.0631938-0.0129126j -0.00376143-0.041907j 0.0214356+0.0429975j -0.0446084-0.0364041j -0.0138094+0.0224276j 0.00149865+0.0264611j -0.00565051-0.021643j -0.0278193+0.0336036j 0.00489547-0.0169029j 0.00532938+0.0117216j 0.0313624+0.00490103j -0.0107848+0.00571724j 
-0.00909164+0.0163963j 0.0473016+0.0595497j 0.0545804-0.00849317j 0.00448043+0.0452952j -0.0166071+0.0181564j 0.00962261+0.0301171j 0.0310961-0.0340263j 0.00812196+0.00874249j -0.0051685-0.00105503j -0.00997088-0.0179243j -0.0199051-0.0104867j -0.0632319+0.0166232j -0.00274003-0.0284252j 0.0241597+0.00578036j 0.0422156-0.00570507j 0.0288676-0.0116517j 0.00571122+0.0468591j -0.00312739+0.0336232j 0.070307+0.00866639j 0.0234068+0.0256635j 0.0273623+0.0165361j 0.0173815+0.0189256j 
0.0704427+0.00113446j -0.0155076-0.0275374j 0.0390473+0.00900941j -0.0501523-0.000771586j -0.0117828-0.0206568j -0.0544648-0.0020107j 0.0154809+0.0309719j -0.00436283-0.0793855j 0.0502246+0.00182865j -0.000979676-0.00314162j -0.00546143-0.0852695j 0.00907158+0.0189716j -0.0402098+0.0264339j 0.0521325-0.0452913j -0.0144171-0.00493386j -0.0056046+0.0132926j -0.0162817-0.0164279j 0.00292365-0.0119071j -0.0122025+0.0304848j -0.00372446-0.0173471j -0.0357032+0.0118803j -0.00283375+0.000205978j 
0.0275235+0.0386856j 0.0687023-0.0178j 0.0316526-0.0109976j 0.0136513+0.0129066j 0.00894889+0.0147976j 0.0180178-0.0175654j -0.0173563-0.0125197j 0.0425408-0.041224j 0.0100865+0.0298607j -0.00763334+0.000945725j 0.0210432-0.0304817j -0.0155667+0.0447235j -0.0448507-0.0164412j 0.0488145-0.00963467j 0.00858567-0.0349356j -0.00477845-0.0236279j 0.0434295+0.00608244j 0.0121313+0.013062j 0.0309287-0.037j 0.0287295-0.000537178j 0.0161588-0.0119966j 0.0172466-0.00439488j 
-0.0259033+0.0272088j -0.00832501+0.0370609j -0.00301174+0.040333j -0.0168478-0.0140366j -0.00562498-0.00809308j -0.00151319-0.00601235j 0.00520049+0.00486052j 0.0357538+0.0261098j -0.0142463+0.0153874j 0.00587053-0.00627545j 0.0408906+0.00935548j -0.0258573-0.0251385j 0.0128941-0.0303076j 0.00971335+0.0461921j 0.0158004+0.0131523j 0.0104096+0.00564126j -0.0148385+0.0126542j -0.00884726+0.00359946j -0.00343723+0.0305183j -0.00443997+0.0157891j -0.00518922+0.00234438j -0.00590912+0.0109849j 
