-0.0350644+0.0645695j -0.0720326-0.0539523j -0.0500758-0.00198719j 0.0146844-0.00967233j 0.00547232-0.0767693j -0.0503584+0.0292319j -0.0412582-0.00227401j -0.0418184-0.0235786j 0.00182276-0.0534915j -0.0500694+0.0134332j -0.0083213-0.0814775j 0.0239221-0.0579225j -0.0189416-0.00773574j -0.0513097-0.0181794j -0.0170275+0.0270023j -0.0305748-0.00451858j 0.063858-0.0103785j -0.0568481+0.00508024j -0.0412196-0.0410921j -0.0643041+0.0382416j -0.0170224+0.151986j 0.137255+0.0389138j 
0.0056881-0.00393357j 0.00122444+0.00173884j -0.00597617+0.015892j 0.00313615+0.000229388j 0.0215742-0.002894j -0.00213707-0.00146595j 0.0177268+0.0169135j -0.00429732-0.00781108j -0.0237604-0.0277923j -0.00816801+0.012297j 0.00951821+0.00620762j 0.0138289-0.00859019j -0.00877098+0.0138699j -0.0443322-0.0407306j -0.011331+0.00784241j 0.0100057-0.0212582j -0.0128417+0.00965232j -0.00184034+0.00318824j -0.0127822-0.0316735j -0.00565026+0.000180283j 0.00362269-0.0129746j -5.09297e-05-0.0106046j 
0.00712194-0.00651277j -0.00478146+0.0128059j 0.0116427+0.0060278j -0.00436816-0.0133552j -0.00914083-0.00331266j -0.00845226+0.00332608j -0.0119934+0.00530657j -0.0408785+0.0348911j 0.00932003+0.000435281j -0.020022+0.018873j 0.0112613-0.00742019j -0.00586907-0.0120649j -0.00632601-0.00715561j -0.0102402-0.0198671j 0.0106467+0.00500116j 0.00918369-0.00978593j -0.002987+0.00595039j 0.0213789-0.0172356j 0.0156941-0.00837361j 0.00210837-0.0117893j -0.00735863+0.00194326j -0.00480754+0.00119278j 
0.00917927-0.00757025j -0.00613386-0.000803167j 0.0147136-0.00334332j -0.0128557-0.00670495j 0.00399234-0.00216762j 0.00318335-0.0250174j -0.019045+0.0277211j -0.00369578-0.004561j -0.00301751+0.0118145j 0.032059-0.0226558j 0.0256218-0.00276866j -0.00232121+0.0251484j 0.0192417+0.0242634j -0.00158484+0.00667155j -0.0313043-0.0115608j -0.0126423+0.0336512j -0.0481744+0.0135517j -0.0292866+0.0195154j -0.00903383+0.0212106j 0.0149726+0.0153705j 0.000694751-0.00880461j -0.0144432+0.000571628j 
0.0011681+0.006754j -0.0068144-0.0174131j 0.00342173+0.0157427j 0.0287519-0.0198875j 0.0121611+0.0139263j 0.00257738+0.0067577j -0.00178831+0.00934614j -0.0145052-0.00303436j -0.00541187-0.00224842j 0.00278713+0.000867195j -0.0172038-0.00544039j -0.00468245+0.006588j 0.00127464-0.000699345j 0.0161981+0.0133213j -0.00434135+0.00419945j -0.0140419+0.0120184j 0.00907142+0.00812536j 0.00704452+0.0113692j -0.00635431+0.000852194j -0.00928266+0.00938177j -0.015283+0.0192976j 0.00994318+0.0132662j 
-0.00426813-0.0146416j -0.0142836-0.00916211j 0.0205084-0.000412902j 0.00289511-0.011614j 0.0069766-0.00284994j 0.00422643+0.0255507j -0.0145104-0.0320149j 0.0255137-0.00496667j 0.0187151+0.00776913j 0.0100181-0.00507322j 0.00559964+0.0073432j -0.00493048+0.0175064j 0.0194975-0.00439201j -0.00909622-0.0178483j -0.0177381+0.0134333j 4.53412e-05+0.015171j -0.0245285-0.000538344j 0.000106481+0.0150379j -0.0218053-0.00300063j 0.0173966+0.000690414j 0.00595204-0.0121894j -0.00837682-0.00889336j 
-0.0105882-0.00516575j -0.000812787+0.0157633j 0.0153752-0.00616929j -0.00790727-0.00883902j -0.00142014-0.0058003j 0.00941963+0.0088607j 0.0144252+0.00336637j -0.0013294-0.00832956j -0.01868-0.00497246j 6.1773e-05+0.0122881j -0.0268906+0.0139878j 0.0222049-0.00418309j 0.0022707-0.00025436j 0.00424938+0.0103635j -0.0218739+0.00538106j 0.0051944+0.000587651j 0.00943331-0.00153566j -0.00585673-0.00929612j 0.00280032+0.000241459j 0.00655239-0.00411808j -0.00661746+0.00747758j -0.000267686+0.0128709j 
-0.00456585-0.00299315j 0.00115361-0.00885318j 0.0049691-0.00646969j 0.00535875-0.0026685j 0.00404476+0.0021522j 0.00191037-0.0139672j 0.00653288+0.0219361j -0.00602762-0.0060609j -0.00241811-0.00199429j -0.00312053-0.00713103j 0.00374358+0.00842078j 0.00218791-0.00416846j 0.00244567-0.00454848j 0.00872031-0.00467862j 0.00504363-0.00105763j -1.28564e-05+0.00174322j 0.00581882-0.00488564j -0.00561099+0.00153818j -0.00681846+0.00141083j -0.00831388+0.00487815j 0.00478246+0.0165887j 0.0106814-0.0073681j 
0.0194742-0.0187967j 0.01619+0.0011796j -0.000349444-0.00827512j 0.000252365+0.0152304j -0.00533542+0.0278901j -4.60053e-05+0.00746336j -0.0104767+0.0119597j -0.00140224+0.000705645j -0.00567782+0.00953004j -0.00830795+0.0210434j 0.00398026+0.0074971j 0.00271695-0.0107539j 0.0176029+0.0218365j -0.0149378-0.00935692j 0.00816909+0.00956559j 0.0306002-0.0298928j -0.0123332-0.0125709j 0.00228265-0.0017113j -0.0110012-0.00874787j -0.00257964+0.00959395j -0.0104971-0.0140046j -0.0156329-0.00124934j 
0.00740965-0.012746j 0.0293727+0.0153878j 0.0168641-0.0117857j -0.00747439-0.000900927j 0.00736385+0.0220158j -0.00461521-0.00827835j 0.0271655-0.00118639j 0.00421325-0.00295361j -0.00591842+0.0212049j -0.00626293-0.0102536j 0.00633434+0.013547j -0.0094018+0.0136717j -0.0246664-0.00969303j 0.0215404+0.0280583j 0.037793-0.0120821j 0.00295917+0.0235108j -0.0423073+0.00327596j 0.0048559-0.0228403j 0.0161897+0.0253517j -0.00925125+0.00800231j 0.0142902-0.0329343j -0.0243342-0.00363785j 
-0.0161717+0.014293j -0.00474238+0.0101852j -0.0209237+0.00547219j -0.00776509-0.0041748j 0.00735653+0.00169905j 0.000958751+0.00102303j 0.01449-0.024779j 0.00229384-0.00497782j -0.00576125+0.0134496j 0.0285212+0.00111335j -0.0165115+0.0129683j -0.00391834+0.0344376j 0.00307598+0.00249581j -0.00173517+0.016583j -0.0365668-0.00290429j 0.014145+3.94874e-05j -0.0264261-0.00876456j 0.00994052+0.0236082j -0.00164047-0.00204535j 0.0243884-0.0280299j -0.00709316-0.0103821j -0.00927577-0.00223134j 
-0.00417834-0.00403834j -0.0141519+0.00360856j -0.00171439+0.0161368j 0.0124311-0.000359236j -0.00136729-0.0076462j -0.000856613+0.00801653j -0.00511142+0.00193643j -0.0120851+0.00329792j 0.00519945-0.00565195j 0.0041285-0.0156154j 0.00300447-0.0117074j -0.00470934-0.00525212j -0.000832716+0.00911879j -0.0125768-0.00350929j 0.0122339+0.00361721j 0.00115998+0.0162608j -0.00158689-0.00416565j -0.0109492+0.00155165j 1.68006e-05-0.0154439j -0.00654481-0.00219283j -0.00710534+0.0129661j 0.0128653+0.00856168j 
-0.00366531-0.0140678j 0.00398488+0.00622638j 0.0218557+0.0014059j 0.0127381-0.0103146j 0.00971207+0.00964897j -0.00648418+0.00036403j 0.0223526+0.00510469j -0.000828136-0.014121j -0.0157911+0.00599664j 0.00119106-0.00172882j 0.00172355+0.0119924j 0.018087-0.0138752j -0.00580338+0.00369566j -0.00813942-0.00900761j 0.0102506-0.00927485j 0.00611077-0.00402062j -0.00531323+0.00826696j -0.00778735-0.0142131j 0.0131619+0.00821824j 0.00764103+0.00229953j 0.0099513-0.0146414j -0.019756-0.0156286j 
-0.00632711+0.0255963j -0.0016563-0.0103971j 0.000220294+0.00320509j -0.00052228-0.0156907j 0.00317226-0.0067426j -0.00727935-0.0190557j 0.00721451+0.0219364j -0.00525697+0.0180668j 0.00709311-0.00684995j 0.00795065-0.00868324j 0.00194968-0.00418159j -0.00330988+0.0119036j -0.0114448-0.00899573j -0.00969768-0.00263209j -0.0259157-0.00894129j 0.000964151-0.0086282j -0.000790455-0.00548944j -0.00449675+0.0190318j -0.00510365-0.00499959j -0.0118695-0.00642011j 0.00743192+0.0149957j 0.00221071+0.00927723j 
-0.00833881+0.00936755j -0.00873211+0.00512513j 0.0049896+0.00427783j 0.00655273-0.0106373j -0.0117502+0.000304103j -0.00195392-0.0148714j -0.00746585-0.0172847j 0.00515919+0.00444713j -0.00683033+0.00141165j -0.000343484+0.000562815j 0.00298301+0.00297155j 0.00308126+0.0085564j -0.0167415+0.0015399j 0.00868569-0.0108916j 0.0131585+0.0028594j -0.011644+0.0102601j 0.0141693+0.0125718j 0.00410808+0.00673446j -0.00761962+0.0011167j 0.00553388+0.014123j -0.0140479+0.00130337j -0.0126768-0.00616213j 
-0.00423325+0.0156968j -0.00838009-0.00250347j -0.0136606+0.00779889j 0.00562613-0.00997651j 0.0091466-0.00134718j -0.00941946+0.00132452j 0.0178995-0.00244704j -0.0112495+0.00332284j -0.00267453+0.00157641j 0.0136518-0.00601285j -0.00894091-0.00112168j -0.000504125+0.00523389j -0.01943-0.000641952j -0.00356223-0.0100387j 0.012313-0.00321781j 0.000772009+0.0119182j 0.00687979+0.00708098j -0.000703867+0.00639395j -0.00438105-0.007495j -0.00256998-0.0116199j -0.00978229+0.00773333j 0.00299862-0.00597552j 
-0.010411+0.00262061j 0.0214909+0.0157971j 0.00430001+0.00381304j -0.00243659+0.00760774j 0.00439256+0.00431157j -0.00133115+0.0123791j 0.00567359-0.000872451j -0.000389324-0.00237162j -0.00881822+0.0135612j 0.0172309+1.33884e-05j -0.000922071-0.00273474j -0.00512363-0.00859783j 0.0157007+0.0137287j 0.00100451-0.0216745j 0.0106789+0.00262758j 0.00294631+0.00829805j 0.00464624+0.00250238j -0.000539856+0.0104873j 0.00340455+0.00987456j 0.0035398-6.74325e-05j 0.00881792-0.00376626j -0.00973853+0.0156699j 
-0.0041395-4.13641e-05j -0.00735703-0.00518529j 0.0184645-0.00671197j 0.0122088-0.0159964j 0.00163054+0.00164217j -0.00204241+0.0144357j 2.20681e-05+0.00172401j -0.00611535-0.0078683j 0.00179358-0.00295512j -0.00419526-0.00974434j -0.00343486-0.0132646j 0.00113949-0.00877017j 0.00524935+0.00106915j -0.00879377+0.0110918j 0.00476797-0.00446886j 0.00609835+0.00351446j -0.0139023-0.00146373j -0.0124911-0.0123076j 0.00741787-0.00703994j -0.00508068-0.00438598j 0.00323261-0.00428093j 0.0180331-0.00218351j 
0.00783776+0.000674556j -0.00074519+0.00282223j 0.0133613+0.00845111j 0.00133627-0.00860299j 0.00156806-0.00498105j -0.00236685-0.0115213j -0.0115184-0.00363909j 0.0011036-0.00392458j -0.00390409+0.0139584j -0.00984088-0.0174913j -0.0108749-0.00192228j -0.0028+0.00287974j 0.00817564-0.01817j -0.00200715-0.00119767j -0.00545549-0.00375842j -0.0198001-0.0100309j 0.00382697-0.00266125j 0.00274532-2.81707e-05j 0.0201147+0.000645059j -0.00500229+0.01813j -0.00426847-0.0042292j -0.0106979-0.00817506j 
0.000918452+0.00565459j -0.00428606-0.0238015j -0.0104848+0.00762902j -0.00177487+0.00926703j 0.00153936-0.0203832j -0.00227096-0.0018686j 0.0153606+0.00898298j 0.00114087-0.00126227j 0.00763468-0.00758569j 0.0196178-0.00126973j -0.00427712-0.000944628j -0.00584558+0.0220197j -0.00801242+0.00427676j -0.00675582-0.009945j -0.00940067-0.00725827j -0.00115511+0.0169595j 0.0158237-0.0015623j 0.0125729+0.014143j -0.0208395+0.000405947j 0.00870601-0.0156539j -0.00365432+0.00276859j 0.0154833-0.00193618j 
0.00466942-0.00210273j -0.000333421+0.00367662j 0.00680604+0.00807146j -0.00275068-0.0176493j 0.018454+0.00857045j -0.00697992-0.00317115j 0.000411715-0.0131904j 0.0171365-0.00199975j -0.00444838+0.0170918j 0.0158876+0.0110074j 0.0032931+0.00371603j 0.000752659+0.0012955j 0.00726291-0.00671801j 0.006194-0.00166638j -0.00995029+0.00347894j 0.00963815-0.00689422j -0.00562564-0.00660392j 0.00959154-0.00395091j 0.0071501+0.0049442j 0.0267114-0.0179814j 0.0117378-0.0212313j -0.0155585-0.00511111j 
-0.00632125-0.0012568j -0.010159-0.00215149j -0.0105365+0.0219692j 0.0110961+0.00661791j 0.00687603-0.0228078j -0.00880559+0.0140503j -0.00503492-0.00592899j -0.0183823+0.0051031j 0.00236522-0.00933013j -0.0231831+0.015468j 0.00286383-0.0111788j 0.0198568-0.0173606j 0.006101-0.000725798j 0.00394631+0.00892858j -0.000235307+0.00621507j -0.00296985-0.00690475j 0.00600624+0.0106376j -0.00794211-0.0204595j -0.00965434-0.0187448j -0.00371432+0.00409806j 0.00450787+0.0316189j 0.0235131+0.00216979j 
0.0263879-0.0151343j 0.0202672+0.00296691j 0.0202489+0.00229756j -0.00793081-0.00228419j 0.0162729+0.00494957j -0.00473509+0.00530381j 0.0126295+0.00546442j 0.00887544-2.68007e-05j -0.00303142+0.0141315j -0.00621194+0.00726941j 0.00163451+0.00548218j 0.00673887-0.0102063j 0.00151129-0.0118317j 0.00231396-0.00418124j 0.0162968+0.00103586j -0.00372358-0.00399288j -0.0172582+0.0041167j 0.00491188-0.0262366j 0.0135266+0.00947439j 0.00789744+0.0118522j 0.0166303-0.0335308j -0.0156377+0.00204437j 
0.00406294-0.0131393j -0.0275748-0.00850914j -0.00810715+0.00119999j -0.00139835-0.0127516j 0.00596968+0.00470358j 0.00195838-0.00957463j -0.0108979+0.00215609j 0.00976078+0.00462436j 0.0105274-0.00893189j 0.0127889+0.00837917j 0.0163608-0.000169802j -0.0071406+0.00294832j -0.00560353+0.00749919j 0.00122233+0.00597521j -0.0153554+0.00290247j 0.0117971-0.0115388j 0.00308632-0.00737093j 0.00496784+0.00992263j -0.0042067+0.000816922j 0.0157458-0.0182032j -0.00184512-0.00300546j -0.00684964-0.00544902j 
-0.010295+0.0163427j 0.0206178+0.0173146j 0.00510628+0.00122783j -0.00178383-0.00764279j 0.00674936+0.0112296j 0.00510722-0.0040775j -0.000937615-0.020623j 0.0130941+0.000903115j -0.00294967+0.00787291j -0.000969035-0.00816126j 0.0118882-0.000736144j -0.011355+0.0178609j 0.00431382+0.00381281j 0.00978768+0.00774689j 0.0137176-0.0103961j 0.000755969+0.0144522j -0.0146304+0.00707261j 0.0175393-0.00204029j 0.00465562+8.90579e-05j 0.00906564-0.00616208j 0.0175079-0.0277178j -0.0164693-0.00375542j 
0.00857482-0.0223776j 0.0301966+0.00270209j 0.0146564-0.0224645j -0.00506504+0.0228486j -0.00364903+0.0169203j 0.00707216+0.0111554j 0.00827059+0.00108223j 0.0047524-0.0257931j -0.00903451+0.0175899j -0.00714428-0.00377968j -0.0033731+0.0202555j -0.00102219-0.00734622j 0.0156181+0.000687491j 0.00448395-0.000414264j 0.0121712+0.00194759j -0.0101947+0.0054536j -0.0108952-0.00123911j 0.00503367-0.0111276j 0.0156187+0.0185921j -0.000926536+0.015364j 0.0089108-0.0239863j -0.0151615-0.0107495j 
