0.0259328-0.0513206j 0.107686-0.0700099j -0.0581604-0.012265j -0.0948489-0.0148463j -0.0491569-0.034238j -0.045478+0.00695205j -0.0238895-0.0446049j 0.0213604+0.0369995j -0.0188565-0.0107841j -0.045506-0.0516375j -0.0331191+0.0142774j 0.00666965+4.46784e-05j -0.00873168-0.017871j -0.00319255+0.0289238j 0.0100057-0.0229302j -0.00978692+0.026077j 0.0102669+0.023966j 0.0182787+0.0199638j 0.0316945-0.0089895j -0.0762574-0.0126893j -0.0321781+0.0121359j -0.000988106+0.0382435j 0.0147503+0.0370609j 0.0551095-0.0742714j -0.0233208-0.0808853j -0.0534256-0.0173373j 0.011651+0.0016867j -0.0371301+0.0473859j -0.0651165+0.0523566j 0.0452833-0.0611673j -0.0374927+0.00791028j -0.00616078-0.00235523j -0.0389201-0.0133275j -0.0676945-0.0174757j 0.0152797+0.00421265j 0.0123056-0.00407929j -0.0410243-0.00242277j -0.0480078-0.0703847j 0.0116804+0.0108916j 0.00157657+0.0233694j -0.017691+0.00325352j 0.00856305-0.0110378j 0.00361801-0.0120831j 0.00383102+0.0390984j 0.00127149+0.0115651j 0.00658273-0.0207232j 0.00313603-0.033087j 0.0082452+0.0244962j 0.0118745+0.011534j 0.00233043+0.0501894j -0.0129108+0.0218932j -0.00957732+0.0438038j 0.00760621-0.0371182j -0.0247548-0.00124657j 0.0426991-0.0578446j -0.0333701+0.0721533j 0.0210357-0.00689309j -0.0325108-0.0280055j 0.0117771+0.00789293j -0.05823+0.00991332j 0.119721+0.00862923j 0.0621805-0.0774848j -0.0699009-0.0636048j 0.0318639+0.10927j -0.0930931-0.00661801j -0.0545807+0.109919j 0.00481552+0.10542j 0.0323165-0.00835541j 0.0467412-0.00878641j 0.0494442-0.14191j -0.0404261+0.00936874j 0.114796-0.139294j 
0.00797718-0.0476817j -0.0151011+0.00933328j -0.0283504-0.00760112j -0.00802441-0.0145828j 0.0204097+0.00628163j -0.00372059+0.0138998j -0.0105093-0.0187326j -0.00617746-0.0168016j 0.0230862-0.00343148j -0.0113972-0.00486542j 0.0279511-0.00439524j -0.00596933+0.0243941j 0.0462831-0.0224524j -0.00441412-0.0167484j -0.0043382-0.0019819j -0.022272+0.0171455j 0.02311-0.0296426j -0.0098726-0.00195174j -0.0282317-0.0139556j -0.0115641-0.0310252j -0.0181938+0.0158325j 0.0202753+0.00214913j 0.0218092-0.00175631j 0.00726239-0.0223277j -0.0182724-0.0319413j -0.0229899-0.00764328j -0.00205546-0.0273383j -0.00522138-0.0107185j 0.00976613-0.00509257j 0.0264909+0.0134944j -0.00778342-0.0188751j -0.042622-0.0537672j -0.0142664-0.00225315j -0.0169287-0.0215981j -0.0362349-0.00714561j -0.023353-0.0590705j 0.0374386+0.0555307j -0.00438255+0.103253j -0.0839549-0.0156314j 0.0141103+0.0196079j -0.0818292+0.0119535j 0.0144486-0.0681883j 0.0249326-0.0953681j -0.0223369+0.00776371j -0.140772+0.0309503j 0.0605935+0.0903639j 0.0730148+0.0548941j 0.0402538+0.0650624j 0.0446708-0.0330544j 0.189571-0.0670416j 0.0583078-0.0455987j -0.106911+0.00863895j 0.0773525+0.116773j -0.13082+0.0536434j 0.0401578+0.112422j 0.0412619+0.0504019j -0.00824689-0.0544535j -0.0549271+0.074438j -0.174133+0.161707j 0.190359+0.179801j 0.00892645-0.108245j 0.104902-0.175551j -0.0447861-0.0165383j 0.0471478-0.0442389j -0.0627856+0.112738j -0.0648086+0.0238461j 0.168697+0.0591116j -0.110594+0.0126259j 0.0782178+0.00170436j -0.0148463+0.013626j 0.0451972+0.0521029j 0.00728961-0.00535079j 
-0.00412843-0.0012437j -0.0153149-0.0178438j -0.00234653+0.00221135j -0.00355597-0.00173241j 0.0125345+0.00165712j 0.00266439-0.00034463j 0.00705678+0.011757j -0.0311321+0.0109769j 0.00155491+0.0267414j 0.0170966+0.000448273j 0.0020967+0.0373351j 0.0419041+0.00659229j -0.000634292+0.0140481j 0.0203064-0.0119465j 0.00430976-0.0260229j 0.0189086+0.0258568j -0.00860934+0.00151237j -0.023303+0.00459716j 0.0192364+0.00400749j -0.000741623+0.0164504j -0.0463097-0.00888486j 0.00240557+0.00773538j -0.0117166-0.0177732j 0.00372049-0.00409201j 0.0150512+0.016904j 0.0100516+0.0290389j -0.00845043+0.0057298j 0.00532644+0.00352782j 0.00942907+0.0110626j 0.0127017+0.016023j -0.0142008-0.0245627j -0.0142441-0.00119604j 0.0148047+0.011176j 0.0185848+0.0229493j -0.00722072+0.00578032j 0.0168011-0.0352695j 0.00386752+0.0163537j 0.0793396-0.0290444j 0.0637104-0.088896j 0.0120154-0.0906902j -0.023494+0.0686486j -0.0344606-0.109827j -0.0442487-0.0175026j 0.0551917+0.0845682j -0.00797626+0.00606386j -0.0487515-0.0355182j 0.0331937-0.0276073j -0.0156369+0.0150504j 0.0156673-0.160029j -0.227749-0.000517812j -0.141921+0.0417744j -0.0930998+0.0137659j -0.142452-0.0867492j -0.0426116-0.0252041j 0.133395+0.214779j 0.247788+0.049964j 0.0447719-0.018932j -0.233076-0.0209104j 0.0265176+0.0308965j 0.138424-0.197213j 0.164933+0.168969j -0.149548+0.139922j -0.198704-0.0680786j 0.162999+0.12841j 0.0946891-0.0370584j 0.0235214-0.018366j -0.0513219+0.0688483j 0.00179893-0.00484831j -0.0151139+0.000246607j -0.0412218+0.00309681j 0.0174182+0.0153783j -0.017074-0.0124294j 
0.00237324+0.0356069j 0.0181867-0.00297846j 0.0589044+0.0203522j -0.0301186+0.00669821j -0.0042852-0.0394558j -0.00796768+0.0228114j -0.0372972+0.0234127j -0.0225652+0.0256643j -0.0152591+0.0173015j -0.0254914+0.013626j -0.0334097+0.012867j -0.00247976+0.017058j -0.0249649+0.0175951j -0.0059117+0.0345538j -0.0413529-0.0123636j 0.000752972+0.0281064j 0.00228903+0.0172624j 0.00377433+0.0119474j -0.0163651-0.0271725j 0.0143052-0.00548544j -0.00132125-0.0347742j -0.00516451+0.0260627j 0.00623188-0.0159504j 0.018825+0.00203494j -0.0301334+0.0451995j -0.0332282+0.00360549j 0.0225636+0.00879738j -0.0103337-0.00491857j -0.0266804-0.00459313j -0.0332982-0.0196027j 0.0264893-0.000413423j -0.00997295+0.0311887j 0.0624915+0.0071773j 0.0741827+0.0686055j 0.016224+0.0812503j 0.0745858-0.0290492j 0.0725415-0.0763521j 0.0275449-0.0356803j -0.0137715+0.0852842j 0.130758-0.112819j 0.0281971+0.0179047j -0.00516169-0.0602318j -0.0494126-0.0391235j 0.0385766+0.0299848j 0.0826375-0.115951j 0.0187733-0.0649212j -0.137794+0.155734j -0.00317006+0.187852j -0.0421508-0.113894j 0.136597+0.0760475j 0.0262274+0.084075j -0.00317036+0.230869j 0.034123-0.113663j -0.0565383-0.105574j 0.162024-0.168668j -0.147011+0.0287878j -0.0290932-0.0442568j 0.177025-0.145661j -0.044902-0.07235j -0.0599095-0.0210533j -0.00287794+0.0719452j 0.0308948-0.0868294j 0.124107-0.0344487j -0.0931277+0.15221j -0.0109195-0.0399179j 0.0658105+0.127975j -0.0985923+0.0112034j -0.0559802-0.103067j -0.101078+0.00627904j -0.040266+0.0632971j -0.0319427+0.0159403j -0.00845683-0.0273558j 
0.00082199-0.00875469j 0.0347435-0.00860587j 0.0323832+0.0302245j -0.0263045+0.0144853j -0.012056-0.0205102j -0.00466894-0.00995123j -0.0100565+0.0253517j -0.0278196+0.00466075j -0.0225902-0.0291886j -0.0129807-0.0246781j -0.0199486-0.00803373j 0.0182795-0.00287313j 0.00748834+0.0215425j 0.00052174-0.0281214j -0.00319045-0.0312199j 0.00820077+0.027608j 0.0443621-0.00634894j -0.0376247-0.0079652j -0.0101656+0.0251591j -0.0170581-0.0172571j -0.00741718+0.0261441j -0.00664223-0.00406553j 0.0087072-0.000356777j -0.00967153-0.00358042j -0.0117793-0.0346733j -0.0109977-0.0245659j 0.00819078+0.0066574j -0.0142225-0.00396107j -0.0140535-0.0138098j -0.0237831-0.00988928j 0.0279917+0.00583411j -0.00204772+0.00419841j 0.0303475+0.0439479j 0.0593209+0.0285581j 0.0398525+0.00715681j 0.0425394+0.05198j 0.0341459-0.0622716j 0.0453704-0.0404669j 0.0434432-0.00559851j 0.0148149+0.0780919j -0.037552-0.0438385j -0.0891702+0.0681232j 0.0100759+0.0134894j 0.0593519+0.17481j -0.0277469+0.067582j -0.0284792+0.115806j 0.0833187-0.0155993j 0.169896-0.0205455j 0.189612+0.0633452j -0.0455705-0.134436j 0.035038+0.0956959j -0.0645596+0.211861j 0.148003-0.0595564j -0.128295+0.212506j 0.0153873+0.108874j -0.136568-0.0428687j 0.0821889+0.0949681j 0.0680487+0.146885j 0.0120119-0.0667856j 0.115638+0.143882j 0.0909047-0.10173j 0.11807+0.133922j 0.0443293+0.0991351j -0.173559-0.0754805j -0.078178-0.0342606j 0.0500013-0.041236j -0.0771674-0.0935172j -0.09761-0.0504857j -0.0143456-0.0205961j -0.0521672+0.0506068j -0.0242045+0.0268256j -0.0194743-0.0362407j 
0.0196955+0.0158369j 0.0152623-0.0324965j -0.0524049+0.000440983j -0.0130743-0.00438078j 0.0187797-0.0150814j -0.00211885+0.00549677j 0.0195301+0.0230131j -0.0233526+0.0293315j 0.0219846-0.00530433j -0.0159304+0.0107942j -0.0129299-0.00291264j -0.0191508-0.00960641j -0.0010878+0.0322328j 0.00965296+0.014875j -0.0306176-0.0364947j 0.00920075-0.05827j -0.0020518+0.02037j 0.0123071-0.0102267j 0.00193332+0.00278942j 0.0122783-0.0205796j -0.00773271-0.00509656j 0.0276136-0.000687237j 0.00463692-0.00872468j 0.0239105+0.0128342j 0.019235-0.0215442j 0.00267532-0.00960415j -0.00484049-1.56969e-05j -0.0122008+0.00148351j 0.0100014-0.00266466j -0.0273057-0.00565049j -0.0266061-0.0290989j 0.00668207+0.0298756j -0.0635447-0.00707832j -0.00867934+0.0307904j -0.0285261+0.0139974j 0.0146648-0.0300419j -0.0296893-0.015137j 0.0906431-0.0614855j -0.0397149-0.0651242j 0.0631516+0.00639777j 0.0249181-0.076057j -0.0432408+0.0374816j 0.0933385+0.0162741j 0.00632332+0.0824407j -0.0408376-0.0251583j 0.198992+0.0681731j 0.0305959-0.0426251j 0.127349-0.209273j -0.0359461+0.0836869j 0.0728746-0.0899533j 0.0163715+0.211197j -0.0411018+0.145753j 0.0129064+0.130604j 0.0200806-0.192926j 0.183961+0.283695j 0.176921+0.0636271j 0.133948-0.18743j -0.0567917+0.0388741j -0.0326643-0.0393552j 0.156123-0.0165063j -0.025673+0.0508616j -0.03186+0.0269526j 0.0629336-0.0413896j 0.0636116-0.0633855j 0.00681324-0.0666934j -0.0201827+0.0438017j 0.0614959-0.0218777j -0.0347321-0.043283j 0.0295545-0.0138701j 0.0515134+0.0445328j -0.0298362-0.0219723j -0.0231436-0.0606416j 
-0.0700312+0.00939495j 0.0360906-0.0133051j 0.0516163+0.0640069j 0.0387451-0.00306292j 0.0375783-0.0383612j -0.00421478+0.00382074j -0.0191473-0.0316627j 0.00909571-0.00827584j 0.012985-0.0274238j -0.00140653-0.0352659j -0.0140816-0.029472j -0.0159432-0.0164098j -0.00510953-0.035084j -0.0268602-0.0274519j 0.0180998-0.0239351j 0.0370225-0.0163702j -0.00814759-0.0144722j -0.00964436+0.00942793j -0.0185944+0.0105316j 0.0214267-0.0187236j -0.0138574-0.00515759j 4.02392e-05+0.00555144j 0.0100693-0.00427109j -0.0292812+0.0151357j -0.000172269-0.00325389j 0.00590249-0.0174779j -0.0234934+0.00210819j -0.00853112+0.00117668j -0.0620134-0.00912055j 0.0227544+0.0188866j 0.0704487+0.0170293j -0.0461808-0.0204273j 0.115054+0.0638729j 0.034752+0.0495439j -0.0213521+0.0650164j 0.00203771-0.0358042j 0.0654331+0.0651762j -0.0249167-0.0691087j 0.0126323+0.0317324j -0.0357729+0.114618j 0.0165334+0.041044j -0.041559+0.0124565j 0.108397+0.0350389j -0.106857+0.0173801j -0.0147525+0.0129918j 0.0835706+0.0755613j 0.0953578-0.110892j 0.118151-0.191682j -0.0975495+0.109577j -0.0375402+0.118941j -0.034987-0.0084125j 0.0985367+0.111771j -0.139066-0.0695186j 0.0717968+0.103712j 0.00984276-0.0709331j -0.140447-0.0442334j 0.0626278-0.0262856j -0.0110097+0.0923303j 0.0301522-0.0572653j -0.103636+0.0198637j 0.0819457-0.0592176j -0.153975+0.0798025j -0.0107153+0.0842788j 0.0620181-0.0433984j -0.155321+0.0241873j -0.0395545+0.118351j -0.0785617-0.00311543j -0.0086027-0.0404071j -0.0585181+0.0116665j 0.0134087-0.00859423j -0.0110065-0.0206304j 0.0585773+0.0122988j 
-0.037011+0.0440256j -0.00204814-0.0169769j -0.0063708+0.0208304j 0.047615-0.000962699j 0.0595812-0.00261506j 0.0298117-0.0104261j 3.7955e-05-0.0126746j -0.0288701-0.00356473j 0.000136986+0.000177883j -0.00563679+0.0100225j 0.0250848+0.0393069j -0.0150278+0.0260309j -0.0264028-0.00495478j 0.0067046+0.026j 0.00129012-0.0160965j 0.0257626+0.0134346j 0.000888876-0.0198008j 0.00131397+0.0132956j -0.0109119+0.00429023j -0.00217853+0.0177223j 0.00165552-0.0196166j -0.010098-0.00163526j 0.00894699-0.0316087j -0.00813269+0.0212251j 0.00192442+0.0238636j 0.0171676-0.0129019j -0.0141351+0.00308289j 0.0086328-0.00246529j -0.0201616+0.00636144j 0.00144649+0.0158068j 0.0154889+0.00353028j -0.00441264+0.0160022j 0.035847+0.0271353j -0.0167258+0.0388712j -0.0683632+0.0132172j -0.00719335+0.000866495j -0.0221141+0.00466742j 0.0972887-0.0197622j 0.0649881+0.0065725j 0.0608766-0.023j 0.180927+0.126177j -0.0860148-0.123419j 0.106933-0.251572j -0.105445-0.03776j -0.0439291-0.0359494j 0.0435098-0.00869163j 0.0152734+0.00587872j 0.0419524-0.0166284j -0.22818-0.127239j 0.170737-0.0738807j -0.0984289+0.0583473j 0.0948474+0.228155j 0.138392+0.0698857j 0.0178344+0.0151398j 0.142556-0.132695j 0.0761698-0.0394184j 0.0263632-0.0968606j -0.124097-0.133583j 0.0114406-0.0484077j -0.0193757+0.0870141j 0.110842+0.0066339j -0.0325845-0.0524459j 0.0143794-0.0502419j 0.046911+0.098494j -0.10565+0.014376j -0.0439948+0.107183j -0.0476817+0.0693188j -0.0030061+0.0102584j -0.0310659+0.00485037j 0.0666949-0.028882j -0.0196563-0.0484732j 0.0327824+0.0208336j 
0.0140774-0.00977799j 0.0195288-0.00112863j 0.0153075-0.0276441j -0.03956-0.00148428j -0.0271978-0.00671532j -0.0592032+0.0207291j -0.0296989-0.00397614j -0.000601673+0.0325492j -0.0322981+0.00612063j 0.00135131-0.0156138j 0.0141172-0.0559769j 0.0612408+0.0183297j 0.00492101+0.0176169j 0.0140394-0.0197403j -0.0122565-0.0109605j 0.00541495+0.0304371j -0.0128944+0.0201467j 0.00872985+0.000595311j -0.0174914+0.0140405j -0.0040003+0.00512629j -0.0140213-0.00109155j 0.00440836-0.0124126j 0.00690146+0.0165938j 0.0271394+0.000248614j 0.0334111-0.0150913j -0.00979213+0.0120031j -0.00845438-0.00431031j -0.0257139-0.0038224j -0.00344059-0.0144434j 0.00262216-0.00577178j -0.0319199-0.0232044j -0.0234335+0.0207855j -0.0135955-0.0334455j 0.0366478-0.0310629j 0.0485717-0.0035141j 0.0994544-0.0727919j 0.0366609+0.0500955j -0.0350477-0.0382974j 0.0448071+0.0710708j 0.00149392+0.00580927j -0.0240564-0.134223j -0.0621472+0.130034j -0.0132341+0.146196j 0.146115+0.0780358j -0.0340802+0.0290186j 0.053915-0.115537j -0.0244247+0.0803229j 0.00121867-0.0348149j -0.0471082-0.0427769j 0.141821+0.153108j 0.0880935+0.0720707j -0.00699569-0.00796763j -0.295511+0.187875j 0.131554-0.0429303j -0.00897679+0.090368j 0.0635653+0.028602j -0.124342-0.0137246j -0.00588291+0.0313145j 0.064989-0.0634373j 0.0292313-0.0431077j -0.0335637-0.00125071j -0.0501828-0.0411708j 0.00817224+0.022114j -0.0564229-0.0754981j 0.0580319-0.0465243j 0.0372475+0.0514763j 0.0725+0.0542842j 0.0424032-0.00796031j -0.0125297-0.0342316j -0.0567144+0.0615657j 0.0104142+0.00723997j -0.0248959-0.060317j 
-0.00616393+0.028645j 0.00663643-0.0371061j -0.00627422-0.0263689j -0.0249364-0.0150409j -0.0361861+0.00233866j 0.015393+0.00466465j 0.0126919+0.0235183j -0.0234922+0.0242508j -0.0227127-0.0776513j -0.0130985-0.0096391j 0.0109374+0.0208163j -0.00316397-0.0169611j -0.00875519+0.00382084j 0.0261199-0.0113127j -0.0226135-0.0080678j 0.0189299+0.0127762j -0.00688323-0.0187688j 0.00832272+0.0316722j -0.00377943-0.0132799j -0.00095567+0.0174857j -0.0074515-0.00465594j 0.00541323-0.021435j -0.00966738-0.00510351j 0.0119164+0.0349703j 0.0238696+0.0185541j 0.0145883+0.00177266j -0.00286857+0.00304444j -0.0103808-0.00759497j 0.00340131-0.00965588j -0.0171105-0.00283676j -0.0271551-0.0268147j -0.00385645+0.0378224j -0.0338121-0.0388984j 0.0112361+0.00319802j 0.0643481-0.0165832j 0.00596314+0.0117605j -0.012527-0.125315j 0.0472953-0.00569292j 0.00332085+0.152283j 0.124561+0.0748849j 0.0760255+0.252059j 0.0311678+0.0682197j -0.131361+0.0180619j -0.00123933+0.0579485j -0.00108661+0.202004j -0.000811963+0.0834252j -0.0251617+0.013922j 0.090377+0.221569j -0.0891394+0.109141j 0.198189+0.0614916j -0.0729051+0.0739893j -0.0412067+0.0686196j 0.0292975+0.0593102j -0.052188+0.0150237j -0.0723919-0.071012j 0.017571-0.0900219j -0.00172824+0.061053j -0.0153055+0.0458886j 0.0328391+0.0995697j 4.51658e-05+0.0324675j -0.104751-0.0508218j -0.0777591-0.114616j 0.105097+0.1379j 0.0690102+0.0265611j 0.0933053+0.00427813j 0.0453222+0.0992503j 0.0444077-0.0282852j 0.0441458-0.0373101j -0.00921479-0.0349295j 0.0170668+0.0160089j -0.0207145-0.0293222j -0.0125505-0.0484028j 
0.00595624+0.0107534j -0.0109663+0.0247796j 0.0156489-0.0115557j 0.0206051+0.00779781j -0.00648069+0.0129029j -0.000436883-0.0191664j 0.0110017+0.0159646j 0.0186198-0.0275538j 0.0649832-0.0107475j 0.0353566+0.0142589j 0.0103118-0.0214199j 0.0213972-0.00771128j 0.00183142+0.00863681j 0.0278971+0.0205162j 0.0210181+0.00846978j 0.00583965-0.00304993j 0.0194188-0.00754201j 0.00291789-0.0108969j -0.00159157+0.000582052j -0.00682435+0.0134046j 0.0133979-0.00106707j 0.0278477-0.00436962j 0.01051-0.00692352j -0.0226542-0.00436222j -0.019405+0.0100693j 0.00704935+0.00653527j -0.00445751+0.00218591j 0.0210917+0.00281466j 0.0221736+0.00576049j -0.0080373-0.0071714j -0.0233294+0.0244643j 0.0297838+0.0209389j -0.00583602+0.000654958j -0.0118074-0.0242754j 0.00506039-0.0302813j -0.0125847+0.0755183j 0.0157625-0.0291246j -0.033109+0.006953j -0.0420898+0.0610235j -0.206589+0.038999j -0.106389-0.0886856j -0.172698+0.0719289j 0.14651+0.0564591j 0.0097052-0.0812677j -0.249437+0.0377786j 0.0238801-0.00809962j 0.230281-0.0252094j 0.0859919-0.162202j -0.0745436-0.0928655j -0.0843075-0.0356114j 0.181116+0.0160507j 0.0438817+0.0729447j -0.0426164+0.0515448j -0.000762524+0.146095j 0.0103642-0.0303014j 0.0923012+0.03613j -0.035238-0.0279255j -0.0395585-0.0972607j 0.0374345-0.0637004j -0.0220245+0.0598486j 0.0597389-0.135413j 0.0497807-0.137288j 0.0112085+0.00144423j -0.0947839-0.0684887j -0.070231-0.0243252j -0.000392854-0.0547639j -0.00149389-0.0420602j -0.0277858+0.024756j 0.00103077+0.000793922j 0.0112323-0.00734848j 0.0117725-0.0184418j -0.00993962+0.0301937j 
-0.00259002+0.0306635j -0.049538-0.000852643j 0.0866327-0.0333051j 0.0574242-0.0883026j -0.0078456-0.00719123j -0.0232135-0.021452j -0.0103799-0.0349683j -0.00762032+0.0186693j 0.00303781+0.00763507j -0.00581681-0.0114727j 0.0237282+0.0256125j -0.0195358+0.0123486j 0.0387825-0.00787538j -0.0114265-0.0323961j 4.91013e-06-0.00562525j 0.0017418-0.0144225j 0.0104099-0.0098763j -0.0130827+0.00927431j 0.00995089-0.000756742j 0.0170074+0.000779203j -0.00717582-0.027124j 0.0106407-0.00889005j 0.0100169-0.0332999j -0.00252921+0.0185575j -0.0212057+0.0407091j 0.0165632+0.0267395j 0.0160286+0.0210284j 0.0411534-0.0124535j 0.0421883+0.00365689j -0.0192162+0.00965047j -0.0277974-0.0264532j 0.00897695+0.00477638j 0.079753-0.0859353j 0.000716171+0.013642j 0.0316865+0.0246676j 0.0483678+0.0847142j 0.0838741+0.074025j -0.0951467-0.152798j -0.0358899+0.0638394j 0.0451864+0.0475708j 0.0330939-0.00870114j 0.0162193-0.0885435j -0.0460749+0.174745j 0.115804-0.0718969j -0.0864082+0.14267j 0.00676664-0.0372504j 0.242944+0.102072j 0.000434609+0.0585508j 0.0472367-0.013897j 0.040056-0.0351539j 0.0941826+0.045504j -0.0889885-0.0478695j -0.11476+0.0331921j -0.0805082+0.0318305j -0.0273326+0.0134685j -0.0664979+0.0531791j -0.064116+0.117849j 0.151095-0.0723286j 0.0231648+0.0612134j -0.0167655-0.0842386j 0.0321845+0.04255j 0.0492934-0.0827085j 0.0432237+0.00919372j -0.10801+0.00161942j -0.00358507-0.0790144j -0.101848+0.0813751j -0.0834219+0.0891386j 0.0130363-0.0212203j -0.0326139+0.0755984j 0.0861741-0.0324739j 0.0375421+0.00507945j 0.0351813+0.0504639j 
0.0124902-0.0332081j -0.0285313-0.0365919j 0.046082+0.0146267j 0.0501124-0.0777453j 0.00751951-0.00649961j 0.0227204-0.0436703j -0.0242618-0.0143313j -0.0388936-0.0177189j -0.0313476+0.0370474j -0.00451068-0.00535553j 0.035322+0.00585195j -0.00982657+0.0213206j -0.0221559-0.00138128j -0.00825981+0.00516852j 0.00419118-0.00244222j 0.0209441+0.00309636j -0.011839-0.00568441j 0.0137461-0.00998527j -0.0201692+0.0168058j 0.00584742-0.00874603j -0.0148188+0.000965346j -0.00357763+0.0055926j 0.00241226-0.00761533j 0.0226443-0.0114371j -0.00337817-0.0144117j -0.0208625-0.0142134j 0.0174947+0.00153008j 0.0167407+0.000737865j 0.0335165+0.0201787j -0.00315194-0.0134343j 0.0184947-0.046497j 0.000248703-0.0436687j 0.0932766-0.0396182j -0.0264241+0.0629396j -0.00247557+0.0654644j -0.0478075+0.122965j 0.0435238+0.0610819j 0.134394-0.00789799j 0.16076-0.0607345j -0.0869056+0.00470213j 0.244814-0.20541j -0.138441-0.112634j 0.0713981-0.0957386j -0.0303396-0.0634035j 0.10966-0.0349646j 0.0175635-0.249871j 0.0256101-0.0194111j -0.133698-0.0115203j -0.102789-0.160217j 0.160549-0.14282j 0.0947441-0.0490657j -0.0518311-0.0652679j 0.0188667+0.139743j 0.211477-0.0674669j -0.0356463+0.0580977j -0.0231482-0.0549009j -0.0436974-0.0466412j -0.00474696-0.0337642j -0.019333-0.0475179j 0.00104916+0.018717j 0.0119822-0.0329822j -0.0459702+0.0115523j 0.0877742+0.0170784j -0.0480689-0.0251554j 0.0847114+0.0434459j 0.0481776-0.0345421j -0.0256341-0.106905j -0.0509102-0.0450137j 0.0523788+0.0514697j 0.0462409-0.0169452j 0.0225721+0.0556089j -0.0197182+0.00088542j 
-0.00636687-0.0188675j 0.0502104-0.0629385j -0.0352183+0.0408094j 0.0200704+0.00233128j -0.0483533+0.0122411j -0.02294+0.0160101j 0.00304321+0.00757819j 0.0118227+0.00735506j -0.0109875-0.020685j 0.00874164-0.0188366j -0.0109624-0.0293007j 0.0333759+0.00747086j -0.00235857-0.0148713j 0.00151344+0.0159394j -0.0338878-0.0142977j 0.000225939+3.51824e-05j -0.0031336+0.0036251j 0.000469116+0.044357j 0.0040217+0.0157492j -0.00122866-0.0296897j -0.0146593-0.0339135j 0.000893858-0.0249098j -0.0287178-0.0262079j 0.0148384+0.0446945j 0.0669851-0.0243548j 0.0490161-0.0223851j 0.00994762-0.0144642j -0.0259509-0.0224168j 0.0285823-0.069679j -0.0155408-0.00207654j 0.0122666-0.0115963j 0.00496695-0.00489243j 0.0029024+0.030326j 0.00624932+0.0023868j 0.0810227-0.0173105j 0.0324622-0.00958624j 0.099385+0.0356198j 0.0175807+0.0632758j 0.0649081+0.0280397j -0.0692712-0.0377466j 0.00135416-0.166663j -0.112917-0.00701819j -0.0973707+0.000107476j 0.0423971+0.0025677j 0.0422746+0.0315276j -0.0129936-0.0445428j 0.0418821-0.0733847j -0.0504517+0.13709j 0.00883431-0.10275j -0.0294329-0.0103002j 0.128768-0.073935j -0.128161+0.05751j -0.0437437-0.0591594j 0.0174951+0.0417621j -0.0413257+0.0315811j -0.0593538+0.0079374j -0.0123389-0.018916j -0.0203566+0.0415156j -0.0101394-0.02372j -0.0242419+0.060718j 0.0996924-0.0160971j -0.0609221-0.0814319j -0.0441761+0.0500771j -0.0434354+0.0421491j -0.0517616+0.0595603j 0.0231499+0.125363j 0.0671078-0.0611744j 0.0935912-0.0464349j 0.0389023-0.0699111j 0.000719103-0.0384802j -0.0906357-0.0183745j -0.00835634-0.0189612j 
-0.0164828+0.0218783j 0.0282486-0.0131762j -0.080372+0.0203127j 0.025252+0.0376401j 0.00922834+0.035162j 0.026658+0.000648774j 0.0398434+0.0308104j 0.0127635-0.0186671j -0.0095332+0.00536447j 0.0316277+0.0350406j 0.00264527-0.0134864j 0.00093429+0.0068804j 0.0134171+0.0107487j -0.00933848-0.0167512j 0.0156452-0.00135447j 0.0144117-0.00940689j -0.0049716-0.0105734j -0.0148369+0.00286024j -0.0160643+0.00789053j 0.0181084+0.00817512j 0.02763-0.00703631j -0.00587437-0.0165653j 0.00442086-0.0280776j -0.0645435+0.0335766j 0.0120706+0.0356974j 0.0305325+0.030215j -0.0137526-0.012932j -0.0243435+0.00132476j -0.0258294-0.0128497j -0.0351573+0.0956682j -0.00607763-0.0162658j -0.0270611+0.0125963j -0.123196+0.0564254j -0.0179228-0.0151887j 0.0369649-0.0239153j 0.0283456-0.0679596j -0.0553763-0.0154114j -0.0311949+0.0305814j 0.0666718-0.0369556j 0.0284424-0.0172235j -0.00686009-0.0894546j -0.0363064+0.0894611j 0.00627253-0.0707617j 0.0070124+0.0768084j 0.066185-0.0635224j -0.0181964-0.0323267j -0.150189-0.00496037j -0.0133204-0.00424256j 0.00133168-0.0117683j 0.05621+0.0106793j -0.00436449+0.00691755j 0.0199258+0.0445053j 0.0563183+0.0299925j 0.0728401-0.0558189j 0.0175323-0.00368671j 0.00888074+0.0310347j 0.0201301-0.0704004j -0.0347479+0.0656176j -0.0340819-0.0486865j 0.0132675+0.0568992j 0.0125552+0.00547616j 0.0953931+0.000170939j 0.0072-0.0313326j 0.0533454+0.0255634j -0.078509-0.039397j -0.058328+0.0294898j 0.0125079+0.074669j 0.0432523+0.0511039j 0.0125394+0.00167971j -0.0252502-0.0416002j -0.0187021+0.0122634j 0.0561842-0.0247772j 
