-0.0171659+0.0329265j 0.0206163+0.019768j -0.0109168+0.0621858j 0.0451553-0.000352186j -0.00853622-0.0113939j 0.00225627+0.0110357j 0.00759817+0.0350085j -0.0261245+0.0228959j -0.0408791-0.0551223j -0.031451-0.00635657j 0.00770433+0.0139733j -0.0119946-0.0190455j 0.0119056+0.00432113j 0.0244065-0.000885325j 0.0131691+0.0140796j -0.00759071+0.013245j -0.0197372+0.00334652j -0.00932794-0.00856145j 0.017955-0.00423063j -0.0153432-0.0138189j -0.0267035-0.011343j -0.00658247+0.00191863j -0.00114661-0.00894238j -0.00396622-0.01186j 0.000271591-0.0115915j -0.0133773+0.0136806j 0.00721532+0.00161542j -0.00889625+0.00162347j 0.00058019-0.000765453j -0.00512958+0.0090241j 0.00328339-0.0160503j -0.0114259+0.0227863j 0.0293567-0.0030304j -0.0181654-8.12765e-06j -0.0163848-0.0157724j 0.00640366-0.01411j -0.0048356-0.0177133j -0.0239945+0.01163j 0.000430086+4.96408e-05j -0.00363712-0.0126758j -0.0188204-0.0174078j 0.0152726+0.0109093j 0.000873365+0.000513713j -0.00702726-0.0291886j -0.0108132-0.00107268j -0.0277466-0.00947255j -0.0100843+0.00612672j 0.00109043+0.0115749j 0.0237734+0.0167476j 0.0222266-0.0197113j -0.00811415+0.00699437j -0.00724662-0.0112419j 0.0302669-0.012536j 0.00764932-0.0257176j -0.00210337-0.0136481j 0.0141525-0.0312664j -0.000410777-1.94062e-05j -0.00156146-0.00382172j -0.00154605+0.0153083j 0.00512938-0.0345301j -0.00442335-0.0116727j -0.0168124+0.00342768j 0.0220863+0.0173323j -0.00633456-0.0032809j -0.0256842-2.76442e-05j -0.00720791-0.00527761j 0.0104762+0.000826014j 0.0125592-0.00505284j -0.00316206+0.00530771j -0.0123906-0.0116883j 0.0195026-0.0110142j 0.00934463+0.00727066j 0.00958375+0.0111191j -0.00768847+0.0194622j 0.0207088+0.0188107j -0.00762449+0.0145129j 0.0012615+0.0350405j -0.00465016-0.0102637j 0.0192095+0.00233906j 2.03982e-06-0.0217922j -0.0210785+0.00321395j 0.0107127-0.00505614j -0.0186664-0.0018833j 0.0143891-0.00750916j 0.00668173-0.0198796j -0.0115314+0.0276173j -0.0355506+0.0304275j 0.00383102+0.00998061j -0.0629942-0.0679858j -0.00106252-0.0092204j 0.0024981-0.000200508j -0.0465767-0.0122731j 0.0302404+0.0799828j -0.0359076+0.00387587j -0.00344718-0.0370984j 
-0.00210781+0.0102383j 0.0114951-0.00384755j -0.0152921-0.00990172j 0.0145238+0.00307703j 0.00775051-0.00880466j -0.0107355+0.00613411j -0.0306746+0.000746159j 0.00249433+0.0124652j 0.00618661-0.00253523j -0.0206504+0.00690079j 0.00191802+0.000340733j 0.00652668+0.0158286j 0.0202791+0.00903569j 0.0121021+0.00340293j -0.00940452+0.00418263j 0.00914185-0.0201799j -0.00361311-0.00538958j -0.00277453-0.00444792j 0.0194718+0.00526537j -0.00343475+0.00498202j 0.00596882+0.00950397j 0.00941067+0.0117371j -0.00950599-0.00724519j -0.0128346-0.000888473j 0.00847525-0.000603888j 0.00158458+0.00972518j 0.00103456-0.00744852j -0.0143643+0.00356535j 0.00316912-0.0115304j 0.00315768+0.00311492j -0.0149432-0.0107469j -0.0069439+0.00353781j 0.00474409+0.013923j -0.00784094-0.00843084j -0.00973896+0.00248159j 0.0115699-0.00410887j -0.0106294-0.006839j -0.00198001+0.0183102j -0.0192285-0.0173448j -0.0209558-0.00718263j 0.00857787-0.00578879j -0.018522-0.0063582j 0.00696239-0.0194333j -0.0159587-0.00533643j -0.0230946-0.00803515j -0.00208987+0.00981243j 0.00369425-0.000494478j -0.00480849+0.0311888j 0.00497766+0.00119636j 0.0226968+0.00133979j 0.0206436-0.00701509j -0.00225084-0.00602932j 0.00604135+0.0102058j 0.00116542+0.0152237j -0.00392996+0.0160149j 0.00647916+0.00164679j 0.0118605-0.00107228j 0.00488977+0.000392317j 0.0191597+0.0248331j -0.00243712-0.0163826j -0.012979+0.00464198j -0.0181244+0.00709563j 0.00521099-0.0090732j -0.0218086-0.0224168j -0.0124735-0.00547603j -0.0121624+0.00123483j 0.00514887-0.000400277j 0.00747824+0.00215703j -0.0378636+0.00601987j -0.012299+0.03462j 0.0167271-0.0149975j 0.0196654-0.0235723j 0.0198354+0.0276101j 0.0152271-0.00306449j -0.0238558+0.00428076j 0.0224531-0.0151259j 0.01134-0.00906209j 0.0203071-0.0244486j 0.0153322-0.0161548j 0.00646137-0.00445137j 0.0200154+0.0274139j -0.0163465+0.00802422j -0.0430965-0.0236264j -0.0246996+0.0200024j -0.00346767+0.0177551j -0.00722986-0.0037154j -0.00402876+0.016601j 0.0237141-0.00263147j 0.0117736+0.00155433j 0.00665951+0.00787351j 0.00516948-0.0113962j -0.0294805+0.00607295j 0.00249304+0.0303215j -0.000369199+0.00879615j -0.0101291-0.00513165j 
0.00830522-0.0171075j -0.0138125-0.0067081j 0.00326453-0.0193259j -0.0280354-0.0213963j -0.00423309+0.0162991j 0.022319+0.0134096j -0.000625672-0.000404215j -0.00236755-0.00264378j 0.012073-0.00522859j -0.0103073+0.010306j -0.0244974+0.00147095j 0.00949707+0.000644618j 0.00968622-0.011639j -0.00791271-0.00245791j -0.00788327+0.00575991j -0.00468292-0.0116739j 0.00654625-0.0158851j -0.00667533+0.00867617j -0.00844142-0.0131783j -0.00295698-0.0100753j 0.0125894-0.01711j 0.0137147-0.00801597j 0.013796-0.0119025j 0.0100016+0.00243103j -0.00509293+0.0114377j 0.00517232-0.0262058j 0.0216126-0.00631154j -0.00650165+0.0102837j 0.0116821+0.0079797j 0.0193127-0.010644j 0.0188295+0.0227932j 0.0150793-0.00706011j -0.013572+0.013372j 0.0225166-0.0052584j 0.000755277+2.16833e-06j 0.0134971+0.0038722j -0.00079623+0.00193474j -0.000692033-0.0134443j 0.00287231+0.0106852j 0.00527348-0.00451812j 0.00503211+0.0124538j -0.0118091-0.00979663j -0.0029851-0.00664078j 0.0164081+0.004006j 0.00425081-0.00882592j 0.00606061+0.0122756j 0.00711685+0.00108517j 0.0171405-0.0080936j 0.00324536-0.00854251j 0.00698392-0.0049026j 0.0170908-0.00828272j 0.0137782-0.0116838j 0.0150952+0.00468893j -0.0146413+0.00232254j 0.0108019+0.0127242j -0.00658751+0.0123966j 1.00945e-05-0.0261248j -0.00152536-0.0104503j -0.0223851-0.00934767j -0.00670768-0.00734608j 0.00430397-0.00691148j 0.0417148+0.0129482j -0.0121724-0.011456j 0.00476351+0.0173514j 0.010191+0.00423067j -0.000141482-0.0171389j -0.0198842+0.0262239j -0.00203564-0.00142109j 0.0102248+0.0233182j -0.00584865-0.00530826j 0.00572677+0.00613874j 0.0271832-0.00694906j -0.0255984-0.0238802j -0.00745937-0.0212464j -0.0128183-0.0198143j -0.00871925+0.0102914j 0.0273815-0.0110127j 0.0103531-0.00312319j -0.00922408+0.00473896j -0.0145282-0.00807801j 0.00551824-0.0204842j 0.010331+0.00344559j 0.0224521-0.0293755j -0.0182769+0.0199902j 0.00102088-0.0075913j -0.0115277-0.0201015j 0.0190422+0.0118434j 0.0189182+0.0059478j -0.0104261+0.0038204j 0.00861388+0.00451381j -0.0171518-0.00841235j 0.00987281-0.00198277j 0.00059682-0.0191279j 0.00751091-0.00118185j 0.00725096+0.00737733j 
0.00882594-0.00133788j -0.00017558-0.00865829j 0.0124218+0.0150683j -0.00634249+0.0112579j -0.00909255-0.00288398j 0.000749322+0.00203282j 0.00842811+0.0157858j 0.0293765-0.00494144j 0.0102902+0.026052j -0.0112432+0.00548503j -0.0183609+0.0260217j -0.00394647+0.0103562j -0.00621167+0.00501552j -0.00829489-0.0106165j -0.00383246+0.00969851j -0.00320886+0.00330669j -0.0121953+0.00533132j 0.00859808-2.01528e-05j -0.00892498-0.00784837j 0.00059315+0.00711167j 0.0023584-0.00958469j -0.00452728+0.0139117j -0.0044212-0.00310876j -0.00726228+0.000414962j 0.0118711+0.00651912j 0.0125079+0.000323095j 0.0113007-0.0072521j 0.00627997+0.022602j 0.0105994-9.96604e-05j 0.0199351-0.0119207j 0.00239718+0.00788656j 0.0145017-0.011555j -0.00466086-0.0017205j -0.0117216+0.00880522j -0.00136122+0.0034321j -0.00478104-0.00954732j 0.0010865+0.00472376j -0.00715883+0.00170264j -0.00509404-0.00397339j 0.0195181+0.000982115j 0.0135815-0.000501279j -0.00521982-0.00144234j -0.000106057+0.000715582j 0.00767022+0.0105574j 0.00234394-0.00447889j -0.00238737-0.00859853j -0.000673902-0.0114327j -0.000135153+0.00784932j -0.00375364-0.00427609j 0.00842795+0.0158574j 0.0144541+0.0102067j -0.00118849+0.0248855j -0.0105045+0.00691126j -0.00144532+0.0162j -0.00357079+0.00191648j -0.00859723+0.0120897j -0.00361777+0.00160976j 0.0162038+0.000735451j 0.0103045-0.00476001j -0.0127045+0.0122373j -0.017715+0.0195213j 0.00796206+0.016329j -0.00403083-0.0194412j -0.00760759+0.00654092j 0.0156947-0.0179364j 0.00988749+0.018968j 0.00280122+0.0183911j -0.0127649-0.00772032j 0.00331765-0.0080201j -0.00604072-0.00134291j -0.0365064+0.0322902j 0.00924975-0.00528142j -0.00711568+0.0295857j 0.00309179+0.00597626j 0.00306757-0.0221253j -0.0106005+0.00148782j -0.00350227-0.0300988j -0.0169019-0.00698839j -0.000978553-0.0127632j 0.00910233+0.00770225j 0.024705+0.0123511j 0.0142976+0.00261559j -0.000448955-0.0191468j -0.0214627-0.00210439j -0.0158975+0.000848677j -0.0117435-0.00218742j 0.012753-0.0268838j -0.0187771+0.0046753j 0.0347253-0.0124321j 0.00402497-0.00506359j -0.00614727-0.0147069j -0.00529671+0.00906374j -0.0058926+0.00644346j 0.00788963+0.00833974j -0.00852735+0.00605235j 
0.00377809-0.00492105j -0.00291278+0.00228795j 0.0154215-0.00677804j -0.0132669-0.00197936j 0.00756395-0.00505045j -0.0029609-0.0146531j 0.00779195+0.00739709j 0.0474645-0.0130048j 0.00470667+0.0368268j 0.0133378-0.00036501j -0.00710697+0.00451242j 0.00851506-0.000698498j -0.0231905+0.0158821j -0.00831236-0.0110825j -0.0127265-0.00462394j 0.0198086+0.0115265j -0.00248842-0.0112748j -0.00679578-0.00945137j 0.0109241-0.00102907j -0.00724559+0.0143833j 0.011204+0.00863738j 0.010487+0.0219161j 0.0182794-0.000466998j 0.00334995+0.00105223j -0.0133479+0.000381283j 0.00907841-0.0181796j 0.00504637-0.0058119j 0.013651-0.0245517j -0.0157333+0.00344719j -0.00772247+0.00871494j -0.0103618+0.00359475j -0.0147145-0.0221131j -0.00398703-0.0149133j -0.00357763-0.00676368j 0.00554994+0.0179751j -0.0117369-0.0283123j 0.000629765+0.0140759j 0.00512646-0.0151569j 0.0011976-0.0171679j -0.00285008+0.00897654j -0.01113+0.00788408j -0.00385945-0.0176665j -0.0139069+0.00732079j 0.00499377+0.0165788j -0.0164419-0.0147204j -0.0163018+0.00396974j 0.0218384-0.0157715j 0.00616155+0.00212597j -0.025683-0.00127497j 0.00653023+0.0170843j -0.00416122+0.0230128j 0.0159457-0.0115509j 0.000889015-0.0286881j -0.0252544+0.0140354j -0.043265+0.00643092j -0.0132494+0.0223205j -0.00293857+0.0119521j 0.0149834-0.0122801j 0.0212179+0.0235708j -0.0255754-0.00710532j -0.0140078-0.0182988j 0.0154845+0.00348952j -0.0160844+0.00402699j 0.0104163-0.0197473j -0.0113058-0.0113046j -0.0179363+0.00688994j -0.0124659+0.0118447j 0.00287783-0.013462j 0.0190866-0.000825992j 0.0129102-0.0199118j -0.00371178+0.0085139j 0.00588431+0.00422587j -0.0118697-0.0108411j -0.021122-0.0186964j 0.0154754+0.00461477j 0.00981349+0.0210048j -0.00917336-0.00922282j -0.0275557+0.00842096j -0.0110474-0.00953831j 0.0184468+0.000725852j 0.0206207+0.00137869j -0.0240776-5.91881e-05j -0.0158677+0.0038847j -0.00849515+0.010647j 0.00782412-0.0019712j -0.00754191-0.0108286j 0.0205686-0.020837j -0.0277728-0.0205737j 0.0377118-0.0159631j 0.0041769+0.0241604j 0.00572609+0.00566983j 0.0126302-0.00897848j -0.00377056+0.00527153j 0.0015533+0.00923521j -0.00111743+0.00219672j 
0.00200385-0.00214082j -0.00419038-0.00631665j -0.0139374+0.00858309j 0.0301031+0.00542813j 0.0103047+0.0106074j 0.00187648+0.00417135j -0.0143975-0.00591356j 0.0323004-0.0149662j 0.0185348+0.016309j -0.0357461+0.0107947j -0.0043643+0.00078804j -0.0128143-0.00109415j -0.018747+0.0141783j 0.011519-0.0216878j -0.00612091-0.0132719j -0.0076817-0.00532375j 0.00317795+0.00776875j 0.012632-0.00578529j -0.0109843-0.00423849j 0.000279707+0.000895825j -0.0178523-0.00151364j -0.0106104+0.0215546j 0.00858579+0.000160144j 0.00724608+0.00702275j 0.0095083+0.0118241j 0.00819566+0.000517115j -0.00137569-0.00528589j -0.00165329-0.00239818j 0.0129085-0.00174172j 0.00566682-0.00717256j 0.0083244+0.0137035j 0.019482+0.00184516j 0.00403054+2.55026e-05j 0.0238384+0.00727018j -0.0055267-0.00894825j 0.0036275-0.0303252j 0.0224952-0.00693489j -0.0238965-0.00141479j 0.0122192+0.00449364j 0.00831243-0.00409697j -0.00301784+0.00650774j 0.0134392-0.0147635j 0.00555997+0.00190967j -0.00938802+0.00984914j -0.00101667+0.00124034j 0.00561735-0.0150364j -7.16444e-05-0.0193574j 0.00469082-0.00972998j -0.00299728+0.0113256j 0.0066541-0.00341096j -0.00381797+0.00682681j -0.0130595+0.00977526j 0.00995423-0.00164082j 0.00876645-0.00975389j -0.0061693-0.000599743j 0.00213028-0.00714125j 0.00415908+0.000811465j -0.00214804-0.0206047j -0.00481253+0.00245242j -0.00435982+0.0197216j 0.00202793-0.000363872j 0.0259457+0.0269554j 0.0136121+0.00998508j -0.00181252+0.00420651j -0.000753073-0.00195577j 0.0118641+0.00231764j 0.0115451-0.0130459j -0.00550367-0.0231127j 0.00255598-0.00887406j 0.00640158-0.0391584j -0.0097633+0.00723318j -0.00684799-0.00434267j -0.0141265-0.0150818j 0.00059817-0.0143342j 0.00799505-0.0320256j -0.0281507+0.0286023j 0.000827554-0.0089797j -0.0132753+0.0269685j -0.0179304-0.00825129j -0.00578729+0.0138142j 0.0213279+0.0152959j 0.0576195+0.00684642j -0.0048489-0.00783851j 0.000519526-0.0051632j -0.0112992+0.0055709j -0.0145478+0.00963091j 0.00387633+0.0019332j -0.020138-0.0270157j 0.0111797-0.0426853j -0.0014943-0.0050046j -0.00403117+0.00401767j -0.0106509+0.0239208j 0.009466+0.0195821j -0.00490345+0.00909691j -0.00692627-0.0103905j 
0.00592108-0.00436553j -0.00186088-0.00269338j 0.023344-0.0100818j -0.0193507-0.0184779j -0.00653957-0.00808199j -0.00285144+0.0111318j 0.00613518-0.0063429j 0.00621908-0.00734345j 0.0115509+0.012947j 0.0126994+0.00723641j -0.0159217+0.00226938j 0.0196283+0.00512533j -0.0106567-0.000767686j -0.0187202+0.0119535j -0.0136848-0.00293872j 0.00636276+0.00361286j -0.00982996-0.0276268j 0.00148166+0.000652835j -0.00270926-0.00657828j 0.00215425+0.00594379j 0.00640288-0.0136112j 0.00242914+0.00418282j -0.00414549-0.00833392j -0.00372065+0.00709721j -0.0113027+0.0209807j 0.0183979-0.0039664j -0.00446918+0.00519182j 0.00563056+0.0143955j 0.000470237-0.00192226j -0.00382927-0.01231j 0.0094996+0.00465362j 0.00557239-0.0139343j -0.0216944+0.00591305j 0.00411026-0.00710237j 0.00796908+0.00155268j -0.00645755+0.0102795j -0.00196383+0.0315498j 0.0214065+0.00296788j -0.00704375+0.00505381j 0.0115955-0.00309723j -0.0172268+0.0116536j 0.0144109-0.00573058j -0.0170866+0.000803006j -0.00400355+0.00337808j 0.00363109+5.07877e-05j 0.0155037+0.00272452j 0.0209044-0.0046503j 0.0267636-0.00125915j 0.0126557+0.000684453j -0.00482086-0.0124438j 0.027746-0.000393327j -0.00308859+0.0152159j 0.0028251-0.00019494j -0.0143028+0.0128279j -0.0220204+0.0133787j -0.0149894+0.0188304j -0.0262929-0.0124536j 0.0191828+0.0151627j 0.0124972-0.0260989j -0.00785775+0.00479493j -0.0171305+0.00786524j 0.012832+0.00279128j -0.0257109-0.00895206j 0.0165034+0.0145041j 0.0119438+0.018385j 0.00992851-0.00261335j 0.00995796+0.0239332j 0.0042439-0.00683912j 0.00863244+0.0197408j -0.018733+0.0207647j -0.0107738+0.01159j 0.00519124+0.0244492j -0.0135403+0.0199147j -0.0125134+0.00978132j 0.0149184-0.00980369j -0.0166457-0.0240903j 0.00899101-0.0119036j -0.0155395+0.000801853j -0.0171468+0.0114759j 0.00674534+0.00614685j -0.00784705+0.0122231j -0.00383075-0.0343658j 0.0333647-0.0143453j -0.0240456+0.0111297j 0.0294386+0.0037383j 0.00273249-0.0191911j 0.00595651-0.0047678j -0.00802181+0.00835054j 0.0217627-0.014828j 0.0186135+0.00226784j -0.000169152-0.0112616j 0.0126857-0.00190605j -0.00836606-0.0168264j 0.00335173+0.0153112j -0.00220202+0.0101897j 
0.00890876+0.00450083j 0.00578107-0.00586102j 0.0150424-0.029633j -0.0399555-0.00611148j 0.00108185-0.00923843j 0.00549578+0.00759949j -0.0216268+0.010766j 0.0126625-0.0101221j 0.00262279+0.0224147j 0.0262387+0.000313472j -0.00896917+0.005729j 0.0356141-0.00218689j 0.000431565+0.00862729j -0.0207419+0.0134313j -0.0169469+0.00836298j 0.00319273-0.00278557j -0.000798821-0.0120746j -0.0180751-0.000298018j 0.013784+0.00828876j -0.00555862+0.0168491j 0.0301759+0.000637208j 0.0214745+0.0071495j 0.000551021+0.00708581j -0.0124157-0.00729527j -0.0124047-0.00158091j 0.00494483+0.0160119j -0.00770414+0.00820163j -0.00650323+0.00285132j -0.0046854-0.016802j 0.00606744+0.00416276j -8.41966e-05-0.014449j -0.00943811-0.0124057j -0.0181743+0.00168253j 0.00579402-0.0187602j 0.0136097-0.0078188j -0.00729218+0.00752826j -0.0206157+0.0170549j -0.00912628+0.0031411j -0.0265523-0.0135709j 0.010457+0.000205096j 0.0231397-0.00179905j -0.0145761-0.0117349j -0.00362278-0.00367072j 0.00320249+0.00910135j -0.0160204-0.0185781j -0.00241975+0.0161136j 0.0171411-0.0202649j -0.00073941-0.00807069j -0.0133044+0.00948727j -0.0108052+0.0245688j 0.01317+0.0167988j 0.00774158-0.00707862j -0.00505211+0.00531763j -0.00399578+0.0126498j -0.00959491-0.00620344j -0.0110928-0.000121055j 0.0181813+0.0242412j -0.00186044-0.0225239j 0.0193242+0.00348772j -0.0329322-0.00669092j -0.0305954-0.00159293j -0.00467143+0.0236212j 0.000785413-0.0183429j -0.0028525-0.00890868j 0.00261406-0.0130265j 0.00951964+0.00308408j 0.000818294+0.00870876j -0.0225954-0.0150569j -0.01941+0.00358793j 0.00406252+0.0330907j -0.0127115+0.00535727j -0.00346032+0.00495308j 0.00879183+0.0138875j -0.010149-0.0144302j 0.00338474+0.0131339j 0.00348182-0.0198006j 0.00937359-0.0283037j 0.0139116-0.000744327j 0.0149376-0.00374172j -0.0133201-0.0109926j 0.00772477+0.0247926j -0.0225136-0.0178978j -0.00928972-0.0216865j -0.0242686+0.0329646j 0.0144863+0.0204061j 0.0145551-0.0265303j -0.00989307+0.00641057j 0.0248501+0.00254497j 0.0224545+0.0199756j 0.013995+0.00664583j 0.00979941-0.0147791j 0.00558985-0.00977705j 0.00387682-0.0199548j 0.0110591+0.00607918j -0.0064633+0.0177795j 
-0.000936898+0.00467341j 0.00122324+0.000492829j -0.00990412+0.00763684j -0.00105931+0.0116337j 0.0116087+0.00720743j 0.0116187-0.00751848j -0.00109355+0.0142539j -0.00419908+0.000497208j 0.000901208-0.00390745j 0.00970241-0.00930344j 0.012592-0.0115166j -0.00125163+0.0112975j 0.00678085+6.91751e-05j 0.00252092-0.0176802j 0.00283937-0.00179167j -0.012738-0.00365117j 0.0154352+0.0199862j -0.0111119-0.000338524j 0.0050617+0.0109537j -0.0132363+0.00577892j 0.00319764+0.0136074j 0.00257371-0.0105788j -0.00906013-0.0115262j -0.0110104-0.00803561j -0.0062164-0.0192769j -0.00179347-0.00530908j -0.00710042+0.00480723j 0.0136339+0.012074j -0.00169993+0.010576j 0.0117699-0.00305088j -0.011841+0.0201968j -0.013755+0.000412936j 0.0169841+0.00121172j 0.00595991+0.029598j -0.0182207-0.00618043j 0.00945403-0.00182828j -0.0228646-0.00665646j -0.00793008-0.00432058j 0.00572505+0.00122681j -0.00686551-0.0158006j 0.0129209+0.00751724j -0.0097374-0.0177028j 0.00789313-0.00984217j 0.0150648+0.00032263j 0.0043726+0.00650291j 0.0176188+8.2252e-06j -0.00361138+0.000670853j -0.00339038-0.00400959j -0.00588005-0.0114864j 0.00645081+0.00362271j -0.00298235+0.000478356j 0.0201242+0.0186978j -0.00864858-0.000627083j 0.0246948+0.00558019j 0.000829841-0.00923148j -0.00983984-0.00697409j 0.0129807+0.0151604j -0.0105876-0.00794839j 0.0255122+0.000567237j -0.0176857-0.00641093j 0.00345593-0.00844589j 0.0129275-0.0315144j -0.00137241+0.000590287j -0.00435257+0.000157943j -0.00368659-0.0216089j -0.00299719-0.0119724j -0.00480857-0.013734j -0.0175996-0.0255019j 0.0239443-0.0181807j 0.0064041+0.00350354j 0.00534082+0.00960048j 0.0129175+0.00654156j -0.0113935-0.0134121j 0.0159029-0.000865333j -0.0195165+0.0124112j 0.00803264+0.0286904j -0.0048414+0.00820094j 0.00194335-0.0066985j -0.00475702-0.0206102j -0.027101+0.000564458j 0.00476719-0.00401427j -0.0143996+0.0201438j 0.000921964+0.0248495j 0.0216218-0.0211802j -0.0307887-0.0166352j -0.00683788+0.0150152j -0.00515498-0.0155199j 0.00441967+0.00411164j 0.0168815+0.0171788j -0.011428-0.0102921j -0.01879+0.0104911j 0.00141589-0.00446938j -0.00221988-0.00211093j 0.00200796-0.00877391j 0.0036401+0.00367093j 
0.00437812-0.0185019j -0.0140827-0.00530832j 0.00726143-0.00160392j 0.0192822+0.0128143j -0.0191607+0.0090224j -0.0109321-0.00221319j 0.044692-0.0266975j -0.0039649-0.00300055j 0.0168309+0.0170825j -0.0354003+0.0100335j -0.00469515+0.0138951j -0.0156689+0.0171642j -0.00412718-0.0108807j 0.0163435-0.0269101j 0.00886865-0.0138709j 0.00452884-0.00189604j -0.0150756+0.0145822j 0.00804074-0.0052803j -5.82916e-05-0.00616088j 0.0208142+0.00559606j -0.0203866-0.00346229j -0.0158802-0.0232427j -0.015816+0.00607853j 0.00616128-0.00455278j 0.00127068+0.00589765j 0.00101383+0.0140168j 0.0174896-0.00183611j -0.0041983+0.0164341j 0.00339776+0.00359273j -0.00146731-0.000412335j -0.00742731+0.00630951j -0.00136452-0.00436457j 0.00091692-0.00247735j 0.00244378+0.0222767j 0.000870974+0.000783853j 0.0180077+0.0073384j 0.0325821-0.00352417j 0.00666877+0.00369213j 0.00759462+0.0202974j 0.00362608-0.000485004j -0.0101341+0.0148247j 0.00272941-0.0020781j -0.0280128-0.0143252j -0.021715+0.0113081j 0.00348023+0.00870672j 0.0195379-0.00902082j -0.0129453-0.0119341j -0.020023+0.0193161j 0.0158046+0.00890162j -0.0131356+0.00638918j 0.0144369-0.0115103j 0.00147489+0.0162192j 0.00974315+0.00970291j 0.0105387-0.0124369j -0.00565986-0.0107484j 0.0221401-0.00534192j -0.0115474-0.0230402j 0.00715195+0.0124561j -0.00890342+0.00745818j 0.0151655+0.00441335j 0.0191208+0.00468641j -0.000535241-0.00215713j -0.0037881+0.0119627j -0.0045163+0.0119597j 0.00385213-0.000601084j -0.00103015+0.0122756j -0.00222392-0.0150939j 0.00496956-0.00186051j 0.00660116-0.000697035j -0.00304667-0.0309819j 0.0106007+0.0133616j -0.0036935-0.00632748j -0.000731229+0.00415903j 0.00405954+0.0053297j -0.00417282-0.006341j 0.0026452-0.00899087j -0.00157931-0.00703693j -0.00419099+0.00647908j -0.03609+0.00808873j 0.0170504+0.0353272j -0.016539-0.0113412j 0.0207542+0.00340756j 0.0125847-0.00704642j -0.00988636-0.00596823j -0.0261115-0.010851j -0.00889564-0.00347424j 0.0110023-0.0290087j -0.0200719-0.00269481j 0.00478881-0.00360757j -0.00239118+0.00427215j -0.00937681-0.00622652j -0.0104867+0.013294j 0.00373375-0.000394834j 0.00301517-0.0121166j 0.00964615+0.00630826j 
0.00622759-0.00282373j 0.000553725-0.0128668j -0.00202662-0.0128299j -0.00786799-0.00221489j 0.00244808+0.0184256j 0.0126856+0.00632354j -0.017141-0.0126897j -0.0159726+0.00175539j 0.00330326-0.00802921j -0.00107579-0.00584212j -0.0118813+0.00406661j 0.0220115+0.00315077j 0.0106488-0.000700474j -0.00874447-0.0069244j -0.0139249+0.00147808j -0.0134083-0.00985215j 0.00997723-0.0116794j 0.00540685+0.0020825j 0.0201143-0.00673305j -0.00344652+0.00148444j 0.00234141-0.0130326j 0.00917424-0.0104451j -0.00505549-0.00821645j 0.00171241+0.00949426j 0.00702911+0.00268959j 0.00497021+0.0053619j 0.00670334+0.0110621j -0.0100017+0.00857924j -0.00264154-0.00444779j 0.00116139+0.00597776j 0.00149514+0.00362523j -0.000141211+0.00598602j -0.00616565+0.00429443j 0.00145201-0.0116728j -0.000430451-0.00940261j 0.000442966+0.00897776j -0.0166696+0.0103673j 0.00904691+0.000356961j -0.00648245-0.00572459j 0.00698289-0.0138007j -0.00596435+0.0038037j 0.0118523-0.00783715j 0.00483876-0.00421437j -0.0136169+0.00741235j -0.0112341-0.00329615j -0.0128271+0.00953493j 0.000859224-0.0196653j -0.00472764-0.00431653j -0.00322015+0.000548839j -0.0288473-0.00210933j -0.00459245-0.00853134j 0.00786103-0.0313259j 0.0124558+0.00195436j 0.0144021+0.00369748j -0.0197307+0.0150831j 0.0033361+0.0105409j -0.0115174+0.00733517j -0.0120446-0.0136012j -0.013825-0.000449325j -0.00675692-0.00796688j 0.00583831-0.0232696j 0.0305986-0.00283877j 0.0179687+0.0233367j -0.010106-0.00391018j -0.0271855+7.54768e-05j -0.00980511-0.0159555j -0.00833973+0.00417295j 0.00475735-0.00356096j -0.0232136+0.0042036j 0.00212221-0.0241062j 0.014101+0.00296755j -0.0163884-0.00922246j -0.0117346-0.0255135j -0.00149046-0.0102664j -0.0362477-0.012902j -0.00174115+0.00171019j 0.014542-0.00603161j 0.00359462-0.00493365j -0.0143137-0.0212787j 0.0136008+0.0217333j -0.00391276-0.00723697j 0.00476356+0.0171097j 0.00950818-0.0239686j -0.0184071+0.0240946j 0.0168218-0.0138377j -0.0124939-0.0207899j 0.00458288+0.0231318j 0.0305548+0.00432741j -0.0111225+0.00357349j 0.000882404+0.00427247j 0.00212992-0.00121446j -0.000675267+0.00871759j 0.0134728+0.00594503j 0.00746584-0.00186845j -0.0014732+0.000138712j 
