-0.134802+0.130487j -0.130241-0.166963j 0.056396-0.0302684j -0.0750542+0.019487j -0.042469+0.0969316j -0.0292853+0.0158837j 0.112286+0.0103334j 0.0557902+0.0441405j -0.0312833-0.0726106j 0.0443766-0.117417j 0.113494+0.0215531j -0.0534294-0.0320288j -0.0880924+0.00234271j 0.0613329+0.0159376j 0.0414431-0.0870701j -0.0161658-0.0547559j 0.0180235-0.183381j 0.168337+0.0318943j 
0.00165764-0.00962994j 0.00613166+0.00596256j 0.0111083-0.0124373j 0.0323449-0.00451567j 0.0182891-0.0123793j 0.0124739+0.0328962j -0.00405205+0.00771564j 0.00576289-0.000371592j 0.0264848+0.01022j -0.00582205+0.00820103j 0.00833729+0.011435j -0.0156986+0.0145582j -0.0111063+0.0153463j -0.0204879-0.0176272j 0.0167189+0.00308512j 0.000220771+0.0145872j 0.00443695+0.0154687j -0.00365696-0.00147115j 
-0.00744492+0.00928474j 0.00764405+0.00314216j -0.000965057-0.0062316j 0.0175599+0.00835766j 0.00361355-0.008113j -0.0176349+0.00287914j 0.0139697+0.0122645j 0.00125082+0.0206279j 0.00160317+0.017669j -0.0181177+0.00207096j 0.00851423+0.00488436j 0.00996845+0.0115288j 0.0112954-0.0203285j 0.00454669+0.00581529j 0.00381524-0.0061642j -0.00505023+0.0079645j -0.00258155+0.00074808j 0.000995736-0.00289398j 
-0.00740933-0.011687j -0.00120714+0.0100816j -0.0154153-0.013812j 0.00762228-0.00439453j 0.00557524-0.00209172j 0.00487221-0.00154245j 0.000969373+0.00118892j -0.0126358-0.00762096j -0.00261521-0.0182224j 0.0234686-0.00970442j -0.0218181-0.0232702j 0.000890297-0.00982195j 0.0184004+0.0011295j 0.0186549-0.0218883j 0.00357688-0.00300281j 0.0127421-0.0100663j 0.00209248-0.000394631j -0.00210879-0.00537547j 
0.00694423-0.00598309j 0.00397263+0.00413759j -0.00457173+0.00633353j -0.00275955+0.000677508j 0.0202721+0.0173898j 0.00816298+0.00118609j 0.00945276+0.0126167j -0.013121-0.0086103j 0.00353236+0.00541451j 0.0108441-0.0145009j 0.0145434-0.00402009j 0.014672-3.83739e-05j -0.0321526-0.0100273j 0.00548195+0.0101709j 0.00310435-0.000930732j 0.00731493-0.0015075j -0.000105822+0.00833155j -0.0112663-0.00319204j 
-0.000966041-0.00363336j 0.0114876+0.00469191j -0.0184173-0.0133595j 0.0109297-0.00621688j 0.00911664-0.0244523j -0.0038296+0.0104716j 0.0315584-0.00960042j 0.000828474+0.0270835j 0.00654983-0.00353267j 0.00656656-0.00150993j -0.0161292-0.00768949j 0.00719807-0.00654382j -0.00739962-0.00574845j 0.00294188-0.00375791j -0.00998227-0.00526518j 0.0105809-0.00165797j -0.00776936+0.00696343j -0.0129873-0.00335999j 
-0.00908522+0.0116064j -0.00148098+0.00253913j -0.00906308-0.00208452j -0.00311863-0.0125755j 0.00396205-0.00913221j 0.00649208+0.00761348j 0.0164769+0.00823216j -0.00700176-0.00301911j -0.00955034-0.00722325j 0.00434749-0.0135511j 0.000395766+0.00357297j -0.0166908-0.00478245j -0.00217303-0.047927j -0.00997652-0.00398685j 0.0142801-0.00283455j -0.00178002+0.00932223j -0.013644+0.00245989j 0.00757857-0.0105125j 
0.0182523-0.0420144j 0.022899+0.0121204j 0.00404009-0.0139666j -0.0170676+0.00855206j 0.0145378-0.0175823j 0.00576257-0.0249121j -0.0194119-0.0218771j -0.00191783+0.00412351j -0.00636473-0.00748489j 0.00460868+0.02555j 0.000158708+0.00610776j -0.033719+0.0202555j 0.00927172+0.00316703j -0.0271825-0.0333572j 0.0158018+0.00684383j 0.00996447+0.0324928j -0.0136808+0.0441547j -0.031454-0.00797313j 
-0.0112621+0.00168173j 0.000846098-0.00596546j 0.0116732+0.0139383j 0.00431001-0.00354617j 0.0066598+0.000257146j 7.43491e-05+0.00445182j -0.0111053-0.00109059j 0.00361314-0.00711478j 0.00260124-0.00191209j -0.0107012-0.00625521j 0.0153209-0.0108034j -0.00445124-0.00160094j 0.00642777-0.0155248j -0.0204498+0.00892308j -0.00867369-0.01642j -0.0140229-0.0030151j 0.00712679+0.010481j -0.00489239-0.00444326j 
0.0060867+0.000235902j 0.0117421+0.0114547j 0.00220606+0.0147778j 0.0162082+0.00469098j -0.00350987-0.000444116j -0.0105566-0.00390501j 0.00279365-0.0141587j -0.0156459-0.0169822j 0.000192543-0.00659499j -0.00993282+0.0116082j -0.00577273+0.0229168j 0.00829107+0.0112505j 0.00010325-0.00170186j 0.00739348-0.0214038j 0.018169+0.00488008j 0.0125593+0.000493245j 0.00504152+0.00793512j 0.000156282-0.0154559j 
0.00173095+0.01129j -0.0069381-0.0104795j 0.0172384-0.00302197j -0.0108129-0.00925838j -0.0066323-0.0180703j 0.00734893-0.00564005j 6.13235e-05-0.00402112j -0.011795-0.0042917j -0.00262775+0.00192207j -0.011676-0.000232998j 0.0203305-0.00717834j 0.0163811+0.0180692j 0.00324423+0.00162882j -0.00280538+0.0266915j -0.0169622+0.00106957j -0.0108376+0.0174173j 0.00517003+0.00929296j 0.00324452+0.0128205j 
0.00480622+0.00810289j 0.00594695-0.000529946j -0.00814232-0.00752129j 0.0112485-0.00382461j -0.00814943+0.00302033j -0.00111708+0.00560534j 0.00523225-0.00349616j 0.01199+6.35852e-05j 0.0108537-0.00456132j -0.000112607+0.01087j -0.00592888-0.0163413j -0.00939871-0.0181039j 0.000491012-0.00696177j 0.00491653+0.0132169j -0.00014266+0.0104782j 0.00684115-0.00293039j -0.00388273-0.0124325j -0.00710991-3.15747e-06j 
0.00274166+0.0052777j 0.0099564+0.0164826j -0.00281649+0.00857776j 0.00386702-0.002277j -0.00650338+0.0177972j -0.00664317-0.0120736j -0.00513188-0.00869501j -0.0206079-0.0120487j -0.00275792+0.00411324j -0.00839452-0.00595968j -0.010137-0.024902j 0.00254874-0.00442917j -0.00657524-0.00937256j -0.00435139-0.00384841j 0.0153239+0.0229616j 0.0022046-0.00244946j 0.00583138+0.0109927j 0.0053871+0.00371176j 
0.0110639-0.0335972j 0.0352282+0.0119374j -0.00914927-0.0119396j 0.0197975+0.00862658j 0.00578537-0.00405849j -0.0029587-0.0211162j -0.0100883-0.0246044j 0.00049002+0.00673756j 0.00312579-0.00112246j 0.00264002+0.0111428j -0.0199195-0.0119663j -0.00665432+0.0114696j 0.0127974+0.0075603j -0.0191861-0.0185406j -0.0037158+0.0072418j -0.0107939+0.0113857j -0.00876964+0.0370136j -0.0320163-0.0036987j 
0.000789638+0.00403804j -0.00792759-0.00824179j 0.0130582-0.00173386j 0.00831062+0.00382191j 0.00278701+0.00525169j 0.00775657-0.00472086j -0.00428112+0.0213163j -0.00377073-0.0175025j -0.00239767+0.000253414j -0.00446146-0.0014379j 0.0161445+0.00510568j -0.000515749+0.00734863j -0.000274333+0.000706224j 0.00423935+0.00792011j -0.00172175-0.00185137j -0.00330994-0.000632627j 0.00128242-0.016301j -0.00371191+0.00773714j 
-0.0140766+0.000642219j 0.000146794+0.0110654j -0.000169312-0.00214101j 0.00604525-0.00571814j -0.000964843-0.0211892j -0.00379976+0.0172317j 0.0135822-0.00146395j 0.0101045+0.0126222j 0.000706207+0.0137018j -0.000762959+0.00800033j 0.0022283+0.00732555j -0.0187555+0.00402201j -0.0116373-0.00176583j -0.0117969-0.00835751j 0.00998027-0.00231691j -0.00333199+0.000717193j -0.00657259+0.0100926j 0.00902386+0.000946763j 
-0.0139782+0.0103333j 0.00225374+0.00216795j 0.0147715-0.0144103j 0.0127788+0.000671157j 0.00020762-0.00968903j -0.0157093+0.0107623j -0.00497101-0.0155815j -0.0295487-0.00295664j -0.00662224-0.00941041j -0.000773239+0.00619268j 0.00452641+0.00662127j -0.0125962+0.00904729j 0.00232708-0.00428737j 0.0107133+0.00846249j -0.00990747+0.0134043j -0.0105017-0.00901246j 0.00488895-0.00507996j -0.0105571+0.000818737j 
0.00185249-0.00796841j 0.000661054-0.00460544j 0.000607197-0.00444395j 0.00724002+0.00450823j -0.00285651+0.007126j 0.00251198-0.0100063j -0.00573734-0.00266793j 0.00189891+0.00166688j 0.00547106-0.0011534j -0.0108222-0.00536818j -0.00870474-0.0153133j -0.0138948-0.00911779j -0.00324886+0.00248435j -0.0160038+0.0157701j 0.00128484-0.000525631j -0.00149311+0.00184662j 0.00241417+0.00390621j -0.000661282-0.000820096j 
0.009066+5.65086e-05j 0.00177447-0.0106756j 0.000418498+0.00489639j -0.00393789-0.00141738j -0.000605854-0.00120411j 0.00402703+0.00264016j -0.00466568-0.00343316j 0.00577935-0.0109187j 0.00350897-0.00666318j 0.00263303+0.00220692j -0.00845931+0.00873808j -0.0147407-0.00172899j 0.00129555-0.00117558j -0.0102796-0.00366818j -0.000942476-0.0105947j 0.00497687-0.00427877j -0.00449095-0.0048911j -0.00667395-0.00212253j 
-0.00277928-0.00366582j 0.00106488+0.0156653j 0.000639959-0.00604103j -0.0243332-0.00509952j 0.00171397-0.0199456j -0.000980789+0.000308894j -0.00309342-0.0029755j -0.00142415+0.00479325j -0.0106567+0.00838131j 0.0148755+0.00909439j -0.0103849-0.0193111j -0.00995536-0.00951362j 0.00539638+0.00678718j 0.00127371-0.00404664j -0.00246985+0.00410625j 0.0096575+0.00029368j -0.00126554+0.00754619j -0.00461443+0.00427072j 
0.0017425+0.00727048j 0.00692045-0.00815367j -0.00971414-0.00311156j -0.00231082-0.00618579j 0.000284146+0.0144044j 0.00480801-0.00305553j 0.000106341-0.00277045j 0.0114504+0.00403245j 0.00608299-0.00530047j 0.00208188-0.00536709j -0.00410299-0.0119948j -0.00208905-0.00682316j -0.000735211-0.000420549j 0.00574459+0.00111042j 0.00367573+0.00152587j -0.00414628+0.00198225j -0.00025429-0.00773411j -0.00145502+0.00202489j 
-0.0160226-0.00945629j -0.0231307-0.012743j -0.00684539-0.00630288j 0.00999175+0.00162342j -0.0159414+0.0130631j 0.00956627-0.012391j 0.00554237+0.00837841j 0.0126346+0.00729475j -0.0113666-0.0175004j -0.00251486-0.0020738j 0.0181294+0.00972073j -0.0301928+0.0112419j -0.022836-0.00473618j -0.00368337+0.0150732j 0.0105954-0.00545667j -0.0121942-0.00313908j -0.0124493-0.00942444j 0.0151839+0.00449449j 
0.00297796-0.00304546j -0.00294198-0.00257496j -0.00311409+0.000681204j 0.0050022-0.00235981j 0.0107115-0.00973938j -0.00600861+0.00576983j 0.0154841+0.00356182j -0.00176188+0.00454208j 0.00577576+0.00303294j -0.00654846-0.00339396j -0.021763+0.00377046j -0.00721208+0.00160515j 0.000260007+0.000697938j 0.0144777+0.0118294j 0.00337092-0.00560562j 0.00531766-0.00271248j -0.00614818+0.00319231j 0.0055072+0.0032098j 
-0.00543368-0.00318177j 0.00266859+0.013133j -0.000922697-1.57416e-05j -0.00595124+0.00747684j 0.00282011+0.00729163j 0.00184429-0.00185622j -0.00681076+0.00797621j 0.00210456+0.0025813j -0.00791976+0.00327916j 0.00704061+0.00192596j 0.00345178+0.0129919j -0.00153873-0.00146967j -0.000758225+0.00309345j 0.00390305-0.0186572j 0.00415937+0.00625851j -0.00183389-0.00396805j 0.00249446-0.00699995j -0.00359324-0.00627614j 
0.00606828-0.0115086j -0.0124227-0.0126758j -0.0062493+0.00188897j -0.0140458+0.00257998j 0.00355818+0.00842036j 0.00395721-0.00590286j 0.0052887+0.000468263j 0.00444284+0.0100498j -0.00318058-0.0134709j 0.00881841-0.00749294j 0.0168244+0.0134436j 0.022841+0.00820387j 0.00516567-0.00734326j 0.00334989-0.00263042j -0.0179298-0.00425404j -0.00178377+0.00245766j -0.00847356+0.00329357j -0.000386875+0.00277358j 
-0.00580688-0.0035695j -0.0049038+0.0053389j 0.012705+0.00889092j -0.0170963+0.00616623j 0.00722381-0.00678728j 0.00375784-0.00150877j -0.0119733+0.00912562j 0.00551628+0.00314008j -0.00226156+0.00465761j -0.00898713-0.000987754j -0.0124564-0.00754933j -0.0121536-0.00970867j 0.00103338+0.00254248j 0.00102551-0.00216146j -0.00296238-0.0117182j -0.0017062-0.00143418j 0.0134853+0.00151921j 0.00293088-0.0058594j 
0.0253596-0.0195146j 0.0159543-0.00233969j 0.0114127-0.00927757j 0.00973212+0.0050932j 0.0201515-0.0107993j 0.000352322-0.00766556j -0.00317993-0.00372062j -0.00983667-0.000527095j 0.0148691+0.0080836j -0.0148602+0.00140311j -0.00895559-0.00992644j 0.00895128+0.00642848j 0.0186251+0.004733j -0.0114474-0.00409272j -0.0100506+0.0043783j 0.00881401+0.0128554j -0.00081693+0.0218517j -0.0251182+0.00917769j 
-0.0270695+0.00387469j -0.0368292-0.0100987j 0.00196215+0.00344348j 0.00718442+0.0139288j -0.0175686+0.0151502j -0.00440614-0.00359039j 0.00328602+0.0202774j 0.0011842+0.0048083j -0.00576535-0.00151849j -0.0133233-0.0127374j 0.016143+0.0106612j -0.00900092-0.0060043j -0.0192749+0.00565796j 0.0127573-0.00232888j 0.011351-0.0213556j 0.00208283-0.0241892j 0.0129494-0.0310082j 0.0355541-0.000747221j 
-0.0022044-0.0172128j -0.00915867+0.00342522j -0.00726452-0.00393004j 0.0114793+0.0101733j -0.0033415+0.0025274j -0.0088021-0.0016794j 0.00726404-0.00530302j -0.00520807+0.0106008j 0.00154915-0.000742481j -0.00131985-0.00308143j 0.000386071+0.0146195j 0.00815912-0.00175372j -0.00106953+0.00813279j -0.00431282-0.00445172j -0.00211443-0.000282631j 0.00983832-0.00920062j -0.00152076+0.00376916j 0.00569334-0.00489865j 
0.0174604-0.0371401j 0.0210646+0.00581571j -0.00108992-0.0152964j 0.000610381+0.00397532j 0.0131832-0.0228801j 0.000941842-0.0111785j -0.00599116-0.0225764j 0.00221974+0.0120358j 0.00479712-0.00144149j 0.00643938+0.0124896j -0.0151539-0.00898133j 0.00451126+0.00406579j 0.0236323+0.0057855j -0.0158239-0.00541683j -0.0231221+0.00203048j -0.00179296+0.0175091j -0.00975918+0.04006j -0.0325646-0.00236911j 
