-0.0586083-0j -0.0103606-0j -0.000863382-0j -0.0509611-0j -0.00849351-0j -0.00520119-0j -0.00106169-0j -6.25606e-05-0j 0.031515-0j -0.0323607-0j 0.0050857-0j -0.00522218-0j 0.00415246-0j -0.00426389-0j 0.000599356-0j 0.000519058-0j -0.00061544-0j -0.000532986-0j 6.11715e-05-0j -6.2813e-05-0j 2.79209e-06-0j -2.86701e-06-0j -0.0237233-0j 0.0288852-0j -0.0171244-0j -0.00375098-0j 0.00456715-0j -0.00296541-0j -0.0027076-0j -0.00197694-0j -0.00042802-0j 0.00361065-0j 0.0024071-0j -0.000494235-0j -0.00214055-0j 0.000521152-0j -0.000174738-0j -0.00142703-0j -4.11863e-05-0j -0.000308961-0j -4.36846e-05-0j 0.000601774-0j 0.000212759-0j -0.000356758-0j 5.01479e-05-0j -3.64039e-06-0j -0.000126133-0j 5.31898e-05-0j -2.97298e-05-0j -1.35669e-07-0j 4.43249e-06-0j -3.15332e-05-0j 1.65189e-07-0j -2.62777e-06-0j -9.79312e-08-0j 
-0.441775-0j 0.000535854-0j 4.46545e-05-0j 0.00263573-0j -0.0640219-0j 0.000269008-0j 5.49111e-05-0j 3.23567e-06-0j 0.00165654-0j 0.00167371-0j 0.000267323-0j 0.000270094-0j -0.0318105-0j -0.0321401-0j -0.00459145-0j 2.72836e-05-0j -0.00463903-0j 2.75663e-05-0j 3.2154e-06-0j 3.24872e-06-0j 1.46762e-07-0j 1.48283e-07-0j 0.00122698-0j 0.00151831-0j 0.000885681-0j 0.000194003-0j 0.000240066-0j 0.000153372-0j 0.000140038-0j -0.0299056-0j 2.21374e-05-0j 0.000189789-0j -0.0370063-0j -0.00372542-0j 0.00011071-0j 2.73936e-05-0j 9.03756e-06-0j -0.021587-0j -0.000310452-0j 1.59796e-05-0j 2.25939e-06-0j -0.00460997-0j 1.11834e-05-0j -0.00268915-0j -0.000384164-0j 1.88282e-07-0j 6.52365e-06-0j 2.79585e-06-0j -0.000224096-0j 7.01687e-09-0j 2.32988e-07-0j 1.63091e-06-0j 8.68294e-09-0j 1.35909e-07-0j 5.06505e-09-0j 
-0.000535854-0j -0.431116-0j 0.00113599-0j -0.000465936-0j 0.00367332-0j 0.00919835-0j -0.0892903-0j 0.000109942-0j -0.000292838-0j -0.000295873-0j 0.00223535-0j 0.00225852-0j 0.0037124-0j 0.00375087-0j 0.000532447-0j -0.0441296-0j 0.000537965-0j -0.0445869-0j -0.00787013-0j -0.00795169-0j 6.23989e-06-0j 6.30456e-06-0j -0.000216901-0j -0.000268402-0j -0.000156568-0j 0.00162225-0j 0.00200743-0j 0.00260862-0j 0.001171-0j -1.80751e-05-0j 0.000374139-0j 0.003228-0j -2.23668e-05-0j -0.0205657-0j 0.001883-0j 0.000462973-0j 0.000464338-0j -1.30473e-05-0j 5.41906e-05-0j 0.000270068-0j -0.00738612-0j -0.0254488-0j 0.000574589-0j -0.0148451-0j 6.70574e-05-0j -0.00061553-0j 0.000335177-0j -0.00913986-0j 3.91168e-05-0j 3.58252e-07-0j -0.00076168-0j -0.00533158-0j 4.43314e-07-0j -0.000444313-0j 2.586e-07-0j 
4.46545e-05-0j -0.00113599-0j -0.417465-0j 3.8828e-05-0j -0.000931274-0j 3.96286e-06-0j 0.0110902-0j -0.124946-0j 2.44032e-05-0j 2.46561e-05-0j -0.000566714-0j -0.000572587-0j 3.2154e-06-0j 3.24872e-06-0j 0.00636285-0j -5.78401e-05-0j 0.00642879-0j -5.84394e-05-0j -0.03006-0j -0.0303715-0j -0.014318-0j -0.0144663-0j 1.80751e-05-0j 2.23668e-05-0j 1.30473e-05-0j -0.000411277-0j -0.00050893-0j 2.25939e-06-0j -0.000296876-0j 1.50626e-06-0j 0.00447103-0j 2.79585e-06-0j 1.8639e-06-0j -5.41906e-05-0j 1.63091e-06-0j 0.00553262-0j 1.33136e-07-0j 1.08728e-06-0j -0.0199145-0j 0.00322736-0j 0.000456323-0j -6.70574e-05-0j 1.64747e-07-0j -3.91168e-05-0j -0.0246429-0j -0.0072706-0j 9.61025e-08-0j 0.000564671-0j -0.014375-0j -0.00137629-0j -0.00899691-0j 0.000329391-0j -0.00170307-0j -0.0052482-0j -0.00099346-0j 
0.499038-0j -0.000605312-0j -5.04427e-05-0j -4.23794e-05-0j 0.0010294-0j -4.32533e-06-0j -8.82905e-07-0j -5.20257e-08-0j -0.00187126-0j 0.00183683-0j -0.000301974-0j 0.000296417-0j 0.0359337-0j -0.0352726-0j 0.00518659-0j -3.08201e-05-0j -0.00509116-0j 3.0253e-05-0j -3.63218e-06-0j 3.56535e-06-0j -1.65786e-07-0j 1.62735e-07-0j -0.00138602-0j -2.44126e-05-0j 0.00195824-0j -0.000219149-0j -3.85998e-06-0j -0.000173253-0j 0.000309625-0j 0.033782-0j -2.50069e-05-0j -3.05158e-06-0j 0.000595017-0j 0.00420831-0j 0.00024478-0j -4.40457e-07-0j -1.0209e-05-0j -0.0477289-0j 0.000350692-0j 3.5331e-05-0j -2.55225e-06-0j 7.41229e-05-0j -1.79816e-07-0j -0.00594572-0j 6.17691e-06-0j -2.12688e-07-0j 1.44238e-05-0j -4.4954e-08-0j -0.000495477-0j -7.9264e-09-0j -3.74617e-09-0j 3.60596e-06-0j -1.39611e-10-0j 3.00496e-07-0j 1.11988e-08-0j 
0.407462-0j -0.000494235-0j -4.11863e-05-0j -0.00243102-0j 0.0590494-0j -0.000248115-0j -5.06462e-05-0j -2.98435e-06-0j 0.00150337-0j -0.00154371-0j 0.000242605-0j -0.000249116-0j -0.0288691-0j 0.0296438-0j -0.0041669-0j 2.47608e-05-0j 0.00427872-0j -2.54253e-05-0j 2.91809e-06-0j -2.9964e-06-0j 1.33192e-07-0j -1.36766e-07-0j 0.00225736-0j 0.00137792-0j -0.000816891-0j 0.00035692-0j 0.000217868-0j 0.00028217-0j -0.000129162-0j -0.0550194-0j 4.07277e-05-0j 0.00017224-0j -0.0335845-0j -0.00685391-0j -0.000102111-0j 2.48607e-05-0j 1.6627e-05-0j 0.0199104-0j -0.000571159-0j -1.47385e-05-0j 4.15676e-06-0j -0.00418371-0j 1.01493e-05-0j 0.00248029-0j -0.000348643-0j 3.46396e-07-0j -6.01697e-06-0j 2.53734e-06-0j 0.00020669-0j 1.29094e-08-0j 2.11445e-07-0j -1.50424e-06-0j 7.88008e-09-0j -1.25354e-07-0j -4.67165e-09-0j 
0.000605312-0j 0.486998-0j -0.00128324-0j 7.4917e-06-0j -5.90627e-05-0j -0.000147899-0j 0.00143568-0j -1.76774e-06-0j 0.000330796-0j -0.000324709-0j -0.0025251-0j 0.00247864-0j -0.0041936-0j 0.00411644-0j -0.000601463-0j 0.0498497-0j 0.000590396-0j -0.0489325-0j 0.00889026-0j -0.00872668-0j -7.04871e-06-0j 6.91902e-06-0j 0.000245016-0j 4.31558e-06-0j -0.000346172-0j -0.00183252-0j -3.22771e-05-0j -0.00294675-0j 0.00258908-0j 2.0418e-05-0j -0.000422635-0j -5.19024e-05-0j 3.59632e-07-0j 0.0232314-0j 0.00416332-0j -7.44406e-06-0j -0.000524526-0j -2.88476e-05-0j -6.12148e-05-0j 0.000597121-0j 0.00834351-0j 0.000409186-0j -9.23872e-06-0j -0.0328226-0j -1.0782e-06-0j 0.000695315-0j 0.000741078-0j 0.000146958-0j 8.64874e-05-0j -4.04689e-07-0j 1.22469e-05-0j -0.0117882-0j -7.12797e-09-0j -0.000982378-0j 5.71766e-07-0j 
-0.411685-0j 0.000499357-0j 4.16131e-05-0j -0.00238629-0j 0.0579629-0j -0.000243549-0j -4.97143e-05-0j -2.92944e-06-0j 0.00154371-0j -0.00155908-0j 0.000249116-0j -0.000251595-0j -0.0296438-0j 0.0299389-0j -0.00427872-0j 2.54253e-05-0j 0.00432131-0j -2.56783e-05-0j 2.9964e-06-0j -3.02622e-06-0j 1.36766e-07-0j -1.38127e-07-0j -0.00228075-0j -0.00137462-0j 0.000755872-0j -0.000360619-0j -0.000217346-0j -0.000285094-0j 0.000119514-0j 0.0555896-0j -4.11498e-05-0j -0.000171827-0j 0.033504-0j 0.00692494-0j 9.44839e-05-0j -2.48011e-05-0j -1.67993e-05-0j -0.0184231-0j 0.000577078-0j 1.36376e-05-0j -4.19983e-06-0j 0.00417368-0j -1.0125e-05-0j -0.00229502-0j 0.000347807-0j -3.49986e-07-0j 5.56752e-06-0j -2.53125e-06-0j -0.000191251-0j -1.30432e-08-0j -2.10938e-07-0j 1.39188e-06-0j -7.86119e-09-0j 1.1599e-07-0j 4.32269e-09-0j 
-5.04427e-05-0j 0.00128324-0j 0.471577-0j -6.24308e-07-0j 1.49738e-05-0j -6.37182e-08-0j -0.000178318-0j 0.00200899-0j -2.75663e-05-0j 2.70591e-05-0j 0.000640172-0j -0.000628393-0j -3.63218e-06-0j 3.56535e-06-0j -0.0071876-0j 6.53373e-05-0j 0.00705535-0j -6.41351e-05-0j 0.0339564-0j -0.0333316-0j 0.0161739-0j -0.0158763-0j -2.0418e-05-0j -3.59632e-07-0j 2.88476e-05-0j 0.000464587-0j 8.18299e-06-0j -2.55225e-06-0j -0.000656393-0j -1.7015e-06-0j -0.00505057-0j -4.4954e-08-0j -2.99693e-08-0j 6.12148e-05-0j 3.60596e-06-0j -8.8958e-05-0j -1.50393e-07-0j 2.40397e-06-0j 0.0224958-0j 0.00713571-0j -0.000515472-0j 1.0782e-06-0j -2.64894e-09-0j -8.64874e-05-0j 0.000396229-0j 0.00821301-0j 2.12483e-07-0j -9.07924e-06-0j -0.0317833-0j 0.00155469-0j 0.00014466-0j 0.000728285-0j 2.73834e-05-0j -0.0116038-0j -0.00219654-0j 
-0.35653-0j 0.000432456-0j 3.6038e-05-0j 3.02773e-05-0j -0.000735437-0j 3.09017e-06-0j 6.30778e-07-0j 3.71689e-08-0j -0.00396779-0j -0.0013123-0j -0.0006403-0j -0.000211771-0j 0.0761933-0j 0.0251999-0j 0.0109976-0j -6.53503e-05-0j 0.0036373-0j -2.16138e-05-0j -7.70161e-06-0j -2.54721e-06-0j -3.51529e-07-0j -1.16264e-07-0j 0.000990221-0j -5.17641e-05-0j -0.00139904-0j 0.000156568-0j -8.18463e-06-0j 0.000123778-0j -0.000221207-0j -0.024135-0j 1.78658e-05-0j -6.47051e-06-0j 0.00126166-0j -0.00300656-0j -0.00017488-0j -9.33938e-07-0j 7.29367e-06-0j 0.0340992-0j -0.000250547-0j -2.52417e-05-0j 1.82342e-06-0j 0.000157169-0j -3.81279e-07-0j 0.00424783-0j 1.30974e-05-0j 1.51951e-07-0j -1.03049e-05-0j -9.53197e-08-0j 0.000353986-0j 5.66289e-09-0j -7.94331e-09-0j -2.57622e-06-0j -2.9603e-10-0j -2.14685e-07-0j -8.00084e-09-0j 
0.000494235-0j 0.397632-0j -0.00104776-0j 0.000429747-0j -0.00338802-0j -0.00848392-0j 0.0823552-0j -0.000101403-0j -0.000265761-0j 0.000272892-0j 0.00202866-0j -0.0020831-0j 0.00336913-0j -0.00345954-0j 0.000483215-0j -0.0400492-0j -0.000496182-0j 0.0411239-0j -0.00714242-0j 0.00733409-0j 5.66293e-06-0j -5.81489e-06-0j -0.000399049-0j -0.000243584-0j 0.000144407-0j 0.00298456-0j 0.00182181-0j 0.00479926-0j -0.00108005-0j -3.3254e-05-0j 0.000688329-0j 0.00292953-0j -2.02987e-05-0j -0.0378362-0j -0.00173675-0j 0.000420165-0j 0.000854275-0j 1.20339e-05-0j 9.96981e-05-0j -0.000249092-0j -0.0135888-0j -0.0230957-0j 0.00052146-0j 0.0136921-0j 6.0857e-05-0j -0.00113243-0j -0.000309144-0j -0.00829475-0j -3.60787e-05-0j 6.59101e-07-0j -0.000691252-0j 0.00491748-0j 4.02324e-07-0j 0.000409804-0j -2.38515e-07-0j 
