0.13789-0j 0.0638537-0j -0.0328138-0j -0.00599096-0j 0.0136921-0j -0.00709988-0j 0.12256-0j 0.0223762-0j 0.0535089-0j 0.0148214-0j -0.0301223-0j 0.00203515-0j 0.0187511-0j 0.0181557-0j -0.00446224-0j 0.0795543-0j 0.03363-0j 0.00613998-0j 0.0087824-0j 0.00186194-0j -0.00432054-0j 0.0770281-0j 0.0325621-0j 0.00594501-0j 0.00850352-0j 0.00180282-0j -0.000455425-0j -0.0199557-0j -0.00297482-0j 0.00018724-0j -0.019322-0j -0.00288036-0j -0.000470361-0j 0.000181294-0j 
-0.406939-0j 0.00420108-0j -0.0021589-0j -0.000394159-0j 0.000900837-0j -0.038349-0j -0.014758-0j -0.00269443-0j 0.289021-0j -0.00178471-0j 0.00362717-0j -0.000245062-0j -0.0376117-0j -0.053581-0j -0.000199538-0j 0.00355743-0j 0.00150383-0j 0.000274561-0j -0.0176161-0j 8.32606e-05-0j -0.000284258-0j 0.00506785-0j 0.00214234-0j 0.000391136-0j -0.0250956-0j 0.000118612-0j -2.99634e-05-0j -0.00089236-0j 0.0120671-0j 8.3728e-06-0j -0.00127124-0j 0.0171905-0j -2.10331e-05-0j 1.19278e-05-0j 
-0.00362058-0j -0.000809586-0j 0.735028-0j -0.00221714-0j -8.53379e-05-0j -0.000148695-0j 0.0110228-0j -3.32492e-05-0j -3.83928e-05-0j -7.00954e-06-0j -0.000630859-0j -5.72327e-07-0j 0.000436625-0j 0.000428429-0j -0.0886409-0j 0.00185244-0j -0.022887-0j 6.90364e-05-0j 6.50882e-05-0j 1.02913e-05-0j -0.0869771-0j 0.00181767-0j -0.0224574-0j 6.77406e-05-0j 6.38665e-05-0j 1.00982e-05-0j 0.000151473-0j 0.00654937-0j 0.000976322-0j 6.86089e-07-0j 0.00642644-0j 0.000957997-0j 0.00015437-0j 6.73212e-07-0j 
0.000661024-0j -0.00883291-0j 0.00221714-0j 0.698387-0j 1.55805e-05-0j -0.00162232-0j 3.32492e-05-0j 0.0104733-0j 7.00954e-06-0j -7.64769e-05-0j 0.000115179-0j 1.04492e-07-0j 0.00476375-0j 0.00467434-0j 0.0159781-0j -0.000338208-0j -6.90364e-05-0j -0.0217461-0j -1.18834e-05-0j 0.000112283-0j 0.0156782-0j -0.00033186-0j -6.77406e-05-0j -0.0213379-0j -1.16604e-05-0j 0.000110175-0j -0.148125-0j -0.00119575-0j -0.000178251-0j -1.25262e-07-0j -0.0011733-0j -0.000174906-0j -0.150958-0j -1.22911e-07-0j 
-0.00420108-0j -0.374719-0j 0.000482744-0j -0.00526693-0j 0.00886899-0j 0.00561641-0j 0.00683412-0j -0.074563-0j -0.0195618-0j 0.338232-0j -0.000811059-0j -0.00324267-0j 0.0114077-0j 0.0162512-0j -0.00131085-0j -0.00164737-0j 0.00456564-0j -0.049813-0j 0.00253332-0j -0.024083-0j -0.00186741-0j -0.00234681-0j 0.00650414-0j -0.0709628-0j 0.00360893-0j -0.0343082-0j -0.000603928-0j 0.000199538-0j 2.97453e-05-0j 0.000139113-0j 0.000284258-0j 4.23747e-05-0j -0.000423933-0j 0.000198179-0j 
-0.00151075-0j 0.0148737-0j 8.53379e-05-0j 1.55805e-05-0j 0.558868-0j 1.04492e-06-0j -7.59899e-05-0j -1.38738e-05-0j 0.000705355-0j -0.00367066-0j 4.43322e-06-0j 0.0218439-0j 0.000182189-0j 0.00017877-0j -1.02913e-05-0j 0.000772963-0j -0.00694698-0j -0.00126834-0j 0.0340845-0j -0.0673968-0j -1.00982e-05-0j 0.000758455-0j -0.00681659-0j -0.00124453-0j 0.0334447-0j -0.0661318-0j -1.06444e-06-0j -4.60243e-05-0j -6.86089e-06-0j -0.0823422-0j -4.51604e-05-0j -6.73212e-06-0j -1.0848e-06-0j -0.0807966-0j 
-0.539531-0j 0.0055699-0j -0.00286232-0j -0.000522586-0j 0.00119435-0j 0.0277802-0j 0.0106908-0j 0.00195186-0j -0.209368-0j 0.00129285-0j -0.00262754-0j 0.000177524-0j -0.0733688-0j -0.0710391-0j -0.000389237-0j 0.00693944-0j 0.00293352-0j 0.000535584-0j -0.0343635-0j 0.000162416-0j -0.000376877-0j 0.00671909-0j 0.00284037-0j 0.000518577-0j -0.0332723-0j 0.000157258-0j -3.97263e-05-0j -0.00174072-0j 0.0235391-0j 1.63327e-05-0j -0.00168544-0j 0.0227916-0j -4.10291e-05-0j 1.58141e-05-0j 
-0.0055699-0j -0.496812-0j 0.000640034-0j -0.00698303-0j 0.0117587-0j -0.00406855-0j -0.00495067-0j 0.0540138-0j 0.0141706-0j -0.245017-0j 0.000587535-0j 0.00234901-0j 0.0222528-0j 0.0215462-0j -0.00255706-0j -0.00321351-0j 0.00890616-0j -0.0971698-0j 0.00494172-0j -0.0469784-0j -0.00247586-0j -0.00311146-0j 0.00862336-0j -0.0940843-0j 0.0047848-0j -0.0454867-0j -0.000800703-0j 0.000389237-0j 5.8024e-05-0j 0.000271367-0j 0.000376877-0j 5.61815e-05-0j -0.000826963-0j 0.00026275-0j 
0.0021589-0j 0.000482744-0j -0.438286-0j 0.00132205-0j 5.08857e-05-0j -0.00286753-0j 0.21257-0j -0.000641198-0j -0.000740392-0j -0.000135176-0j -0.0121659-0j -1.10371e-05-0j 0.000199538-0j 0.000284258-0j -0.040509-0j 0.000846567-0j -0.0104594-0j 3.15497e-05-0j 2.97453e-05-0j 4.70315e-06-0j -0.0577084-0j 0.00120601-0j -0.0149002-0j 4.49452e-05-0j 4.23747e-05-0j 6.70003e-06-0j 0.0001005-0j 0.00299307-0j 0.00044618-0j 3.13543e-07-0j 0.00426387-0j 0.000635621-0j 7.05473e-05-0j 4.46669e-07-0j 
0.00286232-0j 0.000640034-0j -0.581091-0j 0.00175281-0j 6.74655e-05-0j 0.00207725-0j -0.153987-0j 0.000464487-0j 0.000536344-0j 9.79225e-05-0j 0.00881302-0j 7.99534e-06-0j 0.000389237-0j 0.000376877-0j -0.0790205-0j 0.00165139-0j -0.020403-0j 6.15437e-05-0j 5.8024e-05-0j 9.17439e-06-0j -0.0765112-0j 0.00159895-0j -0.0197551-0j 5.95894e-05-0j 5.61815e-05-0j 8.88307e-06-0j 0.000133246-0j 0.00583855-0j 0.00087036-0j 6.11626e-07-0j 0.00565315-0j 0.000842722-0j 0.000137616-0j 5.92205e-07-0j 
-0.000522586-0j 0.00698303-0j -0.00175281-0j -0.552124-0j -1.23175e-05-0j 0.0226636-0j -0.000464487-0j -0.146311-0j -9.79225e-05-0j 0.00106837-0j -0.00160903-0j -1.45974e-06-0j 0.00424673-0j 0.00411188-0j 0.014244-0j -0.000301501-0j -6.15437e-05-0j -0.0193859-0j -1.05937e-05-0j 0.000100096-0j 0.0137917-0j -0.000291927-0j -5.95894e-05-0j -0.0187703-0j -1.02573e-05-0j 9.69179e-05-0j -0.130301-0j -0.00106597-0j -0.000158905-0j -1.11667e-07-0j -0.00103212-0j -0.000153859-0j -0.134574-0j -1.08121e-07-0j 
-0.000394159-0j 0.00526693-0j -0.00132205-0j -0.416438-0j -9.29041e-06-0j -0.0312859-0j 0.000641198-0j 0.201974-0j 0.000135176-0j -0.00147483-0j 0.00222118-0j 2.01509e-06-0j 0.00217704-0j 0.00310137-0j 0.00730201-0j -0.000154561-0j -3.15497e-05-0j -0.00993797-0j -5.43073e-06-0j 5.13133e-05-0j 0.0104023-0j -0.000220185-0j -4.49452e-05-0j -0.0141575-0j -7.73653e-06-0j 7.31e-05-0j -0.0982791-0j -0.000546457-0j -8.1461e-05-0j -5.72449e-08-0j -0.000778473-0j -0.000116048-0j -0.0689879-0j -8.15502e-08-0j 
0.000900837-0j -0.00886899-0j -5.08857e-05-0j -9.29041e-06-0j -0.333244-0j 2.01509e-05-0j -0.00146544-0j -0.000267551-0j 0.0136025-0j -0.0707873-0j 8.54931e-05-0j 0.421252-0j 8.32606e-05-0j 0.000118612-0j -4.70315e-06-0j 0.000353245-0j -0.00317478-0j -0.000579632-0j 0.0155766-0j -0.0308004-0j -6.70003e-06-0j 0.000503227-0j -0.00452273-0j -0.000825734-0j 0.0221902-0j -0.0438777-0j -7.06245e-07-0j -2.10331e-05-0j -3.13543e-06-0j -0.0376304-0j -2.99634e-05-0j -4.46669e-06-0j -4.95756e-07-0j -0.0536077-0j 
0.00119435-0j -0.0117587-0j -6.74655e-05-0j -1.23175e-05-0j -0.441824-0j -1.45974e-05-0j 0.00106157-0j 0.000193815-0j -0.00985372-0j 0.0512787-0j -6.19316e-05-0j -0.305157-0j 0.000162416-0j 0.000157258-0j -9.17439e-06-0j 0.000689071-0j -0.00619301-0j -0.00113068-0j 0.0303852-0j -0.060082-0j -8.88307e-06-0j 0.000667191-0j -0.00599635-0j -0.00109478-0j 0.0294203-0j -0.0581742-0j -9.36358e-07-0j -4.10291e-05-0j -6.11626e-06-0j -0.0734054-0j -3.97263e-05-0j -5.92205e-06-0j -9.67066e-07-0j -0.0710744-0j 
