0.0780237-0.0873187j 0.0883762-0.105538j -0.045095-0.0196961j -0.0407002+0.0420409j -0.0763311-0.0112427j 0.0523354-0.0201629j 0.00088409+0.00839367j 0.0360442+0.0397285j 0.00722132-0.0125701j -0.0304265+0.0247598j 0.0136659-0.0275947j -0.00820181-0.0183239j 0.0198732+0.0191375j 0.000932299-0.0206702j -0.00164269-0.0046151j 0.0176617-0.00677134j 0.0267687-0.0203413j 0.00866998+0.0241605j 0.0294733-0.0263393j -0.0221776+0.10323j 0.0185585-0.0217299j -0.0995022+0.0130707j -0.0248216+0.0487637j 0.02259-0.0411413j 0.0261875+0.0616762j 0.0236556+0.00804693j 0.00430566+0.00944591j -0.0385075+0.0226265j 0.0785821-0.0400988j 0.0438905-0.00575069j -0.0111161-0.0441204j -0.0441288-0.0448994j -0.052644+0.0405023j -0.00146758+0.0149912j -0.0237883+0.0660317j 0.0202815-0.0410835j 0.0331028+0.0394985j -0.0457411-0.00355548j 0.017459+0.025818j -0.0685609-0.0203j 0.0177821+0.00535419j -0.00681485-0.015648j 0.00944109+0.00300876j 0.035802+0.0182476j -0.0254093+0.0205506j -0.0331682+0.00284048j 0.0135873-0.0270303j -0.00337269+0.0151264j -0.0301826+0.00617173j 0.00824171-0.0301444j -0.0175449+0.0281406j -0.000164862+0.0270966j -0.016348-0.00371261j -0.0269911+0.0419426j -0.020732+0.0115347j -0.0576313-0.0102028j -0.01354-0.00779796j 0.0152592-0.0190085j 0.0049912+0.0285006j 0.0266055-0.0543173j 0.0370524-0.0517538j -0.0136716-0.0249113j -0.0627591-0.016447j -0.0298352+0.0549551j 0.0123233+0.00661281j 0.0023274+0.024659j -0.0253157-0.0335516j -0.0324186+0.0352335j -0.0144713+0.00478897j -0.000908595-0.0411964j 0.00704267-0.0447236j 0.00666616+0.0283998j 0.00229861-0.0332507j 0.00898185-0.0510112j -0.00581961-0.0159418j -0.0219951-0.0241596j -0.014126+0.016632j -0.00468131-0.025874j 0.0206302+0.00540515j 0.029381-0.0248137j 0.0255147+0.0407025j 0.020687-0.058761j 0.00545019-0.012571j -0.0643817-0.0648697j 0.00476468-0.0818916j 0.0853253-0.109529j 0.108445+0.0353288j -0.0243312+0.051717j -0.0126273+0.0419189j 0.061046-0.212071j 0.0912874-0.149664j -0.188838+0.169451j 0.190869+0.028459j -0.00337455+0.0543695j 0.115374+0.169442j 
-0.0959717-0.074736j 0.0356255-0.0733189j -0.0523258-0.23011j -0.0442971-0.0556212j 0.00521131-0.017702j 0.0698017+0.0239026j -0.205981-0.0708542j 0.0166835-0.0881441j 0.0838229+0.126771j 0.152185+0.00985832j 0.0301304+0.0752641j -0.0312207-0.132916j -0.0441423-0.0300193j 0.0376755+0.0329138j 0.0297682+0.0330959j -0.0455765-0.0423378j -0.0901537-0.00806166j 0.0784513-0.0768486j 0.0524006-0.117591j -0.0569979-0.0754751j -0.102089-0.0278903j 0.0382682-0.110354j 0.0684415+0.0184519j -0.0563897+0.0637302j -0.0241559-0.152251j 0.0311391+0.0807846j 0.0668596+0.0168841j -0.196012+0.0670148j -0.0990597-0.0478474j 0.0535624-0.0392919j 0.0747024-0.0284177j -0.0541931+0.0844492j -0.00151222+0.0144924j 0.00482803-0.0559747j 0.136691+0.0241837j -0.0444408-0.0630166j 0.01198-0.00815139j -0.0186797-0.0401241j 0.0197854+0.00345372j -0.0171708-0.0287306j -0.0161245+0.0897567j -0.0148273-0.0192525j -0.0339058+0.00670324j 0.0040908+0.0220386j 0.0137895+0.0085558j 0.0187215+0.0117545j -0.0319455-0.00453872j 0.00396508+0.0429114j 0.0152298+0.053463j -0.0355988-0.0184814j 0.0103772+0.0161773j 0.00121567+0.00983077j 0.00996986-0.0349797j -0.0134198-0.0265407j -0.002665-0.00358139j -0.0273542-0.00652401j 0.00797072-0.0274855j -0.0397763+0.0311639j 0.00713139+0.0453018j -0.0274665+0.0305628j -0.0120379-0.00586289j 0.0197837+0.0100676j -0.014294-0.00210577j 0.0250083-0.00980737j -0.00619317-0.00966582j 0.0168853+0.0101177j 0.0212802-0.0430484j 0.0092858+0.00210252j 0.0120756+0.0117578j -0.00909204+0.015202j -0.0143645-0.00613759j 0.00925724+0.0129569j -0.0387041-0.0100229j -0.00567558-0.0223846j -0.0193266-0.00607338j -0.0280982+0.0131153j 0.00150414+0.0141756j -0.00370658-0.0146357j 0.013169-0.0204563j -0.0416337+0.024306j -0.0120595+0.00606947j 0.0140591+0.00968309j -0.00766181-0.0234861j 0.00860445-0.0201513j -0.0188921+0.0195322j 0.0182553-0.0314008j -0.0200574+0.0335731j -0.00785437+0.0278498j -0.0160323-0.0133469j 0.00548507-0.00139492j -0.0221024-0.0420712j 0.0111975+0.00593304j 0.00627765-0.0102515j -0.00598495-0.000319322j 0.0218546+0.0231913j 
-0.037699-0.0255363j -0.0219208-0.0444519j 0.0329796+0.0388251j -0.0226338-0.111524j -0.0491789-0.0292274j -0.017242+0.0179917j 0.0120668+0.11861j -0.0605407-0.107207j -0.0633973-0.0407971j -0.0816749-0.00124991j -0.020931-0.16566j 0.120024-0.00576494j 0.00801101-0.000383636j -0.0633648+0.135246j 0.092518-0.0347105j 0.0486247+0.0109745j -0.0673187+0.0138404j 0.0672224+0.0817849j 0.0446965+0.0159563j -0.059661-0.0033098j 0.0542447-0.0256848j -0.110618-0.0452785j 0.0418104-0.0866328j -0.0476158-0.115118j 0.0143006-0.0384952j 0.0281372-0.00341325j 0.0304076+0.0658473j -0.176998+0.0155492j 0.0194233-0.0368661j 0.0458376-0.0761625j 0.0114675+0.0412278j 0.118584-0.0162619j 0.0418663+0.0582281j -0.0176222-0.00934984j 0.0234824-0.0283415j -0.0337015-0.0674929j -0.00668223-0.0476725j -0.0110862+9.88656e-06j 0.00645875-0.0449434j 0.0612517-0.0964769j 0.0376912-0.0157549j -0.00534287+0.0112212j -0.0077408-0.0139823j 0.0218103+0.04331j 0.0320838-0.0197058j 0.0274854+0.00161323j 0.00723081+0.0022738j -0.00978452-0.0245591j 0.0114731-0.0208213j -0.0260877-0.0105835j -0.0116359+0.00120309j 0.00961408+0.00278542j 0.0148029-0.0118567j 0.0364491-0.0381353j 0.0196769+0.00255636j -0.0327842+0.0487293j 0.0140169-0.00388906j 0.00159471-0.00125048j 0.0424776-0.00601691j -0.0262458-0.0311171j -0.00734029+0.0379366j 0.0113547-0.00681739j 0.0235073-0.0161871j 0.0249561-0.00644378j 0.00506733-0.00879214j -0.0161545-0.0305446j 0.00283357+0.00312664j 0.0137112+0.000340732j 0.00295044-0.0205301j -0.00598681+0.00235208j 0.00321049-0.014699j 0.0148069+0.00669238j -0.00662334-0.00892559j -0.00254518-0.0144165j -0.0136688+0.0286212j -0.0352031+0.0333867j 0.00689389+0.0194838j -0.00867777-0.00428711j 0.0206731+0.00859204j 2.08897e-05-0.0143229j 0.0256754-0.00529661j -0.000310829+0.00952483j 0.00336551+0.000530824j 0.00939015-0.00138735j -0.0219552-0.0203667j 0.00345868+0.00788586j -0.0160847+0.0140611j -0.014181-0.0015043j -0.000573647-0.0156737j -0.0267627+0.0112375j -0.00801401-0.0229985j -0.00546922-0.0181364j 0.0134562+0.00796769j 0.00688467+0.0101375j 0.00991505+0.0276819j 
-0.0180559+0.0239244j 0.0251759-0.0685369j 0.0234855+0.059895j -0.0120978-0.216826j 0.118547+0.0524147j 0.0604028+0.0108849j -0.0494426+0.243275j 0.0392238-0.160521j 0.0465563+0.00526871j -0.10906-0.0351601j -0.119472-0.0904306j 0.0330903-0.112935j -0.037797-0.00428704j -0.0245313+0.0822229j -0.000127109-0.185511j -0.0616807-0.0259246j -0.0546744+0.0664707j 0.00445002-0.116717j -0.104882+0.151614j -0.0234888-0.0209225j -0.0788369-0.0603248j -0.0247484-0.10977j -0.000284353-0.0214492j -0.0327138-0.00918938j -0.0155002-0.123181j 0.0224057-0.0237824j -0.0292057+0.00384501j 0.101575-0.0620938j -0.0772852-0.0505736j 0.00247451+0.046808j -0.02501-0.0394061j 0.0210892+0.00332165j -0.0248615+0.011748j 0.0260341-0.0442j 0.0320314-0.00143601j 0.028427-0.0126995j 0.0478499+0.00785721j -0.0573272+0.00312945j -0.0037124+0.000114479j -0.0237212+0.0643962j -0.0341803-0.00730845j 0.0103498+0.00589169j -0.0418393+0.0165561j -0.00861009-0.0672811j -0.0230778-0.0203482j -0.0166255-0.0220558j 0.00499761-0.0119133j 0.0240309+0.0638658j 0.0121241+0.0171957j -0.0270216+0.0164933j 0.0349088-0.0204031j -0.0101577+0.00563752j -0.00788255+0.00559876j -0.0150384-0.0230641j 0.00848216-0.023796j 0.0256543-0.0382448j -0.0116217-0.0290303j -0.0159456+0.0353262j -0.0288878+0.046086j 0.00394159+0.0271769j -0.0251047-0.0221735j 0.00944662-0.00982408j -0.02825+0.0321743j -0.0123586-0.0106418j 0.0166355+0.0351934j 0.0196245-0.0145875j 0.0080624-0.0281334j -0.0187733-0.0397117j -0.0199854-0.00767j -0.00626622+0.00834104j -0.00602805+0.0262336j -0.0395066+0.00959816j 0.00611736+0.000128175j -0.00757503+0.0317701j 0.00216773-0.022446j 0.00319775-0.010239j 0.00278551-0.0202793j 0.00576776+0.00403167j -0.00646201-0.0186956j -0.014206+0.0206538j -0.0443376+0.0207472j 0.0370541-0.0266575j -0.0201291+0.0218345j 0.0110184+0.0103291j 0.0302125+0.040075j 0.00582337-0.0278815j 0.0150697+0.00831332j -0.0127649+0.0151417j 0.00667596+0.00189421j 0.0155533-0.00545748j -0.0121655-0.0398049j -0.00710379+0.00336095j -0.0085533+0.00058411j 0.017113-0.0122894j -0.0122135-0.048822j 
-0.10336-0.00905161j -0.0482793-0.0643695j -0.00367365-0.0319922j -0.0757996+0.0944409j -0.0594843-0.0472843j 0.0100599-0.0293j -0.0403632-0.0612959j 0.112158-0.0701391j 0.0290213+0.0843936j -0.0823114-0.0927172j -0.0626417+0.0539215j -0.0684319+0.103677j -0.107517-0.0496592j -0.00726386-0.113355j 0.0380597-0.0492144j 0.0258136-0.0265369j 0.0433643+0.0295124j -0.102097-0.0587499j -0.0480596+0.00554875j -0.110302+0.0309118j 0.000179921+0.0664733j -0.0595488+0.000731979j 0.0302089+0.00558324j -0.154638-0.0885625j -0.0464044-0.0913721j 0.0438659+0.0971151j -0.0650652+0.00934537j -0.00898861-0.00515304j 0.0788204+0.0442387j 0.0431805-0.073205j 0.112695+0.016391j 0.108985+0.0407485j 0.0266789+0.0220635j -0.104618-0.00875079j 0.00316242-0.0495881j -0.0242903+0.00634273j -0.0354676-0.0320232j -0.0996614+0.0110559j -0.00296947-0.014203j 0.0440644-0.0332502j 0.0529805-0.0167566j -0.00511951+0.00632628j -0.0157714+0.00709608j 0.0235498+0.0213188j 0.0339574-0.00781675j 0.10373-0.00312606j -0.0492206+0.0320468j 0.0330772-0.0189649j 0.0326247-0.0143786j -0.0097458+0.0110745j 0.0279143+0.0279995j -0.0213752+0.0222324j -0.00899357-0.016778j 0.02888-0.0213104j 0.042531-0.012378j 0.0260696+0.0610246j -0.0205488+0.0033042j 0.00325266-0.000218554j -0.0183997-0.0165129j -0.0151061-0.00806092j -0.0309413+0.0220274j 0.0431879+0.0223918j 0.0263902+0.0220787j -0.00567898-0.00232896j -0.00057135-0.0189446j -0.00828153+0.0114325j 0.00423479+0.0141992j 0.0239083+0.0252091j -0.00378729+0.0162207j -0.012475+0.0369565j -0.0168643-0.00588408j 0.0106843-0.0290294j 0.00841649-0.00717241j -0.00188844+0.00302324j -0.00242767+0.000374992j -0.0247574-0.0220192j -0.0279091-0.00985202j 0.00135006+0.00368017j -0.00163658+0.0195543j -0.0217006-0.00995823j 0.0269382+0.0133113j -0.0324879-0.0061395j 0.0059509+0.0132293j 0.0267006-0.00385382j 0.0175122+0.010059j -0.00442876-0.0318891j 0.023073+0.00322489j 0.0150302-0.0153577j 0.016884-0.0306538j -0.00332679-0.0042552j 0.00193294-0.0156091j -0.0107125+0.0124796j 0.0087436-0.00111441j 0.0575806+0.00757823j -0.043234+0.00194103j 
0.044195-0.0651858j 0.0230946+0.0245555j -0.129606-0.0686536j 0.0913973+0.0208911j -0.0531215-0.0338844j 0.0735397-0.0897658j -0.124893-0.0756943j 0.094005+0.0720057j -0.0123748+0.00202185j 0.0293064-0.0667926j 0.0619031+0.0311971j -0.0521765-0.0464872j 0.0675326-0.00812476j -0.0672537+0.0285372j 0.218181-0.0976775j 0.236378+0.0944368j 0.128178+0.0820691j -0.117623+0.0054522j -0.046262-0.0269845j -0.0409675-0.0074667j 0.1157-0.0562563j 0.087832-0.0396219j 0.0700101+0.0194922j 0.109066-0.122568j -0.0252691+0.133622j -0.0714453-0.00791863j 0.119787+0.0412195j -0.161936-0.0796438j -0.13077-0.00397721j -0.0803528-0.0252455j 0.0542391-0.00227192j -0.0197765-0.0495269j 0.013097-0.028706j 0.0379669-0.00437483j -0.0296229+0.0359841j -0.0248839-0.0172032j -0.0246024+0.0283151j -0.00773711+0.0504817j -0.0125774+0.0313323j 0.0355846-0.00534826j -0.00551165-0.014638j -0.0475605-0.00663704j 0.0370974-0.00278033j 0.0270717+0.0334455j 0.0192809+0.0364734j 0.0272642-0.00367203j -0.000746838-0.0324364j -0.0706329+0.00759401j -0.00795521-0.00373908j 0.0488773-0.0120793j -0.0568591+0.00378551j 0.00719511-0.0681841j -0.00395566+0.0125897j 0.0568755+0.0147664j 0.0162232+0.0337157j 0.00685428+0.0365834j -0.0235155+0.0424514j 0.0123037-0.0259957j -0.0148971+0.0254095j 0.015849-0.0341227j 0.0273459-0.0211537j -0.00860493+0.0129634j -0.00238158+0.00890367j 0.0212947-0.0142507j 0.0127983+0.00646753j 0.0195615+0.00894587j -0.000143302+0.0255698j 0.0127597+0.0317108j -0.00378833+0.0265319j -0.00822686-0.00171435j -0.00362787-0.0108971j 0.00847968+0.0188839j -0.00324447+0.0107468j -0.0105926+0.00590813j -0.0352871+0.0175469j -0.0213237-0.0147259j -0.02196+0.022331j 0.00657422-0.000738291j -0.00630794+0.0249001j 0.00657156-0.000354694j 0.0180915-0.0302301j -0.0306809+0.00896281j -0.00669521-0.00333798j 0.0163707-6.68911e-05j 0.00466251-0.00293657j 0.030296+0.0184512j -0.00520825-0.000239859j -0.0200419+0.00815103j -0.00193813+0.00892918j 0.0127472-0.0331958j 0.0193229+0.020987j -0.00277834+0.0427517j -0.0565409+0.0138257j 0.010854+0.0178568j 0.00433618+0.0230305j 
0.0145829+0.0756274j -0.0322128+0.00824399j 0.212556+0.334955j 0.0644328-0.0225476j -0.0028931+0.0533082j -0.0269046+0.028099j 0.131507-0.0394944j -0.0211053-0.0420031j -0.0757931-0.0394695j 0.0713656+0.0242374j -0.00342258-0.151476j -0.0157516-0.0121572j 0.0622014-0.0177526j 0.0085401+0.0868538j -0.00529414-0.131406j 0.0387987-0.0297698j -0.0104374-0.0870657j 0.0628417+0.0362133j -0.148785-0.0858809j -0.10226-0.012132j -0.0493722+0.00324146j -0.0504922-0.065815j 0.0378656+0.0385952j -0.0670789-0.0052692j 0.0639575+0.0984634j 0.0505674+0.109184j 0.0939447+0.00585211j -0.213809-0.131242j 0.0122002+0.0406681j 0.0357383+0.0591085j 0.0796574-0.028017j -0.0427739+0.00237033j -0.00506335-0.0590051j -0.0367432+0.00581739j 0.069306+0.063873j 0.0803154+0.0725081j 0.031033+0.0446274j 0.00470264+0.0702334j 0.00375341+0.00405531j -0.0100322+0.0176067j -0.0174628+0.0163044j -0.000881083+0.0514264j 0.0154598-0.0274137j 0.00423649+0.0227685j -0.00138321-0.0230848j -0.0425625-0.0170952j 0.0208037+0.0239664j 0.0071753-0.0020033j -0.0149514+0.0147147j -0.00256243+0.00331956j 0.0335452+0.0327862j -0.0415574+0.0129336j -0.031004+0.0244175j -0.0431706-0.0365751j -0.0113508+0.0205443j 0.0190408-0.0120523j 0.0112304+0.0356256j -0.0355063-0.0210846j 0.000306633+0.0178885j 0.00174109-0.00279792j 0.00230601-0.0121336j 0.0143141+0.00254952j -0.00996446-0.00937473j -0.0185893+0.0169448j -0.0172732+0.016851j -2.8787e-05+0.0116826j 0.0229047-0.00800635j 0.0160781-0.00140605j 0.0113574-0.00978886j 0.0194107+0.0022403j -0.0218598-0.0111893j 0.00260967-0.0237752j 0.013031+0.0053149j -0.00469023-0.00491417j 0.0018681+0.000500252j 0.0115617-0.0256631j 0.00178755-0.014099j 0.0202019+0.00132849j -0.00239668-0.00284697j -0.0182197-0.00662766j -0.00950108+0.00428762j -0.0169147+0.0297283j 0.00512138-0.00338382j -0.00392743-0.0026171j -0.0162184+0.0134209j 0.0126306-0.0294916j -0.0219397+0.0245733j -0.00149077+0.00155564j 0.0054241+0.00528667j 0.00289697-0.00184629j 0.0174463+0.0198509j 0.0224482+0.00876096j 0.0319927+0.0284425j -0.00289003-0.00580873j 0.0132542+0.00654407j 
0.0289384+0.00743336j 0.0263102+0.0383945j -0.057583+0.00144807j -0.00483163+0.0949395j -0.0276047+0.0335954j -0.0478341+0.0690928j 0.185099-0.0627636j -0.0283782+0.0237594j -0.0558022+0.0595259j 0.0146365+0.0256413j 0.0153589-0.0410307j -0.00680655-0.024594j 0.0344593+0.0610616j 0.0694295-0.00665078j -0.0510464+0.0257806j -0.0397725-0.0689876j 0.0496893+0.0249009j 0.0768113-0.0230744j -0.0897391-0.0101708j -0.0462836+0.0506571j 0.00472983-0.0383015j -0.0104406-0.0565974j 0.0352815-0.0436384j -0.0710142-0.0628655j 0.0318471-0.0530743j -0.0528006-0.114208j -0.0279202-0.0865223j 0.0112246-0.0183272j -0.077007+0.0316162j -0.137279-0.0174133j -0.0355259-0.0594788j 0.106787-0.11171j -0.101951-0.0781486j 0.0254963+0.0697851j -0.0749728-0.176672j 0.034847-0.00708813j 0.0806595-0.0104446j -0.0323545+0.0748596j 0.0169478-0.00867223j 0.0361464+0.0262195j 0.064424-0.0863636j -0.00994373+0.0332572j 0.0343282-0.00966794j 0.0669113-0.0583759j 0.0247823+0.00230357j 0.0718609-0.0467607j -0.0307444-0.0255548j -0.0334457+0.0374053j 0.0160791+0.0410463j 0.0364828+0.0252856j -0.0434181-0.0267091j -0.021541-0.0407232j 0.0293762-0.0125187j 0.0438582-0.05595j 0.060739-0.0289036j 0.00236517+0.0337609j 0.0206249+0.0291669j -0.0169146+0.0212821j -0.00772249+0.0214617j 0.0201658-0.00172954j 0.00112224-0.0261036j -0.00945338-0.0281686j -0.0307625+0.0265679j -0.00348069-0.0242393j 0.063692+0.00656112j 0.0635866-0.032945j -0.0224166+0.0531446j -0.00789815-0.0267177j 0.0331124+0.00815036j 0.00104089-0.0125865j 0.017058+0.044713j -0.00690497-0.00995323j 0.00372419+0.0227373j 0.0142008+0.0597736j -0.00351724-0.00613404j -0.031102-0.0088401j 0.00532486-0.0188054j 0.00061383+0.0077943j 0.00913082+0.0185016j -0.00258425+0.0263976j 0.00683435+0.0344782j 0.0329518-0.0299559j -0.0208858+0.0385089j 0.0276361+0.0689663j 0.0631145+0.00515474j 0.0298442-0.0664654j 0.079012-0.0145792j 0.0115488+0.0064364j 0.0165083-0.013057j 0.0198374-0.0448709j 0.0211004-0.083156j -0.0553953+0.0495567j 0.0170626-0.0322759j 0.0539961+0.0395882j 0.0138532-0.00959247j 
0.0349625-0.0637644j 0.00980225+0.00224159j 0.0038248+0.0571486j 0.0260071-0.0246272j -0.00378234-0.00310373j -0.0731708+0.0125322j 0.00960764+0.135509j -0.0255161-0.0641843j -0.0177708-0.0241038j 0.0108862+0.0555225j -0.013608-0.0506901j -0.012028-0.0276359j -0.0335718-0.152627j 0.0250264-0.0352825j 0.0463225-0.0214514j -0.0372414-0.00963276j -0.0140889-0.00492639j -0.0232175-0.113887j -0.016925-0.00405973j -0.152703-0.135016j 0.0625827+0.00705219j 0.0638402+0.177205j -0.217429+0.000684893j 0.0614335+0.0439632j -0.0184321+0.0512984j 0.0345554-0.060617j 0.179387+0.00633893j -0.078118+0.0712942j 0.123531-0.143283j -0.0691305-0.0307673j 0.0219546+0.020153j -0.102368-0.0801651j -0.0486949+0.00100842j 0.00120769-0.046256j -0.111378-0.0407235j 0.0546281+0.045532j -0.0549573-0.0370392j -0.0534021-0.0985491j -0.0734583-0.0249847j -0.068224-0.0123278j -0.0578338-0.0378758j -0.0075673+0.00524544j -0.00273891-0.00321122j 0.0028611-0.0317309j -0.0364033-0.0147869j -0.0752793-0.00421462j 0.0583271-0.0226302j 0.0145727+0.00756236j 0.00593065+0.00388118j 0.0349782-0.0407972j 0.022522-0.000947109j 0.0185695+0.0332945j 0.00116972+0.0135786j 0.00584778+0.0138445j -0.00600401-0.0237261j 0.0354438-0.0432174j 0.01673+0.0129551j 0.0168547-0.00713379j -0.00627062-0.0521554j 0.00350418+0.034229j -0.0342424+0.0301541j -0.0030146+0.0728341j 0.00656608-0.0103973j 0.00717899-0.0363997j -0.0197088-0.0107593j 0.0121932-0.0383568j 0.0177012+0.0259848j -0.0052626-0.0496963j -0.00735184-0.0155014j 0.0135853+0.0261869j -0.0112759+0.0292579j -0.0211527-0.0157205j -0.000649752+0.00751815j -0.00131836+0.0178864j -0.0205781+0.0386841j -0.0645746+0.0250545j -0.0220068+0.0413727j -0.00945096-0.000693425j 0.0421919+0.0278204j 0.0130942+0.0355892j 0.0406393+0.00223345j 0.00428593+0.0245021j 0.0183685-0.020364j 0.028523-0.00790371j 0.0014068-0.0208422j -0.0201303+0.00869054j 0.0417414-0.00639999j -0.0078799+0.00188739j -0.0237072+0.0116554j -0.0185435+0.000942397j -0.0280354-0.0172851j 0.00922214+0.00462047j -0.028513-0.00380361j 0.0706315-0.0481623j 0.0396063-0.00362677j 
0.0211309+0.0895858j 0.0153488-0.00053848j -0.0171707-0.0191764j 0.0202623+0.00337191j -0.0155924+0.0523766j -0.0215332-0.0962334j -0.045705-0.0763369j 0.0403401+0.0306125j -0.000668443+0.032371j 0.0268522+0.0895217j 0.0387476-0.0187021j -0.0384945-0.0065312j -0.0527523-0.0119501j -0.0558342+0.00430193j 0.064676-0.0163151j 0.0210543-0.0101043j 0.00609536+0.0672805j -0.0495314+0.0538042j 0.0399694+0.0384091j 0.00673184+0.0088563j -0.115025+0.0552838j 0.025416+0.147575j -0.0102068-0.0668248j -0.0712508+0.169758j -0.0793113-0.0527301j -0.0121033+0.132113j 0.148953-0.0740101j -0.108873-0.0574026j 0.0896963+0.0636637j 0.0694453+0.042864j 0.0654681-0.0455301j 0.0505002-0.0660322j -0.0358993-0.0763103j 0.0612514-0.0106963j 0.0274569-0.0130487j -0.011312+0.140564j 0.00197289-0.018407j 0.0570507-0.0241196j 0.0709915-0.0608257j 0.00745259-0.00967137j 0.0554994-0.0177406j -0.024745-0.0287059j -0.0151707+0.0604515j -0.0349171+0.00729044j 0.0765391-0.0415029j -0.00897673+0.00964028j -0.0782915+0.0512698j 0.0891049-0.0376237j 0.0654404+0.0203353j -0.0541101+0.0616895j -0.0288127+0.0601075j -0.0011306+0.000974124j -0.00113716-0.0471016j 0.0488319-0.0405493j -0.051591-0.0674262j -0.0515599-0.0112365j 0.00254704+0.00353075j -0.0186342+0.0185701j -0.00765426-0.0497192j -0.0304168+0.0309213j 0.00847345+0.0171667j 0.0236284-0.00775648j 0.0185553-0.0611187j -0.0630222-0.00569475j 0.00468104-0.0374408j 0.0164786-0.00552347j -0.00757458+0.021508j -0.0229433-0.0174845j 0.0163465-0.0338924j -0.0199347-0.0219467j -0.0115831+0.0129714j 0.0132235+0.0365412j 0.0879735-0.0164678j 0.07277-0.0732118j 0.0399808-0.0307849j 0.0313698+0.0108062j 0.0234015-0.0350495j 0.0120762+0.0256223j 0.0267032-0.0349575j 0.0176259-0.0134652j -0.0324392-0.065232j -0.0493373+0.0784137j -0.0482974+0.001211j -0.0318205+0.100562j 0.0138848+0.0745299j 0.0493788-0.0366566j 0.0205318+0.0250714j -0.0141331+0.020299j 0.0323085-0.0199975j -0.0254172-0.00477603j 0.0262423-0.00618689j -0.024175+0.0694311j 0.0320994-0.00876452j -0.0634861-0.0158235j -0.019784+0.0248118j 
-0.0313979-0.00941119j -0.0434953+0.0346238j 0.00441584-0.0871597j 0.0351471-0.073365j -0.0834046-0.0561074j -0.0160443+0.00695607j 0.0599557+0.0716584j 0.0454489-0.0185796j -0.0624187+0.0271669j -0.0423407-0.0331354j 0.00844902-0.0554766j -0.0437906+0.0272286j -0.00817063+0.04177j 0.0276931+0.00984323j -0.0268131-0.0141549j 0.0411207-0.0211062j -0.0119147+0.00213364j -0.0564995-0.00821251j -0.0318154+0.080629j 0.00301763-0.00918118j -0.113655+0.120048j -0.017659+0.083903j 0.0548325-0.0539495j 0.0842966+0.0240958j 0.0206089+0.0228704j -0.00890508-0.0591025j -0.0445402+0.0272138j 0.0781514-0.0622783j 0.0119503+0.0399841j -0.100229+0.142852j 0.0187141-0.0479707j -0.0706301+0.0630316j 0.0698777-0.0480236j -0.0449311+0.03842j 0.0365109-0.0323775j 0.0439982-0.0308331j -0.133858+0.074347j -0.0198574+0.027854j -0.0277831-0.00442892j 0.0269712-0.0156578j 0.0483002-0.0222549j 0.00252819-0.0274274j 0.000522381+0.0191014j -0.0370159-0.0305194j 0.000921113-0.0272008j -0.079356+0.0116443j 0.0143799+0.0274347j 0.0880414-0.0422494j 0.0784431-0.0778724j 0.0167117-0.026476j 0.0308574-0.00790938j 0.00814018+0.0284974j 0.0210695+0.00793203j 0.0765994+0.0404965j -0.00581951+0.0203003j -0.0346902+0.0641613j 0.0136328+0.0210391j 0.0189757+0.0153809j 0.0379958-0.0566095j -0.0292341+0.0738079j -0.0260289-0.0447814j 0.0188361-0.0291231j 0.096908-0.0418199j 0.00555809+0.0182989j -0.0222214-0.00751465j -0.0288066+0.0258484j -0.0120616-0.051198j 0.00219299+0.0343233j 0.0111362+0.00498368j 0.0296538-0.0292301j -0.00516048-0.0085312j -0.00351365+0.0221184j -0.0322656+0.0242904j -0.0128385-0.0198363j -0.0398513+0.0129719j -0.0203255-0.0316124j -0.0518714+0.0204833j 0.00845409-0.010011j -0.000985694-0.0110746j -0.0440757-0.00611378j 0.012761-0.0288116j -0.0902376+0.0270421j 0.0736416-0.135359j -0.0368835-0.0921045j -0.0860484+0.12674j 0.0502481-0.0613323j -0.115888+0.0723688j -0.0545482+0.0400614j -0.0656708+0.0866107j 0.0468233-0.0370596j 0.0240523-0.0237684j -0.00135419+0.045052j -0.0324177-0.0297002j -0.00801181-0.00267422j 0.0197601+0.0305425j 
