-0.0340165-0j 0.456169-0j -0.0134999-0j -0.00640355-0j -0.0123236-0j -0.00715939-0j -0.00477293-0j -0.00196068-0j -0.00413348-0j -0.00277282-0j -0.00138641-0j -0.000536954-0j -0.000657632-0j -0.000139505-0j -1.44401e-05-0j 
0.00654111-0j -0.0265319-0j -0.0560045-0j -0.608915-0j 0.00236974-0j -0.0108991-0j -0.00726607-0j 0.0352573-0j 0.000794835-0j 0.0122215-0j -0.0021106-0j 0.0210494-0j 0.0118257-0j 0.00949542-0j 0.00214763-0j 
-0.0125884-0j -0.00644962-0j -0.00499585-0j -0.00236974-0j -0.966135-0j 0.0450475-0j 0.0457811-0j 0.0123368-0j 0.019059-0j 0.0127851-0j -0.000513064-0j 0.00247583-0j -0.000243368-0j -5.16261e-05-0j -5.34381e-06-0j 
0.00731318-0j -0.0129584-0j -0.0230588-0j -0.0108991-0j -0.0450475-0j -0.719078-0j -0.00354879-0j 0.0886939-0j -0.0150092-0j 0.0374956-0j 0.0266312-0j -0.00194327-0j 0.0295515-0j 0.00507358-0j -9.3783e-05-0j 
0.00487545-0j -0.0086389-0j 0.00193489-0j -0.00726607-0j -0.0457811-0j -0.00354879-0j -0.732193-0j -0.00347766-0j -0.0153554-0j 0.0815495-0j -0.00068722-0j 0.0335787-0j -0.00116644-0j -0.00042573-0j -6.2522e-05-0j 
-0.0020028-0j 0.0126986-0j -0.000794835-0j -0.0352573-0j 0.0123368-0j -0.0886939-0j 0.00347766-0j -0.4182-0j -0.000243368-0j -0.0152669-0j 0.00101017-0j 0.0462789-0j 0.00824983-0j 0.0344201-0j 0.0137722-0j 
0.00422227-0j 0.00216327-0j -0.0283016-0j 0.000794835-0j -0.019059-0j -0.0150092-0j -0.0153554-0j 0.000243368-0j -0.800627-0j 0.0724281-0j 0.0735499-0j -0.000830419-0j 0.0102234-0j -0.000292463-0j 1.79237e-06-0j 
-0.00283238-0j 0.0114887-0j 0.00893062-0j -0.0122215-0j 0.0127851-0j -0.0374956-0j -0.0815495-0j -0.0152669-0j -0.0724281-0j -0.523865-0j -0.0236108-0j 0.113565-0j 0.0864872-0j 0.0326666-0j -0.000929951-0j 
-0.00141619-0j 0.00250937-0j 0.01452-0j 0.0021106-0j -0.000513064-0j -0.0266312-0j 0.00068722-0j 0.00101017-0j -0.0735499-0j -0.0236108-0j -0.585579-0j 0.000376313-0j 0.144812-0j -0.00319481-0j 1.8161e-05-0j 
0.000548488-0j -0.00473056-0j 0.000217675-0j 0.0210494-0j -0.00247583-0j -0.00194327-0j 0.0335787-0j -0.0462789-0j -0.000830419-0j -0.113565-0j -0.000376313-0j -0.251985-0j -0.0155224-0j 0.0639773-0j 0.0610824-0j 
0.000671758-0j -0.00425925-0j -0.00450276-0j 0.0118257-0j 0.000243368-0j 0.0295515-0j -0.00116644-0j -0.00824983-0j 0.0102234-0j -0.0864872-0j -0.144812-0j -0.0155224-0j -0.346558-0j 0.19499-0j -0.00461932-0j 
-0.000142501-0j 0.00155455-0j 0.000449313-0j -0.00949542-0j -5.16261e-05-0j -0.00507358-0j 0.00042573-0j 0.0344201-0j 0.000292463-0j 0.0326666-0j -0.00319481-0j -0.0639773-0j -0.19499-0j -0.109719-0j 0.178916-0j 
1.47503e-05-0j -0.000228298-0j 5.85385e-06-0j 0.00214763-0j 5.34381e-06-0j -9.3783e-05-0j -6.2522e-05-0j -0.0137722-0j 1.79237e-06-0j 0.000929951-0j -1.8161e-05-0j 0.0610824-0j -0.00461932-0j -0.178916-0j 0.114988-0j 
