-0.0516512-0j -0.0590299-0j -0.021305-0j -0.00432163-0j -0.0361483-0j -0.00523861-0j -0.00604903-0j -0.00598698-0j -0.0505971-0j -0.00733253-0j -0.00138078-0j 0.408959-0j -0.000613509-0j -0.00649114-0j 0.253031-0j 0.147601-0j 0.238559-0j -0.00035788-0j -0.000221427-0j -0.000379589-0j 0.354169-0j -0.000531314-0j 0.350536-0j -0.000525865-0j 0.443397-0j -0.000665172-0j 0.233691-0j -0.000350577-0j 0.0385054-0j -0.000216908-0j -5.77647e-05-0j 0.144589-0j 0.400613-0j -0.000600989-0j 
0.00258769-0j -0.00300557-0j -0.00108477-0j 0.000216511-0j 0.00546253-0j 0.00079163-0j -0.000307992-0j 0.000299943-0j -0.0025762-0j -0.000373343-0j -7.03039e-05-0j -0.04119-0j 3.07363e-05-0j -0.000330503-0j -0.0768706-0j -0.0148663-0j 0.0244192-0j -1.82218e-05-0j 1.10933e-05-0j 5.73615e-05-0j 0.0362532-0j -2.70524e-05-0j -0.0353057-0j 2.63454e-05-0j 0.0453867-0j -3.38679e-05-0j 0.0239209-0j -1.785e-05-0j 0.00394146-0j 5.4689e-05-0j -2.94115e-06-0j -0.0732892-0j 0.0410072-0j -3.05999e-05-0j 
0.0260239-0j 0.0289066-0j -0.0512737-0j -0.0019949-0j -0.0182203-0j 0.00256531-0j 0.00304773-0j -0.00301769-0j -0.0255031-0j 0.00359069-0j -0.00736134-0j 0.00208145-0j 0.000300432-0j -0.00327181-0j 0.00132503-0j -0.00369202-0j -0.00114454-0j -0.000165201-0j -0.000532897-0j 0.000191252-0j 0.00185466-0j 0.000267697-0j -0.00183638-0j -0.000265058-0j 0.00225673-0j 0.000325731-0j -0.00122425-0j -0.000176706-0j -0.0036961-0j -0.000109331-0j -0.000533486-0j -0.000757467-0j -0.00209872-0j -0.000302924-0j 
-0.00265605-0j -0.00295027-0j 0.0052331-0j 0.000203604-0j 0.0018596-0j -0.000261821-0j -0.000311058-0j 0.000307992-0j 0.0026029-0j -0.000366474-0j 0.000751313-0j 0.0410913-0j -3.06627e-05-0j 0.000333928-0j 0.0261583-0j -0.0728866-0j -0.0225952-0j 1.68607e-05-0j 5.43886e-05-0j -1.95195e-05-0j 0.036614-0j -2.73217e-05-0j -0.0362532-0j 2.70524e-05-0j 0.0445516-0j -3.32448e-05-0j -0.0241688-0j 1.80349e-05-0j -0.0729672-0j 1.11585e-05-0j 5.44487e-05-0j -0.0149537-0j -0.0414322-0j 3.0917e-05-0j 
3.1125e-05-0j -3.61514e-05-0j -1.30477e-05-0j -0.000500557-0j 6.57041e-05-0j -0.00183019-0j 0.000712056-0j -0.000693448-0j -3.09869e-05-0j 0.000863142-0j 0.000162538-0j 2.56136e-06-0j 0.0102083-0j 0.0007641-0j 4.78012e-06-0j 9.24445e-07-0j -1.51849e-06-0j -0.00605189-0j 0.00368435-0j 0.0190511-0j -2.25437e-06-0j -0.00898473-0j 2.19545e-06-0j 0.00874993-0j -2.82233e-06-0j -0.0112483-0j -1.4875e-06-0j -0.00592839-0j -2.45096e-07-0j 0.0181635-0j -0.000976824-0j 4.55742e-06-0j -2.54999e-06-0j -0.0101629-0j 
0.00291465-0j 4.95983e-05-0j -0.0037013-0j 0.000491308-0j -0.00633304-0j -1.30636e-05-0j -0.000346909-0j -0.000347742-0j 0.00298674-0j 6.16095e-06-0j -0.000320229-0j 0.000338104-0j -5.07215e-07-0j 0.000383172-0j -0.043068-0j -0.0252313-0j 0.027563-0j -4.13492e-05-0j 3.78512e-05-0j 6.46094e-05-0j 0.0203114-0j -3.04706e-05-0j 0.0203602-0j -3.05438e-05-0j -0.000372552-0j 5.58893e-07-0j -0.0137948-0j 2.06945e-05-0j 0.0111707-0j -6.34042e-05-0j -1.6758e-05-0j 0.0422646-0j -0.0236482-0j 3.54763e-05-0j 
0.00356971-0j 6.07452e-05-0j -0.00453315-0j -0.0284632-0j -0.00775636-0j 0.000756819-0j 0.0200976-0j 0.0201459-0j 0.003658-0j -0.000356926-0j 0.018552-0j -4.30386e-06-0j 5.93907e-05-0j -0.0221985-0j 0.000548229-0j 0.000321178-0j -0.00035086-0j 0.00484166-0j -0.00443207-0j -0.00756523-0j -0.000258552-0j 0.00356786-0j -0.000259173-0j 0.00357643-0j 4.74236e-06-0j -6.54418e-05-0j 0.000175599-0j -0.00242316-0j -0.000142197-0j 0.00742412-0j 0.00196223-0j -0.000538003-0j 0.000301027-0j -0.00415399-0j 
-0.000364332-0j -6.19978e-06-0j 0.000462663-0j 0.00290502-0j 0.00079163-0j -7.72425e-05-0j -0.00205121-0j -0.00205614-0j -0.000373343-0j 3.64286e-05-0j -0.00189346-0j -8.49654e-05-0j -6.06154e-06-0j 0.00226562-0j 0.0108229-0j 0.00634059-0j -0.00692655-0j -0.000494149-0j 0.000452346-0j 0.000772123-0j -0.00510424-0j -0.000364143-0j -0.00511651-0j -0.000365018-0j 9.36221e-05-0j 6.67912e-06-0j 0.00346661-0j 0.000247313-0j -0.0028072-0j -0.000757721-0j -0.000200269-0j -0.0106211-0j 0.00594276-0j 0.000423965-0j 
-0.000420694-0j -7.15889e-06-0j 0.000534237-0j 0.00677976-0j 0.000914095-0j -0.00018027-0j -0.00478713-0j -0.00479863-0j -0.000431099-0j 8.50174e-05-0j -0.00441897-0j 5.07215e-07-0j 0.000327547-0j 0.00528754-0j -6.46094e-05-0j -3.78512e-05-0j 4.13492e-05-0j 0.0267023-0j -0.0244434-0j -0.0417231-0j 3.04706e-05-0j 0.0196772-0j 3.05438e-05-0j 0.0197244-0j -5.58893e-07-0j -0.000360919-0j -2.06945e-05-0j -0.013364-0j 1.6758e-05-0j 0.0409449-0j 0.0108219-0j 6.34042e-05-0j -3.54763e-05-0j -0.0229097-0j 
4.29369e-05-0j 7.30651e-07-0j -5.45253e-05-0j -0.00104155-0j -9.32945e-05-0j 2.76942e-05-0j 0.000735432-0j 0.000737199-0j 4.39989e-05-0j -1.3061e-05-0j 0.000678873-0j 4.98075e-06-0j -0.000102441-0j -0.000812309-0j -0.000634451-0j -0.000371691-0j 0.000406041-0j -0.00835119-0j 0.00764471-0j 0.013049-0j 0.000299215-0j -0.00615407-0j 0.000299934-0j -0.00616886-0j -5.48821e-06-0j 0.000112878-0j -0.000203216-0j 0.00417962-0j 0.00016456-0j -0.0128056-0j -0.00338457-0j 0.000622617-0j -0.00034837-0j 0.00716506-0j 
0.000203604-0j -0.000497312-0j 0.000106703-0j -0.00340688-0j 0.000155592-0j 0.00208765-0j -0.00112791-0j -0.00121897-0j 0.000217783-0j 0.00292209-0j 0.0036425-0j 0.00692655-0j 0.000494149-0j -0.00132161-0j -0.00200521-0j -0.00148616-0j -0.00799286-0j -0.000570221-0j -0.000106025-0j -0.000143054-0j -0.00280671-0j -0.000200234-0j -0.00303329-0j -0.000216399-0j 0.00750983-0j 0.000535761-0j -0.00202219-0j -0.000144266-0j 0.0147393-0j -8.92599e-05-0j 0.00105152-0j -0.00125117-0j -0.00346661-0j -0.000247313-0j 
0.000235102-0j -0.000574246-0j 0.00012321-0j -0.00795102-0j 0.000179662-0j 0.00487217-0j -0.00263234-0j -0.00284484-0j 0.000251475-0j 0.00681962-0j 0.00850092-0j -4.13492e-05-0j -0.0267023-0j -0.0030844-0j 1.19704e-05-0j 8.8719e-06-0j 4.77147e-05-0j 0.030813-0j 0.00572925-0j 0.00773021-0j 1.67551e-05-0j 0.01082-0j 1.81077e-05-0j 0.0116935-0j -4.48312e-05-0j -0.0289509-0j 1.20718e-05-0j 0.00779567-0j -8.7989e-05-0j 0.00482332-0j -0.0568211-0j 7.46905e-06-0j 2.06945e-05-0j 0.013364-0j 
-0.0221207-0j -0.000376424-0j 0.0280909-0j -0.00372877-0j 0.0480644-0j 9.91455e-05-0j 0.00263285-0j 0.00263918-0j -0.0226678-0j -4.67583e-05-0j 0.00243037-0j 2.66701e-05-0j 3.84949e-06-0j -0.00290807-0j -0.00339725-0j -0.00199027-0j 0.0021742-0j 0.000313818-0j -0.000287271-0j -0.000490351-0j 0.00160219-0j 0.000231256-0j 0.00160604-0j 0.000231811-0j -2.93873e-05-0j -4.2417e-06-0j -0.00108815-0j -0.00015706-0j 0.00088116-0j 0.000481204-0j 0.000127184-0j 0.00333388-0j -0.00186539-0j -0.000269246-0j 
-2.3995e-05-0j 5.86087e-05-0j -1.25751e-05-0j 0.00122149-0j -1.83367e-05-0j -0.000748497-0j 0.000404398-0j 0.000437044-0j -2.5666e-05-0j -0.00104768-0j -0.00130597-0j -0.000406041-0j 0.00835119-0j 0.000473847-0j 0.000117547-0j 8.71203e-05-0j 0.000468549-0j -0.00963682-0j -0.00179183-0j -0.00241764-0j 0.000164532-0j -0.00338399-0j 0.000177814-0j -0.00365716-0j -0.000440233-0j 0.00905444-0j 0.000118543-0j -0.00243811-0j -0.000864034-0j -0.0015085-0j 0.0177709-0j 7.33445e-05-0j 0.000203216-0j -0.00417962-0j 
-0.00162883-0j 0.00397849-0j -0.000853627-0j -0.000576186-0j -0.00124474-0j 0.000353071-0j -0.000190757-0j -0.000206157-0j -0.00174227-0j 0.000494197-0j 0.000616035-0j -0.027563-0j 4.13492e-05-0j -0.000223517-0j 0.00797937-0j 0.00591392-0j 0.0318062-0j -4.77147e-05-0j -8.8719e-06-0j -1.19704e-05-0j 0.0111688-0j -1.67551e-05-0j 0.0120704-0j -1.81077e-05-0j -0.029884-0j 4.48312e-05-0j 0.00804694-0j -1.20718e-05-0j -0.0586526-0j -7.46905e-06-0j 8.7989e-05-0j 0.00497879-0j 0.0137948-0j -2.06945e-05-0j 
-0.0019949-0j 0.00487264-0j -0.00104548-0j 0.0333805-0j -0.00152448-0j -0.0204547-0j 0.0110512-0j 0.0119434-0j -0.00213383-0j -0.0286306-0j -0.0356891-0j 0.00035086-0j -0.00484166-0j 0.0129491-0j -0.000101572-0j -7.52806e-05-0j -0.000404873-0j 0.00558701-0j 0.00103883-0j 0.00140164-0j -0.000142172-0j 0.00196189-0j -0.000153649-0j 0.00212026-0j 0.000380405-0j -0.00524937-0j -0.000102433-0j 0.00141351-0j 0.000746611-0j 0.000874564-0j -0.0103028-0j -6.3377e-05-0j -0.000175599-0j 0.00242316-0j 
-1.95979e-06-0j -3.33495e-08-0j 2.48873e-06-0j 7.94539e-05-0j 4.25829e-06-0j -2.11263e-06-0j -5.61017e-05-0j -5.62365e-05-0j -2.00827e-06-0j 9.96343e-07-0j -5.17872e-05-0j 2.36285e-09-0j 1.57498e-05-0j 6.19662e-05-0j -3.00981e-07-0j -1.76329e-07-0j 1.92624e-07-0j 0.00128396-0j -0.00117534-0j -0.00200622-0j 1.41947e-07-0j 0.00094616-0j 1.42288e-07-0j 0.000948434-0j -2.60359e-09-0j -1.73545e-05-0j -9.64049e-08-0j -0.000642597-0j 7.80669e-08-0j 0.0019688-0j 0.000520363-0j 2.95367e-07-0j -1.65266e-07-0j -0.0011016-0j 
-0.00246394-0j 0.00561692-0j -0.00101632-0j -0.000206157-0j -0.0017244-0j -0.000249899-0j 0.000575587-0j 0.000569684-0j -0.00241365-0j -0.000349786-0j -6.5868e-05-0j -0.038914-0j 5.83777e-05-0j -0.00030965-0j 0.0120704-0j 0.00704108-0j -0.0226998-0j 3.40537e-05-0j -1.05628e-05-0j -1.81077e-05-0j 0.0168951-0j -2.53455e-05-0j 0.0167218-0j -2.50855e-05-0j 0.0211516-0j -3.1731e-05-0j -0.055621-0j 8.34411e-05-0j 0.00183684-0j -1.03473e-05-0j -2.75557e-06-0j 0.00689738-0j 0.0191106-0j -2.86692e-05-0j 
-0.00301769-0j 0.00687929-0j -0.00124474-0j 0.0119434-0j -0.00211195-0j 0.0144776-0j -0.0333458-0j -0.0330038-0j -0.00295611-0j 0.0202644-0j 0.00381597-0j 0.000495351-0j -0.00683555-0j 0.0179391-0j -0.000153649-0j -8.96286e-05-0j 0.000288955-0j -0.0039874-0j 0.00123682-0j 0.00212026-0j -0.000215064-0j 0.00296775-0j -0.000212858-0j 0.00293731-0j -0.000269246-0j 0.00371544-0j 0.000708021-0j -0.00977027-0j -2.33818e-05-0j 0.00121158-0j 0.000322655-0j -8.77994e-05-0j -0.000243266-0j 0.00335693-0j 
0.000307992-0j -0.000702115-0j 0.00012704-0j -0.00121897-0j 0.00021555-0j -0.00147761-0j 0.00340334-0j 0.00336844-0j 0.000301707-0j -0.00206822-0j -0.000389466-0j 0.00977905-0j 0.000697651-0j -0.0018309-0j -0.00303329-0j -0.00176942-0j 0.00570445-0j 0.000406963-0j -0.000126232-0j -0.000216399-0j -0.00424572-0j -0.000302895-0j -0.00420217-0j -0.000299788-0j -0.00531537-0j -0.000379205-0j 0.0139775-0j 0.000997174-0j -0.000461596-0j -0.000123656-0j -3.29309e-05-0j -0.00173331-0j -0.00480248-0j -0.000342615-0j 
0.000355639-0j -0.000810733-0j 0.000146693-0j -0.00284484-0j 0.000248895-0j -0.00344846-0j 0.00794276-0j 0.0078613-0j 0.000348381-0j -0.00482684-0j -0.000908939-0j -5.83777e-05-0j -0.0376989-0j -0.00427298-0j 1.81077e-05-0j 1.05628e-05-0j -3.40537e-05-0j -0.021991-0j 0.00682121-0j 0.0116935-0j 2.53455e-05-0j 0.0163675-0j 2.50855e-05-0j 0.0161996-0j 3.1731e-05-0j 0.0204911-0j -8.34411e-05-0j -0.0538842-0j 2.75557e-06-0j 0.006682-0j 0.00177948-0j 1.03473e-05-0j 2.86692e-05-0j 0.0185139-0j 
-3.62972e-05-0j 8.2745e-05-0j -1.49718e-05-0j 0.000437044-0j -2.54028e-05-0j 0.000529777-0j -0.00122022-0j -0.00120771-0j -3.55565e-05-0j 0.000741533-0j 0.000139638-0j -0.000573257-0j 0.0117904-0j 0.000656445-0j 0.000177814-0j 0.000103725-0j -0.0003344-0j 0.00687773-0j -0.00213335-0j -0.00365716-0j 0.000248888-0j -0.00511896-0j 0.000246335-0j -0.00506646-0j 0.000311592-0j -0.00640862-0j -0.000819374-0j 0.0168524-0j 2.70592e-05-0j -0.00208981-0j -0.000556536-0j 0.000101608-0j 0.000281526-0j -0.00579024-0j 
0.0187-0j -0.0426294-0j 0.00771334-0j 0.00156462-0j 0.0130873-0j 0.0018966-0j -0.0043684-0j -0.0043236-0j 0.0183183-0j 0.00265469-0j 0.000499903-0j -0.00306958-0j -0.000443056-0j 0.00235007-0j 0.000952128-0j 0.000555408-0j -0.00179059-0j -0.000258449-0j 8.01662e-05-0j 0.000137428-0j 0.0013327-0j 0.000192359-0j 0.00131903-0j 0.000190386-0j 0.00166846-0j 0.000240821-0j -0.00438744-0j -0.000633273-0j 0.000144892-0j 7.85302e-05-0j 2.09133e-05-0j 0.000544073-0j 0.00150747-0j 0.000217584-0j 
0.012362-0j -0.0301946-0j 0.00647857-0j 0.00437294-0j 0.00944688-0j -0.00267962-0j 0.00144775-0j 0.00156462-0j 0.0132229-0j -0.00375069-0j -0.00467538-0j -0.0021742-0j -0.000313818-0j 0.00169637-0j 0.000629422-0j 0.000466497-0j 0.00250891-0j 0.000362129-0j 6.7333e-05-0j 9.08492e-05-0j 0.000881007-0j 0.000127162-0j 0.000952128-0j 0.000137428-0j -0.00235729-0j -0.000340245-0j 0.000634752-0j 9.16185e-05-0j -0.00462658-0j 5.66861e-05-0j -0.000667789-0j 0.000392733-0j 0.00108815-0j 0.00015706-0j 
1.09521e-06-0j -2.67511e-06-0j 5.73973e-07-0j -9.31802e-05-0j 8.36951e-07-0j 5.70983e-05-0j -3.08491e-05-0j -3.33394e-05-0j 1.17149e-06-0j 7.9921e-05-0j 9.96246e-05-0j -1.92624e-07-0j -0.00128396-0j -3.61469e-05-0j 5.5764e-08-0j 4.13295e-08-0j 2.22278e-07-0j 0.00148162-0j 0.000275487-0j 0.000371701-0j 7.80533e-08-0j 0.000520273-0j 8.43543e-08-0j 0.000562273-0j -2.08845e-07-0j -0.00139208-0j 5.62362e-08-0j 0.000374848-0j -4.09894e-07-0j 0.000231926-0j -0.0027322-0j 3.47944e-08-0j 9.64049e-08-0j 0.000642597-0j 
1.65673e-06-0j -3.77678e-06-0j 6.83368e-07-0j -3.33394e-05-0j 1.15947e-06-0j -4.04135e-05-0j 9.30835e-05-0j 9.21287e-05-0j 1.62292e-06-0j -5.65671e-05-0j -1.06521e-05-0j -2.71951e-07-0j -0.00181272-0j -5.00762e-05-0j 8.43543e-08-0j 4.92067e-08-0j -1.58638e-07-0j -0.00105742-0j 0.000327992-0j 0.000562273-0j 1.18071e-07-0j 0.000787018-0j 1.1686e-07-0j 0.000778945-0j 1.47818e-07-0j 0.000985297-0j -3.88708e-07-0j -0.00259098-0j 1.28368e-08-0j 0.000321299-0j 8.55649e-05-0j 4.82024e-08-0j 1.33555e-07-0j 0.000890223-0j 
