-0.118359-0.0305307j 0.0685561-0.000656824j 0.0787199+0.105557j 0.0156463+0.0578584j -0.0279574-0.0392193j 0.00675265-0.0509445j 0.0346476-0.0186877j 0.0079787-0.100989j 0.00518714-0.00548809j 0.00618601-0.0153306j -0.0531719+0.00610585j 0.102664-0.0330658j 0.0156912-0.0251258j -0.0086994-0.00194698j 0.0197545-0.0180657j -0.0364481+0.0293626j 0.0390745+0.0366842j 0.0413991+0.00268444j -0.0129875+0.0513018j -0.0402109+0.077978j 0.0193807-0.0124961j -0.0409887-0.0373068j 0.0857262-0.0145578j -0.0215682+0.0365327j 0.106741-0.112825j 0.0245732+0.00803912j 0.0072747-0.0689356j -0.0446482-0.00595366j 0.0519116-0.00221447j 0.19887-0.081206j 0.0252556+0.175167j -0.0751705-0.00490881j 0.109118-0.097571j 0.0361961+0.0417109j 0.0606264+0.0816259j -0.0367408-0.0204894j 0.0728995-0.0428286j -0.102835-0.0509641j 0.0438749-0.0152649j -0.0508279-0.161101j -0.075541-0.236445j -0.200187-0.0545267j -0.0318094-0.00581544j 0.0547676+0.00320513j 0.0125+0.00316869j 0.0291475-0.0211907j -0.0547112+0.0493459j -0.0041948+0.00276947j -0.0389853+0.024138j -0.00912473+0.0224378j 0.0326127-0.0132879j -0.0288336+0.00970463j 0.0208928-0.0301485j -0.0549952+0.00151077j 0.0125955-0.00528173j -0.0255449+0.0296636j 0.016829-0.00834282j -0.00645857-0.00580529j -0.00928148-0.00222121j 0.0339957-0.0177983j 0.0413234+0.0196562j 0.0311861-0.00101903j -0.046047+0.00606255j -0.0317533+0.0184261j 0.00373122-0.0145833j -0.00765766+0.00589068j 0.0164443+0.00512075j -0.0176986-0.000126209j 0.0167019+0.0221822j 0.0460333-0.0116661j 0.0310966+0.0320617j 0.0458717+0.0265472j -0.027938+0.0177025j -0.0286792-0.0773171j 0.0111623+0.0222413j -0.047751-0.0515756j -0.000576726+0.0229845j 0.0646693-0.0320122j -0.0337806-0.0229872j 0.0513492+0.0237268j -0.104087+0.041087j -0.0558475+0.099014j 0.0907409+0.0735321j 0.0507161-0.120034j 0.0155618-0.0734049j -0.03923+0.0409855j -0.0632049+0.0625771j 0.0685499-0.0477801j -0.0802492-0.0369362j 0.126905-0.12397j -0.218638-0.149445j 0.0818577+0.197445j 
-0.0423007+0.0398133j 0.00272682-0.0104186j -0.00272309-0.0132562j 0.00933718-0.0126833j 0.0201166-0.0120599j 0.0086614-0.0105316j 0.00158326-0.00355015j 0.0274332-0.00575548j -0.0326559-0.0136699j 0.019877-0.00160546j 0.0206538+0.0146553j -0.00281474-0.0162756j 0.00719094-0.00395555j -0.0334686+0.0163466j -0.00191767-0.017385j 0.0195309+0.00539229j -0.00303671-0.00513643j 0.00807523-0.0129424j -2.63432e-05+0.0219591j 0.0144158+0.0138011j -0.0239241-0.0165962j -0.0134268-0.00710432j -0.0161755-0.0277054j -0.00333867-0.0125085j 0.0217715-0.0195829j 0.0114725+0.0139309j 0.0262428-0.0146133j -0.00630043-0.00433311j 0.00276119-0.0153028j 0.0118216+0.0318843j 0.00128284-0.00821972j -0.00897391-0.00950915j 0.0251987+0.00849374j 0.0229662-0.0194633j -0.00688366+0.0194849j -0.0148798-0.0188593j -0.0115571+0.0103089j -0.0251951+0.00558406j -0.0274914+0.028577j -0.0153093+0.00864067j -0.0178002+0.000167128j 0.0414629-0.000849287j 0.0347691-0.0205015j -0.033465+0.0115617j -0.0104613+0.00919573j 0.0521645-0.00623978j -0.0293978-0.0346218j -0.0286716+0.0903706j -0.00885944+0.0339672j -0.111392-0.0674189j 0.0570942-0.00418942j 0.0245197-0.0599995j -0.00925891-0.216539j -0.0484821+0.0296741j 0.0391062+0.10992j -0.0264407-0.0131015j -0.0927122-0.0796668j 0.0912954+0.0183243j -0.171393-0.0194126j -0.0141837-0.127375j -0.0906225-0.00705394j -0.0171112+0.0157781j -0.0531828-0.204981j -0.0266449+0.0438478j 0.0682246-0.0453016j 0.0860575-0.10566j 0.0200766+0.0688308j 0.025346-0.168322j 0.131563-0.135711j -0.0375388-0.0904307j 0.0968445-0.0849199j -0.0555712-0.0425133j -0.0375483-0.117789j -0.173486+0.0641495j 0.018585-0.0466948j -0.0272291-0.134278j -0.039482-0.0870132j -0.0354014+0.162903j 0.016155+0.00529356j -0.0742048-0.0705464j -0.00114319+0.138942j -0.0734633-0.148038j 0.0562436-0.0659663j 0.0396629+0.164254j -0.0545216+0.0478421j -0.0252462+0.0711395j -0.071453+0.0634991j 0.0431539+0.00709927j 0.00376845+0.0161201j 0.0531901-0.0692811j -0.0138225-0.0227938j -0.0470416-0.046074j 
-0.00538126-0.0061191j -0.021048+0.0206273j -0.000196464-0.016016j 0.00261044-0.00310691j 0.026656-0.0088218j 0.0130073+0.0140125j -0.00831427+0.0177914j 0.0103314+0.00748451j 0.0151444+0.00164975j -0.0144865+0.00187614j 0.0108834+0.0248356j -0.00186092-0.0181014j 0.00889481-0.012677j 0.004788+0.0039863j 0.0182236-0.0159406j -0.00604465-0.0153307j -0.00897425-0.0262708j 0.00570056-0.00841696j 0.0424447-0.000709102j 0.0171491+0.0197199j 0.0160773-0.00803058j 0.00953102+0.0165392j 0.0246613-0.0165121j 0.00290623-0.0294421j 0.00623959-0.0179152j -0.00526871+0.0329074j 0.0232271-0.00562143j 0.0360314+0.0133958j -0.00588088+0.0144224j -0.00255155-0.0099895j 0.00930742+0.00161586j 0.00811665-0.00408115j 0.0114767-0.0178903j -0.0154685-0.00330933j 0.00289806+0.00467902j -0.00794115-0.0100702j 0.00620588-0.00438518j -0.0118935+0.00680708j 0.0124426-0.0174092j -0.0125919+0.0106837j 0.0161848+0.00364799j 0.0139985+0.0200034j -0.0126822-0.0380655j -0.0222907+0.0174096j 0.0264064+0.0102521j 0.0663358+0.0468542j -0.0378186+0.0111167j -0.0508824-0.0544606j 0.00484738+0.0110934j -0.0443332+0.00995667j 0.0156417+0.0607616j 0.0201461-0.0954j 0.0631802-0.0163716j 0.0686387+0.03728j -0.0473828-0.0549237j -0.123936+0.096438j -0.0142199-0.0385371j -0.0391464+0.0536972j 0.0229272-0.04157j 0.117672-0.0120972j 0.0573079+0.119788j 0.0251947-0.0964027j 0.0767442+0.0278214j 0.0866408+0.0700767j 0.0698529-0.0413038j -0.0503513-0.124944j -0.0527214+0.103814j 0.160967-0.108277j -0.00877487-0.024974j 0.182754+0.0329978j -0.0184846+0.0617788j 0.183667-0.0869698j -0.288689-0.110614j -0.1126+0.145491j -0.232921-0.0924707j 0.089382+0.228021j 0.0222581-0.115674j 0.0026877-0.0087777j -0.242035+0.039733j 0.0575644-0.00865664j -0.0415499+0.185135j -0.0871751+0.0846648j 0.0958251-0.0425305j 0.127574-0.0374206j 0.0935207+0.0563443j 0.0534462-0.012093j -0.0868924-0.0291227j 0.0690788+0.0279027j -0.0168357+0.03261j 0.0119152-0.0223861j -0.00140577-0.0145227j 0.0109068+0.0316461j 
0.0069376-0.0255841j -0.00534605-0.00698031j 0.0050212+0.000816067j -0.000503122+0.00829843j -0.000338004+0.0016316j -0.00858367+0.00652089j 0.0107877+0.00946226j 0.0132372-0.0156222j -0.00898+0.0119221j 0.000474833+0.0128587j -0.0138876+0.0303717j -0.00829967-0.00295497j -0.0131261+0.0127697j 0.0195504-0.00228702j -0.0202961-0.0194586j -0.00392721+0.00952942j 0.00659517+0.00762086j 0.00949431-0.028254j -0.038531-0.00525475j -0.00867443-0.00796419j -0.0193901+0.00597251j -0.0335352-0.0135031j 0.00618142+0.000801418j -0.031676-0.0207706j -0.00709083+0.00436514j -0.0395222-0.00485981j -0.0383206-0.00382011j 0.00881708-0.0199706j 0.0215656-0.01509j -0.00115642+0.0299408j 0.0321922+0.0131818j -0.0120308-0.00322227j -0.00235995+0.00679709j 0.00749325-0.0107684j 0.0103367+0.0105539j -0.00478621+0.0019068j 0.00399283+0.00455715j -0.00560959-0.000339471j 0.00844034-0.00453347j 0.00286674-0.0165993j -0.0128409+0.00409037j -0.0238329+0.0171276j -0.00349957-0.0100352j 0.00811564-0.0113547j 0.0112772+0.00913332j -0.00556034+0.0271847j -0.00657372+0.027521j -0.00460861+0.00356546j 0.0675901-0.00217985j -0.079473+0.000692809j -0.0688911+0.0971682j 0.0152184+0.00356475j -0.115313-0.1535j -0.000642129-0.0570245j 0.0205148+0.0496988j 0.00662191+0.0231476j 0.117349-0.011962j -0.0519113+0.0295606j -0.112106+0.0931206j -0.177696+0.0164471j -0.0311757+0.0411976j -0.0684046-0.0043099j -0.117831-0.025371j -0.088349-0.0959373j -0.0898342+0.0283506j -0.0117424-0.122794j 0.0464522+0.00723507j -0.104725-0.0205777j -0.139483-0.00225409j -0.179947+0.0104148j -0.0971788-0.0117391j -0.0478661+0.0684182j -0.0428394-0.083181j -0.0920388+0.100221j -0.0973044-0.0486526j -0.0959481+0.0869377j -0.0311467-0.0281545j 0.127981+0.0139089j -0.138106-0.0654335j -0.038131+0.0292806j 0.0031605-0.0802613j -0.00360445-0.0774106j 0.0356444+0.00732073j -0.0268474-0.046021j -0.0712263+0.0202023j -0.00565387+0.0611262j 0.0475052+0.0522345j -0.0218164-0.0122477j 0.0183823+0.00955886j -0.0159766-0.0130105j 0.0361484-0.00993259j 0.0109481-0.0173378j 
0.00818477-0.0113348j -0.000178312+0.0154342j 0.00805981-0.00858322j -0.00625821+0.00806314j -0.00515467+0.00625343j -0.0147394-0.00247179j 0.0133551+0.000508656j 0.00759719+0.0041266j 0.00542911-0.00568743j 0.0163948-0.0315404j -0.00345514-0.00442575j -0.0190485+0.00596892j -0.00137717+0.00702154j 0.0230687-0.00900015j 0.00969504-0.0265772j -0.0122122-0.0185993j -0.0289752+0.0315343j 0.0288254+0.0200474j -0.0132132-0.0268409j 0.00514119-0.00437407j 0.00582517-0.00220334j 0.00317583+0.0214879j 0.0120767-0.0387013j 0.0141927-0.0245416j -0.0197477+0.0100399j 0.00047254+0.0146326j 0.00586016+0.0395452j 0.00854698+0.0179525j 0.0132252+0.00547856j 0.0103881+0.00363284j 0.000745128-0.0308712j -0.0135181-0.000623208j 0.00704111-0.0108865j -0.0107207-0.00469092j -0.00564412-0.0199629j 0.0071423+0.00488017j 0.00152298-0.0111616j -0.000105867+0.000307161j 0.0104143-0.0141727j -3.32063e-05+0.00401129j 0.011876-0.00918542j -0.0112156+0.00654662j -0.00388272-0.0139314j 0.0143017+0.00469305j -0.0247157+0.0103623j -0.0656527+1.68222e-05j 0.0485332+0.00202718j -0.086797-0.048707j -0.121384+0.0295552j 0.0553782+0.00851098j 0.0126342-0.0227306j -0.016308-0.0472908j -0.063225-0.0111915j 0.0162325+0.0392944j -0.0630469+0.0648922j 0.0196477+0.000972435j -0.112004-0.0259523j -0.00788314-0.0585937j 0.00138213-0.054838j 0.0631851-0.0728479j 0.0127801+0.0114945j -0.0428663-0.0396666j -0.0320639+0.160571j -0.0128464-0.112999j -0.094366+0.128912j 0.0859402-0.113333j 0.0552118-0.012309j 0.0748064-0.110647j -0.143635-0.0681314j -0.0575352+0.117357j -0.0115545-0.0833717j -0.0581317+0.0478025j -0.0480781-0.0744234j -0.00677564-0.00876688j 0.0262724-0.00780997j -0.045606-0.0605774j 0.0451757-0.0614877j -0.0127955+0.0275129j -0.133975-0.0251515j -0.0446035+0.0471988j 0.034471+0.0355252j -0.0474247+0.0155322j -0.0593858-0.0017496j 0.0397533+0.0254162j 0.0125656+0.0194554j -0.0209435+0.00346053j 0.0276471+0.0148901j 0.0630624+0.00458434j -0.0374655+0.00770793j -0.000158252+0.035885j 0.00105267+0.0220686j 0.0115598+0.0248684j 
-0.0155364+0.0180142j -0.0093102+0.0163597j -0.04109+0.00264281j 0.00642918+0.0189058j -0.00903292+0.00852512j 0.0143767-0.0148647j -0.0194697-0.00490655j 0.00206141+0.0110107j -0.00606156-0.0131615j 0.00645461+0.0180148j 0.00900679+0.00698403j -0.0100213-0.00992917j -0.0169786-0.00945783j -0.00349122-0.0022584j -0.00374358-0.00931512j 0.0271354+0.0127072j 0.0187243-0.0365057j -0.00453067-0.0174447j -0.0208191+0.00850239j -0.00678962+0.0119189j 0.00432082-0.0210856j 0.00898924-0.036588j 0.00705446-0.0209677j 0.0189477+0.0445188j 0.0186051-0.0134911j 0.0282477+0.00250856j -0.00130343+0.00861073j -0.0105562+0.00176964j -0.0230532+0.00770313j 0.000658391-0.00153023j -0.0192176+0.00563445j -0.0161516+0.0109896j 0.0155844-0.0038068j 9.559e-05-0.012341j -0.00315383-0.00983911j -0.00283997-0.000750455j 0.00437289+0.00710272j -0.00726116+0.0156316j 0.00527071+0.00162264j -0.0118824+0.0203078j -0.00957603-0.00385682j 0.0248533+0.0129779j -0.0319054-0.0393812j 0.00537023-0.0388633j -0.0372992+0.0256492j 0.0451798-0.0395962j -0.0119253-0.0262641j 0.0216642+0.0174205j -0.0180598-0.0223948j 0.0365046+0.0168459j 0.00902694-0.00159734j -0.0584228+0.0251258j -0.0348653-0.121511j -0.00562336-0.0667049j 0.0470728-0.0880116j -0.0312363+0.0499863j 0.171614+0.0797664j -0.00667798+0.107765j 0.0866787+0.0948186j -0.0732845-0.0323019j -0.102666+0.13394j 0.0494531+0.000104662j -0.108112-0.036692j 0.0397663-0.124461j -0.0456457-0.0698751j -0.00468879+0.0464205j -0.024726-0.0933874j -0.0491712-0.0869278j -0.123329+0.012283j -0.0285046-0.0710784j -0.139849-0.09176j 0.0322274+0.103989j 0.0520567+0.021309j 0.0179227+0.0192838j 0.0656443-0.0740223j -0.187403+0.100243j 0.0689207+0.0844212j 0.107562+0.0732792j -0.0138955-0.152555j -0.0100127-0.100825j -0.088493-0.0181863j 0.0353481+0.00648615j -0.00959917-0.00353641j -0.0423746-0.04866j -0.0520684-0.0228292j -0.0764968-0.0191541j 0.00447863-0.010151j -0.0083036-0.00517193j 0.0191122+0.034613j 0.032477-0.00692004j -0.0165041-0.0649761j 0.00351332-0.000673369j 
0.00192996-0.00437516j -0.00541302-0.0323583j 0.0181046+0.0118112j 0.0111131-0.0131477j 0.0175388+0.00465515j 0.00342651-0.00882183j 0.0168237+0.00446688j 0.0189974-0.0102468j -0.0275449+0.0179166j 0.005304+0.0126751j 0.00981048+0.022219j 0.00420444-0.00375936j 0.0131329-0.0217815j 0.00597093+0.00651786j 0.00223352+0.00766204j 0.00315837+0.000349381j 0.00102163-0.0149249j -0.0126322-0.0305161j 0.026733-0.0189849j 0.00206917+0.00136021j -0.00174307+0.00832569j 0.0264375+0.016824j 0.00437617+0.0151583j -0.0194351+0.00397192j 0.00359804-0.00146735j -0.0207972-0.00862331j -0.00459108-0.0213598j 0.00441196+0.0123448j 0.0113488+0.00429706j 0.00638689-0.00687264j -0.00968075+0.0125511j -0.00263256+0.00210656j -0.00849523+0.00542658j 0.00312151+0.00446306j -0.000336404+0.0196551j -0.00379033+0.00671572j 0.000617068+0.00255754j 0.00622088-0.00441215j 0.000506621+0.0172891j 0.00209574-0.0208281j -0.00428684+0.0230066j -0.0173583-0.0219714j 0.00933067+0.0385432j -0.00661249+0.0105573j 0.0438175+0.00209469j -0.011689-0.0251748j -0.00488693+0.0320314j -0.0335195+0.0240028j -0.0122698+0.0353699j -0.0273076-0.0104349j -0.0143777+0.0513115j 0.0256624-0.0285706j 0.0486676-0.00528925j 0.0944225-0.00119334j -0.0258758+0.0399519j -0.0348846+0.0179792j -0.00155483+0.0281431j -0.0522973-0.0213918j -0.0533622+0.0211443j 0.060434-0.0523106j -0.0147952+0.0498961j 0.0439938-0.0829198j -0.101508+0.166038j 0.16412-0.00119478j -0.143407-0.0361061j -0.0164264-0.0773118j 0.0181819-0.00611204j 0.0957985+0.128466j -0.0896791-0.159706j -0.0691055+0.19663j 0.0011656-0.0173575j -0.0322428-0.0394311j -0.152467-0.0831176j -0.0676529-0.00628632j -0.0629759+0.109312j 0.132784+0.0320516j -0.00708257-0.00991534j -0.0808964-0.00864108j -0.0711199+0.0827819j 0.0607968+0.0658982j -0.0354372-0.018709j 0.0338531-0.0501644j 0.0758927+0.0540966j 0.035209-0.00559521j 0.0364251-0.0296392j 0.0340127+0.031143j 0.0253746+0.0183967j -0.0274399-0.0108359j 0.0257112-0.0207146j -0.00558764-0.0171683j 0.0193586+0.00103961j -0.00637043-0.0114053j 
-0.00524616-0.00107141j 0.0331067+0.0322528j 0.0146161+0.0051591j -0.0154813+0.00402884j -0.00148459-0.00888092j -0.0321136+0.0385781j -0.0259484+0.0017845j -0.0131523+0.00963645j 0.0110999-0.0247304j -0.00701765-0.00637809j -0.00864187-0.0333918j -0.016319+0.0134172j 0.021675-0.00174128j -0.00260349+0.0053121j 0.00798774-0.0077702j -0.0139566+0.0050874j 0.000506213+0.0226578j -0.0221112-0.00315313j 0.0225571+0.0201897j 0.00914275+0.00151382j -0.0118496+0.00151109j -0.0169359+0.0282216j -0.0323423+0.000127034j -0.00362133+0.0071491j -0.00477258-0.00375467j -0.00437174+0.00900507j -0.0246769+0.000249951j -0.00675246-0.0008343j 0.00518933-0.0109408j -0.00295975-0.00457339j 0.0214602+0.00285462j 0.00747526-0.00733496j 0.00477787-0.00110422j 0.0136884+0.00350515j 0.0135614+0.0142743j 0.0044408-0.00818091j -0.0155664-0.0074875j -0.0169314-0.0123194j -0.0278257-0.0163123j 0.000796007+0.0057208j 0.00752177-0.0390087j 0.00773587+0.0277332j 0.0229565+0.00867935j -0.00335909-0.0110218j 0.00244109-0.0130199j -0.0738436+0.0704923j -0.0355344-0.022311j 0.0867739-0.039753j 0.0754171-0.0979559j -0.0603129-0.103408j -0.0117338-0.011726j -0.0605967+0.098354j 0.0857769+0.0162257j 0.110596-0.089858j 0.116137-0.0511402j -0.00174294-0.0375218j 0.0741087+0.0216083j 0.042915-0.0730389j 0.0157474-0.022768j 0.084829-0.0106433j 0.0591357+0.0339322j 0.0820844+0.024482j 0.158833+0.0510143j 0.199889+0.0598836j 0.0973632-0.028559j 0.0308234-0.025684j 0.0482771+0.0087243j 0.169375+0.0576927j -0.0418283-0.203259j 0.220437-0.0404752j 0.0526401-0.112342j 0.0664242+0.0899788j 0.164396+0.0464642j -0.05318+0.118099j -0.0436691-0.175425j -0.178246+0.00870214j -0.0168939+0.0531588j 0.0420149-0.0277031j 0.116357-0.0979297j 0.0768258-0.0530957j 0.0743607+0.0455845j -0.0155621+0.0696426j -0.00382939-0.0988768j 0.0924223+0.0567595j 0.037153+0.0254923j 0.0799773-0.011772j -0.0138306-0.0538836j -0.0261901-0.0419353j -0.0238451+0.0327617j 0.00163361-0.00713165j -0.00764413+0.054052j -0.0110101-0.0433254j 
0.0309256-0.0180103j -0.0492326+0.0121077j 0.00824299+0.0294067j -0.0171847-0.0101201j -0.0183228+0.00913554j -0.036569-0.0193184j -0.028227+0.0317862j -0.00296531+0.00581402j 0.0231441+0.0271729j -0.0188416+0.000289009j -0.000741638-0.0501191j -0.0201774+0.00408525j -0.0416985+0.0183351j 0.0087254+0.0263575j -0.0091578-0.0381016j 0.0163349+0.00195272j 0.0455065-0.0399336j 0.0342584+0.0119558j 0.0083322+0.022036j 0.0252509+0.000186647j 0.00992683+0.0109982j -0.0173371-0.0020365j 0.00305377+0.0138217j 5.11157e-05-0.0109737j -0.0109784-0.000744859j 0.00731623-0.0156689j -0.00190106+0.0128101j 0.0158229-0.0162093j -0.00704744+0.00354601j -0.0156186-0.0142353j -0.0205027-0.00991178j -0.0118772+0.000322631j -0.0241375+0.00902874j -0.0155827+0.00463645j 0.00920324-0.0141604j -0.00839286+0.00612369j 0.0197949-0.0101478j 0.014806+0.00973909j 0.0344924-0.0113799j -0.00750503-0.00118199j 0.0328991+0.0341637j -0.0450992-0.0163006j -0.030411+0.0639026j -0.0025517+0.0143558j 0.0271221-0.00750583j -0.0843689-0.0841774j -0.0164829+0.104519j 0.0752643-0.0760199j 0.0301088+0.0947592j 0.0743936+0.0340856j -0.0737195-0.0275403j -0.0138935+0.163523j -0.0688882-0.0663861j -0.126844-0.00504281j 0.0588835+0.0274786j 0.0270906+0.190762j 0.164884-0.0717253j 0.147029-0.0109724j -0.156116-0.0658572j -0.154256+0.200036j 0.0482715+0.135775j 0.149199-0.109829j 0.0303013-0.149108j 0.122367+0.0469562j 0.122124+0.116523j 0.0236301+0.147626j -0.0587186-0.124495j 0.0929525-0.0453663j 0.0681271-0.0901568j 0.0544647+0.000126774j 0.0572822+0.200454j 0.0403387-0.0244215j 0.0863943-0.0283756j -0.122439+0.034176j 0.0580443+0.0782259j -0.0228796+0.0277266j -0.0241659-0.0961096j -0.0163352+0.109222j 0.0757495+0.00700962j 0.00464119+0.170873j -0.0660336-0.142408j 0.036438-0.0562098j 0.0618399+0.0375514j -0.049115-0.0993207j -0.0517632-0.0167606j -0.0156819+0.0314612j 0.0484795-0.00872328j -0.0574864+0.0443208j 0.0499484+0.022373j 0.0332786+0.0306044j 0.0297894-0.0151573j 0.0247845+0.0837369j 
0.0182582+0.00531867j -0.0238767+0.00454775j -0.0490656+0.00225768j 0.0186144-0.00488417j 0.011472-0.00551356j 0.0174553-0.00223789j -0.0364797-0.0382709j -0.00529532-0.0133808j 0.0216644+0.0442114j 0.00270175-0.0326439j 0.0146663-0.0259343j -0.0162461-0.0362861j 0.0225096+0.00703925j 0.00114012+0.0193954j 0.00603326+0.0240615j -0.0139782+0.0112628j -0.000126232+0.0114447j 0.00241737-0.0180942j 3.66836e-05+0.000180311j -0.0040035-0.0219256j 0.0308376+0.0173506j -0.0200201-0.00536104j -0.00468145+0.00922246j -0.00931645-0.0167523j 0.0119394+0.00227435j 0.00977438-0.0236327j 0.00894112-0.00638054j 0.00385536-0.00429792j 0.00833463-0.00566338j -0.0184782+0.00812067j -0.00716658-0.00481811j -0.013913-0.0122339j 0.000172992+0.00838622j -0.00823617-0.00529908j -0.0030136-0.010418j -0.00268968+0.00604646j 0.0124205+0.00287824j 0.0132372+0.0182508j 0.0239447-0.0104224j 0.00304293+0.00958048j 0.00507105+0.0186379j 0.0105637-0.0112546j -0.0680123-0.0182907j 0.00658508-0.00964159j 0.0265997+0.00858001j 0.0644653+0.00776288j -0.0418063-0.082439j 0.0700352+0.0963088j 0.00391103+0.118939j 0.0732809+0.0323973j 0.0662591-0.156908j -0.0292154+0.00085707j 0.109276-0.0387752j -0.054563+0.000192583j -0.0127153-0.081884j -0.00556777-0.0414762j 0.0558653-0.210274j 0.00554712+0.0953461j 0.177439+0.06876j -0.0384469-0.111449j 0.15302+0.106416j 0.0343498-0.0338536j 0.0620833+0.00342046j 0.118304-0.137131j -0.0904246-0.130535j -0.10354-0.0789515j -0.107343+0.0592676j 0.0776462-0.00261938j 0.0516867-0.0101414j 0.098369-0.0926232j 0.00298858+0.0267661j 0.0758384-0.0273894j 0.0462854-0.0837844j 0.213958+0.00526316j 0.0249078+0.164226j 0.0736884-0.0430425j -0.0446355-0.0463691j 0.0286692-0.107078j 0.085967-0.142179j 0.0573264-0.144219j -0.098183+0.0317108j -0.0023009-0.0270403j -0.0329879+0.0752419j 0.00740299+0.0132425j 0.0560378+0.0358189j -0.0345303-0.0158692j 0.0253871-0.0156103j 0.00103622+0.037456j 0.0353466-0.0142437j -0.00152412-0.0125565j -0.0169634-0.0476711j 0.0265524+0.0525574j 
0.017753-0.00623922j -0.0134096-0.0333519j -0.0446342+0.0206008j 0.0207015-0.031515j -0.0106782+0.00961155j 0.0343252-0.0463042j -0.010251-0.0426082j 0.00333293-0.0140667j 0.0097443-0.0253275j 0.00341707-0.0195437j 0.034951-0.0287884j -0.0165114-0.00876886j 0.013361+0.0182079j 0.0193424-0.0245143j 0.00954272-0.0192762j -0.0218053+0.00302536j -0.0362695-0.0167252j -0.00445732-0.011593j 0.0386081-0.00411581j 0.00894305-0.0225598j 0.019539+0.0208873j 0.00358734+0.0122695j -0.00523004-0.0047796j -0.00767114+0.0145884j 0.0144934-0.00562517j -0.00185579-0.00711167j -0.00215063-0.00809343j -0.0101499+0.00595705j 0.0131805+0.000373104j -0.0162681-0.0134287j -0.0200944-0.0142857j 0.00510837+0.0195522j -0.0180652+0.0152637j 0.0052663+0.0109531j -0.00332662+0.00286909j -0.00834443+0.0042362j 0.00944548+0.00314142j 0.0196871+0.00664799j 0.0115763+0.00353517j 0.0125405-0.0199845j -0.0026994+0.0318758j -0.0134203-0.0332997j -0.0625573+0.0417358j 0.025049+0.0100798j -0.00216957+0.0298455j 0.135941-0.126928j -0.0370566-0.0558179j 0.0323811+0.126318j 0.0581525+0.0698826j 0.197144-0.152599j -0.0153098-0.0441032j -0.105266+0.0901056j 0.0905675-0.0407059j 0.070906+0.135639j -0.0151866+0.162726j -0.0343761+0.159139j -0.258473-0.0231148j -0.118034+0.00657451j 0.034166+0.163819j 0.123302+0.00720655j 0.00937076-0.00912122j 0.0772393+0.0876321j -0.0590387+0.0480221j 0.230497-0.0131268j -0.121023+0.224493j 0.118348-0.0956427j -0.0617416-0.114163j 0.127402-0.137193j -0.0481908-0.119114j -0.070692+0.123754j -0.0242946-0.0823096j -0.00947208-0.0401595j -0.00158125+0.00626067j 0.0773044+0.0309324j -0.045304+0.185909j -0.115643+0.081313j -0.0454307-0.0214911j 0.0100913+0.081843j -0.0116465-0.04327j 0.0870142+0.0439906j -0.0859451-0.0294202j 0.0666126-0.0712956j -0.0818797+0.0375344j -0.142688+0.00338092j 0.0180184-0.00527127j -0.0485664+0.00604971j -0.0345145+0.0422352j -0.00668768+0.0497096j 0.0762467-0.0537001j -0.0100319-0.0295308j 0.0130889-0.000784898j 0.0155989+0.0168542j 
