0.0915105+0.0450084j 0.156448-0.000429535j 0.126771+0.140528j 0.0244778-0.00175637j 0.0657442+0.0732847j 0.0242032+0.050786j 0.0503432-0.0836907j -0.00200783-0.0481182j -0.0362063+0.0761208j -0.0708297+0.087634j -0.106137+0.0319916j 0.0405269+0.0120322j 0.0308558-0.0754589j -0.0151102+0.00564867j -0.049364-0.00224536j 0.0503534-0.0925613j 0.199014-0.216586j 0.0785198+0.0186294j -0.266546-0.0122447j 0.0991976-0.087761j 0.00543623+0.13157j -0.114864+0.235978j -0.100793+0.0538593j 0.0454599+0.16241j -0.0481702-0.0462006j 0.149941+0.0376657j -0.0422109-0.13604j 0.0953558-0.117219j 0.284995+0.39697j -0.0154088-0.0841558j -0.155173+0.0037775j 0.0498214-0.00249218j -0.00486426+0.0239314j -0.0139678-0.0110256j 0.0456264-0.0275585j -0.033015+0.0171937j -0.0173642+0.037508j 0.0144595+0.010472j 0.0230515-0.00563033j 0.0431427-0.00218109j -0.0176441+0.00823444j -0.00903623+0.0222442j -0.00700597-0.00626695j 0.0232912-0.0240122j -0.0341281+0.00768996j -0.0248852-0.00802764j 0.00610488+0.00500909j -0.00402805-0.0210277j 0.00128831-0.00385926j -0.0269493-0.038231j 0.0578948+0.037468j -0.0211371-0.0411724j -0.0222203+0.00847392j 0.0156953+0.00328641j -0.0249528-0.0149179j 0.0363074-0.0195815j 0.0292099+0.0116001j 0.0509233+0.010682j -0.0873645+0.05103j 0.0352639+0.0223498j 0.00702537-0.104212j -0.0305495+0.063879j 0.00626891-0.0190888j 0.0485702-0.0274708j -0.0300225+0.0219442j 0.084934-0.00147929j -0.0523935+0.0814569j 0.132241+0.0787647j 0.072114+0.15887j 
-0.0687932+0.0515797j 0.0707561+0.0105569j -0.110744-0.0731381j 0.0991643-0.143662j 0.113397-0.0679535j 0.0404349-0.0209703j 0.0376434+0.079895j -0.0561252+0.102022j 0.37786+0.0224951j 0.00246287-0.177276j 0.0249142-0.00815137j 0.124269-0.10956j -0.0813134-0.118043j 0.106962-0.0513449j 0.0037864+0.0990387j 0.0170974-0.164124j 0.205487-0.180222j -0.0623627+0.156614j 0.106717+0.00389043j 0.189672-0.169354j 0.150562+0.199345j -0.0527061-0.0911411j -0.0852962+0.00780769j 0.176767-0.100046j -0.0698868+0.0432167j -0.00767449-0.0194699j 0.0203197+0.0468422j 0.0152431-0.0220703j -0.0508857-0.0982423j 0.0542621-0.0211476j -0.0221577-0.0113861j -0.0363685-0.0495038j 0.0364473-0.0365911j -0.000505205+0.00161246j 0.0341642+0.0337143j 0.0177659-0.0370203j -0.0250378+0.0298391j 0.0255824-0.0132566j -0.0167027+0.0188752j -0.00311168-0.00123572j -0.0282267+0.018713j 0.032781-0.00801419j 0.0118934+0.0433032j 0.0083128-0.0110193j 0.0140327+0.0243468j 0.0143722-0.010992j -0.00892356+0.0056354j 0.00529337-0.0135274j 0.0265177-0.00974996j -0.00161099-0.00326519j 0.00468704-0.0149831j -0.00743309+0.00338262j -0.00300491-0.00491297j -0.01908+0.0158621j 0.0194632-0.0120069j 0.0159035+0.00804577j -5.12137e-06+0.0060141j 0.00289946-0.0149231j 0.0101809+0.0186243j 0.00839306+0.0113733j 0.00265388+0.0186826j 0.0113292-0.000815601j -0.00389605-0.012685j 0.0205711+0.00438179j -0.00107288+0.0094638j -0.000847107-0.00378118j 0.000220951+0.00446228j 0.00548703+0.00793316j -0.0170764-0.0108031j 
-0.019148-0.0491287j -0.110438+0.10996j -0.109385+0.103206j -0.146947-0.0695527j 0.0225123-0.135101j -0.353819+0.0478273j -0.127876-0.249208j 0.132119+0.03339j -0.0108778+0.0656339j -0.18221+0.192022j 0.0103651-0.0920897j -0.179393-0.197531j -0.180671-0.211479j -0.0406142-0.0441971j 0.184245-0.087138j -0.055862+0.0188449j 0.0863589-0.218874j -0.12325-0.0438994j -0.0331541+0.0878475j -0.0153531-0.172029j -0.00182285-0.0260198j 0.00368605-0.0998707j 0.032272-0.0434865j -0.0344442+0.0729129j 0.00844717+0.0403327j -0.0704937+0.0851097j 0.0248351-0.081552j -0.0414213-0.037854j -0.0098461+0.0549266j -0.0431992+0.0280157j 0.0539046-0.0314952j -0.0624139+0.0407799j -0.0293543-0.0386827j -0.00156618+0.0445493j -0.0920173+0.0223186j 0.0298407+0.039468j 0.0131085-0.036987j 0.00681875+0.0175769j 0.0125222-0.037437j 0.010473+0.0246107j 0.00552093+0.0186723j -0.00683778-0.00352395j 0.0263322+0.015881j -0.0297037+0.0235978j 0.00331243-0.00555746j -0.00856369-0.0233176j -0.0033438+0.020382j 0.00590846-0.00162945j -0.0090635-0.00854244j -0.0193861-0.00426643j 0.0120218-0.00547826j -0.00089725+0.0029659j 0.00971672+0.00158451j 0.00677586+0.0100651j 0.0111055+0.00399173j 0.00248987-0.0069997j 0.0118328-0.00279745j -0.0137808-0.00179758j -0.000950836-0.00148061j -0.0042924+0.00612093j 0.00743785+0.00398074j 0.0134424-5.8789e-05j 0.00156422-0.0021329j -0.000547735-0.00284987j 0.00701236-0.00039128j -0.00416173-0.00562379j 0.0202019+0.00168824j -0.0313899-0.00705625j -0.00299551-0.0224534j 
-0.302804+0.236298j -0.0602436+0.264389j -0.0108785+0.024835j 0.10232+0.0576701j 0.0911179-0.0437197j 0.0823106-0.0164139j -0.154011-0.0527232j -0.189303-0.159701j -0.0610955-0.184764j -0.363864+0.149115j 0.0533687+0.202936j -0.0608153-0.120832j 0.190233+0.147401j 0.0647681+0.012938j -0.039291-0.0734292j 0.0332018+0.0077004j -0.0336469-0.130445j -0.0165492-0.0871571j 0.00474726+0.108705j 0.0154229+0.0662514j 0.0152392+0.174575j -0.00997186+0.135443j -0.0749706-0.105897j 0.00159484-0.0964268j -0.0372514-0.0506705j 0.0485249+0.0369963j -0.0601851+0.122746j 0.0042231-0.118698j -0.0054417-0.0228162j 0.190569-0.110253j 0.152747-0.177656j 0.0347578-0.00674519j 0.0152189-0.024515j -0.0122201+0.0220978j -0.0138809-0.0273105j 0.0259542-0.0038255j -0.00974802-0.0246153j -0.0116643-0.0296887j 0.00647676+0.00308014j 0.0116286-0.0290063j -0.00514609+0.0180586j -0.00861941-0.0320746j 0.0055794-0.0379361j -0.00638782-0.00647451j -0.0253147+0.00128884j -0.0112589+0.00472865j -0.00759167-0.0159306j -0.00862969+0.0312349j 0.0119742-0.000274348j -0.00862577-0.00511619j 0.0105434-0.010535j -0.0031141+0.00086504j -0.00518511+0.0137163j -0.00163053+0.00843869j 0.00186022+0.00565234j -0.00803433+0.00700193j 0.00590708-0.00294072j 0.00140009-0.00129665j -0.00873631-0.0056168j -0.000190115-0.00709047j -0.0161705+0.0132447j -0.00286346+0.00609991j 0.0115353+0.00496178j -0.0001087+0.0128905j -0.0140898-0.00194345j -0.00899272-0.000272519j -0.0147067-0.00430619j 0.0102405+0.0241677j -0.0373374-0.0105429j 
0.0622862-0.266382j -0.297509+0.243135j -0.0520195-0.0313799j 0.0152512+0.0105297j -0.0412772+0.146838j 0.139823-0.0594326j 0.0237227+0.138261j -0.0422058+0.395128j -0.0108196+0.0753542j -0.0213205+0.246215j 0.351659-0.0153914j 0.0617132+0.173099j 0.0272441-0.156005j -0.0271638-0.0759503j -0.016461-0.00591819j 0.0357124-0.00332955j 0.0342499-0.0869352j 0.0996876+0.0153059j -0.0353201+0.109611j -0.0358272-0.0254134j 0.0250421+0.0606326j -0.0627506+0.00262326j -0.0138848-0.142687j 0.0222445+0.0471628j 0.0191802-0.0649083j -0.041237+0.137669j 0.0059384-0.0828432j -0.00139254+0.00124386j 0.0234127+0.0906962j -0.141319+0.178936j 0.17883-0.120491j -0.0157152+0.0335459j 0.0325061-0.00264027j -0.0150781-0.0499696j 0.0192315-0.0133578j -0.00991208-0.0209721j 0.0246106+0.0205228j -0.0027787-0.0105799j 0.00567902-0.033441j -0.00102473-0.00888619j 0.0133721+0.0138262j -0.027473+0.00915017j -0.019981+0.00019022j -0.00223616-0.00410318j -0.00129687+0.0352929j 0.00541776+0.0358284j -0.0112374+0.00892348j 0.0152682-0.00722479j -0.00608103+0.000911613j 0.0127552-0.0077726j -0.00450492-0.0179076j 0.00170394+0.0020365j 0.00330938-0.0137748j 0.000801839+0.021118j 0.00244987+0.00113207j 0.00554852+0.00280023j 0.00100125-0.00372176j -0.00332324+0.0122458j 0.00126527-0.0098971j -0.00927957-0.00263728j -0.00710322+0.00654469j -0.00324555+0.0117355j 0.00637278+0.00489907j -0.0142932-0.00742279j 0.00844828-0.0015713j -0.0118816-0.00289185j 0.0139437+0.00523506j -0.0327203-0.0099291j -0.00493616-0.0228252j 
-0.0352528+0.0411949j 0.0805766-0.0382099j 0.054758+0.0194808j 0.0476588+0.0173312j 0.0442544+0.031788j 0.0435445-0.00747792j 0.00765896-0.0403739j -0.0124077-0.0161284j 0.0104573+0.0405869j -0.030077+0.0158779j -0.0654397+0.0103458j 0.00310699+0.0166208j 0.0289874-0.0245817j 0.00322223+0.00760165j -0.0280845+0.00997654j 0.0137723-0.0294331j 0.0776675-0.0687161j 0.0376833+0.0144175j -0.111511+0.00112471j 0.0410328-0.0277139j 0.0124101+0.0290093j -0.0446417+0.081074j -0.0452122+0.00988663j 0.00357471+0.0903556j -0.00570706+7.2376e-06j 0.0469744+0.0338113j -0.0127808-0.0549609j 0.0657816-0.0759501j 0.0958878+0.165762j -0.0477557-0.102486j -0.174697-0.00951271j 0.0960843+0.0867744j -0.0247145-0.0697513j -0.0290227-0.00606894j 0.030718+0.0388235j -0.0363856-0.0334381j -0.00272509-0.107509j 0.00776236+0.0014677j 0.00392517+0.00686506j 0.0326883+0.0316885j 0.085547-0.0311938j 0.0402527-0.0263548j 0.0110114-0.0153902j -0.0180884+0.0269788j -0.0393983-0.00548747j 0.0403871+0.00463229j -0.0329621-0.00693156j -0.0233128+0.0391354j -0.013725+0.00368378j -0.0164625+0.0958652j -0.036654-0.00503074j 0.0573086+0.00128275j 0.0173887-0.0306016j -0.074064+0.0686714j 0.00360899+0.0465002j -0.0528371+0.0952903j 0.00649053+0.0203393j -0.122361-0.0254154j 0.230677-0.0808241j -0.110516-0.104788j -0.0268766+0.239596j 0.066979-0.137318j -0.0754129-0.0356687j -0.0845415+0.0272336j 0.086027+0.0408189j -0.0621272+0.0366852j 0.119723-0.0436043j -0.256493-0.142122j -0.158001-0.321989j 
-0.0733981+0.0395443j -0.0319127+0.0457675j -0.0402019-0.0205801j 0.0418624+0.0176676j -0.00136612-0.00182988j -0.000677203-0.0290842j -0.03032-0.0227337j -0.0304241+0.0537617j 0.0259371+0.0246323j -0.00227103-0.0111857j 0.0153382+0.0736309j -0.0010047+0.00583062j 0.00762273-0.0357602j 0.0128753-0.0172401j 0.0178156+0.0462501j -0.0454494-0.0131246j -0.0671412-0.00279649j 0.00796575-0.0199701j -0.0434546+0.0579873j -0.0573992-0.0498737j -0.00129626-0.0496798j 0.0871636+0.031583j 0.0796919+0.0847525j 0.0432564+0.0134728j 0.057616-0.0252686j -0.00991514-0.0197715j -0.0497839-0.0396566j 0.104853+0.156502j -0.0724988+0.0796321j 0.178055-0.0119722j -0.0402597-0.0900151j 0.0364113+0.0473661j 0.0681602+0.07359j -0.00197968-0.0374762j 0.0278103+0.00234026j 0.0231797+0.109749j 0.00327727-0.0132159j 0.0486051+0.00806094j 0.0525151-0.0431203j -0.0132766-0.0396447j 0.00718343-0.114285j 0.0187393-0.030105j 0.00140011+0.00541697j 0.0289801-0.0464233j -0.00907534+0.100401j -0.029568-0.00109299j 0.000279776+0.0491719j 0.00758036-0.0260939j 0.0179986+0.0402334j -0.0273649+0.0937418j 0.0387045+0.0330529j 0.00314808-0.0364187j -0.0502237+0.0037957j 0.069009+0.00925808j -0.00541265-0.0377906j 0.0932635+0.0273007j 0.0522728-0.0515187j -0.105937+0.15603j -0.0690043-0.118665j -0.0602752+0.128238j 0.267314+0.0982929j -0.111225+0.0108979j -0.118402+0.0291707j 0.118042+0.0643568j 0.00147588-0.0298162j 0.129831-0.0488071j 0.0407358-0.0310802j -0.169219-0.319029j 0.266755+0.119211j 
-0.0078432+0.0190017j -0.0397275+0.0396044j -0.0145421-0.000612654j 0.0176249-0.0120343j 0.0230001+0.00240521j -0.0225579-0.0231613j -0.0234178-0.00263417j -0.0170196-0.0209378j -0.00648859+0.0205008j 0.0225976+0.0464942j -0.0204138+0.00122023j -0.0283484-0.0109454j -0.00440771-0.0217746j 0.0134436-0.0053015j -0.0230056+0.022329j 0.0033494-0.0100407j 0.0347454-0.0113375j -0.0132555+0.0261922j 0.0312898-0.0026945j 0.00962522+0.0453894j -0.0208112-0.0201933j 0.0201389+0.00461441j -0.0010213+0.0135321j 0.0428661-0.0169254j -0.00961311+0.0537623j -0.0309353-0.000863736j -0.00668096-0.0234588j 0.0266337+0.00840473j 0.00248713+0.00895185j 0.101023-0.0373917j -0.0544638-0.0128522j 0.0631106+0.00860056j 0.0101473+0.00325646j 0.0354646+0.0617406j -0.0107098-0.00951708j 0.00450216+0.0486796j -0.0717682-0.0170453j 0.00381077+0.0683418j 0.00367953+0.0100009j -0.02792-0.210084j 0.0348249-0.039563j 0.0547707+0.0157579j 0.0441279+0.0369325j -0.0957757+0.119552j 0.0461527+0.123502j 0.00100803-0.0964407j 0.0106282+0.0314974j 0.0785614+0.0614004j -0.0582422+0.0092646j -0.0801744-0.00199577j -0.106086-0.128317j 0.0827235-0.0691601j 0.104631-0.102983j -0.143373+0.176126j -0.0859843+0.022957j -0.00355839+0.0747984j -0.0837294+0.0621404j -0.101068+0.196847j -0.0730853+0.0267993j 0.275729+0.0650674j -0.134192-0.0515426j 0.104314-0.0365009j 0.0571529+0.123589j -0.166173+0.0543344j -0.165417-0.103847j -0.0507054+0.116088j 0.125604+0.0167227j 0.106768-0.0344486j 0.158834+0.189422j 
0.0375504-0.0411632j 0.000366473+0.031677j -0.00547304+0.0110094j 0.00410332-0.0131609j 0.0273318-0.00689496j -0.0274862-0.00489469j 0.00676033-0.00380513j 0.00595277-0.000655131j -0.0194177+0.00822673j 0.00941332+0.00637301j 0.0111173+0.00294246j 0.0117478-0.0042129j 0.00186569+0.00594123j -0.00580298-0.000999752j 0.0120197-0.00405787j 0.00208743-0.00610474j 0.00887412-0.0152175j 0.0114883-0.0577431j 0.000112831-0.0141792j 0.0321868+0.0217277j -0.0471935+0.0073657j 0.0435778+0.0126517j -0.014942-0.000997166j -0.0444557-0.0247007j 0.0335595+0.00516822j 0.0154703+0.0295391j -0.0109791+0.0154566j 0.0135535+0.00334291j -0.0199479-0.00231015j 0.0627292-0.0275863j 0.0830239-0.0235846j -0.0207124-0.0472302j -0.0202868+0.011198j 0.0370098+0.0240277j -0.15217-0.0875553j -0.0227718+0.0482953j -0.0157175-0.0428551j -0.0414875+0.0528876j -0.0389488-0.122085j -0.0496041-0.0422823j 0.0353022-0.0937676j 0.0119508-0.00167144j 0.0313569+0.0391321j 0.0367547+0.0178609j -0.0033645+0.0933746j -0.0174882-0.0153607j -0.0166303+0.0615807j 0.0518857-0.153812j 0.0304443+0.0913393j 0.141463-0.024836j -0.0650812+0.00571214j -0.0793097-0.0525515j -0.129615-0.120931j 0.0707414-0.00469846j -0.111618-0.0150715j 0.0270379-0.0362635j 0.0544985+0.102396j 0.120092+0.0121643j 0.159654-0.0197673j 0.168159-0.289253j -0.0319665+0.0407231j -0.192012-0.177627j -0.0568409-0.0730429j 0.0736727-0.0891096j 0.0108072+0.0807758j 0.165355+0.0881695j 0.00131613-0.12813j 0.157856+0.166886j -0.0906394-0.00117869j 
-0.0155173-0.0208123j 0.0276841-0.009934j 0.00138973+0.00871447j 0.0139871-0.0114988j 0.0211684-0.0226259j 0.012095-0.0150314j 0.0212879-0.0109245j 0.0050694+0.00196597j -0.0129371-0.0017978j -0.0102673-0.0154159j 0.00903891+0.0127741j 0.00497192+0.0245408j 0.0124167-0.00171954j -0.00323135-0.00390979j -0.0227868-0.0249346j 0.0326998-0.0304236j -0.0132105-0.00771674j 0.00633352+0.0129491j -0.0215725+0.0027363j 0.00548554+0.0064294j 0.014445+0.0236358j -0.0153352-0.0497671j -0.00135492+0.023955j 0.0195956-0.0106377j 0.0319805+0.00665878j -0.0415617+0.0029979j -0.00812199-0.0646139j 0.00638179-0.00193421j -0.00594887+0.0132417j -0.0403084-0.0188326j 0.00511985-0.0206376j 0.054509-0.0447451j -0.0406319-0.0133026j -0.0467125-0.00348094j -0.208745-0.0532563j -0.0562502+0.0487908j -0.0458325-0.0935014j -0.0249495+0.0823229j -0.0712603-0.0519228j -0.0614416+0.0813631j 0.0015989-0.0945522j 0.032419-0.0107353j 0.031342+0.00209596j 0.0631528+0.0581457j 0.00271988-0.0649584j -0.125565-0.0777591j -0.0662733+0.125084j -0.0284335-0.0841866j 0.154371+0.0860081j 0.0174339-0.00929494j 0.0472617-0.0768454j -0.151594+0.110782j 0.000606318+0.089478j -0.185729-0.0725152j 0.154557+0.0247875j -0.080844+0.129505j 0.220696-0.213175j 0.075398+0.0123572j -0.078532+0.0748289j -0.0260271+0.085331j 0.00014367+0.11766j 0.0998145+0.0511109j 0.143889+0.269232j -0.291261+0.159965j -0.282646-0.0912382j 0.0179599-0.0627775j -0.0480102-0.0947589j -0.0102398-0.0246416j -0.0752335-0.0155736j 
0.00958736-0.0190324j 0.0324628-0.0279287j 0.0174802+0.00123738j -0.00164398+0.00192924j 0.0185529-0.00574071j -0.0163953+0.00478675j 0.0127357-0.00781654j -0.0189951-0.0107038j -0.0191137+0.00604264j 0.0169193+0.00846439j -0.00573429-0.0156915j -0.00902303+0.0251126j -0.00866244-0.00804165j 0.0166229+0.0110141j 0.0138814-0.0281558j 0.00483006+0.04592j 0.0536456+0.0082678j 0.0393035+0.0115495j 0.0298331-0.0134904j -0.0302544-0.0347663j -0.0175908+0.0276897j 0.00694148+0.000604915j -0.0115195-0.00494513j -0.00410157+0.0289202j 0.0200747-0.0113727j -0.0247604+0.0272562j -0.0276253-0.0238136j 0.00130126-0.0257038j 0.0117292-0.000654443j -0.0563958+0.0131937j 0.05291-0.0156181j -0.0489429-0.0314445j -0.0640601-0.0136114j 0.0631117+0.0260763j -0.0668245+0.00673907j 0.0139631+0.00264753j 0.0243348+0.00360885j 0.0431004+0.138637j -0.0313577-0.0312635j -0.0499465-0.063928j 0.0501112-0.0544254j 0.0844822-0.0262403j 0.00301012+0.0320123j -0.169899+0.101806j 0.0236615-0.00958652j -0.0283176-0.0966622j 0.082517-0.194918j 0.0867839+0.0250028j -0.1654-0.176071j 0.124776+0.095163j 0.0737065+0.0218658j -0.126221-0.0116339j -0.0155814+0.174078j 0.0907171-0.0801781j 0.100429-0.0460209j 0.0269478+0.0793464j -0.029528+0.159565j -0.166488-0.0029474j -0.120627+0.206636j -0.0447645-0.132782j 0.180476+0.085937j 0.0651284-0.0578401j 0.0474577+0.174077j 0.0120646+0.191932j -0.129441-0.034672j -0.0542968+0.0210044j 0.0245978+0.0626508j 0.0359588+0.00554958j -0.0722344-0.0633327j 
0.0219877-0.0519091j -0.00953766+0.0142353j -0.0154184+0.0299932j -0.012881+0.000970121j -0.0181442+0.00382224j 0.00404411-0.00487578j -0.011389+0.00482239j 0.00678407+8.41127e-05j 0.0309088-0.0210954j 0.00803554+0.0244962j 0.0164851+0.0128079j 0.0260941-0.00754127j -0.0103531+0.0199178j 0.0215124+0.0120619j -0.0225795+0.00730583j -0.0444425+0.00347491j -0.0110297+0.0126859j 0.00735929-0.00396571j 0.0139044+0.00571451j 0.0104228-0.0276571j 0.00540055+0.0389109j -0.0202841-0.0187689j 0.00333284-0.0186732j -0.00213415+0.00377695j 0.0122603+0.0103948j -0.0035557+0.00344787j -0.0191445-0.00222824j 0.00341422+0.00207639j -0.00132322-0.0167644j 0.0584393-0.0364263j 0.0450559-0.0486019j 0.0136628-0.0669794j 0.0593331-0.00333564j -0.0752534+0.0113973j -0.0154894-0.0307196j -0.0452696+0.0129757j 0.0332538+0.0896897j -0.0819845-0.0303261j -0.081938+0.00155264j -0.00212959+0.00608105j 0.00861911-0.0456843j -0.0536727-0.0195412j 0.114781+0.142454j 0.100115+0.0716504j -0.149489+0.12875j 0.0452548-0.0161664j 0.119625+0.123941j -0.121605+0.0598371j 0.0472787-0.138502j -0.013276+0.120436j -0.0420389+0.0962564j 0.084285-0.166616j -0.0126731-0.0551078j -0.153385+0.0521085j 0.143276+0.239563j 0.0352427-0.20187j -0.168276-0.0613881j -0.126951-0.195774j -0.0664762+0.145343j -0.0329172-0.174606j 0.160646-0.00933311j -0.0695915-0.00492446j -0.00855473-0.000585612j -0.10194+0.163727j -0.00585656+0.0774805j -0.0212645-0.0815538j -0.0840674-0.00600146j 0.0521055+0.0406997j 0.0185527+0.00517285j 
0.0170691-0.0426277j 0.0121234+0.00659372j -0.0244756-0.00606964j 0.0224742+0.00665401j 0.0205626+0.00262517j 0.00174508+0.0243617j -0.00937825+0.00815955j 0.0132066+0.00699884j 0.0172457-0.0177013j 0.00131385-0.0113975j 0.030295-0.0274617j 0.00519314+0.00745227j 0.00561941+0.00685683j -0.0298668+0.0143961j 0.0190203-0.000997729j -0.0102592+0.0208239j -0.0348897-0.0257235j 0.0161296+0.0339754j 0.0077866+0.00362979j 0.00690119-0.0190722j -0.0344366+0.00322416j 0.00638609+0.00204575j 0.014149-0.00461898j 0.00465199+0.00330169j 0.00752862-0.0248385j 0.00185224+0.00999548j -0.0164177-0.00902337j 0.00741252-0.0032823j -0.0110467-0.00362445j 0.0237989-0.0381466j 0.0479787-0.0290204j 0.0127942+0.017669j -0.0480537-0.0163801j 0.0666979+0.00332221j 0.00837336-0.0769423j -0.00695229-0.0631545j -0.024375+0.0177195j -0.0111216-0.0217504j -0.106347-0.116007j 0.164951-0.0830665j 0.100213-0.0661702j 0.0665804-0.00917525j -0.116232-0.0433616j 0.121584+0.0222368j 0.0362523+0.141541j 0.100802-0.0175355j -0.0411038-0.0162093j -0.0832686-0.0563656j 0.0150927-0.0878175j -0.0726587+0.154019j -0.0135029+0.184616j -0.0689889+0.131216j 0.136648+0.0790228j 0.0184395-0.127626j 0.0695092-0.000603809j -0.140649-0.0842618j 0.188498+0.147252j 0.116658+0.109296j -0.0431202-0.137201j -0.0611367+0.159902j -0.228106+0.0129952j 0.184848-0.110614j 0.0659979-0.0301923j 0.165356+0.149995j -0.0402655-0.0224351j 0.0670265-0.0148668j -0.118008-0.0608356j 0.0616894-0.0234508j -0.0104042+0.00719331j 
-0.000843559-0.00948821j 0.0195673-0.00259135j -0.010329-0.0179444j 0.0274206+0.00750371j 0.0224299+0.00431068j 0.000567827+0.000917314j -0.0124533+0.00700795j 0.0204948+7.7039e-05j 0.026367-0.00358649j -0.0118064-0.0121512j 0.00411683+0.000195459j 0.00776396+0.012066j 0.0312312+0.0236371j 0.0113824-0.00324028j 0.0255949+0.027937j 0.0113953+0.0228508j -0.0141713-0.00723245j -0.015331+0.0213591j -0.025084+0.000495524j 0.0154312+0.00696392j 0.0136652+0.00382772j -0.0177846+0.00716072j 0.00530921-0.00131713j -0.00702273+0.0022675j 0.00402035-0.0168405j 0.000230527+0.00501137j -0.00332606-0.00964549j 0.00887549-0.00376956j -0.00953888+0.00764948j -0.0165375-0.0147541j 0.0177987+0.00228228j 0.0135018+0.0401663j -0.0733222-0.0213409j 0.0693349+0.00405783j 0.0158252-0.00451024j -0.0501844-0.0370628j -0.0377004-0.0573238j -0.107717-0.0592184j -0.0689166-0.116158j 0.0340236-0.0168624j 0.134373-0.0156955j -0.00483756+0.0263105j 0.0268742+0.0651843j 0.031759-0.0255106j 0.0189704+0.140023j -0.0697245+0.0489067j -0.0545336-0.215713j -0.00947736-0.076518j 0.168186-0.0756013j -0.0730915-0.00429838j -0.0308386-0.0197555j 0.034805-0.131115j -0.21142+0.143273j 0.117022+0.00438904j 0.187683-0.0170838j -0.0771032-0.125195j -0.103064-0.10071j 0.0234743-0.0577111j -0.0367466-0.15778j 0.122518+0.15793j -0.120848-0.0121125j 0.107997-0.0391622j -0.0143129-0.0831246j 0.125691+0.099001j -0.0227753-7.60583e-05j 0.0822315+0.0117994j -0.0727909-0.0489324j 0.0223503-0.0575897j -0.0226775-0.0126359j 
-0.0260196+0.0248395j -0.00859424+0.015271j 0.00106432+0.0110411j 0.00500686-0.0184491j 0.0153355-0.0125127j 0.0186864-0.00474603j -0.00387795+0.00910864j -0.033532+0.0158888j -0.0111273-0.00825316j -0.0267986-0.0242652j 0.000940464-0.0365383j -0.0241617+0.00345882j 0.00784319+0.00594575j 0.0282896-0.00284861j 0.00811069+0.000679324j 0.00930136-0.0261169j -0.0280416+0.00584844j 0.0114029-0.0191601j 0.0241216+0.0190394j 0.00980904-0.0391107j -0.00604815-0.0306038j -0.00500399+0.013855j -0.012085+0.0287099j -0.00389721-0.0100162j 0.0203116+0.00982222j -0.00835566-0.00254407j 0.0154422-0.00687596j -6.87408e-05+0.0109298j -0.00702025+0.00973269j -0.00542226-0.00583464j -0.0567112+0.0194819j 0.052759-0.00808942j 0.0182013+0.0134292j -0.0283882-0.00170894j -0.0899678-0.0422575j 0.00916181+0.0654454j 0.0140655-0.121755j 0.174911+0.1449j -0.0698752-0.0713277j 0.0146049-0.0555415j 0.0470086-0.0164561j 0.034972-0.0193113j -0.0464741+0.0659787j -0.00917882+0.057935j -0.0373198+0.038331j -0.00545739+0.0777901j -0.00970947-0.351515j -0.0328175-0.0701216j -0.131374-0.0706796j 0.0851242-0.112416j 0.0786556+0.0938186j 0.269096+0.164965j -0.0642833-0.0491578j -0.0731146+0.0736018j -0.0175776+0.12148j 0.0465557-0.154281j 0.12406-0.114034j 0.0895915+0.11254j 0.0640125+0.0225145j -0.0799995-0.0137707j -0.0564645-0.149621j -0.0566379+0.077302j 0.0433556+0.0722721j -0.0382602+0.0868392j -0.0175477-0.0160069j -0.015249+0.0453158j 0.0244369-0.0702329j -0.0242331-0.0412264j 0.00706489+0.0384764j 
0.0326636-0.0176823j -0.00667972+0.0266829j -0.029432-0.0235193j -0.0051496-0.00674348j -0.00879463+0.000170405j -0.0198437+0.00891819j -0.00749658-0.0123322j -0.00136021+0.00952745j -0.00588394+0.00304548j 0.00913893+0.0244162j 0.0189401+0.0359724j 0.00370834-0.0181184j -0.0318675-0.0167088j 0.0105253+0.000392608j 0.00687677-0.0260767j 0.0299877-0.0198678j 0.0381102-0.0169378j 0.024211+0.0159358j 0.00327923+0.0488959j 0.00550741-0.00289618j -0.0194682-0.00775319j -0.00967822+0.00784173j -0.0108218-0.00672713j -0.0187352+0.0130552j -0.0318108-0.015402j 0.0203968-0.00850611j -0.0095767+0.0200999j -0.0112721-8.51882e-06j 0.00246283-0.0183826j 0.0471562-0.0264091j 0.0333112+0.0300069j -0.00448788+0.0610515j 0.00582759+0.0696888j 0.087999-0.0486574j 0.11938+0.0659288j 0.0758322-0.0993344j -0.022655+0.0761321j 0.0348101+0.00868272j 0.0338987+0.016774j 0.0553336+0.0593376j -0.0201082+0.110359j -0.0542219+0.0516082j 0.0875484+0.0797255j 0.056495-0.0671722j 0.00575543-0.155405j -0.0145972-0.212881j -0.0357588+0.0583523j 0.200365-0.0185433j -0.0442067+0.0115318j 0.0705305+0.194483j 0.228624-0.0341264j 0.0532923-0.129776j -0.0773814-0.218686j -0.110586-0.151935j 0.115818+0.154128j -0.110436-0.00315215j 0.187889-0.0208228j -0.0188805-0.112947j -0.0387292+0.164048j -0.0601309+0.0684703j 0.0204677-0.0785355j 0.014505-0.159352j -0.00684718-0.0491616j 0.162191-0.00940895j 0.00415396+0.019483j 0.00853531-0.0453278j 0.0114049+0.0212877j 0.0122828+0.0556687j 0.0322255+0.00514431j 
