0.0247519-0j 0.138789-0j -0.00117257-0j -0.00703027-0j -0.00508419-0j -1.96247e-05-0j -1.12278e-06-0j -0.00237632-0j -0.0165685-0j 1.44377e-06-0j -2.85025e-05-0j 0.000120794-0j -0.000208719-0j 1.33968e-05-0j 0.000920987-0j 9.74967e-05-0j 0.000679779-0j 0.000437578-0j 4.24786e-10-0j 1.00921e-05-0j -4.32658e-06-0j -5.99509e-05-0j 
0.00017359-0j -0.140979-0j -1.23782e-05-0j -7.46116e-05-0j -0.000108477-0j -4.09623e-08-0j -3.9235e-09-0j -1.24779e-05-0j 0.0167218-0j 3.77087e-09-0j 7.12506e-06-0j 0.00580398-0j 0.000211625-0j 4.67344e-08-0j -0.000462351-0j 5.1195e-07-0j -0.000686068-0j 4.64397e-06-0j 5.53292e-13-0j 0.00147125-0j 2.17202e-06-0j 3.00964e-05-0j 
-1.43504e-05-0j -0.000121767-0j 5.09893e-07-0j -0.00119307-0j 4.46848e-06-0j -6.55002e-07-0j 1.6162e-10-0j 0.0144399-0j 0.100043-0j 3.00457e-08-0j 3.06653e-09-0j 2.49795e-06-0j 3.00457e-08-0j 3.72373e-07-0j -0.00739317-0j 4.07914e-06-0j 2.82611e-05-0j 3.70025e-05-0j 4.40855e-12-0j 1.04081e-07-0j 1.73063e-05-0j 0.000239804-0j 
0.000299278-0j 0.000834722-0j -7.0646e-06-0j 0.00817858-0j -3.06318e-05-0j 2.28302e-05-0j -6.76463e-09-0j -0.200066-0j 0.0144982-0j -8.36926e-07-0j -8.54184e-08-0j 3.62003e-07-0j -4.16286e-07-0j -7.76587e-06-0j -0.00107142-0j -5.65168e-05-0j 4.0956e-06-0j -0.000253655-0j -2.4624e-10-0j 1.50835e-08-0j 2.50803e-06-0j 3.47523e-05-0j 
0.0111352-0j -0.0020507-0j -0.00249999-0j -1.08531e-06-0j 0.000229967-0j -2.74203e-05-0j 0.000769557-0j 8.61643e-06-0j -8.42228e-07-0j -0.000145613-0j -0.275137-0j 8.55007e-05-0j 0.0427414-0j -0.000436909-0j 4.67344e-08-0j 0.000103397-0j -1.01067e-05-0j -9.84503e-06-0j -3.05451e-07-0j 2.16735e-05-0j 3.19969e-08-0j 4.43362e-07-0j 
0.000564048-0j 1.08531e-06-0j 0.0248061-0j -0.00208303-0j 1.16488e-05-0j 0.000268663-0j 3.89814e-05-0j -8.44234e-05-0j -4.26625e-08-0j -0.279474-0j 0.000145613-0j 8.86395e-06-0j -7.46205e-06-0j 0.00428082-0j -4.57902e-07-0j -0.00101308-0j -5.1195e-07-0j 9.64612e-05-0j 2.9928e-06-0j -1.88543e-09-0j 0.000123136-0j -4.34404e-06-0j 
1.26043e-06-0j -0.00206516-0j 1.30988e-05-0j -3.60549e-07-0j 0.000114792-0j -1.97944e-10-0j 4.15192e-09-0j -3.00457e-08-0j 6.05008e-05-0j -2.65569e-09-0j -1.52114e-05-0j -0.012391-0j 0.0141897-0j -3.29134e-08-0j -2.23424e-06-0j -3.60549e-07-0j 0.00072601-0j -3.27059e-06-0j -3.89665e-13-0j 0.199726-0j -1.52968e-06-0j -2.11958e-05-0j 
-2.62865e-05-0j 0.0141568-0j -0.000181485-0j 2.47159e-06-0j -0.00078691-0j 6.89934e-09-0j -1.73779e-07-0j 4.16286e-07-0j 8.76778e-06-0j 7.39745e-08-0j 0.000423713-0j -0.0017957-0j -0.196599-0j 6.86412e-07-0j -3.23786e-07-0j 4.99543e-06-0j 0.000105213-0j 2.24202e-05-0j 2.17648e-11-0j 0.0289443-0j -2.21681e-07-0j -3.0717e-06-0j 
8.79306e-06-0j 7.46116e-05-0j 0.000122822-0j -0.143201-0j -5.49482e-06-0j 4.01347e-07-0j -1.98742e-10-0j 0.000122258-0j 0.00084703-0j 7.23738e-06-0j -3.77087e-09-0j 0.000601705-0j -3.69468e-08-0j -4.57902e-07-0j 0.0045301-0j -5.01606e-06-0j -3.47523e-05-0j -4.55015e-05-0j -5.42114e-12-0j -1.27987e-07-0j 0.00835875-0j -0.000294883-0j 
-0.003731-0j -2.31146e-06-0j 0.00027038-0j 1.17086e-07-0j -1.23405e-05-0j 0.00757788-0j -0.333394-0j -1.87346e-06-0j 2.70423e-08-0j -0.00224631-0j 0.0443458-0j 5.76634e-08-0j 4.8128e-05-0j 0.000294305-0j -3.01669e-09-0j -2.24815e-05-0j 3.24507e-07-0j 1.0621e-06-0j 0.000905775-0j 4.81771e-09-0j -2.06539e-09-0j -2.86189e-08-0j 
0.000130788-0j -7.73889e-06-0j 0.000443552-0j -7.58253e-05-0j 0.0204881-0j 2.01081e-05-0j 2.1813e-06-0j 0.000295702-0j 4.57902e-07-0j 0.000161305-0j 1.64631e-05-0j 4.85678e-07-0j 2.61366e-05-0j -0.244837-0j -0.00121226-0j 0.00354842-0j 5.49482e-06-0j -0.000687822-0j 1.11331e-07-0j 2.02366e-08-0j 3.36488e-06-0j 4.66251e-05-0j 
6.35902e-06-0j 0.000108477-0j 6.60848e-05-0j -5.49482e-06-0j -0.14285-0j -3.01669e-09-0j 2.09469e-08-0j -4.57902e-07-0j 0.000305233-0j -4.04732e-08-0j 7.99008e-07-0j 0.000650862-0j 1.17632e-05-0j 0.000123726-0j 0.0083988-0j -5.49482e-06-0j 0.00366279-0j -4.98443e-05-0j -5.93856e-12-0j 5.43787e-05-0j -2.33126e-05-0j -0.000323028-0j 
-5.88773e-07-0j -4.99591e-06-0j -6.11871e-06-0j -4.89497e-05-0j -5.36217e-05-0j -2.68737e-08-0j -1.93944e-09-0j -4.07914e-06-0j -2.82611e-05-0j -3.60549e-07-0j -3.67983e-08-0j -2.99754e-05-0j -3.60549e-07-0j -4.46848e-06-0j -0.00030333-0j 0.0145902-0j 0.101084-0j -0.00044403-0j -5.29026e-11-0j -1.24898e-06-0j -0.000207676-0j -0.00287764-0j 
1.22789e-05-0j 3.42473e-05-0j 8.47752e-05-0j 0.000335554-0j 0.000367581-0j 9.36685e-07-0j 8.11755e-08-0j 5.65168e-05-0j -4.0956e-06-0j 1.00431e-05-0j 1.02502e-06-0j -4.34404e-06-0j 4.99543e-06-0j 9.31904e-05-0j -4.39586e-05-0j -0.202148-0j 0.014649-0j 0.00304386-0j 2.95488e-09-0j -1.81002e-07-0j -3.00964e-05-0j -0.000417028-0j 
-4.31075e-06-0j -5.27572e-10-0j 1.86523e-07-0j -5.16912e-09-0j -5.66249e-09-0j -0.00538733-0j 0.0365139-0j 1.24348e-07-0j 8.85268e-12-0j 0.000505801-0j 5.16231e-05-0j 9.38968e-12-0j 1.0991e-08-0j -3.27163e-05-0j 9.50169e-11-0j 1.49218e-06-0j 1.06232e-10-0j -4.68899e-08-0j -0.380804-0j 3.91237e-13-0j 6.50536e-11-0j 9.0141e-10-0j 
5.47297e-07-0j 4.64397e-06-0j 5.68768e-06-0j 4.55015e-05-0j 4.98443e-05-0j 2.49806e-08-0j 1.80282e-09-0j 3.79179e-06-0j 2.62703e-05-0j 3.3515e-07-0j 3.42061e-08-0j 2.78638e-05-0j 3.3515e-07-0j 4.1537e-06-0j 0.000281962-0j 4.55015e-05-0j 0.000315243-0j -0.144507-0j 4.91759e-11-0j 1.16099e-06-0j 0.000193046-0j 0.00267493-0j 
