0.00682819-0j -0.201164-0j -0.206139-0j 0.437094-0j 0.255456-0j -0.0478736-0j -0.000425216-0j 0.000901622-0j -0.0477589-0j -0.0339091-0j -0.0264458-0j 0.0221016-0j -6.98282e-05-0j -0.000483784-0j 0.00210807-0j -3.85736e-05-0j 0.00210302-0j -0.00445921-0j -0.00569254-0j -0.00261242-0j 0.0146052-0j -0.000267246-0j 0.0145702-0j -0.0308943-0j -0.0394391-0j -0.0180994-0j 0.030318-0j -0.0024485-0j 0.00712632-0j 0.00115661-0j -0.0169637-0j 0.0493726-0j 0.00437603-0j 0.0080132-0j 
0.0481551-0j -0.0211239-0j 0.0624527-0j -0.0147836-0j -0.00871315-0j -0.231027-0j -0.428118-0j 0.101343-0j -0.233421-0j 0.0836037-0j 0.125574-0j 0.0267118-0j -0.0478489-0j 0.00346746-0j -0.0620556-0j 0.0260081-0j -0.0626987-0j 0.0148418-0j -0.0279118-0j 0.00865775-0j 0.00449698-0j -0.00188472-0j 0.00454358-0j -0.00107554-0j 0.00202268-0j -0.0006274-0j -0.000614596-0j 0.0234985-0j -0.0683919-0j 0.00225859-0j -0.00170286-0j 0.00495615-0j 0.00848106-0j -0.000163673-0j 
-0.0264458-0j 0.0227688-0j -0.0226678-0j 0.0480644-0j -0.00954478-0j -0.12484-0j 0.155389-0j -0.329485-0j 0.12819-0j -0.0901141-0j -0.557702-0j 0.0292613-0j -0.0258561-0j 0.00187371-0j -0.0221623-0j -0.115508-0j 0.0227571-0j -0.0482537-0j 0.0153286-0j -0.00933195-0j 0.00160604-0j 0.00837051-0j -0.00164913-0j 0.00349679-0j -0.00111082-0j 0.000676257-0j 0.00333388-0j 0.0257413-0j 0.0150158-0j 0.00247416-0j -0.00186539-0j -0.00108815-0j -0.0460056-0j -0.000179294-0j 
-0.0344036-0j -0.0447907-0j 0.0147836-0j 0.00988966-0j 0.00622497-0j -0.489865-0j -0.101343-0j -0.0677944-0j 0.166764-0j 0.177272-0j -0.0897142-0j -0.0190838-0j -0.101458-0j 0.00735234-0j 0.0435976-0j -0.0185811-0j -0.0148418-0j -0.00992862-0j 0.0199412-0j 0.0183577-0j -0.00315938-0j 0.00134651-0j 0.00107554-0j 0.000719496-0j -0.00144508-0j -0.00133033-0j 0.00558205-0j -0.0167881-0j 0.0488615-0j -0.00161361-0j 0.00121658-0j -0.00354084-0j -0.0770289-0j 0.000116933-0j 
-0.000485962-0j 0.0290232-0j -0.029264-0j -0.0209072-0j 0.0362652-0j 0.163795-0j 0.00285541-0j 0.00204-0j -0.160781-0j -0.231418-0j 0.177588-0j -0.148416-0j 0.000482872-0j -3.49922e-05-0j 0.0290779-0j 0.000523534-0j -0.0285429-0j -0.020392-0j -0.0387332-0j -0.0360346-0j -0.00210719-0j -3.79389e-05-0j 0.00206841-0j 0.00147775-0j 0.00280688-0j 0.00261131-0j -0.00086917-0j -0.169594-0j 0.0193853-0j -0.0156978-0j 0.01229-0j -0.00140479-0j 0.011994-0j 0.00113757-0j 
-0.00141438-0j -0.0169302-0j 0.0170707-0j 0.0121959-0j -0.0211547-0j 0.476722-0j -0.00166565-0j -0.00119-0j -0.46795-0j 0.134994-0j -0.103593-0j 0.0865761-0j 0.00140539-0j -0.000101844-0j -0.0169621-0j -0.000305395-0j 0.01665-0j 0.0118953-0j -0.112732-0j 0.0210202-0j 0.00122919-0j 2.2131e-05-0j -0.00120657-0j -0.000862019-0j 0.00816936-0j -0.00152327-0j 0.000507016-0j -0.0193853-0j -0.0786773-0j 0.00915707-0j 0.00140479-0j 0.0057015-0j -0.00699652-0j -0.000663584-0j 
-0.685672-0j 0.120248-0j 0.117794-0j 0.0841559-0j 0.0495997-0j -0.0695428-0j 0.0170707-0j 0.0121959-0j -0.0702635-0j 0.0100611-0j 0.0151119-0j 0.00321456-0j -0.00712632-0j -0.0493726-0j 0.00122425-0j 0.00154857-0j 0.00123694-0j 0.000883712-0j -0.00415702-0j 0.000515499-0j 0.00848187-0j 0.0107288-0j 0.00856977-0j 0.00612254-0j -0.0288007-0j 0.00357148-0j 0.00349859-0j 0.00139915-0j 0.00567859-0j 0.000134481-0j 0.00969356-0j 0.0393424-0j 0.000504978-0j 0.000931708-0j 
-0.000175393-0j -0.0518711-0j -0.0105619-0j -0.0959284-0j 0.0130888-0j -0.292739-0j 0.00103057-0j 0.00936012-0j -0.058029-0j 0.413597-0j 0.0640949-0j -0.0535662-0j -0.000863001-0j 6.2539e-05-0j -0.0519688-0j 0.000188953-0j -0.0103017-0j -0.0935646-0j -0.0139796-0j 0.064402-0j 0.00376602-0j -1.36929e-05-0j 0.00074653-0j 0.00678033-0j 0.00101306-0j -0.00466701-0j -0.00223974-0j 0.011994-0j 0.00699652-0j -0.00566565-0j -0.00086917-0j -0.000507016-0j 0.0309071-0j 0.000410572-0j 
-0.0259592-0j -0.0233704-0j 0.0229027-0j 0.0163625-0j 0.0460456-0j -0.12819-0j 0.15253-0j 0.108973-0j 0.129466-0j -0.0847422-0j 0.563482-0j -0.312705-0j 0.0257941-0j -0.00186922-0j -0.0227571-0j -0.113383-0j 0.0229836-0j 0.0164203-0j -0.0141836-0j -0.0457528-0j 0.00164913-0j 0.00821649-0j -0.00166555-0j -0.00118993-0j 0.00102784-0j 0.00331557-0j 0.000680233-0j -0.0260081-0j -0.0151714-0j -0.0458034-0j 0.00188472-0j 0.00109942-0j -0.00938681-0j 0.00331923-0j 
-0.235588-0j -0.206139-0j -0.201932-0j -0.144267-0j -0.085028-0j -0.0238939-0j -0.029264-0j -0.0209072-0j -0.0241416-0j -0.0172476-0j -0.025906-0j -0.00551068-0j -0.0024485-0j -0.0169637-0j -0.00209872-0j -0.00265469-0j -0.00212047-0j -0.00151493-0j -0.00142829-0j -0.000883712-0j -0.0145403-0j -0.0183922-0j -0.014691-0j -0.0104958-0j -0.00989551-0j -0.00612254-0j -0.00599759-0j 0.0122406-0j -0.00139915-0j -0.000230538-0j 0.0848053-0j -0.00969356-0j -0.000865677-0j -0.00159721-0j 
0.0341085-0j -0.0139643-0j 0.0450808-0j -0.0106714-0j -0.00731833-0j 0.0836037-0j 0.604868-0j -0.143183-0j 0.0773587-0j 0.233663-0j 0.0906439-0j -0.249824-0j -0.0338916-0j 0.00245602-0j -0.0447941-0j -0.0367456-0j -0.0414481-0j 0.00981148-0j 0.039109-0j 0.00727179-0j 0.00324609-0j 0.00266284-0j 0.00300362-0j -0.000711007-0j -0.00283411-0j -0.000526964-0j -0.000443639-0j 0.0169621-0j 0.00989457-0j -0.0721195-0j -0.00122919-0j -0.000717028-0j 0.00612195-0j 0.00522628-0j 
-0.0243683-0j -0.0296097-0j 0.0106714-0j 0.00713874-0j 0.00522847-0j 0.177272-0j 0.143183-0j 0.0957836-0j -0.0552677-0j 0.495456-0j -0.0647591-0j 0.178483-0j -0.0718631-0j 0.0052077-0j 0.0314704-0j 0.0262523-0j -0.00981148-0j -0.00656349-0j -0.0279408-0j 0.015419-0j -0.00228056-0j -0.00190242-0j 0.000711007-0j 0.000475636-0j 0.00202479-0j -0.00111737-0j 0.00402933-0j -0.0121183-0j -0.00706902-0j 0.0515247-0j 0.000878177-0j 0.00051227-0j -0.0556024-0j -0.00373383-0j 
0.0596758-0j 0.0424693-0j 0.00871315-0j 0.00622497-0j -0.0517443-0j 0.0972789-0j 0.175787-0j 0.125589-0j 0.46929-0j -0.0409618-0j -0.0528756-0j 0.210236-0j -0.0592964-0j 0.00429702-0j -0.00865775-0j 0.0322303-0j -0.0417664-0j -0.0298394-0j 0.0136755-0j 0.0514153-0j 0.0006274-0j -0.00233563-0j 0.00302668-0j 0.00216237-0j -0.000991018-0j -0.0037259-0j 0.000258789-0j -0.00989457-0j 0.0287979-0j -0.0308105-0j 0.000717028-0j -0.0020869-0j -0.00357114-0j 0.00223274-0j 
0.0221016-0j 0.0512282-0j -0.00482184-0j 0.0102242-0j 0.0379506-0j -0.0265557-0j -0.129864-0j 0.275362-0j 0.288417-0j 0.248364-0j 0.0292613-0j 0.316341-0j 0.0216088-0j -0.00156592-0j -0.00471433-0j -0.0238104-0j 0.0512017-0j -0.108567-0j -0.0422472-0j 0.0371044-0j 0.000341633-0j 0.00172546-0j -0.00371043-0j 0.00786753-0j 0.00306152-0j -0.00268884-0j 0.000709176-0j 0.00547564-0j 0.00319412-0j 0.0752347-0j -0.000396803-0j -0.000231468-0j -0.00978621-0j -0.00545202-0j 
0.0312845-0j 0.027374-0j 0.0268153-0j 0.0191578-0j 0.0112912-0j -0.150089-0j -0.183821-0j -0.131328-0j -0.151645-0j -0.10834-0j -0.162728-0j -0.0346152-0j -0.0310856-0j 0.00225268-0j -0.0266448-0j -0.0337033-0j -0.0269209-0j -0.0192332-0j -0.0181333-0j -0.0112194-0j 0.00193087-0j 0.00244237-0j 0.00195087-0j 0.00139377-0j 0.00131406-0j 0.000813034-0j 0.000796441-0j -0.0304512-0j -0.0177632-0j -0.00292685-0j 0.0022067-0j 0.00128724-0j -0.0109904-0j 0.0002121-0j 
-0.00731824-0j 0.0304006-0j 0.00106312-0j 0.000759527-0j 0.092584-0j -0.00595042-0j 0.0430004-0j 0.030721-0j -0.168411-0j 0.422747-0j -0.00645151-0j 0.0229574-0j 0.0072717-0j -0.000526958-0j -0.00105636-0j 0.00788405-0j -0.0298975-0j -0.0213598-0j 0.0707567-0j -0.0919953-0j 7.65509e-05-0j -0.000571333-0j 0.00216658-0j 0.00154788-0j -0.00512752-0j 0.00666661-0j 3.15756e-05-0j -0.00120726-0j -0.000704238-0j 0.116402-0j 8.74867e-05-0j 5.10339e-05-0j -0.000435725-0j -0.00843531-0j 
