0.308022-0.484225j 0.364704+0.220655j 0.319763+0.345881j -0.254093-0.00181104j 0.323398-0.338859j 0.3735-0.211828j 0.297405+0.491935j 0.237851+0.0652988j 0.0359266-0.212585j 0.040529-0.133266j 0.0474548+0.146988j -0.107678-0.0110687j 0.197368+0.000398182j 0.107359-0.00713083j -0.0502632+0.145315j 0.0386548+0.130945j 0.0309559+0.213049j 0.237141-0.0605204j 
-0.0126342+0.0335345j 0.0299984+0.0706111j 0.0374303-0.00374541j 0.0149157+0.000686563j -0.0712393-0.00164146j 0.127104-0.0187206j -0.0422892-0.012201j 0.0055751+0.0431205j -0.0883863-0.0301675j 0.023013+0.0287618j 0.0129422-0.0430132j -0.00919702+0.0387646j 0.0228697+0.0485741j 0.0826964+0.0496727j 0.0196968-0.0871884j 0.0664117-0.00786133j 0.0786932+0.101002j -0.0718403+0.0691987j 
-0.00509199-0.0323493j -0.0762163-0.00896699j -0.0156428-0.0591499j -0.081102-0.0876309j -0.00181254+0.015399j -0.0610429-0.0587668j 0.0248377+0.0471725j 0.0280082+0.0120291j 0.0239417-0.0289099j -0.0299149+0.0150537j 0.0597965-0.0610076j 0.00484841-0.0204028j 0.00640937+0.00966323j -0.0778517+0.16717j 0.0483497+0.0574517j -0.00421651+0.014774j -0.0282932+0.0136669j -0.0277098+0.0039288j 
-0.0460681-0.0139356j 0.0266061+0.0102391j -0.0197842-0.0317408j 0.0158048-0.0774138j 0.0602677+0.0236348j -0.00372805-0.0279044j 0.0472765+0.0286259j -0.0513786+0.0353635j -0.0181762-0.0237159j -0.0137077-0.031051j -0.0268291+0.0586917j -0.093666+0.0118739j -0.0466396+0.000176086j -0.0295286-0.0997645j 0.0381017+0.0112636j -0.00542142+0.0194957j -0.0564526+0.0487677j -0.0386832-0.0268282j 
0.0382406+0.0200559j 0.0593403+0.0309391j 0.0224619-0.0566714j -0.0192857+0.00575209j -0.0677852+0.0892247j 0.0390309-0.147611j -0.0436192+0.0537317j 0.0031545-0.00931538j 0.0344429-0.00583745j -0.0495238-0.0114738j -0.0377876+0.00658967j 0.0364572+0.0105961j -0.0339642-0.0547629j -0.0113725+0.0956512j 0.0467065+0.0749745j -0.0691997+0.0290461j -0.0636344-0.0163462j 0.0426985-0.037362j 
0.0617053+0.0276463j -0.017314-0.00363434j 0.0360085+0.0523674j -0.0976162+0.0849325j -0.057152+0.0172663j -0.0215358-0.0248134j -0.0654274-0.0170797j 0.0972873-0.0158224j 0.0328629+0.0508541j -0.0364808+0.0120761j -0.0136123-0.0371001j -0.191064-0.0123706j -0.0036154+0.050234j -0.0265894+0.0167929j 0.126095-0.00496539j 0.00619155-0.00554246j -0.00642175-0.0425469j 0.0295047+0.0538571j 
0.0100727-0.0341213j -0.0584525+0.0215784j -0.0288537-0.0367045j -0.0505636+0.000363103j -0.0282293+0.0371123j -0.0592257-0.0206575j 0.0112754+0.0344987j -0.0100344+0.000158015j -0.0135485-0.00668596j 0.00816409-0.00518931j -0.0356618-0.00248717j -0.0654008-0.0423592j -0.0187855+0.000829016j 0.0622773-0.0437786j 0.0357776-0.00275429j 0.00829581+0.00506974j -0.0137005+0.00714801j -0.0107219+0.000577525j 
0.0660083-0.0184646j 0.0155146-0.0284008j 0.0593114+0.0184087j 0.0984633+0.0843666j -0.0356192+0.0496699j 0.0156649+0.00202682j -0.0611368+0.0279354j -0.0290137+0.0552326j 0.00474295-0.040342j -0.00511641-0.00490892j 0.128538+0.00521675j -0.0248898-0.0183363j 0.00520158+0.0512227j -0.190241+0.0115199j -0.0152255+0.03607j 0.039786+0.0111745j -0.0284803+0.0511021j -0.0985749-0.0140859j 
0.0397883+0.0509194j -0.0420598-0.151225j 0.0657824+0.0874359j 0.0193471-0.00375772j -0.0193342-0.0595088j -0.0603411+0.0334808j -0.0326702+0.0191823j -0.0433967-0.0378242j 0.0622942-0.0146139j 0.0708852+0.028416j 0.045985-0.0755244j -0.00988642-0.0933079j 0.0344244-0.0549765j 0.0360747-0.0138724j -0.0407632-0.0077852j 0.0493787-0.0118776j -0.0326581-0.00630058j -0.00206874-0.00893996j 
-0.0487453+0.0275886j 0.00889831-0.0230345j -0.0619698+0.0207412j -0.0151935-0.0779168j 0.0203166-0.0293963j -0.0231001+0.00695752j 0.0470697-0.0149138j 0.0379031-0.0276459j 0.0559744+0.0477726j 0.00515624+0.0186954j 0.0364982-0.00804808j -0.0293081+0.104558j 0.0463758+0.000445012j -0.095297-0.0109308j -0.0253876-0.0579883j 0.0115252-0.0308475j 0.017016-0.0242695j 0.0522179+0.0337183j 
0.0241192-0.0459449j -0.0620659+0.0568663j -0.00153368-0.0141512j -0.080918+0.0876643j -0.014023+0.0577747j -0.0777498+0.012237j -0.00326212+0.0324317j -0.0274411-0.00306793j -0.0284299-0.0141134j -0.00491049-0.0166143j -0.0480616+0.0590834j 0.0799462+0.165589j 0.00575388-0.0106296j -0.00505826-0.0201457j -0.058692-0.0600549j -0.0304076-0.0141983j 0.0234396+0.0294958j 0.028297-0.0118373j 
0.0380098-0.0125243j -0.129662-0.0177555j 0.0685258-0.00229071j -0.0181502-0.00419699j -0.0364267-0.00667462j -0.0281651+0.0709243j 0.0148033+0.030698j 0.0750256+0.0655813j -0.0756315+0.102974j -0.0689747-0.00369896j 0.019257+0.0881692j 0.081466-0.046869j -0.0210344+0.0496541j -0.00607116-0.0367149j 0.0156046+0.0404343j -0.0239824+0.0297063j 0.0874622-0.0315386j -0.00228659+0.0424586j 
-0.0178476-0.0582232j 0.032222+0.0873726j -0.0297186-0.0318843j 0.0080153+0.105518j 0.0331128+0.0588872j -0.0317654+0.00965457j 0.0036454+0.0240065j 0.0190428+0.0512817j -8.76646e-05+0.0709959j 0.0199709-0.000335637j 0.077029-0.0168153j 0.0393059-0.142129j 0.00335806-0.0205501j -0.0329526-0.0637187j -0.0500525+0.0563248j 0.0316246-0.00943225j 0.0550728-0.0295458j -0.0122643+0.0397219j 
-0.0207125-0.00345122j 0.0520356-0.00706567j -0.0239221+0.0130614j 0.0329159+0.029761j 0.0299206+0.00317332j -0.0184173-0.00342857j -0.00252248+0.0056944j -0.0221717+0.0857579j -0.0408409-0.0697688j 0.0104451-0.104854j -0.0899451-0.0580112j -0.0774953-0.00466327j -0.0839983-0.0343744j -0.0447687-0.00051925j -0.00792364+0.0968639j -0.0348117-0.0621536j 0.0179474+0.0323733j -0.0152165+0.0128719j 
