-0.137115-0.493004j 0.607-0.363274j 0.00154036-0.158316j 0.596746+0.379001j -0.149765+0.487709j 0.163683-0.140923j 0.252176+0.16242j 0.0358185-0.127837j -0.0013403+0.239259j 0.0345599+0.126145j -0.253583+0.158221j -0.160432-0.141983j 0.0449432+0.0455041j 0.040178-0.0553249j 0.0908186-0.132622j 0.0589901+0.0542498j -0.180203-0.0627923j 0.027433-0.0693292j -0.0849253-0.0676523j 0.011135-0.0499768j 0.0161535+0.0941094j -0.00794698+0.0452252j -0.04197+0.0751424j -0.0387515-0.07922j 0.00663301+0.0451787j 0.0197751-0.0911385j 0.00871055+0.0515518j 0.0876907-0.065602j -0.0255717-0.0682272j 0.183102-0.0576083j -0.0546313+0.0513043j 0.0860053+0.134455j -0.0395925-0.055288j -0.0447179+0.0447187j 
-0.0269196-0.00852615j 0.0428067-0.111822j -0.0718358+0.10092j -0.0925962+0.0781569j -0.0157822-0.0231296j 0.0517222-0.0584663j 0.000618904-0.0222584j -0.0785721-0.1202j 0.0657666-0.0949844j -0.140336-0.0325454j 0.0214479-0.00822655j 0.036807-0.0680152j -0.0149311-0.0349968j 0.020593-0.00728606j -0.0234126-0.0712987j 0.0317554+0.0156791j -0.0620143+0.00206086j -0.0510953+0.0332047j -0.00433007+0.048408j -0.0267005-0.0584945j -0.0818062+0.012057j -0.148554-0.0658308j 0.180713-0.00366271j 0.0520265+0.17074j 0.111162+0.119531j -0.0170901-0.0838992j -0.0641133-0.00925159j -0.0461289+0.0213576j -0.0148969+0.0585406j 0.0184738+0.0580785j -0.0244566-0.0237787j -0.0749169+0.000446979j -0.000238608-0.0214622j 0.0382318+0.00302736j 
0.0335482+0.0319912j 0.0881864-0.14279j -0.0162607+0.0933915j -0.0332278-0.0214413j -0.0608637-0.048061j -0.100198+0.0332662j 0.0398495+0.091517j -0.0140984+0.0590331j -0.044098-0.0158637j 0.0224945+0.0117054j -0.072257+0.0265133j 0.0155039+0.0918458j 0.0333031+0.0926127j 0.0319375+0.0844737j -0.0156819+0.105497j 0.00707234+0.00749922j 0.0510687-0.00636893j 0.10284-0.0527602j 0.078658+0.102088j -0.123713-0.015215j 0.101208-0.0781672j 0.0953633+0.170194j -0.0451269+0.117212j 0.0679226-0.188849j 0.0717546-0.0833383j 0.0371991-0.0450265j 0.0172379+0.133121j 0.109249+0.0674439j -0.00584785-0.0413124j -0.00173054-0.00701379j -0.0142217-0.0639859j 0.0486375-0.0716772j 0.00898078+0.0608994j -0.0176079+0.0236376j 
0.0483814+0.0350175j -0.0540597-0.029742j 0.0784014+0.0351179j 0.0890933+0.0285211j -0.0151739-0.0385698j -0.0320058+0.0165363j 0.0314039+0.0452867j 0.0511135-0.0192355j 0.0137093+0.0507216j 0.0260839-0.0569791j -0.0393695-0.0162781j 0.029797+0.0720044j 0.0446159-0.184481j 0.00396685+0.00478797j -0.0495796-0.0495769j 0.158784-0.0124482j 0.126021-0.0738871j 0.114022+0.113083j -0.100737-0.00655865j -0.129322-0.183134j -0.0927226+0.00759476j -0.0378436-0.0657796j 0.0372329-0.105092j -0.0254304+0.198759j 0.0661899-0.0780809j 0.0788199-0.123097j -0.0670011+0.0114074j -0.0698809-0.0991721j 0.0914538-0.108222j 0.0484125+0.120101j -0.00962895+0.0635831j 0.0486421-0.054824j 0.0593839-0.0526617j -0.0138935+0.0805818j 
0.0190761+0.00967749j -0.0155045+0.0545605j 0.030905-0.0264748j 0.0715856-0.0134898j 0.00704183-0.0239276j -0.0811681-0.0911074j -0.052269+0.0611616j -0.122583-0.0591791j 0.0654775-0.0868407j -0.0840877+0.00516932j -0.0993371-0.0447715j -0.0310557+0.0289633j 0.0995143+0.158632j 0.0727325+0.105505j -0.00665741-0.0404276j 0.00550014+0.136763j -0.0360122+0.0492914j -0.0881953-0.0132749j 0.19115+0.0728503j 0.00561903+0.128988j -0.0210874-0.102649j 0.0164116-0.0248483j 0.00134659+0.333864j -0.0594487-0.0649239j 0.0363544-0.0589178j -0.11628-0.0565768j 0.0221815+0.0181811j 0.110751+0.0604537j 0.0523198+0.0919791j -0.0379084+0.0395471j -0.0400853-0.0922895j 0.0328629+0.00344498j 0.0208347+0.0726519j -0.0304511+0.000950838j 
-0.00393399-0.00377478j -0.0103434+0.0117591j 0.0184926-0.0154629j -0.00878247+0.0286614j 0.050964+0.0100751j -0.0175311-0.00481425j -0.0141188+0.0350121j -0.0134637-0.0557705j 0.0655126+0.0624516j 0.0144376-0.0379416j -0.00874112-0.0773665j 0.0182774+0.0413349j -0.0273926+0.00729625j -0.0040988-0.0368312j -0.0113998+0.00602495j 0.0394553+0.0427414j 0.0132325-0.00423314j -0.0700743-0.0428401j 0.0493332-0.0159888j -0.0193607+0.0264052j 0.085361-0.0137189j 0.0533592+0.0357847j 0.021249-0.0303662j 0.0312099+0.0939264j 0.00383808-0.00288898j -0.00641633-0.0353111j 0.0329944+0.0688815j 0.0497223+0.0657893j -0.0078486-0.019583j 0.073068-0.0105728j 0.0718281+0.00565103j -0.0521554-0.0113217j 0.0309065+0.0507298j -0.106847-0.00994469j 
-0.00586686-0.0120891j -0.0101943+0.00447847j -0.000239895-0.059555j 0.00565579+0.0491905j 0.0513071-0.0484288j -0.025045-0.0195899j -0.0426695+0.0249684j -0.0555444-0.0185004j 0.0961531-0.00702627j -0.0417319-0.0101171j -0.103014+0.0174025j 0.0616233+0.0110584j -0.0183382-0.020437j 0.0577344-0.0257454j -0.0234428-0.00553408j -0.0418246+0.0138348j -0.00525864-0.0509703j 0.0047312+0.0293911j -0.0304921+0.0011375j 0.0234399+0.000697594j -0.00776539-0.0519945j 0.0607465-0.00253471j 0.0214416+0.0295076j 0.019669-0.024613j -0.00179585+0.00165048j 0.0232097+0.0437197j 0.088944-0.0851557j -0.00687743-0.0984882j 0.0777773+0.0098705j -0.0196779-0.00855827j -0.042058+0.0091939j -0.00535135+0.000383448j -0.127547-0.0243028j 0.011471-0.0473497j 
0.00487318+0.022167j 0.0451188+0.0408093j 0.0520458+0.0294075j 0.0199594-0.0135052j 0.0827936-0.0170864j 0.0187344+0.0292177j 0.0803248-0.0255309j -0.00938624-0.0337252j 0.00324468+0.0373124j 0.00233861-0.0520037j 0.00541748-0.125533j -0.00587093+0.0261662j 0.0141674+0.0204859j -0.0193021+0.029576j 0.0261227+0.0150027j 0.0120791-0.0644881j -0.0301742+0.0213503j -0.00110952+0.020507j -0.0400268-0.00115457j -0.00670998-0.0152981j 0.0110487-0.0107326j -0.0381479+0.00935324j 0.00247636+0.029462j 0.0283522+0.0075097j -0.0260861+0.0303989j 0.0125775+0.0641827j -0.0129087+0.0553322j 0.0666538-0.00961274j 0.0112081+0.0125021j -0.0623837-0.0191599j 0.0340611-0.0290369j -0.0182884+0.0484274j 0.0576816-0.0365512j 0.0342074+0.0487486j 
0.012978+0.00826061j 0.0317517-0.0177467j 0.0490265+0.0570719j -0.0337468-0.0613248j -0.0362009+0.0447358j 6.57497e-05-0.00306297j -0.00437796-0.0458598j 0.00119927-0.00769029j -0.018195+0.0585215j -0.020961+0.0130148j -0.00667769-0.0180616j 0.00794988+0.00549546j -0.052469+0.0233848j 0.0433138-0.055984j 0.00366427-0.0162232j -0.0278926-0.0267502j 0.0260051-0.0198102j -0.0148848+0.00249989j 0.0814956-0.0165506j 0.0513593+0.0419951j 0.0357173+0.0401081j 0.0102058+0.0532512j 0.00664691+0.0065517j -0.0313333+0.00886577j -0.0758616+0.00904132j -0.0352127+0.0371009j 0.17429+0.00254072j 0.0158864-0.0758566j 0.0370579+0.0565716j -0.00593596+0.0358004j 0.00574547-0.00559645j 0.0562672-0.0216913j -0.0866141-0.00906856j -0.0526357-0.0689741j 
0.0255476-0.0180211j -0.0748705-0.00825342j -0.061455+0.00652355j -0.0177492+0.0172139j -0.011149+0.0852629j 0.0265741-0.034721j 0.0174806+0.0311238j -0.0138696-0.0318793j 0.00883041-0.0744073j 4.19687e-05-0.0913191j -0.0638779-0.0451158j -0.00113423+0.0531282j 0.00631989-0.0339866j 0.0112221+0.0260877j -0.0151217-0.0493192j 0.00711838+0.0124998j 0.0394107-0.044535j 0.00356495-0.0228649j 0.00521511-0.0715641j 0.0288234+0.0192599j -0.0440257+0.0166556j -0.038226+0.00466246j -0.0667234+0.0153903j -0.0654035-0.0161457j -0.0602883-0.0482582j -0.13218+0.031783j -0.10218-0.0582188j -0.0437231+0.0461144j -0.0372695+0.065187j 0.0247865-0.0268379j -0.0518016+0.0319545j 0.0280805-0.066035j -0.0179557-0.0526108j 0.0416109-0.0100372j 
0.0489539-0.0093025j 0.00305731+0.00971454j -0.00578223-0.0134839j 0.00894857-0.00392697j 0.0699139-0.0335511j 0.0167072-0.0341571j -0.0179193+0.011895j 0.0216301-0.00758958j -0.0521444-0.0208984j 0.0234622-0.0329797j 0.0143734+0.00737268j -0.0260237+0.0262489j -0.0180001-0.0173857j 0.0239321-0.0357373j 0.00491269-0.0439087j -0.0138194-0.000971804j -0.0244205+0.0387799j -0.0500165-0.00409521j -0.0305565+0.0220133j -0.028514+0.0234804j -0.0305477-0.0843651j -0.0110387+0.0477178j 0.0607023-0.0191535j 0.0617762-0.00521305j -0.0499727+0.074679j 0.0912994+0.0599307j -0.072841+0.0324086j 0.0232627-0.0509511j 0.00184449-0.0783661j -0.0503402+0.057572j 0.0533645-0.0481059j 0.0272982+0.0701031j -0.0290833-0.00727195j -0.00669072-0.0253828j 
-0.00612779+0.00121561j 0.0369359+0.00130903j 0.0265479-0.050351j 0.012097+0.0158047j 0.0361527-0.0818423j -0.020929+0.0155762j 0.000226717-0.0190454j -0.0657743+0.00708147j 0.0488268+0.0439667j -0.0309911+0.0130208j -0.0549046-0.00069498j 0.0513696-0.0221274j -0.00974322+0.0220104j -0.0316621-0.0283078j -0.00510952+0.0383357j 0.0231846+0.029073j 0.0140067-0.0028012j 0.0394716-0.0249879j 0.0507618-0.0222932j -0.00534017+0.0347948j -0.00425977-0.0137484j -0.00865435+0.122652j -0.0409973-0.0214671j -0.125117-0.00590431j 0.0240794-0.000574438j -0.0444239-0.0824428j -0.0748755-0.0496381j -0.0959358-0.0131937j -0.0381846+0.0406182j 0.0553981+0.0279698j -0.0260497+0.0434658j -0.00333518-0.0628719j 0.00768513+0.0526764j -0.0521858-0.0211709j 
-0.0455425-0.000662356j -0.0227286-0.0240837j -0.00659026-0.0254536j -0.0237745+0.0271994j -0.0669248+0.0393652j -0.0305487+0.0296152j -0.0172201+0.0136617j -0.0134628+0.00686395j 0.0200368+0.0803264j 0.0299541+0.0419234j 0.0604067+0.00681994j 0.00855769-0.0318262j -0.00958943+0.0246501j -0.00445895+0.00960508j 0.00647933+0.0511041j 0.0271334-0.0478094j -0.0305569-0.0113168j -0.00568113+0.0413788j -0.0406688+0.010324j -0.0356892+0.0354117j 0.0110436-0.119834j 0.0117819+0.0955598j 0.00059153+0.0246203j 0.0217158-0.0148217j 0.00758335+0.0159973j 0.0110892+0.0247511j 0.0249581+0.030479j 0.0835813-0.111385j 0.0223842+0.038885j -0.0466188-0.0358741j 0.00967642-0.0320079j -0.0529051+0.0622737j 0.0146362-0.0502248j 0.00572304+0.0324122j 
-0.00308777-0.0275923j -0.0492085+0.0277724j -0.0806366-0.0232966j 0.0332432+0.0474018j 0.0224723-0.0250733j 0.0149036-0.0273184j 0.0165043-0.0345696j 0.0166191-0.016653j -0.0707703+0.0251459j -0.0213667-0.0371385j -0.00392896-0.0295421j -0.00672822+0.0356346j -0.00439195+0.0225903j 0.00992669+0.0346268j -0.0231736+0.076949j 0.0290375+0.0365899j -0.0400946-0.0623168j 0.0186855-0.00224277j 0.0199991+0.0935078j -0.0473476-0.0438497j -0.00390905-0.0218942j 0.0950247-0.0266082j 0.0126941+0.00115967j -0.0120314+0.0237046j 0.0127397-0.120966j -0.0788478-0.0843456j 0.0876695+0.0232479j 0.0186815+0.00181179j 0.0612103+0.0306712j 0.0424399-0.0730934j -0.0349534+0.066596j -0.0981308+0.00671408j -0.0142526+0.0382293j -0.0245056-0.00411169j 
0.0134233-0.0387746j -0.0370979+0.0262198j -0.0600836-0.000202826j 0.0168597+0.0245158j 0.0306598-0.0214853j -0.0292984+0.0273599j 0.00282504+0.0451369j -0.0279549+0.0298255j 0.0547467-0.0330525j -0.000453501+0.032138j 0.00481409+0.0492746j 0.0197632-0.0429932j 0.0172353+0.0440491j -0.0100404+0.0148235j -0.0228909-0.0624474j -0.0264186-0.0390515j 0.00182074+0.0334954j -0.0487346+0.0371218j 0.0603729-0.0118004j 0.0207927-0.0775437j -0.0442712+0.103481j -0.0377369+0.0388496j -0.0230754-0.0367369j -0.0140204+0.0183286j -0.165915+0.147197j -0.029955+0.0898763j 0.0428052+0.121934j 0.0262991+0.0435336j -0.0205105+0.0200227j -0.000259192+0.066131j 0.0105273-0.0684133j 0.0816072-0.046847j 0.0385401-0.0137545j 0.00498458+0.0178963j 
-0.0221452-0.077159j -0.0490518-0.0153393j -8.13056e-05+0.0265337j -0.0483536+0.0177469j -0.0202797+0.0759737j -0.038803-0.0199412j 0.071476+0.0014804j -0.0872794+0.00461266j -0.00195604-0.0327313j -0.0881113-0.00484158j -0.0713194+0.00149801j 0.0398-0.0187816j 0.00900404-0.00595734j -0.0174686-0.000829611j 0.0212229-0.0288206j -0.0241287-0.0280785j -0.000416351+0.0777901j 0.0102858-0.0345221j 0.0025757+0.0252371j -0.0140712-0.0516332j 0.0542698+0.029464j -0.0199015+0.0574754j 0.0446339-0.0242519j 0.0450167+0.0235497j 0.0173233+0.0599881j 0.0547784-0.0267032j -0.0155217+0.0507768j -0.00337936+0.0280804j -0.0120412-0.0345556j 0.000476111+0.0799139j 0.023779-0.0274477j 0.0226789+0.0252879j 0.0170723-7.31684e-05j -0.00864507-0.00600219j 
-0.0404156+0.120611j -0.0308707+0.027321j -0.0096151-0.00205545j 0.0244242+0.0360642j 0.00751443+0.125112j 0.0344018-0.00817277j -0.070266-0.0709709j 0.020387+0.0144618j 0.0047668+0.00187624j -0.0243232+0.00917271j -0.0854032+0.0508189j 0.0332272+0.0164588j -0.00172449-0.00767912j 0.014876-0.0244183j -0.0281479+0.00111701j 0.00614458+0.0475688j 0.00730157+0.00383539j -0.0555232+0.0530311j 0.0013751+0.0161345j -0.00679848+0.0327902j -0.0748887-0.0366591j 0.0218013-0.0466027j -0.00619804-0.0459417j 0.0189832-0.0430013j 0.00982112+0.0526153j 0.082306-0.0159308j -0.000853129+0.0337041j 0.00424735-0.015958j -0.0404634-0.063872j 0.00786079+0.00065256j 0.0183861-0.0454719j 0.0264164+0.00742215j 0.00778194+0.0273196j -0.00399121+0.0073098j 
0.0512173-0.0510542j -0.0305613+0.0268065j -0.000337332+0.0747328j -0.0294595-0.0262412j 0.0516327+0.0523645j -0.0404694-0.00990615j 0.0221039+0.0142838j -0.049407-0.0047887j -0.000159217+0.0214894j -0.0488858+0.00521153j -0.0217837+0.0130022j 0.040325-0.0100684j 0.0447167+0.0748864j -0.0713747+0.0306918j -0.0317944+0.0243867j 0.0111791+0.00470981j -0.026904-0.0241083j 0.0123764-0.0187246j -0.00925555-0.0459316j 0.00578522+0.099389j 0.0884722-0.0133475j -0.063278-0.0363806j 0.0439727+0.0021328j 0.0457817-0.00205395j 0.0639908-0.0384681j 0.0870788+0.0105444j 0.00496471-0.0976136j 0.00959168-0.048475j -0.0114949-0.0186347j 0.0259163-0.0259021j -0.0107351+0.00366501j -0.0336941-0.0222752j 0.0721928+0.0283814j -0.0430344+0.0760764j 
0.00776981-0.00638504j 0.0161027-0.0161732j 0.0152923+0.000346952j -0.0169811-0.015493j -0.00797664-0.0057681j 0.00120263-0.0163118j -0.00995134+0.0036398j 0.00795592-0.0123342j -0.00585424-0.000502359j -0.00716165-0.0127242j -0.00949613-0.00170724j 0.00182499+0.0166986j 0.0355742-0.0692764j -0.00258802-0.0246443j 0.0599804+0.0386835j -0.00214073+0.00937702j 0.00380175+0.0443246j 0.033953+0.0511294j -0.0731468-0.0410962j 0.0175398-0.153409j 0.00528239-0.092054j 0.118622-0.0539787j -0.0492671-0.0133415j 0.0517137-0.0167438j 0.120384+0.0514569j -0.00599721-0.0899599j -0.0213829-0.152039j -0.0697838+0.0385316j 0.0344539-0.0545893j 0.000275267-0.0428636j -0.00139136-0.0135601j -0.0571237+0.0429675j -0.00293026+0.0221332j 0.0379685+0.068068j 
0.0105711-0.0120147j -0.00408073+0.0112148j 0.00034863+0.028749j -0.00393652-0.0114716j 0.0103417+0.0126546j 0.0194627+0.00613004j -0.0129188-0.0429013j 0.0206984-0.0261798j -0.000121631+0.040745j 0.0208049+0.0257102j 0.0126412-0.0436181j -0.0198771+0.00722565j 0.0170494+0.0143396j 0.00475411+0.0145558j -0.0500617+0.0222591j 0.0437872+0.0326422j -0.0474097-0.0278539j -0.0144782+0.023671j 0.032301-0.00784506j -0.0914041-0.0154254j -0.113604-0.0563934j 0.0927051+0.0912152j -0.0509811-0.0212213j -0.051965+0.0233737j -0.0901349+0.0905371j -0.111982+0.0543639j -0.0902362+0.0151646j -0.033183-0.00841581j 0.014887+0.0236783j 0.0468195-0.0300974j -0.0421578+0.0320127j -0.0517909-0.0199737j -0.00459163+0.0143485j -0.0168476+0.0150259j 
0.0309981+0.0206386j 0.0151894-0.0254205j 0.0594699-0.000517015j -0.0373419-0.0245038j 0.0141892+0.0393406j -0.0199621-0.0419382j -0.00559233+0.0505569j -0.000245441-0.0307465j -0.0537047-0.0341212j -0.0272874-0.0289902j -0.00161585+0.0469546j 0.0295458+0.0257296j -0.00436749+0.0177892j -0.0381019-0.0138955j 0.0825853+0.0426672j -0.012797-0.0728848j 0.00231272+0.0663226j 0.0191816+0.0163514j -0.027289+0.0390466j 0.0417968-0.125866j -0.0279457-0.0887225j 0.166735+0.149052j -0.0118398-0.0157833j -0.020939+0.0356518j 0.0371574+0.0427088j -0.0431429-0.100312j 0.0221609+0.0785757j -0.0570645-0.00897218j 0.0503955+0.0376857j -0.00235005+0.0374644j 0.027405-0.0400848j -0.0206838+0.0627081j 0.0104675+0.0125419j -0.0161607+0.0439635j 
