-0.100212+0.0734481j 0.105691+0.177148j -0.0350941-0.0347146j 0.154621+0.0328395j -0.0428423+0.112879j 0.0623488-0.196064j -0.00849616-0.0162701j 0.0415327+0.00121635j 0.063251+0.00825925j 0.118572-0.115752j 0.0988909-0.0795103j 0.0438419+0.173249j 0.200556+0.227878j 0.165568+0.0733525j 0.132072-0.183392j 0.00291753+0.00479135j -0.00425532-0.0093806j -0.00635951-0.015984j 0.0189294-0.00891509j 0.0101724-0.0216803j 0.00415725+0.00934525j -0.0296362+0.0132059j 0.0333262-0.013728j 0.00407496-0.00863843j -0.0174019+0.0241606j -0.254014-0.0492394j -0.287011-0.0748197j -0.0879639+0.0589159j 0.003211-0.0209636j -0.0250576+0.0109968j 0.0158232+0.0373552j -0.00484088+0.015854j -0.068074+0.327224j 0.0543669+0.275937j 0.0841358-0.1998j 0.101744+0.288283j -0.0160471-0.0633393j 0.418761-0.0241634j 0.170826-0.235538j -0.154899-0.169566j 
0.03311-0.0934417j 0.0302218+0.0116909j 0.0641125+0.116953j 0.0859657-0.0102471j 0.00776937-0.109286j 0.0298023-0.019174j -0.176027-0.071335j -0.0525843-0.0660068j -0.00158425-0.0107661j 0.0324432+0.0235537j 0.0717458+0.0849518j 0.12116-0.0262298j -0.0347908-0.00254069j 0.0396819-0.00284998j 0.00242793+0.0184331j -0.232828-0.0308695j -0.152292+0.0131603j 0.0146406-0.197395j 0.163181+0.0441114j -0.152286+0.0642638j -0.0954699+0.00316963j 0.00244717-0.0218968j 0.0240199+0.0314189j -0.040682-0.0459879j -0.048842-0.0259503j -0.0463363+0.177325j 0.0692841-0.168871j -0.0168867+0.0381468j 0.00616754+0.0225233j 0.0157331+0.0140398j -0.00795098+0.00490467j -0.00465532-0.025557j 0.0318496+0.043986j -0.0240855-0.0354313j -0.0177395-0.00625122j -0.038465-0.0211689j -0.00270003-0.00955836j 0.0263466-0.0109484j -0.0212122+0.010901j -0.00144739-0.0136339j 
0.0527402-0.0084617j -0.00324733+0.0760141j -0.0219578+0.0275045j 0.0468177-0.0482444j 0.0517542+0.0441735j 0.0886384+0.0600207j -0.000494545-0.00696933j 0.0155475-0.00791563j 0.0088704-0.0191591j 0.00295173-0.0137378j 0.021062-0.0523361j 0.039405+0.0411197j -0.0497376-0.0249236j -0.030304-0.032571j 0.0528863+0.011384j -0.0038401+0.0112657j -0.0132188-0.0200782j -0.0154858-0.00549824j -0.0204454+0.0146917j -0.00922855+0.010174j -0.000627471+0.00247657j 0.00367962-0.014436j -0.00282932+0.0189573j -0.00916056+0.00663091j -0.00280868-0.0108595j -0.0333744-0.0585634j -0.028643-0.0684078j -0.00506452-0.0287919j -0.00549289-0.0112765j 0.0065854-0.00838258j -0.0118343-0.00539276j 0.0214009-0.00360807j 0.0685279-0.0412904j 0.066766-0.0446979j 0.0462429-0.0275359j -0.0276744-0.00476167j -0.0257596+0.0247711j -0.0306888-0.0789818j 0.0977257-0.0493299j 0.0979176+0.0308562j 
-0.0431561+0.0655365j -0.0581444-0.0310353j -0.0422362+0.0280883j 0.05375+0.055578j -0.00443063-0.00943003j -0.0315088+0.0505174j -0.0170891+0.0225424j 0.01653-0.0556418j 0.0169893-0.034485j 0.0476858+0.0362165j -0.000809817-0.025786j -0.011719+0.0122081j 0.0243778-0.0160134j -0.0554496-0.019459j 0.017491+0.0144422j 0.0139384+0.00319605j -0.0229069+0.0391647j 0.00284311+0.0456359j 0.0291623+0.0366171j 0.0216843+0.0454214j 0.00642514-0.0128906j -0.0193517-0.0512985j 0.0230975+0.0575696j 0.0249749-0.00313528j -0.013736+0.0104525j 0.0181634-0.0366662j 0.0013698-0.0229685j -0.0525014+0.00614048j -0.0654559+0.0504969j -0.0181261-0.00265221j 0.0392471-0.00218084j -0.0239604-0.0207711j 0.0496398+0.0167533j 0.0839108+0.0333556j 0.0446133+0.0652065j 0.00152228-0.0413644j 0.073245-0.0492506j 0.0453439-0.0210376j -0.00562818-0.0595788j 0.135659+0.0734205j 
-0.0108641-0.0607065j -0.0932442+0.0253189j -0.00260639-0.015623j 0.0277413+0.0326042j -0.0477863+0.0207384j -0.0222781+0.0650403j 0.00243215-0.0101328j -0.00130288-0.00105488j -0.0235297+0.000524292j -0.0210051-0.00581406j -0.0356519-0.0113559j 0.0319615-0.0344076j -0.0488762+0.058227j -0.0539439+0.0472254j -0.0407294-0.0441941j 0.0034552+0.00384282j -0.00826529-0.00201413j -0.00311039-0.00363859j -0.00840034-0.00310523j -0.00138443-0.00806221j -0.0140262+0.00599731j -0.00888612+0.0175171j 0.00652736-0.018204j -0.0210578-0.0218599j -0.000190691-0.0219763j -0.0407813+0.0498613j -0.0434694+0.0496761j 0.0107687+0.0138866j 0.0353861-0.00222185j 0.0296142+0.0212878j -0.058573-0.035707j 0.0534074+0.0473927j 0.0130192+0.0478477j 0.0171531+0.0819898j 0.0361139+0.0865054j -0.0414421-0.0640468j -0.0058482+0.0396721j -0.0817804+0.0261815j -0.0204908-0.00206438j -0.0275515-0.0534908j 
-0.055202+0.0395275j 0.00356896+0.0489835j 0.00702408+0.107367j 0.0682504-0.0213338j 0.0105007-0.063545j 0.0384282-0.0136832j 0.00136944-0.0108131j 0.00770801-0.000446521j -0.0197988-0.00644404j -0.0160685+0.0236474j 0.0310529+0.0183141j -0.0303207-0.0310875j 0.0673168+0.0116167j 0.023591+0.00836133j -0.00434743+0.0263058j 0.00281383+0.0369095j -0.036933-0.0317102j -0.0233311-0.0244451j -0.0357774+0.0170728j -0.023364-0.0283901j 0.00214097+0.0228567j 0.022938-0.000957381j -0.00139328-0.00733814j -0.0328039-0.0165208j 0.0302884-0.0210586j 0.0578143-0.00366943j 0.0606412+0.0251308j 0.06078+0.014793j 0.0523795+0.0691271j 0.0417818+0.0286678j -0.0351654-0.134258j 0.045765+0.081578j -0.0405188-0.0173719j -0.0253425-0.0427529j 0.00915465-0.0803895j 0.0635619+0.0819452j -0.00622349-0.043036j 0.0138005+0.0284169j 0.0522774+0.0968723j -0.136557+0.00645143j 
0.0631336+0.0634319j 0.0360865-0.0171834j -0.0427628+0.0345116j 0.0234442+0.0344316j 0.0451017-0.0586679j 0.00223828-0.0147387j 0.00922701+0.0108726j -0.0461452-0.0268712j -0.0375595-0.0242615j 0.078902-0.0557144j -0.0340747+0.0207263j -0.0106288-0.00742716j -0.0139909-0.0386413j -0.0108532+0.0378994j -0.00776831-0.035126j -0.000929986+0.0206151j 0.00290376-0.0295867j 0.0177349-0.0513437j -0.0213879-0.0169059j 0.0170083-0.0545966j 0.000421567+0.0515487j -0.0145374+0.0588443j 0.0439909-0.0523291j -0.082255+0.0116132j -0.0166376-0.0115391j -0.00466956-0.00624539j 0.0132464+0.0148883j 0.0363359-0.0096736j 0.0165533+0.000387212j 0.0579623-0.000269151j 0.0371501+0.00676337j -0.00880639-0.0400471j -0.0521181+0.0856867j -0.0460553+0.0607688j 0.0200082+0.0364999j 0.0657582-0.0725296j -0.070098+0.00846795j -0.0277682-0.0255745j -0.00918822+0.0925794j -0.075822-0.0408095j 
-0.0322577+0.0427448j 0.0556412-0.0406423j 0.0933203+0.0513819j 0.0223744-0.0348344j -0.0827839-0.0290358j -0.0378562-0.0018398j -0.00452073-0.0358595j 0.0317196+0.0126653j -0.0103264-0.0268525j -0.00266543+0.033152j 0.0150868-0.0440536j 0.0384923-0.0320032j -0.0345032+0.0199354j -0.0378862+0.00468816j 0.00120127-0.0211498j -0.0194054+0.0353523j 0.00397033-0.0422274j 0.0329412-0.0199816j 0.0122245+0.0157667j 0.0474663-0.0360562j -0.0186523+0.0225487j -0.0684079+0.00621576j 0.0879097-0.00890849j 0.012454+0.050964j 0.00174358+3.84864e-05j 0.00807749+0.0500512j -0.0262029+0.0631274j 0.0382032+0.034444j 0.00875121+0.0201898j -0.0382694-0.112971j -0.0203419+0.0540044j 0.0303523-0.145109j -0.00893576+0.0122599j 0.0510012+0.0751621j 0.103211+0.0636239j -0.0176567-0.0462543j -0.00219091-0.00370115j -0.0306467+0.0174361j -0.101536+0.0141834j 0.0193408-0.0889154j 
-0.0386272-0.0690666j 0.00753194+0.0155462j -0.0103187+0.0324023j 0.00966102+0.0147754j 0.0228156-0.0213509j 0.0093725-0.00838043j -0.0136947+0.0687534j -0.0293939-0.0195214j 0.0501142+0.0103842j 0.00391242+0.0616067j -0.055812+0.0213542j -0.0248691-0.00216009j 0.0618011+0.0242012j -0.0162088+0.0211831j -0.0173705-0.00740395j -0.000122398-0.031908j 0.0408593+0.0165509j 0.00774898+0.00477704j 0.03686-0.0409467j -0.0345246-0.0435952j 0.0356755+0.00505858j -0.0255752-0.0711272j -0.00704082+0.0255685j 0.0210716+0.0691207j 0.108707-0.00811225j 0.0608136-0.00993722j 0.0639937-0.0215537j -0.0541255+0.00119866j 0.0396063-0.0360602j 0.0147458-0.00958651j 0.017783+0.0245078j 0.0319208-0.0760284j 0.082407+0.110932j -0.0569582+0.102364j 0.0304695+0.115731j 0.0519371-0.0570228j 0.00957938-0.0165273j 0.100728-0.00251813j -0.00295762+0.0486496j -0.00415686+0.127037j 
-0.0240017+0.00702287j -0.01316-0.0444678j 0.0381329-0.0135748j -0.0457691-0.062177j 0.0237725+0.0269958j 0.0695589-0.0312788j 0.0292353+0.0206158j -0.026614-0.0160828j -0.000687046-0.0599982j 0.0884958+0.0100441j 0.0195491+0.0344177j -0.0263618+0.00570309j 0.0499779-0.066172j -0.0111012+0.0122773j -0.000559529+0.0124112j -0.0137241+0.0115243j 0.0100974-0.0263189j 0.0096892-0.0202728j 0.00373438-0.012611j 0.0450054-0.0143917j -0.0684144-0.0107147j 0.0804411+0.0234534j -0.0558634-0.033792j 0.0256342-0.0696436j -0.00711453+0.085285j -0.0625724+0.0484796j -0.0510398+0.0187418j 0.072693-0.081936j 0.0666141-0.0782829j -0.14156+0.0141968j -0.110277+0.115608j 0.0742854+0.0588465j -0.028595+0.00398319j 0.0653359-0.0576854j -0.0715333+0.0493836j -0.133739+0.0623682j -0.0703141+0.108899j -0.0691189-0.00561398j 0.0140005-0.0173532j -0.0327167-0.0573293j 
-0.054974+0.0279194j -0.0223483+0.0249458j -0.014028-0.0476787j -0.0337828+0.00774136j 0.027301+0.0124542j -0.00135606-0.0140196j 0.00721948+0.000773575j -0.0318588+0.0246916j 0.0352462-0.0448698j 0.0608936+0.0343702j 0.039549+0.0316616j -0.00622043-0.00525123j 0.0498386-0.0445434j 0.0366886+0.0174042j 0.000990557+0.0361619j -0.0346488+0.0126021j 0.0117739-0.0302541j 0.0120197+0.0112088j 0.0140464+0.0321327j 0.0209019+0.0453824j 0.00471118-0.0924065j -0.015289+0.0527493j 0.0379372-0.0468814j 0.0588441+0.0708448j 0.0348171+0.101893j -0.0467452-0.0318213j -0.0601358-0.0538849j -0.0498143-0.0949827j -0.00865871+0.0130813j 0.127351+0.0629208j 0.0317881+0.119208j -0.074289-0.0387279j -0.0871637-0.0269882j -0.129877+0.0506723j -0.139944-0.0242336j 0.0776351-0.075237j -0.0706287+0.0135255j -0.00826894-0.0692779j -0.0227667-0.0541788j 0.0524197-0.0165771j 
0.0283786-0.0165326j 0.00512576+0.0282314j -0.0143669+0.0154748j -0.0450014+0.0123333j 0.029807-0.0655362j -0.0227915-0.0624425j -0.0193992+0.00428138j 0.0302762-0.0385626j 0.0118716+0.0181445j -0.0403885+0.107041j -0.0169504-0.0159897j -0.0188567-0.0394528j 0.0707015+0.0765235j -0.0494245+0.0405587j -0.0370132+0.0158234j 0.0128094-0.0154828j 0.00117384+0.0228956j 0.00774712-0.00136851j 0.0168068-0.0161592j 0.0207106+0.0111123j -0.0412466-0.0265977j 0.0393599+0.0977382j -0.042806-0.0926523j -0.0237719-0.0502076j -0.0152803-0.0161166j 0.000650337-0.0189125j 0.00524757-0.00720263j -0.0765271-0.0404202j -0.0272255-0.0630306j 0.173133+0.012887j 0.116128+0.118062j -0.0918697+0.00587042j -0.0121366+0.0156349j 0.045802+0.00127836j -0.00601923-0.0511604j -0.0509573-0.0545414j -0.0322852+0.0263214j -0.00414357-0.000716906j 0.00440654+0.0297053j -0.0180503-0.0116861j 
0.0372623-0.0130216j 0.0484554+0.068335j -0.0121913+0.0174949j 0.0149937-0.000950688j 0.0117974-0.00449325j 0.0185836+0.00750525j -0.0575084-0.048868j 0.0392415-0.064614j -0.067301+0.0430702j 0.0295645-0.0402584j 0.0584353-0.0333627j -0.0934441+0.011015j 0.0202454-0.07272j 0.015983-0.0700219j 0.010815+0.0249224j 0.00170026-0.034231j 0.00490656+0.0596678j 0.0175932+0.0659024j 0.0866369-0.00524914j -0.0123981+0.015209j 0.00950403+0.0152383j 0.013905-0.0017786j -0.0435552+0.023344j 0.0375888+0.0709181j -0.0183745+0.0678555j 0.0261796+0.00609142j 0.0289347+0.0478677j -0.0285229-0.0037528j 0.0103383-0.0141605j -0.0812-0.0980239j -0.0237267+0.0606014j -0.0105695-0.05512j 0.024701+0.0157089j 0.00730245-0.0289498j -0.0391322-0.00955629j -0.0606669+0.0119579j 0.0464137-0.0134916j 0.0728294+0.0854507j -0.060932-0.0464704j 0.00422867+0.044261j 
0.0390911+0.0121932j 0.0482079-0.0672556j -0.0192684+0.00800357j 0.016172+0.000861109j 0.00938213+0.00980605j 0.0133205+0.0186903j 0.00981338-0.0256189j 0.0223646+0.0681488j -0.0201325-0.0717551j 0.0294827+0.0409584j 0.0583609+0.0340906j -0.0211413-0.0919555j 0.0683814+0.0419197j 0.0469008+0.0599825j -0.0562133+0.0493718j 0.00147548-0.0441031j -0.0601945+0.0447174j -0.0716468+0.0872885j 0.0470149+0.0131193j -0.0635436-0.0111811j 0.0383493-0.0115168j -0.00927837-0.0322392j -0.0259616+0.0162062j 0.0190971-0.0491816j -0.0247722-0.0555527j 0.0266213-0.00636502j -0.0408501+0.0395188j -0.0272738+0.00276403j -0.0112833-0.0116347j -0.0836135+0.0982142j -0.0206243-0.0682169j -0.0448956+0.0634968j 0.0455511+0.0225922j -0.0147118-0.00315345j -0.00975099+0.0165046j -0.0135868-0.0127888j 0.0877499+0.00514496j -0.0150188+0.0665031j 0.00528385-0.0603887j 0.00332324+0.0360771j 
-0.0284629-0.0161529j -0.00486379+0.028399j -0.0230483+0.0622071j 0.0453556+0.0124437j 0.00053595-0.0720266j -0.015108-0.0151299j 0.037082+0.015006j 0.053398+0.0347149j 0.0682437-0.0774063j 0.0410636+0.104856j 0.0182695-0.0170818j 0.0427074+0.00508466j 0.0108977-0.0199743j -0.0344676-0.0359387j 0.0200009+0.00386271j 0.017551-0.0113991j -0.00589529+0.0296238j -0.004155+0.00188311j 0.0320815+0.0255485j 0.0478589-0.0564672j -0.00682287+0.0551667j 0.0446052-0.000687968j -0.013503-0.0137647j -0.0923298-0.0197803j -0.119498+0.116679j -0.00118956-0.0186804j 0.00331382+0.0105376j 0.077386-0.0399622j -0.0260392+0.0631265j -0.174876+0.011327j 0.0159339-0.0164767j -0.0299215+0.0442294j -0.0416319+0.0909958j 0.0404921-0.100101j -0.0399647+0.0271508j -0.0216981+0.0141095j -0.0160721-0.015907j 0.00711406+0.00293893j -0.00221478+0.0227587j -0.0130192-0.0169805j 
0.0539746+0.0266791j 0.0216949+0.0265706j 0.000172458+0.0134957j 0.0331329+0.00660105j -0.0296563-5.97844e-05j -0.0134679+0.0473534j -0.000993858+0.0370728j -0.035216+0.020063j 0.0525401+0.0441637j -0.0595484+0.0357513j -0.0397465+0.0322117j 0.0076512+0.00606708j 0.0351092+0.0427222j 0.0333868+0.0205062j -0.00648635+0.000997025j -0.052777-0.0153005j 0.0248318-0.0547505j -0.00618875+0.0669186j 0.0702438+0.0130124j -0.08047-0.0714264j -0.139065+0.0244109j -0.130956-0.0506242j -0.0881925+0.0280059j -0.075468+0.0289018j -0.0283149+0.119886j 0.0450985-0.0308784j -0.0710808+0.035027j 0.0509032-0.0949568j -0.00492467-0.0139165j -0.128492+0.0618941j -0.0367219+0.103267j 0.0717487-0.0632513j 0.0377864+0.0454232j -0.0170704-0.0505773j 0.0047994+0.0953947j -0.0188884+0.046158j -0.0160718+0.0323676j 0.012231-0.0130473j -0.0112751-0.0296684j 0.0344687+0.0124505j 
