0.0635437-0j 0.0102543-0j 0.00837262-0j 0.00120848-0j 0.00104658-0j 0.00012334-0j 5.62969e-06-0j 0.0582412-0j 0.00920875-0j 0.00728015-0j 0.00485344-0j 0.0010508-0j 0.00121336-0j 0.000428987-0j 0.000101113-0j 0.000107247-0j 8.93723e-06-0j 3.33071e-07-0j 0.037889-0j 0.0382817-0j 0.00590699-0j 0.0059682-0j 0.00457553-0j 0.000660421-0j 0.00462295-0j 0.00417687-0j 0.000667265-0j 0.00422016-0j 0.000738374-0j 0.000492249-0j 6.15311e-05-0j 0.000746025-0j 0.0004263-0j 0.00049735-0j 6.21688e-05-0j 0.000430718-0j 8.70182e-05-0j 4.35091e-05-0j 8.79199e-05-0j 5.12759e-06-0j 4.396e-05-0j 6.28e-06-0j 5.18073e-06-0j 4.05372e-07-0j 6.34507e-06-0j 4.09573e-07-0j 1.2768e-08-0j 1.29003e-08-0j 
0.000663086-0j -0.00506161-0j -0.00840614-0j -0.00120564-0j 0.0999246-0j 0.0178207-0j -1.41293e-05-0j 8.65067e-06-0j -6.47e-05-0j -0.000104039-0j 7.20889e-07-0j -1.49218e-05-0j 0.000820221-0j -1.85192e-05-0j -2.16128e-06-0j 0.00029458-0j 2.45492e-05-0j -1.42882e-08-0j -0.000389034-0j -0.000388102-0j 0.00286896-0j 0.00286209-0j 0.00452016-0j 0.000648301-0j 0.00450933-0j -4.2887e-05-0j 0.000646747-0j -4.27842e-05-0j -0.0345043-0j 0.00023908-0j 9.09187e-05-0j -0.0344216-0j 0.00084666-0j 0.000238507-0j 9.07007e-05-0j 0.000844631-0j -0.00821871-0j -0.00614182-0j -0.00819901-0j 1.01196e-05-0j -0.0061271-0j -0.00179489-0j 1.00954e-05-0j -9.63173e-05-0j -0.00179058-0j -9.60864e-05-0j 4.41956e-08-0j 4.40897e-08-0j 
-5.52572e-05-0j 0.00128324-0j -7.28077e-06-0j -0.0144077-0j 0.00013097-0j 0.0680663-0j 0.0324208-0j -7.20889e-07-0j 1.6403e-05-0j -9.01111e-08-0j -6.00741e-08-0j -0.000178318-0j 2.16128e-06-0j -5.30985e-09-0j 0.000794249-0j -1.81995e-05-0j 0.000289973-0j 5.48906e-05-0j 3.24195e-05-0j 3.23418e-05-0j -0.000727349-0j -0.000725606-0j 3.91503e-06-0j 0.00774732-0j 3.90564e-06-0j 3.57391e-06-0j 0.00772875-0j 3.56535e-06-0j -9.09187e-05-0j -6.06124e-05-0j -0.0334117-0j -9.07007e-05-0j 3.64761e-07-0j -6.04672e-05-0j -0.0333316-0j 3.63887e-07-0j 0.0010208-0j -5.35743e-06-0j 0.00101835-0j -0.0115007-0j -5.34459e-06-0j -0.00341007-0j -0.0114731-0j -0.00229705-0j -0.00340189-0j -0.00229154-0j -0.00025535-0j -0.000254738-0j 
-0.0003868-0j 0.00295261-0j 0.00490358-0j 0.000703292-0j -0.0582893-0j -0.0103954-0j 8.24208e-06-0j 0.000693908-0j -0.00518987-0j -0.00834545-0j 5.78256e-05-0j -0.00119694-0j 0.0657935-0j -0.0014855-0j -0.000173366-0j 0.0236296-0j 0.0019692-0j -1.14611e-06-0j -0.000230636-0j -0.000213408-0j 0.00170085-0j 0.0015738-0j 0.00267975-0j 0.000384341-0j 0.00247958-0j -2.54253e-05-0j 0.000355632-0j -2.35261e-05-0j -0.0204556-0j 0.000141737-0j 5.39005e-05-0j -0.0189277-0j 0.000501937-0j 0.00013115-0j 4.98743e-05-0j 0.000464444-0j -0.0048724-0j -0.00364114-0j -0.00450845-0j 5.99935e-06-0j -0.00336915-0j -0.00106409-0j 5.55122e-06-0j -5.7101e-05-0j -0.000984602-0j -5.28358e-05-0j 2.62011e-08-0j 2.42439e-08-0j 
3.22333e-05-0j -0.000748555-0j 4.24712e-06-0j 0.00840448-0j -7.63991e-05-0j -0.0397053-0j -0.0189121-0j -5.78256e-05-0j 0.00131575-0j -7.22821e-06-0j -4.8188e-06-0j -0.0143037-0j 0.000173366-0j -4.25926e-07-0j 0.0637102-0j -0.00145986-0j 0.02326-0j 0.00440301-0j 1.92197e-05-0j 1.7784e-05-0j -0.000431204-0j -0.000398995-0j 2.321e-06-0j 0.00459295-0j 2.14763e-06-0j 2.11877e-06-0j 0.00424987-0j 1.96051e-06-0j -5.39005e-05-0j -3.59337e-05-0j -0.0198079-0j -4.98743e-05-0j 2.16246e-07-0j -3.32495e-05-0j -0.0183283-0j 2.00093e-07-0j 0.000605174-0j -3.17612e-06-0j 0.000559969-0j -0.0068181-0j -2.93887e-06-0j -0.00202164-0j -0.00630881-0j -0.00136179-0j -0.00187063-0j -0.00126007-0j -0.000151383-0j -0.000140075-0j 
0.0022592-0j -0.0714157-0j 0.000297675-0j 4.29658e-05-0j 3.72094e-05-0j 4.38517e-06-0j 2.00155e-07-0j 0.00207068-0j 0.000327403-0j -0.0507022-0j 0.000172556-0j -0.00731824-0j 4.31391e-05-0j 1.5252e-05-0j 3.59493e-06-0j 3.81299e-06-0j 3.17749e-07-0j 1.18418e-08-0j 0.00134709-0j 0.00136105-0j 0.000210014-0j 0.00021219-0j 0.000162676-0j 2.34803e-05-0j 0.000164362-0j -0.0290896-0j 2.37236e-05-0j -0.0293911-0j -0.00514236-0j 1.75012e-05-0j -0.00042853-0j -0.00519565-0j 1.51564e-05-0j 1.76825e-05-0j -0.000432971-0j 1.53135e-05-0j 3.0938e-06-0j 1.5469e-06-0j 3.12586e-06-0j 1.82304e-07-0j 1.56293e-06-0j 2.23276e-07-0j 1.84193e-07-0j 1.44124e-08-0j 2.25589e-07-0j 1.45617e-08-0j 4.53947e-10-0j 4.58651e-10-0j 
-0.000376533-0j 0.00287423-0j 0.00723054-0j -0.0997772-0j 0.00029335-0j 0.000105177-0j 8.0233e-06-0j -0.000345113-0j 0.00258116-0j -4.31391e-05-0j 0.00841155-0j 0.000595294-0j -0.0495659-0j -2.542e-06-0j -0.0125661-0j 6.07569e-05-0j 1.01791e-05-0j 5.70017e-07-0j -0.000224514-0j -0.000226841-0j 0.0016557-0j 0.00167286-0j -2.71127e-05-0j 0.000374139-0j -2.73936e-05-0j 0.00360712-0j 0.000378016-0j 0.0036445-0j 0.000206962-0j -0.0403549-0j 5.24698e-05-0j 0.000209107-0j 0.00036815-0j -0.0407731-0j 5.30135e-05-0j 0.000371965-0j -0.00718457-0j 1.21954e-05-0j -0.00725902-0j -0.000851137-0j 1.23218e-05-0j 5.35518e-06-0j -0.000859958-0j 5.77726e-07-0j 5.41067e-06-0j 5.83713e-07-0j 2.55056e-08-0j 2.57699e-08-0j 
-0.00263573-0j 0.0833183-0j -0.000347288-0j -5.01267e-05-0j -4.3411e-05-0j -5.11604e-06-0j -2.33514e-07-0j -3.43859e-05-0j -5.43689e-06-0j 0.000841968-0j -2.86549e-06-0j 0.000121528-0j -7.16374e-07-0j -2.53276e-07-0j -5.96978e-08-0j -6.33191e-08-0j -5.27659e-09-0j -1.96647e-10-0j -0.0015716-0j 0.00154268-0j -0.000245016-0j 0.000240508-0j -0.000189789-0j -2.73936e-05-0j 0.000186297-0j 0.0339379-0j 2.68896e-05-0j -0.0333134-0j 0.00599942-0j -2.0418e-05-0j 0.000499952-0j -0.00588904-0j -1.76825e-05-0j 2.00423e-05-0j -0.000490753-0j 1.73572e-05-0j -3.60943e-06-0j -1.80471e-06-0j 3.54302e-06-0j -2.12688e-07-0j 1.77151e-06-0j -2.60488e-07-0j 2.08774e-07-0j -1.68144e-08-0j 2.55695e-07-0j 1.65051e-08-0j -5.29605e-10-0j 5.1986e-10-0j 
-0.000230578-0j -3.72094e-05-0j 0.00587661-0j -4.38517e-06-0j -0.0703073-0j 8.65706e-05-0j -2.04282e-08-0j -0.000211338-0j -3.34154e-05-0j 0.00510982-0j -1.76115e-05-0j -3.81299e-06-0j 0.000851637-0j -0.0873608-0j -3.66906e-07-0j -0.00720466-0j 6.2729e-06-0j -1.2086e-09-0j -0.000137486-0j -0.000138911-0j -2.14345e-05-0j -2.16566e-05-0j 0.00321149-0j -2.39644e-06-0j 0.00324478-0j -1.51564e-05-0j -2.42128e-06-0j -1.53135e-05-0j 0.000518253-0j -1.7862e-06-0j -2.23276e-07-0j 0.000523623-0j -0.0286381-0j -1.80471e-06-0j -2.25589e-07-0j -0.0289349-0j 6.10767e-05-0j -0.00886037-0j 6.17096e-05-0j -1.86063e-08-0j -0.00895219-0j -0.00042188-0j -1.87991e-08-0j 2.84524e-07-0j -0.000426251-0j 2.87473e-07-0j -4.63308e-11-0j -4.68109e-11-0j 
-0.00161405-0j 0.0510218-0j -0.00021267-0j -3.06962e-05-0j -2.65837e-05-0j -3.13292e-06-0j -1.42998e-07-0j -0.00147936-0j -0.000233908-0j 0.0362234-0j -0.00012328-0j 0.0052284-0j -3.08201e-05-0j -1.08965e-05-0j -2.56834e-06-0j -2.72413e-06-0j -2.27011e-07-0j -8.46021e-09-0j 0.00285634-0j -0.000972378-0j 0.00044531-0j -0.000151596-0j 0.000344935-0j 4.97871e-05-0j -0.000117426-0j -0.0616811-0j -1.6949e-05-0j 0.020998-0j -0.0109038-0j 3.71091e-05-0j -0.000908648-0j 0.00371195-0j 3.21375e-05-0j -1.2633e-05-0j 0.00030933-0j -1.09405e-05-0j 6.56003e-06-0j 3.28002e-06-0j -2.23322e-06-0j 3.86554e-07-0j -1.11661e-06-0j 4.7343e-07-0j -1.31594e-07-0j 3.05597e-08-0j -1.61169e-07-0j -1.04034e-08-0j 9.62542e-10-0j -3.27676e-10-0j 
4.70666e-05-0j -0.000726154-0j -0.000596678-0j 0.00400482-0j 0.0143355-0j -0.120509-0j 0.000192569-0j 4.31391e-05-0j -0.000652112-0j -0.000518823-0j 3.59493e-06-0j 0.00348227-0j 0.00826702-0j -9.23513e-05-0j 0.0010268-0j -0.0687458-0j -0.0175866-0j 1.71251e-05-0j 2.80643e-05-0j 2.83551e-05-0j -0.0004183-0j -0.000422635-0j -0.000326077-0j 0.00218859-0j -0.000329456-0j 3.0938e-06-0j 0.00221127-0j 3.12586e-06-0j 0.00503079-0j -3.48583e-05-0j 0.000624846-0j 0.00508292-0j -6.10767e-05-0j -3.52196e-05-0j 0.000631321-0j -6.17096e-05-0j -0.0277454-0j 0.000895488-0j -0.0280329-0j 0.000104871-0j 0.000904768-0j -0.0123355-0j 0.000105958-0j -0.00133411-0j -0.0124633-0j -0.00134794-0j 9.20344e-07-0j 9.29882e-07-0j 
0.00230626-0j -0.0729035-0j 0.000303877-0j 4.38609e-05-0j 3.79846e-05-0j 4.47653e-06-0j 2.04325e-07-0j -0.00205364-0j -0.000324709-0j 0.0502851-0j -0.000171137-0j 0.00725803-0j -4.27842e-05-0j -1.51265e-05-0j -3.56535e-06-0j -3.78162e-06-0j -3.15135e-07-0j -1.17444e-08-0j -0.00135309-0j -0.00138884-0j -0.00021095-0j -0.000216523-0j -0.000163401-0j -2.35849e-05-0j -0.000167718-0j 0.0292193-0j -2.4208e-05-0j 0.0299912-0j 0.00516529-0j -1.75792e-05-0j 0.000430441-0j 0.00530175-0j -1.5224e-05-0j -1.80436e-05-0j 0.000441812-0j -1.56262e-05-0j -3.10759e-06-0j -1.55379e-06-0j -3.18969e-06-0j -1.83116e-07-0j -1.59484e-06-0j -2.24271e-07-0j -1.87954e-07-0j -1.44766e-08-0j -2.30196e-07-0j -1.48591e-08-0j -4.55971e-10-0j -4.68017e-10-0j 
0.000439289-0j -0.00335327-0j -0.00843563-0j 0.116407-0j -0.000342242-0j -0.000122706-0j -9.36052e-06-0j 5.73099e-06-0j -4.28632e-05-0j 7.16374e-07-0j -0.000139683-0j -9.88553e-06-0j 0.000823099-0j 4.22127e-08-0j 0.000208675-0j -1.00894e-06-0j -1.69036e-07-0j -9.46577e-09-0j 0.000261933-0j -0.000257114-0j -0.00193165-0j 0.00189611-0j 3.16315e-05-0j -0.000436495-0j -3.10494e-05-0j -0.00420831-0j 0.000428464-0j 0.00413088-0j -0.000241456-0j 0.0470807-0j -6.12148e-05-0j 0.000237013-0j -0.000429509-0j -0.0462145-0j 6.00884e-05-0j 0.000421606-0j 0.00838199-0j -1.42279e-05-0j -0.00822777-0j 0.000992993-0j 1.39661e-05-0j -6.2477e-06-0j -0.000974723-0j -6.74014e-07-0j 6.13275e-06-0j 6.61613e-07-0j -2.97565e-08-0j 2.9209e-08-0j 
-2.77343e-06-0j 8.60256e-05-0j -3.65431e-07-0j -0.00145642-0j 8.77995e-06-0j 0.0141113-0j -0.153928-0j -2.542e-06-0j 7.7254e-05-0j -3.17749e-07-0j -2.11833e-07-0j -0.00126638-0j 1.01791e-05-0j -1.87236e-08-0j 0.0115683-0j -0.00012925-0j -0.0468061-0j -0.0277078-0j -1.6537e-06-0j -1.67084e-06-0j 4.95549e-05-0j 5.00685e-05-0j -1.99704e-07-0j -0.000795915-0j -2.01773e-07-0j -1.82304e-07-0j -0.000804163-0j -1.84193e-07-0j 6.19437e-06-0j 4.12958e-06-0j 0.00703973-0j 6.25856e-06-0j -1.86063e-08-0j 4.17237e-06-0j 0.00711268-0j -1.87991e-08-0j -0.000104871-0j 3.65007e-07-0j -0.000105958-0j -0.0268543-0j 3.68789e-07-0j 0.000718489-0j -0.0271326-0j -0.0110838-0j 0.000725935-0j -0.0111986-0j -0.00249573-0j -0.0025216-0j 
-0.000951286-0j 0.0300712-0j -0.000125343-0j -1.80917e-05-0j -1.56679e-05-0j -1.84648e-06-0j -8.42797e-08-0j 0.00256607-0j 0.000405732-0j -0.0628324-0j 0.000213839-0j -0.00906907-0j 5.34598e-05-0j 1.89009e-05-0j 4.45499e-06-0j 4.72523e-06-0j 3.93769e-07-0j 1.46749e-08-0j -0.00056722-0j -0.00273637-0j -8.8431e-05-0j -0.000426606-0j -6.84984e-05-0j -9.88689e-06-0j -0.000330448-0j 0.0122488-0j -4.7696e-05-0j 0.0590904-0j 0.00216531-0j -7.36925e-06-0j 0.000180442-0j 0.0104458-0j -6.38196e-06-0j -3.55505e-05-0j 0.000870484-0j -3.07877e-05-0j -1.30271e-06-0j -6.51356e-07-0j -6.2845e-06-0j -7.6763e-08-0j -3.14225e-06-0j -9.40151e-08-0j -3.70318e-07-0j -6.06865e-09-0j -4.53545e-07-0j -2.92762e-08-0j -1.91145e-10-0j -9.22114e-10-0j 
0.000269008-0j 4.3411e-05-0j -0.00685604-0j 5.11604e-06-0j 0.0820252-0j -0.000100999-0j 2.38329e-08-0j 3.5095e-06-0j 5.54901e-07-0j -8.48544e-05-0j 2.92458e-07-0j 6.33191e-08-0j -1.41424e-05-0j 0.00145072-0j 6.09288e-09-0j 0.000119642-0j -1.04169e-07-0j 2.00702e-11-0j 0.000160401-0j -0.000157449-0j 2.50069e-05-0j -2.45467e-05-0j -0.00374674-0j 2.79585e-06-0j 0.00367781-0j 1.76825e-05-0j -2.74441e-06-0j -1.73572e-05-0j -0.000604628-0j 2.0839e-06-0j 2.60488e-07-0j 0.000593503-0j 0.0334112-0j -2.04556e-06-0j -2.55695e-07-0j -0.0327964-0j -7.12561e-05-0j 0.0103371-0j 6.9945e-05-0j 2.17073e-08-0j -0.0101469-0j 0.000492193-0j -2.13079e-08-0j -3.31945e-07-0j -0.000483137-0j 3.25837e-07-0j 5.40526e-11-0j -5.3058e-11-0j 
0.000269008-0j -0.00205345-0j -0.00516575-0j 0.0712843-0j -0.000209579-0j -7.51418e-05-0j -5.73212e-06-0j 0.000246561-0j -0.00184407-0j 3.08201e-05-0j -0.0060095-0j -0.000425299-0j 0.0354116-0j 1.81609e-06-0j 0.00897767-0j -4.34069e-05-0j -7.27231e-06-0j -4.0724e-07-0j -0.000476056-0j 0.000162063-0j 0.00351071-0j -0.00119515-0j -5.74892e-05-0j 0.000793317-0j 1.9571e-05-0j 0.00764848-0j -0.000270068-0j -0.00260376-0j 0.000438839-0j -0.0855679-0j 0.000111256-0j -0.000149393-0j 0.000780619-0j 0.0291297-0j -3.78747e-05-0j -0.000265745-0j -0.015234-0j 2.58589e-05-0j 0.00518609-0j -0.00180474-0j -8.80308e-06-0j 1.1355e-05-0j 0.000614383-0j 1.225e-06-0j -3.86557e-06-0j -4.17025e-07-0j 5.40817e-08-0j -1.84109e-08-0j 
0.000164733-0j 2.65837e-05-0j -0.00419845-0j 3.13292e-06-0j 0.05023-0j -6.1849e-05-0j 1.45946e-08-0j 0.000150987-0j 2.38731e-05-0j -0.00365064-0j 1.25822e-05-0j 2.72413e-06-0j -0.000608439-0j 0.0624135-0j 2.6213e-07-0j 0.00514726-0j -4.48158e-06-0j 8.63466e-10-0j -0.000291524-0j 9.92429e-05-0j -4.54492e-05-0j 1.54722e-05-0j 0.0068096-0j -5.08138e-06-0j -0.00231818-0j -3.21375e-05-0j 1.72985e-06-0j 1.09405e-05-0j 0.00109889-0j -3.78744e-06-0j -4.7343e-07-0j -0.000374095-0j -0.0607238-0j 1.28935e-06-0j 1.61169e-07-0j 0.0206721-0j 0.000129506-0j -0.0187874-0j -4.40875e-05-0j -3.94525e-08-0j 0.00639576-0j -0.000894546-0j 1.34307e-08-0j 6.033e-07-0j 0.000304529-0j -2.0538e-07-0j -9.8239e-11-0j 3.34433e-11-0j 
