-0.103023-0j -0.01487-0j -0.00168109-0j -0.000297178-0j -2.47648e-05-0j -0.0519797-0j 0.0504395-0j -0.00866329-0j -0.00530516-0j 0.00840658-0j 0.00514796-0j -0.00108291-0j 0.00105082-0j -6.38112e-05-0j 6.19203e-05-0j -0.0379368-0j -0.000929146-0j 0.0531425-0j -0.00612202-0j -0.00499861-0j -0.00014994-0j -0.000721487-0j 0.00857583-0j -0.000122426-0j -0.000624826-0j -1.76706e-05-0j 0.00700213-0j -7.36365e-05-0j -1.53032e-05-0j -3.36103e-06-0j 0.00101067-0j -1.8035e-06-0j 0.000875267-0j 0.000103151-0j -8.23182e-08-0j 4.70818e-06-0j 
-0.00499861-0j -0.000721487-0j 0.0116861-0j -1.44189e-05-0j -1.20158e-06-0j -0.00252203-0j 0.0024473-0j 0.0602227-0j -0.000257404-0j -0.0584382-0j 0.000249777-0j -5.25424e-05-0j 5.09854e-05-0j -3.09609e-06-0j 3.00435e-06-0j 0.00357887-0j -4.50817e-05-0j 0.00257845-0j 0.000577537-0j -0.0675608-0j -7.27504e-06-0j -0.00975156-0j 0.000416095-0j 0.00085104-0j 5.89446e-05-0j 0.000122837-0j -0.0486752-0j 6.94669e-06-0j -7.42505e-07-0j 3.17072e-07-0j -0.00702566-0j -8.75051e-08-0j 4.24676e-05-0j 5.00485e-06-0j -3.99404e-09-0j 2.28439e-07-0j 
6.3117e-05-0j 0.123481-0j 5.20362e-05-0j -0.00131626-0j -0.478115-0j 3.18455e-05-0j 3.21755e-05-0j -0.000759465-0j 3.25022e-06-0j -0.000767335-0j 3.2839e-06-0j 0.00899251-0j 0.0090857-0j -0.100735-0j -0.101779-0j 2.32421e-05-0j 2.87606e-05-0j 1.6777e-05-0j -0.000536685-0j 3.06241e-06-0j -0.000664114-0j 0.00599124-0j -0.0003874-0j 3.78954e-06-0j -5.47752e-05-0j 0.00741378-0j 2.21056e-06-0j -0.0281378-0j -6.77809e-05-0j -0.0134057-0j 0.0043247-0j -0.0348188-0j -3.95388e-05-0j -0.020311-0j -0.0165887-0j -0.00967677-0j 
-0.00306101-0j -0.000441819-0j 0.361563-0j -0.000446117-0j -3.71764e-05-0j 0.00451481-0j -0.00156043-0j -0.107807-0j 0.000460791-0j 0.0372609-0j -0.000159261-0j 9.40585e-05-0j -3.25089e-05-0j 5.54245e-06-0j -1.91561e-06-0j -0.00112718-0j 0.00407745-0j -0.000813641-0j -0.000181898-0j 0.0212786-0j 0.000657996-0j 0.0030713-0j -0.000131301-0j -0.0769729-0j -1.85649e-05-0j -0.0111101-0j 0.0153597-0j -2.18789e-06-0j 6.71564e-05-0j -9.98631e-08-0j 0.00221698-0j 7.91446e-06-0j -1.34008e-05-0j -1.5793e-06-0j 3.61244e-07-0j -7.2085e-08-0j 
-0.0840523-0j -0.0121242-0j 1.44189e-05-0j 0.0114028-0j -3.0394e-05-0j 0.000445837-0j -0.000432626-0j -0.00349463-0j -0.00870207-0j 0.00339108-0j 0.00844421-0j 0.0839865-0j -0.0814978-0j -0.000104604-0j 0.000101504-0j -0.00063266-0j 7.9694e-06-0j -0.00045581-0j 0.00480155-0j 0.00792929-0j -6.04835e-05-0j 0.00114377-0j 0.00345935-0j -9.98825e-05-0j -0.093719-0j -1.44077e-05-0j 0.00571278-0j -0.0167143-0j 0.00118055-0j 1.34046e-05-0j 0.000824045-0j 0.000210545-0j -0.0675213-0j -0.0120421-0j -1.68853e-07-0j 9.65756e-06-0j 
0.00437379-0j 0.000631302-0j 0.496176-0j -0.00061221-0j -5.10175e-05-0j -0.00212214-0j -0.0022279-0j 0.0506739-0j -0.00021659-0j 0.0531992-0j -0.000227384-0j -4.42113e-05-0j -4.64146e-05-0j -2.60518e-06-0j -2.73501e-06-0j 0.00161059-0j 0.0018407-0j 0.00102726-0j 0.000259908-0j -0.0304043-0j 0.000297042-0j -0.00438848-0j 0.000165773-0j -0.0347482-0j 2.65268e-05-0j -0.00501547-0j -0.0193922-0j 3.12621e-06-0j 3.03167e-05-0j 1.42691e-07-0j -0.00279903-0j 3.57286e-06-0j 1.69191e-05-0j 1.99394e-06-0j 1.63078e-07-0j 9.10104e-08-0j 
-0.0514713-0j -0.00742453-0j 0.000446117-0j 0.352798-0j -0.00094038-0j -0.000798113-0j 0.000275848-0j 0.0062559-0j 0.015578-0j -0.00216219-0j -0.00538413-0j -0.150348-0j 0.051964-0j 0.000187255-0j -6.47201e-05-0j 0.000199259-0j -0.000720798-0j 0.000143833-0j -0.00151227-0j -0.00249737-0j 0.00547047-0j -0.000360235-0j -0.00109161-0j 0.00903395-0j 0.0295172-0j 0.00130311-0j -0.00180269-0j 0.00526425-0j -0.106775-0j -4.22184e-06-0j -0.000260031-0j -0.0190429-0j 0.0213067-0j 0.00379994-0j 1.52721e-05-0j -3.04749e-06-0j 
-7.36365e-05-0j -0.144061-0j -1.20158e-06-0j 3.0394e-05-0j 0.0110403-0j -3.71531e-05-0j 3.60522e-05-0j 0.000886042-0j -3.79192e-06-0j -0.000859787-0j 3.67956e-06-0j -0.0104913-0j 0.0101804-0j 0.117525-0j -0.114042-0j 5.27217e-05-0j -6.64117e-07-0j 3.79841e-05-0j -0.0012174-0j 6.94669e-06-0j 1.53352e-05-0j 0.0135904-0j -0.000877097-0j -8.75051e-08-0j -0.000124251-0j -0.000171193-0j 5.00485e-06-0j -0.0638271-0j 1.56514e-06-0j -0.0304092-0j 0.00979139-0j 0.000804008-0j -8.95183e-05-0j -0.0459852-0j 0.000383054-0j -0.0219088-0j 
-0.00180409-0j -0.000260399-0j -0.622422-0j 0.000767979-0j 6.39983e-05-0j -0.000910251-0j -0.0043115-0j 0.0217355-0j -9.29021e-05-0j 0.102953-0j -0.00044004-0j -1.89636e-05-0j -8.98228e-05-0j -1.11744e-06-0j -5.29286e-06-0j -0.000664335-0j 0.00240114-0j -0.000586765-0j -0.000107207-0j 0.0125411-0j 0.000387482-0j 0.00181016-0j -9.46888e-05-0j -0.0453279-0j -1.09417e-05-0j -0.00654252-0j 0.0110768-0j -1.2895e-06-0j 3.95472e-05-0j -5.88572e-08-0j 0.0015988-0j 4.66068e-06-0j -9.66414e-06-0j -1.13893e-06-0j 2.1273e-07-0j -5.19848e-08-0j 
-4.5093e-05-0j -0.088219-0j -3.71764e-05-0j 0.00094038-0j 0.341582-0j 6.65094e-05-0j -2.29873e-05-0j -0.00158614-0j 6.78809e-06-0j 0.000548211-0j -2.34613e-06-0j 0.0187809-0j -0.00649113-0j -0.210386-0j 0.0727146-0j -1.66049e-05-0j 6.00665e-05-0j -1.19861e-05-0j 0.000383427-0j -2.18789e-06-0j -0.001387-0j -0.00428035-0j 0.000276772-0j 7.91446e-06-0j 3.91333e-05-0j 0.0154837-0j -1.5793e-06-0j 0.0201026-0j -0.000141561-0j 0.00957752-0j -0.00308972-0j -0.0727191-0j 2.82479e-05-0j 0.0145108-0j -0.0346456-0j 0.00691342-0j 
0.0735457-0j 0.0106087-0j 0.00061221-0j 0.484147-0j -0.00129049-0j 0.000375146-0j 0.000393841-0j -0.00294053-0j -0.00732228-0j -0.00308707-0j -0.00768719-0j 0.0706697-0j 0.0741915-0j -8.80177e-05-0j -9.24041e-05-0j -0.000284715-0j -0.000325393-0j -0.000181595-0j 0.00216083-0j 0.00356841-0j 0.00246956-0j 0.000514728-0j 0.00137821-0j 0.00407824-0j -0.0421762-0j 0.000588269-0j 0.00227598-0j -0.00752193-0j -0.0482021-0j 6.03246e-06-0j 0.0003283-0j -0.0085966-0j -0.0269006-0j -0.00479758-0j 6.89433e-06-0j 3.84758e-06-0j 
6.44319e-05-0j 0.126053-0j -5.10175e-05-0j 0.00129049-0j 0.468755-0j -3.12621e-05-0j -3.28201e-05-0j 0.000745553-0j -3.19068e-06-0j 0.000782708-0j -3.34969e-06-0j -0.00882778-0j -0.00926771-0j 0.09889-0j 0.103818-0j 2.37263e-05-0j 2.71161e-05-0j 1.51329e-05-0j -0.000547866-0j 3.12621e-06-0j -0.000626141-0j 0.00611606-0j -0.000349436-0j 3.57286e-06-0j -5.59164e-05-0j 0.00698987-0j 1.99394e-06-0j -0.028724-0j -6.39053e-05-0j -0.013685-0j 0.0039009-0j -0.0328279-0j -3.56642e-05-0j -0.0183206-0j -0.0156402-0j -0.00872848-0j 
-0.0303361-0j -0.00437586-0j -0.000767979-0j -0.607332-0j 0.00161884-0j 0.000160911-0j 0.000762172-0j -0.00126128-0j -0.00314074-0j -0.00597418-0j -0.0148764-0j 0.0303123-0j 0.143577-0j -3.77534e-05-0j -0.000178823-0j 0.000117439-0j -0.000424465-0j 0.000103726-0j -0.000891299-0j -0.00147189-0j 0.00322146-0j -0.000212315-0j -0.000787227-0j 0.00531993-0j 0.0173968-0j 0.000767378-0j -0.00130003-0j 0.00310264-0j -0.0628781-0j -2.48826e-06-0j -0.000187524-0j -0.011214-0j 0.0153655-0j 0.00274036-0j 8.99344e-06-0j -2.19772e-06-0j 
-2.65768e-05-0j -0.0519944-0j 6.39983e-05-0j -0.00161884-0j -0.588025-0j -1.34093e-05-0j -6.35143e-05-0j 0.00031979-0j -1.36858e-06-0j 0.00151472-0j -6.4824e-06-0j -0.0037865-0j -0.0179351-0j 0.0424168-0j 0.200912-0j -9.78659e-06-0j 3.53721e-05-0j -8.64387e-06-0j 0.000225983-0j -1.2895e-06-0j -0.000816781-0j -0.00252274-0j 0.000199597-0j 4.66068e-06-0j 2.30643e-05-0j 0.00911806-0j -1.13893e-06-0j 0.0118481-0j -8.33624e-05-0j 0.00564478-0j -0.00222818-0j -0.0428229-0j 2.03712e-05-0j 0.0104646-0j -0.0204022-0j 0.00498567-0j 
