-0.00657361-0j -0.00106081-0j 0.0823887-0j -0.000125018-0j 0.0207054-0j 0.0012137-0j -5.82392e-07-0j -0.00605923-0j -0.000958049-0j 0.0720448-0j -0.000504936-0j -0.000109322-0j 0.0120075-0j 0.0128251-0j -1.05195e-05-0j 0.0021338-0j 8.84434e-05-0j -3.46516e-08-0j 
4.11382e-06-0j -0.000126878-0j 5.42043e-07-0j 0.00213584-0j -1.29495e-05-0j -0.0205754-0j 0.223161-0j -3.64182e-06-0j 0.000110051-0j -4.55227e-07-0j -3.03485e-07-0j -0.00179375-0j 1.45006e-05-0j -2.68245e-08-0j 0.0162917-0j -0.000183074-0j -0.0655251-0j -0.0388019-0j 
-0.580363-0j 0.000390631-0j 0.000318949-0j 4.60363e-05-0j 3.98686e-05-0j 4.69856e-06-0j 2.14459e-07-0j 0.00223124-0j -0.0845831-0j 0.000278905-0j 0.000185936-0j 4.02564e-05-0j 4.64841e-05-0j 1.64346e-05-0j 3.87368e-06-0j 4.10865e-06-0j 3.42388e-07-0j 1.276e-08-0j 
0.718163-0j -0.000483381-0j -0.000394679-0j -5.6967e-05-0j -4.93348e-05-0j -5.81417e-06-0j -2.65379e-07-0j -5.46473e-05-0j 0.0020716-0j -6.83092e-06-0j -4.55394e-06-0j -9.85958e-07-0j -1.13849e-06-0j -4.02516e-07-0j -9.48738e-08-0j -1.00629e-07-0j -8.38574e-09-0j -3.12518e-10-0j 
-0.418928-0j 0.000281972-0j 0.000230229-0j 3.32307e-05-0j 2.87787e-05-0j 3.3916e-06-0j 1.54805e-07-0j -0.00312555-0j 0.118485-0j -0.000390694-0j -0.000260463-0j -5.63918e-05-0j -6.51157e-05-0j -2.30219e-05-0j -5.42631e-06-0j -5.75547e-06-0j -4.79622e-07-0j -1.78745e-08-0j 
-0.000390631-0j -0.567685-0j -5.14701e-05-0j 0.00070621-0j 0.000302581-0j 0.000108495-0j 8.27656e-06-0j -0.000360064-0j 0.00267748-0j 0.00861828-0j -3.00054e-05-0j -0.11825-0j 0.000352789-0j -2.65212e-06-0j 8.94476e-05-0j 6.3028e-05-0j 1.05599e-05-0j 5.91347e-07-0j 
-0.000318949-0j -5.14701e-05-0j -0.572723-0j 0.000869059-0j 0.00100462-0j 5.88882e-05-0j -2.82574e-08-0j -0.000293991-0j -4.64841e-05-0j 0.00349558-0j 0.00704461-0j -5.30425e-06-0j -0.0834697-0j 0.000622269-0j 7.31261e-05-0j 0.000103531-0j 4.29123e-06-0j -1.68128e-09-0j 
0.000483381-0j 0.702475-0j 6.3691e-05-0j -0.00087389-0j -0.000374425-0j -0.000134256-0j -1.02417e-05-0j 8.81867e-06-0j -6.55767e-05-0j -0.000211078-0j 7.3489e-07-0j 0.00289616-0j -8.64049e-06-0j 6.49557e-08-0j -2.19074e-06-0j -1.54368e-06-0j -2.58633e-07-0j -1.44832e-08-0j 
4.60363e-05-0j -0.00070621-0j -0.000869059-0j -0.554771-0j -7.20772e-05-0j 0.00121117-0j 0.000186224-0j 4.2434e-05-0j -0.000637798-0j 5.30425e-06-0j -0.0010168-0j 0.00338601-0j 0.0120402-0j 3.12556e-07-0j -0.143062-0j 0.000345583-0j 0.000177763-0j 1.6655e-05-0j 
-0.000281972-0j -0.409777-0j -3.71531e-05-0j 0.000509769-0j 0.000218414-0j 7.83158e-05-0j 5.97434e-06-0j 0.000504384-0j -0.00375066-0j -0.0120726-0j 4.2032e-05-0j 0.165646-0j -0.000494193-0j 3.71514e-06-0j -0.0001253-0j -8.82906e-05-0j -1.47925e-05-0j -8.28368e-07-0j 
0.000394679-0j 6.3691e-05-0j 0.708709-0j -0.00107541-0j -0.00124315-0j -7.28704e-05-0j 3.49668e-08-0j 7.20042e-06-0j 1.13849e-06-0j -8.56136e-05-0j -0.000172536-0j 1.29911e-07-0j 0.00204433-0j -1.52406e-05-0j -1.791e-06-0j -2.53567e-06-0j -1.05101e-07-0j 4.11779e-11-0j 
3.98686e-05-0j -0.000302581-0j -0.00100462-0j -7.20772e-05-0j -0.558807-0j 0.00211766-0j -8.44723e-07-0j 3.67489e-05-0j -0.000273269-0j -0.000878489-0j 3.06241e-06-0j -6.3028e-05-0j 0.00688592-0j 0.0148494-0j -9.1292e-06-0j -0.1164-0j 0.000206114-0j -6.03541e-08-0j 
-5.6967e-05-0j 0.00087389-0j 0.00107541-0j 0.686494-0j 8.9191e-05-0j -0.00149875-0j -0.00023044-0j -1.03929e-06-0j 1.56209e-05-0j -1.29911e-07-0j 2.49034e-05-0j -8.29299e-05-0j -0.000294887-0j -7.6551e-09-0j 0.00350388-0j -8.464e-06-0j -4.35376e-06-0j -4.07913e-07-0j 
-0.000230229-0j -3.71531e-05-0j -0.413414-0j 0.00062732-0j 0.000725172-0j 4.25077e-05-0j -2.03973e-08-0j 0.000411828-0j 6.51157e-05-0j -0.00489667-0j -0.00986819-0j 7.43027e-06-0j 0.116926-0j -0.000871683-0j -0.000102436-0j -0.000145028-0j -6.01123e-06-0j 2.35517e-09-0j 
-4.69856e-06-0j 0.000108495-0j 5.88882e-05-0j -0.00121117-0j -0.00211766-0j -0.541072-0j 0.00271007-0j -4.3309e-06-0j 9.79849e-05-0j 5.14948e-05-0j -3.60908e-07-0j -0.00105911-0j -0.00122807-0j 9.16688e-06-0j 0.00468964-0j 0.0206723-0j -0.162891-0j 0.000324192-0j 
-4.93348e-05-0j 0.000374425-0j 0.00124315-0j 8.9191e-05-0j 0.691489-0j -0.00262047-0j 1.04529e-06-0j -9.00052e-07-0j 6.6929e-06-0j 2.15159e-05-0j -7.50043e-08-0j 1.54368e-06-0j -0.000168649-0j -0.000363691-0j 2.23592e-07-0j 0.00285087-0j -5.04812e-06-0j 1.47819e-09-0j 
2.14459e-07-0j -8.27656e-06-0j 2.82574e-08-0j 0.000186224-0j -8.44723e-07-0j -0.00271007-0j -0.52337-0j 1.97678e-07-0j -7.4748e-06-0j 2.47097e-08-0j 1.64731e-08-0j 0.000162843-0j -9.84891e-07-0j 1.45603e-09-0j -0.00223429-0j 1.66201e-05-0j 0.0185734-0j -0.19737-0j 
3.32307e-05-0j -0.000509769-0j -0.00062732-0j -0.400455-0j -5.20281e-05-0j 0.000874271-0j 0.000134423-0j -5.94422e-05-0j 0.000893438-0j -7.43027e-06-0j 0.00142435-0j -0.00474317-0j -0.016866-0j -4.37833e-07-0j 0.200404-0j -0.000484098-0j -0.000249013-0j -2.33305e-05-0j 
5.81417e-06-0j -0.000134256-0j -7.28704e-05-0j 0.00149875-0j 0.00262047-0j 0.669543-0j -0.00335354-0j 1.06072e-07-0j -2.39984e-06-0j -1.26121e-06-0j 8.83935e-09-0j 2.59397e-05-0j 3.00778e-05-0j -2.24515e-07-0j -0.000114858-0j -0.000506304-0j 0.00398952-0j -7.94008e-06-0j 
2.87787e-05-0j -0.000218414-0j -0.000725172-0j -5.20281e-05-0j -0.403368-0j 0.00152861-0j -6.09753e-07-0j -5.14785e-05-0j 0.0003828-0j 0.0012306-0j -4.28987e-06-0j 8.82906e-05-0j -0.0096459-0j -0.0208013-0j 1.27883e-05-0j 0.163055-0j -0.000288727-0j 8.45449e-08-0j 
-3.3916e-06-0j 7.83158e-05-0j 4.25077e-05-0j -0.000874271-0j -0.00152861-0j -0.390567-0j 0.00195623-0j 6.06679e-06-0j -0.000137259-0j -7.21347e-05-0j 5.05566e-07-0j 0.00148362-0j 0.0017203-0j -1.28411e-05-0j -0.00656932-0j -0.028958-0j 0.22818-0j -0.000454133-0j 
-2.65379e-07-0j 1.02417e-05-0j -3.49668e-08-0j -0.00023044-0j 1.04529e-06-0j 0.00335354-0j 0.647637-0j -4.84151e-09-0j 1.83072e-07-0j -6.05189e-10-0j -4.03459e-10-0j -3.98835e-06-0j 2.41219e-08-0j -3.56611e-11-0j 5.4722e-05-0j -4.07059e-07-0j -0.000454899-0j 0.00483398-0j 
1.54805e-07-0j -5.97434e-06-0j 2.03973e-08-0j 0.000134423-0j -6.09753e-07-0j -0.00195623-0j -0.377788-0j -2.7691e-07-0j 1.04708e-05-0j -3.46137e-08-0j -2.30758e-08-0j -0.000228113-0j 1.37965e-06-0j -2.03963e-09-0j 0.00312983-0j -2.32817e-05-0j -0.0260179-0j 0.276479-0j 
