-0.0586083-0j -0.00845938-0j -0.0480466-0j -0.00849351-0j -0.000707793-0j -0.0292381-0j -0.0295411-0j -0.00487302-0j -0.0029841-0j -0.00492352-0j -0.000609127-0j -0.00301503-0j -0.00061544-0j -3.58932e-05-0j -3.62651e-05-0j 0.0423249-0j -0.0262569-0j -0.0153165-0j 0.00683016-0j 0.0055768-0j -0.00423718-0j 0.000804942-0j -0.00247169-0j 0.0006971-0j -0.00345965-0j 8.2154e-05-0j -0.000499357-0j -0.00201813-0j -0.000432456-0j 3.7498e-06-0j -0.000291291-0j -0.000252266-0j -5.09654e-05-0j -2.32624e-06-0j -2.97298e-05-0j -1.35697e-06-0j -0.0166698-0j 0.0387931-0j -0.0119095-0j -0.00263573-0j -0.0170171-0j -0.0070192-0j -0.00208373-0j 0.00613373-0j -0.00138915-0j -0.00030076-0j -0.00188306-0j -0.00269064-0j 0.00484914-0j -0.000347288-0j -0.00110983-0j 0.00323276-0j -0.000122785-0j -0.00148869-0j 0.000699913-0j -2.89407e-05-0j -0.000992458-0j -0.000214874-0j -0.00212714-0j -3.06962e-05-0j -0.00141809-0j 0.00080819-0j -0.000307026-0j -0.0008774-0j -2.55802e-06-0j -0.000248115-0j 0.000285738-0j -0.000584933-0j 6.73491e-05-0j -0.000126642-0j -9.53317e-08-0j -8.77217e-05-0j -2.06762e-05-0j 7.14345e-05-0j -0.000354523-0j -2.19304e-05-0j -0.000125343-0j 5.95288e-06-0j -0.000146233-0j -2.95436e-05-0j -3.13357e-05-0j -1.82754e-06-0j -5.17013e-05-0j 2.21851e-07-0j -1.21861e-05-0j -2.61131e-06-0j -6.81083e-08-0j -1.29253e-05-0j -9.73178e-08-0j -1.07711e-06-0j -4.01415e-08-0j 
0.000746025-0j 0.481765-0j 8.70519e-06-0j -0.000147124-0j 0.00175816-0j 0.000372172-0j -0.000365324-0j -0.00593025-0j 3.79846e-05-0j 0.00582114-0j 0.03469-0j -3.72857e-05-0j -0.0340517-0j 0.0126156-0j -0.0123835-0j 0.000270094-0j 4.75728e-06-0j -0.000381602-0j -0.00416706-0j 3.55879e-05-0j -7.33963e-05-0j 0.0229818-0j 0.00588744-0j -0.000425299-0j 6.26827e-07-0j 0.0071876-0j 0.000404789-0j -5.02805e-05-0j -7.49098e-06-0j 0.00110506-0j -0.0324699-0j 0.000600884-0j 0.000126599-0j 1.9464e-05-0j -0.010155-0j -0.00156129-0j -0.00064041-0j 3.52366e-06-0j 0.000151596-0j 0.00968076-0j -0.000210444-0j -0.000262955-0j -8.00513e-05-0j -5.32654e-05-0j -5.33675e-05-0j -0.0516951-0j -0.0022916-0j 0.00318118-0j 4.40457e-07-0j 0.00127555-0j 0.00397496-0j 2.93638e-07-0j -4.71707e-06-0j 1.89495e-05-0j 0.000284436-0j -0.0152431-0j 1.2633e-05-0j 0.0122371-0j -2.63056e-05-0j -0.00527611-0j -1.7537e-05-0j -7.01833e-06-0j -0.0169875-0j -3.28694e-05-0j -0.00271351-0j -0.000301945-0j 2.59542e-08-0j -2.19129e-05-0j 8.38704e-05-0j -0.0212262-0j -0.000254226-0j 1.11661e-06-0j 0.0036083-0j 2.90302e-05-0j 0.000419158-0j 0.00124895-0j -1.55007e-06-0j 1.49303e-05-0j 0.000523747-0j -0.00500902-0j -0.00173378-0j 0.000642335-0j -1.93685e-06-0j 1.3988e-06-0j -0.00625888-0j -0.000891684-0j 6.01797e-05-0j -0.00216639-0j -8.3541e-05-0j -0.00111418-0j -0.000104386-0j 
0.406038-0j -0.000609127-0j -0.00345965-0j 0.058843-0j -5.09654e-05-0j 0.00207155-0j -0.00212714-0j 0.000345258-0j -0.0408958-0j -0.000354523-0j -0.00415234-0j 0.0419933-0j 0.00426376-0j 2.54307e-06-0j -2.61131e-06-0j 0.00304765-0j 0.00186033-0j -0.00110288-0j 0.000491813-0j -0.038636-0j 0.000300209-0j 5.79607e-05-0j -0.000177977-0j -0.00970921-0j -0.0235839-0j -0.000569163-0j 3.538e-05-0j 0.0139816-0j -0.00592662-0j 2.70009e-07-0j -2.09748e-05-0j 0.00351356-0j -0.000347424-0j 1.64817e-07-0j 0.000205968-0j -9.77104e-08-0j -0.00120033-0j 0.00279334-0j 0.00254516-0j -0.000189789-0j 0.00120568-0j -0.000505425-0j 0.0144361-0j 0.000441666-0j -0.000100027-0j -2.16566e-05-0j 0.000402425-0j 0.000190635-0j -0.0335948-0j 0.00240601-0j -7.99148e-05-0j 0.000232778-0j 0.00256964-0j -0.03061-0j 5.0398e-05-0j -2.0839e-06-0j 0.000212096-0j 4.59202e-05-0j -0.0145004-0j 0.000427537-0j 0.000100473-0j -0.00559913-0j 2.17531e-05-0j 0.00607862-0j 1.77219e-05-0j -0.00510166-0j -0.00597993-0j -4.21188e-05-0j 4.84955e-06-0j -9.11898e-06-0j -6.86446e-09-0j -0.00544862-0j 4.41868e-06-0j -0.00099494-0j -0.00241674-0j -0.000906542-0j -0.0025811-0j -4.12415e-05-0j 0.0010131-0j 2.09319e-06-0j -0.000429443-0j -3.75773e-05-0j 0.001082-0j 1.59746e-08-0j -8.77475e-07-0j -1.78009e-05-0j 1.45553e-08-0j 0.000180024-0j 6.89507e-09-0j 7.46221e-06-0j -2.89044e-09-0j 
0.000609127-0j 0.393359-0j 0.000499357-0j -0.00843951-0j 0.100854-0j -0.000299003-0j 0.000307026-0j 0.00476436-0j -3.05168e-05-0j -0.00489221-0j -0.0278699-0j 3.13357e-05-0j 0.0286178-0j -0.0101353-0j 0.0104073-0j -0.000439891-0j -0.000268515-0j 0.000159187-0j 0.00678673-0j -5.79607e-05-0j 0.0041427-0j -0.0374296-0j -0.00245597-0j 0.000692668-0j -3.538e-05-0j -0.0117062-0j -0.0228475-0j 2.09748e-05-0j 0.000422813-0j -0.00179977-0j 0.013545-0j -0.000250662-0j -0.0071456-0j -0.0010986-0j 0.00423622-0j 0.000651299-0j 0.000173253-0j -0.000403184-0j -0.000367362-0j -0.00261897-0j -0.000174025-0j 7.29519e-05-0j 2.16566e-05-0j 0.00609473-0j 1.44377e-05-0j 0.0139853-0j 0.00555322-0j 0.00263065-0j -5.0398e-05-0j -0.00034508-0j -0.00110278-0j -3.35987e-05-0j 1.27613e-06-0j -4.59202e-05-0j -0.0325458-0j 0.00412377-0j -3.06135e-05-0j -0.0296541-0j -2.17531e-05-0j 0.00142737-0j -1.45021e-05-0j 0.000803051-0j -0.0140476-0j 9.11898e-06-0j 0.000734097-0j 0.000731701-0j -2.96973e-06-0j 6.07932e-06-0j -0.00959662-0j 0.00588881-0j 6.87768e-05-0j -2.70588e-06-0j -0.00874398-0j -0.00332169-0j 0.000346618-0j -0.00302656-0j -1.28181e-06-0j -0.00170835-0j -0.000145304-0j -0.00414216-0j -0.00143373-0j -0.00155657-0j 5.37341e-07-0j -0.000160054-0j 0.00173641-0j -0.00073737-0j -0.000145833-0j 0.000601024-0j -6.90834e-05-0j 0.000309108-0j 2.896e-05-0j 
-0.410246-0j 0.00061544-0j -0.00339599-0j 0.0577603-0j -5.00276e-05-0j 0.00212714-0j -0.00214831-0j 0.000354523-0j -0.0419933-0j -0.000358052-0j -0.00426376-0j 0.0424112-0j 0.0043062-0j 2.61131e-06-0j -2.6373e-06-0j -0.00307924-0j -0.00185587-0j 0.0010205-0j -0.00049691-0j 0.0390364-0j -0.000299489-0j -5.85614e-05-0j 0.000164682-0j 0.00980982-0j 0.0235274-0j 0.000575061-0j -3.52951e-05-0j -0.0129372-0j 0.00591241-0j -2.72807e-07-0j 1.9408e-05-0j -0.00325111-0j 0.000346591-0j -1.64422e-07-0j -0.000190583-0j 9.04118e-08-0j 0.00121277-0j 0.00274194-0j 0.000866443-0j 0.000191755-0j -0.00123753-0j 0.00243826-0j -0.0145857-0j 0.000433539-0j 0.000101064-0j 2.1881e-05-0j 0.000136997-0j -0.000195671-0j -0.0329767-0j -0.00243094-0j 0.000385522-0j 0.000228495-0j -0.00259627-0j -0.0104205-0j 4.94707e-05-0j 2.1055e-06-0j 7.22036e-05-0j 1.56325e-05-0j 0.0148835-0j -0.000431967-0j -0.000103128-0j -0.00549611-0j -2.23278e-05-0j -0.0293243-0j -1.79056e-05-0j -0.00173675-0j -0.0058699-0j 0.000203188-0j 4.76032e-06-0j 4.39915e-05-0j 6.9356e-09-0j -0.00185486-0j 1.50424e-06-0j -0.000976633-0j 0.00248058-0j -0.000308612-0j 0.00264929-0j -4.04827e-05-0j -0.00488739-0j -2.14849e-06-0j 0.000440788-0j -1.27924e-05-0j -0.00521977-0j 1.56807e-08-0j 4.23309e-06-0j 1.82712e-05-0j 4.95503e-09-0j -0.000868466-0j -7.07722e-09-0j -3.5999e-05-0j 1.3944e-08-0j 
-0.355283-0j 0.000532986-0j 4.30885e-05-0j -0.000732866-0j 6.34754e-07-0j -0.00546737-0j -0.00180826-0j -0.000911228-0j 0.107935-0j -0.000301377-0j 0.0109591-0j 0.0356981-0j 0.00362458-0j -6.71183e-06-0j -2.21985e-06-0j 0.00133689-0j -6.98866e-05-0j -0.00188884-0j 0.00021574-0j -0.0169482-0j -1.12779e-05-0j 2.54253e-05-0j -0.000304809-0j -0.00425907-0j 0.000885974-0j -0.000249671-0j -1.32911e-06-0j 0.0239453-0j 0.000222644-0j 1.18443e-07-0j -3.59221e-05-0j 0.00601745-0j 1.30516e-05-0j -6.19164e-09-0j 0.000352748-0j -1.67342e-07-0j 0.00105029-0j 1.74412e-05-0j 0.000702602-0j 0.000166065-0j 0.00309152-0j -0.00130156-0j -0.0126316-0j 2.7577e-06-0j 8.7524e-05-0j 1.89495e-05-0j 0.000111091-0j 0.000488813-0j -0.000209761-0j -0.00210526-0j -0.000205795-0j 1.45344e-06-0j -0.00224844-0j -0.00845001-0j 3.14678e-07-0j 1.82342e-06-0j 5.85501e-05-0j 1.26765e-05-0j -0.037181-0j -0.000374095-0j 0.000257627-0j -3.49602e-05-0j 5.57779e-05-0j 0.0156536-0j -1.55067e-05-0j -0.00140834-0j -3.73378e-05-0j -0.000108464-0j 3.02799e-08-0j -2.3483e-05-0j 6.00641e-09-0j -0.00150412-0j 1.21979e-06-0j -6.21227e-06-0j -0.00619683-0j -0.000250255-0j -0.00661827-0j -2.57506e-07-0j 0.00260893-0j 5.36723e-06-0j -0.00110115-0j -1.03734e-05-0j 0.00278636-0j 9.97432e-11-0j -2.25966e-06-0j -4.56439e-05-0j 4.01805e-09-0j 0.000463594-0j 1.76799e-08-0j 1.92166e-05-0j -7.4434e-09-0j 
-0.00061544-0j -0.397436-0j 0.000490169-0j -0.00828422-0j 0.0989981-0j -0.000307026-0j 0.000310082-0j 0.00489221-0j -3.13357e-05-0j -0.0049409-0j -0.0286178-0j 3.16476e-05-0j 0.0289026-0j -0.0104073-0j 0.0105109-0j 0.00044445-0j 0.000267871-0j -0.000147296-0j -0.00685706-0j 5.85614e-05-0j -0.00413277-0j 0.0378175-0j 0.00227252-0j -0.000699846-0j 3.52951e-05-0j 0.0118275-0j 0.0227927-0j -1.9408e-05-0j -0.000421799-0j 0.00181842-0j -0.0125332-0j 0.000231938-0j 0.00712847-0j 0.00109597-0j -0.00391979-0j -0.000602649-0j -0.000175048-0j -0.000395765-0j -0.00012506-0j 0.00264611-0j 0.000178622-0j -0.000351932-0j -2.1881e-05-0j 0.00598258-0j -1.45873e-05-0j -0.0141302-0j 0.00189047-0j -0.00270014-0j -4.94707e-05-0j 0.000348656-0j 0.00531998-0j -3.29805e-05-0j -1.28935e-06-0j -1.56325e-05-0j -0.0319469-0j -0.00416651-0j -1.04217e-05-0j -0.0100951-0j 2.23278e-05-0j -0.00144216-0j 1.48852e-05-0j 0.000788275-0j 0.0144187-0j -4.39915e-05-0j -0.000741704-0j 0.000249092-0j -2.91509e-06-0j -2.93277e-05-0j -0.00942004-0j -0.0284086-0j -6.94896e-05-0j -9.21156e-07-0j -0.0029767-0j -0.00326057-0j -0.000355775-0j -0.00103033-0j 1.31568e-06-0j -0.00167692-0j 0.000700969-0j 0.00425159-0j 0.00147161-0j -0.000529899-0j -2.59223e-06-0j -0.000157109-0j -0.00837672-0j 0.00075685-0j -4.96457e-05-0j -0.00289944-0j 7.09085e-05-0j -0.00149119-0j -0.000139708-0j 
-0.000532986-0j -0.344189-0j -6.21929e-06-0j 0.000105111-0j -0.00125609-0j 0.000789147-0j 0.000261-0j -0.0125744-0j 8.0542e-05-0j -0.00415882-0j 0.0735561-0j 2.66382e-05-0j 0.0243277-0j 0.0267499-0j 0.00884717-0j -0.000192964-0j 1.00873e-05-0j 0.00027263-0j 0.00297709-0j -2.54253e-05-0j -0.000155628-0j -0.016419-0j -0.00420619-0j 0.000303848-0j 1.32911e-06-0j -0.00513507-0j 0.000858308-0j 3.59221e-05-0j -1.58837e-05-0j -0.000789494-0j 0.0231976-0j -0.000429292-0j 0.000268437-0j 4.1271e-05-0j 0.0072551-0j 0.00111544-0j -0.000151596-0j -2.51742e-06-0j -0.000101412-0j 0.0022916-0j -0.000446223-0j 0.000187864-0j -1.89495e-05-0j 3.80546e-05-0j -1.2633e-05-0j -0.0122371-0j 0.00153299-0j 0.00674532-0j -3.14678e-07-0j 0.000301945-0j -0.00283985-0j -2.09785e-07-0j -1.11661e-06-0j -1.26765e-05-0j -0.000203211-0j -0.0036083-0j -8.45098e-06-0j -0.00818615-0j -5.57779e-05-0j -0.00124895-0j -3.71852e-05-0j 5.01414e-06-0j -0.0360199-0j 2.3483e-05-0j -0.000642335-0j 0.000201989-0j -1.85426e-08-0j 1.56554e-05-0j -5.99199e-05-0j 0.0151648-0j -6.01797e-05-0j -7.46968e-07-0j -0.00241381-0j -2.07402e-05-0j 0.000888774-0j -0.000835496-0j -3.28674e-06-0j -1.06667e-05-0j -0.000374183-0j -0.010621-0j -0.00367627-0j -0.000429697-0j 1.38375e-06-0j -9.99353e-07-0j 0.00447156-0j -0.00189071-0j -4.02579e-05-0j 0.00154775-0j -0.000177139-0j 0.000796009-0j 7.45773e-05-0j 
0.293094-0j -0.000439691-0j 0.00488797-0j -0.0831365-0j 7.20066e-05-0j 0.00149532-0j -0.00140618-0j 0.000249221-0j -0.0295202-0j -0.000234364-0j -0.00299731-0j 0.0277604-0j 0.00281864-0j 1.83568e-06-0j -1.72625e-06-0j -0.00110288-0j -0.00262837-0j -0.00308244-0j -0.000177977-0j 0.0139816-0j -0.000424151-0j -2.09748e-05-0j -0.000497426-0j 0.00351356-0j 0.0333206-0j 0.000205968-0j -4.99867e-05-0j 0.039077-0j 0.00837344-0j -9.77104e-08-0j -5.86223e-05-0j 0.00982002-0j 0.000490859-0j -2.32862e-07-0j 0.000575659-0j -2.7309e-07-0j -0.000866443-0j 0.00197854-0j 0.00183719-0j -0.000136997-0j 0.000797037-0j -0.000424516-0j 0.0104205-0j 0.000312834-0j -7.22036e-05-0j -1.56325e-05-0j 0.000290486-0j 0.000126023-0j -0.0237954-0j 0.00173675-0j -6.71218e-05-0j 0.000164878-0j 0.00185486-0j -0.0220954-0j 3.56971e-05-0j -1.50424e-06-0j 0.000153099-0j 3.3147e-05-0j -0.00958577-0j 0.000308612-0j 6.64198e-05-0j -0.00396589-0j 1.43803e-05-0j 0.00510554-0j 1.27924e-05-0j -0.00368257-0j -0.00423561-0j -3.53763e-05-0j 3.43496e-06-0j -7.65919e-06-0j -4.95503e-09-0j -0.00393302-0j 3.18957e-06-0j -0.000704721-0j -0.00159763-0j -0.000654376-0j -0.00170628-0j -2.92116e-05-0j 0.000850924-0j 1.38375e-06-0j -0.000283891-0j -2.71247e-05-0j 0.000908795-0j 1.13149e-08-0j -7.37006e-07-0j -1.17676e-05-0j 1.05066e-08-0j 0.000151205-0j 4.55811e-09-0j 6.26765e-06-0j -2.42773e-09-0j 
0.000439691-0j 0.283942-0j -0.000705518-0j 0.0119238-0j -0.142492-0j -0.000215831-0j 0.000202965-0j 0.0034391-0j -2.20282e-05-0j -0.00323409-0j -0.0201176-0j 2.07151e-05-0j 0.0189183-0j -0.00731608-0j 0.00687995-0j 0.000159187-0j 0.000379372-0j 0.000444912-0j -0.00245597-0j 2.09748e-05-0j -0.00585303-0j 0.013545-0j -0.00686419-0j -0.000250662-0j 4.99867e-05-0j 0.00423622-0j 0.0322801-0j 5.86223e-05-0j -0.000597372-0j 0.000651299-0j 0.0378568-0j -0.000700573-0j 0.0100957-0j 0.00155216-0j 0.0118398-0j 0.00182031-0j 0.00012506-0j -0.000285577-0j -0.000265176-0j -0.00189047-0j -0.000115042-0j 6.12736e-05-0j 1.56325e-05-0j 0.00431692-0j 1.04217e-05-0j 0.0100951-0j 0.00400853-0j 0.00173904-0j -3.56971e-05-0j -0.000249092-0j -0.000926241-0j -2.37981e-05-0j 9.21156e-07-0j -3.3147e-05-0j -0.0230523-0j 0.0029767-0j -2.2098e-05-0j -0.0214055-0j -1.43803e-05-0j 0.00103033-0j -9.58687e-06-0j 0.000568805-0j -0.00928644-0j 7.65919e-06-0j 0.000529899-0j 0.00052817-0j -2.10347e-06-0j 5.10613e-06-0j -0.00679733-0j 0.00494612-0j 4.96457e-05-0j -1.9532e-06-0j -0.00631174-0j -0.00235277-0j 0.000229138-0j -0.00218469-0j -8.47367e-07-0j -0.00121003-0j -0.000122043-0j -0.00273825-0j -0.000947793-0j -0.00112359-0j 4.51322e-07-0j -0.000113367-0j 0.00145844-0j -0.000487452-0j -0.000105268-0j 0.000504811-0j -4.56689e-05-0j 0.000259625-0j 2.4324e-05-0j 
-0.0936449-0j 0.000140483-0j -0.00313482-0j 0.0533182-0j -4.61802e-05-0j 0.000485552-0j 0.00518892-0j 8.09253e-05-0j -0.0095856-0j 0.000864821-0j -0.000973269-0j -0.102438-0j -0.010401-0j 5.96071e-07-0j 6.37e-06-0j 0.000352376-0j -0.00171314-0j -0.00329562-0j 5.68644e-05-0j -0.00446718-0j -0.000276457-0j 6.70154e-06-0j -0.000531829-0j -0.0011226-0j 0.021718-0j -6.58078e-05-0j -3.25807e-05-0j 0.0417796-0j 0.00545771-0j 3.1219e-08-0j -6.26766e-05-0j 0.0104992-0j 0.000319936-0j -1.51777e-07-0j 0.000615472-0j -2.91977e-07-0j 0.000276833-0j -0.0012689-0j 0.000197779-0j 4.37711e-05-0j 0.00298907-0j -0.00217883-0j -0.0033294-0j -0.000200631-0j 2.30694e-05-0j 4.99467e-06-0j 3.12716e-05-0j 0.000472614-0j 0.0152608-0j -0.0005549-0j -0.000344503-0j -0.000105742-0j -0.000592638-0j -0.00237864-0j -2.28938e-05-0j 4.80613e-07-0j 1.64816e-05-0j 3.56837e-06-0j -0.0359488-0j -9.86031e-05-0j 0.000249089-0j 0.00254346-0j 5.39294e-05-0j 0.0262042-0j -4.08722e-06-0j -0.00039644-0j 0.00271644-0j -0.000181569-0j -2.20295e-06-0j -3.93109e-05-0j 1.58316e-09-0j -0.000423401-0j 3.43366e-07-0j 0.000451961-0j -0.00599147-0j -7.04455e-05-0j -0.00639895-0j 1.87343e-05-0j 0.00436737-0j 5.18936e-06-0j -0.00106466-0j -2.92005e-06-0j 0.00466439-0j -7.25661e-09-0j -3.78269e-06-0j -4.41314e-05-0j 1.13106e-09-0j 0.000776061-0j 1.7094e-08-0j 3.21687e-05-0j -1.24603e-08-0j 
-0.000140483-0j -0.0907207-0j 0.000452472-0j -0.00764711-0j 0.0913846-0j -7.00834e-05-0j -0.000748957-0j 0.00111672-0j -7.15286e-06-0j 0.011934-0j -0.00653245-0j -7.64401e-05-0j -0.0698099-0j -0.00237563-0j -0.0253875-0j -5.08611e-05-0j 0.00024727-0j 0.000475682-0j 0.000784695-0j -6.70154e-06-0j -0.00381494-0j -0.00432769-0j -0.00733892-0j 8.00876e-05-0j 3.25807e-05-0j -0.00135349-0j 0.0210398-0j 6.26766e-05-0j -0.000389361-0j -0.000208093-0j 0.040475-0j -0.000749025-0j 0.00658025-0j 0.00101168-0j 0.0126586-0j 0.00194621-0j -3.99574e-05-0j 0.00018315-0j -2.85469e-05-0j 0.000604015-0j -0.000431436-0j 0.000314487-0j -4.99467e-06-0j -0.00276859-0j -3.32978e-06-0j -0.00322544-0j 0.000431529-0j 0.00652179-0j 2.28938e-05-0j 7.9586e-05-0j -0.00475394-0j 1.52625e-05-0j -2.94314e-07-0j -3.56837e-06-0j 0.0147842-0j -0.000951069-0j -2.37891e-06-0j -0.00230436-0j -5.39294e-05-0j -0.000329195-0j -3.5953e-05-0j -0.000364793-0j -0.0348263-0j 3.93109e-05-0j -0.000169305-0j 5.6859e-05-0j 1.34903e-06-0j 2.62072e-05-0j 0.00435935-0j 0.025386-0j -1.58621e-05-0j -2.10268e-07-0j -0.000679476-0j 0.00150891-0j 0.000859321-0j -0.000235188-0j -3.17782e-06-0j 0.000776034-0j -0.000626386-0j -0.0102691-0j -0.00355444-0j -0.000120958-0j 2.31641e-06-0j 7.27059e-05-0j 0.00748544-0j -0.00182806-0j -1.13324e-05-0j 0.00259094-0j -0.000171269-0j 0.00133253-0j 0.000124843-0j 
0.00338904-0j 0.000489166-0j -0.40491-0j 0.000491139-0j 4.09283e-05-0j 0.0016907-0j 0.00170822-0j -0.0410671-0j 0.000172556-0j -0.0414927-0j 3.52229e-05-0j 0.000174345-0j 3.55879e-05-0j 2.07553e-06-0j 2.09704e-06-0j 0.00122698-0j 0.00151831-0j 0.000885681-0j 0.000198003-0j -0.0235616-0j 0.000245016-0j -0.00340083-0j 0.000142926-0j 2.02086e-05-0j -0.029156-0j 2.38161e-06-0j -0.00420831-0j -0.0170077-0j 2.50069e-05-0j 1.08705e-07-0j -0.00245485-0j 1.45873e-05-0j 2.94709e-06-0j 1.34515e-07-0j 1.71913e-06-0j 7.84674e-08-0j 0.000963937-0j 0.00112459-0j 0.00068867-0j 0.000152412-0j 0.000984019-0j 0.000405887-0j 0.000120492-0j 0.000177814-0j -0.0234944-0j 1.73915e-05-0j 0.000108888-0j 0.000155587-0j 0.000140574-0j -0.00292675-0j 6.41764e-05-0j -0.0274101-0j 7.10007e-06-0j 8.60837e-05-0j 2.02901e-05-0j -0.000243896-0j -0.0167852-0j 1.24251e-05-0j 0.000123002-0j 1.77502e-06-0j -0.0239838-0j -0.00341455-0j 1.77539e-05-0j 5.07359e-05-0j 1.47918e-07-0j -0.00209097-0j 8.28341e-06-0j -0.00989283-0j -0.000284546-0j 7.32309e-06-0j 5.51258e-09-0j 5.07253e-06-0j -0.000174248-0j 2.07085e-06-0j -0.00298773-0j 1.26813e-06-0j 7.24798e-06-0j 1.72571e-07-0j -0.00123238-0j -0.000248977-0j 1.812e-06-0j 1.05678e-07-0j 2.98964e-06-0j 6.43134e-09-0j -0.000102698-0j 1.51e-07-0j 3.93838e-09-0j 7.4741e-07-0j 5.62742e-09-0j 6.22842e-08-0j 2.32119e-09-0j 
0.0576421-0j 0.00826727-0j -0.000491139-0j -0.395141-0j 0.0010412-0j -0.000298876-0j -0.000301974-0j 0.00235627-0j 0.00590032-0j 0.00238069-0j -0.0572756-0j 0.00596146-0j -0.0578691-0j 7.0523e-05-0j 7.12538e-05-0j -0.000216901-0j -0.000268402-0j -0.000156568-0j 0.0016557-0j 0.00274973-0j 0.00204882-0j 0.000394377-0j 0.00119515-0j -0.0326862-0j 0.00340261-0j -0.00582931-0j 0.000488017-0j 0.00198486-0j -0.0404471-0j 4.62181e-06-0j 0.000284676-0j -0.0235942-0j -0.0072134-0j 5.7192e-06-0j -0.00420782-0j 3.3362e-06-0j -0.000170402-0j -0.000198802-0j -0.000121741-0j 0.00127447-0j -0.000173952-0j -7.17514e-05-0j 0.00204938-0j 0.00148688-0j -1.42001e-05-0j 0.00029393-0j 0.000910522-0j 0.00130102-0j 0.00239094-0j -0.0161568-0j 0.000536642-0j -1.65668e-05-0j 0.000364792-0j 0.00146415-0j 0.000342918-0j 4.25731e-05-0j -1.01451e-05-0j 0.000209994-0j 0.00209207-0j -0.00580267-0j -1.4496e-05-0j -0.0188496-0j 0.000300054-0j 0.000862936-0j -0.000483571-0j -0.011543-0j 0.000425591-0j -5.97928e-06-0j 4.96686e-05-0j 0.000123766-0j 2.81449e-07-0j 0.00026062-0j 3.04157e-05-0j -0.00676978-0j -0.0164934-0j -0.00414563-0j 0.000372392-0j -0.000564167-0j -0.00680318-0j 4.346e-05-0j -0.00592356-0j -0.00034548-0j 0.000153604-0j 3.28357e-07-0j 1.79263e-05-0j -0.000493646-0j 2.01077e-07-0j -0.00244334-0j 2.87313e-07-0j -0.000203619-0j 1.1851e-07-0j 
4.99253e-05-0j 0.0987955-0j 4.09283e-05-0j -0.0010412-0j -0.382629-0j 2.49064e-05-0j 2.51645e-05-0j -0.000597369-0j 2.542e-06-0j -0.00060356-0j 0.00711388-0j 2.56834e-06-0j 0.0071876-0j -0.0801474-0j -0.080978-0j 1.80751e-05-0j 2.23668e-05-0j 1.30473e-05-0j -0.000419758-0j 2.38161e-06-0j -0.000519424-0j 0.00471288-0j -0.000302998-0j -4.28414e-05-0j 2.94709e-06-0j -0.0222651-0j 0.00583189-0j 1.71913e-06-0j -5.30135e-05-0j -0.0106051-0j 0.00340194-0j -3.09246e-05-0j -0.0275516-0j -0.0131232-0j -0.0160718-0j -0.00765519-0j 1.42001e-05-0j 1.65668e-05-0j 1.01451e-05-0j -0.000323107-0j 1.4496e-05-0j 5.97928e-06-0j 1.77502e-06-0j -0.000376958-0j 1.18334e-06-0j 0.00351252-0j -0.000230839-0j -0.000329838-0j 2.07085e-06-0j -4.25731e-05-0j -0.000136051-0j 1.38057e-06-0j 1.04594e-07-0j 1.26813e-06-0j 0.00409794-0j -0.0156452-0j 8.45422e-07-0j 0.00250947-0j 1.812e-06-0j 0.000358495-0j 1.208e-06-0j -4.96686e-05-0j 0.0035857-0j 7.4741e-07-0j -0.00571191-0j -3.04157e-05-0j 1.22026e-07-0j 4.98273e-07-0j -0.0182527-0j 0.00147903-0j -0.00108124-0j 7.47254e-08-0j -0.0111775-0j 0.000418245-0j -4.346e-05-0j 0.000256121-0j 1.06773e-07-0j -0.0066639-0j -1.79263e-05-0j -0.0159711-0j 0.000365964-0j -0.00408079-0j 4.40416e-08-0j -0.00126145-0j -0.00658775-0j -0.00583091-0j -0.000772475-0j 0.000150952-0j -0.00110377-0j -0.00240513-0j -0.00045528-0j 
