0.0817025-0j -0.00104002-0j 0.0205318-0j -0.000122568-0j 0.00120359-0j 0.0118403-0j -5.70979e-07-0j 0.0710419-0j -0.000933977-0j -0.00644478-0j -0.000106575-0j 0.00210397-0j -1.02552e-05-0j 8.72121e-05-0j -0.000492249-0j -0.00590699-0j 0.0126456-0j -3.3781e-08-0j 
0.00836316-0j -5.29538e-05-0j -0.100056-0j -6.24066e-06-0j 0.000123201-0j 0.00121199-0j -2.9072e-08-0j 0.00727193-0j -4.75544e-05-0j -0.000328142-0j -5.42638e-06-0j -0.0102531-0j -5.22153e-07-0j 8.92714e-06-0j -2.50634e-05-0j -0.00030076-0j -0.124325-0j -1.71999e-09-0j 
-0.00042802-0j 0.102687-0j -5.35025e-05-0j -6.17794e-05-0j -6.30533e-06-0j 6.02628e-05-0j -2.87798e-07-0j -0.0708281-0j 0.000457363-0j -0.00324844-0j -0.0102232-0j 5.32653e-06-0j 5.0219e-06-0j 4.43878e-07-0j 0.000241051-0j 0.00289262-0j 2.13061e-05-0j 1.65423e-08-0j 
-0.00844983-0j 5.35025e-05-0j 0.101093-0j 6.30533e-06-0j -0.000124478-0j 0.00118969-0j 2.93732e-08-0j 0.00713813-0j -4.66794e-05-0j 0.000331543-0j -5.32653e-06-0j -0.0100645-0j -5.12546e-07-0j 8.76288e-06-0j -2.46022e-05-0j -0.000295226-0j -0.122038-0j -1.68835e-09-0j 
-5.20055e-07-0j 0.000122425-0j 1.2495e-05-0j -0.00207267-0j 0.0200821-0j 1.44862e-05-0j -0.219059-0j -4.52198e-07-0j 0.000109942-0j -3.94694e-06-0j -0.00180223-0j -0.000183939-0j 0.0164631-0j -0.0666111-0j -3.01465e-07-0j -3.61758e-06-0j -2.6646e-08-0j -0.0394318-0j 
0.702888-0j 6.13924e-05-0j -0.00121199-0j -0.00105445-0j -7.10479e-05-0j 0.00144989-0j 3.37048e-08-0j -5.96909e-05-0j 7.84748e-07-0j 0.000380435-0j 8.95467e-08-0j -1.7678e-06-0j -1.25579e-06-0j -7.32776e-08-0j -0.000120969-0j 4.96318e-06-0j -1.06251e-05-0j 2.83835e-11-0j 
6.13924e-05-0j 0.696706-0j -0.000363002-0j -0.000847179-0j -0.000130149-0j -5.99031e-06-0j -9.92833e-06-0j -0.00014884-0j -4.54632e-05-0j 0.000465936-0j 0.00205391-0j -1.07014e-06-0j -1.51868e-06-0j -1.79289e-07-0j 5.06553e-07-0j 6.07863e-06-0j 4.47734e-08-0j -1.004e-08-0j 
0.00121199-0j 0.000363002-0j 0.685893-0j 8.64649e-05-0j -0.00256937-0j -0.000118259-0j 1.01331e-06-0j 1.50003e-05-0j 4.64007e-06-0j -4.75544e-05-0j 1.07014e-06-0j 0.00202203-0j 1.55e-07-0j -3.53947e-06-0j -5.16998e-08-0j -6.20398e-07-0j -0.000256454-0j 1.0247e-09-0j 
0.00105445-0j 0.000847179-0j 8.64649e-05-0j 0.68094-0j -0.00146127-0j -0.00020795-0j -0.000224663-0j -8.95467e-08-0j 1.08291e-05-0j -5.49111e-05-0j -5.7827e-05-0j -5.90195e-06-0j 0.00248504-0j -3.03538e-06-0j 1.74604e-05-0j -7.16374e-07-0j -5.27659e-09-0j -2.84382e-07-0j 
-7.10479e-05-0j -0.000130149-0j 0.00256937-0j 0.00146127-0j 0.66421-0j 2.10904e-05-0j -0.00328821-0j -8.79331e-07-0j -1.66363e-06-0j 5.60434e-06-0j 1.80855e-05-0j -0.000357038-0j -8.0555e-05-0j 0.00282964-0j 6.09288e-09-0j 7.31146e-08-0j -1.56522e-07-0j -5.56716e-06-0j 
-0.000706993-0j -0.000211751-0j -0.400105-0j -5.04378e-05-0j 0.0014988-0j -0.00948604-0j -5.91095e-07-0j 0.00120324-0j 0.0003722-0j 2.77401e-05-0j 8.58406e-05-0j 0.162196-0j 1.24332e-05-0j -0.000283916-0j -4.14707e-06-0j -4.97648e-05-0j -0.0205713-0j 8.21956e-08-0j 
-0.000615098-0j -0.000494188-0j -5.04378e-05-0j -0.397215-0j 0.000852406-0j -0.0166806-0j 0.000131054-0j -7.18293e-06-0j 0.000868646-0j 3.20315e-05-0j -0.00463856-0j -0.000473421-0j 0.199336-0j -0.000243481-0j 0.00140058-0j -5.74635e-05-0j -4.23258e-07-0j -2.28115e-05-0j 
-0.000380435-0j -0.000465936-0j -4.75544e-05-0j -5.49111e-05-0j -5.60434e-06-0j -7.84748e-07-0j -2.55802e-07-0j -4.70849e-06-0j 0.00146906-0j 0.71218-0j -6.79612e-07-0j -6.93626e-08-0j -6.53957e-08-0j -5.78022e-09-0j -3.13899e-06-0j -3.76679e-05-0j -2.7745e-07-0j -2.15416e-10-0j 
4.14446e-05-0j 7.59205e-05-0j -0.0014988-0j -0.000852406-0j -0.387456-0j 0.00169175-0j 0.00191812-0j -7.05349e-05-0j -0.000133447-0j -3.2692e-06-0j 0.00145072-0j -0.0286396-0j -0.00646166-0j 0.226978-0j 4.88737e-07-0j 5.86484e-06-0j -1.25553e-05-0j -0.000446566-0j 
-0.410018-0j -3.58123e-05-0j 0.000706993-0j 0.000615098-0j 4.14446e-05-0j 0.116302-0j -1.96612e-08-0j -0.00478807-0j 6.29481e-05-0j -0.00022192-0j 7.18293e-06-0j -0.000141803-0j -0.000100732-0j -5.87791e-06-0j -0.00970348-0j 0.000398119-0j -0.000852284-0j 2.27677e-09-0j 
-3.58123e-05-0j -0.406412-0j 0.000211751-0j 0.000494188-0j 7.59205e-05-0j -0.000480509-0j 5.79152e-06-0j -0.0119391-0j -0.0036468-0j -0.000271796-0j 0.164753-0j -8.58406e-05-0j -0.00012182-0j -1.43816e-05-0j 4.06328e-05-0j 0.000487594-0j 3.59147e-06-0j -8.0535e-07-0j 
-3.37048e-08-0j 9.92833e-06-0j 1.01331e-06-0j -0.000224663-0j 0.00328821-0j 1.67217e-08-0j 0.642569-0j -4.17151e-10-0j 1.26909e-07-0j -2.55802e-07-0j -2.78057e-06-0j -2.8379e-07-0j 3.83693e-05-0j -0.000320808-0j -2.78101e-10-0j -3.33721e-09-0j -2.45809e-11-0j 0.0034286-0j 
-0.56802-0j -4.96126e-05-0j 0.000979435-0j 0.000852127-0j 5.74154e-05-0j -0.0823174-0j -2.72376e-08-0j 0.00338894-0j -4.45539e-05-0j -0.000307438-0j -5.08399e-06-0j 0.000100366-0j 7.12971e-05-0j 4.16031e-06-0j 0.00686801-0j -0.000281783-0j 0.000603236-0j -1.61147e-09-0j 
-4.96126e-05-0j -0.563024-0j 0.00029335-0j 0.000684624-0j 0.000105177-0j 0.000340098-0j 8.0233e-06-0j 0.00845037-0j 0.00258116-0j -0.000376533-0j -0.11661-0j 6.07569e-05-0j 8.62229e-05-0j 1.01791e-05-0j -2.87594e-05-0j -0.000345113-0j -2.542e-06-0j 5.70017e-07-0j 
-0.000979435-0j -0.00029335-0j -0.554286-0j -6.98742e-05-0j 0.00207636-0j 0.0067141-0j -8.18875e-07-0j -0.000851637-0j -0.000263439-0j 3.84297e-05-0j -6.07569e-05-0j -0.1148-0j -8.80008e-06-0j 0.000200953-0j 2.93524e-06-0j 3.52229e-05-0j 0.0145601-0j -5.81771e-08-0j 
-0.000852127-0j -0.000684624-0j -6.98742e-05-0j -0.550283-0j 0.00118088-0j 0.0118063-0j 0.000181555-0j 5.08399e-06-0j -0.000614817-0j 4.43748e-05-0j 0.00328312-0j 0.000335082-0j -0.141088-0j 0.000172333-0j -0.000991311-0j 4.06719e-05-0j 2.99577e-07-0j 1.61457e-05-0j 
5.74154e-05-0j 0.000105177-0j -0.00207636-0j -0.00118088-0j -0.536763-0j -0.0011974-0j 0.00265727-0j 4.99238e-05-0j 9.44524e-05-0j -4.52899e-06-0j -0.0010268-0j 0.0202707-0j 0.00457349-0j -0.160652-0j -3.45922e-07-0j -4.15106e-06-0j 8.88651e-06-0j 0.000316074-0j 
0.000307438-0j 0.000376533-0j 3.84297e-05-0j 4.43748e-05-0j 4.52899e-06-0j 4.45539e-05-0j 2.06719e-07-0j 0.000267323-0j -0.0834055-0j -0.575528-0j 3.85848e-05-0j 3.93804e-06-0j 3.71282e-06-0j 3.2817e-07-0j 0.000178215-0j 0.00213859-0j 1.57522e-05-0j 1.22302e-08-0j 
0.00022192-0j 0.000271796-0j 2.77401e-05-0j 3.20315e-05-0j 3.2692e-06-0j -6.29481e-05-0j 1.49218e-07-0j -0.000377688-0j 0.11784-0j -0.415438-0j -5.45146e-05-0j -5.56388e-06-0j -5.24567e-06-0j -4.63656e-07-0j -0.000251792-0j -0.00302151-0j -2.22555e-05-0j -1.72794e-08-0j 
1.96612e-08-0j -5.79152e-06-0j -5.91095e-07-0j 0.000131054-0j -0.00191812-0j 1.34132e-06-0j -0.374832-0j -3.34615e-08-0j 1.01799e-05-0j 1.49218e-07-0j -0.000223041-0j -2.27641e-05-0j 0.00307777-0j -0.0257334-0j -2.23077e-08-0j -2.67692e-07-0j -1.97174e-09-0j 0.275023-0j 
2.72376e-08-0j -8.0233e-06-0j -8.18875e-07-0j 0.000181555-0j -0.00265727-0j -9.4937e-07-0j -0.519274-0j 2.36836e-08-0j -7.20521e-06-0j 2.06719e-07-0j 0.000157866-0j 1.61121e-05-0j -0.00217841-0j 0.0182138-0j 1.57891e-08-0j 1.89469e-07-0j 1.39557e-09-0j -0.194658-0j 
