0.0114055-0.0209754j -0.0051246-0.00605475j 0.0130803+0.0379021j 0.0490594-0.0578592j 0.00694308+0.0143724j 0.00317924-0.0152409j -0.013864-0.010241j -0.0151037+0.00452216j 0.0250928+0.0129002j 0.00124503+0.037843j -0.00474164-0.0144682j 0.00913717-0.00755847j -0.0067538+0.0306017j 0.0121358+0.00328215j 0.00679114-0.00397319j 0.0197587+0.0533281j -0.00985333-0.0174371j -0.105727+0.024846j -0.087493-0.0793159j 0.0209865-0.0949997j 0.00455914+0.0206971j -0.0272847-0.0210067j -0.00628826-0.0336997j -0.0212649+0.0046391j 0.0149591-0.0362268j 0.00356143-0.00912912j -0.010602+0.00157549j 0.0283359+0.0136226j 0.0240007-0.0264552j 0.00406851-0.0101728j -0.0103245-0.00571226j -0.00196568+0.00464537j -0.0193483+0.0212682j 0.00375427+0.0120669j 0.0175026-0.033213j -0.00195624-0.037391j 0.0426539-0.0203702j 0.0141111+0.0302701j 0.0134809-0.00268101j -0.0345936-0.0231196j 0.00710569-0.0172873j -0.00284555+0.0162628j 0.00874869+0.000730671j 0.00992407-0.0187123j -0.0017187-0.00448566j -0.0070794-0.000389822j -0.0123844-0.00301085j 0.00291808-0.0017876j 0.00355187-0.0046188j -0.00777719-0.0110295j 0.0011818-0.0168973j -0.000753518+0.00895469j 0.00229717+0.00653011j 0.00117349-0.00973176j 0.00595233-0.00831147j -0.00990034-0.00130269j -0.00196088+0.00808462j -0.0222956-0.00139611j -0.00272052-0.00866813j 0.00328602+0.00286153j 0.0119324+0.0161232j 0.00683956+0.00540204j -0.00301878+0.0027201j 0.00925858-0.00962056j 0.00287128-0.000283791j 0.000592853+0.00500413j 0.00358823-0.00846496j -0.0023568-0.00301355j -0.00108572+7.52585e-05j 0.000631636+0.00435382j -0.0069771+0.00351938j 0.00646805+0.00244266j -0.00114241+0.000982879j -0.00515432-0.001926j -0.00797763-0.00939644j 0.00515347-0.00276415j -0.00198605+0.00170672j -0.00527384+0.00470803j 0.00490047+0.00019039j -0.00243708+0.0065275j -0.00792304+0.00196195j 0.00437162-0.00885845j 0.00274143-0.00356426j -0.000140261+0.0091897j -0.00529523+0.0216695j -0.00783053-0.0108923j 0.00843599+0.0064306j -8.20847e-06-0.00431769j -0.000319977-0.00216531j -0.00546349+0.0225725j 0.0170573+0.00134907j -0.000595149+0.00331498j -0.00725839-0.00594503j 0.000781662-0.0463823j 0.041781-0.00564722j 
0.000855479+0.0174971j 9.07282e-05+0.00326309j 0.0079074+0.0353101j -0.0113877+0.0331398j -0.0118651-0.0152322j -0.0050117+0.0126369j 0.0162286+0.00814634j 0.00501766+0.0161483j -0.00811782+0.0200172j 0.0382868-0.0241647j 0.0178794+0.00445661j 0.022739-0.0133032j -0.0111687+0.00569104j -0.0142181-0.00549764j -0.0256305+0.00322772j 0.0159535-0.00884733j -0.00869633+0.0114261j 0.0124874-0.0127298j 0.0166265+0.00709417j -0.00158641+0.0088435j -0.0111894+0.00482245j 0.00290706+0.000259286j 0.00100324-0.00132113j 7.85593e-06-0.00388772j 0.00859679-0.0117351j -0.00380803-0.00390276j -0.00506744-0.000806975j 0.012812+0.0205837j -0.00395691+0.00833034j 0.00364512-0.00230208j -0.00588121-0.00137909j 0.00722131+0.00720945j 0.00126783+0.000924988j 0.000825461+0.00614476j 0.00129968+0.00236342j -0.00319589+0.00301412j 0.0035432+0.00460304j 0.000548737-0.00200123j 0.00551906+0.00492592j 0.00700299+0.00126084j 0.00391053+0.00890494j 0.00361308-0.00730895j -0.00319682-0.00200142j -0.000447507-0.00630547j 0.00457067-0.00083123j 0.000409013+0.00426981j 0.00145777-0.0052496j 0.00410612+0.000536061j -0.00139373-0.000686792j 0.0005904+0.00229733j -0.00337585+0.00193974j -0.00647331-0.00184504j -0.00597629+0.00967204j 0.001323+0.00179696j -0.00375807-0.00123238j -0.00240992+0.00570259j -8.7042e-05-0.00197123j -0.00244746+0.00155936j -0.00159158+0.000853473j -0.00314558+0.00150269j 0.000311871-0.00811848j 0.00352438-0.000301421j -0.00193699+0.00917937j 0.0083902+0.00148261j -0.00221843-0.00177576j -0.00365209-0.00649682j 0.00920955+0.00786167j 0.00293471+0.00174242j -0.00316662-0.00506075j -0.00367565-0.0146483j 0.00895119-0.00230375j 0.0118304-0.0165819j -0.00552109-0.0051666j -0.00183537+0.00729679j -0.0186392-0.008797j 0.000922161+0.00964558j -0.00147588+0.0102129j 0.000938915-0.000747749j -0.00141035+0.00797989j -0.0139013+0.00592865j 0.00306153-0.00460162j -0.00148236-0.000149466j 0.00664066+0.000373164j 0.00320977+0.000610641j -0.00399773+0.000908437j 0.00180771+0.0013497j -0.00330258-0.00225455j -0.00049869+0.000105095j -0.00176711-0.000262578j -0.00470545-0.00122749j -0.00502746+0.00326247j 0.000577126-0.00293947j -0.000812787-0.0016878j 0.000351226+0.000483244j 0.00365628-0.00235006j 
0.00447758+0.00543563j -0.00166392-0.00344077j 0.0483858+0.0237896j 0.00224054-0.0176776j -0.00237822-0.023041j -0.00796752-0.0357552j -0.00905644-0.0157887j -0.0107233+0.0118329j -0.0147005-0.00175607j 0.000212847-0.0343962j -0.0143769+0.0270108j 0.00455977-0.0022057j 0.0161706-0.0167401j 0.0053753-0.0146085j -0.0259254+0.00841998j -0.0427734+0.00749683j 0.0154095+0.0290356j 0.00808295+0.0168515j -0.0149502-0.024404j 0.00722942-0.00555293j 0.00703167+0.0165464j -0.000995265-0.00487752j 0.00944855-0.00454042j 0.00238304+0.0116279j 0.0167627-0.00668741j 0.0198861-0.00309658j 0.00193102-0.00752803j 0.0103799+0.0197776j 0.00688063-0.00251238j 0.000394653-0.00330435j -0.00532308-0.00202745j 0.0019106+0.00616655j -0.00410594+0.0117874j -0.00157909+0.012066j 0.00994-0.00897302j -0.00404634-0.00642105j -0.00217261+0.00531271j 0.00459336+0.00975404j -0.00309012+0.00972123j -0.00326081+0.000121519j -0.000661688+0.00449349j 0.000951931+0.00481346j -0.00702349+0.000585589j -0.0053471-0.0147791j 0.0147459+0.00389209j 0.00146197-0.0150243j 0.00746678+0.00183797j 0.00282308+0.00102216j -0.00745516-0.00595034j 0.00160089-0.00176027j -0.000464999-0.00923055j 0.0044096-0.00274855j 0.00980744+0.00312857j 0.000912339+0.00252728j 8.44632e-06+0.00717819j 0.00436349-0.00577532j 0.00226357-0.0034155j 0.00667815+0.000512933j 0.00361245-0.00365532j 0.00422251+0.00271402j 0.00201827-0.00416769j -0.000526465+0.00059006j -0.0114988+0.00757348j 0.00397957+0.00278566j 0.00730246-0.00445606j 0.00541925-0.00664331j -0.0028774+0.00992636j 0.00147963+0.00282671j 0.00557051-0.00487998j 0.00934675+1.31255e-06j 0.00363463+0.00294395j 0.00153732+0.00492037j -0.000477443-0.000430616j 0.000547814-0.00132781j -0.00826665+0.00220654j 0.00913509-0.00139111j 0.00851029+0.00720441j -0.00720664-0.00556058j 0.00354132+0.00220522j -0.00394034+0.0100193j 0.0048286-0.00597929j -0.00768455+0.00216774j -0.00291759-0.00195732j 0.00253884-0.00370559j 0.00239708+0.00669869j -0.00237986-0.00366035j 0.000742801+0.000659111j 0.000985733-0.00156081j -0.000320367+0.0003757j -0.00292609+0.0060146j 0.00252436-0.000265173j 0.00213011+0.00489192j 0.00206383-0.00486181j -0.00483707-0.00679304j -0.00452779-0.00103828j 
-0.0165038+0.00268805j 0.00310766-0.00534963j -0.00541569-0.00168616j -0.0324475+0.0188255j -0.0309868+0.00228479j 0.00678008-0.000177089j -0.0235904+0.0248803j -0.0141734+0.0013332j -0.00292223+0.0291997j 0.00881913-0.00104266j -0.0130155-0.00127117j 0.0104214-0.0137372j 0.00825244+0.00482925j -0.010821-0.00998814j -0.00985332-0.00691611j -0.0161499-0.00418493j 0.0354346+0.00481942j 0.0161031-0.00304036j -0.00244658-0.00635584j -0.017961-0.0130862j -0.0154977-0.00108772j -0.00431404-0.0171118j 0.00871337-0.00807224j -0.00037618+0.000821235j 0.0244599-0.0323146j 0.00330213-0.0156649j 0.024098+0.0122637j -0.000210697+0.0144048j 0.00380513-0.0108383j 0.0142943-0.00531875j -0.023775-0.00117732j 0.00806605+0.00545146j -0.00305292+0.00380658j 0.00417126+0.0051001j 0.00360701-0.00379504j -0.00213628-0.00705027j -0.00297491-0.00489552j -0.00765809-0.00626879j -0.00422632+0.00787842j 0.00452117+0.000137316j 0.00545218-0.00956474j -0.00217078-0.00314174j -0.00610176-0.00145849j 0.00210418+0.000589452j -0.0066137-0.00793663j 0.003621-0.00114548j -0.00114109-0.00467306j -0.0059078+0.00142882j 0.000394389-0.00114283j -0.0020721-7.04897e-05j 0.00993832-0.00190437j -0.00853808+0.00209283j -0.00521419+0.00853693j 0.00224186+0.00401562j 0.00329182+0.000437865j -0.0056192+0.00096652j 0.00160876-0.00309267j -0.00422582+0.00576695j 0.00492263-0.00141481j -0.00704396+0.00466275j -0.00449186-0.00200605j 0.00064463-0.00468786j 0.00631032+0.00295712j 0.000761222-0.00199325j -0.00194023+0.00132932j 0.001263+0.00414821j -0.002744-0.00219251j -0.000661086-0.0026781j 0.00384598+0.0016935j -0.000621741-0.0017443j -0.00514064+8.93571e-06j -0.0023636+0.00170921j -0.00140604+0.00172219j -0.00562428+0.000434345j 0.00202119-0.00313169j -0.00198745-0.00199285j -0.00134254-0.0017706j -0.000253466+0.000551127j 0.00359522+0.00218055j -0.00205208+0.00281677j 0.000946281+0.000715874j 0.00031836-0.00213796j 0.00259184-0.00477142j 0.00144349+0.00120702j -0.00399751-7.01666e-05j 0.0015098-0.00287128j -0.000927893-0.00117506j -0.00071958+0.0021023j -0.00305531+0.000579663j -0.00575767-0.00104786j -0.000752971-0.00546694j -0.000534758+0.00361347j 0.00395332-0.0047228j 0.00371961+0.00135399j 0.00214471-0.00521237j 
-0.00843048+0.00485726j 0.000643095-0.0160964j 0.00432365+0.00162272j 0.0122694-0.0303464j 0.00690176-0.01014j -0.0048774+0.00684276j 0.0113811-0.0061181j -0.0207646-2.83548e-05j 0.022204-0.0105293j 0.00196939+0.0069677j 0.00161619+0.0181546j -0.000619499+0.00651369j -0.0139039-0.00393048j 0.00253595+0.00510375j -0.00530252+0.0387014j -0.00468404+0.0228559j -0.0151731+0.009685j -0.0271864-0.0252666j -0.0510222+0.0158024j 0.0108163+0.00114611j 0.0131935-0.00866368j -0.0145251-0.00818546j -0.0223913+0.0172152j -0.030741-0.00165874j -0.030832+0.0377922j 0.00236436+0.0095802j 0.0277676-0.00978668j 0.0329325-0.00747582j -0.025354+0.0343133j -0.0394804+0.00881536j 0.0181918-0.0118209j 0.0134816-0.0118965j 0.0375938-0.0179599j 0.00549819-0.00971468j 0.0235437+0.00524199j -0.0196042+0.0176569j -0.00476403+0.0144448j 0.0263151+0.0182958j -0.00697869-0.00326473j -0.00196585+0.00304246j -0.021183+0.00500882j 0.0103381-0.00351064j -0.00331789-0.000994716j -0.00281827+0.00500003j -0.0105254-0.0030332j 0.00956679-0.00459109j -0.004899+0.000603851j 0.000742436-0.00481497j -0.0022131+0.011462j -0.00439115+0.00830235j -0.000442477+0.00549916j 0.00720921-0.00744288j 0.00151769+0.00412555j -0.00531967-0.00471015j -0.00199246+0.00749377j -0.00761445+0.00115583j -0.00128236+0.00250428j -0.000577326-0.00112343j -0.0141978+0.00115113j 0.00804501-0.00304552j -0.00243332+0.00897861j -3.98297e-05+0.00843335j 0.0153879-0.00365344j -0.0106054+0.000113025j -0.00177345-0.000569287j -0.000339206-0.00339263j 0.00577154+0.00552297j -0.00180674-0.000809408j -0.000189584+0.000950024j 0.00632825+0.00263287j 0.00523365+0.00376924j -0.00288517-0.00207556j -0.00258032-0.000761488j -7.29854e-06+0.00585243j -0.00823344+0.00329081j -0.00303936-0.00306878j -0.00177699+0.00514316j 0.00322207-0.00550975j -0.00362494+0.00811659j 0.00387297-0.0033478j -0.0068085+0.00146247j -0.000936944-0.00378602j -0.0109281+0.00725165j 0.00673646+0.0172301j 0.00123259-0.0221454j -0.00602663+0.00677196j -0.00713194+0.000440742j -0.0007839-0.00559773j -0.00299383-0.00871704j 0.00509347+0.00816327j -0.00296592+0.017947j 0.0100777-0.00524294j -0.0216919+0.0112607j -0.0205718-0.00715335j -0.00411527-0.00157136j 
0.0227393+0.00172156j 0.00052548-0.00902238j -0.0225986-0.0190241j 0.0163672-0.0126362j -0.0212907-0.011279j -0.0122783-0.0141915j 0.00202393+0.00367862j 0.00558278+0.00751174j -0.0432398-0.0176325j -0.00478472-0.0170294j 0.0165641+0.0245191j -0.0180045-0.00358962j 0.0167527+0.00311344j -0.00954447+0.0075758j -0.0134397+0.00380953j -0.0194878-0.0170949j 0.0563915+0.0381762j -0.0796221-0.0104414j -0.0276099+0.00741585j 0.0622629+0.0183053j 0.00487521+0.0030524j 0.000855292-0.00616576j 0.00733401-0.00273505j -0.00962751+0.0104317j 0.0210746-0.0111463j 0.00913522-0.00858788j -0.0073417-0.00508425j -0.0123947+0.00644906j 0.0192696-0.00436845j 0.000207512+0.000551808j 0.00243275-0.00987194j -0.0195235-0.000598864j -0.0102613+0.00959776j -0.00591693+0.00693311j 0.0188524+0.00584546j 0.0111402-0.0106211j 0.0345744+0.0202807j 0.00486994-0.0200251j 0.0177563+0.0147431j 0.00128677-0.0104382j 0.00771299+0.0126643j -0.0104124-0.0120124j 0.0044975+0.00286393j 0.0252623+0.00898757j -0.00319508-0.00470245j -0.014205-0.00729203j -0.00874102-0.00239939j 0.00120885+0.00117948j 0.00789848+0.00244384j 0.0110753+0.00456842j 0.00913617+0.00753218j -0.00523153-0.006344j -0.000215559-0.0033792j 0.00128453-0.00101831j 0.00731535+0.0102848j -0.0113068-0.0102436j -0.00685766-0.0153064j -0.00714575-0.0070616j 0.0147368+0.00983421j -0.0187371-0.00483624j 0.00602838+0.011852j 0.00336213+0.00262108j -0.00637767-0.00312061j 0.00271588-0.00247469j 0.00103882-0.000243691j 0.000388859+0.00535515j -0.00236827-0.00411099j -0.00111871+0.0047139j -0.00170041+0.000215097j -0.0018767-0.00256971j -0.00791105+0.00122754j 0.00403856+0.0086893j 0.000853152-0.00200719j 0.0026618+0.000753128j 0.00417237-0.00472204j -0.00168076+0.00400833j -0.0075592+0.000836575j -0.00941389-0.0068645j 0.00601293+0.011429j -0.0027878+0.000782297j -0.00119031+0.00394124j 0.000354344+0.00314469j 0.00127145+0.00213983j -0.000283366+0.00663036j -0.0133219-0.00656595j -0.00188481+0.012001j 0.0112561+0.00196129j 0.000105259-0.001072j -0.00198435-0.00321419j -0.00763151-0.00923991j 0.0131972+0.00697243j -0.0015748-0.0108087j -0.00230962+0.00310888j -0.000241901+0.0171186j 0.0317891+0.0201115j 
0.0102807+0.00191322j -0.00502742+0.014589j -0.0142537+0.0148795j -0.0123422+0.00626673j 0.0118475-0.00438419j 0.0173459+0.0137502j -0.0108893+0.00473925j -0.0133204+0.00658434j 0.0139139+0.0299658j 0.00953171-0.0133149j 0.0049579-0.0105704j 0.0161556+0.0125103j -0.000154989-0.0174492j 0.013737+0.00320452j 0.0162085+0.000220854j 0.0192953+0.00952181j 0.0118873-0.0269263j -0.0772506+0.0169362j -0.00651279-0.00299568j 0.0174011-0.000213256j 0.00796828+0.00119247j -0.0174695-0.00362666j -0.0131894-0.0112352j 0.00946059-0.00752235j -0.0209244-0.0253835j -0.00805143-0.0146107j 0.0139812+0.00745144j 0.0260358+0.00537022j -0.00792468-0.0122511j 0.00541702-0.00538965j -0.0162695+0.0125329j 0.00719286+0.00571646j -0.00602812+0.00151193j 0.0162156-0.00208534j 0.00364832-7.12197e-05j -0.0093156-0.00580402j 0.0231286+0.000691413j 0.026875-0.0168148j -0.00327524+0.0010282j -0.0170882+0.00335996j -0.00739768-0.00546751j -0.00671305-0.00305616j -0.0052315-0.00326407j -0.00289078+0.00614398j -0.008566-0.00787755j 0.00391961+0.00161162j -0.00782895-0.0095279j 0.000817807-0.000201161j 0.00263904+0.00562595j -0.00718298+0.00218424j -0.00489829-0.0024193j 0.0022814+0.0078539j 0.00345631+0.0116196j 0.00275621+0.00279675j 0.00380591-0.00936473j 0.0160555+0.00943766j 0.0046145+0.000649588j -0.00240202+0.00653574j 0.00225615-0.00752968j -0.00149842+0.00601277j 0.00122923-0.0102478j 0.00240966-0.00294192j -0.0108818-0.00309295j 0.00253225-0.00436276j 0.000539032-0.00220124j -0.000987941-0.000853576j -0.00389445+0.00187481j -0.00171055-0.000515633j 0.000212771-0.00391863j 0.00236291-0.00275275j -0.00385047+0.00196343j 0.00115683+0.00372233j 0.00133447-0.0043572j -0.000342711-0.00553674j -0.00103255+0.00298982j 0.00336575+0.00913938j -0.00280322+0.00619759j 0.00555705-0.00304287j -0.00485297+0.00471687j 0.0038187+0.000519815j -0.000533926+0.00672294j 0.00422325+0.0104748j -0.00174394-0.011373j -0.00345291-0.0144869j -0.00858063-0.0119782j -0.00410862-0.00633166j -0.00345283-0.00364217j 0.00320248+0.00441157j 0.00410328-0.000711937j -0.00472619-0.0100107j -0.000793151-0.00280025j -0.00122895-0.000423164j -0.00650642+0.00617424j -0.022209+0.0229214j 0.00351029-0.0174437j 
0.0132884-0.0142462j 0.0176641-0.0130799j -0.0274114+0.0339189j 0.032474-0.0243236j -0.00458582-0.000816978j 0.0207599-0.0178733j 0.00216219+0.00628365j 0.0180389-0.00910894j 0.00311713+0.0177915j -0.0210736+0.0260086j 0.0042997-0.00424372j 0.00489994-0.0118734j -0.0222437+0.0231918j -0.00609402-0.00259901j 0.00731315-0.00965137j -0.0260675+0.0349171j 0.00114097-0.00274244j 0.0364238-0.0310003j 0.106268-0.103562j 0.0363991-0.0580598j -0.0126883+0.0102943j 0.0123142-0.0242265j 0.0036733-0.0213204j -0.00437221-0.00586154j -0.000405618-0.0098076j 0.000584872-0.000447603j 0.00795009+0.00181858j 0.00714247+0.0181103j -0.00198-0.00105739j -0.0079646-0.00154691j 0.00450286-0.000843588j 0.00938024-0.00609211j -0.00407399-0.000601206j -0.00503372-0.00315396j 0.00989188-0.0284477j 0.0145593-0.00788966j -0.00383305-0.00807309j -0.0236453+0.0258509j -0.00144472-0.000772865j 0.0196594-0.0168591j 0.00771043-0.0091699j -0.0047767+0.00578682j -0.00701084-6.20653e-05j 0.00329475-0.00374022j -1.61568e-05+0.00101771j 0.00637893-0.00253418j -0.00120492-0.00422014j 0.00470215-0.00922972j 0.00100159+0.000396202j 0.00301769-0.00275314j 0.00614447-0.00533215j -0.0048438+0.00806754j 0.00229931+0.00635096j 0.000514446-0.00191773j 0.00541311-0.0114751j 0.0186386-0.0020663j -0.0156964+0.00283285j -0.00706375+0.00361333j -0.00392799+0.00249341j -0.00573726+0.00578224j -0.0165705+0.00615596j 0.000454236+2.80612e-07j 0.0124757-0.00977466j 0.00100238+0.00148932j -0.00297167+0.00207512j 0.00292063+0.000265853j 0.0112612-0.000228499j 0.0060715-0.00342126j 0.00534203-0.00157067j 0.00410908-0.00251639j 0.00269117+0.00705888j -0.00909104-0.00156819j -0.00294904-0.0061727j -0.00353545-0.00252962j 0.0116025+0.00240082j 0.00754063-0.00360152j 0.0020427+0.00968864j -0.00200802+0.00535084j 0.00240569-0.0013963j -0.0219632+0.00274702j -0.00419191+0.00857951j 0.0167805-0.00194733j 0.00386129-0.00129669j -0.00023052-0.00581474j -0.0117674-0.0116949j -0.0041073-0.00840846j -0.0113091+0.00428518j 0.0012621-0.00260597j -0.00189965-0.00404454j -0.00681693+0.0149266j 0.00582674+0.000689969j -0.00506254+0.00222998j 0.000510948+0.0122481j 0.008753-0.0160302j -0.000283045-0.0151166j 
0.0129218-0.0269629j 0.000150847+0.00894887j 0.0278733+0.0180515j 0.0127078-0.0102582j -0.0112715+0.0279016j 3.55925e-05-0.0377517j -0.00618743+0.00108293j -0.00821589-0.00748828j -0.00489853+0.0111667j 0.0275093+0.00312406j -0.0351156-0.0137236j 0.0055067-0.00366545j -0.0138516+0.0273773j -0.00650825+0.0123543j 0.0167374-0.0305976j 0.0144267+0.00475832j -0.00479117-0.049232j -0.0115718+0.118189j -0.0349772-0.0262473j -0.00270942-0.0736543j 0.000870625+4.13579e-05j -0.00186949-0.0090927j 0.00221783-0.0146221j -0.0279647+0.00980446j 0.0551559-0.00685424j 0.0262515+0.00603j -0.00568836-0.000602131j -0.0136699+0.00833984j 0.0285946-0.0185403j 0.00890575-0.00813486j 0.000839044+0.00583585j -0.0153103+0.00288003j -0.027302+0.000488656j -0.0123296-0.0089686j 0.0122139-0.0407987j 0.0152855-0.0194949j 0.0198072-0.0428259j 0.00537531-0.0368338j -0.00470625-0.00408718j -0.00771541-0.00846607j 0.00489148+0.00588262j 0.0127292+0.00210814j 0.0047394-0.00132496j 0.0241055-0.0211643j 0.0103368+0.00374074j 0.00242966+0.000926412j 0.00859281-0.000518545j 0.00198913-0.00118021j 0.00871809-0.0124968j 0.00352763-0.00944211j 0.00625521-0.00665387j 0.00392317-0.0015356j -0.0062643+0.00147556j -0.00523103-0.00254948j 0.00853171-0.00453078j 0.004808-0.00688777j 0.00216473-0.00174929j -0.0105094+0.00895124j 0.00929842-0.00105049j -0.00625414-0.00702856j 0.00909763+0.00462844j 0.00968188+0.0038008j -0.00555714+0.00598129j 0.00519001-0.00604504j -0.00407494-5.20731e-05j -0.00512835+0.00134196j 0.00747371-0.00480439j -0.000551354-0.00091166j -0.00345992-0.0032481j -0.00177403+0.00196655j -0.00361536-0.00625842j -0.00667202-0.00185855j -0.000706724-0.000189349j -0.00185651-0.00734537j 0.00855687+0.00393941j -0.00465833-7.98183e-05j 0.00103005-0.00336818j -0.00403179-0.00177896j 0.00420608+0.00215092j 0.00273123+0.00293571j 0.011246+0.0106885j -0.00454419-0.000246753j 0.00524294+0.00993926j 0.000364055-0.00450817j 0.00583674+0.00460548j -0.000769643+0.00666355j 0.00720917-0.0138891j -0.00485444-0.00174684j -0.00215542-0.00203598j 0.00431931+0.0155817j 0.014299-0.00734133j 4.51036e-05-0.00181092j -0.00170206+0.0128576j -1.45185e-05+0.0119964j 0.00873182-0.0183047j 
-0.00993371-0.0113998j 0.00166295+0.000718843j 0.0119276-0.0274904j -0.043142+0.00181127j -0.0151811+0.00896175j -0.0737541-0.0242934j 0.0121397-0.000548396j 0.0234827-3.82111e-05j -0.0240059-0.0368219j 0.00160816-0.00133718j -0.0200949-0.00750911j -0.0324159-0.0161378j 0.0410634+0.0161337j -0.0130711-0.000595511j -0.0457728+0.00282703j -0.0259292-0.0172968j 0.055396+0.02648j 0.0446841-0.000490849j -0.0351718-0.0436889j 0.0258697+0.000338781j 0.0468939-0.00605376j 0.0176391-0.00331677j -0.0231772+0.0151191j 0.000967478+0.0060404j 0.0101108+0.0230127j 0.000954335+0.00675064j -0.00175468-0.0048528j -0.0149977-0.00566323j 0.0100126+0.00529245j 0.0151176+0.00550733j -0.00724797-0.0237806j 0.000108843-0.0121856j 0.0107745+0.00402786j 0.0115743+0.00478884j 0.0160334+0.00572009j -0.0103464-0.00813556j -0.0187638+0.00359777j 0.00953071+0.0102938j -0.00095452+0.00495818j 0.00837686+0.00187074j 0.0254401+0.0144067j 0.00118831+0.00329611j 0.0137027+0.00685787j -0.0065362-0.000236065j 0.0140599+0.00823374j -0.00473129-0.0113277j 0.0172654+0.00359671j -0.00959041-8.97344e-05j -0.00474979-0.00336023j 0.00815037-0.00141769j 0.00223088+0.00402283j 0.00570297+0.00204287j -0.00212389-0.00458379j 0.00344835+0.000844943j -0.00874953+0.00231454j -0.0058993-0.00641013j 0.00949274+0.000168639j 0.00882775-0.00236358j 0.00760325+0.00516746j -0.00141996-0.00337688j 0.000141505+0.00658126j -0.00616855+0.00195841j 0.00393098-0.00968528j -0.00890657+0.00190598j -0.00145334+0.003417j -0.00363374+0.0042298j -0.00690177-0.00654403j -0.00368028+0.000159935j -0.00196794-0.00196238j 0.00118467-0.0038555j -0.00545917-0.00506972j 0.00793747+0.00555114j 0.00330072+0.00284j 0.000628786+0.00758325j -0.00223093-0.00423244j 0.00504158-0.00947993j -0.00466034+0.0030034j -0.0128742-0.0080373j 0.000180477+0.00938859j -0.00171827+0.0120102j -0.00242274-0.00274933j -0.00966808-0.0126846j -0.00564102-0.0040969j 0.00151909+0.00256976j -0.00584228-0.0180082j 0.00128264+0.013j 0.00933745+0.0140131j -0.000536371-0.00159j 0.00118256-0.00141148j 0.000725655-0.00261542j 0.000743756+0.00130559j 0.00078926-0.00335064j 0.0056286+0.0217904j -0.009906-0.00293322j -0.0129274-0.00557215j 
-0.0150773+0.00329201j 0.0229704+0.0059039j -0.0309541+0.0241275j 0.0113811+0.0187527j 0.0342366+0.0148752j 0.017416+0.00219671j -0.00159351+0.00110572j 0.0167575+0.00258002j -0.0212803-0.00382433j -0.00145438+0.00280266j 0.00108862+0.00248911j 0.017729-0.00253034j -0.00718003+0.0101554j 0.0249881+0.00707277j -0.0341295-0.00913292j -0.0579296-0.0167962j 0.00777126-0.00883596j -0.0318782+0.0132032j -0.00199716+0.00267505j 0.0511986-0.0066324j 0.015366+0.00419366j 0.0172557+0.0124022j -0.0103436-0.00370877j 0.00506637+0.00258527j -0.0505572-0.00549619j -0.032678-0.00304213j 0.00932492-0.00362965j 0.0120593+0.01135j -0.0229654+0.00348059j -0.00237871+0.00164191j 0.0311291+0.00983431j 0.0165018+0.014856j 0.0218977+0.00655688j 0.0124639+0.00366183j 0.00176159+0.000766101j -0.0154402+0.0100844j -0.00946475-0.0141997j -0.0278941+0.0228165j -0.00772396-0.00495559j 0.0194287+0.0115898j -0.0146777-0.0137337j -0.00086346+0.00455361j 0.00193932+0.00108176j -0.00299906-0.00185835j -0.00419834+0.00142722j 0.00149377-0.00130525j -0.00472785+0.00194343j -0.00474777-0.00934414j 0.00691492+0.00127432j -0.00285881-0.00350909j 0.0100286+0.00594915j 0.00758276+0.00620853j -0.00258611-0.0166637j 0.00414193-0.00372845j -0.00158077+0.00558443j 0.0122006-0.00992428j -0.0143628+0.00539916j 0.016737+0.00208622j -0.00840063-0.0202711j 0.0144662+0.00617715j -0.00145787-0.00571132j -0.00179713-0.00609191j 0.00355741+0.00758359j -0.00673473-0.00237446j -3.59917e-05-0.000459344j -0.00163314-0.00496919j -0.000605208+0.00504846j 0.00576717-0.000238068j -0.00341952+0.000256079j -0.00395992-0.000633865j 0.00383469+0.00234385j 0.00356176-0.00100733j 0.000816849+0.00113432j 0.00683874+0.00619525j 0.00473864+0.00352743j 0.000465191+0.00614168j -0.00577261+0.00373671j -0.00198346+0.00448668j -0.00803403-0.0057718j -0.00434235-0.00305239j -0.00503743-0.0130362j -0.00299593+0.00176649j -0.0116411-0.00553561j 0.00672351+0.00383653j 0.00666771+0.00860633j -0.00277795-0.00507665j -0.00521212+0.00192598j 3.46347e-05+0.00135272j 0.000882137+0.00530967j 0.0079519+0.00156854j -0.0107419-0.0173156j 0.00645367+0.00768278j -0.00436897-0.0141303j 0.0105935-0.00773721j -0.0186259-0.0167583j 
