-0.0979076+0.101136j 0.146326+0.0937083j -0.095105-0.232353j -0.177361+0.0744217j -0.0436748+0.142209j -0.160268-0.0356403j 0.0234293-0.148971j -0.104246+0.118087j -0.145107+0.16529j -0.0579735-0.00297345j -0.143233-0.172102j 0.0738952+0.0703704j -0.0800739-0.104694j 0.0906534-0.13871j 0.112761-0.0365832j 0.0545413+0.136423j 0.00709422-0.0998278j -0.0172062-0.043457j 0.00099601-0.076412j 0.092095+0.0270921j -0.0447192-0.0794706j 0.0329194+0.0350291j 0.1023-0.0503091j 0.0465293-0.100287j -0.121993-0.00194607j -0.190066+0.174703j 0.0338727+0.055926j 0.0770696-0.0898441j -0.0101111+0.01116j 0.0286842+0.00422333j -0.0462308-0.122545j 0.0837401+0.121106j -0.0473854-0.0384188j 0.0493263-0.0130727j 0.0989972+0.1001j 0.132116-0.0932187j 0.0190064-0.235161j -0.157994-0.0103956j -0.0543949+0.164382j 0.155157+0.144993j 0.140907-0.0583203j 0.142642+0.0950879j -0.0752699+0.133457j -0.13661-0.0843814j -0.0329225+0.0439508j 0.0413467+0.0316375j -0.00223016+0.0331702j -0.0149693+0.017931j 0.0148569-0.0259896j 0.045109-0.00646362j -0.00801964+0.0153261j 0.0220517-0.0335219j -0.0475646-0.0200495j 0.0362322-0.00400322j -0.0265245-0.0116385j 0.00971919+0.033301j -0.00479227-0.0147805j -0.0027184+0.0108329j -0.00420258+0.0140686j 0.000950808-0.0244391j -0.0166714-0.00847359j 0.00730139+0.0133392j 0.00192148-0.00355839j -0.00394504+0.00362201j 0.0192141+0.0240295j 0.00188852+0.00819421j 0.00653972-0.000260597j 0.000521895+0.00624409j -0.01529-0.0147965j 0.00365201-0.0118631j 0.0128313+0.02169j 0.00161917+0.000785945j 7.15199e-05+0.00164355j -0.0103065-0.0129026j 0.0103137-0.0144259j 0.0149688-0.00252469j 0.0139016-0.0131233j 0.00254217-0.00805722j 0.00836726-0.0209249j 0.00436936-0.0143075j -0.00771372+0.0131109j -0.018568+0.00545038j 0.0309244+0.0128263j -0.0142218-0.015293j 0.00749666+0.00560081j -0.0191623+0.00877943j 0.0306738-0.000282496j 0.00513166+0.0071112j -0.00825729+0.0211023j 0.00868141+0.0271463j 0.0356252+0.0369665j -0.0320784+0.018671j 
0.000561496-0.000322913j -0.0010182-0.000968416j 0.00271+0.000229974j -0.00205866-0.00149939j -0.00139095-0.00107395j 0.000810344-0.0021482j -0.00193779-0.00441448j -0.000372376+0.00345181j -0.00241797-0.00022042j 0.00609163+0.00194133j 0.00228171-0.0100875j 0.00523024+0.00435199j 0.00329614-0.00417112j 0.0213027+0.00342153j -0.00457155+0.00937628j -0.00810778+0.0166993j -0.00205611+0.00287353j 0.0170726+0.0197093j 0.00616845+0.00939964j -0.00235194-0.000697605j -0.00906942+0.0159874j -0.00907375+0.0109389j -0.0201429+0.00164605j -0.00200825+0.00537857j -0.00240029+0.00100506j 0.00294978+0.0103294j -0.0130679+0.000589159j -0.0133415-0.00483621j -0.00821451+0.00390526j 0.0030638+0.00561327j -0.00991207-0.0156685j 0.0200459-0.00180792j -0.00567288+0.00636235j 0.00628235-0.00625714j 0.000418727-0.0108686j -0.00335071-0.00339442j 0.000531706+0.000841859j 0.00186038-0.00299668j 0.000489635-7.41568e-05j -0.000664277-0.000156329j -0.0012858-0.000279228j 0.00129692-0.00288164j 0.00040369-0.00137756j 0.00070075+0.00137123j 0.00118099+0.00152094j -0.000589968-0.000121216j -0.000810512+0.000145245j 0.000681178+0.000469603j -0.00228217+0.00308686j -0.00522676-0.00182495j 0.00104631-0.00593681j 0.0081608+0.00409022j 0.00666547-0.00363187j -0.00159625+0.00606652j 0.00996056-0.00669976j -0.00992888-0.019028j -0.00468861+0.0047893j 0.0149995-0.00779976j -0.0101602+0.0018446j -0.00876945+0.00105833j 0.00746932+0.0020546j 0.00138151-0.00230456j 0.00290157+0.012807j 0.00146866+0.00324425j 0.0136113+0.00159278j -0.00647527-0.0045109j -0.00171871-0.00463387j -0.00476665+0.00852699j -0.00133171+0.00768826j -0.003851+0.00178752j 0.00438597+0.00260614j -0.00355577+0.000115473j -0.0021999-0.000903187j -0.00458231-0.000764028j 0.00149348+0.00695553j 0.00438145-0.00812345j 0.00565197-0.00435526j 0.00927893+0.00498054j 0.000436554-0.0089544j 0.0101126-0.00395312j -0.00348591-0.00022448j -0.00412675+0.0066362j -0.0039495+0.0163007j 0.0112149+0.0046484j 0.00299896+0.00420595j 0.00477897+0.00188844j 0.00401688-0.00257248j 0.00201065+0.00398074j -0.000160376+0.000505663j -0.00081402-0.000558204j -0.000592994+0.000557303j 0.000193165+0.000782477j 
-0.000292152+0.00035482j -0.000508448+0.00029404j -0.0040574-0.00222873j 0.000465125+0.000157791j -0.00419784+0.000179022j 0.000875963-0.00492976j 0.00477625+0.0026978j 0.00134578+0.00273674j 0.0063528-0.0179873j 0.0130985+0.00481683j -0.00312158+0.00323387j -0.00967797-0.00157891j -0.0122226+0.00102574j 0.0193576-0.00303958j 0.00405939-0.00921343j 0.00310237+0.00206028j -0.00311093+0.00611121j -0.0115854-0.00133539j 0.0151099+0.00460475j -0.00474684-0.00261326j -0.0121493-0.0129271j -0.00416819+0.00854008j 0.00690114-0.0132475j -0.00700572+0.00806613j -0.000607425+0.013454j 0.0055518+0.000786091j -0.0275366+0.00516211j 0.00321797+0.00798679j 0.00806853+0.000112761j -0.00210627-0.00886826j -0.00175873-0.00329761j 0.00972455-0.0037208j 0.00186349-0.00321229j 0.00133682+0.00511636j 0.0014989-0.004415j -0.00208386+0.0019836j -0.00083207-0.0013464j -0.00230179+0.00120269j -0.00130571+7.69256e-05j 0.000376748+5.75443e-07j 0.00147241+0.000527673j -4.99807e-07+0.00199522j 0.00417208-0.00146589j 0.000153141-0.000516537j -0.00842761+0.00447544j 0.00317279+0.00513312j -0.00703021+0.000102655j 0.0021991-0.00437744j 0.0122692-0.00388154j -0.000471875+0.018874j -0.00563854-0.00687951j 0.00153352-0.00118591j 0.0110749+0.0121514j -0.00195892+0.00398755j -0.010599+0.00253214j 0.00446803+0.00266714j 0.00292035+0.00333088j -0.00272124+0.00665903j -0.00861629+0.00676851j 0.000204878+0.000956681j -0.00369107-0.000933161j 0.00479565-4.39577e-05j -0.00220365-0.00164535j -0.00386818-0.00393995j -0.00463024-0.00906012j -0.00179925+0.00900251j 0.00700301+0.00401867j 0.0152899-0.00267132j -0.00301496+0.00256404j 0.00595757-0.00815511j -0.00299832+0.00854896j 0.00555025-0.00117659j -0.015403-0.00206333j -0.00671592+0.00221879j -0.0135213-0.00949283j -0.00937107-0.0064583j -0.0117118+0.0225742j -0.0109151-0.0056356j -0.000598438-0.00309213j 0.00895526+0.00400479j -0.00927774+0.000278733j 0.000279095+0.00661473j 0.00626199-0.0026964j -0.00354628-0.00628179j 0.00292534+0.000505625j 0.00508098-0.00258687j -0.001074-0.000732757j -0.00094514+9.12721e-05j -0.00284043+0.000789121j 0.00236565+0.00151649j -0.00166983-0.000191317j -4.34043e-05-0.000736444j 
-0.00151119+0.000696657j 0.00166436+0.00192525j -0.0024415+0.00159537j -0.00172548+0.00207401j 0.00172225+0.00416715j 0.00133457+0.00196135j -0.000370899+0.00217086j 0.0011558-0.00237126j -0.00384324+0.00618139j -0.00249515-0.00617171j -0.0132531-0.00404894j -0.000159971-0.00309867j -0.00434967+2.65255e-05j 0.0238659+0.00928377j -0.012717+0.00697689j -0.00292678-0.0166737j -0.00220822+0.00862228j -0.000792782+0.00175489j 0.0104595-0.00582597j -0.00327875-0.00514155j -0.00321123-0.00220023j 0.00439376+0.00108874j 0.0122019+0.0056042j -0.00507383-0.0161282j -0.00145388-0.00223145j 0.001888-0.00463185j 0.00806796-0.00169017j 0.0022854-0.00307375j -0.0102272-0.0155275j 0.00573051-0.00480649j -0.00613275-0.00154041j -0.00131359-0.011681j -0.00349208+0.00559622j -0.00475096+0.0119276j -0.00714675-0.00760144j -0.00909217-0.010732j -0.000680015+0.00157081j 0.00214411+0.0067142j -0.000661159-0.000106597j -0.00135824-0.0023676j 0.00209245+0.00214691j -0.00229954+0.00509798j -0.00156549-0.00101291j -0.000613277-0.00218915j -0.00112795-0.00337652j -0.00231113+0.00159147j 0.00097713-0.000604796j -0.00272424-0.00103467j -0.000393884+0.00712359j -0.0018139+0.00421704j -0.0178526+0.00119253j 0.00277739-0.0139599j 0.00688808-0.000900499j -0.00359401-0.00132285j 0.0186153-0.00570062j 0.00371667-0.0117765j -0.00842802-0.00619084j -0.000233052-0.00235993j 0.00419328-0.00774795j -0.0113448-0.0039538j 0.00253861-0.000911591j 0.00187853-0.0150291j 0.00535272-0.00953541j 0.00468812+0.00843814j -0.00203571-0.00285095j 0.00693005-0.00922511j 0.00590773+0.00451355j 0.00177567+0.00593433j 0.00054128-0.00436662j 0.00660407+0.00412991j -0.00646169-0.000878731j -0.00136117-0.00492412j -0.00282199+0.00940963j 0.00385331-0.00836319j 0.00446492-0.0085133j 0.00692586+0.0071918j 0.00590585+0.00882992j 0.00107269+0.00298666j -0.00415794-0.00816383j 0.00258057+0.00148412j 0.00262476-0.00829548j 0.00439852-0.00107898j 0.0122459-0.000625912j 0.00966691-0.00422322j 0.00714999-0.00273274j -0.00384193+0.00281899j 0.00934692+0.000356346j -0.0025418+0.00945381j -0.0063039+0.00367295j 0.00141424+0.00679379j 0.0026004-0.000875202j 9.5522e-05+0.00224594j 
0.00071223+0.00274505j 0.00182884+0.000934146j -0.00672197-0.00630653j 0.00752583-0.00271235j -0.00718223-0.00758821j 0.00045706+0.00510724j 0.00186047-0.0059378j -0.00357972-0.0080168j 0.00371319-0.0021457j -0.0106543-0.00599302j 0.00922799-0.00264724j 0.00266433+0.000994793j 0.0213142+0.00571715j 0.016444-0.00314186j 0.00276836-0.014766j 0.000187223-0.00173494j -0.00164547+0.0168731j -0.00693916-0.00776806j 0.00135609-0.00784003j -0.00736309-0.00650074j -0.00796044+0.00379895j 0.00441463-0.015055j 0.000430984+0.00377075j -0.019489+0.00293005j -0.00822676-0.00624994j 0.00452328-0.00116473j 0.0138566+0.00162107j -0.00155908-0.00224817j 0.00664966+0.00421084j 0.00262119+0.0101449j -0.00222235-0.00263208j 0.00528069-0.00158366j 0.00164682-0.0103647j 0.00189615-0.000787864j 0.00220179-0.0012853j 0.000256825+0.00394054j -0.00212132+0.00281293j 0.000899404+0.000333674j -0.000460139-4.92062e-05j 0.00110731-0.000438914j 0.00341537+0.00056474j -0.000402041+0.0003636j 0.0076895-0.00711589j 0.00286697-0.00357189j -0.0122608+0.00499357j -0.00145624-0.00243135j 0.000912516+0.00234566j -0.00838854-0.000719475j -0.00534375+0.00783199j -0.000108553-0.001303j -0.0015776+0.00334364j -0.000367734+0.00137599j -0.00126586-0.00107343j 0.0102004-0.00942689j 0.00499625-0.00135366j -0.00157943+0.000639098j -0.00234965-0.0119343j -0.0031765+0.0105517j -0.00830003+0.005146j -0.000444637+0.000760462j 0.00514453-0.0112282j 0.0117098+0.00468436j -0.00186948-0.00445943j -0.00302508+0.0106435j -0.00563982-0.00548688j 0.00823544+0.00892778j 0.00503906-0.00703616j -0.00415171+0.00201798j -0.00879667+0.00518563j 0.00163764+0.0109616j -0.00496438+0.00850737j -0.00829273+0.00150578j 0.000233877+0.0024672j 0.00834527+0.00910369j 0.00432342-0.0161735j 0.00882759-0.00146953j -0.00950955-0.00490259j -0.00701424+0.0102819j -0.00673937-0.00220845j 0.007899-0.00531955j 0.00224764+0.00259448j 0.00507771-0.00821907j -0.000890221+0.00216148j -0.000278628-0.00292823j -0.00231096-0.00199926j 0.00138406-0.000489867j 0.000564844+0.00300164j -0.000853756+0.000692344j 0.000451178-0.000374765j 0.000616326-0.00253521j -0.000689897+0.00269261j -0.000768301-0.000290078j 
0.000235005+0.000458964j 0.000866751+0.00117814j -2.50107e-05-0.000521666j 0.00190218+3.11532e-05j -0.00342324+0.000765996j -0.00617863-0.00106169j 0.00603589+0.00175106j -0.00407501+0.00217249j 0.00345885-0.0162098j 0.0172451-0.00546754j 0.00127372+0.00784977j -0.00619365-0.00196666j -0.00405361+0.00369692j 0.00577772-0.00913698j 0.000330709-0.00893165j 0.00214791+0.00265837j 0.000548161+0.00353563j -0.0106713+0.00101055j 0.0115424+0.0011503j -0.00942178+0.00133489j -0.0132168-0.00743067j -0.00434032+0.00913128j 0.00606295-0.0122737j -0.00211117+0.00845466j 0.00777818+0.012233j 0.00484411-0.00120035j -0.0132505+0.00576251j 0.00923247+0.00609999j 0.0117384-0.00125406j -0.0053312-0.0055571j -0.00484833+0.000887995j 0.00899921-0.00306541j 0.00895469-0.00277525j 0.000596469+0.00275809j 0.00381249-0.00106426j 0.00239755+0.00622583j 0.000535956+0.00114466j -0.00217868-0.000597854j 0.000623036+0.00020694j 0.00188351-0.000266854j 0.000661186+0.00037276j -0.00224008+0.000252494j -0.0021229+0.000149178j 0.000118634-3.99289e-05j 0.0064783-0.00499649j -0.00361136+0.00127827j -0.00121893-0.00352274j 0.00633672+0.00139844j -0.0130756+0.0079343j -0.00158401-0.0216576j 0.00663652+0.00500917j -0.00488917-0.0028384j -0.0169333-0.0109345j -0.00299607+4.4683e-05j 0.00805025-0.00294819j -0.00280005-0.000694628j -7.34276e-05-8.1193e-05j -0.000891834-0.0015043j 0.00796266-0.0113131j -0.00465339-0.0026412j 0.00208481+0.00434257j -0.00484322-0.00594372j 0.00587135-0.000723155j 0.00325222-0.00141187j 0.00398378+0.00420219j 0.000217946-0.00572125j -0.00637588+0.000254973j -0.0108714+0.000300611j 0.00562638-0.00702561j -0.00798233+0.00514147j -0.00486595-0.0144756j -0.00496994+0.00167392j 0.0196423-0.00482897j 0.00123867-0.00447346j 0.00970792+0.00377135j 0.0044336+0.00695416j 0.00667954-0.0190288j 0.00900258-0.000704024j 0.00562511+0.00378808j -0.0119698-0.00463389j 0.00930869+0.00465098j -0.000297387-0.00721557j 0.00152313+0.00644559j 0.00654984+0.00367714j -0.00747752-0.00105125j -0.00962377+0.00628729j 0.00522549+0.00406059j -0.000499112-0.00104344j 0.00351863-0.00177173j -0.00181232-0.00450462j 0.00181484+0.000892991j -0.000528129+9.36238e-05j 
-0.00106965-0.000730256j -0.00131762+0.00192536j 0.00415571+0.000344869j 0.000891108-0.00146481j 0.00621301-0.00960565j 0.00352075+0.00109796j 0.00638905+0.00746977j 0.00111678-0.00579843j -0.00889211+0.00273937j -0.000912185-0.0072299j 0.00517331+0.00978808j 0.00681228-0.00247384j -0.00772527-0.00943162j -0.000264542-0.00228535j -0.000219753+0.00588262j -0.00245185+0.00330153j -0.00630355+0.0125951j -0.00634835+0.010207j -0.000433833+0.00313401j 0.0124593-0.00421939j 0.00505059-0.0051376j 0.00683734+0.0139041j 0.00194013-0.000761559j 0.00534541-0.00396461j 0.000613572+0.00915918j 0.00570248+0.0127255j 0.0139419-0.0131845j -0.00156974+0.0048681j -0.00279788-0.00175812j -0.00898928+0.00250345j 0.0045247-0.00516176j -0.00653072-0.000342887j -0.00202595+0.00432087j 0.00351882-0.00232837j -0.000188756-0.00205436j -0.00148589+0.00511275j -0.000234192-0.00110047j 0.00218542+0.000508452j 0.000387857+0.000809714j -0.000525633-0.00178831j -0.000565932+0.00166956j -0.000598331-0.000338356j -0.00160236+0.00181892j -0.00038132+0.000196381j 0.00337639+0.00323082j 0.00748395-0.00175034j 0.0034708+0.0065516j 0.00127404+0.00526065j 0.0113137+0.00136657j -0.00422007+0.0023989j 0.00509905+0.000550002j 0.00113894+0.00165795j 0.000419645+0.0031553j -0.00411458-0.000799576j -0.00328035+0.00454627j 0.0016198-0.000556317j 0.00315569-0.00173979j -0.000724895-0.00715802j -0.000724246+0.00527834j 0.00239603-0.00219285j -0.00143522-0.000248957j -0.00424898+0.0039584j -0.00180185+0.00234553j 0.00132769+5.19659e-05j 0.000633288-0.00184133j 0.00291706+0.00440292j -0.00202193-0.00229791j -0.00234955+0.00130884j 0.00272925-0.00100768j 0.00381082+0.00314465j 0.0022735+0.00762095j 0.00375+0.00338589j -0.00761025+0.00255766j 0.00463089+0.00453188j 0.00126643+0.00125882j -0.00696966+0.000919273j 0.000443355+0.00703179j -0.00921876-0.00499342j -0.00313372+0.00180047j 0.00632273+0.00186211j -4.44644e-05-0.00551932j -0.00679478-0.00159325j -0.00352681-0.00131681j -0.00197232-0.0025166j -0.00111573+0.000664789j 0.00241292-0.00145573j -0.00288311-0.00234221j 0.000351039-0.000458983j 0.00441416-0.00167898j -0.00101553-0.003598j 5.07235e-06-0.000291737j 0.000294671+0.000748604j 
0.000907618+0.000715268j 0.00112894-0.00143041j -0.00265646+0.00104612j 0.000310547+0.0025382j 0.00206579+0.000978945j 0.00740554-0.00845913j 0.00230765-0.000678297j 0.0132557+0.0015731j -0.00742778-0.00484853j -0.00393213+0.0056303j -0.00240052-0.000297825j -0.00791821+0.00388884j -0.0200074+0.00199424j -0.000900754+0.000660682j 0.00292433-0.000206874j 0.00445248-0.000676882j -0.00268611-0.00375801j -0.000216346+0.00205203j 0.00108708-0.000560645j 0.0145952-0.000884811j 0.00470934-0.00882563j 0.00299103+0.00535319j -0.00553506-0.00433963j 0.00622068+0.00358705j -0.00516534+0.00276112j -0.000450885+0.0039652j -0.0191812+0.00636254j -0.00402+0.00387015j -0.00305033+0.000698161j -0.00329073-0.00475005j 0.00984888-0.00112683j -0.00774105+0.000473751j -0.00770847+0.000643514j -0.000112548-0.000979294j -0.00564204+0.00304002j -0.00218923-0.00334123j 0.000732508-0.00320318j 0.00015025+0.00185648j 3.7117e-05+0.000105643j -0.0027152-0.00167965j -0.0014543-0.000496328j 0.00110265-0.000620553j 0.0010232-0.00162728j -0.000173402-0.00256575j -0.00651113+0.0016077j -0.00024383-0.00515702j 0.0104046+0.00425135j -0.0135897+0.00476517j 0.00104729+0.00173684j 0.00450016+0.00414275j -0.00222265+0.00279183j 0.00324768+0.00743535j 0.0047897-0.00114972j 0.00755404-0.0142017j 0.00415842-0.00152056j -0.00219687+0.00207168j -0.00529822-0.009459j -0.000305521+0.00136742j -0.00544803+0.00917723j 0.00842883+0.00323303j 0.00159539-0.0110003j 0.00454555+0.0070181j -0.0073221-0.00168013j 0.000659091+0.00982331j -0.00479602+0.00235657j 0.00760537-0.000847029j 0.00155425-0.00667817j -0.00273891+0.00169741j -0.00436898+0.00969147j 0.00482627+0.00805731j 0.00432528+0.0101991j -0.00460643-0.000160946j -0.00371181+0.00914265j 0.0108904+0.00710167j 0.00520295-0.00360894j 0.00957519-0.00298606j -0.00194695-0.0040015j -0.000822697+0.0108822j -0.0127939+0.00139062j 0.00492322-0.000482046j 0.00320481-0.00328769j 0.00459001-0.00528492j -0.00990466-0.00795534j -0.00656193+0.00214851j 0.00584215+0.000218425j 0.00537295-0.00600944j -0.00194556-0.000962956j -0.0011478+0.00348245j -0.00252773+0.00191997j 0.000141153+0.00347665j 0.000746909+0.000499592j 2.21934e-05+0.00169834j 
0.000304683+0.00163872j -0.00138996-0.00104506j 0.00509778-0.0075713j 0.00804524+0.00216243j 0.00686115-0.00369728j -0.00595242-0.0101486j -0.00648704-7.50839e-05j 0.0177168+0.00204009j -0.0051134-0.00304956j 0.00815356+0.00325309j -0.00907673-0.00436303j -0.00369592-0.000584811j -0.0158984-0.00710774j -0.00866579+0.00461624j -0.00335734+0.0132729j 7.02855e-05-0.0101652j 0.0163027-0.0107622j 0.00216941+0.0127189j 0.00190673-0.00779905j 0.00109967+0.00154919j 0.00239981-0.00965269j -0.00139834+0.00594145j -0.00351073-0.00525708j 0.000764958-0.0041777j 0.00714693-0.00540701j -0.00417982+0.0022656j -0.00824878+0.00576798j -0.00132434-0.00107527j 0.0056792-0.00213852j -0.00515588-0.0113042j -0.000489769-0.000151001j 0.00224004-0.000148771j 0.00169547+0.00219588j -0.00470845-0.00550876j -0.00154974+0.00393236j -0.00162045-0.00239097j -0.00110101+0.00163656j 0.00235913-0.000170876j 0.00106757+0.000284733j 0.000918902+0.000695981j 0.000953491-0.0022061j 0.00231939-0.00142187j 0.0036116+0.00155687j 0.00389765-0.00566336j -0.0102411-0.00515933j -0.00471713+0.00047882j 0.00365481-0.0049028j -0.00719446-0.000282743j -0.00768568+0.00807686j 1.61868e-05-0.0102032j -0.00123284+0.00173681j -0.00321503+0.00111877j -0.00723045-0.00372963j -0.000174401-0.0110231j 0.0043989-0.00790446j -0.00400273+0.00632582j -0.00491487-0.00433729j -0.000505319+0.00834638j -0.00144497+0.000566848j 0.00259376-0.00138703j 0.0017042-0.00745933j 0.00678873-0.00183963j -0.00150821-0.00882566j 0.00294852+0.00158951j -0.00162657+0.00189029j 0.00572966-0.00165264j 0.00386997-0.000988403j -0.00434142+0.00313246j -0.00100398+0.00585983j 0.000887293+0.0143133j -0.00698252-0.00321496j -0.00507265+0.00131237j 0.00850577-0.00394387j 0.00431084-0.00221586j 0.00698974-0.0110475j 0.01269-0.0052195j -0.0143237-0.0127512j 0.0090015+0.00426268j -0.00329883+0.00210628j -0.00389683-0.000577251j 0.00656082-0.00239416j 0.00447797-0.00738168j -0.00230297-0.000893299j 0.00229784+0.00147671j -0.0032685-0.00314704j -0.00252973+0.00305153j 0.0018805+0.00413007j -0.000232103+0.00374157j 0.000683044+0.000704387j 0.000970592+0.000616449j -0.00141045+0.00139547j -0.000975846-0.000571503j 
0.00112962+0.00162075j -0.00108409-0.0014586j 0.00238236-0.00725083j 0.00819674-0.00223136j 0.00173695-0.00509255j -0.005572-0.00185472j -0.0116804+0.00123171j 0.00750858-0.000547942j 0.00202012+0.0017978j 0.00385681+0.00456744j -0.00614353-0.00858316j 0.00310955-0.00316548j 0.00172728-0.0129872j -0.00589228+0.00573163j -0.00358492+0.0111737j -0.00315702-0.0090726j 0.0158354-0.00615695j 0.00268087+0.00719217j -0.00298114-0.00666513j -0.0056669+0.00150491j 0.00421524-0.000797391j -0.00329069-0.00330562j -0.00154604+0.00194504j -0.00687186-0.00514644j 0.00333449-0.0114192j -0.00612679+6.08819e-05j 0.00615781-0.00196057j -0.00520537-0.00406232j 0.00500702-4.87813e-05j -0.000496896-0.0047717j -0.00352433+0.000787798j 0.00539382-0.000218185j 0.00289083-0.000217237j -0.00507552-0.0059491j 0.000962654+0.00163622j -0.00147419-0.00117602j -0.00114186+0.00398173j 0.00210156-0.00185094j 0.000385464-0.000785354j 0.00113276+0.00134632j 0.00185205-0.00257797j 0.00222645-8.89634e-05j 0.00241401+0.00226912j 0.00276863-0.00438582j -0.00503869-0.00140871j 0.00428456+0.00900705j -0.00798277-0.00240845j 0.00849332-0.0101475j 0.000219509-0.0105781j 0.0126754+0.00211824j -0.00564895-0.0051902j -0.00144987-0.00619618j 0.00806793+0.000439238j -0.0077752+0.0101131j -0.00330245+0.0049966j 0.00682115+0.00271181j 0.00940213+0.00934393j 0.00269959+0.00957221j -0.00173025+0.00253745j -0.000486141-0.00399303j -0.00151062+0.00794196j 0.00228657-0.00980303j 0.00228799-0.00173041j -0.00464081-0.00835356j -0.00678899-0.00253926j 0.000831612+0.00768725j 0.00808073+0.00553259j 0.00971219-0.0137118j 0.00504154+0.001526j -0.0100431-0.00841197j -0.00693835-0.00551901j 0.00504364-0.00697678j -0.00378201-0.00126931j -0.0145397-0.00134736j -0.0123763+0.00198433j -0.0108843+0.0003803j -0.000739092+0.0184615j -0.00511287-0.00593378j 0.00345575-0.00416225j 0.0028964-0.000491465j -0.0024436+0.0121283j 0.0093654+0.00688349j 0.0090128-0.00132913j 0.00183314-0.000115521j 0.00185032-0.00233703j -0.00180916-0.000263638j 0.00333934-0.000491143j 0.00142825+0.00160024j 0.00151945+0.000509254j 0.00192493-0.00157632j -0.000846922+0.00136823j -0.00141723-0.00044271j 
0.00185792-0.000272432j -0.00170371-0.00272934j 0.00569101-0.00616377j 0.0139731+0.00348623j 9.41373e-05-0.00871457j 0.00977588-0.00851246j 0.00346377-0.00973435j 0.0107186+0.00983921j -0.00215402-0.0034109j -0.0191223-0.00793647j 0.00705299-0.00437444j -0.00261511-0.0105489j -0.00993645+0.00206396j 0.00742824-0.006282j -0.0107546-0.0018503j -0.0089096-0.00551954j 0.00445651+0.00601223j -0.00328633+0.00943688j 0.00192915-0.0116155j 0.0132761-0.00271149j 0.0036546-0.011542j -0.00207644+0.00116737j -0.00140755+0.0011851j -0.00767616+0.00936245j -0.00647063+0.00186721j 0.00499152+0.00270457j 0.00674665-0.00208382j 0.00143821+0.00122477j 0.0038122-0.000794487j -0.00435092+0.00173789j 0.00497399-0.00353614j 0.002619-0.000975175j 0.000389653-0.00114202j -0.0024521-0.00759268j -0.00308578+0.00154277j -0.00141487+0.000951502j 0.00111387+0.00382566j 0.00383711-0.000936481j 0.00144304-0.00128362j -0.000805717+0.000243593j 0.00122075-0.000644297j 0.0011351-0.000460225j 0.00690979+0.00646302j 0.00628883-0.00367311j -0.00329561-0.0063608j 0.00862317-0.00256881j 0.013049-0.0021291j 0.0118633-0.00874293j 0.00765895-0.00573677j -0.00462177-0.00527197j 0.00642336-0.00846194j -0.00962658-0.00568148j -0.0051798+0.000870211j -0.0120824+0.00776483j -0.00121646-0.00218537j -0.00891424-0.00626035j 0.00235583+0.00548809j -0.00417174-0.00038516j 0.00151593+0.00168393j -0.0100966-0.00834108j 0.00289776+0.00405942j -0.00925664+0.00282358j -0.0045841-0.00269089j 0.00491427-0.0148919j 0.00444099-0.00310158j 0.00798169-0.00395236j 0.00239462-0.00145636j 0.000396897-0.00370317j 0.00998549-0.00486867j 0.00274698+0.00931368j 0.00127431+0.00173235j 0.00745874-0.00605167j 0.0104228+0.00422212j -0.0026231-0.00771353j 0.000325869+0.00310166j -0.00506802+0.00437669j 0.00577954-0.0025877j -0.00530407-0.00493461j 0.00232726-0.000551425j 0.00337209-0.00621336j -0.00600894-0.00305633j -0.00700213+0.011593j -0.00120339+0.000194678j -0.000617518+0.00478355j -0.00182595+0.00179196j 0.00179996+0.00424355j -0.00110541-0.000700351j -0.000745418-0.00256096j 0.00383257-0.00537749j -0.00260216-0.00355738j 0.00141666-0.000466479j -0.000249494+0.00153337j 
