0.0927481-0.107595j -0.186381-0.0815997j 0.0150363+0.243279j 0.214272+0.091485j -0.019995+0.0794847j 0.0917112-0.0746976j -0.0311111-0.26888j 0.204178-0.131954j 0.00621989-0.0812722j 0.0591885+0.079123j 0.0598841+0.045235j -0.174776-0.019555j 0.201773+0.0129088j -0.101741+0.0267471j -0.0329719+0.0209907j -0.00108864+0.047191j 0.0291223-0.0505272j -0.0752142+0.0562157j 0.00292961+0.00869754j -0.12566+0.0689813j 0.0367362+0.121271j 0.0927391-0.0839256j 0.00273691-0.075474j -0.0803405-0.0222246j -0.0207468-0.186247j 0.0421598-0.0584843j -0.0493244-0.0748544j -0.0077005-0.052012j 0.0281728-0.129535j 0.0148405+0.0125387j -0.0955455+0.146713j 0.0131252-0.0657907j 0.0407869-0.00334923j 0.121301+0.00396537j 0.060297+0.0150349j -0.0671377+0.0819952j -0.0490459+0.0603472j 0.0599354+0.0321483j 0.0281459+0.00498836j -0.0136294+0.0497628j -0.0105735-0.0113094j 0.0908943+0.000735568j -0.0316441+0.0606865j -0.0927009+0.02906j -0.0321147+0.130838j 0.150414-0.0378501j -0.0366516+0.136603j 0.198065-0.0423506j 0.06057-0.174321j 0.122339+0.153992j -0.118496-0.198854j -0.18097+0.0331831j 
-0.00114728-0.000638365j -0.000496857+0.00137304j 0.00138193-0.000836145j -0.00227862-0.00342404j 0.00137805-0.000417673j 7.70431e-05+0.00176691j 0.000535714+0.000301016j -0.0013962+0.00191502j 0.00263272-0.000793014j 0.00187814+0.00111627j 0.00229453-0.00167678j -0.000492117+0.00183897j 0.00331332-0.0013911j -0.000459454+6.04186e-05j 0.00579493+0.00201345j -0.00268764+0.00513652j -0.00109987-0.00027805j -0.000372981+0.00290325j -0.00539987-0.00121801j 0.00899601+0.00219193j 0.000187206-0.000581328j 0.00130768-0.00517745j -0.00631155+0.00802468j -2.52833e-05-0.007354j 0.00462741-0.00219941j 0.00101743+0.00491331j 0.000335079+0.00396883j 0.00745878+0.000541495j 0.000880394+0.00490462j -0.00161117-0.00340874j -0.0033948-0.00708417j 0.00101158-0.00389343j 0.0046839-0.00282466j -0.00132757+6.86988e-05j -0.000548268+0.00629053j 0.000146422+0.00075246j -0.000457028+0.000592523j -0.00433866+0.00596925j 0.00374594+0.00394824j -0.00374248-4.87707e-05j 0.000297587-0.000300797j 0.00350808+0.00126366j 0.00321753+0.00120312j 0.00149299-0.00052939j -0.00330422-0.000612733j 0.0013025-0.000340701j -0.00151983+0.00152248j -0.00167718-0.000884526j -0.000582912+0.00121552j -0.00025691-0.00187066j -0.00212767+0.00116032j 0.000921958+0.0011671j 
0.00148877+0.00475837j 0.00534495-0.00164514j -0.00339045+0.00112167j 0.00195202-0.00187039j 0.00409622+0.00180294j 0.00939369+0.000114979j -0.000185273-0.00351342j -0.000599829-0.000337636j 0.00308384+0.00518076j 0.00390181+0.00624795j -0.00239394-0.0135147j 0.00602863+0.00427425j -0.00906428+0.0026198j 0.00343608-0.00156782j 0.00151008+0.00212422j -0.002184-0.00252045j -0.0041616+0.000854459j 0.00161943+0.00194379j 0.00478993+0.00204004j 0.00761593+0.00878416j -0.00246751+0.00360798j 0.00265007-6.03415e-05j -0.010638-0.00640239j -0.0107449-0.00532201j 0.00689841+0.00579618j -0.0120288+0.00308327j -0.00747992-0.00697361j -0.00621288-0.00899467j -0.0125271+0.00519338j 0.00279738+0.00818102j 0.00095052+0.0179269j 0.00534438-0.0211341j 0.00182735-0.00511881j -0.00624236-0.0017432j -0.0101023+0.00156256j 0.0064431-0.00661742j 0.00476621-0.00183477j 0.00926608+0.00676834j 0.00880944+0.0030031j -0.0191747+0.0187118j -0.00917362-0.00758525j 0.00629615-0.00214058j -0.007381+0.00119862j 0.0126116+0.00454113j -0.000348268+0.00255261j -0.00859415+0.0091605j -0.0106125-0.00225384j -0.00558998-0.0105233j 0.00477131-0.00356703j 0.00241-0.00283961j 0.0041566-0.00181825j -0.00147554-0.00415396j 
0.000291618-0.000549071j -0.000382044-0.00143985j 0.00028357+0.00248429j -0.0024725+0.00242755j 0.000382253-0.00352252j 0.00132368-0.00458497j 0.00208468+0.00246413j 0.000440671+0.000867408j -0.00030657+0.00427264j 0.00228725-0.00333736j -0.00295595+0.00277235j -0.00623444+0.00190981j -0.00323928+0.00879893j 0.00372097-0.00594108j -0.00948622-0.000386899j 0.00725684-0.00677176j -0.00171125+0.00323334j 0.00530933-0.000526696j 0.00888395+0.00442469j -0.00243272+0.00298847j -0.00974354-0.00227189j -0.00491822+0.00762596j 0.0066917-0.0162487j -0.0108897+0.00478128j 0.00310086+0.0115676j -0.00440078+0.0127851j 0.000169226-0.00855374j -0.00351855+0.00443986j -0.00166268-0.00629816j -7.36989e-05-0.0054568j 0.0129909+0.00549085j 0.00373709-0.000216595j 0.00573186+0.0084905j 0.00259799-0.00378255j 0.00906356-0.0025481j -0.00198115+0.00950122j 0.00209963+0.0136436j 0.0102213-0.00767945j 0.00447527+0.00431401j 0.00675453-0.0017123j 0.00187718-0.00130688j 0.000723009+0.0062823j 0.00308813+0.00616342j -0.00078037+0.00628103j 0.000352763-0.00156246j 0.000156166+0.00127451j 0.00336117-0.00403235j -0.00436386-0.00191773j 6.33329e-05-2.03948e-05j -0.00286949+2.75016e-05j -8.4127e-05-0.00227448j -0.00175951-0.000417646j 
-0.00111855+0.00139274j 0.000997924+0.00229964j -0.002458-0.0035134j -0.00387295-0.00256912j 0.00307604-0.000139224j 0.000359261+0.000914852j -0.00027948-0.000762011j 0.00399755+0.00359058j 0.000313196+0.000521611j 0.00552181+0.000847699j 0.00355498+0.00021864j -0.00411905+0.000219124j 0.00321475-0.00556883j 0.00282082+0.000993189j 0.000682076+0.00351896j 0.000707568+0.00299378j 4.23428e-05+0.000171524j -0.00514789+0.00282925j -0.00472437+0.0139188j 0.0129979-0.00885733j -0.00751254+0.00111634j 0.00975345+0.00390757j -0.00235227-0.00585112j -0.0103864+0.00189754j 0.00498541-0.00214666j 0.00387948+0.026272j 0.000485622-0.00347116j 0.0110878-0.00351283j -0.00159199+0.000672406j -0.00240044-0.0145057j -0.00443152-0.00276317j 0.00537954-0.00372019j -0.0073858-0.0074246j -0.00407677-0.010691j 0.010115-0.00295771j 0.00471151+0.0182377j -0.0049601+0.00840074j -0.00610902-0.00359424j 0.00297142+0.0108611j -0.00193088-4.48669e-06j 0.00948907+0.00602133j 0.00728944+0.00952284j 0.000868152+0.00851285j 0.0030421+0.00705431j -0.000702343-0.00434084j 0.00370423-0.000472871j -0.000296373-0.00478047j -0.00138225-0.0077839j -0.00097345+0.00268234j -0.00252702-0.000421095j -0.00129487+0.00236271j 0.00189762+0.000687149j 
-0.000343773-0.000272698j 0.000430485-0.000338025j -0.00291344+0.000252923j 4.23313e-05-0.00165189j 0.000478392-0.00126611j 5.75602e-05+0.000411356j -0.000835002-2.84175e-05j 0.00264811+0.000607052j -1.76153e-05+0.00259686j 0.00313135+0.00426101j 0.00437228+0.00558217j 0.000478388-0.00327462j 0.00126431-0.00346845j 0.00705504+0.00103515j -0.00388013-0.0146321j -0.00172294-0.00410397j 0.0055147-0.00572836j -0.00024892+0.00392441j 0.0016297-0.00217853j 0.00661854-0.00194249j 0.00886323+0.00463936j -0.0073614+0.0122001j -0.00845449+0.000392329j 0.0170501+0.000614783j 0.00523691+0.00214543j 0.00174968-0.00707037j -0.00233702+0.00522767j -0.00591678+0.00490078j -0.00446605+0.00827244j 0.00223969-0.00445383j -0.00949256+0.0142399j 6.19757e-05+0.00107236j 0.00628931-0.00335768j 0.00629969+0.00406547j -0.00976625+0.00206108j 0.00518333-0.00752319j -0.0031181+0.00123485j 0.0128193-0.000405435j -0.00782529-0.011207j -0.00411464-0.00230058j -0.0062571-0.00130411j -0.0023252-0.00187026j -0.00166286-0.00339691j 0.00128837-0.00171969j 0.000631774+6.13064e-05j -0.000969173-0.000802469j -0.00106903+0.00244394j 0.00142079+0.000989281j 0.000905888+0.0010331j -0.000784482-0.00141298j -0.000863399-0.000590927j 0.00012714+0.00118394j 
-0.000167012+0.00218231j 0.00383702+7.11772e-05j -0.00541513-0.000106619j 0.00207462-0.000383926j 0.00110773+0.00388051j 0.00289652+0.00425864j -0.000379303-0.000432828j 0.00226937-0.00530307j -0.00193417+0.00133824j 0.00582362-0.000416985j 0.00129407+0.000885439j -0.00195529-0.00725703j -0.00941852-0.00535442j -0.00133942+0.00204998j -0.00348627+0.0134542j 0.0115378+0.00200374j -9.62803e-05-0.00299922j 0.0041579-0.00734987j 0.00129739-0.00215273j 0.00528433-0.0133826j -0.00171387+0.0111265j 0.0024615+0.0031727j -0.00219941-0.00887204j 0.00542729+0.00970523j -0.00565817-0.000470087j -0.0168222-0.00589191j 0.00293192-0.00464608j -0.00747011-0.0014154j 0.00449619-0.0067765j 0.000220257+0.0142617j 0.00189257+0.00171364j 0.000975184+0.00898903j 0.00154452+0.0108806j -0.00188377+0.00148331j -0.00537963-0.00518505j 0.00280235-0.0052556j -0.0125905-0.00345637j 0.00314575-0.0143293j -0.00280956-0.0058878j 0.00423622-0.00119612j 0.00293607-0.00700124j 0.00262938-0.00543241j 0.00285857+0.000381829j 0.000576024-0.00277863j -0.0016986-0.00474826j -0.00320051+0.0018175j 0.0024955-0.00253632j -0.000683418-0.00308455j 0.00228555-0.00120569j 0.00393538+0.000802141j 0.0025862+0.000893433j 0.0011439-0.00138423j 
-5.89339e-05+0.00270413j 0.00225159+0.00129135j -0.00335382+0.000127371j 0.00019115-7.59002e-05j -0.00144556-0.00226793j 0.00180436+0.00307558j -0.00222459-0.00346469j 0.000595148+0.00177339j -0.00238725-0.00167522j 0.00253834+0.00317328j -0.00330824-0.00208135j 0.00198181-0.00379975j -0.00455295-0.00141361j 0.0103417-0.0043678j -0.00216249-0.00535633j -0.0153853-0.00537397j 0.00627046+0.000165707j -0.00936217-0.00367797j -0.000553699+0.00141443j -0.00307198-0.00902019j 0.00635633-0.0024939j 0.0187326+0.00906563j 0.00166666-0.00512822j 0.00452479+0.0100461j -0.00360208-0.00370279j -0.00377892-0.00350341j -0.0036837-0.000485577j -0.0045844-0.00722794j -0.016183-0.000872321j 0.0118547+0.000619656j -0.00647522+0.0155402j 0.00766056-0.00737393j -0.0218566-0.0156856j -0.00365861-0.00530593j -0.0091913-0.00868169j 0.00507514+0.00542273j -0.000440913-0.00972927j 0.00168848-0.00708417j -0.0111828+0.00298814j -0.00419163+0.0132505j -0.00184796+0.00789276j -0.0106844+0.00355283j -0.0120823+0.00320777j 0.00239875-0.000127279j 0.00810124-0.00220817j 0.00506932-0.000538096j -0.00202961+0.00338766j 0.00146188+0.00032074j 0.0013402-0.00422759j -0.00254838-5.28721e-05j 0.000364522+0.00219678j 0.000912999-0.000147113j 
0.000346801-0.00128428j -0.00022874-0.000839015j -1.92484e-05+4.77684e-06j -0.00414057-0.0031601j 0.000960035-0.00242816j 0.00327139-0.000338205j 0.00173885+0.00267855j 0.00312349+0.00115639j -0.0002929+0.00106857j 0.00591009+0.00172202j 0.00851693+0.00011114j -0.00332516+0.00538578j 0.00427561-0.00740705j 0.00584-0.0017776j -0.00319449-0.0153038j -0.00435595+0.00355039j 0.00330101-0.00202977j -0.0021793+0.00932313j 0.000185383+0.00154211j 0.0133038-0.00039657j 0.00414063+5.00736e-05j -0.00493719+0.0101567j -0.0089474+0.0113078j 0.00873767-0.00894204j 0.0131911-0.00347095j 0.00963062-0.000416965j 0.0004048+0.0116492j 0.00463415+0.00372092j -0.000989656+0.0136713j -0.0026697-0.0135512j -0.00797703+0.00932729j 0.00063251-0.00413716j 0.00813551-0.00652048j 0.00690055+0.0026198j -0.00263871+0.00811033j 0.00372764-0.00338447j 0.00108136+0.00573364j 0.0102982+0.00740341j -0.00363404-0.0023269j -0.00868902-0.00113606j -0.00158929+0.00463962j 0.0052448-6.40307e-05j 0.00135821+0.0020593j 0.0029988+0.000664103j 0.000173059+0.00113255j 0.00162825-0.00350252j -0.000847909+0.00206622j 0.00055943-0.000867036j -0.00261638+0.00215474j -0.00247164-0.00120782j -0.00168663-0.000368133j 0.000408252+0.00134855j 
0.00118887-0.000295812j -0.000216098-0.00256801j -0.00207862+0.000964416j 0.000804105+0.000974367j -0.000153934+0.000262139j -0.00204193+0.000802827j 0.000311231+0.000936309j 0.000932449-0.00122094j -0.00161+0.00217874j -0.000570252-0.000569404j 0.00296997+0.00393441j -0.00774561-0.0013982j -0.00268038+0.00318752j 0.00360963-0.00506068j -0.0187219+3.09393e-05j 0.00660103-0.00921505j 0.00177835+0.00194896j -0.0023395-0.002451j 0.0089619-0.0031454j -0.0102395-0.000128409j 0.000312681+0.00316839j -0.00355659+0.0166637j -0.000257542-0.0100049j 0.00882752+0.00730717j 0.00517586+0.0102279j -0.00459726-2.07071e-05j 0.000205935-0.00116761j -0.0100158+0.0100214j -0.00539724-0.00283904j 0.00227145-0.00480546j 0.0105355+0.0113307j 0.00216646+0.00493443j 0.00149234+0.00876215j 0.00878485+0.00113241j 0.00388831-0.00412751j 0.00279345+0.00173828j -0.00179877+0.0103307j 0.00806915-0.017761j -0.00785982-0.00518705j 0.00555952-0.00748489j -0.00122535-0.00291979j -0.00299831+0.00516856j -0.00184042+0.000265192j -0.00177697+0.00557561j 0.00184087-0.00139374j -0.00177661+0.00104559j -0.00142849-0.00574676j -0.000256725-0.00242081j 0.00164426+0.00183258j -0.000616726-0.00219638j 0.00020061-0.00206932j -0.000617351-0.000447507j 
-0.000717299+0.000917951j -0.000608504-0.000506131j 0.00309604-0.000398164j 0.00236643+0.00360536j -0.00615774+0.00324925j -0.00566551-0.00237112j 0.000817492-0.00260345j -0.00146988+0.0018439j 0.00919929-0.0012966j -0.00352729-0.00386437j -3.10656e-05-0.00262152j 0.00657811+0.00236573j 0.0102792+0.0198202j 0.00741062-0.00674052j 0.00285162-0.00792232j -0.00511745-0.00210665j -0.00452086+0.00520524j 0.00631647+0.001126j 0.00766638-0.00403215j -0.00142091+0.015112j -0.00916644-0.0171526j -0.00499035-0.0084494j 0.00467932-0.00383042j -0.0160637-0.00542375j 0.00389831+0.010861j -0.00306992-0.00879224j 0.00219794-0.00313526j 0.00482382-0.00186238j -0.0119244+0.00109197j -0.00519482+0.00405316j 0.0091999+0.00127638j 0.00311221-0.00487009j 0.0129855-0.00376373j -0.00141825+0.0021465j 0.000831001+0.00363745j 4.5056e-05+0.00199843j 0.0132064+0.000510932j 0.00916167+0.00383481j 0.00889487+0.00303369j 0.00161055+0.00460148j -0.00488876+0.00295502j -0.00266858+0.0071447j 0.00485662-0.00323095j 0.00260036-0.00126028j 0.00088709+0.0033048j 2.3744e-05+0.00172485j 0.00526287-0.00041558j -0.000554043+0.00313771j -0.000513561+0.00103808j 0.000221432+0.000545733j 0.00161602-0.00148215j -0.0015338-0.00243429j 
0.00114901+7.40728e-05j 0.000787848-0.00166124j -0.00248136-0.00114432j -0.00173349-0.000321746j 0.00772479-0.00790588j 0.00245513-0.00609666j 0.00179339+0.00357776j -0.00201163+0.00138951j -0.00265032+0.00905766j -0.00553527+0.00801245j -0.0107625+0.00593421j 0.00362116+0.00288552j 0.00326033-0.00219852j -0.0115944+0.0067613j 0.00168782-0.00492531j -0.00218113-0.0174693j -0.000317813-0.0142765j 0.0150547-0.0012005j -0.00337025+0.00497054j -0.00617459+0.00570328j 0.00324599+0.00411799j -0.00847383-0.00299947j 0.00438209-0.00416302j -0.000733089+0.000255726j -0.00411909-0.00175495j 0.00901701+0.0226707j -0.00452147-0.00738565j -0.00610222+0.00799155j 0.0184307-0.00135648j 0.00130259-0.0132615j 0.00190843+0.00149368j -0.012591-0.00298943j -0.00872757+0.000714159j 0.00479065-0.00846959j 0.00335897-0.0052506j -0.00485284-0.00420586j 0.0109197-0.0038067j 0.00579679+0.00906559j 0.00190171-0.000758281j -0.00247743-0.00417602j -0.00567507-0.00225193j -0.00161946-0.00102711j -0.00497839-0.00118826j -0.000689419+0.00365748j 0.00120553-0.00192528j -0.000858318+0.00136713j -0.0011382-0.0010821j -0.00212151-0.000290162j 0.00154111-0.000318287j -4.49552e-05-0.00071456j 9.95933e-05+0.00011211j 0.00032523+0.000197961j 
-0.000933293+0.00244224j 0.00319664+0.00205533j -0.00407585-0.000519363j 0.00479362+0.00290709j -0.00355676+0.00450372j -0.00415813-0.00310135j -0.00883498-0.00739715j 0.00527064+0.00177427j 0.00693911+0.00416699j 0.000978629+0.00478927j 0.0033541+0.00940539j 0.0102924-0.0128956j 0.00580498+0.00814946j 0.00370671+0.0105457j 0.00989491-0.00307932j 0.00145682-0.00186688j -0.00166268-0.019405j 0.0118114+0.0041278j -0.000441207+0.00936174j 0.0131231-0.00712187j 0.00275472-0.00577327j 0.00408143-0.0114488j -0.00253328-0.018261j -0.00282399-0.00653172j -0.0110774+0.00124074j -0.00391531+0.00992112j -0.000257359-0.0179051j 0.00199089-0.00455671j 0.00351439+0.00557648j -0.00916989+0.000694314j -0.00815141+0.00277477j -0.00362848+0.00643793j 0.0045847-0.00619166j -0.00548552-0.00832995j -0.00818761+0.00176345j 0.00392108-0.00176416j -0.00627061+0.00259737j -8.03677e-05-0.00213651j -0.00210449-0.000941779j 0.00795558+0.00148202j -0.00482333-0.00053013j -6.91974e-05+0.00445645j 0.000463963-0.00259455j 0.00346109-0.00394799j 0.000669465-0.0031833j -0.000113871+0.00207598j 0.0060656-0.000607701j 0.00174101-0.00336855j 0.00264026-0.000751657j 0.00203345+0.00344452j 0.00322871+0.00132652j 0.000484808-0.00199428j 
0.000456523-0.000804429j -0.00221037-0.000368886j 0.000831916-0.00230768j 0.00193715+5.58616e-05j -0.000880739+0.00279126j -0.0056979-0.00263944j -0.00220858-0.00195812j 0.00215437+0.00359555j 4.45207e-05+0.00247624j -0.00520845+0.00357759j 0.00539612+0.00287316j 0.00302461+0.00282696j 0.000292753-0.00285234j -0.00297713+0.00751313j -0.0117614-0.00780335j 0.00282102+0.00307051j 0.00170159-0.00253049j -0.00702309+0.010818j -0.000314345+0.00642559j -0.00101698+0.00457596j 0.00590999-0.000530022j -0.00322831+0.00868004j -0.000608299+0.00329915j 0.00394321-0.0111145j 0.00405062-0.00300168j 0.014664-0.00176539j -0.00422028+0.00324009j 0.00158246+0.00429566j 0.00456598+0.00855077j -0.0066602-0.011967j -0.00332472+0.0039618j -0.00689574+0.00164345j -0.000747581-0.00396543j 0.00523281-0.000829288j 0.00819026+0.00657302j -0.00161168-0.00166729j 0.00160168+0.0087678j -0.00166244+0.00284723j -0.00880759-0.0050081j -0.00280779-0.00426985j -0.000587092+0.00251704j 0.000966737+0.000528863j -0.00707133-0.00257478j -0.00133715+0.00344546j 0.00193264+0.00401491j -0.00455776-3.69642e-06j -0.00472842-0.00127498j 0.00244604-0.00427821j 0.00175314+0.00260444j -0.00177436-0.0010017j -0.000599401-0.000568132j -0.000166961+0.000335727j 
0.000702437+0.00155612j 0.00139508-0.00136742j -0.004047-0.00140899j 0.00162151-0.0018407j 0.00265869+0.00395768j -0.000292031+0.00240619j 0.00081458+0.00148389j 0.00429423-0.00332246j 0.0038844-0.00292527j 0.00212724-0.0010135j 0.00467298-0.00407964j -0.00254236+0.000873757j 0.0170626+0.00727834j 0.0074416-0.0124398j 0.00200896-0.00694058j -0.00668873-0.00754013j -0.00191902-0.00194753j 0.0083003-0.000220152j 0.00479038-0.00714254j -0.00107224+0.00467357j -0.00473396-0.0125306j -0.00191839-0.00594201j -0.000837732+0.00483779j -0.00304857-0.000277804j 0.00556331+0.00338933j -0.00705942+0.00027835j 0.00962471+0.00371185j 0.00543011+0.00277932j -0.008332+0.00602956j -0.00338695-0.00248981j 0.00772637+0.00651546j 0.00286102-0.000954224j 0.00635732-0.00349492j 0.00532748+0.00390861j -9.6383e-05+0.00046758j 0.00407164-0.000427705j 0.00635006-0.00309705j 0.00868084-0.00345442j 0.00220633+0.000395133j -0.0024991-0.000121801j -0.00382676+0.00459879j 0.00213213+0.00811784j 0.00416009-0.0012198j 0.00444144-0.000650966j 0.000518535-0.000494743j 0.00201975+0.00249212j 0.00545398-0.000912934j 0.00175627-0.000151137j -0.00132544-0.000199523j 0.000906471+0.000269471j 0.00185483-0.000586234j 0.000287187-0.0017406j 
0.00238846+0.00230138j 0.00202203-0.00164033j -0.00848263-0.00357229j 0.00673002-0.00541323j 0.0090844+0.00705679j -0.0027661+0.00917496j -0.00483125+0.00325773j 0.00504442-0.00424502j -0.00130012-0.00654388j -0.00487709+0.00760738j 0.00196974-0.00334248j -0.00544556-0.00548315j 0.0162984-0.000995588j -0.000979359-0.00059963j 0.00857083+0.000893967j -0.00740731-0.0107759j -0.00608281-0.00983603j 0.00528326-0.00204516j -0.000967365-0.00244818j -0.0179626+0.00141531j 0.00829603-0.0102144j -0.00124923-0.0170033j 0.000198014+0.0128285j 0.00241471+0.000100589j -0.0108035-0.00237784j 0.00337611+0.00333653j 0.00783913+0.00312736j 0.00509545+0.00362944j 0.0015565-0.00433606j -0.00302223-0.00112687j 0.00084155+0.000757341j -0.00308435+0.00913122j -0.0105725+0.000106225j 0.00288107+0.00630018j 0.00750078-0.00264652j -0.000731353-3.03251e-07j -0.00100038-0.00932134j -0.00904005+0.00236768j -0.00269047-0.00336712j -0.00191804-0.00483673j -0.00538667+0.00245735j 0.00200359+0.0045661j -0.00689011-0.00402534j 0.0017625+0.000898238j 0.000861567+0.00198975j -0.00044835+0.00696007j -0.00139975-0.00112199j 0.00413646-0.00516715j 0.00238266-0.00409369j 0.00274679-0.00190342j 0.00325663+0.00093735j 0.00131428-0.00221616j 
0.000559655-0.000674769j -0.000574561-0.000993069j -0.00065394-0.00183704j 0.00329175-0.00250286j -0.00101078+0.00496004j 0.00492872+0.00238538j 0.00229264+0.00237246j 0.00635377-0.00522261j -0.00462349-0.00257031j 0.00770211-0.00473766j 0.00722892-0.00635911j -0.00739128+0.00136356j -0.00383167-0.00391054j 0.00371337-0.00326491j 0.00646357+0.00602441j 0.00733765+0.00822008j 0.00144494+0.00455508j -0.00649092+0.00475748j -0.000970693-0.00149785j 0.00516521-0.0111914j 0.00203062+0.00252857j 0.00508365-0.000293773j -0.00463767+0.00923037j 0.0061555+0.000226675j 0.00295233-0.00638146j -0.00868894-0.00296342j 0.00711906+0.00844543j 0.00357577-0.00247292j -0.00363245+0.00203158j 0.00189122+0.00355371j -0.00337382+0.000258555j 0.00460576+0.00133716j 0.00699508+0.00397083j 0.00208282+0.00552007j -0.0028264+0.00368054j 0.00215604-0.00222735j -0.00924857+0.00380596j -0.00421676-0.00339288j -0.00134081+8.00309e-07j -0.00191058-0.000217592j 0.00514784-0.0012919j 0.00410234-0.00311591j 0.00617198+0.00208289j 0.00157304-0.0005871j -0.00195608+0.000785128j 0.000934038-0.0011521j 0.000221769-0.000172877j 0.000923987-0.00102104j -0.00157063-0.00050318j 0.00104371+0.001229j 0.000333105-0.000622402j -0.000114488+0.000717758j 
6.20884e-05+0.000380082j -0.000346944-0.000118812j -0.000709898-0.000163629j -0.00123394-0.00174286j 0.000599311-2.03602e-05j -0.00192883+0.00663885j 0.00547382-0.00121828j -0.00809129-0.000469224j -0.00213154-0.00223979j -0.00685579-0.000354858j -0.00587741-0.00550653j -0.000375849+0.00839612j -0.00182677+0.00126776j -0.00727757-0.00286648j -0.00365089+0.00624729j -0.00283543+0.00110329j 0.00152477+0.0110706j -0.00738586-0.00386472j -0.00294266-0.0088326j -0.0140444+0.0105833j -0.0018595+0.000711493j -0.000118321-0.00192254j 0.00661785+0.00873601j -0.000705389+0.0040906j 0.00020327+0.00227002j -0.00233042-0.0113681j 0.00236303+0.00619516j -0.00161466-0.000106648j -0.00655824-0.00456594j 0.00822252+0.00419412j 0.00565142-0.0051707j 0.00074387-0.0037014j -0.00733033+0.00386479j 0.00225104+0.00629283j 0.00560483-0.00504228j -0.000126369+0.0021922j 0.00322134-0.00670796j -0.00382511+0.0010957j 0.00190746-0.00105522j -0.00160182+0.00180004j -0.000542075-0.00126801j -0.00198585+0.000938169j -0.00167659-0.00118954j -0.00170622+0.00204316j 0.00221285+0.00135896j -0.000386412+0.000657698j -0.00383422-0.00074884j -0.000274877+0.000223661j 0.00106722+2.32766e-05j 0.000283014-0.00199893j -0.000588342+0.00100444j 0.0011813-0.000657227j 
-0.00124222+0.00104345j -0.000236304+0.00279569j 0.00179415+0.00126815j 0.00140966-7.92139e-05j -0.00433683+0.0072694j -0.00926213+0.00676582j -0.00826792-0.00670299j -0.00379652+0.0024325j 0.00590865-0.00554324j -0.00750365+0.000106924j 0.00319729+0.00039808j 0.00484652-0.00525365j 0.00405545+0.00502618j -0.000698249+0.00324087j -0.00546249-0.000930862j 0.00217861+0.010009j -0.00137218+0.00149763j -0.00513152+0.00529486j -0.000367096-5.37684e-05j -0.00202479+0.00377872j -0.0026385-0.00406597j 0.0005125-0.00592687j -0.000332542-0.00221671j -0.00618435-0.00841084j -0.00374672+0.00464604j 0.000627378-0.00973303j -0.00280209-0.00475375j 0.00206372-0.00751183j -0.00435446+0.00573089j -0.0044698+0.00502396j -0.00356274-0.00524511j 0.00271085+0.000593624j -0.000243409-0.00711396j -0.00491807+0.00401417j 0.00531917+0.00578504j 0.0013717+0.0032542j -0.0031118+0.00476435j -0.00813176+0.000969722j 0.000211706-0.0015438j 0.00551595+0.0013344j -0.00171548+0.000833533j -0.000304633+0.00501699j -0.00356067-0.0037581j -0.0029508-0.00202816j -0.000250494+0.00178421j -0.00294718-8.66654e-05j -0.0019935-0.00170376j 0.00118742-0.00229557j 0.0034383+0.00154739j -4.22505e-05+0.00065039j -0.000196148+0.000338205j -0.000470596-0.000514442j 
0.00279667+0.00124638j -0.00264694-0.00388736j -0.00160207-0.0122761j 0.00982555-0.00559986j -0.00757292+0.00348872j -0.0081316-0.0133512j 0.0153775-0.00579149j 0.00505393-0.00049235j 0.00234134+0.010711j 0.00279913+0.000353858j -0.00333798-0.00375583j 0.00771579+0.00402045j -0.011535+0.00678296j -0.00430467+0.0115269j 0.00150697+0.00466359j 0.00948877+0.00957223j -0.00817831+0.0151374j -0.0126488-0.00591996j -0.00224705+0.00202359j -0.00138321+0.000601185j -0.00426843-0.00485847j -0.00240069+0.00323288j 0.000368998-0.00292039j -0.011179+0.0016382j 0.00636769+0.000538666j -0.00170324-0.00252278j -0.0140662+0.00568158j -0.00223153-0.00256398j 0.000570709-0.00253064j 0.0103497-0.00691824j 0.00507918-0.0026834j -0.0149507-0.00347467j 0.00349595+0.00720342j -0.00161462-0.00493871j 0.00127322-0.00213888j 0.000664591-0.00169128j 0.00304766-0.000656982j 0.00125358-0.001568j -0.00291618+0.000410294j -0.00287313+2.96688e-05j 0.00419104+0.00146447j -0.00405275-0.00213622j -6.44678e-05-0.00212119j 0.000931282+0.00243938j 0.00149567+0.00331116j 0.000471211+0.0041046j 0.00049702-0.00246563j -1.92081e-05+0.00408181j -0.000986433+0.000994316j 0.00142651-0.00270095j 0.00136442-0.00105229j -0.00103288-0.00146305j 
