-0.188829-0.0885231j 0.0511134-0.269821j -0.15811+0.0649985j 0.180387-0.0673547j -0.00819336-0.0235661j -0.00312029+0.0976175j 0.00899361-0.0231924j -0.177165-0.0762727j 0.153684+0.0736002j -0.0351668-0.268856j -0.189514+0.0762975j 0.00690002+0.346698j -0.40672+0.0780424j 0.227821+0.146107j -0.119101-0.212778j 0.125262+0.0822805j 0.107553-0.141559j -0.0236297-0.0799775j 0.00406468-0.259139j -0.026603+0.0777995j -0.101418-0.147262j -0.128708+0.0790024j 0.12662-0.209453j -0.235206+0.135635j 0.402782+0.0967172j 0.0243355-0.346407j 
-0.0302252+0.0238954j 0.0413086+0.0083605j 0.0226706-0.0296209j -0.0360361-0.0038207j -0.0450333+0.0377754j 0.065819+0.0170934j -0.0331127-0.0506819j -0.0347391-0.0070083j 0.00751078+0.0363354j 0.040408+0.00852005j 0.0162557+0.0346296j -0.00939905-0.00261537j 0.00614305-0.0058743j 0.00352917-0.0161688j -0.0101666+0.0160275j -0.0292673-0.0247379j -0.0255153+0.025143j -0.00893692+0.0302385j -0.0499178-0.0289164j -0.0358314+0.0416846j 0.000570377+0.0126997j -0.0247748-0.005854j 0.0146008-0.0216847j 0.00250602-0.00249004j -0.00385869+0.0236365j 0.0265871+0.00605521j 
-0.0334677+0.000358828j 0.0152137+0.00916136j 0.0289632-0.000345383j -0.0206818+0.0284562j 0.010561+0.0382391j -0.0019241+0.0496724j -0.0599544-0.0246028j -0.0129589+0.031915j -0.016579+0.0277231j 0.010215+0.00304178j -0.0257768+0.0135663j -0.0128913-0.0137194j 0.0293338-0.0184109j -0.0267521+0.000664507j -0.00596118-0.00825738j 0.0297659+0.0083385j 0.09694-0.0496747j -0.0131169+0.0290807j 0.00901755+0.0389129j 0.0442924-0.0279704j 0.00985279-0.0799177j -0.0310422-0.0187777j -0.0194433-0.0132253j -0.0304998-0.0163578j 0.00278976-0.0325367j -0.0460493-0.0228058j 
-0.0178478-0.0500442j 0.0110466-0.00778338j -0.0398952+0.0502495j -0.0416762+0.0141748j 0.0892764+0.0123137j 0.0498016+0.0681541j 0.00448182+0.0508057j -0.0302316+0.00348485j -0.0200995-0.0590356j -0.00788179+0.0179063j 0.00766671-0.0257109j -0.0411191-0.0426141j 0.0252884-0.0243266j 0.018422+0.0337111j 0.00926126+0.049454j -0.0215505+0.00786994j 0.0331561-0.0189002j -0.00748567+0.0882267j -0.0881052-0.0273477j -0.00527904+0.0235745j 0.0190118-0.0904247j -0.0418782-0.00696691j 0.00884802-0.00822694j -0.00458905+0.0488464j 0.0113691-0.00277406j 0.00931292+0.00780761j 
0.0145505-0.00778247j 0.0201575-0.0117692j -0.0491295+0.00334293j -0.0231575-0.0420741j -0.00501439-0.0245959j 0.097914-0.0239718j 0.0734344+0.0254445j -0.0277499-0.0576227j 0.0211994-0.0463234j 0.016623+0.0148471j 0.0616069-0.00446217j -0.000771526-0.0037527j -0.00152964-0.00497593j 0.00125099+0.0169623j -0.00371893-0.00236439j 0.0164361-0.00476786j -0.00197216-0.0394471j -0.00142654-0.00209265j 0.028355-0.0079962j -0.00307671-0.0325933j -0.0160691-0.0152409j 0.00177554+0.001354j -0.00346893+0.0153253j -0.00831511+0.0122625j -0.0106766-0.0106461j -0.0175426+0.0153414j 
0.00063059+0.000784562j 0.000636375-0.00299187j -0.00243321-0.00108458j -0.000378+0.00575641j 0.00931981+0.00634603j -0.000794185+0.00191047j -0.00930104+0.00624402j 0.000682956+0.00577697j 0.00228317-0.000602853j -0.000975534-0.00306332j 0.000297474-0.000952918j -0.000837147-0.0199752j -0.0316942-0.00630768j 0.00816119+0.091146j 0.034915+0.0514045j -0.0308353+0.0652806j -0.0172694-0.0224094j 0.0490502+0.010932j -0.00144164+0.00980967j 0.0482319-0.00939544j 0.015939-0.0231998j 0.0303867+0.0647383j -0.0340267+0.0504375j -0.00814906+0.0923686j 0.0317074-0.00518017j 0.000683143+0.0194082j 
-0.0621655-0.0040302j 0.0174716-0.0156626j 0.0228155+0.0454719j -0.0264188+0.0585789j 0.0724973-0.0266201j 0.0985498+0.0228791j -0.00583149+0.0237064j -0.0229342+0.0435731j -0.0494767-0.00233843j 0.0203802+0.0114896j -0.0148204-0.00735956j 0.0178974+0.0157735j -0.0109911+0.0107234j -0.00868209-0.0118313j -0.00362728-0.0151501j 0.00108594-0.00108132j -0.0158699+0.0164275j 0.00314786-0.033612j 0.0286999+0.00866505j 0.00244629-0.00120913j -0.00125753+0.0408764j 0.0170988+0.00532583j -0.00421869+0.00215477j 0.000943461-0.0170201j -0.000963803+0.00514596j 0.000980411-0.00398064j 
-0.00752618-0.0249096j -0.00752825-0.0177744j -0.01897+0.0578881j -0.0289466-0.00337597j 0.0021619-0.0504634j 0.0482205-0.0692506j 0.0879567-0.014657j -0.0419488-0.013099j -0.04-0.0490049j 0.0104446+0.00778757j 0.0180565-0.0491814j -0.00768024+0.00713148j 0.012185+0.00414141j -0.00590147-0.0491452j 0.00704438+0.00833551j -0.0428864+0.0058318j 0.0192925+0.0924308j 0.0019609+0.0240562j -0.0883645+0.0242739j 0.00664818+0.0893347j 0.0366604+0.020662j -0.02159-0.00857606j 0.00929321-0.0496782j 0.0170929-0.0352121j 0.0250046+0.0257934j 0.0417768-0.0421117j 
0.0263932+0.0138219j 0.00953606-0.00247183j -0.0167488-0.0283484j -0.0126274-0.0320701j -0.0593901+0.0261559j -0.00363839-0.0476632j 0.00883138-0.0374303j -0.0198304-0.0286518j 0.0293504+0.000374368j 0.0142144-0.00939908j 0.0333337+0.00114632j 0.0464489-0.0225484j 0.00128493+0.0327077j -0.0293598+0.0185119j -0.0189766+0.0136791j -0.0299548+0.0192683j 0.0085002+0.0763944j -0.0438387-0.0281786j 0.0113092-0.0393343j 0.014058+0.0259208j 0.0955735+0.0489003j 0.0313134-0.00737868j -0.00628796+0.0103356j -0.0271123+0.00145094j 0.028106+0.01784j 0.0124349-0.011931j 
0.0147651-0.0343034j -0.0405249+0.00884556j -0.00715505+0.0374259j 0.0347272-0.00629235j 0.0333227-0.0515119j -0.0651235+0.017827j 0.0449808+0.0373973j 0.0360721-0.0033177j -0.0230079-0.0292041j -0.041049+0.00878097j -0.0315931-0.0238836j 0.0267124-0.00526846j 0.00317924+0.0240077j -0.0025806-0.0023411j -0.01498-0.0218523j 0.0242533-0.00601531j 0.000234836+0.0129621j -0.0356993-0.0418052j 0.0500119-0.0274329j -0.00798158-0.0295016j 0.0256902+0.0253646j 0.0289311-0.0248061j 0.0099194+0.015637j -0.00325644-0.0161967j -0.00581337-0.00587811j -0.00950673+0.00236663j 
-0.0534887+0.0280858j -0.00139284-0.00752501j 0.0561273+0.0192293j 0.0264153+0.0526549j 0.034672-0.0707482j 0.0672603-0.00784608j 0.00837767+0.0215121j 0.0238176+0.0417553j -0.0433361+0.0371117j 0.01325+0.00608334j -0.0326742+0.0150315j 0.04411-0.0324529j 0.0250857+0.0107623j -0.0596434+0.0157877j -0.0623687+0.00718247j -0.00956671-0.0334937j 0.0317164+0.00221653j -0.0828861+0.000366364j 0.0438457-0.0716407j -0.0158759-0.011034j 0.0738303+0.0145781j -0.0135585-0.0324353j -0.00987202+0.000231714j -0.0740121-0.0144271j -0.00389931+0.0103532j -0.0268407+0.00987336j 
-0.0132682+0.0290805j 0.0315787-0.0257487j -0.00508751-0.0201284j -0.0290462+0.0339749j 0.0199407+0.0471408j 0.0659726-0.0239433j -0.0543052+0.00196367j -0.028641+0.0283241j 0.0179759+0.0115118j 0.0301689-0.0190332j 0.0283155+0.00560559j 0.00945231+0.0074154j -0.0300472+0.0287285j 0.0417173+0.0214417j 0.0436218-0.00557206j 0.00855474+0.0536984j -0.0342538+0.0417012j 0.033834-0.0540527j 0.016586+0.0186756j 0.0259834-0.0107397j 0.00909692+0.0316842j 0.0677828+0.0217793j 0.00644597+0.0379601j 0.049993+0.0274448j 0.0205544-0.0078856j 0.022244-0.00473496j 
-2.55046e-05-0.0436793j -0.0071295+0.0275409j -0.00684601+0.0236225j -0.0156913-0.0339913j -0.015443+0.00152244j -0.0402453+0.0574864j 0.0262132-0.0225146j -0.0104737-0.0293015j -0.0175189-0.0214014j -0.0153256+0.0251431j -0.0160585-0.00633145j 0.000337847+0.0634492j -0.023063-0.0357592j -0.0547679-0.0499608j -0.0198284-0.0176202j -0.0280625-0.0412527j -0.0299407-0.0363359j 0.055343-0.000624744j 0.0187583+0.0709904j 0.000369186+0.0299966j -0.0850235+0.0568345j -0.0481194+0.0474607j -0.0396814-0.0419626j -0.029604-0.0487945j -0.0211152+0.023391j -0.0124272-0.00471466j 
