0.0853809+0.465522j -0.441625+0.116551j -0.130025-0.00826159j 0.0530448+0.2778j 0.264043-0.0993421j 0.0753799+0.17297j -0.0143391+0.11101j -0.0325205+0.192652j 0.35954-0.105403j -0.0457755-0.0376897j -0.00263185+0.203655j -0.00151735+0.0906407j -0.0452412+0.0352299j -0.354752-0.115546j 0.0291442+0.196511j 0.0086784+0.113686j -0.0805209+0.169863j -0.259241-0.110134j -0.0654548+0.270421j 0.122833-0.00198272j 0.436242+0.142539j 0.111967-0.45913j 
0.00069208-0.000758269j -0.0228305+0.00183284j 0.0225599+0.0330176j -0.0193552+0.0182794j -0.00598894+0.0103893j -0.0497004-0.0345703j 0.0311977-0.00249811j 0.0102472-0.0350251j -0.01674-0.0194446j 0.0385728-0.045994j -0.0887266-0.0303366j 0.0212274+0.022587j -0.00309742+0.0289701j -0.00458182-0.0650571j 0.0515109+0.0517479j -0.0102155-0.053222j 0.0533848-0.0309982j -0.0238297+0.0339705j -0.0547851+0.00167711j -0.0542924-0.0354331j 0.0196363-0.000357236j -0.0197359-0.0344699j 
0.00667764+0.0030162j 0.0164341-0.0140552j -0.00842353-0.00773004j -0.0169994-0.0541708j 0.0229178-0.0686203j 0.0438217-0.0374528j -0.0102848+0.0241545j -0.0193572+0.0465884j 0.0122278-0.0225331j -0.0722054-0.0159146j -0.014498+0.0113472j -0.048636-0.00233458j -0.0231298-0.0555211j -0.00521107-0.0594028j 0.00541911-0.0136701j 0.026943+0.0361794j -0.00504267-0.0317073j 0.0329015-0.0399701j 0.0359014-0.040615j 0.0216414-0.0561639j -0.0145862-0.024686j 0.00225756-0.0107609j 
0.00950865-0.0155139j 0.00268385-0.00199078j -0.0145673+0.01813j -0.0491003+0.021784j 0.013372+0.0676765j 0.00857655-0.0430658j -0.0521818+0.0225801j -0.0498446+0.00558432j -0.0518571-0.0155935j -0.0431136-0.0216703j -0.0313932+0.0308229j -0.0372937-0.0514172j 0.045665-0.019529j -0.0120568-0.00356242j 0.0700976-0.0298857j -0.0164128+0.0869136j 0.0179088+0.0135638j -0.0743284-0.0115409j -0.0407295+0.0173062j 0.00800703-0.0387899j -0.0120506-0.0190976j -0.0219442-0.0102362j 
0.00402097+0.00308457j -0.0114617+0.0173866j 0.0389115-0.0108763j -0.00368878+0.00801329j -0.0108869-0.0340085j -0.0631051+0.0279844j 0.0349991-0.0282736j -0.0179217-0.0275715j -0.0232344-0.00461517j -0.029979-0.061806j -0.0985045+0.07223j 0.0448611+0.000532722j -0.00199886+0.0251754j -0.0864143-0.0609526j 0.0852842-0.00783114j -0.049998-0.0443495j -0.0217092-0.0915959j 0.0415083+0.0285102j -0.0251699+0.0280741j -0.0752266+0.0233506j 0.00648046-0.0240588j -0.0458777-0.00605067j 
-0.00961902+0.0118053j 0.0202254+0.00011992j 0.0295351-0.0794162j 0.00930276-0.00884623j 0.0416037+0.0140586j -0.0468588-0.00499145j -0.0766421+0.0402763j 0.00512227-0.0474743j -0.00169918-0.036817j -0.015482+0.0537223j -0.00633538+0.0010017j 0.0920704+0.0340549j -0.0528348-0.0182209j 0.0199043-0.00176658j 0.00630257+0.0674257j -0.00385295+0.0483697j 0.0120721-0.0863992j -0.0416194-0.010771j 0.0276218+0.0172963j -0.00868798+0.0357542j 0.0046514-0.0179183j -0.00586093+0.00933616j 
0.00987674+0.00943786j 0.00202801-0.00446607j 0.00108614-0.00723644j -0.0141825-0.0645071j -0.0782742-0.0848489j 0.0406978-0.00240946j 0.0290698-0.0566988j 0.0363975+0.0177029j 0.0427013-0.0273382j -0.0360596-0.00766025j -0.000531534+4.83334e-05j -0.000459365+0.0316275j -0.0349471+0.00759853j -0.0432633-0.0273556j -0.0352946+0.017955j -0.0294267-0.0572285j -0.0406124-0.00265328j 0.0784068-0.084167j 0.0150147-0.0650849j -0.000700001-0.00875033j -0.00226432-0.00445074j 0.0095189-0.00933854j 
0.00682341+0.00949119j 0.00511593+0.0180955j -0.0117662-0.0351532j 0.0266162-0.0180108j -0.040534+0.00888135j 0.0129813+0.0867727j -0.00459659-0.0457489j 0.00944408-0.0683455j 0.0201957+0.0045975j 0.053491-0.0157585j -0.00725317-0.00409146j 0.091672-0.0339462j 0.0148359+0.0516262j 0.000165719+0.0391518j 0.00354033+0.0483303j -0.0737883-0.0390778j -0.047901+0.00661565j 0.04056-0.0139332j 0.0101019+0.00583298j 0.0312286+0.0787362j 0.0197529+0.00061987j 0.0107307+0.011364j 
0.0477658-0.0057698j 0.00480262+0.0254085j -0.0746852-0.0191625j -0.0294524-0.0274034j 0.0388187-0.0279432j -0.0192814+0.089575j -0.0500142+0.0420877j 0.0870773+0.0118585j -0.0882809+0.0629336j 0.00062342+0.0231502j -0.0994255-0.0747045j 0.0390336-0.00018101j 0.0339468-0.0644161j -0.0255659+0.00641635j -0.0209729+0.0239817j 0.0339223+0.0286935j -0.061742-0.0240941j -0.011535+0.0319948j -0.00651031-0.00861109j 0.0386307+0.0080392j -0.0109397-0.0167039j -0.00457707+0.00155561j 
0.0201078-0.00915182j -0.0136757+0.0184618j 0.0117444+0.0401175j -0.0373623-0.0153332j -0.0749409+0.0126358j 0.0173953-0.0159237j -0.0139362-0.0884533j 0.0662832+0.0297771j -0.0108227+0.000725091j -0.045277-0.0212677j -0.0278317-0.0277922j -0.0395085+0.0507928j 0.0443916-0.0191621j -0.0518444+0.0143149j -0.0468079-0.00824922j -0.0541693-0.0239214j 0.0109779+0.0434284j 0.0149018-0.0667056j -0.0485461-0.0206491j -0.0172758-0.0183174j 0.00336502+0.00272536j -0.00938955-0.0151768j 
0.00369912+0.0100536j 0.0149778-0.02409j -0.0215066-0.054843j -0.0372269-0.0419749j -0.0329297-0.0412755j 0.00600518-0.0305486j -0.0272863+0.0376236j -0.00362132-0.0132614j 0.00419766-0.0571079j -0.0244314+0.0563995j 0.0119327+0.010679j 0.0478366-0.00169018j -0.0719449+0.013847j -0.013098-0.0217105j 0.0181928+0.0464698j 0.0111979+0.024518j -0.0444159-0.0376975j -0.0235319-0.0684266j 0.016342-0.0550268j 0.00922037-0.00972858j -0.0168479-0.0139264j 0.00625627-0.00321371j 
0.0210654-0.0353714j 0.0196026+0.0021333j -0.0514904+0.0371632j -0.0553636+0.00117515j -0.0241471-0.0326425j 0.0540122+0.0291263j -0.0099908+0.05214j 0.0528476-0.0502084j -0.00394501+0.0672576j 0.00153454+0.027409j -0.0901051+0.0305326j 0.0175902-0.0199357j -0.037396-0.0489688j -0.01641+0.0206864j 0.00744869+0.0337668j 0.0307513+0.00295306j -0.0472811+0.0352725j -0.00608585-0.00983659j -0.0207619-0.0168518j 0.0211214-0.034039j -0.0217597-0.00186343j -0.00169747-0.0011725j 
-0.00614295+0.0253129j -0.00868646-0.0332781j -0.0274821-0.0454427j -0.00984773-0.0185963j -0.0200667-0.0220497j -0.0249206-0.0345278j 0.0279835+0.0313405j -0.0528596+0.0221518j -0.0111395-0.0723708j 0.0210982+0.0317656j 0.0666382-0.00835297j 0.016047-0.0329348j -0.0365274+0.0745237j -0.000530505-0.0330771j 0.0392999+0.000721547j 0.0242128+0.00168475j -0.0361714-0.0225612j -0.0291386-0.0186638j 0.012145-0.0470095j 0.00206995-0.00160261j -0.0102776-8.30618e-05j 0.0107024-0.00410921j 
0.00937806+0.0183714j -0.014064-0.00393683j -0.0215547-0.0233175j -0.000768234-0.014957j -0.00218742-0.00289038j -0.0300712+0.00512123j 0.00704561-0.00592792j -0.00587536+0.0362636j -0.0356639-0.028186j 0.00978599+0.00186902j 0.0225666-0.0423868j 0.000558925-0.00802572j 0.0221161+0.0312225j -0.0111057-0.0153209j 0.00435044-0.0114503j 0.00310478-0.000414225j -0.0190883-0.0127786j -0.0107636+0.00221976j -0.0019105-0.0193151j 0.00465635+0.0090037j 8.56713e-05-0.00173597j 0.00261256-0.00387459j 
