-0.0137063+0.0390336j -0.0137348-0.0709457j -0.00534471+0.173097j 0.00759306+0.0424971j 0.00900041+0.144462j 0.0237629-0.303598j 0.00705067-0.124446j -0.0071291+0.168158j -0.0764838+0.0793641j 0.0684338-0.0731343j -0.0126275-0.00351226j -0.00257813+0.0504105j 0.0632391+0.00314051j 0.125665-0.0210563j 0.0478451+0.0319392j -0.00940228+0.0375679j 0.0296538-0.0147875j -0.0337581+0.0423653j 0.0134598+0.0446864j 0.0373164+0.0259268j 0.0176315-0.0192394j -0.0466393+0.0230701j 0.0107197-0.0356649j 0.0437809-0.0273154j -0.0352015+0.0292773j 0.00910845-0.0489977j 4.63023e-05+0.0202481j -0.0191882+0.0230567j -0.0287997+0.0324089j 0.0454223+0.0286241j -0.0550006+0.039911j -0.0139898+0.0401098j -0.0286665-0.050457j 0.0376424-0.0327197j 
-0.0338557-0.123797j -0.0705187-0.0490476j 0.0622038+0.132925j -0.0143098-0.151651j 0.0525607-0.048289j 0.00722361-0.159426j 0.00876582+0.206406j -0.0920653+0.222208j -0.0382726-0.0617614j -0.151872+0.265049j 0.00574978-0.0512549j -0.32709+0.222955j 0.0428142-0.103988j -0.0900879+0.0549339j -0.062113+0.0660711j -0.0990168+0.00681096j 0.0937827-0.138188j 0.00488846-0.0450958j -0.0398495+0.0935107j 0.00236029+0.0232351j 0.0228389+0.0315845j 0.0287741-0.0214769j -0.00449591+0.0989277j 0.00938221+0.0391423j 0.0787072+0.0237987j 0.0173699-0.0803536j 0.0176619-0.0504896j 0.022293+0.0120738j -0.0835661-0.00728294j 0.00770531+0.0313285j 0.0133913-6.96855e-05j -0.0203458+0.0242057j -0.0138496+0.012286j 0.0221837+0.00930406j 
0.000130229-0.0509476j 0.0314251-0.0377156j -0.0903433+0.0333135j 0.0020465-0.0793336j -0.0465414+0.0100457j 0.0199871-0.0601227j -0.00598842+0.123282j 0.0326332+0.114011j 0.00383244+0.0467303j 0.419921+0.25323j -0.0361065-0.0476115j 0.277198+0.196363j -0.0497664-0.0549771j 0.0705291+0.0451032j 0.007917+0.0334106j 0.0489123+0.0361751j -0.103655-0.0733583j -0.0764047-0.0304766j 0.0544823+0.0358798j 0.0296313-0.00427786j 0.0186848+0.00992214j -0.0494121-0.0111482j 0.121443+0.0282339j 0.0619984+0.00529925j -0.00597026-0.0744186j -0.0937164-0.0122999j -0.0724444-0.0227259j 0.00145651-0.0377355j -0.0263653+0.0792869j -0.00890531-0.00434264j -0.017016-0.0126005j 0.0549851-0.0211162j 0.0456372+0.00168334j 0.037106-0.0007187j 
-0.0144078-0.113102j -0.0733422+0.0311301j 0.0477476-0.0439733j 0.0930385+0.128569j 0.0823775-0.118841j -0.0511558-0.0875094j -0.0198862+0.140081j -0.0745141+0.0454052j -0.433726+0.289772j 0.058536-0.116547j 0.0052721+0.0474301j 0.0575914-0.0825172j -0.0713795-0.0336834j -0.125352+0.0731122j -0.0626228+0.0938283j -0.0604916+0.0147027j 0.0792013-0.0359006j -0.0518249+0.0507363j 0.0291367-0.0597364j 0.154494-0.139096j 0.0146745+0.0130437j -0.0652039+0.0104278j -0.0243917+0.0774308j -0.0476335+0.0345466j 0.0238993-0.0310046j 0.0632922+0.0440495j -0.0054267+0.00158195j 0.0232433+0.0481042j -0.0181291+0.0222136j 0.0308865-0.00470473j 0.0105392+0.0136234j -0.0188527+0.0244209j -0.0255991+0.0171509j -0.0146365+0.00718753j 
0.0776597-0.0317911j 0.099491-0.00474646j -0.108322+0.0180349j 0.0370484-0.00203558j -0.0604217-0.0184376j 0.110994-0.00238565j -0.0319031+0.0578028j 0.287168-0.0651047j 0.00993365+0.332038j -0.256735+0.169741j 0.0847128-0.0284025j -0.0766888+0.00846972j 0.0836944-0.000305229j 0.0813399+0.0431838j 0.0833965+0.0105299j -0.0136136+0.0676094j -0.232056+0.0730385j 0.007724+0.0929889j 0.054906-0.0679962j -0.0794348-0.0885083j -0.0165934-0.0168085j -0.0779879-0.000534298j 0.0388515+0.00125701j 0.0182141+0.0415786j -0.0480709-0.0343351j 0.0340849-0.0589303j -0.00597655-0.00647676j 0.0272699-0.023527j -0.00402328+0.042251j -0.0143468-0.0161882j -0.00330468-0.00763378j 0.050399-0.0259848j 0.047134-0.00374209j 0.0153225-0.00388818j 
0.081428+0.0589722j 0.0818117-0.0243754j -0.0346713+0.110304j 0.108526-0.0262951j 0.0156816+0.0825926j 0.0142746+0.0165707j -0.000850256-0.103422j 0.103638-0.0871847j -0.398297-0.31026j -0.117641+0.147927j -0.0340202-0.0466066j 0.0570375+0.0755777j -0.0358139-0.0108413j -0.00837287-0.10193j 0.00680569-0.0779493j -0.014146-0.0217358j -0.145437+0.103198j -0.0301311+0.0181619j 0.102888+0.0145935j 0.129743+0.112169j -0.0501574+0.00399665j -0.0507385-0.0785714j -0.0861978-0.024372j -0.0508334-0.0130046j 0.0196137-0.00821399j -0.0266671+0.0275088j -9.30914e-05-0.0124948j -0.0294406+0.0146397j -0.0262885-0.0111047j 0.0132531-0.00574875j -0.00565008-0.00319046j 0.019796-0.0126735j 0.00183362-0.0210282j -0.00894297-7.36543e-05j 
-0.25624-0.0015233j -0.0174038+0.0169323j -0.0982298-0.0928999j 0.0429553+0.0162433j -0.0245044-0.0071872j 0.0957065-0.0464736j -0.0841555+0.0957172j 0.243024+0.140314j -0.0134514-0.161607j -0.111086-0.172212j 0.197882-0.00159203j 0.191042-0.0463241j 0.205381-0.0297939j 0.00288891+0.0737654j -0.111507+0.0186003j -0.208839+0.0190776j -0.014098-0.180776j -0.0972173-0.060828j 0.0205242+0.0322516j -0.0102673+0.00414441j 0.00409669-0.0235179j 0.0374718-0.0771781j 0.0547145-0.00318714j 0.00301104-0.0121565j 0.00532235-0.00933325j -0.0432977+0.0320344j -0.00182764+0.0108821j -0.0315102+0.00875002j -0.00548499+0.00176782j -0.0137787+0.0173786j -0.00897622-0.007237j -0.0129387+0.0172082j 0.0141849+0.0159474j 0.0392304-0.00330451j 
-0.259055+0.047894j 0.0834892+0.000116823j 0.0426194+0.190607j -0.0325905+0.00156949j 0.0964027+0.0152648j -0.0613185-0.101156j 0.00869264+0.0385225j -0.0991926-0.26595j 0.027157+0.0623504j -0.0672599+0.19956j -0.107157-0.0962392j 0.187197-0.114096j 0.127645-0.120764j 0.0456986-0.0193806j -0.182097-0.0200681j -0.106001+0.167488j 0.140368+0.0939666j 0.0522841-0.0221945j -0.0807526-0.0625062j -0.0205934+0.00333192j -0.0240328+0.0445024j 0.0109166+0.0192666j -0.017835+0.0138516j 0.0117252-0.00833718j -0.00670415+0.0405312j -0.0458718+0.0297777j 0.0045843-0.000217138j -0.0281885+0.0355853j 0.0476693-0.0186487j -0.00626476+0.00843208j -0.0021399+0.00507192j -0.0373252+0.0106864j -0.0173785-0.0108661j 0.0100976-0.011579j 
-0.00935603+0.0342332j -0.345749-0.0200817j -0.0406287+0.0498425j 0.0346202-0.059422j -0.083671+0.14659j 0.079539-0.0133114j -0.0724108-0.0837355j 0.121424-0.17123j 0.0289075+0.0323786j 0.166111+0.0620364j 0.363006-0.118232j -0.0444954+0.0480995j -0.00160387-0.0349967j -0.169078+0.0198587j 0.0553411-0.105896j -0.0313101-0.0668209j 0.158188+0.129757j 0.0272497-0.00441874j -0.0369622-0.0374344j 0.0554614+0.00672297j 0.00876104+0.00317204j -0.0403991+0.0671488j -0.036108+0.00724354j -0.00372743+0.00627622j 0.00896154+0.0140124j -0.000397437-0.00514585j 0.00664997-0.00799113j -0.0273786+0.0163477j -0.0163431-0.00668045j 0.00470714+0.00158856j 6.47496e-05+0.00979681j -0.0572056+1.7968e-05j -0.0486846-0.00777388j -0.00171089+0.0036822j 
0.148939+0.223802j -0.0538587+0.227435j 0.00309015+0.0404831j -0.00261095+0.00289223j -0.0165617-0.0162863j -0.00211006-0.0897502j 0.0142273+0.080396j -0.0039941-0.159741j 0.00173746-0.0950048j 0.0311342-0.073389j 0.0322766-0.292226j -0.103365-0.144401j -0.132989-0.176657j 0.043912+0.108801j 0.0209535+0.0984731j 0.0908205+0.141828j -0.0988268-0.154398j -0.0759035+0.0494267j -0.0134069+0.0609249j -0.00792201-0.00739124j 0.0194799-0.0198825j -0.014231-0.00758756j 0.027387-0.0377453j -0.00352241-0.0143833j 0.00963495-0.0133192j 0.0440864+0.0180431j 0.000477283+0.00718423j 0.0293844+0.0161856j -0.0299875+0.00422344j 0.0175636+0.00986913j 0.00316913-0.00500643j 0.032227+0.0415199j 0.0111449+0.0202525j -0.015797-0.0285154j 
0.00718837-0.196941j 0.0938201+0.247952j 0.00416754-0.0200398j -0.0113682-0.0566775j 0.0315501+0.127271j -0.0109436-0.0453856j -0.00114209+0.0236052j -0.0311507-0.0855262j 0.00210461+0.0159618j -0.0423827-0.180033j -0.116297-0.281412j 0.0369433+0.225495j -0.0324058+0.156262j 0.0584483+0.126494j -0.0224113-0.170423j -0.128118-0.110655j 0.010051+0.0112373j 0.0505131+0.0298256j 0.0332911-0.0219133j 0.0051052-0.0557397j -0.0226153-0.0148055j 0.0418062+0.0351423j -0.00787679+0.0215499j 0.0116485+0.0139811j -0.0197522-0.0168467j -0.0240999-0.0453213j -0.00963767-0.00599301j -0.00217535-0.00977258j 0.0180896+0.0476495j -0.0093576-0.00980819j 0.00146602-0.000359116j 0.00253114+0.00175455j 0.00948058+0.0203048j 0.00573115+0.0147836j 
