-0.0455563+0.0264088j -0.117424+0.14573j 0.0842276+0.0529576j 0.0326317-0.0473595j -0.0950912-0.105873j -0.027576-0.0245633j -0.0693933-0.0449458j -0.0122112+0.177234j 0.0389037-0.00345364j -0.1942+0.0550733j -0.13927+0.0246561j -0.0412249+0.0515606j -0.0549182-0.082168j -0.0229042-0.0302515j -0.171992+0.226419j 0.351629+0.0595905j 0.0296934-0.11844j 0.132726-0.202896j 
-0.135494-0.185586j 0.21697-0.0527148j 0.0810173-0.197437j 0.0527258-0.0475922j 0.00154312+0.080737j 0.0895646-0.024673j -0.249955-0.182669j -0.116765+0.189492j -0.0890306-0.0105668j -0.172221+0.0911095j 0.0143098+0.0311246j -0.073741+0.00852807j 0.0999458+0.0616027j 0.0168607+0.000987819j -0.0489814-0.0672262j -0.0749974-0.0491815j -0.024246+0.14223j 0.00408424+0.1437j 
0.0685696+0.169581j -0.250963+0.0810202j 0.180545+0.15531j 0.197444-0.0545073j -0.00125434+0.114416j 0.0531578+0.127942j 0.110104-0.0398172j -0.0195172-0.0820592j 0.130853-0.184279j 0.0928721-0.0953718j -0.0860346-0.0574062j 0.0437692-0.0324426j -0.0558772+0.00967922j -0.0168083+0.00306422j 0.0973079-0.0362429j 0.0579086+0.0735334j -0.0321836-0.118529j -0.0172314+0.0695191j 
0.171679+0.24456j -0.17476-0.112466j 0.0757576+0.234693j 0.0405144-0.0524958j -0.143002-0.171257j -0.0442584-0.266253j 0.0920494+0.0782198j -0.00573032+0.101071j -0.0180595+0.0148171j 0.0546976-0.037788j 0.148777+0.120481j -0.00712398+0.00206322j 0.0266717+0.0330632j 0.0333536+0.028098j 0.020572-0.00462855j -0.274711+0.0167084j -0.101767+0.152679j -0.0571401-0.0714215j 
0.0638367+0.0827636j 0.028857-0.0663773j -0.178766-0.0950575j -0.0191135-0.0818516j 0.0502252+0.0450175j -0.0592774-0.0795688j -0.0264179-0.00255151j 0.0116744+0.0870899j -0.064071-0.1652j 0.0877223-0.0814364j -0.139304+0.0901032j 0.0709415+0.0750818j -0.107681+0.068033j -0.117174+0.0596949j 0.120516-0.00934079j -0.0764627+0.0550504j -0.0191023+0.115148j -0.0320434+0.162954j 
0.0780438+0.0712749j 0.00709147-0.0575751j -0.000536033+0.0839866j -0.0644557-0.181367j 0.020978-0.041125j -0.0855984-0.108391j 0.022465+0.0444604j 0.00879187+0.1023j 0.0592541-0.00734951j -0.035379+0.11689j -0.108479+0.0795275j 0.134015-0.064903j 0.233684+0.0692309j 0.066048+0.104593j 0.160883-0.108218j 0.154907-0.031685j 0.234219-0.13851j 0.196484+0.371749j 
0.0120075+0.0626302j -0.0119566+0.042878j 0.00702671-0.0624637j 0.0728594-0.0578398j 0.089701+0.0768145j 0.0422672+0.0398895j -0.105737-0.0552437j -0.0915525-0.0518641j -0.0635209-0.186819j 0.23931+0.0575824j 0.0273935-0.0233631j 0.14395-0.0539779j -0.219246+0.100528j 0.0174313+0.0449876j 0.274742-0.02955j -0.0677993+0.306663j -0.223483-0.11408j 0.105995-0.126235j 
-0.055273-0.140085j 0.089126-0.0703426j 0.104883-0.056327j -0.00491786+0.169217j -0.0352888+0.00295409j -0.0282473+0.00789977j -0.0669612-0.0323609j -0.036102+0.0119292j 0.0377463+0.172595j -0.0928926-0.108486j -0.0212262+0.30472j 0.107794+0.109886j -0.0799896-0.392732j -0.0886874+0.124965j 0.163303-0.0514819j -0.207208+0.147955j 0.146482+0.0989444j -0.0780482+0.00845635j 
-0.154533-0.123438j -0.0983951-0.0332476j 0.0771768+0.0093074j 0.00981221+0.00243217j -0.021996+0.0574379j -0.0253047-0.00141342j 0.162293+0.167841j 0.0571621-0.0234331j -0.12983-0.0905985j 0.0611509-0.137706j -0.20173+0.127112j 0.072815+0.0673047j 0.241836+0.0530949j -0.061497+0.0638256j 0.204271+0.144311j 0.0559861+0.202304j 0.0532339-0.0551169j 0.270696-0.192712j 
-0.0851571-0.00708389j 0.0674606-0.0889833j 0.162339+0.09077j 0.0160747-0.00735327j 0.0562003-0.023384j 0.00174097-0.0602441j -0.00579649-0.10794j -0.0789366-0.00712834j -0.0581587-0.0546724j 0.282128+0.136772j 0.17934+0.0166217j -0.0128884-0.154753j 0.135825-0.321405j 0.144587-0.126747j 0.0467601-0.337535j -0.0482591-0.109771j 0.0513671-0.0103853j 0.0504444+0.0243666j 
0.0727203-0.00514993j -0.177342+0.128457j 0.00499666+0.0995381j 0.0333604+0.0453157j 0.0648272+0.0304704j 0.00604241+0.0625665j -0.201125-0.0861866j -0.120101-0.145296j -0.0756642+0.145786j -0.122083+0.269386j 0.23564-0.0074662j 0.0804125+0.00676821j 0.0395958+0.171048j 0.102467+0.126547j 0.0185697+0.0899637j -0.194121+0.0840155j 0.0256615+0.10602j 0.029915-0.0340209j 
0.208155-0.258914j 0.143454+0.155812j -0.0557766+0.010404j 0.0766062+0.0495268j 0.0347175-0.0731334j 0.076447-0.0486816j 0.0716638+0.337883j 0.0444828+0.0842807j 0.301359-0.0780506j -0.104464+0.0265278j 0.121094+0.194366j 0.000458834-0.0711495j -0.212017-0.00563485j 0.150578+0.0631883j -0.143224-0.0510156j 0.024522+0.0707268j 0.0404487+0.0468901j 0.0463648+0.0165775j 
0.0311951-0.100977j -0.144192-0.124481j 0.0569922+0.100769j 0.0156111+0.0027619j -0.0138014+0.000187713j -0.0688984-0.0661573j -0.0295627+0.0264083j -0.0241871-0.0365289j -0.0638646-0.15268j 0.0946053+0.0523902j 0.0805219+0.0274542j -0.107295-0.00405437j 0.0376967+0.119829j 0.00576991-0.0687493j -0.166154-0.0781418j -0.0634533-0.145462j -0.0126271+0.309492j 0.00682893+0.0513993j 
0.045582-0.0744913j 0.111198-0.175094j 0.0258539-0.0579626j -0.0444193+0.013561j -0.070689-0.0249692j -0.0245038-0.0844058j 0.0427521+0.0562752j 0.0735635+0.0625834j 0.117627-0.0884991j 0.018024-0.168309j -0.212883+0.0891984j 0.00731576+0.00490554j -0.131804-0.13115j -0.0943453-0.0133049j 0.0402004-0.107906j 0.130782+0.0755335j -0.0282466-0.0238438j 0.0382676+0.129267j 
-0.0663002-0.130831j 0.211999+0.132994j -0.0939335-0.122884j 0.0412738+0.0257942j 0.0350685-0.0039692j 0.101618+0.0750561j 0.27591+0.281928j 0.0388837+0.103645j 0.0980009+0.0363919j -0.0489907-0.198852j 0.134371+0.0693162j -0.0566082+0.00801426j 0.14691+0.0618991j 0.0830588+0.0276423j 0.014821+0.0701205j -0.227763-0.0584221j -0.00191945-0.0529714j -0.130833-0.110649j 
0.136509+0.207405j -0.0166193+0.0793424j -0.190555+0.0518464j -0.0561353-0.0579392j 0.0606481-0.0310585j 0.101308+0.0232281j 0.0905492-0.119549j 0.095966+0.016299j 0.138176+0.148511j -0.294471+0.00767192j -0.0958065-0.218668j -0.074323+0.00338885j 0.167029-0.0881641j 0.0526259-0.0483483j -0.138623+0.0453344j 0.0463155+0.0686008j -0.15193-0.143395j 0.0153115+0.0442144j 
