-0.00373847-0j -0.000603293-0j -0.000492587-0j -7.10988e-05-0j -6.15734e-05-0j -7.25649e-06-0j -3.31212e-07-0j 1.00534-0j -0.000543484-0j -0.000429662-0j -0.000286441-0j -6.20163e-05-0j -7.16103e-05-0j -2.53181e-05-0j -5.96752e-06-0j -6.32951e-06-0j -5.27459e-07-0j -1.96573e-08-0j -0.00224318-0j -0.00226642-0j 0.102285-0j 0.103345-0j -0.000270889-0j -0.000273697-0j -3.90995e-05-0j -0.000247287-0j -3.95047e-05-0j -0.00024985-0j -4.37146e-05-0j -2.91431e-05-0j -4.41676e-05-0j -3.64288e-06-0j -2.52386e-05-0j -2.94451e-05-0j -3.68063e-06-0j -2.55002e-05-0j -5.15181e-06-0j -2.57591e-06-0j -5.2052e-06-0j -3.03574e-07-0j -3.718e-07-0j -2.6026e-06-0j -3.0672e-07-0j -3.75653e-07-0j -2.39996e-08-0j -2.42483e-08-0j -7.55916e-10-0j -7.6375e-10-0j 
0.00348605-0j 0.000562559-0j 0.000459328-0j 6.62982e-05-0j 5.74159e-05-0j 6.76653e-06-0j 3.08849e-07-0j 5.55329e-05-0j 8.78053e-06-0j 6.94162e-06-0j 4.62774e-06-0j 1.00194e-06-0j 1.15694e-06-0j 4.09039e-07-0j 9.64113e-08-0j 1.0226e-07-0j 8.52164e-09-0j 3.17583e-10-0j -0.716353-0j 0.698696-0j 0.000326104-0j -0.000318066-0j 0.000252599-0j -0.000246373-0j 3.64595e-05-0j 0.00023059-0j -3.55609e-05-0j -0.000224907-0j 4.0763e-05-0j 2.71753e-05-0j -3.97583e-05-0j 3.39692e-06-0j 2.35345e-05-0j -2.65055e-05-0j -3.31319e-06-0j -2.29545e-05-0j 4.80397e-06-0j 2.40198e-06-0j -4.68556e-06-0j 2.83076e-07-0j 3.46696e-07-0j -2.34278e-06-0j -2.76099e-07-0j -3.38151e-07-0j 2.23792e-08-0j -2.18276e-08-0j 7.04877e-10-0j -6.87503e-10-0j 
-0.000543484-0j 0.00413535-0j -7.16103e-05-0j 0.000985047-0j 0.000422062-0j 0.000151331-0j 1.15443e-05-0j 0.00253221-0j 6.45453e-05-0j -1.08221e-06-0j -7.21476e-07-0j 1.48866e-05-0j 8.50459e-06-0j -6.37701e-08-0j 2.15621e-06-0j 1.51936e-06-0j 2.54554e-07-0j 1.42548e-08-0j -0.000326104-0j 0.000318066-0j -0.701127-0j 0.683846-0j -3.93808e-05-0j 3.84102e-05-0j 0.000541709-0j -3.59496e-05-0j -0.000528357-0j 3.50635e-05-0j 0.000299647-0j 0.000199765-0j -0.000292262-0j 7.5971e-05-0j -3.66909e-06-0j -0.000194841-0j -7.40984e-05-0j 3.57865e-06-0j 7.13765e-05-0j 1.76569e-05-0j -6.96172e-05-0j 8.45593e-06-0j 7.75375e-06-0j -1.72217e-05-0j -8.24751e-06-0j -7.56264e-06-0j 8.36497e-07-0j -8.15879e-07-0j 3.693e-08-0j -3.60198e-08-0j 
0.102214-0j -6.79355e-05-0j 0.00530313-0j -8.00627e-06-0j 0.00133271-0j 7.81224e-05-0j -3.7297e-08-0j -6.70624e-06-0j 0.000257452-0j 8.01438e-05-0j -5.58853e-07-0j -1.20995e-07-0j 1.33573e-05-0j 1.42664e-05-0j -1.16428e-08-0j 2.37361e-06-0j 9.83858e-08-0j -3.83518e-11-0j -0.000252599-0j 0.000246373-0j -3.93808e-05-0j 3.84102e-05-0j -0.708091-0j 0.690638-0j 0.00106902-0j -2.78464e-05-0j -0.00104268-0j 2.71601e-05-0j 0.000470626-0j -3.28173e-06-0j -0.000459026-0j -4.10217e-07-0j 0.000546274-0j 3.20085e-06-0j 4.00106e-07-0j -0.000532809-0j 5.54638e-05-0j 8.37758e-05-0j -5.40967e-05-0j -3.41847e-08-0j 8.04737e-06-0j -8.17109e-05-0j 3.33421e-08-0j -7.84902e-06-0j 2.58377e-07-0j -2.52008e-07-0j -8.5122e-11-0j 8.30239e-11-0j 
-0.0147533-0j -0.000934498-0j 8.00627e-06-0j 0.00513718-0j -9.53768e-05-0j 0.00160677-0j 0.000247042-0j 9.67962e-07-0j 0.00354143-0j 1.20995e-07-0j 8.06635e-08-0j 7.76359e-05-0j -1.92185e-06-0j 7.12971e-09-0j 2.28937e-05-0j 7.92368e-06-0j 4.07553e-06-0j 3.81839e-07-0j 3.64595e-05-0j -3.55609e-05-0j -0.000541709-0j 0.000528357-0j -0.00106902-0j 0.00104268-0j -0.685933-0j 4.01929e-06-0j 0.669026-0j -3.92022e-06-0j -6.77137e-05-0j -4.51424e-05-0j 6.60447e-05-0j 0.000806627-0j 4.10217e-07-0j 4.40298e-05-0j -0.000786745-0j -4.00106e-07-0j 0.000372239-0j -3.99007e-06-0j -0.000363065-0j 0.000135383-0j 8.2326e-05-0j 3.89172e-06-0j -0.000132046-0j -8.02968e-05-0j 1.79007e-05-0j -1.74594e-05-0j 1.18814e-06-0j -1.15886e-06-0j 
-0.000384301-0j 0.0119957-0j 0.00731001-0j 0.00105511-0j -6.32951e-06-0j -7.4594e-07-0j -3.40474e-08-0j -6.12193e-06-0j -9.67962e-07-0j 0.000148019-0j 0.000147807-0j 2.13647e-05-0j 1.84122e-05-0j -4.50923e-08-0j 1.53435e-06-0j -1.12731e-08-0j -9.39422e-10-0j -3.50102e-11-0j -0.00023059-0j 0.000224907-0j -3.59496e-05-0j 3.50635e-05-0j -2.78464e-05-0j 2.71601e-05-0j -4.01929e-06-0j -0.709832-0j 3.92022e-06-0j 0.692337-0j 0.000869207-0j 0.000867964-0j -0.000847783-0j 7.24339e-05-0j 0.000374542-0j -0.000846571-0j -7.06486e-05-0j -0.000365311-0j 7.64531e-05-0j -2.64794e-07-0j -7.45687e-05-0j 4.50504e-06-0j -3.82197e-08-0j 2.58267e-07-0j -4.39401e-06-0j 3.72777e-08-0j -2.46707e-09-0j 2.40626e-09-0j -7.77054e-11-0j 7.57901e-11-0j 
6.79355e-05-0j 0.0999865-0j -0.000855788-0j -0.000123131-0j 0.0101406-0j 0.00180851-0j -1.44303e-06-0j 1.08221e-06-0j -8.06816e-06-0j 0.00250163-0j 9.01845e-08-0j 0.000359935-0j 0.000101635-0j -2.30222e-06-0j -2.69526e-07-0j 3.65045e-05-0j 3.04209e-06-0j -1.78185e-09-0j 4.0763e-05-0j -3.97583e-05-0j -0.000299647-0j 0.000292262-0j -0.000470626-0j 0.000459026-0j -6.77137e-05-0j -0.000869207-0j 6.60447e-05-0j 0.000847783-0j -0.69266-0j -2.49706e-05-0j 0.675588-0j 0.00183686-0j -8.81545e-05-0j 2.43551e-05-0j -0.00179159-0j 8.59817e-05-0j 0.000852994-0j 0.000637447-0j -0.00083197-0j -1.05699e-06-0j 0.000186294-0j -0.000621735-0j 1.03094e-06-0j -0.000181702-0j 9.99667e-06-0j -9.75028e-06-0j -4.61625e-09-0j 4.50247e-09-0j 
4.52903e-05-0j -0.000344612-0j -0.00172895-0j 0.0237829-0j -3.51719e-05-0j -1.26109e-05-0j -9.62022e-07-0j 7.21476e-07-0j -5.37877e-06-0j 9.01845e-08-0j 0.00250597-0j -1.24055e-06-0j 0.000205334-0j 5.31418e-09-0j 5.20594e-05-0j -1.26613e-07-0j -2.12129e-08-0j -1.1879e-09-0j 2.71753e-05-0j -2.65055e-05-0j -0.000199765-0j 0.000194841-0j 3.28173e-06-0j -3.20085e-06-0j -4.51424e-05-0j -0.000867964-0j 4.40298e-05-0j 0.000846571-0j -2.49706e-05-0j -0.693861-0j 2.43551e-05-0j -6.33091e-06-0j -8.85862e-05-0j 0.676759-0j 6.17487e-06-0j 8.64028e-05-0j 0.00172331-0j -1.47141e-06-0j -0.00168083-0j 0.000204159-0j -6.46146e-07-0j 1.43514e-06-0j -0.000199127-0j 6.3022e-07-0j -6.97081e-08-0j 6.79899e-08-0j -3.0775e-09-0j 3.00165e-09-0j 
-5.66129e-06-0j -0.0253501-0j -7.4594e-07-0j -0.00146677-0j 1.33759e-05-0j 0.0069068-0j 0.00329025-0j -9.01845e-08-0j 2.04556e-06-0j 2.18053e-06-0j -7.51538e-09-0j 0.00428766-0j 2.69526e-07-0j -6.64272e-10-0j 9.84099e-05-0j -2.26238e-06-0j 3.59323e-05-0j 6.80217e-06-0j -3.39692e-06-0j 3.31319e-06-0j 7.5971e-05-0j -7.40984e-05-0j -4.10217e-07-0j 4.00106e-07-0j -0.000806627-0j 7.24339e-05-0j 0.000786745-0j -7.06486e-05-0j -0.00183686-0j 6.33091e-06-0j 0.00179159-0j -0.670679-0j -3.82197e-08-0j -6.17487e-06-0j 0.654148-0j 3.72777e-08-0j -0.000106282-0j 5.59579e-07-0j 0.000103663-0j 0.00119362-0j 0.000353883-0j -5.45787e-07-0j -0.0011642-0j -0.000345161-0j 0.000238411-0j -0.000232535-0j 2.65036e-05-0j -2.58503e-05-0j 
3.92226e-05-0j 6.32951e-06-0j 0.143403-0j -0.000107687-0j 0.0118087-0j -1.46334e-05-0j 3.47494e-09-0j 6.24817e-07-0j 9.87922e-08-0j -1.5012e-05-0j -1.50855e-05-0j 1.12731e-08-0j 0.000361198-0j 0.000255039-0j -1.56599e-07-0j 2.10317e-05-0j -1.8429e-08-0j 3.57321e-12-0j 2.35345e-05-0j -2.29545e-05-0j 3.66909e-06-0j -3.57865e-06-0j -0.000546274-0j 0.000532809-0j 4.10217e-07-0j -0.000374542-0j -4.00106e-07-0j 0.000365311-0j -8.81545e-05-0j -8.85862e-05-0j 8.59817e-05-0j 3.82197e-08-0j -0.698769-0j 8.64028e-05-0j -3.72777e-08-0j 0.681546-0j 0.00149981-0j 0.00149766-0j -0.00146284-0j -4.59794e-07-0j 7.13049e-05-0j -0.00146074-0j 4.48461e-07-0j -6.95474e-05-0j -4.83974e-08-0j 4.72045e-08-0j 7.93077e-12-0j -7.7353e-12-0j 
-8.00627e-06-0j 0.000123131-0j -0.0145599-0j 0.0977172-0j -0.0024155-0j 0.0202406-0j -3.25506e-05-0j -1.2754e-07-0j 1.92185e-06-0j 1.52419e-06-0j 3.07932e-06-0j -1.02294e-05-0j 0.003495-0j 2.7132e-07-0j 0.000435474-0j 0.000200674-0j 5.13398e-05-0j -5.03117e-08-0j -4.80397e-06-0j 4.68556e-06-0j 7.13765e-05-0j -6.96172e-05-0j 5.54638e-05-0j -5.40967e-05-0j -0.000372239-0j 7.64531e-05-0j 0.000363065-0j -7.45687e-05-0j -0.000852994-0j -0.00172331-0j 0.00083197-0j -0.000106282-0j -0.00149981-0j 0.00168083-0j 0.000103663-0j 0.00146284-0j -0.676939-0j -0.000151841-0j 0.660254-0j 0.0025752-0j 0.00208498-0j 0.000148098-0j -0.00251173-0j -0.00203359-0j 0.000225496-0j -0.000219938-0j -1.56552e-07-0j 1.52693e-07-0j 
-4.00314e-06-0j 3.04597e-05-0j 0.000152338-0j 7.25556e-06-0j 0.172278-0j -0.000321931-0j 8.50316e-08-0j -6.37701e-08-0j 4.75421e-07-0j 2.30222e-06-0j -5.31418e-09-0j 1.0965e-07-0j -1.8092e-05-0j 0.00246237-0j 1.5882e-08-0j 0.000620174-0j -5.4152e-07-0j 1.04996e-10-0j -2.40198e-06-0j 2.34278e-06-0j 1.76569e-05-0j -1.72217e-05-0j 8.37758e-05-0j -8.17109e-05-0j 3.99007e-06-0j -2.64794e-07-0j -3.89172e-06-0j 2.58267e-07-0j -0.000637447-0j 1.47141e-06-0j 0.000621735-0j 5.59579e-07-0j -0.00149766-0j -1.43514e-06-0j -5.45787e-07-0j 0.00146074-0j -0.000151841-0j -0.681789-0j 0.000148098-0j 6.22838e-08-0j 0.00316494-0j 0.664985-0j -6.07486e-08-0j -0.00308693-0j -1.7795e-06-0j 1.73564e-06-0j 2.72015e-10-0j -2.65311e-10-0j 
4.71774e-07-0j -1.45872e-05-0j -8.97388e-06-0j -0.0355397-0j -1.4888e-06-0j -0.00237764-0j 0.0258535-0j 7.51538e-09-0j -2.2768e-07-0j 9.39422e-10-0j -1.81451e-07-0j 3.72043e-06-0j 4.33084e-06-0j 5.5356e-11-0j 0.00489065-0j 3.79715e-07-0j 0.000136616-0j 8.08877e-05-0j 2.83076e-07-0j -2.76099e-07-0j -8.45593e-06-0j 8.24751e-06-0j 3.41847e-08-0j -3.33421e-08-0j 0.000135383-0j -4.50504e-06-0j -0.000132046-0j 4.39401e-06-0j -1.05699e-06-0j 0.000204159-0j 1.03094e-06-0j -0.00119362-0j -4.59794e-07-0j -0.000199127-0j 0.0011642-0j 4.48461e-07-0j -0.0025752-0j -6.22838e-08-0j 0.00251173-0j -0.655149-0j -0.000121823-0j 6.07486e-08-0j 0.639001-0j 0.00011882-0j 0.00187335-0j -0.00182717-0j 0.00042185-0j -0.000411453-0j 
5.77803e-07-0j -1.33759e-05-0j -1.46334e-05-0j 0.000149702-0j -0.0249549-0j 0.135493-0j -0.00033581-0j 9.20442e-09-0j -2.08774e-07-0j -2.21148e-07-0j 7.67035e-10-0j 2.26238e-06-0j 5.28739e-06-0j 3.75708e-06-0j -1.00439e-05-0j 0.00422084-0j 0.000704897-0j -6.94243e-07-0j 3.46696e-07-0j -3.38151e-07-0j -7.75375e-06-0j 7.56264e-06-0j -8.04737e-06-0j 7.84902e-06-0j 8.2326e-05-0j 3.82197e-08-0j -8.02968e-05-0j -3.72777e-08-0j 0.000186294-0j -6.46146e-07-0j -0.000181702-0j -0.000353883-0j 7.13049e-05-0j 6.3022e-07-0j 0.000345161-0j -6.95474e-05-0j -0.00208498-0j -0.00316494-0j 0.00203359-0j -0.000121823-0j -0.660226-0j 0.00308693-0j 0.00011882-0j 0.643953-0j 0.004677-0j -0.00456172-0j -2.70501e-06-0j 2.63834e-06-0j 
-3.7297e-08-0j 1.44303e-06-0j 4.69833e-07-0j -3.25506e-05-0j -2.83085e-05-0j -0.0454035-0j 0.0921971-0j -5.94143e-10-0j 2.25231e-08-0j 7.10038e-09-0j -4.95119e-11-0j -4.91924e-07-0j -2.83726e-07-0j 1.26394e-09-0j 6.76659e-06-0j 9.65025e-06-0j 0.00539161-0j 0.0006008-0j -2.23792e-08-0j 2.18276e-08-0j 8.36497e-07-0j -8.15879e-07-0j 2.58377e-07-0j -2.52008e-07-0j -1.79007e-05-0j -2.46707e-09-0j 1.74594e-05-0j 2.40626e-09-0j -9.99667e-06-0j 6.97081e-08-0j 9.75028e-06-0j 0.000238411-0j 4.83974e-08-0j -6.79899e-08-0j -0.000232535-0j -4.72045e-08-0j 0.000225496-0j -1.7795e-06-0j -0.000219938-0j -0.00187335-0j -0.004677-0j 1.73564e-06-0j 0.00182717-0j 0.00456172-0j -0.638699-0j 0.622957-0j 0.00475056-0j -0.00463347-0j 
1.17475e-09-0j -6.37076e-08-0j 1.54786e-10-0j 2.16053e-06-0j -6.50213e-09-0j -5.27941e-05-0j -0.0655612-0j 1.87137e-11-0j -9.94361e-10-0j 2.33922e-12-0j 1.55948e-12-0j 3.26511e-08-0j -1.31019e-10-0j 1.3784e-13-0j -7.52225e-07-0j 3.33244e-09-0j 1.26992e-05-0j 0.00631086-0j 7.04877e-10-0j -6.87503e-10-0j -3.693e-08-0j 3.60198e-08-0j 8.5122e-11-0j -8.30239e-11-0j 1.18814e-06-0j 7.77054e-11-0j -1.15886e-06-0j -7.57901e-11-0j -4.61625e-09-0j -3.0775e-09-0j 4.50247e-09-0j -2.65036e-05-0j 7.93077e-12-0j 3.00165e-09-0j 2.58503e-05-0j -7.7353e-12-0j 1.56552e-07-0j -2.72015e-10-0j -1.52693e-07-0j 0.00042185-0j -2.70501e-06-0j 2.65311e-10-0j -0.000411453-0j 2.63834e-06-0j -0.00475056-0j 0.00463347-0j -0.617216-0j 0.602003-0j 
0.00229857-0j 0.000370931-0j 0.000302864-0j 4.37146e-05-0j 3.7858e-05-0j 4.4616e-06-0j 2.03643e-07-0j 0.0021134-0j 0.000334157-0j 0.000264174-0j 0.000176116-0j 3.81303e-05-0j 4.40291e-05-0j 1.55666e-05-0j 3.66909e-06-0j 3.89166e-06-0j 3.24305e-07-0j 1.20861e-08-0j -0.00133994-0j 0.0013935-0j -0.0002089-0j 0.000217249-0j -0.000161813-0j 0.000168281-0j -2.33557e-05-0j -0.000147714-0j 2.42892e-05-0j 0.000153618-0j -2.61125e-05-0j -1.74083e-05-0j 2.71562e-05-0j -2.17604e-06-0j -1.5076e-05-0j 1.81041e-05-0j 2.26301e-06-0j 1.56786e-05-0j -3.07738e-06-0j -1.53869e-06-0j 3.20038e-06-0j -1.81337e-07-0j -2.22091e-07-0j 1.60019e-06-0j 1.88584e-07-0j 2.30968e-07-0j -1.43359e-08-0j 1.49089e-08-0j -4.51539e-10-0j 4.69586e-10-0j 
